time,San Antonio,pts.away,score,pts.home,LA Lakers
4:04.0,K. Leonard makes 2-pt shot from 20 ft,2,24-12,,
3:52.0,,,24-12,,J. Randle misses 2-pt shot from 11 ft
3:51.0,Defensive rebound by L. Aldridge,,24-12,,
3:49.0,Turnover by P. Mills (traveling),,24-12,,
3:39.0,,,24-14,2,D. Russell makes 2-pt shot from 12 ft
3:21.0,M. Ginobili misses 3-pt shot from 24 ft,,24-14,,
3:19.0,Offensive rebound by L. Aldridge,,24-14,,
3:19.0,,,24-14,,Personal foul by B. Ingram (drawn by L. Aldridge)
3:19.0,,,24-14,,L. Nance enters the game for J. Randle
3:19.0,,,24-14,,L. Deng enters the game for D. Russell
3:19.0,D. Lee enters the game for L. Aldridge,,24-14,,
3:14.0,M. Ginobili misses 3-pt shot from 24 ft,,24-14,,
3:14.0,,,24-14,,Defensive rebound by Team
3:04.0,,,24-16,2,B. Ingram makes 2-pt shot from 11 ft
2:51.0,Shooting foul by I. Zubac (drawn by K. Leonard),,24-16,,
2:51.0,K. Leonard makes free throw 1 of 2,1,25-16,,
2:51.0,K. Leonard makes free throw 2 of 2,1,26-16,,
2:51.0,,,25-16,,N. Young enters the game for B. Ingram
2:39.0,,,26-16,,L. Deng misses 2-pt shot from 18 ft
2:38.0,Defensive rebound by P. Gasol,,26-16,,
2:30.0,P. Gasol makes 3-pt shot from 24 ft (assist by D. Lee),3,29-16,,
2:04.0,,,29-16,,L. Nance misses 2-pt shot from 7 ft
2:01.0,Defensive rebound by P. Gasol,,29-16,,
1:55.0,K. Leonard misses 3-pt shot from 25 ft,,29-16,,
1:53.0,,,29-16,,Defensive rebound by L. Deng
1:45.0,,,29-16,,L. Nance misses 2-pt shot from 8 ft (block by P. Gasol)
1:43.0,Defensive rebound by P. Mills,,29-16,,
1:39.0,P. Mills misses 3-pt shot from 26 ft,,29-16,,
1:36.0,,,29-16,,Defensive rebound by J. Clarkson
1:31.0,,,29-18,2,J. Clarkson makes 2-pt shot from 2 ft
1:19.0,P. Gasol makes 3-pt shot from 24 ft (assist by M. Ginobili),3,32-18,,
1:04.0,,,32-18,,I. Zubac misses 2-pt shot from 16 ft
1:03.0,Defensive rebound by D. Lee,,32-18,,
0:56.0,P. Mills makes 2-pt shot from 21 ft (assist by D. Lee),2,34-18,,
0:56.0,,,34-18,,LA Lakers full timeout
0:56.0,J. Simmons enters the game for K. Leonard,,34-18,,
0:42.0,,,34-18,,Turnover by L. Deng (bad pass; steal by M. Ginobili)
0:37.0,J. Simmons makes 2-pt shot from 5 ft (assist by P. Mills),2,36-18,,
0:19.0,,,36-20,2,J. Clarkson makes 2-pt shot from 6 ft
0:05.0,P. Gasol misses 2-pt shot from 10 ft,,36-20,,
0:03.0,,,36-20,,Defensive rebound by L. Nance
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,36-20,,J. Clarkson misses 3-pt shot from 25 ft
11:47.0,Defensive rebound by D. Lee,,36-20,,
11:25.0,P. Gasol misses 2-pt shot from 11 ft,,36-20,,
11:24.0,,,36-20,,Defensive rebound by L. Deng
11:15.0,Personal foul by M. Ginobili (drawn by I. Zubac),,36-20,,
11:09.0,,,36-22,2,J. Clarkson makes 2-pt shot from 8 ft
10:53.0,D. Lee misses 2-pt shot from 2 ft,,36-22,,
10:51.0,,,36-22,,Defensive rebound by L. Deng
10:42.0,,,36-24,2,J. Clarkson makes 2-pt shot at rim (assist by L. Nance)
10:41.0,San Antonio full timeout,,36-24,,
10:26.0,M. Ginobili makes 3-pt shot from 25 ft (assist by P. Mills),3,39-24,,
10:12.0,Personal foul by P. Gasol (drawn by I. Zubac),,39-24,,
10:12.0,T. Parker enters the game for P. Mills,,39-24,,
10:12.0,D. Green enters the game for M. Ginobili,,39-24,,
10:05.0,,,39-24,,Turnover by I. Zubac (bad pass; steal by P. Gasol)
9:56.0,P. Gasol misses 2-pt shot from 2 ft,,39-24,,
9:55.0,,,39-24,,Defensive rebound by L. Deng
9:48.0,,,39-24,,Shooting foul by D. Lee (drawn by I. Zubac)
9:48.0,,,39-24,,I. Zubac misses free throw 1 of 2
9:48.0,,,39-24,,Offensive rebound by Team
9:48.0,,,39-24,,I. Zubac misses free throw 2 of 2
9:47.0,Defensive rebound by P. Gasol,,39-24,,
9:27.0,J. Simmons misses 2-pt shot from 21 ft,,39-24,,
9:26.0,,,39-24,,Defensive rebound by I. Zubac
9:17.0,,,39-24,,Turnover by N. Young (bad pass; steal by D. Green)
9:09.0,P. Gasol misses 2-pt shot from 5 ft,,39-24,,
9:06.0,Offensive rebound by D. Lee,,39-24,,
9:06.0,D. Lee makes 2-pt shot from 1 ft,2,41-24,,
8:53.0,,,41-26,2,L. Nance makes 2-pt shot from 15 ft (assist by L. Deng)
8:41.0,Turnover by J. Simmons (traveling),,41-26,,
8:31.0,,,41-26,,Offensive foul by I. Zubac
8:31.0,,,41-26,,Turnover by I. Zubac (offensive foul)
8:31.0,D. Dedmon enters the game for P. Gasol,,41-26,,
8:16.0,T. Parker makes 2-pt shot from 4 ft (assist by J. Simmons),2,43-26,,
8:05.0,,,43-28,2,I. Zubac makes 2-pt shot from 1 ft (assist by J. Clarkson)
7:49.0,J. Simmons misses 2-pt shot from 15 ft,,43-28,,
7:46.0,Offensive rebound by D. Dedmon,,43-28,,
7:46.0,D. Dedmon makes 2-pt shot at rim,2,45-28,,
7:37.0,,,45-28,,J. Clarkson misses 2-pt shot from 5 ft
7:34.0,Defensive rebound by T. Parker,,45-28,,
7:25.0,Turnover by D. Dedmon (bad pass; steal by L. Deng),,45-28,,
7:16.0,,,45-28,,L. Nance misses 2-pt shot from 19 ft
7:14.0,Defensive rebound by D. Dedmon,,45-28,,
7:05.0,T. Parker makes 2-pt shot from 19 ft,2,47-28,,
7:05.0,,,47-28,,LA Lakers full timeout
7:05.0,L. Aldridge enters the game for D. Lee,,47-28,,
7:05.0,,,47-28,,D. Russell enters the game for N. Young
7:05.0,,,47-28,,B. Ingram enters the game for I. Zubac
7:05.0,,,47-28,,J. Randle enters the game for L. Deng
7:05.0,,,47-28,,T. Robinson enters the game for L. Nance
6:39.0,,,47-28,,D. Russell misses 2-pt shot from 23 ft
6:39.0,,,47-28,,Offensive rebound by Team
6:39.0,,,47-28,,Turnover by Team (shot clock)
6:26.0,J. Simmons misses 2-pt shot at rim,,47-28,,
6:21.0,Offensive rebound by L. Aldridge,,47-28,,
6:12.0,L. Aldridge makes 2-pt shot from 11 ft,2,49-28,,
5:57.0,,,49-30,2,T. Robinson makes 2-pt shot from 1 ft (assist by J. Clarkson)
5:41.0,,,49-30,,Personal foul by D. Russell (drawn by T. Parker)
5:28.0,T. Parker misses 2-pt shot from 19 ft,,49-30,,
5:26.0,,,49-30,,Defensive rebound by J. Randle
5:17.0,,,49-32,2,B. Ingram makes 2-pt shot from 2 ft (assist by J. Randle)
4:57.0,D. Green misses 2-pt shot from 18 ft,,49-32,,
4:56.0,,,49-32,,Defensive rebound by J. Randle
4:48.0,,,49-32,,J. Clarkson misses 2-pt shot from 16 ft
4:44.0,,,49-32,,Offensive rebound by T. Robinson
4:44.0,,,49-34,2,T. Robinson makes 2-pt shot at rim
4:31.0,J. Simmons misses 3-pt shot from 23 ft,,49-34,,
4:28.0,,,49-34,,Defensive rebound by J. Clarkson
4:24.0,,,49-34,,J. Clarkson misses 2-pt shot from 3 ft (block by J. Simmons)
4:21.0,Defensive rebound by T. Parker,,49-34,,
4:13.0,D. Green makes 3-pt shot from 24 ft (assist by T. Parker),3,52-34,,
4:11.0,,,52-34,,LA Lakers full timeout
4:11.0,P. Mills enters the game for D. Green,,52-34,,
4:11.0,K. Leonard enters the game for T. Parker,,52-34,,
4:11.0,M. Ginobili enters the game for J. Simmons,,52-34,,
4:03.0,P. Gasol enters the game for D. Dedmon,,52-34,,
3:51.0,,,52-34,,J. Randle misses 2-pt shot from 7 ft
3:48.0,,,52-34,,Offensive rebound by T. Robinson
3:48.0,,,52-36,2,T. Robinson makes 2-pt shot from 1 ft
3:35.0,L. Aldridge misses 2-pt shot from 16 ft,,52-36,,
3:34.0,,,52-36,,Defensive rebound by J. Randle
3:26.0,,,52-36,,J. Randle misses 2-pt shot from 5 ft
3:26.0,Defensive rebound by P. Gasol,,52-36,,
3:17.0,Turnover by K. Leonard (bad pass; steal by T. Robinson),,52-36,,
3:02.0,,,52-36,,T. Robinson misses 2-pt shot from 14 ft
2:59.0,Defensive rebound by P. Gasol,,52-36,,
2:46.0,P. Mills misses 3-pt shot from 24 ft,,52-36,,
2:45.0,,,52-36,,Defensive rebound by T. Robinson
2:40.0,,,52-36,,Offensive charge foul by B. Ingram
2:40.0,,,52-36,,Turnover by B. Ingram (offensive foul)
2:40.0,,,52-36,,C. Brewer enters the game for B. Ingram
2:22.0,K. Leonard misses 2-pt shot from 14 ft,,52-36,,
2:20.0,,,52-36,,Defensive rebound by J. Randle
2:12.0,,,52-36,,D. Russell misses 2-pt shot from 10 ft
2:10.0,Defensive rebound by L. Aldridge,,52-36,,
2:06.0,K. Leonard makes 3-pt shot from 24 ft (assist by L. Aldridge),3,55-36,,
1:54.0,,,55-38,2,D. Russell makes 2-pt shot from 15 ft (assist by J. Randle)
1:40.0,P. Gasol misses 2-pt shot from 17 ft,,55-38,,
1:39.0,,,55-38,,Defensive rebound by D. Russell
1:24.0,,,55-38,,Turnover by J. Clarkson (bad pass; steal by P. Mills)
1:16.0,P. Gasol makes 2-pt shot at rim (assist by M. Ginobili),2,57-38,,
0:50.0,,,57-38,,J. Clarkson misses 2-pt shot from 6 ft
0:47.0,,,57-38,,Offensive rebound by D. Russell
0:46.0,,,57-38,,D. Russell misses 2-pt shot from 1 ft
0:44.0,Defensive rebound by P. Mills,,57-38,,
0:35.0,P. Mills makes 2-pt shot from 2 ft,2,59-38,,
0:23.0,,,59-41,3,C. Brewer makes 3-pt shot from 23 ft (assist by D. Russell)
0:07.0,,,59-41,,Personal foul by C. Brewer (drawn by K. Leonard)
0:01.0,L. Aldridge makes 2-pt shot from 18 ft (assist by P. Mills),2,61-41,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,61-41,,Turnover by B. Ingram (bad pass; steal by D. Dedmon)
11:27.0,,,61-41,,Personal foul by T. Black (drawn by L. Aldridge)
11:21.0,K. Leonard misses 3-pt shot from 26 ft,,61-41,,
11:19.0,,,61-41,,Defensive rebound by J. Randle
11:13.0,,,61-43,2,D. Russell makes 2-pt shot from 13 ft
10:55.0,Shooting foul by N. Young (drawn by D. Dedmon),,61-43,,
10:55.0,D. Dedmon makes free throw 1 of 2,1,62-43,,
10:55.0,D. Dedmon makes free throw 2 of 2,1,63-43,,
10:39.0,,,63-43,,N. Young misses 2-pt shot from 19 ft
10:37.0,Defensive rebound by D. Dedmon,,63-43,,
10:28.0,K. Leonard misses 2-pt shot from 22 ft,,63-43,,
10:26.0,Offensive rebound by D. Dedmon,,63-43,,
10:11.0,D. Green misses 2-pt shot from 24 ft,,63-43,,
10:09.0,,,63-43,,Defensive rebound by J. Randle
10:06.0,,,63-45,2,N. Young makes 2-pt shot at rim (assist by J. Randle)
10:06.0,San Antonio full timeout,,63-45,,
10:06.0,K. Anderson enters the game for K. Leonard,,63-45,,
9:47.0,L. Aldridge makes 2-pt shot from 13 ft,2,65-45,,
9:38.0,Personal foul by K. Anderson (drawn by B. Ingram),,65-45,,
9:31.0,,,65-47,2,D. Russell makes 2-pt shot from 19 ft
9:14.0,L. Aldridge makes 2-pt shot from 15 ft (assist by K. Anderson),2,67-47,,
9:02.0,,,67-49,2,N. Young makes 2-pt shot from 22 ft (assist by T. Black)
9:02.0,,,67-49,,Shooting foul by D. Dedmon (drawn by N. Young)
9:02.0,,,67-50,1,N. Young makes free throw 1 of 1
9:02.0,P. Gasol enters the game for D. Dedmon,,67-49,,
8:51.0,,,67-50,,Personal foul by J. Randle (drawn by L. Aldridge)
8:40.0,L. Aldridge misses 2-pt shot from 11 ft,,67-50,,
8:38.0,,,67-50,,Defensive rebound by D. Russell
8:34.0,,,67-50,,J. Randle misses 2-pt shot from 1 ft (block by D. Green)
8:34.0,Defensive rebound by Team,,67-50,,
8:15.0,T. Parker makes 2-pt shot from 2 ft,2,69-50,,
7:59.0,,,69-50,,D. Russell misses 2-pt shot from 17 ft
7:57.0,,,69-50,,Offensive rebound by T. Black
7:53.0,,,69-50,,N. Young misses 3-pt shot from 25 ft
7:51.0,Defensive rebound by P. Gasol,,69-50,,
7:37.0,K. Anderson makes 2-pt shot from 1 ft (assist by D. Green),2,71-50,,
7:20.0,,,71-50,,Turnover by D. Russell (lost ball; steal by D. Green)
7:15.0,D. Green makes 2-pt shot at rim (assist by T. Parker),2,73-50,,
6:59.0,,,73-50,,N. Young misses 3-pt shot from 24 ft
6:58.0,,,73-50,,Offensive rebound by J. Randle
6:56.0,,,73-52,2,J. Randle makes 2-pt shot at rim
6:29.0,P. Gasol makes 2-pt shot from 8 ft (assist by T. Parker),2,75-52,,
6:10.0,,,75-52,,D. Russell misses 3-pt shot from 25 ft
6:09.0,,,75-52,,Offensive rebound by T. Black
6:00.0,,,75-52,,N. Young misses 3-pt shot from 25 ft
5:58.0,,,75-52,,Offensive rebound by D. Russell
5:54.0,,,75-55,3,D. Russell makes 3-pt shot from 25 ft
5:38.0,T. Parker makes 2-pt shot from 1 ft,2,77-55,,
5:26.0,,,77-55,,Shooting foul by P. Gasol (drawn by T. Black)
5:26.0,,,77-56,1,T. Black makes free throw 1 of 2
5:26.0,,,77-57,1,T. Black makes free throw 2 of 2
5:26.0,,,77-56,,J. Clarkson enters the game for D. Russell
5:26.0,M. Ginobili enters the game for D. Green,,77-56,,
5:26.0,P. Mills enters the game for T. Parker,,77-56,,
5:15.0,K. Anderson misses 2-pt shot from 2 ft (block by B. Ingram),,77-57,,
5:13.0,Offensive rebound by L. Aldridge,,77-57,,
5:13.0,L. Aldridge misses 2-pt shot from 1 ft,,77-57,,
5:12.0,Offensive rebound by L. Aldridge,,77-57,,
5:12.0,L. Aldridge makes 2-pt shot from 1 ft,2,79-57,,
4:56.0,,,79-60,3,J. Clarkson makes 3-pt shot from 26 ft (assist by T. Black)
4:36.0,K. Anderson misses 2-pt shot from 5 ft,,79-60,,
4:36.0,Offensive rebound by L. Aldridge,,79-60,,
4:28.0,P. Gasol makes 2-pt shot from 8 ft,2,81-60,,
4:28.0,Shooting foul by J. Randle (drawn by P. Gasol),,81-60,,
4:28.0,P. Gasol makes free throw 1 of 1,1,82-60,,
4:28.0,K. Leonard enters the game for K. Anderson,,81-60,,
4:28.0,D. Lee enters the game for L. Aldridge,,81-60,,
4:12.0,,,82-62,2,B. Ingram makes 2-pt shot at rim (assist by J. Randle)
3:56.0,P. Gasol misses 2-pt shot from 4 ft,,82-62,,
3:54.0,,,82-62,,Defensive rebound by T. Black
3:51.0,,,82-62,,Shooting foul by M. Ginobili (drawn by J. Randle)
3:51.0,,,82-62,,J. Randle misses free throw 1 of 2
3:51.0,,,82-62,,Offensive rebound by Team
3:51.0,,,82-63,1,J. Randle makes free throw 2 of 2
3:51.0,,,82-62,,C. Brewer enters the game for N. Young
3:39.0,P. Mills misses 2-pt shot from 19 ft,,82-63,,
3:36.0,,,82-63,,Defensive rebound by J. Randle
3:29.0,,,82-63,,B. Ingram misses 3-pt shot from 24 ft
3:27.0,Defensive rebound by P. Gasol,,82-63,,
3:21.0,Shooting foul by B. Ingram (drawn by K. Leonard),,82-63,,
3:21.0,K. Leonard makes free throw 1 of 2,1,83-63,,
3:21.0,K. Leonard makes free throw 2 of 2,1,84-63,,
3:21.0,,,83-63,,L. Nance enters the game for T. Black
3:11.0,,,84-63,,Turnover by L. Nance (bad pass; steal by P. Mills)
3:05.0,K. Leonard makes 2-pt shot from 17 ft (assist by P. Mills),2,86-63,,
2:54.0,,,86-63,,J. Clarkson misses 3-pt shot from 24 ft
2:53.0,Defensive rebound by K. Leonard,,86-63,,
2:48.0,P. Mills misses 3-pt shot from 25 ft,,86-63,,
2:47.0,,,86-63,,Defensive rebound by Team
2:47.0,Loose ball foul by M. Ginobili (drawn by J. Randle),,86-63,,
2:47.0,,,86-63,,LA Lakers full timeout
2:47.0,,,86-63,,J. Randle misses free throw 1 of 2
2:47.0,,,86-63,,Offensive rebound by Team
2:47.0,,,86-64,1,J. Randle makes free throw 2 of 2
2:32.0,P. Mills makes 3-pt shot from 24 ft (assist by K. Leonard),3,89-64,,
2:15.0,,,89-66,2,B. Ingram makes 2-pt shot from 2 ft
2:05.0,P. Gasol makes 2-pt shot from 1 ft (assist by P. Mills),2,91-66,,
1:56.0,,,91-66,,J. Clarkson misses 2-pt shot from 6 ft
1:54.0,,,91-66,,Offensive rebound by C. Brewer
1:43.0,,,91-68,2,J. Clarkson makes 2-pt shot from 7 ft
1:27.0,Jump ball: C. Brewer vs. P. Gasol,,,,Jump ball: C. Brewer vs. P. Gasol
1:26.0,,,91-68,,Violation by Team (jump ball)
1:26.0,D. Dedmon enters the game for P. Gasol,,91-68,,
1:19.0,M. Ginobili makes 3-pt shot from 24 ft (assist by D. Lee),3,94-68,,
1:03.0,,,94-70,2,B. Ingram makes 2-pt shot from 10 ft (assist by C. Brewer)
0:52.0,Turnover by D. Lee (bad pass),,94-70,,
0:45.0,,,94-70,,L. Nance misses 2-pt shot from 19 ft
0:44.0,,,94-70,,Offensive rebound by J. Randle
0:44.0,,,94-70,,Shooting foul by D. Lee (drawn by J. Randle)
0:44.0,,,94-70,,J. Randle misses free throw 1 of 2
0:44.0,,,94-70,,Offensive rebound by Team
0:44.0,,,94-70,,J. Randle misses free throw 2 of 2
0:44.0,Defensive rebound by D. Dedmon,,94-70,,
0:29.0,K. Leonard misses 3-pt shot from 24 ft,,94-70,,
0:28.0,,,94-70,,Defensive rebound by B. Ingram
0:08.0,,,94-70,,Turnover by J. Clarkson (lost ball; steal by M. Ginobili)
0:04.0,P. Mills makes 2-pt shot from 1 ft (assist by D. Dedmon),2,96-70,,
0:00.0,,,96-70,,J. Randle misses 3-pt shot from 25 ft
0:00.0,,,96-70,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:52.0,D. Dedmon makes 2-pt shot at rim (assist by P. Mills),2,98-70,,
11:35.0,Personal foul by D. Lee (drawn by B. Ingram),,98-70,,
11:26.0,,,98-70,,I. Zubac misses 2-pt shot from 6 ft
11:24.0,Defensive rebound by D. Dedmon,,98-70,,
11:15.0,,,98-70,,Personal foul by C. Brewer (drawn by D. Dedmon)
11:15.0,D. Murray enters the game for P. Mills,,98-70,,
11:06.0,K. Leonard misses 3-pt shot from 24 ft,,98-70,,
11:05.0,,,98-70,,Defensive rebound by L. Nance
10:59.0,,,98-70,,Shooting foul by M. Ginobili (drawn by B. Ingram)
10:59.0,,,98-72,2,B. Ingram makes 2-pt shot from 6 ft
10:59.0,,,98-73,1,B. Ingram makes free throw 1 of 1
10:36.0,K. Leonard misses 2-pt shot from 14 ft,,98-73,,
10:35.0,,,98-73,,Defensive rebound by C. Brewer
10:29.0,,,98-73,,C. Brewer misses 2-pt shot from 2 ft
10:28.0,Defensive rebound by K. Leonard,,98-73,,
10:22.0,D. Murray misses 2-pt shot from 2 ft,,98-73,,
10:21.0,Offensive rebound by D. Lee,,98-73,,
10:21.0,Turnover by D. Lee (bad pass; steal by C. Brewer),,98-73,,
10:21.0,Personal foul by M. Ginobili (drawn by C. Brewer),,98-73,,
10:21.0,,,98-73,,L. Deng enters the game for L. Nance
10:06.0,,,98-75,2,J. Clarkson makes 2-pt shot from 3 ft
9:41.0,K. Leonard misses 2-pt shot from 12 ft,,98-75,,
9:40.0,Offensive rebound by D. Dedmon,,98-75,,
9:39.0,Shooting foul by I. Zubac (drawn by D. Dedmon),,98-75,,
9:39.0,D. Dedmon misses free throw 1 of 2,,98-75,,
9:39.0,Offensive rebound by Team,,98-75,,
9:39.0,D. Dedmon makes free throw 2 of 2,1,99-75,,
9:39.0,,,98-75,,T. Robinson enters the game for I. Zubac
9:25.0,,,99-75,,Shooting foul by D. Murray (drawn by J. Clarkson)
9:25.0,,,99-76,1,J. Clarkson makes free throw 1 of 2
9:25.0,,,99-77,1,J. Clarkson makes free throw 2 of 2
9:08.0,D. Lee makes 2-pt shot from 3 ft (assist by M. Ginobili),2,101-77,,
8:50.0,,,101-79,2,B. Ingram makes 2-pt shot from 13 ft
8:39.0,Turnover by K. Leonard (lost ball; steal by T. Robinson),,101-79,,
8:21.0,,,101-79,,C. Brewer misses 2-pt shot at rim (block by D. Lee)
8:17.0,Defensive rebound by D. Lee,,101-79,,
8:14.0,K. Leonard makes 2-pt shot at rim (assist by D. Murray),2,103-79,,
8:05.0,,,103-79,,LA Lakers full timeout
8:05.0,K. Anderson enters the game for K. Leonard,,103-79,,
8:05.0,D. Bertans enters the game for D. Dedmon,,103-79,,
8:05.0,J. Simmons enters the game for M. Ginobili,,103-79,,
8:05.0,,,103-79,,T. Ennis enters the game for B. Ingram
7:47.0,,,103-79,,T. Robinson misses 2-pt shot at rim
7:46.0,Defensive rebound by D. Bertans,,103-79,,
7:45.0,Turnover by D. Bertans (lost ball; steal by T. Robinson),,103-79,,
7:44.0,,,103-79,,T. Robinson misses 2-pt shot from 2 ft (block by D. Murray)
7:44.0,,,103-79,,Offensive rebound by T. Robinson
7:44.0,,,103-79,,Turnover by T. Robinson (lost ball; steal by K. Anderson)
7:34.0,J. Simmons makes 2-pt shot from 2 ft (assist by D. Murray),2,105-79,,
7:26.0,,,105-81,2,J. Clarkson makes 2-pt shot from 6 ft
7:08.0,K. Anderson makes 2-pt shot from 1 ft (assist by D. Murray),2,107-81,,
7:02.0,,,107-81,,Shooting foul by K. Anderson (drawn by C. Brewer)
7:02.0,,,107-82,1,C. Brewer makes free throw 1 of 2
7:02.0,,,107-83,1,C. Brewer makes free throw 2 of 2
7:02.0,,,107-82,,D. Russell enters the game for J. Clarkson
6:47.0,Turnover by J. Simmons (lost ball),,107-83,,
6:36.0,,,107-83,,L. Deng misses 3-pt shot from 25 ft
6:35.0,,,107-83,,Offensive rebound by T. Ennis
6:26.0,,,107-85,2,D. Russell makes 2-pt shot from 19 ft
6:11.0,Shooting foul by L. Deng (drawn by J. Simmons),,107-85,,
6:11.0,J. Simmons makes free throw 1 of 2,1,108-85,,
6:11.0,J. Simmons makes free throw 2 of 2,1,109-85,,
6:00.0,,,109-87,2,T. Robinson makes 2-pt shot at rim (assist by T. Ennis)
5:52.0,San Antonio full timeout,,109-87,,
5:52.0,,,109-87,,B. Ingram enters the game for L. Deng
5:52.0,,,109-87,,I. Zubac enters the game for C. Brewer
5:43.0,Turnover by D. Murray (bad pass; steal by I. Zubac),,109-87,,
5:29.0,,,109-87,,D. Russell misses 3-pt shot from 24 ft
5:28.0,Defensive rebound by D. Lee,,109-87,,
5:14.0,J. Simmons misses 2-pt shot from 18 ft,,109-87,,
5:12.0,,,109-87,,Defensive rebound by T. Robinson
4:55.0,,,109-87,,B. Ingram misses 2-pt shot from 19 ft
4:52.0,Defensive rebound by K. Anderson,,109-87,,
4:45.0,D. Lee makes 2-pt shot at rim (assist by D. Bertans),2,111-87,,
4:29.0,,,111-89,2,T. Ennis makes 2-pt shot from 7 ft
