time,New York,pts.away,score,pts.home,LA Clippers
7:04.0,,,9-8,,L. Mbah a Moute misses 3-pt shot from 26 ft
7:02.0,Defensive rebound by W. Hernangomez,,9-8,,
6:53.0,D. Rose misses 2-pt shot from 20 ft,,9-8,,
6:51.0,,,9-8,,Defensive rebound by J. Redick
6:45.0,,,9-10,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
6:21.0,K. Porzingis makes 2-pt shot from 19 ft (assist by D. Rose),2,11-10,,
6:12.0,,,11-12,2,B. Griffin makes 2-pt shot from 3 ft
6:12.0,,,11-12,,Shooting foul by K. Porzingis (drawn by B. Griffin)
6:12.0,,,11-13,1,B. Griffin makes free throw 1 of 1
5:49.0,C. Anthony misses 2-pt shot from 3 ft,,11-13,,
5:44.0,Offensive rebound by C. Anthony,,11-13,,
5:44.0,C. Anthony makes 2-pt shot from 2 ft,2,13-13,,
5:27.0,,,13-16,3,B. Griffin makes 3-pt shot from 26 ft (assist by C. Paul)
5:04.0,W. Hernangomez makes 2-pt shot at rim (assist by C. Lee),2,15-16,,
4:45.0,,,15-18,2,D. Jordan makes 2-pt shot at rim (assist by J. Redick)
4:24.0,W. Hernangomez makes 2-pt shot from 16 ft (assist by K. Porzingis),2,17-18,,
4:03.0,,,17-20,2,C. Paul makes 2-pt shot from 19 ft (assist by B. Griffin)
3:55.0,New York full timeout,,17-20,,
3:55.0,L. Thomas enters the game for K. Porzingis,,17-20,,
3:42.0,W. Hernangomez misses 2-pt shot from 10 ft,,17-20,,
3:40.0,,,17-20,,Defensive rebound by B. Griffin
3:31.0,,,17-20,,D. Jordan misses 2-pt shot from 4 ft
3:27.0,Defensive rebound by C. Anthony,,17-20,,
3:25.0,D. Rose makes 2-pt shot from 3 ft,2,19-20,,
3:03.0,Personal foul by D. Rose (drawn by D. Jordan),,19-20,,
3:03.0,,,19-20,,M. Speights enters the game for D. Jordan
3:03.0,,,19-20,,J. Crawford enters the game for J. Redick
3:03.0,K. O'Quinn enters the game for W. Hernangomez,,19-20,,
3:03.0,J. Holiday enters the game for C. Lee,,19-20,,
2:56.0,Def 3 sec tech foul by K. O'Quinn,,19-20,,
2:56.0,,,19-20,,LA Clippers full timeout
2:56.0,,,19-21,1,C. Paul makes technical free throw
2:56.0,M. Kuzminskas enters the game for C. Anthony,,19-20,,
2:56.0,,,19-21,,A. Rivers enters the game for L. Mbah a Moute
2:50.0,,,19-23,2,B. Griffin makes 2-pt shot from 3 ft
2:30.0,J. Holiday misses 3-pt shot from 26 ft,,19-23,,
2:28.0,,,19-23,,Defensive rebound by A. Rivers
2:16.0,,,19-23,,A. Rivers misses 3-pt shot from 26 ft
2:15.0,,,19-23,,Offensive rebound by B. Griffin
2:08.0,,,19-25,2,C. Paul makes 2-pt shot from 18 ft
1:51.0,D. Rose makes 2-pt shot from 3 ft,2,21-25,,
1:37.0,,,21-25,,C. Paul misses 2-pt shot from 18 ft
1:34.0,Defensive rebound by K. O'Quinn,,21-25,,
1:27.0,L. Thomas makes 2-pt shot from 2 ft (assist by J. Holiday),2,23-25,,
1:12.0,Personal foul by M. Kuzminskas (drawn by A. Rivers),,23-25,,
1:12.0,,,23-26,1,A. Rivers makes free throw 1 of 2
1:12.0,,,23-27,1,A. Rivers makes free throw 2 of 2
1:12.0,,,23-26,,R. Felton enters the game for C. Paul
0:52.0,D. Rose misses 2-pt shot from 12 ft,,23-27,,
0:50.0,,,23-27,,Defensive rebound by B. Griffin
0:45.0,,,23-27,,R. Felton misses 2-pt shot from 2 ft
0:41.0,Defensive rebound by J. Holiday,,23-27,,
0:39.0,Turnover by M. Kuzminskas (bad pass),,23-27,,
0:22.0,,,23-29,2,M. Speights makes 2-pt shot at rim (assist by A. Rivers)
0:05.0,,,23-29,,Personal foul by A. Rivers (drawn by K. O'Quinn)
0:05.0,,,23-29,,L. Mbah a Moute enters the game for M. Speights
0:05.0,C. Lee enters the game for K. O'Quinn,,23-29,,
0:03.0,M. Kuzminskas misses 3-pt shot from 25 ft,,23-29,,
0:01.0,,,23-29,,Defensive rebound by L. Mbah a Moute
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,23-31,2,A. Rivers makes 2-pt shot from 3 ft
11:40.0,,,23-31,,Shooting foul by M. Plumlee (drawn by A. Rivers)
11:40.0,,,23-32,1,A. Rivers makes free throw 1 of 1
11:21.0,J. Holiday misses 2-pt shot from 21 ft,,23-32,,
11:20.0,Offensive rebound by M. Kuzminskas,,23-32,,
11:15.0,Turnover by L. Thomas (lost ball; steal by J. Crawford),,23-32,,
11:05.0,,,23-32,,R. Felton misses 2-pt shot from 14 ft
11:03.0,Defensive rebound by M. Kuzminskas,,23-32,,
10:46.0,M. Plumlee makes 2-pt shot from 2 ft (assist by M. Kuzminskas),2,25-32,,
10:32.0,,,25-35,3,A. Rivers makes 3-pt shot from 26 ft
10:19.0,M. Kuzminskas misses 3-pt shot from 26 ft,,25-35,,
10:18.0,,,25-35,,Defensive rebound by M. Speights
10:12.0,,,25-35,,A. Rivers misses 3-pt shot from 27 ft
10:07.0,Defensive rebound by M. Plumlee,,25-35,,
9:57.0,Shooting foul by A. Rivers (drawn by M. Plumlee),,25-35,,
9:57.0,M. Plumlee misses free throw 1 of 2,,25-35,,
9:57.0,Offensive rebound by Team,,25-35,,
9:57.0,M. Plumlee misses free throw 2 of 2,,25-35,,
9:55.0,,,25-35,,Defensive rebound by R. Felton
9:55.0,Personal foul by L. Thomas (drawn by R. Felton),,25-35,,
9:55.0,K. Porzingis enters the game for L. Thomas,,25-35,,
9:42.0,,,25-38,3,J. Crawford makes 3-pt shot from 26 ft
9:20.0,R. Baker makes 3-pt shot from 23 ft (assist by M. Kuzminskas),3,28-38,,
9:10.0,,,28-38,,J. Crawford misses 3-pt shot from 26 ft
9:09.0,Defensive rebound by J. Holiday,,28-38,,
8:59.0,,,28-38,,Personal foul by J. Crawford (drawn by M. Plumlee)
8:59.0,Official timeout,,28-38,,
8:51.0,Turnover by R. Baker (bad pass; steal by M. Speights),,28-38,,
8:30.0,,,28-40,2,P. Pierce makes 2-pt shot from 3 ft
8:13.0,R. Baker misses 2-pt shot from 8 ft,,28-40,,
8:11.0,,,28-40,,Defensive rebound by P. Pierce
8:06.0,,,28-40,,Turnover by R. Felton (lost ball; steal by R. Baker)
7:59.0,Turnover by M. Kuzminskas (lost ball; steal by R. Felton),,28-40,,
7:55.0,,,28-40,,Turnover by A. Rivers (bad pass; steal by M. Kuzminskas)
7:46.0,,,28-40,,Personal foul by P. Pierce (drawn by M. Plumlee)
7:46.0,C. Randle enters the game for M. Kuzminskas,,28-40,,
7:32.0,J. Holiday makes 3-pt shot from 26 ft (assist by C. Randle),3,31-40,,
7:21.0,,,31-42,2,J. Crawford makes 2-pt shot from 17 ft (assist by P. Pierce)
7:04.0,K. Porzingis makes 2-pt shot from 17 ft,2,33-42,,
6:51.0,,,33-42,,Shooting foul by C. Randle (drawn by A. Rivers)
6:51.0,,,33-42,,A. Rivers misses free throw 1 of 2
6:51.0,,,33-42,,Offensive rebound by Team
6:51.0,,,33-43,1,A. Rivers makes free throw 2 of 2
6:51.0,,,33-42,,B. Griffin enters the game for P. Pierce
6:51.0,,,33-42,,D. Jordan enters the game for M. Speights
6:38.0,C. Randle misses 2-pt shot from 4 ft (block by D. Jordan),,33-43,,
6:35.0,Offensive rebound by K. Porzingis,,33-43,,
6:32.0,K. Porzingis makes 2-pt shot from 1 ft,2,35-43,,
6:21.0,,,35-45,2,A. Rivers makes 2-pt shot from 6 ft
6:08.0,K. Porzingis makes 2-pt shot from 7 ft (assist by R. Baker),2,37-45,,
5:51.0,,,37-47,2,D. Jordan makes 2-pt shot at rim (assist by A. Rivers)
5:42.0,Turnover by C. Randle (bad pass; steal by B. Griffin),,37-47,,
5:41.0,Clear path foul by K. Porzingis,,37-47,,
5:41.0,,,37-47,,LA Clippers full timeout
5:41.0,,,37-48,1,B. Griffin makes clear path free throw 1 of 2
5:41.0,,,37-48,,B. Griffin misses clear path free throw 2 of 2
5:41.0,,,37-48,,Offensive rebound by Team
5:41.0,,,37-47,,C. Paul enters the game for J. Crawford
5:41.0,,,37-47,,J. Redick enters the game for R. Felton
5:41.0,C. Anthony enters the game for M. Plumlee,,37-47,,
5:26.0,,,37-48,,J. Redick misses 3-pt shot from 27 ft
5:25.0,Defensive rebound by R. Baker,,37-48,,
5:13.0,K. Porzingis makes 2-pt shot from 19 ft (assist by C. Randle),2,39-48,,
4:54.0,Violation by R. Baker (kicked ball),,39-48,,
4:54.0,,,39-48,,J. Crawford enters the game for A. Rivers
4:54.0,D. Rose enters the game for R. Baker,,39-48,,
4:45.0,Personal foul by K. Porzingis,,39-48,,
4:45.0,,,39-49,1,J. Redick makes free throw 1 of 2
4:45.0,,,39-50,1,J. Redick makes free throw 2 of 2
4:30.0,Turnover by K. Porzingis (offensive goaltending),,39-50,,
4:27.0,C. Lee enters the game for J. Holiday,,39-50,,
4:19.0,,,39-50,,C. Paul misses 2-pt shot from 13 ft
4:18.0,Defensive rebound by D. Rose,,39-50,,
4:15.0,D. Rose makes 2-pt shot from 4 ft,2,41-50,,
3:57.0,,,41-52,2,J. Redick makes 2-pt shot from 20 ft (assist by C. Paul)
3:45.0,C. Lee misses 3-pt shot from 23 ft,,41-52,,
3:45.0,,,41-52,,Defensive rebound by Team
3:34.0,Def 3 sec tech foul by K. Porzingis,,41-52,,
3:34.0,,,41-53,1,J. Redick makes technical free throw
3:24.0,,,41-53,,Turnover by J. Redick (bad pass; steal by K. Porzingis)
3:23.0,,,41-53,,Personal take foul by C. Paul (drawn by D. Rose)
3:13.0,C. Anthony misses 3-pt shot from 27 ft,,41-53,,
3:11.0,,,41-53,,Defensive rebound by J. Redick
3:06.0,,,41-55,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
2:51.0,,,41-55,,Personal foul by B. Griffin (drawn by C. Anthony)
2:51.0,New York full timeout,,41-55,,
2:51.0,C. Anthony makes free throw 1 of 2,1,42-55,,
2:51.0,C. Anthony makes free throw 2 of 2,1,43-55,,
2:51.0,W. Hernangomez enters the game for K. Porzingis,,41-55,,
2:34.0,,,43-55,,J. Redick misses 2-pt shot from 19 ft
2:33.0,,,43-55,,Offensive rebound by D. Jordan
2:22.0,,,43-55,,B. Griffin misses 2-pt shot from 13 ft
2:20.0,Defensive rebound by W. Hernangomez,,43-55,,
2:10.0,C. Anthony makes 2-pt shot from 16 ft,2,45-55,,
2:04.0,,,45-57,2,B. Griffin makes 2-pt shot from 3 ft (assist by C. Paul)
1:49.0,C. Anthony makes 2-pt shot from 13 ft,2,47-57,,
1:36.0,,,47-59,2,B. Griffin makes 2-pt shot from 3 ft
1:35.0,,,47-59,,Violation by Team (jump ball)
1:17.0,C. Lee misses 3-pt shot from 28 ft,,47-59,,
1:16.0,Offensive rebound by W. Hernangomez,,47-59,,
1:11.0,,,47-59,,Personal foul by B. Griffin (drawn by W. Hernangomez)
1:11.0,W. Hernangomez makes free throw 1 of 2,1,48-59,,
1:11.0,W. Hernangomez makes free throw 2 of 2,1,49-59,,
1:00.0,,,49-61,2,B. Griffin makes 2-pt shot from 2 ft (assist by J. Redick)
0:52.0,C. Anthony misses 2-pt shot from 21 ft,,49-61,,
0:50.0,Offensive rebound by W. Hernangomez,,49-61,,
0:50.0,W. Hernangomez makes 2-pt shot from 9 ft,2,51-61,,
0:47.0,Personal foul by C. Anthony (drawn by B. Griffin),,51-61,,
0:47.0,,,51-61,,B. Griffin misses free throw 1 of 2
0:47.0,,,51-61,,Offensive rebound by Team
0:47.0,,,51-61,,B. Griffin misses free throw 2 of 2
0:47.0,,,51-61,,L. Mbah a Moute enters the game for J. Crawford
0:46.0,Defensive rebound by W. Hernangomez,,51-61,,
0:36.0,D. Rose misses 2-pt shot from 8 ft,,51-61,,
0:34.0,Offensive rebound by W. Hernangomez,,51-61,,
0:33.0,W. Hernangomez misses 2-pt shot from 2 ft (block by D. Jordan),,51-61,,
0:31.0,,,51-61,,Defensive rebound by C. Paul
0:28.0,,,51-63,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
0:06.0,C. Anthony makes 2-pt shot from 11 ft (assist by D. Rose),2,53-63,,
0:01.0,,,53-63,,B. Griffin misses 3-pt shot from 27 ft
0:00.0,,,53-63,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,53-65,2,L. Mbah a Moute makes 2-pt shot at rim (assist by C. Paul)
11:24.0,W. Hernangomez misses 2-pt shot from 4 ft (block by D. Jordan),,53-65,,
11:21.0,Offensive rebound by W. Hernangomez,,53-65,,
11:19.0,W. Hernangomez misses 2-pt shot from 4 ft,,53-65,,
11:18.0,,,53-65,,Defensive rebound by D. Jordan
11:14.0,,,53-65,,Turnover by L. Mbah a Moute (bad pass; steal by K. Porzingis)
11:08.0,C. Lee misses 2-pt shot from 21 ft,,53-65,,
11:06.0,,,53-65,,Defensive rebound by L. Mbah a Moute
11:00.0,,,53-67,2,B. Griffin makes 2-pt shot at rim (assist by L. Mbah a Moute)
11:00.0,New York full timeout,,53-67,,
10:40.0,K. Porzingis makes 2-pt shot from 12 ft (assist by D. Rose),2,55-67,,
10:22.0,,,55-67,,J. Redick misses 2-pt shot from 15 ft
10:21.0,Defensive rebound by W. Hernangomez,,55-67,,
10:05.0,K. Porzingis misses 3-pt shot from 26 ft,,55-67,,
10:05.0,,,55-67,,Defensive rebound by Team
9:50.0,,,55-69,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
9:30.0,W. Hernangomez misses 2-pt shot from 17 ft,,55-69,,
9:29.0,,,55-69,,Defensive rebound by J. Redick
9:17.0,,,55-69,,B. Griffin misses 2-pt shot from 1 ft
9:15.0,Defensive rebound by C. Anthony,,55-69,,
9:07.0,C. Anthony misses 2-pt shot from 17 ft,,55-69,,
9:06.0,Offensive rebound by W. Hernangomez,,55-69,,
8:52.0,D. Rose makes 2-pt shot from 5 ft,2,57-69,,
8:39.0,Personal foul by C. Anthony (drawn by B. Griffin),,57-69,,
8:29.0,,,57-72,3,B. Griffin makes 3-pt shot from 27 ft (assist by C. Paul)
8:11.0,Turnover by W. Hernangomez (bad pass; steal by L. Mbah a Moute),,57-72,,
8:08.0,,,57-74,2,L. Mbah a Moute makes 2-pt shot from 1 ft
7:49.0,W. Hernangomez misses 2-pt shot from 3 ft (block by B. Griffin),,57-74,,
7:49.0,,,57-74,,Defensive rebound by Team
7:43.0,,,57-77,3,C. Paul makes 3-pt shot from 26 ft
7:30.0,W. Hernangomez misses 2-pt shot from 20 ft,,57-77,,
7:29.0,,,57-77,,Defensive rebound by C. Paul
7:15.0,,,57-80,3,C. Paul makes 3-pt shot from 25 ft
7:14.0,New York full timeout,,57-80,,
7:14.0,J. Holiday enters the game for W. Hernangomez,,57-80,,
7:04.0,K. Porzingis makes 2-pt shot at rim (assist by J. Holiday),2,59-80,,
6:45.0,,,59-80,,D. Jordan misses 2-pt shot at rim
6:43.0,,,59-80,,Offensive rebound by B. Griffin
6:42.0,,,59-80,,B. Griffin misses 2-pt shot from 2 ft
6:38.0,,,59-80,,Offensive rebound by B. Griffin
6:37.0,,,59-80,,B. Griffin misses 2-pt shot from 1 ft (block by J. Holiday)
6:35.0,Defensive rebound by K. Porzingis,,59-80,,
6:34.0,Shooting foul by C. Paul (drawn by D. Rose),,59-80,,
6:34.0,D. Rose makes free throw 1 of 2,1,60-80,,
6:34.0,D. Rose makes free throw 2 of 2,1,61-80,,
6:13.0,,,61-80,,L. Mbah a Moute misses 3-pt shot from 25 ft
6:12.0,Defensive rebound by C. Lee,,61-80,,
6:00.0,K. Porzingis makes 2-pt shot from 15 ft (assist by C. Lee),2,63-80,,
5:35.0,,,63-80,,C. Paul misses 3-pt shot from 27 ft
5:35.0,Defensive rebound by D. Rose,,63-80,,
5:26.0,Shooting foul by D. Jordan (drawn by D. Rose),,63-80,,
5:26.0,D. Rose makes free throw 1 of 2,1,64-80,,
5:26.0,D. Rose makes free throw 2 of 2,1,65-80,,
5:14.0,,,65-83,3,J. Redick makes 3-pt shot from 26 ft (assist by B. Griffin)
5:00.0,D. Rose makes 2-pt shot from 3 ft,2,67-83,,
4:42.0,,,67-85,2,D. Jordan makes 2-pt shot from 2 ft (assist by J. Redick)
4:29.0,J. Holiday misses 3-pt shot from 26 ft,,67-85,,
4:28.0,,,67-85,,Defensive rebound by C. Paul
4:25.0,Violation by J. Holiday (kicked ball),,67-85,,
4:10.0,,,67-85,,J. Redick misses 3-pt shot from 27 ft
4:09.0,Defensive rebound by J. Holiday,,67-85,,
3:56.0,D. Rose misses 2-pt shot from 2 ft,,67-85,,
3:52.0,,,67-85,,Defensive rebound by D. Jordan
3:48.0,,,67-88,3,J. Redick makes 3-pt shot from 26 ft (assist by C. Paul)
3:34.0,C. Anthony misses 2-pt shot from 4 ft,,67-88,,
3:33.0,Offensive rebound by C. Anthony,,67-88,,
3:33.0,C. Anthony makes 2-pt shot from 2 ft,2,69-88,,
3:33.0,Shooting foul by B. Griffin (drawn by C. Anthony),,69-88,,
3:33.0,C. Anthony makes free throw 1 of 1,1,70-88,,
3:33.0,L. Thomas enters the game for C. Lee,,69-88,,
3:33.0,,,69-88,,J. Crawford enters the game for J. Redick
3:23.0,,,70-91,3,B. Griffin makes 3-pt shot from 24 ft (assist by C. Paul)
3:08.0,K. Porzingis misses 3-pt shot from 28 ft,,70-91,,
3:06.0,,,70-91,,Defensive rebound by B. Griffin
2:52.0,,,70-93,2,C. Paul makes 2-pt shot from 12 ft
2:27.0,C. Anthony misses 3-pt shot from 27 ft,,70-93,,
2:26.0,,,70-93,,Defensive rebound by D. Jordan
2:08.0,,,70-95,2,B. Griffin makes 2-pt shot from 2 ft
1:54.0,J. Holiday makes 2-pt shot from 19 ft (assist by D. Rose),2,72-95,,
1:36.0,,,72-95,,J. Crawford misses 2-pt shot from 20 ft
1:32.0,Defensive rebound by K. Porzingis,,72-95,,
1:24.0,C. Anthony misses 3-pt shot from 28 ft,,72-95,,
1:23.0,Offensive rebound by K. Porzingis,,72-95,,
1:20.0,Turnover by K. Porzingis (lost ball),,72-95,,
1:20.0,,,72-95,,LA Clippers full timeout
1:20.0,R. Baker enters the game for C. Anthony,,72-95,,
1:20.0,M. Kuzminskas enters the game for K. Porzingis,,72-95,,
1:20.0,M. Plumlee enters the game for D. Rose,,72-95,,
1:20.0,,,72-95,,A. Rivers enters the game for L. Mbah a Moute
0:56.0,,,72-95,,B. Griffin misses 2-pt shot from 17 ft
0:55.0,,,72-95,,Offensive rebound by D. Jordan
0:42.0,,,72-97,2,J. Crawford makes 2-pt shot from 15 ft
0:31.0,Turnover by M. Plumlee (lost ball; steal by C. Paul),,72-97,,
0:07.0,,,72-97,,J. Crawford misses 3-pt shot from 26 ft
0:05.0,,,72-97,,Offensive rebound by D. Jordan
0:01.0,,,72-97,,C. Paul misses 3-pt shot from 29 ft
0:00.0,,,72-97,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,L. Thomas misses 2-pt shot from 23 ft,,72-97,,
11:45.0,Offensive rebound by M. Kuzminskas,,72-97,,
11:39.0,M. Kuzminskas misses 2-pt shot from 4 ft,,72-97,,
11:37.0,,,72-97,,Defensive rebound by P. Pierce
11:24.0,,,72-97,,Turnover by J. Crawford (bad pass)
11:04.0,J. Holiday makes 2-pt shot from 18 ft,2,74-97,,
10:40.0,,,74-97,,Turnover by Team (shot clock)
10:29.0,J. Holiday makes 2-pt shot from 20 ft (assist by M. Kuzminskas),2,76-97,,
10:09.0,,,76-99,2,J. Crawford makes 2-pt shot from 3 ft
9:48.0,L. Thomas misses 2-pt shot from 11 ft,,76-99,,
9:45.0,,,76-99,,Defensive rebound by M. Speights
9:34.0,,,76-99,,P. Pierce misses 3-pt shot from 27 ft
9:32.0,Defensive rebound by R. Baker,,76-99,,
9:23.0,R. Baker makes 2-pt shot from 2 ft,2,78-99,,
9:11.0,,,78-99,,Turnover by M. Speights (bad pass)
9:05.0,Shooting foul by J. Crawford (drawn by M. Kuzminskas),,78-99,,
9:05.0,M. Kuzminskas makes 2-pt shot at rim (assist by L. Thomas),2,80-99,,
9:05.0,M. Kuzminskas makes free throw 1 of 1,1,81-99,,
8:48.0,,,81-99,,J. Crawford misses 3-pt shot from 25 ft
8:46.0,Defensive rebound by M. Kuzminskas,,81-99,,
8:37.0,Turnover by M. Plumlee (bad pass; steal by R. Felton),,81-99,,
8:31.0,,,81-99,,A. Rivers misses 3-pt shot from 27 ft
8:29.0,,,81-99,,Offensive rebound by R. Felton
8:29.0,Personal foul by R. Baker (drawn by J. Crawford),,81-99,,
8:29.0,Official timeout,,81-99,,
8:17.0,,,81-99,,Turnover by A. Rivers (bad pass; steal by J. Holiday)
8:15.0,Shooting foul by P. Pierce (drawn by J. Holiday),,81-99,,
8:15.0,J. Holiday makes free throw 1 of 2,1,82-99,,
8:15.0,J. Holiday makes free throw 2 of 2,1,83-99,,
8:08.0,Personal foul by M. Kuzminskas (drawn by J. Crawford),,83-99,,
8:01.0,,,83-99,,R. Felton misses 2-pt shot from 2 ft
7:59.0,,,83-99,,Offensive rebound by M. Speights
7:55.0,,,83-101,2,A. Rivers makes 2-pt shot from 3 ft
7:35.0,M. Plumlee makes 2-pt shot at rim (assist by J. Holiday),2,85-101,,
7:12.0,,,85-101,,M. Speights misses 3-pt shot from 27 ft
7:11.0,Defensive rebound by L. Thomas,,85-101,,
6:58.0,M. Kuzminskas misses 3-pt shot from 25 ft,,85-101,,
6:57.0,,,85-101,,Defensive rebound by M. Speights
6:50.0,,,85-103,2,J. Crawford makes 2-pt shot from 19 ft (assist by R. Felton)
6:23.0,J. Holiday misses 2-pt shot from 19 ft,,85-103,,
6:22.0,,,85-103,,Defensive rebound by R. Felton
6:16.0,,,85-105,2,A. Rivers makes 2-pt shot from 2 ft (assist by R. Felton)
6:04.0,,,85-105,,Personal foul by J. Crawford (drawn by M. Kuzminskas)
6:04.0,K. Porzingis enters the game for L. Thomas,,85-105,,
6:04.0,,,85-105,,B. Bass enters the game for P. Pierce
5:57.0,M. Plumlee misses 2-pt shot from 20 ft,,85-105,,
5:55.0,,,85-105,,Defensive rebound by J. Crawford
5:47.0,,,85-105,,A. Rivers misses 2-pt shot from 2 ft
5:43.0,Defensive rebound by M. Plumlee,,85-105,,
5:39.0,,,85-105,,Personal foul by J. Crawford (drawn by K. Porzingis)
5:39.0,,,85-105,,LA Clippers full timeout
5:30.0,K. Porzingis makes 2-pt shot from 4 ft (assist by R. Baker),2,87-105,,
5:12.0,,,87-105,,M. Speights misses 3-pt shot from 25 ft
5:10.0,Defensive rebound by J. Holiday,,87-105,,
4:51.0,K. Porzingis misses 2-pt shot from 11 ft,,87-105,,
4:50.0,,,87-105,,Defensive rebound by R. Felton
4:43.0,,,87-105,,Shooting foul by M. Kuzminskas (drawn by M. Speights)
4:43.0,,,87-106,1,M. Speights makes free throw 1 of 2
4:43.0,,,87-107,1,M. Speights makes free throw 2 of 2
4:31.0,R. Baker misses 2-pt shot from 4 ft,,87-107,,
4:28.0,,,87-107,,Defensive rebound by B. Bass
4:10.0,,,87-107,,R. Felton misses 3-pt shot from 28 ft
4:09.0,Defensive rebound by K. Porzingis,,87-107,,
4:02.0,Shooting foul by R. Felton (drawn by M. Kuzminskas),,87-107,,
4:02.0,M. Kuzminskas makes free throw 1 of 2,1,88-107,,
4:02.0,M. Kuzminskas makes free throw 2 of 2,1,89-107,,
4:02.0,,,88-107,,W. Johnson enters the game for M. Speights
3:41.0,,,89-107,,W. Johnson misses 3-pt shot from 23 ft
3:40.0,Defensive rebound by M. Plumlee,,89-107,,
3:30.0,M. Kuzminskas makes 3-pt shot from 24 ft (assist by K. Porzingis),3,92-107,,
3:13.0,,,92-109,2,A. Rivers makes 2-pt shot from 6 ft
2:59.0,Turnover by M. Kuzminskas (bad pass),,92-109,,
2:59.0,New York full timeout,,92-109,,
2:59.0,C. Randle enters the game for J. Holiday,,92-109,,
2:59.0,S. Vujacic enters the game for M. Kuzminskas,,92-109,,
2:49.0,,,92-109,,Turnover by A. Rivers (lost ball; steal by R. Baker)
2:44.0,C. Randle makes 2-pt shot from 7 ft,2,94-109,,
