time,Phoenix,pts.away,score,pts.home,Philadelphia
6:21.0,E. Bledsoe makes 2-pt shot from 17 ft,2,37-46,,
6:08.0,,,37-46,,G. Henderson misses 3-pt shot from 23 ft
6:06.0,Defensive rebound by P. Tucker,,37-46,,
5:52.0,A. Len misses 2-pt shot at rim,,37-46,,
5:51.0,,,37-46,,Defensive rebound by G. Henderson
5:45.0,,,37-46,,S. Rodriguez misses 3-pt shot from 25 ft
5:44.0,Defensive rebound by T. Ulis,,37-46,,
5:39.0,D. Booker misses 2-pt shot from 1 ft (block by J. Embiid),,37-46,,
5:38.0,Offensive rebound by Team,,37-46,,
5:38.0,Official timeout,,37-46,,
5:27.0,D. Booker misses 2-pt shot from 14 ft,,37-46,,
5:26.0,,,37-46,,Defensive rebound by Team
5:14.0,,,37-46,,Turnover by J. Embiid (traveling)
5:14.0,M. Chriss enters the game for P. Tucker,,37-46,,
5:03.0,Turnover by E. Bledsoe (lost ball; steal by R. Covington),,37-46,,
4:49.0,,,37-48,2,G. Henderson makes 2-pt shot from 11 ft
4:38.0,D. Booker misses 2-pt shot from 14 ft,,37-48,,
4:37.0,,,37-48,,Defensive rebound by R. Covington
4:33.0,,,37-50,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by S. Rodriguez)
4:12.0,E. Bledsoe misses 3-pt shot from 25 ft,,37-50,,
4:11.0,,,37-50,,Defensive rebound by J. Embiid
3:59.0,,,37-50,,J. Embiid misses 3-pt shot from 24 ft
3:58.0,Defensive rebound by M. Chriss,,37-50,,
3:46.0,M. Chriss misses 2-pt shot from 14 ft,,37-50,,
3:45.0,Offensive rebound by Team,,37-50,,
3:38.0,D. Booker makes 2-pt shot from 9 ft (assist by M. Chriss),2,39-50,,
3:26.0,,,39-50,,Shooting foul by A. Len (drawn by J. Embiid)
3:26.0,,,39-51,1,J. Embiid makes free throw 1 of 2
3:26.0,,,39-52,1,J. Embiid makes free throw 2 of 2
3:26.0,B. Knight enters the game for D. Booker,,39-51,,
3:15.0,T. Ulis misses 2-pt shot from 11 ft (block by R. Covington),,39-52,,
3:14.0,,,39-52,,Defensive rebound by G. Henderson
3:01.0,,,39-52,,G. Henderson misses 2-pt shot from 19 ft
3:00.0,Defensive rebound by E. Bledsoe,,39-52,,
2:52.0,E. Bledsoe misses 2-pt shot from 11 ft,,39-52,,
2:51.0,,,39-52,,Defensive rebound by R. Covington
2:47.0,,,39-52,,Shooting foul by M. Chriss (drawn by R. Covington)
2:47.0,Phoenix full timeout,,39-52,,
2:47.0,,,39-52,,R. Covington misses free throw 1 of 2
2:47.0,,,39-52,,Offensive rebound by Team
2:47.0,,,39-52,,R. Covington misses free throw 2 of 2
2:47.0,,,39-52,,T. McConnell enters the game for S. Rodriguez
2:47.0,,,39-52,,J. Okafor enters the game for J. Embiid
2:47.0,,,39-52,,N. Stauskas enters the game for G. Henderson
2:47.0,P. Tucker enters the game for T. Ulis,,39-52,,
2:46.0,Defensive rebound by M. Chriss,,39-52,,
2:33.0,E. Bledsoe makes 2-pt shot from 19 ft,2,41-52,,
2:23.0,,,41-55,3,E. Ilyasova makes 3-pt shot from 24 ft (assist by T. McConnell)
2:05.0,M. Chriss misses 2-pt shot from 8 ft (block by J. Okafor),,41-55,,
2:04.0,,,41-55,,Defensive rebound by Team
2:04.0,,,41-55,,H. Thompson enters the game for R. Covington
1:52.0,,,41-55,,Turnover by N. Stauskas (back court)
1:52.0,J. Dudley enters the game for M. Chriss,,41-55,,
1:39.0,B. Knight makes 2-pt shot from 20 ft (assist by P. Tucker),2,43-55,,
1:27.0,,,43-55,,T. McConnell misses 2-pt shot from 6 ft
1:26.0,,,43-55,,Offensive rebound by T. McConnell
1:18.0,,,43-55,,E. Ilyasova misses 3-pt shot from 26 ft
1:17.0,Defensive rebound by P. Tucker,,43-55,,
1:11.0,E. Bledsoe makes 3-pt shot from 26 ft,3,46-55,,
0:50.0,Personal foul by J. Dudley (drawn by E. Ilyasova),,46-55,,
0:36.0,,,46-55,,H. Thompson misses 2-pt shot from 7 ft
0:36.0,,,46-55,,Offensive rebound by Team
0:35.0,,,46-55,,Turnover by Team (shot clock)
0:31.0,E. Bledsoe makes 2-pt shot from 17 ft,2,48-55,,
0:06.0,,,48-58,3,N. Stauskas makes 3-pt shot from 25 ft
0:01.0,E. Bledsoe misses 3-pt shot from 25 ft,,48-58,,
0:00.0,Offensive rebound by Team,,48-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,48-60,2,J. Embiid makes 2-pt shot from 2 ft
11:22.0,Shooting foul by J. Embiid (drawn by P. Tucker),,48-60,,
11:22.0,P. Tucker makes free throw 1 of 2,1,49-60,,
11:22.0,P. Tucker makes free throw 2 of 2,1,50-60,,
11:10.0,,,50-60,,Turnover by S. Rodriguez (bad pass; steal by D. Booker)
11:07.0,,,50-60,,Flagrant foul type 1 by G. Henderson (drawn by M. Chriss)
11:07.0,M. Chriss misses flagrant free throw 1 of 2,,50-60,,
11:07.0,Offensive rebound by Team,,50-60,,
11:07.0,M. Chriss misses flagrant free throw 2 of 2,,50-60,,
11:07.0,Offensive rebound by Team,,50-60,,
10:56.0,Turnover by M. Chriss (lost ball; steal by E. Ilyasova),,50-60,,
10:50.0,,,50-60,,R. Covington misses 3-pt shot from 24 ft
10:49.0,Defensive rebound by E. Bledsoe,,50-60,,
10:44.0,E. Bledsoe makes 2-pt shot from 1 ft,2,52-60,,
10:38.0,Personal foul by E. Bledsoe (drawn by E. Ilyasova),,52-60,,
10:38.0,J. Dudley enters the game for M. Chriss,,52-60,,
10:26.0,,,52-62,2,S. Rodriguez makes 2-pt shot from 12 ft
10:21.0,,,52-62,,Shooting block foul by G. Henderson (drawn by P. Tucker)
10:21.0,P. Tucker makes free throw 1 of 2,1,53-62,,
10:21.0,P. Tucker makes free throw 2 of 2,1,54-62,,
10:05.0,,,54-65,3,R. Covington makes 3-pt shot from 24 ft (assist by J. Embiid)
9:51.0,Turnover by E. Bledsoe (lost ball; steal by R. Covington),,54-65,,
9:45.0,,,54-65,,Shooting foul by J. Dudley (drawn by G. Henderson)
9:45.0,,,54-66,1,G. Henderson makes free throw 1 of 2
9:45.0,,,54-67,1,G. Henderson makes free throw 2 of 2
9:36.0,Turnover by D. Booker (lost ball; steal by G. Henderson),,54-67,,
9:33.0,,,54-67,,Turnover by R. Covington (bad pass)
9:24.0,Turnover by D. Booker (bad pass; steal by G. Henderson),,54-67,,
9:16.0,,,54-67,,E. Ilyasova misses 3-pt shot from 24 ft
9:15.0,Defensive rebound by P. Tucker,,54-67,,
9:04.0,P. Tucker misses 3-pt shot from 24 ft,,54-67,,
9:03.0,,,54-67,,Defensive rebound by E. Ilyasova
8:57.0,,,54-69,2,E. Ilyasova makes 2-pt shot from 2 ft (assist by S. Rodriguez)
8:49.0,Phoenix full timeout,,54-69,,
8:49.0,B. Knight enters the game for D. Booker,,54-69,,
8:36.0,P. Tucker makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,57-69,,
8:24.0,,,57-69,,Turnover by R. Covington (bad pass; steal by J. Dudley)
8:19.0,E. Bledsoe misses 2-pt shot from 2 ft,,57-69,,
8:18.0,,,57-69,,Defensive rebound by S. Rodriguez
8:10.0,,,57-69,,Shooting foul by E. Bledsoe (drawn by J. Embiid)
8:10.0,,,57-69,,J. Embiid misses free throw 1 of 2
8:10.0,,,57-69,,Offensive rebound by Team
8:10.0,,,57-70,1,J. Embiid makes free throw 2 of 2
8:10.0,,,57-69,,N. Stauskas enters the game for R. Covington
7:52.0,B. Knight makes 3-pt shot from 25 ft (assist by J. Dudley),3,60-70,,
7:34.0,,,60-72,2,J. Embiid makes 2-pt shot from 18 ft
7:25.0,A. Len makes 2-pt shot from 2 ft (assist by B. Knight),2,62-72,,
7:25.0,Shooting foul by J. Embiid (drawn by A. Len),,62-72,,
7:25.0,A. Len makes free throw 1 of 1,1,63-72,,
7:25.0,,,62-72,,J. Okafor enters the game for J. Embiid
7:16.0,,,63-72,,S. Rodriguez misses 3-pt shot from 25 ft
7:15.0,Defensive rebound by A. Len,,63-72,,
7:12.0,E. Bledsoe makes 2-pt shot from 9 ft,2,65-72,,
7:12.0,Shooting foul by N. Stauskas (drawn by E. Bledsoe),,65-72,,
7:12.0,E. Bledsoe makes free throw 1 of 1,1,66-72,,
6:48.0,,,66-72,,N. Stauskas misses 3-pt shot from 26 ft
6:47.0,,,66-72,,Offensive rebound by G. Henderson
6:46.0,Jump ball: G. Henderson vs. P. Tucker (N. Stauskas gains possession),,,,Jump ball: G. Henderson vs. P. Tucker (N. Stauskas gains possession)
6:24.0,,,66-75,3,S. Rodriguez makes 3-pt shot from 23 ft (assist by G. Henderson)
6:15.0,E. Bledsoe misses 2-pt shot from 15 ft,,66-75,,
6:14.0,,,66-75,,Defensive rebound by G. Henderson
5:56.0,,,66-77,2,N. Stauskas makes 2-pt shot from 12 ft
5:44.0,Shooting foul by J. Okafor (drawn by A. Len),,66-77,,
5:44.0,A. Len misses free throw 1 of 2,,66-77,,
5:44.0,Offensive rebound by Team,,66-77,,
5:44.0,A. Len misses free throw 2 of 2,,66-77,,
5:44.0,L. Barbosa enters the game for E. Bledsoe,,66-77,,
5:43.0,,,66-77,,Defensive rebound by E. Ilyasova
5:27.0,,,66-77,,G. Henderson misses 2-pt shot from 12 ft
5:26.0,,,66-77,,Offensive rebound by J. Okafor
5:21.0,,,66-80,3,S. Rodriguez makes 3-pt shot from 24 ft (assist by J. Okafor)
5:01.0,B. Knight misses 2-pt shot from 1 ft (block by J. Okafor),,66-80,,
5:00.0,,,66-80,,Defensive rebound by S. Rodriguez
4:55.0,,,66-82,2,N. Stauskas makes 2-pt shot from 1 ft (assist by S. Rodriguez)
4:52.0,Shooting foul by E. Ilyasova (drawn by B. Knight),,66-82,,
4:52.0,B. Knight makes free throw 1 of 2,1,67-82,,
4:52.0,B. Knight misses free throw 2 of 2,,67-82,,
4:52.0,A. Williams enters the game for A. Len,,67-82,,
4:52.0,,,67-82,,D. Saric enters the game for E. Ilyasova
4:52.0,,,67-82,,H. Thompson enters the game for G. Henderson
4:51.0,,,67-82,,Defensive rebound by S. Rodriguez
4:36.0,,,67-82,,S. Rodriguez misses 2-pt shot from 9 ft
4:35.0,Defensive rebound by A. Williams,,67-82,,
4:18.0,J. Dudley makes 2-pt shot from 14 ft (assist by B. Knight),2,69-82,,
3:57.0,,,69-84,2,J. Okafor makes 2-pt shot from 2 ft
3:39.0,L. Barbosa makes 2-pt shot from 20 ft,2,71-84,,
3:25.0,Personal foul by J. Dudley (drawn by N. Stauskas),,71-84,,
3:25.0,,,71-84,,T. McConnell enters the game for S. Rodriguez
3:25.0,,,71-84,,Philadelphia full timeout
3:25.0,T. Ulis enters the game for P. Tucker,,71-84,,
3:14.0,,,71-84,,Turnover by J. Okafor (lost ball; steal by T. Ulis)
3:04.0,A. Williams misses 2-pt shot from 6 ft,,71-84,,
3:03.0,,,71-84,,Defensive rebound by D. Saric
2:43.0,,,71-87,3,N. Stauskas makes 3-pt shot from 26 ft (assist by H. Thompson)
2:24.0,B. Knight misses 3-pt shot from 25 ft,,71-87,,
2:22.0,,,71-87,,Defensive rebound by N. Stauskas
2:02.0,,,71-87,,J. Okafor misses 2-pt shot from 1 ft (block by A. Williams)
2:01.0,Defensive rebound by J. Dudley,,71-87,,
1:54.0,J. Dudley misses 3-pt shot from 25 ft,,71-87,,
1:53.0,,,71-87,,Defensive rebound by T. McConnell
1:33.0,,,71-87,,T. McConnell misses 2-pt shot from 17 ft
1:32.0,Defensive rebound by A. Williams,,71-87,,
1:14.0,B. Knight makes 2-pt shot from 2 ft,2,73-87,,
0:59.0,Violation by L. Barbosa (kicked ball),,73-87,,
0:59.0,,,73-87,,E. Ilyasova enters the game for J. Okafor
0:48.0,,,73-89,2,T. McConnell makes 2-pt shot from 1 ft
0:41.0,T. Ulis misses 2-pt shot from 2 ft,,73-89,,
0:39.0,Offensive rebound by A. Williams,,73-89,,
0:39.0,Offensive foul by A. Williams,,73-89,,
0:39.0,Turnover by A. Williams (offensive foul),,73-89,,
0:31.0,,,73-92,3,D. Saric makes 3-pt shot from 24 ft (assist by T. McConnell)
0:10.0,Shooting foul by H. Thompson (drawn by B. Knight),,73-92,,
0:10.0,B. Knight makes free throw 1 of 2,1,74-92,,
0:10.0,B. Knight makes free throw 2 of 2,1,75-92,,
0:01.0,,,75-92,,T. McConnell misses 2-pt shot from 6 ft
0:00.0,,,75-92,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,E. Bledsoe misses 3-pt shot from 25 ft,,75-92,,
11:40.0,,,75-92,,Defensive rebound by Team
11:29.0,,,75-94,2,T. McConnell makes 2-pt shot from 3 ft
11:12.0,Shooting foul by D. Saric (drawn by A. Len),,75-94,,
11:12.0,A. Len misses free throw 1 of 2,,75-94,,
11:12.0,Offensive rebound by Team,,75-94,,
11:12.0,A. Len misses free throw 2 of 2,,75-94,,
11:11.0,,,75-94,,Defensive rebound by H. Thompson
11:00.0,,,75-94,,Turnover by N. Stauskas (lost ball; steal by D. Booker)
10:59.0,D. Booker misses 2-pt shot from 2 ft (block by N. Stauskas),,75-94,,
10:58.0,Offensive rebound by Team,,75-94,,
10:55.0,D. Booker misses 2-pt shot from 20 ft,,75-94,,
10:54.0,,,75-94,,Defensive rebound by D. Saric
10:41.0,,,75-94,,J. Embiid misses 2-pt shot from 12 ft (block by A. Len)
10:39.0,,,75-94,,Offensive rebound by H. Thompson
10:36.0,,,75-94,,J. Embiid misses 2-pt shot from 23 ft
10:35.0,Defensive rebound by E. Bledsoe,,75-94,,
10:32.0,Turnover by E. Bledsoe (bad pass),,75-94,,
10:19.0,,,75-97,3,H. Thompson makes 3-pt shot from 24 ft (assist by J. Embiid)
10:18.0,Phoenix full timeout,,75-97,,
10:07.0,A. Len makes 2-pt shot from 2 ft (assist by E. Bledsoe),2,77-97,,
10:07.0,Shooting foul by H. Thompson (drawn by A. Len),,77-97,,
10:07.0,A. Len misses free throw 1 of 1,,77-97,,
10:06.0,,,77-97,,Defensive rebound by J. Embiid
9:55.0,,,77-97,,Shooting foul by B. Knight (drawn by T. McConnell)
9:55.0,,,77-98,1,T. McConnell makes free throw 1 of 2
9:55.0,,,77-98,,T. McConnell misses free throw 2 of 2
9:54.0,Defensive rebound by A. Len,,77-98,,
9:45.0,B. Knight misses 2-pt shot from 19 ft,,77-98,,
9:44.0,Offensive rebound by E. Bledsoe,,77-98,,
9:40.0,D. Booker misses 3-pt shot from 25 ft,,77-98,,
9:40.0,Offensive rebound by E. Bledsoe,,77-98,,
9:37.0,E. Bledsoe misses 2-pt shot from 17 ft,,77-98,,
9:35.0,,,77-98,,Defensive rebound by J. Embiid
9:34.0,Personal foul by A. Len (drawn by J. Embiid),,77-98,,
9:17.0,,,77-101,3,H. Thompson makes 3-pt shot from 23 ft (assist by D. Saric)
9:04.0,Turnover by E. Bledsoe (bad pass; steal by T. McConnell),,77-101,,
8:56.0,M. Chriss enters the game for P. Tucker,,77-101,,
8:56.0,T. Ulis enters the game for A. Len,,77-101,,
8:56.0,A. Williams enters the game for D. Booker,,77-101,,
8:56.0,D. Bender enters the game for B. Knight,,77-101,,
8:56.0,,,77-101,,Turnover by T. McConnell (step out of bounds)
