time,Indiana,pts.away,score,pts.home,Detroit
7:06.0,M. Turner makes 3-pt shot from 26 ft (assist by J. Teague),3,12-16,,
6:45.0,,,12-16,,T. Harris misses 3-pt shot from 23 ft
6:44.0,Defensive rebound by P. George,,12-16,,
6:24.0,P. George makes 2-pt shot at rim,2,14-16,,
6:12.0,,,14-16,,R. Jackson misses 2-pt shot at rim
6:12.0,,,14-16,,Offensive rebound by A. Drummond
6:12.0,,,14-16,,A. Drummond misses 2-pt shot at rim
6:12.0,,,14-16,,Offensive rebound by A. Drummond
6:12.0,Jump ball: A. Drummond vs. M. Turner (K. Caldwell-Pope gains possession),,,,Jump ball: A. Drummond vs. M. Turner (K. Caldwell-Pope gains possession)
5:58.0,,,14-18,2,T. Harris makes 2-pt shot from 1 ft (assist by R. Jackson)
5:49.0,J. Teague makes 2-pt shot from 1 ft,2,16-18,,
5:41.0,,,16-18,,Shooting foul by J. Teague (drawn by R. Jackson)
5:41.0,,,16-18,,Detroit full timeout
5:41.0,,,16-19,1,R. Jackson makes free throw 1 of 2
5:41.0,,,16-20,1,R. Jackson makes free throw 2 of 2
5:25.0,M. Turner misses 2-pt shot from 21 ft,,16-20,,
5:25.0,,,16-20,,Defensive rebound by R. Jackson
5:18.0,,,16-20,,A. Drummond misses 2-pt shot from 6 ft
5:16.0,Defensive rebound by G. Robinson,,16-20,,
5:04.0,P. George misses 2-pt shot from 17 ft,,16-20,,
5:04.0,,,16-20,,Defensive rebound by A. Drummond
4:59.0,,,16-22,2,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson)
4:46.0,J. Teague misses 2-pt shot from 8 ft,,16-22,,
4:46.0,,,16-22,,Defensive rebound by K. Caldwell-Pope
4:18.0,,,16-22,,A. Drummond misses 2-pt shot from 21 ft
4:18.0,Defensive rebound by J. Teague,,16-22,,
4:08.0,T. Young makes 2-pt shot at rim (assist by J. Teague),2,18-22,,
3:44.0,,,18-24,2,R. Jackson makes 2-pt shot from 1 ft
3:34.0,J. Teague makes 2-pt shot at rim,2,20-24,,
3:25.0,,,20-24,,R. Jackson misses 2-pt shot from 16 ft
3:25.0,Defensive rebound by M. Turner,,20-24,,
3:11.0,G. Robinson misses 3-pt shot from 25 ft,,20-24,,
3:11.0,,,20-24,,Defensive rebound by R. Jackson
3:00.0,,,20-24,,K. Caldwell-Pope misses 3-pt shot from 27 ft
2:59.0,Defensive rebound by J. Teague,,20-24,,
2:54.0,Indiana full timeout,,20-24,,
2:54.0,C. Miles enters the game for M. Turner,,20-24,,
2:54.0,A. Jefferson enters the game for G. Robinson,,20-24,,
2:54.0,,,20-24,,S. Johnson enters the game for M. Morris
2:54.0,,,20-24,,I. Smith enters the game for R. Jackson
2:44.0,A. Jefferson misses 2-pt shot from 7 ft (block by A. Drummond),,20-24,,
2:42.0,Offensive rebound by P. George,,20-24,,
2:35.0,P. George makes 2-pt shot from 12 ft,2,22-24,,
2:15.0,,,22-24,,Turnover by A. Drummond (lost ball; steal by P. George)
2:03.0,T. Young misses 2-pt shot from 18 ft,,22-24,,
2:03.0,,,22-24,,Defensive rebound by Team
2:03.0,A. Brooks enters the game for J. Teague,,22-24,,
1:44.0,,,22-24,,I. Smith misses 3-pt shot from 26 ft
1:44.0,,,22-24,,Offensive rebound by A. Drummond
1:42.0,,,22-24,,Turnover by A. Drummond (lost ball)
1:42.0,L. Allen enters the game for T. Young,,22-24,,
1:17.0,A. Jefferson makes 2-pt shot from 7 ft (assist by A. Brooks),2,24-24,,
1:04.0,,,24-24,,K. Caldwell-Pope misses 2-pt shot at rim
1:03.0,Defensive rebound by A. Jefferson,,24-24,,
0:52.0,C. Miles misses 3-pt shot from 23 ft,,24-24,,
0:51.0,,,24-24,,Defensive rebound by A. Drummond
0:45.0,,,24-24,,Shooting foul by L. Allen (drawn by T. Harris)
0:45.0,,,24-25,1,T. Harris makes free throw 1 of 2
0:45.0,,,24-26,1,T. Harris makes free throw 2 of 2
0:45.0,,,24-25,,A. Baynes enters the game for A. Drummond
0:27.0,A. Brooks misses 2-pt shot from 7 ft,,24-26,,
0:26.0,,,24-26,,Defensive rebound by T. Harris
0:09.0,,,24-26,,I. Smith misses 2-pt shot from 12 ft
0:09.0,Defensive rebound by P. George,,24-26,,
0:01.0,P. George makes 3-pt shot from 26 ft,3,27-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,Shooting foul by A. Baynes (drawn by A. Jefferson),,27-26,,
11:44.0,A. Jefferson misses free throw 1 of 2,,27-26,,
11:44.0,Offensive rebound by Team,,27-26,,
11:44.0,A. Jefferson makes free throw 2 of 2,1,28-26,,
11:24.0,,,28-26,,Turnover by A. Baynes (lost ball; steal by A. Jefferson)
11:14.0,A. Jefferson makes 2-pt shot from 18 ft (assist by C. Miles),2,30-26,,
10:52.0,,,30-26,,M. Morris misses 2-pt shot from 15 ft
10:51.0,Defensive rebound by G. Robinson,,30-26,,
10:45.0,A. Brooks misses 2-pt shot from 7 ft,,30-26,,
10:44.0,Offensive rebound by A. Jefferson,,30-26,,
10:44.0,Shooting foul by A. Baynes (drawn by A. Jefferson),,30-26,,
10:44.0,A. Jefferson misses free throw 1 of 2,,30-26,,
10:44.0,Offensive rebound by Team,,30-26,,
10:44.0,A. Jefferson makes free throw 2 of 2,1,31-26,,
10:27.0,,,31-26,,A. Baynes misses 2-pt shot from 9 ft
10:26.0,Defensive rebound by G. Robinson,,31-26,,
10:11.0,A. Jefferson misses 2-pt shot from 18 ft,,31-26,,
10:10.0,Offensive rebound by Team,,31-26,,
9:55.0,A. Jefferson misses 2-pt shot from 9 ft,,31-26,,
9:54.0,,,31-26,,Defensive rebound by A. Baynes
9:43.0,,,31-26,,A. Baynes misses 2-pt shot from 6 ft
9:42.0,Defensive rebound by G. Robinson,,31-26,,
9:37.0,G. Robinson misses 2-pt shot from 1 ft,,31-26,,
9:36.0,Offensive rebound by G. Robinson,,31-26,,
9:33.0,G. Robinson makes 2-pt shot from 1 ft,2,33-26,,
9:27.0,,,33-26,,Detroit full timeout
9:12.0,,,33-26,,D. Hilliard misses 2-pt shot from 19 ft
9:12.0,Defensive rebound by A. Jefferson,,33-26,,
9:05.0,,,33-26,,Personal foul by D. Hilliard (drawn by G. Robinson)
8:57.0,A. Brooks misses 2-pt shot from 2 ft,,33-26,,
8:56.0,Offensive rebound by L. Allen,,33-26,,
8:55.0,L. Allen misses 2-pt shot from 1 ft,,33-26,,
8:54.0,Offensive rebound by A. Jefferson,,33-26,,
8:53.0,A. Jefferson misses 2-pt shot at rim,,33-26,,
8:51.0,Offensive rebound by Team,,33-26,,
8:51.0,,,33-26,,A. Drummond enters the game for A. Baynes
8:49.0,Jump ball: A. Jefferson vs. I. Smith (C. Miles gains possession),,,,Jump ball: A. Jefferson vs. I. Smith (C. Miles gains possession)
8:30.0,C. Miles misses 3-pt shot from 24 ft,,33-26,,
8:30.0,,,33-26,,Defensive rebound by I. Smith
8:24.0,,,33-28,2,S. Johnson makes 2-pt shot at rim (assist by I. Smith)
8:00.0,A. Brooks makes 2-pt shot from 17 ft,2,35-28,,
7:46.0,,,35-28,,I. Smith misses 3-pt shot from 27 ft
7:46.0,Defensive rebound by C. Miles,,35-28,,
7:32.0,A. Jefferson makes 2-pt shot at rim (assist by A. Brooks),2,37-28,,
7:14.0,,,37-28,,D. Hilliard misses 2-pt shot from 1 ft
7:13.0,Defensive rebound by A. Jefferson,,37-28,,
7:10.0,Turnover by A. Brooks (bad pass; steal by D. Hilliard),,37-28,,
7:04.0,,,37-30,2,M. Morris makes 2-pt shot at rim (assist by I. Smith)
6:51.0,Turnover by G. Robinson (bad pass; steal by A. Drummond),,37-30,,
6:46.0,,,37-32,2,I. Smith makes 2-pt shot from 1 ft
6:46.0,,,37-32,,Shooting foul by A. Brooks (drawn by I. Smith)
6:46.0,,,37-33,1,I. Smith makes free throw 1 of 1
6:46.0,J. Teague enters the game for A. Jefferson,,37-32,,
6:46.0,T. Young enters the game for A. Brooks,,37-32,,
6:46.0,M. Turner enters the game for L. Allen,,37-32,,
6:46.0,,,37-32,,T. Harris enters the game for S. Johnson
6:46.0,,,37-32,,K. Caldwell-Pope enters the game for D. Hilliard
6:25.0,J. Teague makes 2-pt shot from 6 ft,2,39-33,,
6:10.0,,,39-35,2,M. Morris makes 2-pt shot from 14 ft
5:42.0,J. Teague misses 2-pt shot from 19 ft,,39-35,,
5:42.0,,,39-35,,Defensive rebound by K. Caldwell-Pope
5:35.0,,,39-35,,K. Caldwell-Pope misses 2-pt shot from 13 ft
5:33.0,Defensive rebound by J. Teague,,39-35,,
5:29.0,Turnover by J. Teague (bad pass),,39-35,,
5:29.0,Official timeout,,39-35,,
5:29.0,P. George enters the game for G. Robinson,,39-35,,
5:29.0,,,39-35,,R. Jackson enters the game for I. Smith
5:14.0,,,39-35,,A. Drummond misses 2-pt shot from 6 ft
5:13.0,Defensive rebound by T. Young,,39-35,,
4:59.0,M. Turner misses 2-pt shot from 21 ft,,39-35,,
4:58.0,,,39-35,,Defensive rebound by A. Drummond
4:47.0,,,39-35,,T. Harris misses 3-pt shot from 26 ft
4:47.0,Defensive rebound by J. Teague,,39-35,,
4:31.0,P. George makes 2-pt shot from 19 ft,2,41-35,,
4:18.0,,,41-37,2,R. Jackson makes 2-pt shot from 1 ft
4:08.0,P. George makes 2-pt shot from 1 ft (assist by M. Turner),2,43-37,,
4:08.0,Shooting foul by A. Drummond (drawn by P. George),,43-37,,
4:08.0,P. George makes free throw 1 of 1,1,44-37,,
4:08.0,G. Robinson enters the game for C. Miles,,43-37,,
3:51.0,,,44-37,,R. Jackson misses 3-pt shot from 27 ft
3:50.0,Defensive rebound by G. Robinson,,44-37,,
3:40.0,P. George misses 2-pt shot from 5 ft,,44-37,,
3:40.0,,,44-37,,Defensive rebound by T. Harris
3:31.0,,,44-37,,K. Caldwell-Pope misses 2-pt shot from 5 ft
3:30.0,,,44-37,,Offensive rebound by K. Caldwell-Pope
3:27.0,,,44-37,,K. Caldwell-Pope misses 2-pt shot from 4 ft (block by M. Turner)
3:25.0,Defensive rebound by J. Teague,,44-37,,
3:21.0,P. George misses 3-pt shot from 24 ft,,44-37,,
3:20.0,,,44-37,,Defensive rebound by A. Drummond
3:09.0,,,44-40,3,M. Morris makes 3-pt shot from 25 ft (assist by R. Jackson)
2:57.0,J. Teague makes 3-pt shot from 23 ft (assist by T. Young),3,47-40,,
2:48.0,,,47-40,,Detroit full timeout
2:48.0,Indiana full timeout,,47-40,,
2:34.0,,,47-42,2,T. Harris makes 2-pt shot at rim (assist by K. Caldwell-Pope)
2:18.0,T. Young makes 2-pt shot from 1 ft (assist by J. Teague),2,49-42,,
2:04.0,,,49-44,2,T. Harris makes 2-pt shot from 7 ft (assist by R. Jackson)
1:51.0,Shooting foul by M. Morris (drawn by J. Teague),,49-44,,
1:51.0,J. Teague makes free throw 1 of 2,1,50-44,,
1:51.0,J. Teague makes free throw 2 of 2,1,51-44,,
1:32.0,,,51-44,,R. Jackson misses 3-pt shot from 24 ft
1:31.0,Defensive rebound by P. George,,51-44,,
1:19.0,T. Young makes 2-pt shot from 4 ft,2,53-44,,
0:57.0,,,53-44,,Turnover by T. Harris (lost ball; steal by T. Young)
0:50.0,P. George makes 2-pt shot from 8 ft,2,55-44,,
0:37.0,,,55-44,,R. Jackson misses 2-pt shot from 6 ft
0:37.0,Defensive rebound by J. Teague,,55-44,,
0:28.0,M. Turner misses 2-pt shot from 7 ft,,55-44,,
0:25.0,,,55-44,,Defensive rebound by M. Morris
0:07.0,,,55-44,,R. Jackson misses 2-pt shot from 6 ft
0:07.0,,,55-44,,Offensive rebound by A. Drummond
0:07.0,Personal foul by J. Teague (drawn by A. Drummond),,55-44,,
0:07.0,A. Brooks enters the game for J. Teague,,55-44,,
0:01.0,,,55-44,,R. Jackson misses 2-pt shot from 18 ft
0:00.0,,,55-44,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,Turnover by J. Teague (lost ball; steal by R. Jackson),,55-44,,
11:40.0,,,55-44,,Turnover by M. Morris (lost ball; steal by J. Teague)
11:35.0,,,55-44,,Personal foul by M. Morris (drawn by P. George)
11:30.0,P. George makes 2-pt shot from 1 ft (assist by T. Young),2,57-44,,
11:04.0,,,57-44,,Turnover by Team (shot clock)
10:45.0,P. George makes 2-pt shot from 18 ft,2,59-44,,
10:17.0,,,59-44,,R. Jackson misses 2-pt shot from 18 ft
10:16.0,Defensive rebound by G. Robinson,,59-44,,
10:14.0,,,59-44,,Personal foul by R. Jackson (drawn by J. Teague)
10:09.0,Shooting foul by A. Drummond (drawn by M. Turner),,59-44,,
10:09.0,M. Turner misses free throw 1 of 2,,59-44,,
10:09.0,Offensive rebound by Team,,59-44,,
10:09.0,M. Turner makes free throw 2 of 2,1,60-44,,
9:56.0,,,60-44,,T. Harris misses 3-pt shot from 26 ft
9:56.0,,,60-44,,Offensive rebound by A. Drummond
9:56.0,,,60-44,,Shooting foul by P. George (drawn by A. Drummond)
9:56.0,,,60-44,,A. Drummond misses free throw 1 of 2
9:56.0,,,60-44,,Offensive rebound by Team
9:56.0,,,60-45,1,A. Drummond makes free throw 2 of 2
9:45.0,T. Young makes 2-pt shot from 1 ft,2,62-45,,
9:45.0,,,62-45,,Detroit full timeout
9:32.0,Personal foul by M. Turner (drawn by A. Drummond),,62-45,,
9:21.0,,,62-45,,K. Caldwell-Pope misses 2-pt shot from 12 ft
9:20.0,Defensive rebound by J. Teague,,62-45,,
9:14.0,J. Teague makes 2-pt shot from 14 ft,2,64-45,,
8:49.0,Jump ball: R. Jackson vs. T. Young (G. Robinson gains possession),,,,Jump ball: R. Jackson vs. T. Young (G. Robinson gains possession)
8:49.0,,,64-45,,Turnover by R. Jackson (lost ball)
8:38.0,P. George misses 2-pt shot from 18 ft,,64-45,,
8:37.0,,,64-45,,Defensive rebound by T. Harris
8:34.0,Personal foul by T. Young (drawn by A. Drummond),,64-45,,
8:18.0,,,64-47,2,K. Caldwell-Pope makes 2-pt shot from 20 ft (assist by T. Harris)
8:08.0,,,64-47,,Personal foul by T. Harris (drawn by T. Young)
8:00.0,M. Turner misses 2-pt shot from 19 ft,,64-47,,
8:00.0,,,64-47,,Defensive rebound by T. Harris
7:47.0,,,64-47,,A. Drummond misses 2-pt shot from 10 ft (block by M. Turner)
7:46.0,Defensive rebound by P. George,,64-47,,
7:42.0,G. Robinson misses 2-pt shot from 7 ft,,64-47,,
7:42.0,Offensive rebound by G. Robinson,,64-47,,
7:38.0,,,64-47,,Personal foul by A. Drummond (drawn by G. Robinson)
7:38.0,G. Robinson makes free throw 1 of 2,1,65-47,,
7:38.0,G. Robinson makes free throw 2 of 2,1,66-47,,
7:31.0,,,66-49,2,T. Harris makes 2-pt shot from 13 ft (assist by R. Jackson)
7:13.0,P. George misses 2-pt shot from 14 ft,,66-49,,
7:13.0,,,66-49,,Defensive rebound by T. Harris
6:59.0,,,66-49,,M. Morris misses 3-pt shot from 27 ft
6:59.0,Defensive rebound by G. Robinson,,66-49,,
6:48.0,J. Teague misses 2-pt shot from 8 ft,,66-49,,
6:48.0,,,66-49,,Defensive rebound by A. Drummond
6:40.0,,,66-52,3,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by R. Jackson)
6:13.0,M. Turner makes 2-pt shot from 17 ft,2,68-52,,
5:58.0,,,68-52,,T. Harris misses 3-pt shot from 22 ft
5:57.0,Defensive rebound by M. Turner,,68-52,,
5:38.0,T. Young makes 2-pt shot from 2 ft (assist by J. Teague),2,70-52,,
5:19.0,,,70-55,3,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by R. Jackson)
5:10.0,Shooting foul by K. Caldwell-Pope (drawn by M. Turner),,70-55,,
5:10.0,M. Turner makes free throw 1 of 2,1,71-55,,
5:10.0,M. Turner makes free throw 2 of 2,1,72-55,,
5:10.0,,,71-55,,S. Johnson enters the game for T. Harris
4:57.0,,,72-57,2,R. Jackson makes 2-pt shot at rim
4:43.0,P. George makes 2-pt shot from 1 ft,2,74-57,,
4:32.0,,,74-60,3,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by R. Jackson)
4:17.0,,,74-60,,Personal foul by R. Jackson (drawn by J. Teague)
4:17.0,J. Teague makes free throw 1 of 2,1,75-60,,
4:17.0,J. Teague makes free throw 2 of 2,1,76-60,,
4:17.0,C. Miles enters the game for G. Robinson,,75-60,,
3:52.0,,,76-62,2,M. Morris makes 2-pt shot from 17 ft
3:42.0,P. George makes 2-pt shot from 12 ft,2,78-62,,
3:26.0,,,78-64,2,R. Jackson makes 2-pt shot from 12 ft
3:19.0,Shooting foul by R. Jackson (drawn by J. Teague),,78-64,,
3:19.0,J. Teague misses free throw 1 of 2,,78-64,,
3:19.0,Offensive rebound by Team,,78-64,,
3:19.0,J. Teague makes free throw 2 of 2,1,79-64,,
3:08.0,,,79-64,,Turnover by R. Jackson (bad pass; steal by P. George)
2:58.0,C. Miles misses 3-pt shot from 23 ft,,79-64,,
2:58.0,,,79-64,,Defensive rebound by K. Caldwell-Pope
2:50.0,,,79-64,,K. Caldwell-Pope misses 3-pt shot from 26 ft
2:49.0,Defensive rebound by T. Young,,79-64,,
2:38.0,,,79-64,,Personal foul by K. Caldwell-Pope (drawn by P. George)
2:38.0,Indiana full timeout,,79-64,,
2:38.0,P. George misses free throw 1 of 2,,79-64,,
2:38.0,Offensive rebound by Team,,79-64,,
2:38.0,P. George makes free throw 2 of 2,1,80-64,,
2:38.0,,,79-64,,I. Smith enters the game for M. Morris
2:38.0,,,79-64,,T. Harris enters the game for R. Jackson
2:25.0,,,80-64,,Shooting foul by P. George (drawn by K. Caldwell-Pope)
2:25.0,,,80-65,1,K. Caldwell-Pope makes free throw 1 of 3
2:25.0,,,80-66,1,K. Caldwell-Pope makes free throw 2 of 3
2:25.0,,,80-67,1,K. Caldwell-Pope makes free throw 3 of 3
2:25.0,A. Brooks enters the game for J. Teague,,80-64,,
2:04.0,P. George misses 2-pt shot from 10 ft,,80-67,,
2:03.0,,,80-67,,Defensive rebound by A. Drummond
1:53.0,,,80-67,,A. Drummond misses 2-pt shot from 2 ft (block by P. George)
1:52.0,,,80-67,,Offensive rebound by A. Drummond
1:50.0,,,80-69,2,A. Drummond makes 2-pt shot from 1 ft
1:34.0,Indiana full timeout,,80-69,,
1:29.0,P. George misses 3-pt shot from 27 ft,,80-69,,
1:29.0,,,80-69,,Defensive rebound by A. Drummond
1:18.0,,,80-69,,K. Caldwell-Pope misses 3-pt shot from 25 ft
1:17.0,Defensive rebound by M. Turner,,80-69,,
0:59.0,T. Young misses 2-pt shot from 7 ft,,80-69,,
0:59.0,,,80-69,,Defensive rebound by S. Johnson
0:43.0,,,80-69,,K. Caldwell-Pope misses 2-pt shot from 13 ft
0:42.0,Defensive rebound by C. Miles,,80-69,,
0:23.0,P. George makes 3-pt shot from 27 ft (assist by T. Young),3,83-69,,
0:07.0,,,83-69,,S. Johnson misses 2-pt shot from 15 ft
0:06.0,,,83-69,,Offensive rebound by A. Drummond
0:04.0,,,83-69,,Shooting foul by M. Turner (drawn by A. Drummond)
0:04.0,,,83-69,,A. Drummond misses free throw 1 of 2
0:04.0,,,83-69,,Offensive rebound by Team
0:04.0,,,83-69,,A. Drummond misses free throw 2 of 2
0:04.0,Defensive rebound by C. Miles,,83-69,,
0:04.0,G. Robinson enters the game for P. George,,83-69,,
0:00.0,A. Brooks misses 3-pt shot from 50 ft,,83-69,,
0:00.0,Offensive rebound by Team,,83-69,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,83-69,,K. Caldwell-Pope misses 3-pt shot from 26 ft
11:47.0,Defensive rebound by A. Jefferson,,83-69,,
11:34.0,C. Miles makes 2-pt shot from 19 ft (assist by A. Brooks),2,85-69,,
11:14.0,,,85-69,,S. Johnson misses 3-pt shot from 25 ft
11:14.0,Defensive rebound by A. Jefferson,,85-69,,
10:56.0,A. Brooks makes 2-pt shot from 8 ft,2,87-69,,
10:38.0,,,87-69,,Shooting foul by A. Brooks (drawn by S. Johnson)
10:38.0,,,87-69,,S. Johnson misses free throw 1 of 2
10:38.0,,,87-69,,Offensive rebound by Team
10:38.0,,,87-70,1,S. Johnson makes free throw 2 of 2
10:18.0,G. Robinson misses 3-pt shot from 24 ft,,87-70,,
10:17.0,,,87-70,,Defensive rebound by T. Harris
10:09.0,Personal foul by T. Young (drawn by A. Drummond),,87-70,,
10:07.0,Personal foul by A. Brooks (drawn by S. Johnson),,87-70,,
9:51.0,,,87-70,,A. Drummond misses 2-pt shot from 17 ft
9:51.0,,,87-70,,Offensive rebound by K. Caldwell-Pope
9:28.0,,,87-70,,K. Caldwell-Pope misses 2-pt shot from 20 ft
9:28.0,Defensive rebound by A. Jefferson,,87-70,,
9:12.0,Shooting foul by A. Drummond (drawn by G. Robinson),,87-70,,
9:12.0,G. Robinson makes free throw 1 of 2,1,88-70,,
9:12.0,G. Robinson makes free throw 2 of 2,1,89-70,,
9:12.0,,,88-70,,R. Jackson enters the game for I. Smith
9:12.0,,,88-70,,A. Baynes enters the game for A. Drummond
9:12.0,,,88-70,,M. Morris enters the game for T. Harris
8:54.0,,,89-72,2,R. Jackson makes 2-pt shot at rim
8:30.0,A. Jefferson misses 2-pt shot from 7 ft,,89-72,,
8:30.0,,,89-72,,Defensive rebound by R. Jackson
8:13.0,,,89-72,,S. Johnson misses 2-pt shot from 6 ft
8:13.0,Defensive rebound by Team,,89-72,,
8:13.0,Official timeout,,89-72,,
8:13.0,J. Teague enters the game for T. Young,,89-72,,
8:13.0,P. George enters the game for A. Brooks,,89-72,,
7:57.0,C. Miles misses 3-pt shot from 26 ft,,89-72,,
7:56.0,Offensive rebound by G. Robinson,,89-72,,
7:50.0,P. George misses 3-pt shot from 25 ft,,89-72,,
7:49.0,,,89-72,,Defensive rebound by A. Baynes
7:35.0,,,89-72,,R. Jackson misses 3-pt shot from 26 ft
7:35.0,Defensive rebound by P. George,,89-72,,
7:10.0,A. Jefferson misses 2-pt shot from 5 ft,,89-72,,
7:09.0,,,89-72,,Defensive rebound by A. Baynes
7:03.0,,,89-72,,M. Morris misses 3-pt shot from 26 ft
7:02.0,Defensive rebound by P. George,,89-72,,
6:48.0,G. Robinson makes 2-pt shot at rim (assist by A. Jefferson),2,91-72,,
6:33.0,,,91-72,,S. Johnson misses 3-pt shot from 26 ft
6:32.0,Defensive rebound by A. Jefferson,,91-72,,
6:24.0,,,91-72,,Personal foul by K. Caldwell-Pope (drawn by J. Teague)
6:24.0,,,91-72,,D. Hilliard enters the game for K. Caldwell-Pope
6:15.0,Shooting foul by M. Morris (drawn by C. Miles),,91-72,,
6:15.0,C. Miles makes free throw 1 of 2,1,92-72,,
6:15.0,C. Miles makes free throw 2 of 2,1,93-72,,
6:06.0,,,93-72,,Shooting foul by A. Jefferson (drawn by R. Jackson)
6:06.0,,,93-73,1,R. Jackson makes free throw 1 of 2
6:06.0,,,93-74,1,R. Jackson makes free throw 2 of 2
5:47.0,A. Jefferson misses 2-pt shot from 15 ft,,93-74,,
5:46.0,,,93-74,,Defensive rebound by D. Hilliard
5:30.0,,,93-74,,Turnover by R. Jackson (lost ball; steal by J. Teague)
5:24.0,Turnover by J. Teague (lost ball; steal by M. Morris),,93-74,,
5:15.0,,,93-74,,S. Johnson misses 3-pt shot from 26 ft
5:15.0,,,93-74,,Offensive rebound by A. Baynes
5:14.0,Personal foul by C. Miles (drawn by A. Baynes),,93-74,,
5:14.0,,,93-74,,Detroit full timeout
5:14.0,,,93-75,1,A. Baynes makes free throw 1 of 2
5:14.0,,,93-76,1,A. Baynes makes free throw 2 of 2
5:14.0,,,93-74,,M. Gbinije enters the game for M. Morris
5:14.0,,,93-74,,H. Ellenson enters the game for R. Jackson
5:14.0,,,93-74,,B. Marjanovic enters the game for S. Johnson
5:14.0,,,93-74,,R. Jackson enters the game for B. Marjanovic
4:59.0,G. Robinson misses 2-pt shot from 4 ft,,93-76,,
4:58.0,,,93-76,,Defensive rebound by D. Hilliard
4:46.0,,,93-78,2,A. Baynes makes 2-pt shot from 1 ft (assist by R. Jackson)
4:32.0,C. Miles makes 3-pt shot from 26 ft (assist by J. Teague),3,96-78,,
4:16.0,Personal foul by A. Jefferson (drawn by R. Jackson),,96-78,,
4:16.0,,,96-79,1,R. Jackson makes free throw 1 of 2
4:16.0,,,96-80,1,R. Jackson makes free throw 2 of 2
4:16.0,,,96-79,,B. Marjanovic enters the game for A. Baynes
4:02.0,C. Miles makes 3-pt shot from 26 ft (assist by J. Teague),3,99-80,,
3:54.0,,,99-80,,Detroit full timeout
3:54.0,,,99-80,,I. Smith enters the game for R. Jackson
3:54.0,A. Brooks enters the game for P. George,,99-80,,
3:39.0,,,99-80,,M. Gbinije misses 2-pt shot from 17 ft
3:39.0,Defensive rebound by J. Teague,,99-80,,
3:24.0,G. Robinson makes 2-pt shot from 20 ft (assist by J. Teague),2,101-80,,
3:03.0,,,101-82,2,D. Hilliard makes 2-pt shot from 18 ft (assist by B. Marjanovic)
3:03.0,Indiana full timeout,,101-82,,
3:03.0,G. Niang enters the game for G. Robinson,,101-82,,
