time,Dallas,pts.away,score,pts.home,Utah
6:37.0,Dallas full timeout,,4-9,,
6:37.0,J. Barea enters the game for D. Nowitzki,,4-9,,
6:26.0,H. Barnes makes 2-pt shot from 21 ft (assist by D. Williams),2,6-9,,
6:10.0,,,6-9,,D. Favors misses 2-pt shot from 1 ft (block by H. Barnes)
6:10.0,Defensive rebound by Team,,6-9,,
5:51.0,W. Matthews misses 3-pt shot from 25 ft,,6-9,,
5:50.0,,,6-9,,Defensive rebound by D. Favors
5:37.0,,,6-9,,J. Johnson misses 2-pt shot from 21 ft
5:36.0,Defensive rebound by A. Bogut,,6-9,,
5:16.0,D. Williams misses 3-pt shot from 24 ft,,6-9,,
5:16.0,,,6-9,,Defensive rebound by T. Lyles
5:02.0,,,6-11,2,R. Hood makes 2-pt shot from 9 ft
4:39.0,Turnover by J. Barea (bad pass),,6-11,,
4:39.0,,,6-11,,J. Withey enters the game for D. Favors
4:20.0,,,6-11,,G. Hill misses 2-pt shot from 17 ft
4:20.0,Defensive rebound by A. Bogut,,6-11,,
4:07.0,W. Matthews makes 3-pt shot from 26 ft (assist by H. Barnes),3,9-11,,
3:39.0,,,9-11,,T. Lyles misses 2-pt shot from 6 ft
3:39.0,Defensive rebound by A. Bogut,,9-11,,
3:22.0,Turnover by H. Barnes (bad pass; steal by J. Withey),,9-11,,
3:17.0,,,9-11,,Offensive charge foul by R. Hood
3:17.0,,,9-11,,Turnover by R. Hood (offensive foul)
3:17.0,,,9-11,,J. Ingles enters the game for J. Johnson
3:17.0,S. Curry enters the game for D. Williams,,9-11,,
3:17.0,S. Mejri enters the game for A. Bogut,,9-11,,
3:03.0,H. Barnes makes 2-pt shot from 17 ft (assist by J. Barea),2,11-11,,
2:56.0,,,11-11,,Utah full timeout
2:56.0,,,11-11,,S. Mack enters the game for G. Hill
2:44.0,,,11-11,,J. Ingles misses 3-pt shot from 23 ft
2:44.0,Defensive rebound by J. Barea,,11-11,,
2:27.0,J. Barea misses 2-pt shot from 18 ft,,11-11,,
2:26.0,,,11-11,,Defensive rebound by J. Withey
2:17.0,,,11-13,2,R. Hood makes 2-pt shot from 17 ft
2:01.0,W. Matthews misses 3-pt shot from 23 ft,,11-13,,
2:00.0,,,11-13,,Defensive rebound by T. Lyles
1:48.0,,,11-15,2,R. Hood makes 2-pt shot from 13 ft
1:46.0,Dallas full timeout,,11-15,,
1:46.0,J. Anderson enters the game for W. Matthews,,11-15,,
1:46.0,D. Nowitzki enters the game for H. Barnes,,11-15,,
1:35.0,,,11-15,,Personal foul by S. Mack
1:21.0,J. Barea misses 3-pt shot from 25 ft,,11-15,,
1:20.0,,,11-15,,Defensive rebound by T. Lyles
1:08.0,,,11-15,,R. Hood misses 2-pt shot from 3 ft (block by S. Mejri)
1:08.0,,,11-15,,Offensive rebound by Team
1:05.0,,,11-15,,S. Mack misses 3-pt shot from 24 ft
1:04.0,Defensive rebound by S. Mejri,,11-15,,
0:55.0,D. Nowitzki misses 3-pt shot from 24 ft,,11-15,,
0:55.0,,,11-15,,Defensive rebound by Team
0:55.0,Personal foul by S. Mejri (drawn by J. Withey),,11-15,,
0:55.0,,,11-15,,D. Exum enters the game for R. Hood
0:34.0,,,11-15,,S. Mack misses 3-pt shot from 24 ft
0:34.0,Defensive rebound by Team,,11-15,,
0:08.0,J. Anderson makes 3-pt shot from 22 ft (assist by S. Curry),3,14-15,,
0:02.0,,,14-15,,T. Lyles misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by J. Anderson,,14-15,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,14-15,,J. Ingles misses 2-pt shot from 22 ft
11:40.0,Defensive rebound by Team,,14-15,,
11:17.0,S. Curry makes 2-pt shot from 19 ft,2,16-15,,
10:58.0,,,16-15,,T. Lyles misses 2-pt shot from 20 ft
10:57.0,Defensive rebound by J. Barea,,16-15,,
10:33.0,J. Barea misses 2-pt shot from 3 ft,,16-15,,
10:32.0,,,16-15,,Defensive rebound by S. Mack
10:22.0,,,16-15,,Turnover by J. Ingles (bad pass; steal by J. Barea)
10:13.0,S. Curry misses 3-pt shot from 24 ft,,16-15,,
10:13.0,,,16-15,,Defensive rebound by T. Lyles
10:05.0,Personal foul by S. Mejri (drawn by D. Favors),,16-15,,
9:56.0,,,16-15,,S. Mack misses 3-pt shot from 24 ft
9:55.0,,,16-15,,Offensive rebound by Team
9:55.0,Loose ball foul by S. Mejri (drawn by D. Favors),,16-15,,
9:55.0,D. Powell enters the game for S. Mejri,,16-15,,
9:43.0,,,16-18,3,S. Mack makes 3-pt shot from 24 ft
9:33.0,Turnover by J. Barea (lost ball; steal by S. Mack),,16-18,,
9:26.0,,,16-20,2,D. Exum makes 2-pt shot from 2 ft (assist by J. Ingles)
9:26.0,Dallas full timeout,,16-20,,
9:03.0,Turnover by J. Anderson (lost ball),,16-20,,
8:40.0,,,16-20,,D. Favors misses 2-pt shot from 19 ft
8:40.0,Defensive rebound by S. Curry,,16-20,,
8:31.0,J. Barea makes 3-pt shot from 24 ft,3,19-20,,
8:19.0,,,19-22,2,D. Favors makes 2-pt shot from 1 ft (assist by J. Ingles)
8:06.0,J. Barea misses 2-pt shot from 2 ft,,19-22,,
8:06.0,,,19-22,,Defensive rebound by S. Mack
8:03.0,,,19-22,,Shooting foul by D. Nowitzki (drawn by D. Favors)
8:03.0,,,19-22,,D. Favors misses free throw 1 of 2
8:03.0,,,19-22,,Offensive rebound by Team
8:03.0,,,19-23,1,D. Favors makes free throw 2 of 2
8:03.0,D. Williams enters the game for J. Barea,,19-22,,
8:03.0,H. Barnes enters the game for S. Curry,,19-22,,
8:03.0,A. Bogut enters the game for D. Nowitzki,,19-22,,
8:03.0,,,19-22,,G. Hill enters the game for D. Exum
8:03.0,,,19-22,,J. Johnson enters the game for T. Lyles
8:03.0,W. Matthews enters the game for D. Powell,,19-22,,
7:39.0,A. Bogut makes 2-pt shot at rim (assist by J. Anderson),2,21-23,,
7:29.0,,,21-23,,S. Mack misses 2-pt shot from 18 ft
7:27.0,Defensive rebound by A. Bogut,,21-23,,
7:14.0,W. Matthews makes 2-pt shot from 3 ft,2,23-23,,
6:50.0,,,23-25,2,D. Favors makes 2-pt shot at rim (assist by S. Mack)
6:38.0,Offensive foul by A. Bogut,,23-25,,
6:38.0,Turnover by A. Bogut (offensive foul),,23-25,,
6:38.0,,,23-25,,R. Gobert enters the game for D. Favors
6:38.0,,,23-25,,R. Hood enters the game for S. Mack
6:20.0,,,23-25,,J. Johnson misses 2-pt shot from 15 ft
6:19.0,Defensive rebound by A. Bogut,,23-25,,
5:59.0,J. Anderson misses 3-pt shot from 23 ft,,23-25,,
5:59.0,,,23-25,,Defensive rebound by J. Johnson
5:50.0,,,23-27,2,G. Hill makes 2-pt shot from 2 ft (assist by J. Johnson)
5:29.0,Turnover by A. Bogut (bad pass; steal by R. Gobert),,23-27,,
5:28.0,Personal foul by W. Matthews (drawn by R. Gobert),,23-27,,
5:28.0,Official timeout,,23-27,,
5:15.0,,,23-29,2,R. Gobert makes 2-pt shot at rim (assist by G. Hill)
5:15.0,,,23-29,,Shooting foul by A. Bogut (drawn by R. Gobert)
5:15.0,,,23-29,,R. Gobert misses free throw 1 of 1
5:15.0,Defensive rebound by J. Anderson,,23-29,,
4:57.0,A. Bogut misses 2-pt shot from 1 ft,,23-29,,
4:57.0,,,23-29,,Defensive rebound by G. Hill
4:50.0,,,23-29,,Turnover by R. Hood (traveling)
4:50.0,J. Barea enters the game for J. Anderson,,23-29,,
4:50.0,D. Nowitzki enters the game for A. Bogut,,23-29,,
4:41.0,D. Nowitzki misses 3-pt shot from 24 ft,,23-29,,
4:39.0,,,23-29,,Defensive rebound by R. Gobert
4:28.0,,,23-29,,J. Ingles misses 2-pt shot from 3 ft (block by W. Matthews)
4:28.0,,,23-29,,Offensive rebound by Team
4:28.0,,,23-29,,D. Exum enters the game for J. Ingles
4:20.0,,,23-31,2,G. Hill makes 2-pt shot from 15 ft
4:04.0,D. Williams makes 2-pt shot from 2 ft,2,25-31,,
3:41.0,,,25-33,2,G. Hill makes 2-pt shot from 2 ft (assist by J. Johnson)
3:24.0,D. Nowitzki misses 3-pt shot from 24 ft,,25-33,,
3:23.0,,,25-33,,Defensive rebound by G. Hill
3:19.0,,,25-33,,Utah full timeout
3:05.0,,,25-35,2,D. Exum makes 2-pt shot from 2 ft (assist by R. Hood)
2:48.0,H. Barnes misses 2-pt shot from 20 ft,,25-35,,
2:47.0,,,25-35,,Defensive rebound by D. Exum
2:37.0,,,25-35,,R. Gobert misses 2-pt shot from 2 ft
2:36.0,Defensive rebound by D. Nowitzki,,25-35,,
2:28.0,W. Matthews misses 2-pt shot from 20 ft,,25-35,,
2:28.0,,,25-35,,Defensive rebound by R. Gobert
2:21.0,,,25-35,,Turnover by D. Exum (offensive foul)
2:21.0,,,25-35,,Offensive foul by D. Exum
2:07.0,,,25-35,,Personal foul by D. Exum (drawn by H. Barnes)
1:58.0,H. Barnes misses 2-pt shot from 4 ft,,25-35,,
1:57.0,,,25-35,,Defensive rebound by G. Hill
1:46.0,,,25-35,,J. Johnson misses 2-pt shot from 18 ft
1:44.0,Defensive rebound by D. Nowitzki,,25-35,,
1:35.0,D. Nowitzki makes 2-pt shot from 2 ft,2,27-35,,
1:35.0,Shooting foul by R. Gobert (drawn by D. Nowitzki),,27-35,,
1:35.0,D. Nowitzki makes free throw 1 of 1,1,28-35,,
1:35.0,,,27-35,,T. Lyles enters the game for R. Gobert
1:16.0,,,28-35,,R. Hood misses 2-pt shot from 20 ft
1:16.0,Defensive rebound by D. Nowitzki,,28-35,,
1:06.0,D. Nowitzki makes 2-pt shot from 1 ft (assist by D. Williams),2,30-35,,
1:04.0,,,30-35,,Utah full timeout
0:54.0,,,30-38,3,D. Exum makes 3-pt shot from 23 ft (assist by G. Hill)
0:35.0,H. Barnes misses 3-pt shot from 24 ft,,30-38,,
0:34.0,,,30-38,,Defensive rebound by R. Hood
0:11.0,,,30-38,,J. Johnson misses 2-pt shot from 10 ft
0:10.0,Defensive rebound by W. Matthews,,30-38,,
0:02.0,D. Williams makes 3-pt shot from 24 ft,3,33-38,,
0:00.0,,,33-41,3,G. Hill makes 3-pt shot from 37 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,33-41,,R. Hood misses 2-pt shot from 16 ft
11:45.0,,,33-41,,Offensive rebound by Team
11:24.0,,,33-43,2,G. Hill makes 2-pt shot from 4 ft
11:13.0,D. Williams makes 2-pt shot from 13 ft (assist by W. Matthews),2,35-43,,
11:11.0,Technical foul by A. Bogut,,35-43,,
11:11.0,,,35-44,1,G. Hill makes technical free throw
10:48.0,,,35-46,2,D. Favors makes 2-pt shot at rim (assist by R. Gobert)
10:18.0,W. Matthews misses 2-pt shot from 8 ft,,35-46,,
10:18.0,,,35-46,,Defensive rebound by R. Gobert
10:02.0,,,35-46,,G. Hill misses 3-pt shot from 24 ft
10:01.0,Defensive rebound by D. Nowitzki,,35-46,,
9:53.0,D. Williams misses 2-pt shot from 5 ft (block by R. Gobert),,35-46,,
9:53.0,Offensive rebound by Team,,35-46,,
9:48.0,W. Matthews misses 2-pt shot from 4 ft (block by R. Gobert),,35-46,,
9:47.0,,,35-46,,Defensive rebound by J. Johnson
9:43.0,,,35-46,,Shooting foul by D. Nowitzki (drawn by D. Favors)
9:43.0,,,35-47,1,D. Favors makes free throw 1 of 2
9:43.0,,,35-47,,D. Favors misses free throw 2 of 2
9:42.0,Defensive rebound by A. Bogut,,35-47,,
9:21.0,,,35-47,,Personal foul by D. Favors (drawn by D. Nowitzki)
9:20.0,Turnover by W. Matthews (bad pass; steal by R. Gobert),,35-47,,
9:17.0,,,35-47,,Shooting foul by A. Bogut (drawn by R. Gobert)
9:17.0,,,35-48,1,R. Gobert makes free throw 1 of 2
9:17.0,,,35-48,,R. Gobert misses free throw 2 of 2
9:16.0,Defensive rebound by A. Bogut,,35-48,,
8:54.0,Turnover by D. Nowitzki (bad pass),,35-48,,
8:46.0,,,35-48,,Offensive charge foul by R. Gobert
8:46.0,,,35-48,,Turnover by R. Gobert (offensive foul)
8:46.0,,,35-48,,T. Lyles enters the game for R. Gobert
8:34.0,D. Williams misses 3-pt shot from 25 ft,,35-48,,
8:33.0,Offensive rebound by D. Nowitzki,,35-48,,
8:29.0,D. Nowitzki misses 2-pt shot from 16 ft,,35-48,,
8:29.0,,,35-48,,Defensive rebound by J. Johnson
8:21.0,,,35-50,2,J. Johnson makes 2-pt shot from 17 ft
8:20.0,Dallas full timeout,,35-50,,
7:53.0,Turnover by Team (shot clock),,35-50,,
7:31.0,,,35-53,3,J. Johnson makes 3-pt shot from 25 ft (assist by R. Hood)
7:22.0,,,35-53,,Personal foul by T. Lyles (drawn by D. Nowitzki)
7:06.0,H. Barnes misses 3-pt shot from 24 ft,,35-53,,
7:05.0,,,35-53,,Defensive rebound by R. Hood
6:48.0,,,35-53,,D. Favors misses 2-pt shot from 9 ft
6:47.0,Defensive rebound by A. Bogut,,35-53,,
6:37.0,,,35-53,,Personal foul by R. Hood (drawn by D. Nowitzki)
6:37.0,,,35-53,,D. Exum enters the game for J. Johnson
6:37.0,J. Barea enters the game for A. Bogut,,35-53,,
6:21.0,J. Barea misses 3-pt shot from 24 ft,,35-53,,
6:21.0,,,35-53,,Defensive rebound by R. Hood
5:58.0,,,35-53,,R. Hood misses 3-pt shot from 25 ft
5:57.0,,,35-53,,Offensive rebound by G. Hill
5:40.0,,,35-53,,D. Exum misses 2-pt shot from 3 ft
5:38.0,,,35-53,,Offensive rebound by D. Exum
5:38.0,,,35-53,,D. Exum misses 2-pt shot from 1 ft
5:36.0,Defensive rebound by J. Barea,,35-53,,
5:30.0,D. Williams misses 2-pt shot from 1 ft,,35-53,,
5:30.0,,,35-53,,Defensive rebound by R. Hood
5:11.0,,,35-53,,Offensive foul by G. Hill
5:11.0,,,35-53,,Turnover by G. Hill (offensive foul)
5:11.0,D. Powell enters the game for D. Nowitzki,,35-53,,
5:11.0,,,35-53,,S. Mack enters the game for G. Hill
4:59.0,Shooting foul by D. Favors (drawn by H. Barnes),,35-53,,
4:59.0,H. Barnes makes free throw 1 of 2,1,36-53,,
4:59.0,H. Barnes makes free throw 2 of 2,1,37-53,,
4:59.0,,,36-53,,J. Withey enters the game for D. Favors
4:42.0,,,37-55,2,R. Hood makes 2-pt shot from 15 ft
4:29.0,W. Matthews makes 3-pt shot from 24 ft (assist by D. Williams),3,40-55,,
4:14.0,,,40-58,3,R. Hood makes 3-pt shot from 27 ft (assist by T. Lyles)
3:59.0,H. Barnes makes 2-pt shot from 17 ft (assist by D. Williams),2,42-58,,
3:43.0,,,42-61,3,D. Exum makes 3-pt shot from 24 ft (assist by S. Mack)
3:22.0,H. Barnes makes 2-pt shot from 13 ft,2,44-61,,
3:03.0,,,44-64,3,R. Hood makes 3-pt shot from 26 ft (assist by S. Mack)
3:01.0,Dallas full timeout,,44-64,,
2:47.0,D. Powell makes 2-pt shot at rim (assist by D. Williams),2,46-64,,
2:32.0,,,46-64,,Offensive foul by J. Withey
2:32.0,,,46-64,,Turnover by J. Withey (offensive foul)
2:19.0,D. Powell makes 2-pt shot at rim (assist by J. Barea),2,48-64,,
2:00.0,,,48-64,,Turnover by S. Mack (bad pass)
1:44.0,W. Matthews makes 3-pt shot from 25 ft,3,51-64,,
1:21.0,,,51-64,,Offensive foul by R. Hood
1:21.0,,,51-64,,Turnover by R. Hood (offensive foul)
1:21.0,Technical foul by J. Barea,,51-64,,
1:21.0,,,51-65,1,R. Hood makes technical free throw
1:21.0,,,51-65,,J. Ingles enters the game for R. Hood
1:21.0,,,51-65,,D. Favors enters the game for J. Withey
1:10.0,H. Barnes makes 2-pt shot from 10 ft (assist by D. Williams),2,53-65,,
1:00.0,Shooting block foul by D. Powell (drawn by S. Mack),,53-65,,
1:00.0,,,53-66,1,S. Mack makes free throw 1 of 2
1:00.0,,,53-66,,S. Mack misses free throw 2 of 2
1:00.0,Defensive rebound by H. Barnes,,53-66,,
0:44.0,,,53-66,,Def 3 sec tech foul by D. Favors
0:44.0,W. Matthews makes technical free throw,1,54-66,,
0:32.0,D. Powell makes 2-pt shot from 2 ft (assist by D. Williams),2,56-66,,
0:13.0,,,56-66,,S. Mack misses 2-pt shot from 2 ft
0:12.0,Defensive rebound by J. Barea,,56-66,,
0:06.0,D. Williams makes 3-pt shot from 25 ft (assist by J. Barea),3,59-66,,
0:00.0,,,59-66,,S. Mack misses 3-pt shot from 24 ft
0:00.0,,,59-66,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,S. Curry makes 2-pt shot from 18 ft (assist by J. Barea),2,61-66,,
11:18.0,,,61-66,,Turnover by J. Johnson (bad pass; steal by D. Nowitzki)
11:07.0,D. Nowitzki misses 3-pt shot from 24 ft,,61-66,,
11:05.0,Offensive rebound by J. Anderson,,61-66,,
10:59.0,J. Barea makes 2-pt shot from 23 ft,2,63-66,,
10:59.0,,,63-66,,Utah full timeout
10:45.0,,,63-69,3,G. Hill makes 3-pt shot from 25 ft
10:25.0,D. Nowitzki makes 2-pt shot from 11 ft,2,65-69,,
10:00.0,,,65-71,2,J. Johnson makes 2-pt shot from 9 ft
9:48.0,J. Barea misses 3-pt shot from 24 ft,,65-71,,
9:47.0,,,65-71,,Defensive rebound by J. Ingles
9:31.0,,,65-71,,J. Ingles misses 3-pt shot from 24 ft
9:30.0,Defensive rebound by J. Anderson,,65-71,,
9:20.0,D. Nowitzki misses 3-pt shot from 24 ft,,65-71,,
9:19.0,Offensive rebound by J. Barea,,65-71,,
9:13.0,Shooting foul by D. Exum,,65-71,,
9:13.0,J. Barea makes free throw 1 of 2,1,66-71,,
9:13.0,J. Barea makes free throw 2 of 2,1,67-71,,
9:13.0,,,66-71,,D. Favors enters the game for D. Exum
8:51.0,,,67-73,2,R. Gobert makes 2-pt shot at rim (assist by J. Johnson)
8:37.0,,,67-73,,Personal foul by D. Favors (drawn by D. Nowitzki)
8:24.0,D. Powell misses 2-pt shot from 2 ft,,67-73,,
8:23.0,Offensive rebound by J. Anderson,,67-73,,
8:18.0,J. Barea makes 2-pt shot from 4 ft,2,69-73,,
7:59.0,,,69-75,2,G. Hill makes 2-pt shot from 21 ft
7:33.0,D. Powell misses 2-pt shot from 2 ft,,69-75,,
7:33.0,,,69-75,,Defensive rebound by Team
7:16.0,,,69-78,3,J. Ingles makes 3-pt shot from 24 ft (assist by G. Hill)
7:15.0,Dallas full timeout,,69-78,,
7:15.0,D. Williams enters the game for S. Curry,,69-78,,
7:15.0,W. Matthews enters the game for D. Powell,,69-78,,
7:15.0,H. Barnes enters the game for J. Barea,,69-78,,
7:15.0,,,69-78,,R. Hood enters the game for D. Favors
7:07.0,,,69-78,,Personal foul by R. Hood (drawn by W. Matthews)
6:58.0,D. Nowitzki misses 2-pt shot from 14 ft,,69-78,,
6:57.0,,,69-78,,Defensive rebound by R. Hood
6:38.0,,,69-81,3,J. Johnson makes 3-pt shot from 23 ft (assist by G. Hill)
6:17.0,D. Nowitzki misses 2-pt shot from 2 ft (block by R. Gobert),,69-81,,
6:16.0,Offensive rebound by J. Anderson,,69-81,,
6:12.0,J. Anderson makes 2-pt shot from 2 ft,2,71-81,,
5:57.0,,,71-81,,G. Hill misses 2-pt shot from 5 ft
5:57.0,,,71-81,,Offensive rebound by R. Gobert
5:57.0,,,71-81,,Shooting foul by W. Matthews (drawn by R. Gobert)
5:57.0,,,71-81,,R. Gobert misses free throw 1 of 2
5:57.0,,,71-81,,Offensive rebound by Team
5:57.0,,,71-81,,R. Gobert misses free throw 2 of 2
5:57.0,D. Powell enters the game for D. Nowitzki,,71-81,,
5:56.0,Defensive rebound by H. Barnes,,71-81,,
5:37.0,J. Anderson misses 2-pt shot from 6 ft,,71-81,,
5:36.0,,,71-81,,Defensive rebound by G. Hill
5:20.0,,,71-81,,J. Johnson misses 3-pt shot from 23 ft
5:19.0,Defensive rebound by J. Anderson,,71-81,,
5:07.0,D. Powell makes 2-pt shot from 3 ft (assist by D. Williams),2,73-81,,
4:45.0,,,73-81,,Shooting foul by D. Powell (drawn by G. Hill)
4:45.0,,,73-82,1,G. Hill makes free throw 1 of 2
4:45.0,,,73-83,1,G. Hill makes free throw 2 of 2
4:35.0,D. Powell makes 2-pt shot from 2 ft (assist by D. Williams),2,75-83,,
4:22.0,,,75-83,,Turnover by G. Hill (bad pass; steal by J. Anderson)
4:20.0,Turnover by J. Anderson (lost ball),,75-83,,
4:05.0,,,75-83,,Shooting foul by J. Anderson (drawn by R. Gobert)
4:05.0,,,75-85,2,R. Gobert makes 2-pt shot at rim (assist by R. Hood)
4:05.0,,,75-86,1,R. Gobert makes free throw 1 of 1
3:55.0,Turnover by D. Williams (bad pass),,75-86,,
3:41.0,,,75-86,,Shooting foul by J. Anderson (drawn by R. Gobert)
3:41.0,,,75-86,,R. Gobert misses free throw 1 of 2
3:41.0,,,75-86,,Offensive rebound by Team
3:41.0,,,75-87,1,R. Gobert makes free throw 2 of 2
3:32.0,Shooting foul by R. Gobert (drawn by D. Powell),,75-87,,
3:32.0,D. Powell misses free throw 1 of 2,,75-87,,
3:32.0,Offensive rebound by Team,,75-87,,
3:32.0,D. Powell makes free throw 2 of 2,1,76-87,,
3:30.0,Personal take foul by D. Williams (drawn by R. Gobert),,76-87,,
3:30.0,,,76-87,,R. Gobert misses free throw 1 of 2
3:30.0,,,76-87,,Offensive rebound by Team
3:30.0,,,76-88,1,R. Gobert makes free throw 2 of 2
3:20.0,D. Williams makes 2-pt shot from 17 ft,2,78-88,,
3:12.0,Personal take foul by D. Powell (drawn by R. Gobert),,78-88,,
3:12.0,,,78-89,1,R. Gobert makes free throw 1 of 2
3:12.0,,,78-89,,R. Gobert misses free throw 2 of 2
3:12.0,Defensive rebound by D. Williams,,78-89,,
3:01.0,D. Powell misses 2-pt shot from 23 ft,,78-89,,
3:01.0,,,78-89,,Defensive rebound by R. Gobert
2:48.0,,,78-91,2,R. Hood makes 2-pt shot from 12 ft
2:48.0,,,78-91,,Shooting foul by D. Williams (drawn by R. Hood)
2:48.0,,,78-91,,Utah full timeout
2:48.0,,,78-92,1,R. Hood makes free throw 1 of 1
2:48.0,S. Curry enters the game for J. Anderson,,78-91,,
2:38.0,H. Barnes misses 2-pt shot from 18 ft,,78-92,,
2:36.0,,,78-92,,Defensive rebound by R. Gobert
2:25.0,,,78-92,,G. Hill misses 2-pt shot from 15 ft
2:24.0,Defensive rebound by D. Powell,,78-92,,
2:13.0,S. Curry makes 2-pt shot from 17 ft,2,80-92,,
1:50.0,,,80-95,3,G. Hill makes 3-pt shot from 24 ft
1:50.0,Dallas full timeout,,80-95,,
1:50.0,J. Anderson enters the game for H. Barnes,,80-95,,
1:50.0,Q. Acy enters the game for W. Matthews,,80-95,,
1:50.0,N. Brussino enters the game for D. Williams,,80-95,,
1:50.0,D. Finney-Smith enters the game for D. Powell,,80-95,,
1:38.0,J. Anderson misses 2-pt shot from 6 ft,,80-95,,
1:38.0,Offensive rebound by J. Anderson,,80-95,,
1:36.0,Turnover by J. Anderson (lost ball; steal by R. Hood),,80-95,,
1:16.0,,,80-97,2,R. Hood makes 2-pt shot from 19 ft
1:01.0,N. Brussino misses 2-pt shot from 22 ft,,80-97,,
1:01.0,,,80-97,,Defensive rebound by J. Johnson
1:00.0,,,80-97,,Utah full timeout
1:00.0,,,80-97,,D. Exum enters the game for J. Johnson
1:00.0,,,80-97,,J. Bolomboy enters the game for R. Gobert
1:00.0,,,80-97,,R. Neto enters the game for R. Hood
1:00.0,,,80-97,,J. Withey enters the game for G. Hill
1:00.0,,,80-97,,S. Mack enters the game for J. Ingles
0:38.0,,,80-97,,S. Mack misses 3-pt shot from 25 ft
0:37.0,Defensive rebound by Q. Acy,,80-97,,
0:24.0,Q. Acy misses 3-pt shot from 25 ft,,80-97,,
0:24.0,Offensive rebound by Team,,80-97,,
0:24.0,,,80-97,,Loose ball foul by R. Neto (drawn by N. Brussino)
