time,Boston,pts.away,score,pts.home,Indiana
9:32.0,,,27-38,3,A. Brooks makes 3-pt shot from 28 ft (assist by G. Robinson)
9:08.0,M. Smart makes 2-pt shot from 18 ft,2,29-38,,
8:53.0,,,29-38,,Turnover by M. Turner (bad pass; steal by J. Young)
8:48.0,T. Rozier makes 2-pt shot from 2 ft,2,31-38,,
8:32.0,,,31-38,,A. Brooks misses 2-pt shot from 4 ft (block by T. Rozier)
8:32.0,,,31-38,,Offensive rebound by Team
8:32.0,Official timeout,,31-38,,
8:22.0,,,31-38,,G. Robinson misses 2-pt shot from 21 ft
8:21.0,Defensive rebound by A. Johnson,,31-38,,
8:06.0,K. Olynyk misses 2-pt shot from 4 ft,,31-38,,
8:04.0,Offensive rebound by A. Johnson,,31-38,,
8:04.0,A. Johnson misses 2-pt shot from 3 ft,,31-38,,
8:04.0,,,31-38,,Defensive rebound by M. Turner
7:55.0,,,31-38,,G. Robinson misses 3-pt shot from 24 ft
7:54.0,Defensive rebound by K. Olynyk,,31-38,,
7:38.0,A. Johnson makes 2-pt shot from 1 ft (assist by K. Olynyk),2,33-38,,
7:25.0,,,33-38,,C. Miles misses 2-pt shot from 4 ft
7:24.0,Defensive rebound by A. Johnson,,33-38,,
7:09.0,T. Rozier misses 2-pt shot from 13 ft,,33-38,,
7:07.0,Offensive rebound by K. Olynyk,,33-38,,
6:50.0,M. Smart misses 3-pt shot from 26 ft (block by C. Miles),,33-38,,
6:49.0,,,33-38,,Defensive rebound by G. Robinson
6:39.0,,,33-38,,A. Brooks misses 3-pt shot from 24 ft
6:37.0,,,33-38,,Offensive rebound by L. Allen
6:27.0,Jump ball: G. Robinson vs. J. Young (M. Smart gains possession),,,,Jump ball: G. Robinson vs. J. Young (M. Smart gains possession)
6:27.0,,,33-38,,Turnover by A. Brooks (lost ball; steal by J. Young)
6:27.0,,,33-38,,J. Teague enters the game for A. Brooks
6:27.0,,,33-38,,T. Young enters the game for L. Allen
6:27.0,I. Thomas enters the game for T. Rozier,,33-38,,
6:11.0,Turnover by A. Johnson (step out of bounds),,33-38,,
6:02.0,,,33-38,,Turnover by M. Turner (lost ball)
5:49.0,J. Young makes 2-pt shot from 4 ft,2,35-38,,
5:37.0,Personal foul by I. Thomas (drawn by J. Teague),,35-38,,
5:37.0,,,35-38,,Indiana full timeout
5:37.0,,,35-38,,M. Ellis enters the game for G. Robinson
5:28.0,,,35-38,,J. Teague misses 2-pt shot from 2 ft
