time,Houston,pts.away,score,pts.home,Boston
6:45.0,,,11-11,3,I. Thomas makes 3-pt shot from 26 ft
6:28.0,J. Harden misses 3-pt shot from 23 ft,,11-11,,
6:27.0,,,11-11,,Defensive rebound by J. Brown
6:21.0,Personal foul by P. Beverley (drawn by I. Thomas),,11-11,,
6:12.0,,,11-13,2,A. Horford makes 2-pt shot at rim (assist by I. Thomas)
6:01.0,Shooting foul by A. Horford (drawn by R. Anderson),,11-13,,
6:01.0,R. Anderson makes free throw 1 of 2,1,12-13,,
6:01.0,R. Anderson misses free throw 2 of 2,,12-13,,
6:01.0,,,12-13,,Defensive rebound by J. Jerebko
5:44.0,,,12-16,3,J. Jerebko makes 3-pt shot from 24 ft (assist by A. Horford)
5:31.0,Shooting foul by J. Brown (drawn by J. Harden),,12-16,,
5:31.0,,,12-16,,Boston full timeout
5:31.0,J. Harden makes free throw 1 of 2,1,13-16,,
5:31.0,J. Harden makes free throw 2 of 2,1,14-16,,
5:31.0,C. Brewer enters the game for C. Capela,,12-16,,
5:31.0,M. Harrell enters the game for P. Beverley,,12-16,,
5:31.0,,,12-16,,A. Johnson enters the game for A. Horford
5:21.0,,,14-16,,Turnover by J. Brown (bad pass)
5:03.0,T. Ariza misses 2-pt shot from 3 ft,,14-16,,
5:02.0,,,14-16,,Defensive rebound by A. Johnson
4:57.0,,,14-16,,J. Crowder misses 2-pt shot from 14 ft
4:56.0,Defensive rebound by M. Harrell,,14-16,,
4:49.0,Loose ball foul by J. Harden (drawn by J. Crowder),,14-16,,
4:49.0,Turnover by J. Harden (offensive foul),,14-16,,
4:49.0,,,14-16,,M. Smart enters the game for J. Brown
4:36.0,,,14-16,,J. Crowder misses 3-pt shot from 26 ft
4:35.0,Defensive rebound by C. Brewer,,14-16,,
4:27.0,J. Harden makes 3-pt shot from 26 ft (assist by C. Brewer),3,17-16,,
4:16.0,,,17-18,2,A. Johnson makes 2-pt shot at rim (assist by I. Thomas)
4:09.0,Turnover by T. Ariza (lost ball; steal by I. Thomas),,17-18,,
4:04.0,,,17-18,,I. Thomas misses 3-pt shot from 25 ft
4:03.0,,,17-18,,Offensive rebound by J. Crowder
3:58.0,,,17-20,2,J. Jerebko makes 2-pt shot from 1 ft (assist by J. Crowder)
3:41.0,R. Anderson makes 2-pt shot from 1 ft (assist by M. Harrell),2,19-20,,
3:41.0,Shooting foul by A. Johnson (drawn by R. Anderson),,19-20,,
3:41.0,R. Anderson makes free throw 1 of 1,1,20-20,,
3:25.0,Shooting block foul by R. Anderson (drawn by A. Johnson),,20-20,,
3:25.0,,,20-21,1,A. Johnson makes free throw 1 of 2
3:25.0,,,20-22,1,A. Johnson makes free throw 2 of 2
3:25.0,,,20-21,,K. Olynyk enters the game for J. Jerebko
3:25.0,S. Dekker enters the game for R. Anderson,,20-21,,
3:09.0,S. Dekker makes 2-pt shot from 3 ft (assist by T. Ariza),2,22-22,,
2:54.0,,,22-22,,I. Thomas misses 2-pt shot from 13 ft
2:52.0,,,22-22,,Offensive rebound by Team
2:52.0,Houston full timeout,,22-22,,
2:52.0,,,22-22,,J. Young enters the game for J. Crowder
2:41.0,,,22-22,,M. Smart misses 2-pt shot from 22 ft
2:40.0,,,22-22,,Offensive rebound by Team
2:40.0,,,22-22,,Turnover by A. Johnson (punched ball)
2:28.0,S. Dekker makes 3-pt shot from 25 ft (assist by J. Harden),3,25-22,,
2:12.0,,,25-22,,K. Olynyk misses 2-pt shot from 15 ft
2:11.0,Defensive rebound by Team,,25-22,,
2:05.0,Shooting foul by A. Johnson (drawn by J. Harden),,25-22,,
2:05.0,J. Harden makes free throw 1 of 2,1,26-22,,
2:05.0,J. Harden makes free throw 2 of 2,1,27-22,,
1:54.0,,,27-24,2,I. Thomas makes 2-pt shot from 1 ft (assist by A. Johnson)
1:39.0,T. Ariza misses 3-pt shot from 25 ft,,27-24,,
1:38.0,,,27-24,,Defensive rebound by A. Johnson
1:28.0,,,27-24,,Turnover by K. Olynyk (lost ball)
1:17.0,J. Harden misses 3-pt shot from 26 ft,,27-24,,
1:16.0,,,27-24,,Defensive rebound by A. Johnson
1:03.0,,,27-24,,Turnover by I. Thomas (bad pass)
1:03.0,,,27-24,,T. Rozier enters the game for I. Thomas
0:55.0,Turnover by J. Harden (offensive foul),,27-24,,
0:55.0,Offensive foul by J. Harden,,27-24,,
0:41.0,,,27-24,,T. Rozier misses 3-pt shot from 24 ft
0:38.0,,,27-24,,Offensive rebound by T. Rozier
0:37.0,,,27-24,,T. Rozier misses 2-pt shot from 1 ft
0:36.0,Defensive rebound by M. Harrell,,27-24,,
0:32.0,S. Dekker misses 2-pt shot from 2 ft,,27-24,,
0:31.0,,,27-24,,Defensive rebound by Team
0:18.0,,,27-24,,J. Young misses 3-pt shot from 24 ft
0:17.0,Defensive rebound by J. Harden,,27-24,,
0:03.0,Turnover by J. Harden (bad pass; steal by M. Smart),,27-24,,
0:01.0,S. Dekker misses 3-pt shot from 37 ft,,27-24,,
0:00.0,Offensive rebound by Team,,27-24,,
0:01.0,,,27-24,,Turnover by M. Smart (bad pass; steal by S. Dekker)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,,,27-24,,A. Horford misses 2-pt shot from 12 ft
11:34.0,Defensive rebound by R. Anderson,,27-24,,
11:18.0,P. Beverley misses 2-pt shot from 11 ft,,27-24,,
11:17.0,,,27-24,,Defensive rebound by J. Brown
11:05.0,,,27-26,2,J. Brown makes 2-pt shot from 1 ft (assist by K. Olynyk)
10:48.0,M. Harrell makes 2-pt shot from 18 ft (assist by P. Beverley),2,29-26,,
10:26.0,,,29-28,2,K. Olynyk makes 2-pt shot from 7 ft
10:07.0,C. Brewer makes 2-pt shot from 1 ft (assist by M. Harrell),2,31-28,,
9:49.0,,,31-30,2,K. Olynyk makes 2-pt shot at rim (assist by A. Horford)
9:31.0,C. Brewer makes 2-pt shot from 8 ft,2,33-30,,
9:11.0,,,33-30,,J. Brown misses 2-pt shot from 4 ft (block by P. Beverley)
9:11.0,,,33-30,,Offensive rebound by Team
9:04.0,,,33-32,2,T. Rozier makes 2-pt shot from 1 ft (assist by A. Horford)
8:58.0,S. Dekker makes 2-pt shot from 2 ft (assist by P. Beverley),2,35-32,,
8:48.0,,,35-32,,Shooting foul by R. Anderson (drawn by K. Olynyk)
8:48.0,Official timeout,,35-32,,
8:48.0,,,35-32,,K. Olynyk misses free throw 1 of 2
8:48.0,,,35-32,,Offensive rebound by Team
8:48.0,,,35-33,1,K. Olynyk makes free throw 2 of 2
8:33.0,R. Anderson misses 2-pt shot from 2 ft,,35-33,,
8:32.0,Offensive rebound by Team,,35-33,,
8:30.0,,,35-33,,Personal foul by J. Brown (drawn by C. Brewer)
8:25.0,P. Beverley makes 2-pt shot at rim (assist by M. Harrell),2,37-33,,
8:25.0,Shooting foul by K. Olynyk (drawn by P. Beverley),,37-33,,
8:25.0,P. Beverley makes free throw 1 of 1,1,38-33,,
8:08.0,,,38-33,,T. Rozier misses 2-pt shot from 22 ft
8:04.0,Defensive rebound by S. Dekker,,38-33,,
7:58.0,S. Dekker makes 2-pt shot at rim (assist by P. Beverley),2,40-33,,
7:58.0,,,40-33,,Boston full timeout
7:41.0,,,40-33,,J. Brown misses 3-pt shot from 23 ft
7:40.0,,,40-33,,Offensive rebound by K. Olynyk
7:34.0,,,40-33,,Turnover by K. Olynyk (lost ball; steal by C. Brewer)
7:30.0,,,40-33,,J. Crowder enters the game for K. Olynyk
7:30.0,,,40-33,,J. Jerebko enters the game for T. Rozier
7:17.0,M. Harrell makes 2-pt shot from 18 ft,2,42-33,,
7:07.0,Personal foul by S. Dekker (drawn by M. Smart),,42-33,,
7:00.0,,,42-33,,A. Horford misses 2-pt shot from 1 ft
6:59.0,,,42-33,,Offensive rebound by J. Jerebko
6:55.0,,,42-33,,Offensive foul by J. Brown
6:55.0,,,42-33,,Turnover by J. Brown (offensive foul)
6:40.0,S. Dekker makes 2-pt shot from 11 ft,2,44-33,,
6:23.0,,,44-35,2,J. Crowder makes 2-pt shot from 1 ft (assist by A. Horford)
6:12.0,C. Brewer makes 2-pt shot from 1 ft (assist by P. Beverley),2,46-35,,
5:58.0,,,46-35,,Shooting foul by P. Beverley (drawn by M. Smart)
5:58.0,,,46-36,1,M. Smart makes free throw 1 of 2
5:58.0,,,46-37,1,M. Smart makes free throw 2 of 2
5:58.0,T. Ariza enters the game for S. Dekker,,46-36,,
5:58.0,J. Harden enters the game for C. Brewer,,46-36,,
5:58.0,,,46-36,,I. Thomas enters the game for J. Brown
5:58.0,C. Capela enters the game for M. Harrell,,46-36,,
5:50.0,Turnover by P. Beverley (bad pass),,46-37,,
5:50.0,,,46-37,,G. Green enters the game for M. Smart
5:34.0,,,46-39,2,I. Thomas makes 2-pt shot from 2 ft (assist by A. Horford)
5:17.0,T. Ariza misses 2-pt shot from 2 ft,,46-39,,
5:16.0,,,46-39,,Defensive rebound by G. Green
5:13.0,,,46-39,,Turnover by G. Green (offensive foul)
5:13.0,,,46-39,,Offensive charge foul by G. Green
4:58.0,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden),2,48-39,,
4:45.0,Personal foul by P. Beverley (drawn by I. Thomas),,48-39,,
4:45.0,C. Brewer enters the game for P. Beverley,,48-39,,
4:33.0,,,48-39,,A. Horford misses 2-pt shot from 2 ft
4:32.0,Defensive rebound by C. Capela,,48-39,,
4:22.0,J. Harden misses 3-pt shot from 26 ft,,48-39,,
4:21.0,,,48-39,,Defensive rebound by G. Green
4:13.0,,,48-41,2,I. Thomas makes 2-pt shot from 7 ft
4:01.0,,,48-41,,Personal foul by G. Green (drawn by C. Capela)
4:01.0,,,48-41,,K. Olynyk enters the game for A. Horford
3:56.0,J. Harden misses 3-pt shot from 25 ft,,48-41,,
3:55.0,,,48-41,,Defensive rebound by J. Jerebko
3:42.0,,,48-41,,G. Green misses 3-pt shot from 26 ft
3:40.0,,,48-41,,Offensive rebound by J. Jerebko
3:39.0,,,48-41,,Offensive charge foul by J. Crowder
3:39.0,,,48-41,,Turnover by J. Crowder (offensive foul)
3:30.0,,,48-41,,Shooting block foul by J. Jerebko (drawn by C. Capela)
3:30.0,C. Capela makes free throw 1 of 2,1,49-41,,
3:30.0,,,49-41,,Violation by I. Thomas (lane)
3:30.0,,,49-41,,Technical foul by J. Jerebko (drawn by C. Capela)
3:30.0,J. Harden makes technical free throw,1,50-41,,
3:30.0,C. Capela misses free throw 2 of 2,,50-41,,
3:28.0,Offensive rebound by Team,,50-41,,
3:19.0,Shooting foul by J. Jerebko (drawn by C. Brewer),,50-41,,
3:19.0,,,50-41,,Technical foul by Team
3:19.0,Houston full timeout,,50-41,,
3:19.0,J. Harden misses technical free throw,,50-41,,
3:19.0,Offensive rebound by Team,,50-41,,
3:19.0,C. Brewer misses free throw 1 of 2,,50-41,,
3:19.0,Offensive rebound by Team,,50-41,,
3:19.0,C. Brewer makes free throw 2 of 2,1,51-41,,
3:05.0,,,51-41,,I. Thomas misses 2-pt shot from 3 ft
3:04.0,,,51-41,,Offensive rebound by I. Thomas
3:04.0,,,51-41,,I. Thomas misses 2-pt shot from 1 ft (block by C. Capela)
3:02.0,,,51-41,,Offensive rebound by K. Olynyk
2:58.0,,,51-43,2,J. Crowder makes 2-pt shot from 2 ft (assist by K. Olynyk)
2:45.0,Shooting foul by K. Olynyk (drawn by C. Capela),,51-43,,
2:45.0,C. Capela makes free throw 1 of 2,1,52-43,,
2:45.0,C. Capela misses free throw 2 of 2,,52-43,,
2:45.0,,,52-43,,Defensive rebound by J. Crowder
2:45.0,S. Dekker enters the game for C. Brewer,,52-43,,
2:45.0,,,52-43,,M. Smart enters the game for G. Green
2:29.0,,,52-43,,J. Crowder misses 3-pt shot from 26 ft
2:26.0,,,52-43,,Offensive rebound by I. Thomas
2:23.0,,,52-43,,I. Thomas misses 3-pt shot from 24 ft (block by C. Capela)
2:22.0,,,52-43,,Offensive rebound by I. Thomas
2:17.0,,,52-45,2,I. Thomas makes 2-pt shot from 1 ft
2:11.0,,,52-45,,Personal take foul by J. Jerebko (drawn by C. Capela)
2:11.0,C. Capela misses free throw 1 of 2,,52-45,,
2:11.0,Offensive rebound by Team,,52-45,,
2:11.0,C. Capela misses free throw 2 of 2,,52-45,,
2:11.0,,,52-45,,Defensive rebound by J. Crowder
2:11.0,,,52-45,,A. Horford enters the game for J. Jerebko
1:49.0,,,52-45,,Shooting foul by C. Capela (drawn by I. Thomas)
1:49.0,,,52-46,1,I. Thomas makes free throw 1 of 2
1:49.0,,,52-47,1,I. Thomas makes free throw 2 of 2
1:31.0,J. Harden misses 3-pt shot from 24 ft,,52-47,,
1:29.0,,,52-47,,Defensive rebound by K. Olynyk
1:20.0,,,52-49,2,J. Crowder makes 2-pt shot from 1 ft (assist by M. Smart)
1:11.0,S. Dekker misses 3-pt shot from 26 ft,,52-49,,
1:09.0,Offensive rebound by C. Capela,,52-49,,
1:08.0,C. Capela misses 2-pt shot from 6 ft,,52-49,,
1:07.0,Offensive rebound by Team,,52-49,,
1:07.0,,,52-49,,Loose ball foul by M. Smart (drawn by R. Anderson)
1:07.0,R. Anderson makes free throw 1 of 2,1,53-49,,
1:07.0,R. Anderson makes free throw 2 of 2,1,54-49,,
0:57.0,,,54-49,,K. Olynyk misses 3-pt shot from 25 ft
0:56.0,Defensive rebound by J. Harden,,54-49,,
0:46.0,Shooting foul by M. Smart (drawn by J. Harden),,54-49,,
0:46.0,,,54-49,,Technical foul by M. Smart (drawn by J. Harden)
0:46.0,J. Harden makes technical free throw,1,55-49,,
0:46.0,J. Harden makes free throw 1 of 2,1,56-49,,
0:46.0,J. Harden misses free throw 2 of 2,,56-49,,
0:46.0,,,56-49,,Defensive rebound by J. Crowder
0:46.0,,,56-49,,G. Green enters the game for K. Olynyk
0:30.0,,,56-49,,A. Horford misses 2-pt shot from 1 ft (block by J. Harden)
0:29.0,Defensive rebound by Team,,56-49,,
0:05.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,58-49,,
0:01.0,,,58-52,3,A. Horford makes 3-pt shot from 26 ft (assist by M. Smart)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,58-55,3,M. Smart makes 3-pt shot from 25 ft (assist by I. Thomas)
11:24.0,T. Ariza makes 3-pt shot from 26 ft (assist by C. Capela),3,61-55,,
11:07.0,,,61-55,,I. Thomas misses 3-pt shot from 25 ft
11:06.0,,,61-55,,Offensive rebound by J. Jerebko
11:02.0,,,61-58,3,I. Thomas makes 3-pt shot from 26 ft (assist by A. Horford)
10:39.0,C. Capela misses 2-pt shot from 1 ft (block by A. Horford),,61-58,,
10:38.0,,,61-58,,Defensive rebound by A. Horford
10:30.0,Shooting block foul by R. Anderson (drawn by J. Crowder),,61-58,,
10:30.0,,,61-59,1,J. Crowder makes free throw 1 of 2
10:30.0,,,61-60,1,J. Crowder makes free throw 2 of 2
10:19.0,Turnover by J. Harden (bad pass; steal by A. Horford),,61-60,,
10:08.0,,,61-62,2,J. Crowder makes 2-pt shot from 1 ft (assist by A. Horford)
9:50.0,T. Ariza misses 3-pt shot from 25 ft,,61-62,,
9:49.0,,,61-62,,Defensive rebound by J. Crowder
9:28.0,,,61-64,2,A. Horford makes 2-pt shot from 7 ft (assist by M. Smart)
9:13.0,T. Ariza misses 3-pt shot from 24 ft,,61-64,,
9:12.0,,,61-64,,Defensive rebound by J. Crowder
8:57.0,,,61-66,2,A. Horford makes 2-pt shot at rim (assist by M. Smart)
8:57.0,Houston full timeout,,61-66,,
8:57.0,S. Dekker enters the game for R. Anderson,,61-66,,
8:57.0,M. Harrell enters the game for C. Capela,,61-66,,
8:43.0,M. Harrell makes 2-pt shot at rim (assist by P. Beverley),2,63-66,,
8:23.0,,,63-69,3,I. Thomas makes 3-pt shot from 26 ft
8:05.0,J. Harden makes 2-pt shot from 3 ft,2,65-69,,
8:02.0,,,65-69,,Turnover by M. Smart (bad pass)
8:02.0,,,65-69,,G. Green enters the game for J. Jerebko
7:51.0,Shooting foul by G. Green (drawn by M. Harrell),,65-69,,
7:51.0,M. Harrell makes free throw 1 of 2,1,66-69,,
7:51.0,M. Harrell misses free throw 2 of 2,,66-69,,
7:51.0,,,66-69,,Defensive rebound by J. Crowder
7:35.0,,,66-69,,I. Thomas misses 2-pt shot from 23 ft
7:33.0,Defensive rebound by J. Harden,,66-69,,
7:27.0,S. Dekker misses 2-pt shot from 5 ft,,66-69,,
7:26.0,,,66-69,,Defensive rebound by A. Horford
7:15.0,,,66-71,2,A. Horford makes 2-pt shot from 1 ft (assist by I. Thomas)
7:03.0,Turnover by J. Harden (bad pass; steal by A. Horford),,66-71,,
6:58.0,,,66-73,2,J. Crowder makes 2-pt shot from 1 ft
6:43.0,J. Harden misses 2-pt shot from 16 ft,,66-73,,
6:42.0,,,66-73,,Defensive rebound by M. Smart
6:37.0,,,66-73,,Turnover by I. Thomas (lost ball; steal by P. Beverley)
6:31.0,S. Dekker makes 2-pt shot from 2 ft (assist by J. Harden),2,68-73,,
6:14.0,,,68-73,,Turnover by M. Smart (bad pass; steal by T. Ariza)
6:03.0,T. Ariza makes 3-pt shot from 26 ft (assist by J. Harden),3,71-73,,
5:42.0,,,71-75,2,I. Thomas makes 2-pt shot at rim
5:24.0,M. Harrell makes 2-pt shot at rim (assist by T. Ariza),2,73-75,,
5:01.0,,,73-75,,Shooting foul by P. Beverley (drawn by J. Crowder)
5:01.0,,,73-76,1,J. Crowder makes free throw 1 of 2
5:01.0,,,73-77,1,J. Crowder makes free throw 2 of 2
5:01.0,C. Brewer enters the game for P. Beverley,,73-76,,
5:01.0,,,73-76,,A. Johnson enters the game for A. Horford
4:48.0,M. Harrell misses 2-pt shot from 18 ft,,73-77,,
4:47.0,,,73-77,,Defensive rebound by J. Crowder
4:34.0,,,73-77,,Turnover by A. Johnson (bad pass; steal by J. Harden)
4:28.0,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden),3,76-77,,
4:10.0,,,76-79,2,A. Johnson makes 2-pt shot at rim (assist by J. Crowder)
3:49.0,J. Harden misses 3-pt shot from 25 ft,,76-79,,
3:47.0,,,76-79,,Defensive rebound by A. Johnson
3:33.0,,,76-81,2,G. Green makes 2-pt shot from 19 ft (assist by M. Smart)
3:23.0,M. Harrell makes 2-pt shot at rim (assist by J. Harden),2,78-81,,
3:05.0,,,78-81,,I. Thomas misses 2-pt shot from 9 ft (block by S. Dekker)
3:04.0,Defensive rebound by S. Dekker,,78-81,,
2:56.0,Shooting foul by A. Johnson (drawn by J. Harden),,78-81,,
2:56.0,,,78-81,,Boston full timeout
2:56.0,J. Harden makes free throw 1 of 2,1,79-81,,
2:56.0,J. Harden makes free throw 2 of 2,1,80-81,,
2:56.0,,,78-81,,T. Rozier enters the game for I. Thomas
2:43.0,,,80-81,,Shooting foul by S. Dekker (drawn by J. Crowder)
2:43.0,,,80-82,1,J. Crowder makes free throw 1 of 2
2:43.0,,,80-83,1,J. Crowder makes free throw 2 of 2
2:43.0,,,80-82,,J. Jerebko enters the game for M. Smart
2:26.0,J. Harden misses 2-pt shot from 13 ft,,80-83,,
2:25.0,,,80-83,,Defensive rebound by G. Green
2:19.0,,,80-85,2,J. Crowder makes 2-pt shot from 23 ft
2:04.0,S. Dekker misses 3-pt shot from 25 ft,,80-85,,
2:03.0,,,80-85,,Defensive rebound by A. Johnson
1:52.0,,,80-85,,J. Crowder misses 3-pt shot from 26 ft
1:51.0,Defensive rebound by C. Brewer,,80-85,,
1:43.0,Turnover by J. Harden (bad pass; steal by T. Rozier),,80-85,,
1:30.0,,,80-88,3,G. Green makes 3-pt shot from 26 ft
1:11.0,T. Ariza makes 3-pt shot from 27 ft (assist by J. Harden),3,83-88,,
0:49.0,,,83-88,,J. Crowder misses 2-pt shot from 19 ft
0:47.0,Defensive rebound by J. Harden,,83-88,,
0:37.0,J. Harden misses 2-pt shot from 18 ft,,83-88,,
0:35.0,,,83-88,,Defensive rebound by T. Rozier
0:27.0,,,83-88,,T. Rozier misses 2-pt shot from 2 ft
0:26.0,Defensive rebound by T. Ariza,,83-88,,
0:08.0,Shooting foul by T. Rozier (drawn by J. Harden),,83-88,,
0:08.0,J. Harden makes free throw 1 of 3,1,84-88,,
0:08.0,J. Harden makes free throw 2 of 3,1,85-88,,
0:08.0,J. Harden makes free throw 3 of 3,1,86-88,,
0:08.0,,,85-88,,I. Thomas enters the game for A. Johnson
0:04.0,Personal block foul by C. Brewer (drawn by I. Thomas),,86-88,,
0:03.0,,,86-88,,Offensive charge foul by J. Jerebko
0:03.0,,,86-88,,Turnover by J. Jerebko (bad pass)
0:03.0,,,86-88,,A. Johnson enters the game for I. Thomas
0:03.0,Turnover by C. Brewer (bad pass; steal by J. Crowder),,86-88,,
0:01.0,,,86-88,,J. Crowder misses 3-pt shot from 29 ft
0:00.0,,,86-88,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,S. Dekker misses 3-pt shot from 25 ft,,86-88,,
11:35.0,,,86-88,,Defensive rebound by T. Rozier
11:19.0,,,86-88,,G. Green misses 3-pt shot from 23 ft
11:17.0,Defensive rebound by S. Dekker,,86-88,,
11:09.0,Turnover by C. Capela (traveling),,86-88,,
10:56.0,,,86-88,,T. Rozier misses 3-pt shot from 26 ft
10:55.0,Defensive rebound by S. Dekker,,86-88,,
10:44.0,P. Beverley misses 2-pt shot from 21 ft,,86-88,,
10:43.0,,,86-88,,Defensive rebound by G. Green
10:35.0,,,86-88,,Turnover by I. Thomas (lost ball; steal by P. Beverley)
10:31.0,S. Dekker makes 2-pt shot at rim (assist by P. Beverley),2,88-88,,
10:12.0,,,88-88,,I. Thomas misses 2-pt shot from 1 ft
10:11.0,Defensive rebound by C. Capela,,88-88,,
10:03.0,R. Anderson makes 3-pt shot from 29 ft (assist by P. Beverley),3,91-88,,
9:42.0,,,91-90,2,G. Green makes 2-pt shot from 1 ft (assist by I. Thomas)
9:21.0,Offensive foul by C. Brewer,,91-90,,
9:21.0,Turnover by C. Brewer (offensive foul),,91-90,,
9:08.0,,,91-93,3,A. Horford makes 3-pt shot from 26 ft (assist by I. Thomas)
8:48.0,C. Brewer misses 2-pt shot from 9 ft (block by A. Horford),,91-93,,
8:47.0,,,91-93,,Defensive rebound by I. Thomas
8:43.0,,,91-93,,I. Thomas misses 3-pt shot from 26 ft
8:42.0,Defensive rebound by C. Capela,,91-93,,
8:30.0,C. Capela makes 2-pt shot at rim (assist by P. Beverley),2,93-93,,
8:06.0,,,93-93,,A. Horford misses 2-pt shot from 8 ft
8:05.0,Defensive rebound by C. Capela,,93-93,,
7:56.0,Official timeout,,93-93,,
7:56.0,,,93-93,,J. Jerebko enters the game for K. Olynyk
7:56.0,,,93-93,,M. Smart enters the game for G. Green
7:50.0,P. Beverley misses 3-pt shot from 26 ft,,93-93,,
7:49.0,Offensive rebound by R. Anderson,,93-93,,
7:48.0,R. Anderson misses 2-pt shot from 1 ft,,93-93,,
7:46.0,Offensive rebound by R. Anderson,,93-93,,
7:44.0,Turnover by R. Anderson (lost ball; steal by T. Rozier),,93-93,,
7:22.0,,,93-96,3,I. Thomas makes 3-pt shot from 25 ft (assist by J. Jerebko)
7:07.0,Turnover by P. Beverley (bad pass; steal by M. Smart),,93-96,,
7:03.0,,,93-98,2,I. Thomas makes 2-pt shot from 1 ft (assist by T. Rozier)
7:03.0,Houston full timeout,,93-98,,
7:03.0,T. Ariza enters the game for C. Capela,,93-98,,
7:03.0,M. Harrell enters the game for C. Brewer,,93-98,,
7:03.0,J. Harden enters the game for S. Dekker,,93-98,,
7:03.0,,,93-98,,K. Olynyk enters the game for A. Horford
7:03.0,,,93-98,,J. Crowder enters the game for T. Rozier
6:52.0,R. Anderson makes 3-pt shot from 24 ft (assist by J. Harden),3,96-98,,
6:25.0,,,96-98,,I. Thomas misses 3-pt shot from 31 ft
6:24.0,Defensive rebound by Team,,96-98,,
6:03.0,T. Ariza misses 2-pt shot from 1 ft,,96-98,,
6:02.0,,,96-98,,Defensive rebound by K. Olynyk
5:58.0,,,96-98,,Turnover by K. Olynyk (lost ball; steal by M. Harrell)
5:57.0,,,96-98,,Personal foul by K. Olynyk (drawn by J. Harden)
5:43.0,Turnover by T. Ariza (lost ball),,96-98,,
5:26.0,,,96-98,,M. Smart misses 2-pt shot from 19 ft
