time,Washington,pts.away,score,pts.home,Dallas
9:19.0,Personal foul by M. Thornton (drawn by D. Williams),,36-35,,
9:19.0,B. Beal enters the game for M. Thornton,,36-35,,
9:16.0,,,36-35,,Turnover by D. Williams (bad pass)
8:59.0,Offensive charge foul by J. Smith,,36-35,,
8:59.0,Turnover by J. Smith (offensive foul),,36-35,,
8:59.0,Official timeout,,36-35,,
8:59.0,,,36-35,,D. Harris enters the game for S. Curry
8:36.0,,,36-35,,D. Powell misses 2-pt shot from 2 ft (block by J. Smith)
8:35.0,Defensive rebound by J. Smith,,36-35,,
8:27.0,T. Burke misses 3-pt shot from 25 ft,,36-35,,
8:26.0,,,36-35,,Defensive rebound by J. Anderson
8:12.0,,,36-37,2,D. Nowitzki makes 2-pt shot from 13 ft
7:57.0,B. Beal misses 2-pt shot from 17 ft,,36-37,,
7:56.0,,,36-37,,Defensive rebound by D. Harris
7:50.0,,,36-39,2,D. Harris makes 2-pt shot from 1 ft
7:50.0,Shooting block foul by B. Beal (drawn by D. Harris),,36-39,,
7:50.0,,,36-40,1,D. Harris makes free throw 1 of 1
7:39.0,B. Beal misses 3-pt shot from 24 ft,,36-40,,
7:38.0,,,36-40,,Defensive rebound by J. Anderson
7:34.0,,,36-40,,D. Harris misses 2-pt shot from 2 ft (block by J. Smith)
7:32.0,Defensive rebound by B. Beal,,36-40,,
7:27.0,K. Oubre makes 3-pt shot from 23 ft (assist by T. Burke),3,39-40,,
7:07.0,,,39-42,2,D. Powell makes 2-pt shot from 2 ft (assist by D. Williams)
7:07.0,,,39-42,,Shooting foul by M. Morris (drawn by D. Powell)
7:07.0,,,39-43,1,D. Powell makes free throw 1 of 1
7:07.0,J. Wall enters the game for T. Burke,,39-42,,
7:07.0,,,39-42,,W. Matthews enters the game for D. Nowitzki
7:07.0,,,39-42,,A. Bogut enters the game for J. Anderson
7:07.0,,,39-42,,S. Curry enters the game for D. Williams
6:58.0,Turnover by J. Wall (bad pass; steal by S. Curry),,39-43,,
6:36.0,,,39-43,,D. Harris misses 3-pt shot from 26 ft
6:35.0,,,39-43,,Offensive rebound by D. Powell
6:35.0,Loose ball foul by M. Morris (drawn by D. Powell),,39-43,,
6:35.0,,,39-44,1,D. Powell makes free throw 1 of 2
6:35.0,,,39-45,1,D. Powell makes free throw 2 of 2
6:35.0,,,39-44,,P. Jackson enters the game for D. Harris
6:29.0,,,39-45,,Personal take foul by P. Jackson (drawn by J. Wall)
6:29.0,,,39-45,,H. Barnes enters the game for D. Powell
6:19.0,J. Smith misses 2-pt shot from 18 ft,,39-45,,
6:18.0,,,39-45,,Defensive rebound by A. Bogut
6:09.0,,,39-45,,Shooting foul by K. Oubre (drawn by P. Jackson)
6:09.0,,,39-46,1,P. Jackson makes free throw 1 of 2
6:09.0,Washington full timeout,,39-46,,
6:09.0,,,39-47,1,P. Jackson makes free throw 2 of 2
6:09.0,M. Gortat enters the game for J. Smith,,39-46,,
6:09.0,O. Porter enters the game for K. Oubre,,39-46,,
5:55.0,M. Gortat makes 2-pt shot from 1 ft (assist by B. Beal),2,41-47,,
5:39.0,,,41-47,,P. Jackson misses 2-pt shot from 17 ft (block by J. Wall)
5:38.0,Defensive rebound by J. Wall,,41-47,,
5:31.0,B. Beal misses 3-pt shot from 25 ft,,41-47,,
5:30.0,,,41-47,,Defensive rebound by W. Matthews
5:26.0,,,41-50,3,S. Curry makes 3-pt shot from 24 ft (assist by W. Matthews)
5:01.0,O. Porter makes 2-pt shot from 21 ft (assist by M. Gortat),2,43-50,,
4:43.0,,,43-52,2,H. Barnes makes 2-pt shot from 1 ft
4:34.0,O. Porter misses 2-pt shot from 10 ft,,43-52,,
4:33.0,,,43-52,,Defensive rebound by S. Curry
4:32.0,Personal foul by M. Morris (drawn by S. Curry),,43-52,,
4:32.0,,,43-53,1,S. Curry makes free throw 1 of 2
4:32.0,,,43-54,1,S. Curry makes free throw 2 of 2
4:32.0,K. Oubre enters the game for M. Morris,,43-53,,
4:18.0,J. Wall misses 2-pt shot from 10 ft,,43-54,,
4:18.0,,,43-54,,Defensive rebound by A. Bogut
4:06.0,,,43-54,,W. Matthews misses 2-pt shot from 16 ft
4:05.0,Defensive rebound by O. Porter,,43-54,,
3:59.0,,,43-54,,Personal foul by H. Barnes (drawn by J. Wall)
3:59.0,,,43-54,,D. Williams enters the game for S. Curry
3:45.0,J. Wall makes 2-pt shot from 2 ft,2,45-54,,
3:34.0,,,45-56,2,D. Williams makes 2-pt shot from 19 ft
3:17.0,,,45-56,,D. Finney-Smith enters the game for P. Jackson
3:15.0,B. Beal makes 2-pt shot from 8 ft (assist by K. Oubre),2,47-56,,
3:15.0,Shooting foul by H. Barnes (drawn by B. Beal),,47-56,,
3:15.0,B. Beal misses free throw 1 of 1,,47-56,,
3:15.0,,,47-56,,D. Nowitzki enters the game for A. Bogut
3:14.0,,,47-56,,Defensive rebound by D. Nowitzki
3:01.0,,,47-56,,H. Barnes misses 2-pt shot from 18 ft
3:00.0,Defensive rebound by K. Oubre,,47-56,,
2:50.0,J. Wall misses 2-pt shot from 8 ft,,47-56,,
2:49.0,,,47-56,,Defensive rebound by D. Nowitzki
2:37.0,,,47-58,2,W. Matthews makes 2-pt shot from 11 ft
2:29.0,B. Beal makes 2-pt shot from 1 ft,2,49-58,,
2:25.0,,,49-58,,Dallas full timeout
2:21.0,,,49-58,,Turnover by D. Williams (lost ball; steal by J. Wall)
2:21.0,,,49-58,,Personal take foul by D. Williams (drawn by J. Wall)
2:08.0,O. Porter makes 3-pt shot from 23 ft (assist by B. Beal),3,52-58,,
1:52.0,,,52-58,,H. Barnes misses 3-pt shot from 25 ft
1:51.0,Defensive rebound by K. Oubre,,52-58,,
1:43.0,J. Wall makes 2-pt shot from 1 ft,2,54-58,,
1:20.0,,,54-58,,Turnover by D. Williams (lost ball)
1:18.0,B. Beal makes 2-pt shot from 16 ft (assist by J. Wall),2,56-58,,
1:09.0,,,56-58,,Turnover by D. Williams (lost ball; steal by J. Wall)
1:07.0,J. Wall makes 2-pt shot from 1 ft (assist by B. Beal),2,58-58,,
1:07.0,Shooting foul by D. Nowitzki (drawn by J. Wall),,58-58,,
1:07.0,J. Wall makes free throw 1 of 1,1,59-58,,
0:58.0,,,59-60,2,H. Barnes makes 2-pt shot at rim (assist by D. Williams)
0:49.0,B. Beal misses 2-pt shot from 23 ft,,59-60,,
0:48.0,,,59-60,,Defensive rebound by D. Nowitzki
0:43.0,,,59-60,,W. Matthews misses 2-pt shot from 3 ft (block by O. Porter)
0:41.0,Defensive rebound by M. Gortat,,59-60,,
0:41.0,,,59-60,,Loose ball foul by H. Barnes (drawn by J. Wall)
0:41.0,J. Wall makes free throw 1 of 2,1,60-60,,
0:41.0,J. Wall makes free throw 2 of 2,1,61-60,,
0:41.0,S. Mac enters the game for B. Beal,,60-60,,
0:36.0,,,61-60,,D. Williams misses 2-pt shot from 3 ft (block by M. Gortat)
0:33.0,Defensive rebound by M. Gortat,,61-60,,
0:30.0,J. Wall makes 3-pt shot from 25 ft (assist by M. Gortat),3,64-60,,
0:21.0,Personal foul by K. Oubre (drawn by H. Barnes),,64-60,,
0:21.0,,,64-60,,H. Barnes misses free throw 1 of 2
0:21.0,,,64-60,,Offensive rebound by Team
0:21.0,,,64-61,1,H. Barnes makes free throw 2 of 2
0:21.0,,,64-60,,D. Powell enters the game for D. Nowitzki
0:21.0,B. Beal enters the game for K. Oubre,,64-60,,
0:03.0,J. Wall makes 2-pt shot at rim,2,66-61,,
0:03.0,Shooting foul by D. Powell (drawn by J. Wall),,66-61,,
0:03.0,J. Wall makes free throw 1 of 1,1,67-61,,
0:03.0,K. Oubre enters the game for B. Beal,,66-61,,
0:01.0,,,67-61,,D. Williams misses 3-pt shot from 47 ft
0:00.0,,,67-61,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,67-61,,Shooting foul by O. Porter (drawn by H. Barnes)
11:47.0,,,67-62,1,H. Barnes makes free throw 1 of 2
11:47.0,,,67-63,1,H. Barnes makes free throw 2 of 2
11:39.0,M. Morris makes 2-pt shot at rim (assist by J. Wall),2,69-63,,
11:24.0,,,69-63,,W. Matthews misses 3-pt shot from 25 ft
11:23.0,Defensive rebound by O. Porter,,69-63,,
11:08.0,O. Porter misses 2-pt shot at rim,,69-63,,
11:07.0,,,69-63,,Defensive rebound by D. Nowitzki
10:50.0,,,69-63,,D. Williams misses 2-pt shot at rim
10:49.0,Defensive rebound by M. Morris,,69-63,,
10:40.0,M. Morris misses 3-pt shot from 23 ft,,69-63,,
10:39.0,,,69-63,,Defensive rebound by H. Barnes
10:20.0,,,69-63,,Turnover by D. Finney-Smith (traveling)
10:04.0,B. Beal misses 3-pt shot from 24 ft,,69-63,,
10:03.0,,,69-63,,Defensive rebound by H. Barnes
9:54.0,,,69-63,,Turnover by D. Williams (bad pass; steal by J. Wall)
9:52.0,Shooting foul by D. Williams (drawn by B. Beal),,69-63,,
9:52.0,B. Beal makes free throw 1 of 2,1,70-63,,
9:52.0,B. Beal makes free throw 2 of 2,1,71-63,,
9:36.0,,,71-66,3,D. Williams makes 3-pt shot from 25 ft
9:21.0,B. Beal misses 3-pt shot from 24 ft,,71-66,,
9:21.0,Offensive rebound by M. Gortat,,71-66,,
9:14.0,M. Gortat misses 2-pt shot from 8 ft,,71-66,,
9:13.0,,,71-66,,Defensive rebound by D. Finney-Smith
9:09.0,,,71-66,,Turnover by D. Finney-Smith (step out of bounds)
8:59.0,J. Wall misses 2-pt shot from 20 ft,,71-66,,
8:58.0,Offensive rebound by Team,,71-66,,
8:53.0,M. Morris makes 2-pt shot from 8 ft (assist by B. Beal),2,73-66,,
8:36.0,,,73-66,,H. Barnes misses 3-pt shot from 23 ft
8:35.0,Defensive rebound by M. Gortat,,73-66,,
8:17.0,M. Morris misses 2-pt shot from 4 ft (block by W. Matthews),,73-66,,
8:17.0,Offensive rebound by Team,,73-66,,
8:14.0,B. Beal makes 2-pt shot from 5 ft (assist by O. Porter),2,75-66,,
8:13.0,,,75-66,,Dallas full timeout
8:13.0,,,75-66,,D. Harris enters the game for D. Finney-Smith
7:54.0,,,75-69,3,D. Harris makes 3-pt shot from 24 ft (assist by H. Barnes)
7:32.0,M. Morris misses 2-pt shot from 9 ft,,75-69,,
7:31.0,,,75-69,,Defensive rebound by D. Harris
7:16.0,,,75-69,,H. Barnes misses 2-pt shot from 6 ft
7:15.0,Defensive rebound by M. Gortat,,75-69,,
7:00.0,B. Beal misses 2-pt shot from 3 ft,,75-69,,
6:58.0,Offensive rebound by M. Gortat,,75-69,,
6:57.0,M. Gortat makes 2-pt shot from 1 ft,2,77-69,,
6:38.0,,,77-72,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Williams)
6:16.0,,,77-72,,Personal foul by D. Williams (drawn by M. Gortat)
6:10.0,Turnover by O. Porter (lost ball; steal by D. Harris),,77-72,,
6:06.0,,,77-72,,D. Harris misses 2-pt shot from 3 ft (block by O. Porter)
6:04.0,Defensive rebound by B. Beal,,77-72,,
5:56.0,M. Gortat makes 2-pt shot at rim (assist by O. Porter),2,79-72,,
5:36.0,Shooting block foul by M. Gortat (drawn by D. Williams),,79-72,,
5:36.0,,,79-73,1,D. Williams makes free throw 1 of 2
5:36.0,,,79-74,1,D. Williams makes free throw 2 of 2
5:36.0,,,79-73,,A. Bogut enters the game for D. Nowitzki
5:36.0,K. Oubre enters the game for M. Morris,,79-73,,
5:25.0,B. Beal misses 3-pt shot from 25 ft,,79-74,,
5:24.0,,,79-74,,Defensive rebound by H. Barnes
5:15.0,,,79-74,,Turnover by H. Barnes (lost ball)
5:04.0,J. Wall makes 2-pt shot from 11 ft,2,81-74,,
4:41.0,,,81-77,3,D. Harris makes 3-pt shot from 23 ft (assist by H. Barnes)
4:16.0,K. Oubre misses 3-pt shot from 24 ft,,81-77,,
4:15.0,,,81-77,,Defensive rebound by D. Harris
4:05.0,Personal foul by K. Oubre (drawn by H. Barnes),,81-77,,
4:05.0,,,81-77,,S. Curry enters the game for D. Williams
4:05.0,M. Thornton enters the game for B. Beal,,81-77,,
3:56.0,,,81-77,,Shooting foul by O. Porter (drawn by H. Barnes)
3:56.0,,,81-78,1,H. Barnes makes free throw 1 of 2
3:56.0,,,81-79,1,H. Barnes makes free throw 2 of 2
3:47.0,J. Wall misses 2-pt shot from 20 ft,,81-79,,
3:46.0,,,81-79,,Defensive rebound by H. Barnes
3:32.0,,,81-79,,Turnover by S. Curry (bad pass; steal by O. Porter)
3:21.0,,,81-79,,Personal foul by S. Curry (drawn by M. Thornton)
3:09.0,M. Thornton misses 3-pt shot from 24 ft,,81-79,,
3:08.0,Offensive rebound by M. Gortat,,81-79,,
3:08.0,M. Gortat makes 2-pt shot from 1 ft,2,83-79,,
2:53.0,,,83-82,3,S. Curry makes 3-pt shot from 24 ft
2:51.0,Washington full timeout,,83-82,,
2:32.0,M. Gortat misses 2-pt shot from 2 ft (block by H. Barnes),,83-82,,
2:31.0,,,83-82,,Defensive rebound by H. Barnes
2:08.0,,,83-85,3,D. Harris makes 3-pt shot from 24 ft (assist by H. Barnes)
1:42.0,O. Porter makes 2-pt shot from 11 ft (assist by K. Oubre),2,85-85,,
1:16.0,,,85-87,2,H. Barnes makes 2-pt shot from 19 ft (assist by S. Curry)
1:02.0,M. Thornton makes 3-pt shot from 24 ft (assist by J. Wall),3,88-87,,
0:50.0,,,88-87,,S. Curry misses 2-pt shot from 8 ft
0:49.0,,,88-87,,Offensive rebound by A. Bogut
0:49.0,,,88-87,,A. Bogut misses 2-pt shot from 1 ft
0:48.0,,,88-87,,Offensive rebound by A. Bogut
0:48.0,,,88-87,,A. Bogut misses 2-pt shot from 1 ft
0:47.0,Defensive rebound by O. Porter,,88-87,,
0:32.0,J. Wall misses 2-pt shot from 18 ft,,88-87,,
0:31.0,,,88-87,,Defensive rebound by H. Barnes
0:12.0,,,88-87,,H. Barnes misses 2-pt shot from 19 ft
0:11.0,Defensive rebound by K. Oubre,,88-87,,
0:04.0,,,88-87,,Personal take foul by S. Curry (drawn by J. Wall)
0:04.0,,,88-87,,D. Finney-Smith enters the game for H. Barnes
0:01.0,J. Wall misses 2-pt shot from 1 ft,,88-87,,
0:00.0,Offensive rebound by Team,,88-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,T. Burke misses 2-pt shot from 17 ft,,88-87,,
11:45.0,,,88-87,,Defensive rebound by D. Powell
11:28.0,,,88-89,2,D. Powell makes 2-pt shot from 2 ft (assist by D. Harris)
11:19.0,,,88-89,,Personal foul by D. Harris (drawn by M. Thornton)
11:13.0,,,88-89,,Personal foul by D. Harris (drawn by M. Gortat)
11:04.0,M. Thornton misses 3-pt shot from 25 ft,,88-89,,
11:03.0,,,88-89,,Defensive rebound by D. Powell
10:42.0,,,88-91,2,S. Curry makes 2-pt shot from 11 ft
10:25.0,O. Porter misses 2-pt shot from 18 ft,,88-91,,
10:24.0,,,88-91,,Defensive rebound by Team
10:24.0,,,88-91,,D. Williams enters the game for D. Harris
10:07.0,,,88-91,,Shooting foul by O. Porter (drawn by D. Powell)
10:07.0,,,88-91,,D. Powell misses free throw 1 of 2
10:07.0,,,88-91,,Offensive rebound by Team
10:07.0,,,88-92,1,D. Powell makes free throw 2 of 2
10:07.0,B. Beal enters the game for M. Gortat,,88-91,,
10:07.0,J. Smith enters the game for O. Porter,,88-91,,
9:45.0,K. Oubre misses 3-pt shot from 25 ft,,88-92,,
9:44.0,,,88-92,,Defensive rebound by D. Nowitzki
9:29.0,,,88-92,,D. Nowitzki misses 3-pt shot from 25 ft
9:28.0,Defensive rebound by B. Beal,,88-92,,
9:13.0,B. Beal misses 2-pt shot from 14 ft,,88-92,,
9:12.0,,,88-92,,Defensive rebound by Team
8:52.0,,,88-92,,D. Williams misses 3-pt shot from 24 ft
8:51.0,Defensive rebound by Team,,88-92,,
8:51.0,Official timeout,,88-92,,
8:28.0,B. Beal misses 2-pt shot from 19 ft,,88-92,,
8:28.0,,,88-92,,Defensive rebound by Team
8:28.0,Loose ball foul by J. Smith (drawn by D. Nowitzki),,88-92,,
8:14.0,,,88-94,2,D. Williams makes 2-pt shot from 7 ft
8:14.0,,,88-94,,Shooting foul by T. Burke (drawn by D. Williams)
8:14.0,,,88-95,1,D. Williams makes free throw 1 of 1
8:14.0,J. Wall enters the game for T. Burke,,88-94,,
7:58.0,J. Smith makes 2-pt shot from 1 ft (assist by B. Beal),2,90-95,,
7:41.0,,,90-95,,Offensive charge foul by D. Powell
7:41.0,,,90-95,,Turnover by D. Powell (offensive foul)
7:25.0,Turnover by J. Wall (bad pass),,90-95,,
7:25.0,O. Porter enters the game for M. Thornton,,90-95,,
7:06.0,,,90-98,3,S. Curry makes 3-pt shot from 25 ft (assist by D. Williams)
7:05.0,Washington full timeout,,90-98,,
7:05.0,,,90-98,,W. Matthews enters the game for D. Nowitzki
7:05.0,,,90-98,,A. Bogut enters the game for D. Williams
7:05.0,,,90-98,,H. Barnes enters the game for D. Powell
7:03.0,M. Morris enters the game for K. Oubre,,90-98,,
7:03.0,M. Gortat enters the game for J. Smith,,90-98,,
6:48.0,O. Porter misses 3-pt shot from 23 ft,,90-98,,
6:47.0,,,90-98,,Defensive rebound by D. Finney-Smith
6:22.0,,,90-98,,S. Curry misses 2-pt shot from 11 ft
6:21.0,Defensive rebound by M. Gortat,,90-98,,
6:18.0,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall),2,92-98,,
6:17.0,Technical foul by B. Beal,,92-98,,
6:17.0,,,92-99,1,H. Barnes makes technical free throw
5:55.0,,,92-102,3,W. Matthews makes 3-pt shot from 23 ft
5:32.0,B. Beal makes 3-pt shot from 25 ft (assist by M. Gortat),3,95-102,,
5:13.0,,,95-104,2,H. Barnes makes 2-pt shot from 12 ft (assist by S. Curry)
5:04.0,Turnover by B. Beal (lost ball; steal by D. Finney-Smith),,95-104,,
4:51.0,,,95-104,,W. Matthews misses 2-pt shot from 23 ft
4:50.0,Defensive rebound by M. Gortat,,95-104,,
4:37.0,M. Morris makes 2-pt shot from 4 ft,2,97-104,,
4:37.0,Shooting foul by H. Barnes (drawn by M. Morris),,97-104,,
4:37.0,M. Morris misses free throw 1 of 1,,97-104,,
4:37.0,,,97-104,,D. Williams enters the game for S. Curry
4:36.0,,,97-104,,Defensive rebound by A. Bogut
4:18.0,,,97-104,,Turnover by H. Barnes (bad pass; steal by O. Porter)
4:14.0,Turnover by J. Wall (lost ball),,97-104,,
3:53.0,,,97-107,3,D. Williams makes 3-pt shot from 25 ft
3:52.0,Washington full timeout,,97-107,,
3:52.0,,,97-107,,S. Mejri enters the game for A. Bogut
3:44.0,B. Beal misses 2-pt shot from 8 ft,,97-107,,
3:43.0,,,97-107,,Defensive rebound by S. Mejri
3:21.0,,,97-107,,H. Barnes misses 2-pt shot from 22 ft
3:20.0,Defensive rebound by M. Gortat,,97-107,,
3:12.0,,,97-107,,Personal foul by H. Barnes (drawn by M. Morris)
3:06.0,J. Wall makes 2-pt shot from 2 ft,2,99-107,,
3:06.0,,,99-107,,Shooting block foul by S. Mejri (drawn by J. Wall)
3:06.0,J. Wall makes free throw 1 of 1,1,100-107,,
2:51.0,,,100-110,3,H. Barnes makes 3-pt shot from 23 ft (assist by D. Finney-Smith)
2:38.0,J. Wall makes 2-pt shot from 8 ft,2,102-110,,
2:25.0,,,102-110,,H. Barnes misses 2-pt shot from 17 ft
2:24.0,Defensive rebound by M. Morris,,102-110,,
