time,Portland,pts.away,score,pts.home,Denver
6:17.0,D. Lillard makes 3-pt shot from 25 ft,3,51-41,,
6:04.0,,,51-41,,J. Nurkic misses 2-pt shot from 1 ft
6:03.0,,,51-41,,Offensive rebound by J. Nurkic
6:02.0,,,51-41,,Turnover by J. Nurkic (lost ball)
6:02.0,M. Harkless enters the game for E. Turner,,51-41,,
6:02.0,,,51-41,,E. Mudiay enters the game for J. Nelson
5:47.0,D. Lillard misses 3-pt shot from 25 ft,,51-41,,
5:46.0,,,51-41,,Defensive rebound by W. Barton
5:37.0,,,51-43,2,W. Barton makes 2-pt shot from 4 ft
5:20.0,M. Leonard misses 3-pt shot from 25 ft,,51-43,,
5:19.0,,,51-43,,Defensive rebound by D. Gallinari
5:14.0,,,51-43,,Offensive charge foul by W. Barton
5:14.0,,,51-43,,Turnover by W. Barton (offensive foul)
5:14.0,Official timeout,,51-43,,
5:14.0,M. Plumlee enters the game for N. Vonleh,,51-43,,
5:01.0,M. Leonard makes 3-pt shot from 23 ft (assist by D. Lillard),3,54-43,,
4:40.0,,,54-43,,J. Nurkic misses 2-pt shot from 3 ft
4:39.0,Defensive rebound by A. Crabbe,,54-43,,
4:24.0,M. Harkless misses 2-pt shot from 1 ft,,54-43,,
4:22.0,,,54-43,,Defensive rebound by J. Nurkic
4:20.0,,,54-43,,Shooting foul by M. Harkless (drawn by D. Gallinari)
4:20.0,,,54-44,1,D. Gallinari makes free throw 1 of 2
4:20.0,,,54-45,1,D. Gallinari makes free throw 2 of 2
4:10.0,D. Lillard makes 2-pt shot at rim (assist by M. Plumlee),2,56-45,,
3:56.0,,,56-45,,Turnover by D. Gallinari (bad pass)
3:56.0,,,56-45,,W. Chandler enters the game for N. Jokic
3:40.0,D. Lillard makes 2-pt shot from 14 ft (assist by M. Plumlee),2,58-45,,
3:40.0,,,58-45,,Denver full timeout
3:24.0,,,58-45,,D. Gallinari misses 2-pt shot from 14 ft
3:23.0,Defensive rebound by M. Harkless,,58-45,,
3:12.0,M. Harkless misses 2-pt shot from 1 ft,,58-45,,
3:11.0,,,58-45,,Defensive rebound by J. Nurkic
3:04.0,,,58-45,,Shooting foul by M. Harkless (drawn by E. Mudiay)
3:04.0,,,58-45,,E. Mudiay misses free throw 1 of 2
3:04.0,,,58-45,,Offensive rebound by Team
3:04.0,,,58-46,1,E. Mudiay makes free throw 2 of 2
3:04.0,E. Turner enters the game for M. Harkless,,58-45,,
2:48.0,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard),2,60-46,,
2:36.0,,,60-48,2,W. Barton makes 2-pt shot from 7 ft
2:14.0,M. Leonard misses 3-pt shot from 25 ft,,60-48,,
2:13.0,,,60-48,,Defensive rebound by J. Nurkic
2:09.0,,,60-48,,Shooting foul by A. Crabbe (drawn by W. Barton)
2:09.0,Portland full timeout,,60-48,,
2:09.0,,,60-49,1,W. Barton makes free throw 1 of 2
2:09.0,,,60-50,1,W. Barton makes free throw 2 of 2
2:09.0,C. McCollum enters the game for A. Crabbe,,60-48,,
1:58.0,M. Plumlee misses 2-pt shot from 1 ft,,60-50,,
1:57.0,,,60-50,,Defensive rebound by J. Nurkic
1:45.0,,,60-50,,E. Mudiay misses 2-pt shot from 1 ft
1:44.0,,,60-50,,Offensive rebound by J. Nurkic
1:44.0,,,60-52,2,J. Nurkic makes 2-pt shot from 2 ft
1:33.0,,,60-52,,Personal block foul by J. Nurkic (drawn by D. Lillard)
1:23.0,D. Lillard makes 2-pt shot from 2 ft,2,62-52,,
1:03.0,,,62-52,,W. Barton misses 2-pt shot from 3 ft (block by C. McCollum)
1:03.0,,,62-52,,Offensive rebound by Team
0:56.0,,,62-52,,W. Chandler misses 3-pt shot from 25 ft
0:55.0,Defensive rebound by Team,,62-52,,
0:33.0,D. Lillard misses 3-pt shot from 24 ft,,62-52,,
0:32.0,,,62-52,,Defensive rebound by W. Chandler
0:30.0,,,62-52,,Turnover by W. Chandler (lost ball; steal by M. Plumlee)
0:27.0,Turnover by M. Plumlee (bad pass; steal by E. Mudiay),,62-52,,
0:24.0,,,62-52,,E. Mudiay misses 2-pt shot from 1 ft
0:24.0,,,62-52,,Offensive rebound by W. Chandler
0:24.0,,,62-54,2,W. Chandler makes 2-pt shot at rim
0:22.0,Portland full timeout,,62-54,,
0:22.0,,,62-54,,J. Nelson enters the game for J. Nurkic
0:22.0,,,62-54,,K. Faried enters the game for W. Barton
0:22.0,A. Crabbe enters the game for M. Plumlee,,62-54,,
0:02.0,D. Lillard misses 2-pt shot from 2 ft (block by K. Faried),,62-54,,
0:00.0,,,62-54,,Defensive rebound by K. Faried
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,62-54,,W. Barton misses 2-pt shot from 12 ft
11:38.0,Defensive rebound by A. Aminu,,62-54,,
11:32.0,C. McCollum makes 2-pt shot from 1 ft (assist by D. Lillard),2,64-54,,
11:18.0,,,64-56,2,N. Jokic makes 2-pt shot from 6 ft (assist by W. Barton)
10:58.0,C. McCollum misses 2-pt shot from 12 ft,,64-56,,
10:58.0,,,64-56,,Defensive rebound by E. Mudiay
10:51.0,,,64-56,,E. Mudiay misses 2-pt shot from 1 ft
10:50.0,,,64-56,,Offensive rebound by N. Jokic
10:39.0,,,64-59,3,E. Mudiay makes 3-pt shot from 24 ft (assist by W. Barton)
10:22.0,M. Plumlee makes 2-pt shot from 19 ft,2,66-59,,
10:12.0,Personal foul by D. Lillard (drawn by W. Barton),,66-59,,
10:05.0,,,66-59,,E. Mudiay misses 3-pt shot from 25 ft
10:04.0,Defensive rebound by A. Aminu,,66-59,,
9:54.0,D. Lillard makes 2-pt shot from 1 ft,2,68-59,,
9:45.0,,,68-59,,Offensive charge foul by J. Nurkic
9:45.0,,,68-59,,Turnover by J. Nurkic (offensive foul)
9:35.0,D. Lillard makes 2-pt shot from 2 ft (assist by M. Plumlee),2,70-59,,
9:35.0,,,70-59,,Denver full timeout
9:25.0,Def 3 sec tech foul by M. Plumlee,,70-59,,
9:25.0,,,70-60,1,D. Gallinari makes technical free throw
9:21.0,,,70-60,,Shooting foul by M. Plumlee (drawn by J. Nurkic)
9:21.0,,,70-61,1,J. Nurkic makes free throw 1 of 2
9:21.0,,,70-61,,J. Nurkic misses free throw 2 of 2
9:19.0,,,70-61,,Offensive rebound by D. Gallinari
9:16.0,,,70-61,,Shooting foul by M. Harkless (drawn by D. Gallinari)
9:16.0,,,70-62,1,D. Gallinari makes free throw 1 of 2
9:16.0,,,70-63,1,D. Gallinari makes free throw 2 of 2
8:58.0,C. McCollum misses 2-pt shot from 19 ft,,70-63,,
8:57.0,,,70-63,,Defensive rebound by D. Gallinari
8:51.0,,,70-63,,Turnover by D. Gallinari (bad pass; steal by A. Aminu)
8:39.0,D. Lillard misses 3-pt shot from 26 ft,,70-63,,
8:38.0,,,70-63,,Defensive rebound by D. Gallinari
8:28.0,,,70-63,,N. Jokic misses 2-pt shot from 16 ft
8:27.0,Defensive rebound by C. McCollum,,70-63,,
8:22.0,,,70-63,,Violation by J. Nurkic (kicked ball)
8:22.0,E. Turner enters the game for M. Harkless,,70-63,,
8:11.0,M. Plumlee misses 2-pt shot from 1 ft,,70-63,,
8:11.0,,,70-63,,Defensive rebound by E. Mudiay
8:06.0,,,70-65,2,E. Mudiay makes 2-pt shot from 2 ft
7:47.0,Turnover by E. Turner (bad pass; steal by E. Mudiay),,70-65,,
7:42.0,,,70-67,2,N. Jokic makes 2-pt shot from 3 ft (assist by D. Gallinari)
7:42.0,Portland full timeout,,70-67,,
7:26.0,Turnover by C. McCollum (bad pass; steal by N. Jokic),,70-67,,
7:22.0,Violation by M. Plumlee (def goaltending),,70-67,,
7:22.0,,,70-69,2,W. Barton makes 2-pt shot from 3 ft (assist by N. Jokic)
7:11.0,Turnover by D. Lillard (bad pass; steal by N. Jokic),,70-69,,
7:00.0,,,70-69,,E. Mudiay misses 2-pt shot from 17 ft
6:58.0,,,70-69,,Offensive rebound by N. Jokic
6:58.0,,,70-71,2,N. Jokic makes 2-pt shot from 1 ft
6:42.0,D. Lillard misses 3-pt shot from 26 ft,,70-71,,
6:41.0,,,70-71,,Defensive rebound by W. Barton
6:36.0,,,70-71,,Shooting foul by A. Aminu (drawn by W. Barton)
6:36.0,,,70-72,1,W. Barton makes free throw 1 of 2
6:36.0,,,70-73,1,W. Barton makes free throw 2 of 2
6:17.0,A. Aminu misses 3-pt shot from 23 ft,,70-73,,
6:16.0,Offensive rebound by C. McCollum,,70-73,,
6:08.0,Shooting foul by N. Jokic (drawn by M. Plumlee),,70-73,,
6:08.0,M. Plumlee misses free throw 1 of 2,,70-73,,
6:08.0,Offensive rebound by Team,,70-73,,
6:08.0,M. Plumlee misses free throw 2 of 2,,70-73,,
6:06.0,,,70-73,,Defensive rebound by J. Nurkic
5:49.0,,,70-73,,D. Gallinari misses 3-pt shot from 24 ft
5:49.0,,,70-73,,Offensive rebound by Team
5:49.0,Loose ball foul by M. Plumlee (drawn by J. Nurkic),,70-73,,
5:49.0,,,70-74,1,J. Nurkic makes free throw 1 of 2
5:49.0,,,70-74,,J. Nurkic misses free throw 2 of 2
5:49.0,A. Crabbe enters the game for C. McCollum,,70-74,,
5:45.0,Defensive rebound by A. Aminu,,70-74,,
5:39.0,E. Turner misses 2-pt shot from 6 ft (block by N. Jokic),,70-74,,
5:36.0,,,70-74,,Defensive rebound by N. Jokic
5:25.0,,,70-74,,J. Nurkic misses 2-pt shot from 2 ft
5:24.0,Defensive rebound by Team,,70-74,,
5:24.0,M. Leonard enters the game for M. Plumlee,,70-74,,
5:24.0,E. Davis enters the game for A. Aminu,,70-74,,
5:08.0,,,70-74,,Personal foul by N. Jokic (drawn by M. Leonard)
5:08.0,,,70-74,,K. Faried enters the game for J. Nurkic
4:56.0,E. Turner misses 2-pt shot from 2 ft (block by K. Faried),,70-74,,
4:55.0,Offensive rebound by Team,,70-74,,
4:53.0,M. Leonard misses 2-pt shot from 20 ft,,70-74,,
4:52.0,Offensive rebound by Team,,70-74,,
4:52.0,Turnover by Team (shot clock),,70-74,,
4:41.0,,,70-74,,N. Jokic misses 2-pt shot from 20 ft
4:40.0,Defensive rebound by E. Turner,,70-74,,
4:38.0,Turnover by E. Turner (bad pass),,70-74,,
4:24.0,,,70-74,,Turnover by E. Mudiay (bad pass; steal by D. Lillard)
4:24.0,,,70-74,,W. Chandler enters the game for N. Jokic
4:24.0,A. Aminu enters the game for M. Leonard,,70-74,,
4:22.0,Turnover by D. Lillard (lost ball; steal by K. Faried),,70-74,,
4:22.0,Jump ball: K. Faried vs. D. Lillard (E. Mudiay gains possession),,,,Jump ball: K. Faried vs. D. Lillard (E. Mudiay gains possession)
4:19.0,Personal foul by E. Davis (drawn by E. Mudiay),,70-74,,
4:19.0,,,70-75,1,E. Mudiay makes free throw 1 of 2
4:19.0,,,70-76,1,E. Mudiay makes free throw 2 of 2
4:05.0,Shooting foul by E. Mudiay (drawn by D. Lillard),,70-76,,
4:05.0,D. Lillard makes free throw 1 of 3,1,71-76,,
4:05.0,D. Lillard makes free throw 2 of 3,1,72-76,,
4:05.0,D. Lillard makes free throw 3 of 3,1,73-76,,
3:53.0,,,73-78,2,E. Mudiay makes 2-pt shot from 3 ft
3:47.0,Offensive charge foul by D. Lillard,,73-78,,
3:47.0,Turnover by D. Lillard (offensive foul),,73-78,,
3:38.0,,,73-80,2,E. Mudiay makes 2-pt shot from 2 ft (assist by K. Faried)
3:20.0,E. Turner misses 3-pt shot from 24 ft,,73-80,,
3:19.0,,,73-80,,Defensive rebound by W. Chandler
3:09.0,,,73-80,,E. Mudiay misses 3-pt shot from 25 ft
3:08.0,Defensive rebound by Team,,73-80,,
2:51.0,A. Crabbe misses 3-pt shot from 26 ft,,73-80,,
2:50.0,,,73-80,,Defensive rebound by K. Faried
2:45.0,,,73-80,,W. Barton misses 3-pt shot from 25 ft
2:42.0,Defensive rebound by A. Aminu,,73-80,,
2:35.0,D. Lillard misses 2-pt shot from 13 ft,,73-80,,
2:34.0,,,73-80,,Defensive rebound by K. Faried
2:23.0,,,73-82,2,W. Barton makes 2-pt shot from 7 ft (assist by W. Chandler)
2:07.0,A. Crabbe makes 2-pt shot from 2 ft (assist by E. Turner),2,75-82,,
2:07.0,Shooting foul by W. Barton (drawn by A. Crabbe),,75-82,,
2:07.0,A. Crabbe makes free throw 1 of 1,1,76-82,,
2:07.0,C. McCollum enters the game for D. Lillard,,75-82,,
2:07.0,M. Harkless enters the game for A. Aminu,,75-82,,
1:52.0,,,76-84,2,E. Mudiay makes 2-pt shot from 13 ft
1:34.0,A. Crabbe misses 2-pt shot from 20 ft,,76-84,,
1:34.0,,,76-84,,Defensive rebound by W. Chandler
1:21.0,,,76-86,2,K. Faried makes 2-pt shot from 2 ft (assist by D. Gallinari)
1:04.0,Turnover by C. McCollum (lost ball),,76-86,,
1:04.0,,,76-86,,J. Murray enters the game for W. Barton
0:53.0,,,76-88,2,K. Faried makes 2-pt shot at rim (assist by E. Mudiay)
0:34.0,E. Turner makes 2-pt shot from 17 ft,2,78-88,,
0:14.0,,,78-88,,E. Mudiay misses 2-pt shot from 16 ft
0:11.0,Defensive rebound by E. Turner,,78-88,,
0:00.0,E. Turner makes 3-pt shot from 26 ft,3,81-88,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,A. Crabbe misses 2-pt shot from 3 ft,,81-88,,
11:45.0,,,81-88,,Defensive rebound by N. Jokic
11:25.0,,,81-88,,J. Nelson misses 2-pt shot from 23 ft
11:24.0,Defensive rebound by E. Davis,,81-88,,
11:12.0,E. Davis makes 2-pt shot from 1 ft (assist by E. Turner),2,83-88,,
10:59.0,,,83-88,,W. Chandler misses 2-pt shot from 16 ft
10:58.0,Defensive rebound by M. Harkless,,83-88,,
10:44.0,M. Harkless misses 3-pt shot from 26 ft,,83-88,,
10:43.0,,,83-88,,Defensive rebound by N. Jokic
10:33.0,,,83-88,,Turnover by N. Jokic (bad pass)
10:18.0,Turnover by A. Crabbe (bad pass; steal by J. Murray),,83-88,,
10:15.0,,,83-88,,K. Faried misses 2-pt shot from 3 ft (block by C. McCollum)
10:14.0,Defensive rebound by C. McCollum,,83-88,,
10:11.0,,,83-88,,Personal foul by J. Nelson (drawn by C. McCollum)
10:00.0,C. McCollum misses 2-pt shot from 16 ft,,83-88,,
10:00.0,,,83-88,,Defensive rebound by N. Jokic
9:51.0,,,83-90,2,N. Jokic makes 2-pt shot from 17 ft (assist by J. Nelson)
9:33.0,A. Crabbe makes 2-pt shot from 13 ft (assist by C. McCollum),2,85-90,,
9:18.0,,,85-90,,Turnover by J. Nelson (bad pass; steal by C. McCollum)
9:18.0,,,85-90,,Personal foul by N. Jokic (drawn by C. McCollum)
9:18.0,D. Lillard enters the game for E. Turner,,85-90,,
9:18.0,M. Plumlee enters the game for A. Crabbe,,85-90,,
9:18.0,A. Aminu enters the game for E. Davis,,85-90,,
9:06.0,Turnover by M. Harkless (bad pass; steal by N. Jokic),,85-90,,
8:59.0,,,85-93,3,J. Nelson makes 3-pt shot from 24 ft
