time,Cleveland,pts.away,score,pts.home,Phoenix
7:14.0,T. Thompson misses 2-pt shot from 3 ft (block by M. Chriss),,12-13,,
7:11.0,Offensive rebound by L. James,,12-13,,
7:09.0,K. Love makes 3-pt shot from 24 ft (assist by L. James),3,15-13,,
6:49.0,,,15-13,,M. Chriss misses 2-pt shot at rim (block by D. Liggins)
6:46.0,,,15-13,,Offensive rebound by T. Chandler
6:42.0,,,15-16,3,T. Warren makes 3-pt shot from 24 ft (assist by E. Bledsoe)
6:34.0,Shooting foul by D. Booker (drawn by T. Thompson),,15-16,,
6:34.0,T. Thompson makes free throw 1 of 2,1,16-16,,
6:34.0,,,16-16,,Violation by A. Len (lane)
6:34.0,T. Thompson makes free throw 2 of 2,1,17-16,,
6:34.0,,,16-16,,A. Len enters the game for T. Chandler
6:19.0,,,17-19,3,E. Bledsoe makes 3-pt shot from 25 ft (assist by D. Booker)
6:00.0,K. Irving makes 3-pt shot from 26 ft,3,20-19,,
5:54.0,,,20-19,,Turnover by M. Chriss (bad pass; steal by D. Liggins)
5:51.0,D. Liggins makes 2-pt shot from 1 ft,2,22-19,,
5:38.0,,,22-19,,A. Len misses 2-pt shot from 15 ft
5:36.0,Defensive rebound by L. James,,22-19,,
5:33.0,Shooting foul by T. Warren (drawn by L. James),,22-19,,
5:33.0,,,22-19,,Phoenix full timeout
5:33.0,L. James makes free throw 1 of 2,1,23-19,,
5:33.0,L. James misses free throw 2 of 2,,23-19,,
5:33.0,,,22-19,,P. Tucker enters the game for T. Warren
5:32.0,Offensive rebound by L. James,,23-19,,
5:32.0,Shooting foul by P. Tucker (drawn by L. James),,23-19,,
5:32.0,L. James makes free throw 1 of 2,1,24-19,,
5:32.0,L. James misses free throw 2 of 2,,24-19,,
5:30.0,,,24-19,,Defensive rebound by P. Tucker
5:14.0,,,24-21,2,E. Bledsoe makes 2-pt shot from 8 ft
4:57.0,L. James misses 2-pt shot from 9 ft,,24-21,,
4:54.0,,,24-21,,Defensive rebound by P. Tucker
4:48.0,,,24-21,,M. Chriss misses 3-pt shot from 23 ft
4:45.0,Defensive rebound by T. Thompson,,24-21,,
4:35.0,K. Irving makes 2-pt shot from 9 ft,2,26-21,,
4:14.0,,,26-21,,E. Bledsoe misses 2-pt shot from 10 ft
4:11.0,Defensive rebound by K. Love,,26-21,,
4:06.0,Shooting foul by M. Chriss (drawn by K. Love),,26-21,,
4:06.0,K. Love makes free throw 1 of 2,1,27-21,,
4:06.0,K. Love makes free throw 2 of 2,1,28-21,,
4:06.0,,,27-21,,B. Knight enters the game for E. Bledsoe
4:06.0,,,27-21,,D. Bender enters the game for M. Chriss
4:06.0,I. Shumpert enters the game for D. Liggins,,27-21,,
3:48.0,,,28-21,,P. Tucker misses 3-pt shot from 24 ft
3:46.0,Defensive rebound by I. Shumpert,,28-21,,
3:42.0,L. James misses 2-pt shot from 1 ft,,28-21,,
3:40.0,Offensive rebound by T. Thompson,,28-21,,
3:40.0,T. Thompson makes 2-pt shot from 1 ft,2,30-21,,
3:19.0,,,30-21,,Turnover by B. Knight (bad pass; steal by I. Shumpert)
3:16.0,I. Shumpert makes 2-pt shot at rim,2,32-21,,
3:16.0,,,32-21,,Phoenix full timeout
2:58.0,,,32-21,,Turnover by D. Bender (bad pass; steal by L. James)
2:53.0,L. James makes 2-pt shot from 1 ft,2,34-21,,
2:42.0,,,34-21,,D. Booker misses 2-pt shot from 1 ft
2:40.0,,,34-21,,Offensive rebound by D. Bender
2:40.0,,,34-23,2,D. Bender makes 2-pt shot from 2 ft
2:17.0,I. Shumpert misses 3-pt shot from 24 ft,,34-23,,
2:15.0,Offensive rebound by T. Thompson,,34-23,,
2:09.0,K. Irving misses 2-pt shot from 5 ft (block by A. Len),,34-23,,
2:07.0,Offensive rebound by K. Irving,,34-23,,
2:03.0,Turnover by K. Irving (bad pass; steal by D. Bender),,34-23,,
1:58.0,,,34-25,2,A. Len makes 2-pt shot from 1 ft (assist by P. Tucker)
1:56.0,Cleveland full timeout,,34-25,,
1:56.0,,,34-25,,L. Barbosa enters the game for D. Booker
1:56.0,K. Felder enters the game for L. James,,34-25,,
1:56.0,R. Jefferson enters the game for K. Irving,,34-25,,
1:45.0,,,34-25,,Personal foul by D. Bender (drawn by K. Love)
1:45.0,K. Love makes free throw 1 of 2,1,35-25,,
1:45.0,K. Love makes free throw 2 of 2,1,36-25,,
1:25.0,,,36-25,,A. Len misses 2-pt shot from 10 ft
1:22.0,Jump ball: A. Len vs. T. Thompson (K. Felder gains possession),,,,Jump ball: A. Len vs. T. Thompson (K. Felder gains possession)
1:22.0,Defensive rebound by Team,,36-25,,
1:03.0,K. Love makes 2-pt shot from 10 ft,2,38-25,,
0:40.0,,,38-28,3,D. Bender makes 3-pt shot from 24 ft (assist by L. Barbosa)
0:29.0,K. Love misses 3-pt shot from 25 ft,,38-28,,
0:27.0,,,38-28,,Defensive rebound by P. Tucker
0:24.0,,,38-28,,Turnover by L. Barbosa (bad pass)
0:24.0,C. Frye enters the game for T. Thompson,,38-28,,
0:24.0,L. James enters the game for K. Felder,,38-28,,
0:24.0,,,38-28,,T. Warren enters the game for A. Len
0:02.0,I. Shumpert makes 3-pt shot from 24 ft (assist by L. James),3,41-28,,
0:00.0,,,41-28,,B. Knight misses 3-pt shot from 48 ft
0:00.0,,,41-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,K. Felder misses 2-pt shot from 11 ft,,41-28,,
11:34.0,,,41-28,,Defensive rebound by T. Warren
11:25.0,,,41-28,,Turnover by L. Barbosa (lost ball; steal by R. Jefferson)
11:21.0,L. James makes 2-pt shot from 2 ft,2,43-28,,
11:21.0,Shooting foul by T. Warren (drawn by L. James),,43-28,,
11:21.0,L. James makes free throw 1 of 1,1,44-28,,
11:02.0,,,44-28,,Shooting foul by L. James (drawn by B. Knight)
11:02.0,,,44-29,1,B. Knight makes free throw 1 of 2
11:02.0,,,44-29,,B. Knight misses free throw 2 of 2
11:02.0,,,44-29,,D. Booker enters the game for D. Bender
11:02.0,,,44-29,,E. Bledsoe enters the game for T. Warren
11:00.0,Defensive rebound by I. Shumpert,,44-29,,
10:44.0,C. Frye makes 2-pt shot from 6 ft,2,46-29,,
10:30.0,,,46-31,2,P. Tucker makes 2-pt shot from 1 ft (assist by E. Bledsoe)
10:17.0,,,46-31,,Personal foul by L. Barbosa (drawn by C. Frye)
10:16.0,Turnover by L. James (bad pass),,46-31,,
10:16.0,,,46-31,,M. Chriss enters the game for L. Barbosa
10:00.0,,,46-33,2,M. Chriss makes 2-pt shot at rim (assist by B. Knight)
9:37.0,K. Felder makes 2-pt shot from 1 ft,2,48-33,,
9:25.0,,,48-33,,B. Knight misses 3-pt shot from 24 ft
9:23.0,Defensive rebound by C. Frye,,48-33,,
9:16.0,Turnover by L. James (bad pass; steal by B. Knight),,48-33,,
9:03.0,,,48-33,,Shooting foul by L. James (drawn by M. Chriss)
9:03.0,,,48-34,1,M. Chriss makes free throw 1 of 2
9:03.0,,,48-35,1,M. Chriss makes free throw 2 of 2
9:03.0,K. Irving enters the game for K. Felder,,48-34,,
8:46.0,C. Frye makes 3-pt shot from 25 ft (assist by I. Shumpert),3,51-35,,
8:31.0,,,51-35,,B. Knight misses 3-pt shot from 23 ft
8:29.0,Defensive rebound by L. James,,51-35,,
8:15.0,C. Frye makes 2-pt shot at rim (assist by L. James),2,53-35,,
8:14.0,,,53-35,,Phoenix full timeout
8:14.0,D. Liggins enters the game for I. Shumpert,,53-35,,
7:55.0,,,53-37,2,E. Bledsoe makes 2-pt shot from 8 ft
7:55.0,Shooting block foul by C. Frye (drawn by E. Bledsoe),,53-37,,
7:55.0,,,53-38,1,E. Bledsoe makes free throw 1 of 1
7:41.0,K. Irving misses 3-pt shot from 26 ft,,53-38,,
7:39.0,,,53-38,,Defensive rebound by E. Bledsoe
7:28.0,,,53-40,2,P. Tucker makes 2-pt shot from 2 ft
7:13.0,C. Frye makes 3-pt shot from 25 ft (assist by K. Irving),3,56-40,,
6:47.0,,,56-40,,P. Tucker misses 3-pt shot from 24 ft
6:45.0,Defensive rebound by C. Frye,,56-40,,
6:39.0,,,56-40,,Personal block foul by P. Tucker (drawn by L. James)
6:39.0,K. Love enters the game for L. James,,56-40,,
6:39.0,,,56-40,,T. Chandler enters the game for B. Knight
6:28.0,C. Frye misses 3-pt shot from 26 ft,,56-40,,
6:26.0,,,56-40,,Defensive rebound by D. Booker
6:20.0,,,56-40,,Turnover by P. Tucker (bad pass; steal by K. Irving)
6:12.0,K. Love misses 3-pt shot from 25 ft,,56-40,,
6:10.0,,,56-40,,Defensive rebound by T. Chandler
6:08.0,,,56-40,,Turnover by E. Bledsoe (bad pass)
5:54.0,,,56-40,,Personal foul by T. Chandler (drawn by K. Love)
5:54.0,Official timeout,,56-40,,
5:54.0,,,56-40,,T. Warren enters the game for P. Tucker
5:48.0,K. Irving makes 2-pt shot from 15 ft,2,58-40,,
5:28.0,,,58-40,,Turnover by E. Bledsoe (bad pass)
5:13.0,,,58-40,,Personal foul by E. Bledsoe (drawn by K. Irving)
5:13.0,K. Irving makes free throw 1 of 2,1,59-40,,
5:13.0,K. Irving makes free throw 2 of 2,1,60-40,,
4:56.0,,,60-40,,Turnover by T. Warren (step out of bounds)
4:40.0,K. Irving misses 2-pt shot from 6 ft (block by E. Bledsoe),,60-40,,
4:38.0,Offensive rebound by K. Love,,60-40,,
4:35.0,K. Love makes 2-pt shot from 5 ft,2,62-40,,
4:23.0,,,62-40,,Shooting foul by R. Jefferson (drawn by T. Chandler)
4:23.0,,,62-41,1,T. Chandler makes free throw 1 of 2
4:23.0,,,62-42,1,T. Chandler makes free throw 2 of 2
4:23.0,T. Thompson enters the game for C. Frye,,62-41,,
4:23.0,,,62-41,,D. Bender enters the game for T. Warren
4:06.0,K. Irving misses 3-pt shot from 24 ft,,62-42,,
4:02.0,,,62-42,,Defensive rebound by M. Chriss
3:59.0,,,62-44,2,D. Booker makes 2-pt shot from 2 ft (assist by D. Bender)
3:58.0,Cleveland full timeout,,62-44,,
3:43.0,D. Liggins misses 2-pt shot from 3 ft (block by D. Bender),,62-44,,
3:40.0,,,62-44,,Defensive rebound by T. Chandler
3:39.0,,,62-44,,Turnover by E. Bledsoe (lost ball; steal by D. Liggins)
3:35.0,Turnover by D. Liggins (step out of bounds),,62-44,,
3:22.0,,,62-44,,D. Booker misses 3-pt shot from 23 ft
3:20.0,,,62-44,,Offensive rebound by D. Bender
3:18.0,,,62-44,,E. Bledsoe misses 3-pt shot from 25 ft
3:16.0,Defensive rebound by T. Thompson,,62-44,,
3:01.0,K. Love misses 2-pt shot from 2 ft (block by M. Chriss),,62-44,,
3:00.0,Offensive rebound by K. Love,,62-44,,
3:00.0,Turnover by K. Love (traveling),,62-44,,
2:49.0,,,62-47,3,D. Booker makes 3-pt shot from 26 ft (assist by E. Bledsoe)
2:37.0,,,62-47,,Personal foul by M. Chriss (drawn by T. Thompson)
2:37.0,T. Thompson makes free throw 1 of 2,1,63-47,,
2:37.0,T. Thompson makes free throw 2 of 2,1,64-47,,
2:37.0,I. Shumpert enters the game for D. Liggins,,63-47,,
2:37.0,L. James enters the game for R. Jefferson,,63-47,,
2:37.0,,,63-47,,P. Tucker enters the game for M. Chriss
2:21.0,,,64-47,,T. Chandler misses 2-pt shot from 2 ft (block by K. Love)
2:18.0,,,64-47,,Offensive rebound by T. Chandler
2:18.0,,,64-49,2,T. Chandler makes 2-pt shot from 2 ft
1:59.0,K. Love makes 3-pt shot from 23 ft (assist by K. Irving),3,67-49,,
1:37.0,,,67-49,,D. Booker misses 2-pt shot from 5 ft
1:35.0,Defensive rebound by K. Love,,67-49,,
1:33.0,Offensive charge foul by T. Thompson,,67-49,,
1:33.0,Turnover by T. Thompson (offensive foul),,67-49,,
1:15.0,,,67-49,,D. Bender misses 3-pt shot from 24 ft
1:13.0,Defensive rebound by T. Thompson,,67-49,,
1:09.0,Turnover by K. Irving (lost ball; steal by D. Booker),,67-49,,
0:59.0,,,67-49,,E. Bledsoe misses 2-pt shot from 2 ft
0:57.0,,,67-49,,Offensive rebound by D. Bender
0:57.0,,,67-49,,D. Bender misses 2-pt shot from 2 ft
0:55.0,,,67-49,,Offensive rebound by D. Booker
0:49.0,,,67-49,,T. Chandler misses 2-pt shot from 2 ft (block by I. Shumpert)
0:49.0,Defensive rebound by T. Thompson,,67-49,,
0:36.0,I. Shumpert misses 3-pt shot from 24 ft,,67-49,,
0:34.0,,,67-49,,Defensive rebound by P. Tucker
0:31.0,,,67-51,2,D. Booker makes 2-pt shot at rim (assist by P. Tucker)
0:13.0,T. Thompson makes 2-pt shot at rim,2,69-51,,
0:02.0,,,69-53,2,E. Bledsoe makes 2-pt shot from 1 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,Turnover by L. James (lost ball; steal by T. Warren),,69-53,,
11:31.0,,,69-55,2,T. Warren makes 2-pt shot from 1 ft
11:17.0,K. Irving makes 2-pt shot from 14 ft,2,71-55,,
10:53.0,,,71-55,,T. Warren misses 2-pt shot from 2 ft
10:51.0,Defensive rebound by K. Love,,71-55,,
10:46.0,K. Irving makes 3-pt shot from 25 ft,3,74-55,,
10:33.0,,,74-55,,T. Chandler misses 2-pt shot from 5 ft
10:30.0,Defensive rebound by L. James,,74-55,,
10:27.0,Turnover by K. Irving (bad pass),,74-55,,
10:11.0,,,74-57,2,T. Chandler makes 2-pt shot at rim (assist by D. Booker)
9:48.0,K. Love misses 3-pt shot from 24 ft,,74-57,,
9:46.0,Offensive rebound by T. Thompson,,74-57,,
9:43.0,K. Love makes 3-pt shot from 25 ft (assist by T. Thompson),3,77-57,,
9:23.0,,,77-60,3,M. Chriss makes 3-pt shot from 24 ft (assist by D. Booker)
8:55.0,K. Irving misses 3-pt shot from 24 ft,,77-60,,
8:53.0,,,77-60,,Defensive rebound by E. Bledsoe
8:50.0,,,77-62,2,T. Warren makes 2-pt shot from 1 ft (assist by M. Chriss)
8:32.0,L. James misses 3-pt shot from 25 ft,,77-62,,
8:30.0,,,77-62,,Defensive rebound by T. Chandler
8:25.0,,,77-65,3,E. Bledsoe makes 3-pt shot from 25 ft
8:24.0,Cleveland full timeout,,77-65,,
8:00.0,K. Irving misses 2-pt shot from 20 ft,,77-65,,
7:56.0,,,77-65,,Defensive rebound by T. Chandler
7:50.0,,,77-65,,M. Chriss misses 2-pt shot from 21 ft
7:48.0,Defensive rebound by K. Love,,77-65,,
7:42.0,K. Love misses 3-pt shot from 25 ft,,77-65,,
7:38.0,Offensive rebound by T. Thompson,,77-65,,
7:33.0,K. Love makes 2-pt shot from 1 ft (assist by K. Irving),2,79-65,,
7:13.0,,,79-67,2,E. Bledsoe makes 2-pt shot from 16 ft
6:59.0,,,79-67,,Personal foul by T. Chandler (drawn by D. Liggins)
6:47.0,D. Liggins makes 3-pt shot from 24 ft (assist by K. Love),3,82-67,,
6:19.0,,,82-67,,E. Bledsoe misses 3-pt shot from 27 ft
6:17.0,,,82-67,,Offensive rebound by T. Chandler
6:17.0,,,82-69,2,T. Chandler makes 2-pt shot from 1 ft
6:00.0,L. James misses 2-pt shot from 9 ft,,82-69,,
5:57.0,,,82-69,,Defensive rebound by M. Chriss
5:55.0,,,82-71,2,D. Booker makes 2-pt shot at rim (assist by E. Bledsoe)
5:35.0,Turnover by L. James (bad pass; steal by E. Bledsoe),,82-71,,
5:31.0,,,82-73,2,T. Warren makes 2-pt shot from 2 ft (assist by M. Chriss)
5:10.0,T. Thompson misses 2-pt shot from 2 ft,,82-73,,
5:08.0,,,82-73,,Defensive rebound by T. Chandler
5:03.0,,,82-75,2,T. Warren makes 2-pt shot from 5 ft (assist by M. Chriss)
5:02.0,Cleveland full timeout,,82-75,,
4:42.0,K. Irving misses 2-pt shot from 4 ft (block by T. Chandler),,82-75,,
4:42.0,Offensive rebound by Team,,82-75,,
4:39.0,Turnover by L. James (bad pass; steal by T. Warren),,82-75,,
4:34.0,,,82-77,2,D. Booker makes 2-pt shot from 2 ft (assist by T. Warren)
4:17.0,L. James makes 2-pt shot from 2 ft,2,84-77,,
4:02.0,,,84-80,3,D. Booker makes 3-pt shot from 25 ft (assist by E. Bledsoe)
3:42.0,Turnover by K. Irving (step out of bounds),,84-80,,
3:42.0,C. Frye enters the game for T. Thompson,,84-80,,
3:42.0,I. Shumpert enters the game for D. Liggins,,84-80,,
3:31.0,,,84-82,2,T. Chandler makes 2-pt shot from 2 ft (assist by E. Bledsoe)
3:14.0,K. Love misses 2-pt shot from 15 ft,,84-82,,
3:12.0,,,84-82,,Defensive rebound by T. Chandler
3:09.0,,,84-82,,D. Booker misses 3-pt shot from 25 ft
3:05.0,Defensive rebound by I. Shumpert,,84-82,,
2:49.0,I. Shumpert misses 2-pt shot from 5 ft (block by M. Chriss),,84-82,,
2:48.0,Offensive rebound by Team,,84-82,,
2:45.0,K. Love misses 3-pt shot from 25 ft,,84-82,,
2:43.0,,,84-82,,Defensive rebound by T. Chandler
2:24.0,,,84-82,,T. Warren misses 3-pt shot from 26 ft
2:23.0,Defensive rebound by Team,,84-82,,
2:09.0,L. James makes 2-pt shot from 2 ft (assist by K. Irving),2,86-82,,
2:08.0,,,86-82,,Phoenix full timeout
2:08.0,,,86-82,,P. Tucker enters the game for M. Chriss
1:54.0,,,86-84,2,E. Bledsoe makes 2-pt shot from 21 ft
1:40.0,K. Irving makes 2-pt shot from 2 ft (assist by L. James),2,88-84,,
1:26.0,,,88-84,,Shooting foul by K. Love (drawn by E. Bledsoe)
1:26.0,,,88-85,1,E. Bledsoe makes free throw 1 of 2
1:26.0,,,88-86,1,E. Bledsoe makes free throw 2 of 2
1:08.0,C. Frye misses 3-pt shot from 24 ft,,88-86,,
1:06.0,Offensive rebound by K. Love,,88-86,,
1:02.0,C. Frye misses 3-pt shot from 25 ft,,88-86,,
1:01.0,,,88-86,,Defensive rebound by T. Chandler
0:51.0,,,88-88,2,T. Warren makes 2-pt shot from 11 ft
0:35.0,C. Frye misses 3-pt shot from 23 ft,,88-88,,
0:33.0,Offensive rebound by K. Love,,88-88,,
0:32.0,K. Love makes 2-pt shot from 2 ft,2,90-88,,
0:11.0,,,90-90,2,D. Booker makes 2-pt shot from 8 ft
0:00.0,K. Irving makes 3-pt shot from 25 ft,3,93-90,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,,,93-92,2,T. Warren makes 2-pt shot from 13 ft (assist by D. Booker)
11:18.0,L. James makes 2-pt shot at rim,2,95-92,,
10:55.0,,,95-92,,D. Booker misses 3-pt shot from 26 ft
10:53.0,Defensive rebound by C. Frye,,95-92,,
10:45.0,Turnover by R. Jefferson (bad pass; steal by D. Booker),,95-92,,
10:42.0,,,95-94,2,D. Booker makes 2-pt shot at rim
10:28.0,L. James makes 2-pt shot from 1 ft,2,97-94,,
10:06.0,,,97-94,,Shooting foul by K. Felder (drawn by B. Knight)
10:06.0,,,97-95,1,B. Knight makes free throw 1 of 2
10:06.0,,,97-96,1,B. Knight makes free throw 2 of 2
10:06.0,,,97-95,,D. Bender enters the game for T. Chandler
9:49.0,I. Shumpert makes 2-pt shot from 1 ft,2,99-96,,
9:37.0,,,99-98,2,D. Booker makes 2-pt shot from 2 ft
9:15.0,Turnover by L. James (lost ball; steal by P. Tucker),,99-98,,
9:09.0,,,99-98,,B. Knight misses 2-pt shot from 5 ft
9:06.0,,,99-98,,Offensive rebound by B. Knight
8:51.0,,,99-98,,Offensive charge foul by D. Booker
8:51.0,,,99-98,,Turnover by D. Booker (offensive foul)
8:51.0,Official timeout,,99-98,,
8:51.0,D. Liggins enters the game for L. James,,99-98,,
8:51.0,K. Irving enters the game for K. Felder,,99-98,,
8:35.0,R. Jefferson misses 2-pt shot from 3 ft,,99-98,,
8:33.0,,,99-98,,Defensive rebound by T. Warren
8:29.0,,,99-98,,Turnover by P. Tucker (offensive foul)
8:29.0,,,99-98,,Offensive charge foul by P. Tucker
8:16.0,K. Irving makes 3-pt shot from 25 ft,3,102-98,,
8:00.0,,,102-98,,D. Booker misses 2-pt shot from 4 ft (block by D. Liggins)
7:57.0,,,102-98,,Offensive rebound by D. Booker
7:53.0,,,102-98,,D. Bender misses 3-pt shot from 25 ft
7:51.0,Defensive rebound by C. Frye,,102-98,,
7:38.0,K. Irving makes 2-pt shot from 2 ft,2,104-98,,
7:38.0,,,104-98,,Phoenix full timeout
7:38.0,,,104-98,,E. Bledsoe enters the game for B. Knight
7:38.0,,,104-98,,M. Chriss enters the game for D. Bender
7:24.0,,,104-98,,Turnover by D. Booker (bad pass; steal by D. Liggins)
7:23.0,Turnover by K. Irving (bad pass),,104-98,,
7:02.0,,,104-98,,D. Booker misses 3-pt shot from 26 ft
7:01.0,Defensive rebound by Team,,104-98,,
6:39.0,Turnover by K. Irving (lost ball; steal by T. Warren),,104-98,,
6:35.0,,,104-100,2,D. Booker makes 2-pt shot from 2 ft (assist by E. Bledsoe)
6:10.0,R. Jefferson makes 3-pt shot from 23 ft (assist by K. Irving),3,107-100,,
5:56.0,,,107-100,,Shooting foul by R. Jefferson (drawn by P. Tucker)
5:56.0,,,107-101,1,P. Tucker makes free throw 1 of 2
5:56.0,,,107-102,1,P. Tucker makes free throw 2 of 2
5:56.0,L. James enters the game for D. Liggins,,107-101,,
5:56.0,K. Love enters the game for C. Frye,,107-101,,
5:56.0,,,107-101,,T. Chandler enters the game for T. Warren
5:39.0,Shooting foul by T. Chandler (drawn by K. Love),,107-102,,
5:39.0,K. Love makes free throw 1 of 2,1,108-102,,
5:39.0,K. Love makes free throw 2 of 2,1,109-102,,
5:24.0,,,109-104,2,E. Bledsoe makes 2-pt shot from 1 ft
5:03.0,R. Jefferson misses 3-pt shot from 24 ft,,109-104,,
5:03.0,Offensive rebound by Team,,109-104,,
5:01.0,Turnover by R. Jefferson (bad pass; steal by P. Tucker),,109-104,,
4:58.0,,,109-106,2,P. Tucker makes 2-pt shot at rim
4:32.0,K. Love misses 3-pt shot from 26 ft,,109-106,,
4:30.0,,,109-106,,Defensive rebound by T. Chandler
4:28.0,,,109-106,,Shooting foul by L. James (drawn by M. Chriss)
4:28.0,,,109-106,,M. Chriss misses free throw 1 of 2
4:28.0,,,109-106,,Offensive rebound by Team
4:28.0,,,109-107,1,M. Chriss makes free throw 2 of 2
4:28.0,T. Thompson enters the game for R. Jefferson,,109-106,,
4:17.0,,,109-107,,Personal foul by E. Bledsoe (drawn by K. Irving)
4:05.0,K. Irving misses 2-pt shot from 16 ft,,109-107,,
4:03.0,Offensive rebound by L. James,,109-107,,
3:47.0,K. Irving misses 2-pt shot from 7 ft,,109-107,,
3:47.0,,,109-107,,Defensive rebound by Team
3:47.0,Loose ball foul by T. Thompson (drawn by T. Chandler),,109-107,,
3:33.0,,,109-107,,M. Chriss misses 2-pt shot from 2 ft
3:31.0,,,109-107,,Offensive rebound by T. Chandler
3:22.0,,,109-107,,E. Bledsoe misses 3-pt shot from 24 ft
3:20.0,Defensive rebound by K. Love,,109-107,,
3:11.0,L. James makes 3-pt shot from 27 ft,3,112-107,,
2:55.0,,,112-109,2,E. Bledsoe makes 2-pt shot from 1 ft
2:46.0,L. James makes 3-pt shot from 26 ft (assist by K. Irving),3,115-109,,
2:23.0,,,115-109,,M. Chriss misses 2-pt shot from 17 ft
2:21.0,Defensive rebound by K. Irving,,115-109,,
2:12.0,Turnover by L. James (bad pass),,115-109,,
2:12.0,Cleveland full timeout,,115-109,,
1:52.0,,,115-111,2,D. Booker makes 2-pt shot from 2 ft
1:31.0,L. James misses 2-pt shot from 22 ft,,115-111,,
1:29.0,Offensive rebound by K. Love,,115-111,,
1:26.0,I. Shumpert makes 3-pt shot from 25 ft (assist by K. Irving),3,118-111,,
1:15.0,,,118-114,3,E. Bledsoe makes 3-pt shot from 25 ft
1:15.0,Cleveland full timeout,,118-114,,
1:15.0,C. Frye enters the game for T. Thompson,,118-114,,
0:56.0,,,118-114,,Personal foul by E. Bledsoe (drawn by K. Irving)
0:44.0,L. James makes 2-pt shot from 2 ft,2,120-114,,
0:44.0,,,120-114,,Phoenix full timeout
0:44.0,T. Thompson enters the game for K. Love,,120-114,,
0:44.0,D. Liggins enters the game for C. Frye,,120-114,,
0:34.0,,,120-116,2,P. Tucker makes 2-pt shot from 2 ft (assist by E. Bledsoe)
0:12.0,L. James misses 3-pt shot from 26 ft,,120-116,,
0:11.0,,,120-116,,Defensive rebound by D. Booker
0:11.0,,,120-116,,Phoenix full timeout
0:07.0,,,120-116,,D. Booker misses 2-pt shot from 3 ft (block by I. Shumpert)
