time,Utah,pts.away,score,pts.home,Sacramento
6:04.0,,,31-45,,A. Afflalo enters the game for A. Tolliver
5:50.0,G. Hayward makes 2-pt shot from 18 ft,2,33-45,,
5:37.0,,,33-47,2,T. Lawson makes 2-pt shot from 16 ft (assist by A. Afflalo)
5:37.0,,,33-47,,Shooting foul by G. Hill (drawn by T. Lawson)
5:37.0,Official timeout,,33-47,,
5:37.0,,,33-48,1,T. Lawson makes free throw 1 of 1
5:21.0,G. Hill misses 2-pt shot from 12 ft,,33-48,,
5:20.0,Offensive rebound by Team,,33-48,,
5:20.0,,,33-48,,Loose ball foul by K. Koufos (drawn by R. Gobert)
5:18.0,,,33-48,,Personal foul by S. Labissiere (drawn by R. Gobert)
5:12.0,G. Hayward makes 2-pt shot from 4 ft,2,35-48,,
5:12.0,Shooting foul by K. Koufos (drawn by G. Hayward),,35-48,,
5:12.0,G. Hayward misses free throw 1 of 1,,35-48,,
5:11.0,,,35-48,,Defensive rebound by K. Koufos
4:50.0,,,35-50,2,B. Hield makes 2-pt shot from 13 ft
4:37.0,G. Hayward misses 2-pt shot from 12 ft,,35-50,,
4:36.0,,,35-50,,Defensive rebound by B. Hield
4:31.0,,,35-50,,B. Hield misses 3-pt shot from 26 ft
4:30.0,Defensive rebound by R. Gobert,,35-50,,
4:20.0,,,35-50,,Loose ball foul by S. Labissiere (drawn by D. Favors)
4:20.0,D. Favors misses free throw 1 of 2,,35-50,,
4:20.0,Offensive rebound by Team,,35-50,,
4:20.0,D. Favors makes free throw 2 of 2,1,36-50,,
4:20.0,R. Hood enters the game for A. Burks,,35-50,,
4:09.0,Personal foul by R. Hood (drawn by B. Hield),,36-50,,
4:09.0,,,36-50,,W. Cauley-Stein enters the game for S. Labissiere
3:59.0,,,36-52,2,A. Afflalo makes 2-pt shot from 15 ft (assist by K. Koufos)
3:38.0,Utah full timeout,,36-52,,
3:38.0,,,36-52,,D. Collison enters the game for T. Lawson
3:38.0,,,36-52,,G. Temple enters the game for B. Hield
3:33.0,Shooting foul by K. Koufos (drawn by R. Hood),,36-52,,
3:33.0,R. Hood makes free throw 1 of 3,1,37-52,,
3:33.0,R. Hood makes free throw 2 of 3,1,38-52,,
3:33.0,R. Hood makes free throw 3 of 3,1,39-52,,
3:09.0,,,39-52,,D. Collison misses 2-pt shot from 21 ft
3:08.0,Defensive rebound by R. Gobert,,39-52,,
3:05.0,,,39-52,,Personal foul by G. Temple (drawn by G. Hill)
3:05.0,G. Hill makes free throw 1 of 2,1,40-52,,
3:05.0,G. Hill makes free throw 2 of 2,1,41-52,,
3:05.0,J. Ingles enters the game for D. Favors,,40-52,,
3:05.0,B. Diaw enters the game for R. Hood,,40-52,,
2:47.0,,,41-52,,W. Cauley-Stein misses 2-pt shot from 11 ft
2:45.0,,,41-52,,Offensive rebound by K. Koufos
2:42.0,,,41-52,,K. Koufos misses 2-pt shot from 3 ft
2:41.0,Defensive rebound by G. Hayward,,41-52,,
2:36.0,B. Diaw makes 2-pt shot from 5 ft,2,43-52,,
2:20.0,,,43-52,,K. Koufos misses 2-pt shot from 5 ft
2:19.0,Defensive rebound by R. Gobert,,43-52,,
2:10.0,R. Gobert misses 2-pt shot from 4 ft (block by W. Cauley-Stein),,43-52,,
2:08.0,Offensive rebound by G. Hill,,43-52,,
2:08.0,G. Hill makes 2-pt shot from 1 ft,2,45-52,,
2:08.0,,,45-52,,Sacramento full timeout
2:08.0,,,45-52,,A. Tolliver enters the game for K. Koufos
1:48.0,,,45-52,,A. Afflalo misses 2-pt shot from 9 ft
1:47.0,,,45-52,,Offensive rebound by A. Afflalo
1:46.0,,,45-52,,A. Afflalo misses 2-pt shot from 2 ft
1:46.0,Defensive rebound by R. Gobert,,45-52,,
1:32.0,Turnover by B. Diaw (step out of bounds),,45-52,,
1:08.0,,,45-54,2,D. Collison makes 2-pt shot from 16 ft
0:53.0,Turnover by J. Ingles (bad pass; steal by A. Tolliver),,45-54,,
0:39.0,,,45-56,2,G. Temple makes 2-pt shot from 15 ft
0:31.0,J. Ingles misses 3-pt shot from 23 ft,,45-56,,
0:30.0,,,45-56,,Defensive rebound by A. Afflalo
0:10.0,,,45-59,3,A. Afflalo makes 3-pt shot from 24 ft (assist by D. Collison)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,D. Favors makes 2-pt shot at rim (assist by R. Gobert),2,47-59,,
11:14.0,,,47-59,,Turnover by K. Koufos (bad pass; steal by R. Gobert)
11:03.0,R. Hood makes 2-pt shot from 9 ft,2,49-59,,
10:50.0,,,49-59,,D. Collison misses 3-pt shot from 26 ft
10:50.0,Defensive rebound by R. Gobert,,49-59,,
10:34.0,G. Hill makes 3-pt shot from 25 ft (assist by R. Gobert),3,52-59,,
10:09.0,,,52-61,2,T. Lawson makes 2-pt shot from 13 ft
9:55.0,R. Gobert misses 2-pt shot from 5 ft,,52-61,,
9:54.0,,,52-61,,Defensive rebound by W. Cauley-Stein
9:31.0,,,52-63,2,T. Lawson makes 2-pt shot from 15 ft
9:19.0,G. Hill misses 2-pt shot from 18 ft,,52-63,,
9:18.0,,,52-63,,Defensive rebound by W. Cauley-Stein
9:09.0,,,52-63,,W. Cauley-Stein misses 2-pt shot at rim (block by R. Gobert)
9:09.0,,,52-63,,Offensive rebound by Team
8:54.0,,,52-63,,K. Koufos misses 2-pt shot from 13 ft
8:53.0,Defensive rebound by G. Hill,,52-63,,
8:38.0,G. Hayward misses 3-pt shot from 25 ft,,52-63,,
8:37.0,,,52-63,,Defensive rebound by W. Cauley-Stein
8:25.0,,,52-65,2,W. Cauley-Stein makes 2-pt shot from 8 ft (assist by D. Collison)
8:07.0,R. Hood misses 2-pt shot from 10 ft,,52-65,,
8:06.0,,,52-65,,Defensive rebound by T. Lawson
7:59.0,,,52-65,,D. Collison misses 2-pt shot from 4 ft (block by R. Gobert)
7:58.0,Defensive rebound by R. Hood,,52-65,,
7:48.0,G. Hayward misses 3-pt shot from 23 ft,,52-65,,
7:48.0,Offensive rebound by Team,,52-65,,
7:48.0,,,52-65,,Loose ball foul by K. Koufos (drawn by R. Gobert)
7:40.0,R. Hood makes 2-pt shot from 5 ft (assist by D. Favors),2,54-65,,
7:21.0,,,54-67,2,K. Koufos makes 2-pt shot from 10 ft
6:56.0,R. Hood misses 2-pt shot from 21 ft,,54-67,,
6:55.0,,,54-67,,Defensive rebound by D. Collison
6:42.0,,,54-67,,A. Afflalo misses 2-pt shot from 22 ft
6:42.0,Defensive rebound by R. Gobert,,54-67,,
6:19.0,R. Hood misses 3-pt shot from 26 ft,,54-67,,
6:18.0,Offensive rebound by Team,,54-67,,
6:18.0,J. Ingles enters the game for D. Favors,,54-67,,
6:18.0,B. Diaw enters the game for R. Hood,,54-67,,
6:18.0,,,54-67,,G. Temple enters the game for T. Lawson
6:18.0,,,54-67,,A. Tolliver enters the game for K. Koufos
6:06.0,B. Diaw misses 2-pt shot from 12 ft,,54-67,,
6:05.0,Offensive rebound by J. Ingles,,54-67,,
5:53.0,J. Ingles makes 3-pt shot from 23 ft (assist by G. Hill),3,57-67,,
5:37.0,,,57-67,,G. Temple misses 3-pt shot from 25 ft
5:37.0,Defensive rebound by G. Hayward,,57-67,,
5:33.0,Shooting foul by W. Cauley-Stein (drawn by G. Hayward),,57-67,,
5:33.0,,,57-67,,Sacramento full timeout
5:33.0,G. Hayward makes free throw 1 of 2,1,58-67,,
5:33.0,G. Hayward makes free throw 2 of 2,1,59-67,,
5:33.0,D. Exum enters the game for G. Hill,,57-67,,
5:12.0,,,59-67,,Turnover by D. Collison (bad pass; steal by J. Ingles)
5:01.0,G. Hayward makes 3-pt shot from 25 ft,3,62-67,,
4:42.0,,,62-67,,Turnover by G. Temple (bad pass)
4:23.0,R. Gobert makes 2-pt shot at rim (assist by G. Hayward),2,64-67,,
4:01.0,,,64-70,3,G. Temple makes 3-pt shot from 25 ft (assist by A. Tolliver)
3:44.0,D. Exum misses 3-pt shot from 25 ft,,64-70,,
3:43.0,,,64-70,,Defensive rebound by G. Temple
3:33.0,,,64-70,,A. Tolliver misses 3-pt shot from 26 ft
3:33.0,Defensive rebound by R. Gobert,,64-70,,
3:16.0,,,64-70,,Personal foul by A. Tolliver (drawn by R. Gobert)
3:09.0,G. Hayward misses 2-pt shot from 10 ft,,64-70,,
3:09.0,,,64-70,,Defensive rebound by Team
3:09.0,Loose ball foul by R. Gobert (drawn by W. Cauley-Stein),,64-70,,
3:09.0,,,64-70,,B. Hield enters the game for A. Afflalo
2:51.0,,,64-70,,Turnover by B. Hield (bad pass; steal by J. Ingles)
2:47.0,Turnover by J. Ingles (lost ball; steal by D. Collison),,64-70,,
2:31.0,,,64-70,,G. Temple misses 2-pt shot from 19 ft
2:30.0,Defensive rebound by R. Gobert,,64-70,,
2:21.0,G. Hayward misses 2-pt shot from 4 ft,,64-70,,
2:20.0,,,64-70,,Defensive rebound by G. Temple
2:18.0,Personal foul by J. Ingles (drawn by G. Temple),,64-70,,
2:18.0,Utah full timeout,,64-70,,
2:18.0,A. Burks enters the game for G. Hayward,,64-70,,
2:18.0,G. Hill enters the game for R. Gobert,,64-70,,
2:18.0,D. Favors enters the game for D. Exum,,64-70,,
2:07.0,,,64-72,2,W. Cauley-Stein makes 2-pt shot at rim (assist by G. Temple)
1:48.0,Shooting foul by G. Temple (drawn by G. Hill),,64-72,,
1:48.0,G. Hill makes free throw 1 of 2,1,65-72,,
1:48.0,G. Hill makes free throw 2 of 2,1,66-72,,
1:48.0,R. Hood enters the game for J. Ingles,,65-72,,
1:31.0,,,66-75,3,G. Temple makes 3-pt shot from 25 ft (assist by B. Hield)
1:07.0,Turnover by G. Hill (bad pass; steal by W. Cauley-Stein),,66-75,,
1:03.0,,,66-75,,Turnover by B. Hield (lost ball; steal by A. Burks)
1:00.0,Turnover by A. Burks (lost ball; steal by G. Temple),,66-75,,
0:58.0,,,66-77,2,D. Collison makes 2-pt shot from 3 ft (assist by G. Temple)
0:42.0,Turnover by B. Diaw (bad pass),,66-77,,
0:36.0,,,66-79,2,D. Collison makes 2-pt shot from 19 ft
0:12.0,R. Hood makes 3-pt shot from 26 ft (assist by G. Hill),3,69-79,,
0:02.0,,,69-81,2,D. Collison makes 2-pt shot from 19 ft
0:00.0,G. Hill misses 3-pt shot from 50 ft,,69-81,,
0:00.0,Offensive rebound by Team,,69-81,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,69-81,,B. Hield misses 3-pt shot from 25 ft
11:36.0,Defensive rebound by D. Favors,,69-81,,
11:23.0,R. Hood makes 3-pt shot from 27 ft (assist by D. Favors),3,72-81,,
11:11.0,,,72-81,,Turnover by T. Lawson (bad pass; steal by A. Burks)
11:04.0,G. Hill misses 3-pt shot from 26 ft,,72-81,,
11:03.0,,,72-81,,Defensive rebound by K. Koufos
10:50.0,,,72-83,2,B. Hield makes 2-pt shot from 20 ft
10:24.0,Turnover by A. Burks (bad pass),,72-83,,
10:07.0,,,72-85,2,A. Tolliver makes 2-pt shot from 6 ft (assist by T. Lawson)
9:49.0,R. Hood makes 3-pt shot from 24 ft (assist by A. Burks),3,75-85,,
9:37.0,,,75-85,,Turnover by B. Hield (bad pass; steal by R. Hood)
9:16.0,R. Hood makes 3-pt shot from 23 ft (assist by G. Hill),3,78-85,,
9:01.0,,,78-87,2,T. Lawson makes 2-pt shot from 17 ft
8:41.0,J. Ingles misses 3-pt shot from 25 ft,,78-87,,
8:40.0,,,78-87,,Defensive rebound by T. Lawson
8:30.0,,,78-87,,Turnover by B. Hield (bad pass; steal by R. Hood)
8:28.0,,,78-87,,Personal foul by T. Lawson (drawn by R. Hood)
8:28.0,Official timeout,,78-87,,
8:28.0,,,78-87,,A. Afflalo enters the game for G. Temple
8:28.0,G. Hayward enters the game for D. Favors,,78-87,,
8:28.0,D. Exum enters the game for G. Hill,,78-87,,
8:28.0,R. Gobert enters the game for A. Burks,,78-87,,
8:10.0,Shooting foul by A. Afflalo (drawn by R. Hood),,78-87,,
8:10.0,R. Hood misses free throw 1 of 2,,78-87,,
8:10.0,Offensive rebound by Team,,78-87,,
8:10.0,R. Hood makes free throw 2 of 2,1,79-87,,
7:52.0,,,79-87,,Shooting foul by R. Hood (drawn by K. Koufos)
7:52.0,,,79-88,1,K. Koufos makes free throw 1 of 2
7:52.0,,,79-89,1,K. Koufos makes free throw 2 of 2
7:52.0,B. Diaw enters the game for J. Ingles,,79-88,,
7:35.0,R. Gobert makes 2-pt shot at rim (assist by G. Hayward),2,81-89,,
7:23.0,,,81-89,,T. Lawson misses 2-pt shot from 3 ft
7:23.0,Defensive rebound by Team,,81-89,,
7:05.0,D. Exum misses 3-pt shot from 24 ft,,81-89,,
7:04.0,,,81-89,,Defensive rebound by A. Tolliver
6:40.0,,,81-89,,B. Hield misses 2-pt shot from 13 ft
6:39.0,,,81-89,,Offensive rebound by K. Koufos
6:39.0,,,81-89,,K. Koufos misses 2-pt shot from 3 ft
6:38.0,Defensive rebound by R. Gobert,,81-89,,
6:25.0,G. Hayward misses 2-pt shot from 10 ft,,81-89,,
6:23.0,Offensive rebound by G. Hayward,,81-89,,
6:23.0,G. Hayward misses 2-pt shot from 1 ft,,81-89,,
6:22.0,Offensive rebound by R. Gobert,,81-89,,
6:22.0,R. Gobert misses 2-pt shot from 2 ft,,81-89,,
6:21.0,,,81-89,,Defensive rebound by A. Tolliver
6:07.0,,,81-89,,Turnover by B. Hield (step out of bounds)
6:07.0,A. Burks enters the game for R. Hood,,81-89,,
5:49.0,G. Hayward makes 2-pt shot from 3 ft (assist by B. Diaw),2,83-89,,
5:37.0,Personal foul by G. Hayward (drawn by A. Afflalo),,83-89,,
5:37.0,,,83-89,,Sacramento full timeout
5:37.0,G. Hill enters the game for D. Exum,,83-89,,
5:37.0,,,83-89,,D. Collison enters the game for B. Hield
5:32.0,Personal foul by A. Burks (drawn by D. Collison),,83-89,,
5:18.0,,,83-89,,A. Afflalo misses 3-pt shot from 26 ft
5:18.0,Defensive rebound by R. Gobert,,83-89,,
5:07.0,A. Burks makes 2-pt shot from 6 ft,2,85-89,,
5:07.0,,,85-89,,Shooting block foul by T. Lawson (drawn by A. Burks)
5:07.0,A. Burks makes free throw 1 of 1,1,86-89,,
5:07.0,,,85-89,,W. Cauley-Stein enters the game for A. Tolliver
4:45.0,,,86-91,2,K. Koufos makes 2-pt shot from 12 ft (assist by A. Afflalo)
4:21.0,A. Burks misses 2-pt shot from 3 ft,,86-91,,
4:20.0,,,86-91,,Defensive rebound by K. Koufos
4:11.0,,,86-93,2,T. Lawson makes 2-pt shot from 15 ft
3:57.0,,,86-93,,Personal block foul by K. Koufos (drawn by G. Hayward)
3:57.0,R. Hood enters the game for A. Burks,,86-93,,
3:49.0,G. Hill misses 2-pt shot from 11 ft,,86-93,,
3:48.0,,,86-93,,Defensive rebound by T. Lawson
3:35.0,,,86-93,,T. Lawson misses 2-pt shot from 14 ft
3:35.0,Defensive rebound by R. Hood,,86-93,,
3:24.0,R. Hood misses 2-pt shot from 11 ft,,86-93,,
3:23.0,,,86-93,,Defensive rebound by D. Collison
2:59.0,,,86-93,,T. Lawson misses 3-pt shot from 25 ft
2:58.0,Defensive rebound by R. Gobert,,86-93,,
2:48.0,Shooting foul by D. Collison (drawn by G. Hayward),,86-93,,
2:48.0,Utah full timeout,,86-93,,
2:48.0,G. Hayward makes free throw 1 of 2,1,87-93,,
2:48.0,G. Hayward makes free throw 2 of 2,1,88-93,,
2:24.0,,,88-93,,A. Afflalo misses 2-pt shot from 11 ft
2:24.0,Defensive rebound by R. Hood,,88-93,,
2:05.0,R. Hood misses 3-pt shot from 23 ft,,88-93,,
2:04.0,,,88-93,,Defensive rebound by W. Cauley-Stein
1:51.0,,,88-95,2,K. Koufos makes 2-pt shot from 11 ft (assist by T. Lawson)
1:29.0,R. Hood makes 2-pt shot from 10 ft,2,90-95,,
1:18.0,,,90-95,,Shooting foul by B. Diaw (drawn by T. Lawson)
1:18.0,,,90-95,,T. Lawson misses free throw 1 of 2
1:18.0,,,90-95,,Offensive rebound by Team
1:18.0,,,90-96,1,T. Lawson makes free throw 2 of 2
1:18.0,J. Ingles enters the game for B. Diaw,,90-95,,
1:18.0,,,90-95,,G. Temple enters the game for W. Cauley-Stein
1:06.0,G. Hayward misses 2-pt shot from 15 ft,,90-96,,
1:05.0,Offensive rebound by R. Gobert,,90-96,,
1:00.0,G. Hill misses 3-pt shot from 23 ft,,90-96,,
1:00.0,,,90-96,,Defensive rebound by T. Lawson
0:54.0,,,90-96,,Sacramento full timeout
0:54.0,,,90-96,,Turnover by Team (5 sec inbounds)
0:54.0,,,90-96,,W. Cauley-Stein enters the game for T. Lawson
0:43.0,J. Ingles misses 3-pt shot from 25 ft,,90-96,,
0:42.0,Offensive rebound by R. Gobert,,90-96,,
0:37.0,G. Hill misses 3-pt shot from 26 ft,,90-96,,
0:37.0,Offensive rebound by Team,,90-96,,
0:37.0,,,90-96,,Loose ball foul by A. Afflalo (drawn by G. Hayward)
0:37.0,G. Hayward makes free throw 1 of 2,1,91-96,,
0:37.0,G. Hayward makes free throw 2 of 2,1,92-96,,
0:37.0,,,92-96,,Sacramento full timeout
0:37.0,,,92-96,,T. Lawson enters the game for W. Cauley-Stein
0:17.0,,,92-96,,Turnover by T. Lawson (lost ball; steal by G. Hill)
0:14.0,Utah full timeout,,92-96,,
0:14.0,,,92-96,,W. Cauley-Stein enters the game for D. Collison
0:11.0,G. Hayward makes 3-pt shot from 25 ft (assist by J. Ingles),3,95-96,,
0:10.0,Personal foul by J. Ingles (drawn by W. Cauley-Stein),,95-96,,
0:10.0,,,95-96,,W. Cauley-Stein misses free throw 1 of 2
0:10.0,,,95-96,,Offensive rebound by Team
0:10.0,,,95-97,1,W. Cauley-Stein makes free throw 2 of 2
0:10.0,Utah full timeout,,95-97,,
0:10.0,D. Favors enters the game for R. Hood,,95-96,,
0:10.0,R. Hood enters the game for D. Favors,,95-97,,
0:10.0,,,95-97,,D. Collison enters the game for K. Koufos
0:04.0,R. Gobert makes 2-pt shot from 4 ft (assist by G. Hayward),2,97-97,,
0:04.0,,,97-97,,Sacramento full timeout
0:03.0,,,97-97,,Turnover by G. Temple (bad pass)
0:03.0,,,97-97,,K. Koufos enters the game for D. Collison
