time,Brooklyn,pts.away,score,pts.home,Washington
4:31.0,,,11-18,,Turnover by M. Gortat (bad pass; steal by C. LeVert)
4:31.0,,,11-18,,Personal foul by O. Porter (drawn by C. LeVert)
4:31.0,S. Dinwiddie enters the game for I. Whitehead,,11-18,,
4:15.0,R. Hollis-Jefferson makes 2-pt shot from 22 ft (assist by C. LeVert),2,13-18,,
3:59.0,,,13-20,2,M. Gortat makes 2-pt shot from 1 ft (assist by M. Thornton)
3:33.0,C. LeVert makes 3-pt shot from 27 ft (assist by S. Dinwiddie),3,16-20,,
3:19.0,,,16-20,,M. Thornton misses 2-pt shot from 16 ft
3:18.0,,,16-20,,Offensive rebound by J. Smith
3:06.0,,,16-23,3,O. Porter makes 3-pt shot from 26 ft (assist by J. Smith)
2:42.0,Shooting foul by J. Smith (drawn by R. Hollis-Jefferson),,16-23,,
2:42.0,,,16-23,,Washington full timeout
2:42.0,R. Hollis-Jefferson makes free throw 1 of 2,1,17-23,,
2:42.0,R. Hollis-Jefferson makes free throw 2 of 2,1,18-23,,
2:42.0,,,16-23,,K. Oubre enters the game for M. Gortat
2:24.0,,,18-23,,O. Porter misses 3-pt shot from 26 ft
2:23.0,Defensive rebound by R. Hollis-Jefferson,,18-23,,
2:15.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft,2,20-23,,
2:15.0,Shooting foul by O. Porter (drawn by R. Hollis-Jefferson),,20-23,,
2:15.0,R. Hollis-Jefferson misses free throw 1 of 1,,20-23,,
2:15.0,,,20-23,,T. Burke enters the game for J. Wall
2:14.0,,,20-23,,Defensive rebound by J. Smith
1:52.0,,,20-25,2,J. Smith makes 2-pt shot from 21 ft (assist by M. Thornton)
1:33.0,Turnover by R. Foye (bad pass; steal by O. Porter),,20-25,,
1:12.0,,,20-25,,Turnover by K. Oubre (bad pass; steal by R. Hollis-Jefferson)
1:05.0,R. Hollis-Jefferson misses 2-pt shot from 5 ft,,20-25,,
1:04.0,,,20-25,,Defensive rebound by K. Oubre
0:59.0,,,20-25,,O. Porter misses 2-pt shot from 3 ft
0:59.0,,,20-25,,Offensive rebound by J. Smith
0:59.0,,,20-27,2,J. Smith makes 2-pt shot from 1 ft
0:36.0,R. Foye makes 3-pt shot from 24 ft (assist by R. Hollis-Jefferson),3,23-27,,
0:22.0,,,23-29,2,J. Smith makes 2-pt shot from 8 ft
0:06.0,Turnover by S. Dinwiddie (bad pass; steal by T. Burke),,23-29,,
0:03.0,,,23-29,,Shooting foul by S. Dinwiddie (drawn by T. Burke)
0:03.0,,,23-30,1,T. Burke makes free throw 1 of 2
0:03.0,,,23-31,1,T. Burke makes free throw 2 of 2
0:03.0,,,23-30,,T. Satoransky enters the game for O. Porter
0:01.0,R. Foye misses 3-pt shot from 64 ft,,23-31,,
0:00.0,,,23-31,,Defensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,23-31,,K. Oubre misses 2-pt shot from 16 ft
11:39.0,Defensive rebound by R. Foye,,23-31,,
11:30.0,S. Dinwiddie makes 2-pt shot from 6 ft,2,25-31,,
11:17.0,,,25-31,,Turnover by K. Oubre (step out of bounds)
10:56.0,C. LeVert misses 3-pt shot from 23 ft,,25-31,,
10:56.0,,,25-31,,Defensive rebound by M. Thornton
10:50.0,,,25-31,,Offensive foul by M. Thornton
10:50.0,,,25-31,,Turnover by M. Thornton (offensive foul)
10:38.0,Turnover by S. Dinwiddie (traveling),,25-31,,
10:30.0,,,25-31,,Turnover by T. Burke (bad pass; steal by J. Hamilton)
10:23.0,R. Hollis-Jefferson misses 2-pt shot from 3 ft (block by K. Oubre),,25-31,,
10:22.0,,,25-31,,Defensive rebound by J. Smith
10:12.0,,,25-31,,M. Thornton misses 2-pt shot from 7 ft
10:12.0,,,25-31,,Offensive rebound by M. Thornton
10:10.0,Personal foul by J. Hamilton (drawn by M. Thornton),,25-31,,
10:02.0,,,25-33,2,T. Burke makes 2-pt shot from 16 ft
9:46.0,Turnover by S. Dinwiddie (lost ball),,25-33,,
9:32.0,,,25-36,3,T. Burke makes 3-pt shot from 26 ft (assist by T. Satoransky)
9:20.0,J. Hamilton misses 2-pt shot from 1 ft,,25-36,,
9:19.0,,,25-36,,Defensive rebound by J. Smith
9:08.0,,,25-36,,J. Smith misses 2-pt shot from 2 ft
9:07.0,,,25-36,,Offensive rebound by J. Smith
9:06.0,,,25-38,2,J. Smith makes 2-pt shot from 1 ft
9:06.0,Brooklyn full timeout,,25-38,,
9:06.0,B. Lopez enters the game for J. Hamilton,,25-38,,
9:06.0,S. Kilpatrick enters the game for S. Dinwiddie,,25-38,,
8:57.0,Turnover by B. Lopez (traveling),,25-38,,
8:44.0,,,25-38,,J. Smith misses 2-pt shot from 17 ft
8:43.0,Defensive rebound by S. Kilpatrick,,25-38,,
8:29.0,B. Lopez makes 2-pt shot from 1 ft,2,27-38,,
8:06.0,,,27-40,2,T. Burke makes 2-pt shot from 1 ft
7:52.0,C. LeVert makes 2-pt shot at rim,2,29-40,,
7:39.0,,,29-42,2,K. Oubre makes 2-pt shot from 1 ft
7:39.0,,,29-42,,Shooting foul by C. LeVert (drawn by K. Oubre)
7:39.0,,,29-43,1,K. Oubre makes free throw 1 of 1
7:39.0,,,29-42,,J. Wall enters the game for M. Thornton
7:39.0,,,29-42,,M. Morris enters the game for J. Smith
7:24.0,R. Hollis-Jefferson makes 2-pt shot at rim (assist by B. Lopez),2,31-43,,
7:07.0,,,31-43,,T. Satoransky misses 3-pt shot from 26 ft
7:06.0,Defensive rebound by B. Lopez,,31-43,,
6:54.0,,,31-43,,Personal foul by M. Morris (drawn by B. Lopez)
6:54.0,,,31-43,,M. Gortat enters the game for K. Oubre
6:44.0,B. Lopez makes 3-pt shot from 27 ft (assist by R. Foye),3,34-43,,
6:27.0,,,34-45,2,J. Wall makes 2-pt shot from 8 ft
6:08.0,Turnover by B. Lopez (lost ball; steal by T. Satoransky),,34-45,,
5:59.0,,,34-45,,J. Wall misses 3-pt shot from 29 ft
5:58.0,Defensive rebound by B. Lopez,,34-45,,
5:48.0,B. Lopez misses 3-pt shot from 28 ft,,34-45,,
5:47.0,,,34-45,,Defensive rebound by J. Wall
5:44.0,,,34-47,2,J. Wall makes 2-pt shot from 1 ft
5:44.0,,,34-47,,Shooting foul by C. LeVert (drawn by J. Wall)
5:44.0,Official timeout,,34-47,,
5:44.0,,,34-48,1,J. Wall makes free throw 1 of 1
5:44.0,B. Bogdanovic enters the game for C. LeVert,,34-47,,
5:44.0,T. Booker enters the game for R. Hollis-Jefferson,,34-47,,
5:26.0,T. Booker misses 2-pt shot from 1 ft,,34-48,,
5:25.0,Offensive rebound by T. Booker,,34-48,,
5:21.0,T. Booker misses 2-pt shot from 2 ft,,34-48,,
5:20.0,Offensive rebound by B. Lopez,,34-48,,
5:19.0,B. Lopez makes 2-pt shot at rim,2,36-48,,
4:55.0,,,36-51,3,T. Burke makes 3-pt shot from 26 ft (assist by J. Wall)
4:38.0,Shooting foul by M. Morris (drawn by B. Bogdanovic),,36-51,,
4:38.0,B. Bogdanovic makes free throw 1 of 2,1,37-51,,
4:38.0,B. Bogdanovic makes free throw 2 of 2,1,38-51,,
4:38.0,I. Whitehead enters the game for R. Foye,,37-51,,
4:38.0,,,37-51,,O. Porter enters the game for T. Satoransky
4:27.0,,,38-53,2,M. Morris makes 2-pt shot at rim (assist by J. Wall)
4:13.0,Shooting foul by M. Morris (drawn by S. Kilpatrick),,38-53,,
4:13.0,S. Kilpatrick makes free throw 1 of 2,1,39-53,,
4:13.0,S. Kilpatrick makes free throw 2 of 2,1,40-53,,
4:13.0,,,39-53,,J. Smith enters the game for M. Morris
4:00.0,,,40-55,2,T. Burke makes 2-pt shot from 17 ft
3:51.0,T. Booker makes 2-pt shot from 2 ft (assist by I. Whitehead),2,42-55,,
3:35.0,Personal foul by S. Kilpatrick (drawn by M. Gortat),,42-55,,
3:27.0,,,42-55,,Turnover by M. Gortat (bad pass; steal by B. Bogdanovic)
3:20.0,,,42-55,,Personal foul by J. Smith (drawn by T. Booker)
3:17.0,B. Bogdanovic misses 2-pt shot from 2 ft (block by J. Smith),,42-55,,
3:16.0,,,42-55,,Defensive rebound by M. Gortat
3:08.0,,,42-58,3,T. Burke makes 3-pt shot from 23 ft (assist by J. Wall)
2:54.0,B. Bogdanovic misses 2-pt shot from 2 ft (block by J. Smith),,42-58,,
2:52.0,Offensive rebound by T. Booker,,42-58,,
2:42.0,T. Booker makes 2-pt shot from 6 ft,2,44-58,,
2:41.0,Technical foul by T. Booker,,44-58,,
2:41.0,,,44-59,1,J. Wall makes technical free throw
2:41.0,,,44-59,,Washington full timeout
2:28.0,,,44-59,,Turnover by T. Burke (step out of bounds)
2:19.0,Shooting foul by J. Smith (drawn by I. Whitehead),,44-59,,
2:19.0,I. Whitehead misses free throw 1 of 2,,44-59,,
2:19.0,Offensive rebound by Team,,44-59,,
2:19.0,I. Whitehead makes free throw 2 of 2,1,45-59,,
2:19.0,,,44-59,,A. Nicholson enters the game for J. Smith
2:07.0,,,45-59,,Offensive foul by M. Gortat
2:07.0,,,45-59,,Turnover by M. Gortat (offensive foul)
1:59.0,S. Kilpatrick misses 2-pt shot from 1 ft,,45-59,,
1:58.0,,,45-59,,Defensive rebound by A. Nicholson
1:48.0,,,45-61,2,J. Wall makes 2-pt shot from 19 ft
1:36.0,B. Bogdanovic makes 2-pt shot at rim (assist by B. Lopez),2,47-61,,
1:17.0,,,47-64,3,T. Burke makes 3-pt shot from 28 ft (assist by J. Wall)
0:58.0,T. Booker makes 3-pt shot from 24 ft (assist by B. Bogdanovic),3,50-64,,
0:45.0,,,50-66,2,J. Wall makes 2-pt shot from 19 ft
0:34.0,B. Lopez misses 3-pt shot from 23 ft,,50-66,,
0:32.0,Offensive rebound by B. Bogdanovic,,50-66,,
0:30.0,B. Bogdanovic misses 2-pt shot from 1 ft (block by O. Porter),,50-66,,
0:29.0,,,50-66,,Defensive rebound by O. Porter
0:25.0,,,50-66,,Washington full timeout
0:25.0,R. Hollis-Jefferson enters the game for B. Bogdanovic,,50-66,,
0:25.0,,,50-66,,M. Thornton enters the game for O. Porter
0:08.0,,,50-66,,A. Nicholson misses 3-pt shot from 23 ft
0:07.0,Defensive rebound by I. Whitehead,,50-66,,
0:01.0,S. Kilpatrick misses 3-pt shot from 28 ft,,50-66,,
0:00.0,,,50-66,,Defensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,50-68,2,S. Mac makes 2-pt shot from 2 ft (assist by J. Wall)
11:41.0,,,50-68,,Shooting foul by S. Kilpatrick (drawn by S. Mac)
11:41.0,,,50-69,1,S. Mac makes free throw 1 of 1
11:27.0,B. Bogdanovic makes 2-pt shot from 20 ft (assist by I. Whitehead),2,52-69,,
11:12.0,,,52-71,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
10:55.0,Turnover by S. Kilpatrick (bad pass),,52-71,,
10:48.0,Personal foul by I. Whitehead (drawn by J. Wall),,52-71,,
10:41.0,,,52-71,,Shooting foul by T. Booker (drawn by M. Gortat)
10:41.0,,,52-72,1,M. Gortat makes free throw 1 of 2
10:41.0,,,52-72,,M. Gortat misses free throw 2 of 2
10:40.0,Defensive rebound by B. Lopez,,52-72,,
10:26.0,T. Booker makes 3-pt shot from 23 ft (assist by B. Lopez),3,55-72,,
10:09.0,,,55-74,2,M. Gortat makes 2-pt shot at rim (assist by O. Porter)
9:53.0,Turnover by I. Whitehead (traveling),,55-74,,
9:38.0,,,55-74,,Turnover by S. Mac (traveling)
9:24.0,S. Kilpatrick misses 2-pt shot from 13 ft,,55-74,,
9:23.0,,,55-74,,Defensive rebound by M. Gortat
9:08.0,,,55-74,,J. Wall misses 2-pt shot from 18 ft
9:07.0,,,55-74,,Offensive rebound by M. Gortat
9:06.0,,,55-76,2,M. Gortat makes 2-pt shot at rim
8:50.0,I. Whitehead misses 3-pt shot from 28 ft,,55-76,,
8:50.0,,,55-76,,Defensive rebound by M. Gortat
8:39.0,,,55-76,,Turnover by J. Wall (lost ball)
8:23.0,T. Booker makes 2-pt shot from 13 ft (assist by B. Lopez),2,57-76,,
8:03.0,,,57-76,,M. Gortat misses 2-pt shot from 10 ft
8:02.0,Defensive rebound by B. Bogdanovic,,57-76,,
7:51.0,T. Booker makes 3-pt shot from 27 ft (assist by B. Lopez),3,60-76,,
7:38.0,,,60-76,,Turnover by M. Morris (traveling)
7:31.0,I. Whitehead misses 2-pt shot from 5 ft (block by M. Gortat),,60-76,,
7:30.0,,,60-76,,Defensive rebound by M. Gortat
7:24.0,,,60-76,,J. Wall misses 2-pt shot from 1 ft
7:23.0,Defensive rebound by T. Booker,,60-76,,
7:16.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by T. Booker),3,63-76,,
7:13.0,,,63-76,,Washington full timeout
6:55.0,,,63-76,,Turnover by J. Wall (lost ball)
6:44.0,Shooting foul by M. Gortat (drawn by B. Lopez),,63-76,,
6:44.0,B. Lopez makes free throw 1 of 2,1,64-76,,
6:44.0,B. Lopez makes free throw 2 of 2,1,65-76,,
6:30.0,,,65-76,,S. Mac misses 3-pt shot from 26 ft
6:29.0,,,65-76,,Offensive rebound by M. Morris
6:20.0,,,65-78,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
6:02.0,Turnover by B. Lopez (bad pass; steal by J. Wall),,65-78,,
5:58.0,,,65-80,2,O. Porter makes 2-pt shot at rim (assist by J. Wall)
5:57.0,Brooklyn full timeout,,65-80,,
5:57.0,J. Hamilton enters the game for B. Lopez,,65-80,,
5:57.0,C. LeVert enters the game for I. Whitehead,,65-80,,
5:48.0,Offensive foul by S. Kilpatrick,,65-80,,
5:48.0,Turnover by S. Kilpatrick (offensive foul),,65-80,,
5:33.0,,,65-80,,Turnover by J. Wall (bad pass; steal by J. Hamilton)
5:23.0,T. Booker misses 2-pt shot from 17 ft,,65-80,,
5:23.0,,,65-80,,Defensive rebound by M. Gortat
5:13.0,,,65-82,2,M. Gortat makes 2-pt shot from 6 ft (assist by J. Wall)
5:06.0,Offensive charge foul by S. Kilpatrick,,65-82,,
5:06.0,Turnover by S. Kilpatrick (offensive foul),,65-82,,
5:06.0,R. Hollis-Jefferson enters the game for T. Booker,,65-82,,
5:06.0,S. Dinwiddie enters the game for S. Kilpatrick,,65-82,,
4:55.0,,,65-82,,M. Gortat misses 2-pt shot from 13 ft
4:54.0,Defensive rebound by R. Hollis-Jefferson,,65-82,,
4:39.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by S. Dinwiddie),3,68-82,,
4:25.0,,,68-84,2,M. Morris makes 2-pt shot at rim (assist by J. Wall)
4:05.0,R. Hollis-Jefferson misses 2-pt shot from 6 ft,,68-84,,
4:04.0,,,68-84,,Defensive rebound by M. Gortat
3:54.0,,,68-84,,J. Smith enters the game for M. Gortat
3:54.0,,,68-84,,T. Burke enters the game for S. Mac
3:51.0,,,68-86,2,M. Morris makes 2-pt shot from 18 ft (assist by O. Porter)
3:38.0,B. Bogdanovic misses 3-pt shot from 28 ft,,68-86,,
3:37.0,,,68-86,,Defensive rebound by M. Morris
3:20.0,,,68-86,,Turnover by J. Wall (lost ball; steal by C. LeVert)
3:14.0,B. Bogdanovic misses 2-pt shot from 2 ft (block by J. Wall),,68-86,,
3:11.0,,,68-86,,Defensive rebound by T. Burke
3:05.0,,,68-86,,M. Morris misses 3-pt shot from 25 ft
3:04.0,Defensive rebound by J. Hamilton,,68-86,,
2:57.0,Turnover by R. Hollis-Jefferson (bad pass),,68-86,,
2:57.0,R. Foye enters the game for B. Bogdanovic,,68-86,,
2:42.0,,,68-86,,M. Morris misses 2-pt shot from 16 ft
2:42.0,Defensive rebound by Team,,68-86,,
2:29.0,S. Dinwiddie makes 2-pt shot from 22 ft,2,70-86,,
2:17.0,,,70-88,2,J. Wall makes 2-pt shot at rim
2:01.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft,2,72-88,,
1:44.0,,,72-88,,J. Wall misses 3-pt shot from 26 ft
1:43.0,Defensive rebound by R. Hollis-Jefferson,,72-88,,
1:41.0,,,72-88,,Personal foul by M. Morris (drawn by R. Hollis-Jefferson)
1:41.0,,,72-88,,K. Oubre enters the game for M. Morris
1:41.0,B. Lopez enters the game for J. Hamilton,,72-88,,
1:41.0,,,72-88,,M. Thornton enters the game for J. Wall
1:24.0,C. LeVert makes 3-pt shot from 26 ft,3,75-88,,
1:04.0,,,75-88,,T. Burke misses 2-pt shot from 17 ft
1:03.0,Defensive rebound by C. LeVert,,75-88,,
0:54.0,R. Foye misses 3-pt shot from 23 ft,,75-88,,
0:53.0,,,75-88,,Defensive rebound by J. Smith
0:40.0,,,75-91,3,M. Thornton makes 3-pt shot from 26 ft
0:31.0,,,75-91,,Personal foul by J. Smith (drawn by B. Lopez)
0:31.0,B. Lopez makes free throw 1 of 2,1,76-91,,
0:31.0,B. Lopez makes free throw 2 of 2,1,77-91,,
0:12.0,,,77-91,,Turnover by M. Thornton (lost ball)
0:01.0,R. Foye misses 2-pt shot from 22 ft,,77-91,,
0:00.0,,,77-91,,Defensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,Turnover by S. Dinwiddie (bad pass; steal by T. Burke),,77-91,,
11:41.0,Personal take foul by R. Foye (drawn by T. Burke),,77-91,,
11:32.0,,,77-91,,Turnover by J. Smith (bad pass; steal by B. Lopez)
11:28.0,Shooting foul by J. Smith (drawn by C. LeVert),,77-91,,
11:28.0,C. LeVert makes free throw 1 of 2,1,78-91,,
11:28.0,C. LeVert makes free throw 2 of 2,1,79-91,,
11:28.0,,,78-91,,M. Gortat enters the game for J. Smith
11:09.0,,,79-93,2,M. Gortat makes 2-pt shot at rim (assist by M. Thornton)
10:47.0,R. Hollis-Jefferson makes 2-pt shot from 15 ft,2,81-93,,
10:30.0,,,81-95,2,T. Burke makes 2-pt shot from 19 ft
10:08.0,R. Hollis-Jefferson misses 2-pt shot at rim (block by M. Thornton),,81-95,,
10:07.0,,,81-95,,Defensive rebound by M. Gortat
9:55.0,,,81-95,,K. Oubre misses 3-pt shot from 23 ft
9:53.0,Defensive rebound by C. LeVert,,81-95,,
9:41.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft,2,83-95,,
9:41.0,Shooting foul by K. Oubre (drawn by R. Hollis-Jefferson),,83-95,,
9:41.0,R. Hollis-Jefferson misses free throw 1 of 1,,83-95,,
9:40.0,,,83-95,,Defensive rebound by O. Porter
9:27.0,,,83-95,,Washington full timeout
9:15.0,,,83-95,,Turnover by Team (shot clock)
9:02.0,B. Lopez misses 2-pt shot from 7 ft,,83-95,,
9:01.0,,,83-95,,Defensive rebound by M. Gortat
8:51.0,,,83-95,,Shooting foul by C. LeVert (drawn by M. Gortat)
8:51.0,,,83-96,1,M. Gortat makes free throw 1 of 2
8:51.0,,,83-97,1,M. Gortat makes free throw 2 of 2
8:51.0,,,83-96,,J. Wall enters the game for K. Oubre
8:51.0,,,83-96,,S. Mac enters the game for O. Porter
8:38.0,R. Hollis-Jefferson misses 2-pt shot from 17 ft,,83-97,,
8:37.0,,,83-97,,Defensive rebound by M. Gortat
8:26.0,Def 3 sec tech foul by C. LeVert,,83-97,,
8:26.0,,,83-98,1,J. Wall makes technical free throw
8:21.0,,,83-100,2,M. Thornton makes 2-pt shot from 5 ft (assist by T. Burke)
8:07.0,C. LeVert makes 2-pt shot from 15 ft,2,85-100,,
7:47.0,,,85-100,,M. Thornton misses 2-pt shot from 19 ft
7:46.0,Defensive rebound by C. LeVert,,85-100,,
7:26.0,B. Lopez misses 3-pt shot from 24 ft,,85-100,,
7:26.0,,,85-100,,Defensive rebound by M. Thornton
7:15.0,,,85-100,,J. Wall misses 2-pt shot from 2 ft
7:14.0,Defensive rebound by R. Hollis-Jefferson,,85-100,,
7:11.0,,,85-100,,Shooting block foul by M. Thornton (drawn by R. Foye)
7:11.0,R. Foye makes free throw 1 of 2,1,86-100,,
7:11.0,R. Foye makes free throw 2 of 2,1,87-100,,
7:11.0,I. Whitehead enters the game for S. Dinwiddie,,86-100,,
6:52.0,,,87-103,3,S. Mac makes 3-pt shot from 25 ft (assist by M. Thornton)
6:33.0,Turnover by R. Hollis-Jefferson (bad pass),,87-103,,
6:18.0,,,87-103,,J. Wall misses 2-pt shot from 1 ft
6:18.0,Defensive rebound by Team,,87-103,,
6:07.0,I. Whitehead misses 3-pt shot from 25 ft,,87-103,,
6:06.0,,,87-103,,Defensive rebound by M. Gortat
5:48.0,Def 3 sec tech foul by B. Lopez,,87-103,,
5:48.0,Official timeout,,87-103,,
5:48.0,,,87-104,1,J. Wall makes technical free throw
5:41.0,,,87-104,,Shooting foul by B. Lopez (drawn by S. Mac)
5:41.0,,,87-105,1,S. Mac makes free throw 1 of 2
5:41.0,,,87-106,1,S. Mac makes free throw 2 of 2
5:31.0,Turnover by R. Foye (bad pass; steal by J. Wall),,87-106,,
5:19.0,,,87-106,,Turnover by J. Wall (bad pass; steal by I. Whitehead)
5:17.0,,,87-106,,Personal take foul by M. Thornton (drawn by I. Whitehead)
5:17.0,S. Dinwiddie enters the game for C. LeVert,,87-106,,
5:17.0,J. Hamilton enters the game for B. Lopez,,87-106,,
4:58.0,R. Hollis-Jefferson misses 2-pt shot from 17 ft,,87-106,,
4:57.0,,,87-106,,Defensive rebound by T. Burke
4:44.0,,,87-108,2,T. Burke makes 2-pt shot from 20 ft (assist by J. Wall)
4:42.0,Brooklyn full timeout,,87-108,,
4:41.0,,,87-108,,J. Smith enters the game for M. Gortat
4:41.0,,,87-108,,T. Satoransky enters the game for J. Wall
4:29.0,J. Hamilton makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,89-108,,
4:10.0,,,89-108,,T. Burke misses 2-pt shot from 20 ft
4:09.0,Defensive rebound by J. Hamilton,,89-108,,
4:05.0,Shooting foul by T. Satoransky (drawn by R. Foye),,89-108,,
4:05.0,R. Foye makes free throw 1 of 2,1,90-108,,
4:05.0,R. Foye makes free throw 2 of 2,1,91-108,,
3:56.0,Personal foul by S. Dinwiddie (drawn by S. Mac),,91-108,,
3:43.0,,,91-111,3,M. Thornton makes 3-pt shot from 26 ft (assist by T. Burke)
3:30.0,Turnover by J. Hamilton (lost ball; steal by S. Mac),,91-111,,
3:10.0,,,91-111,,S. Mac misses 2-pt shot from 1 ft
3:10.0,Defensive rebound by J. Hamilton,,91-111,,
3:01.0,R. Foye misses 2-pt shot from 20 ft,,91-111,,
3:00.0,,,91-111,,Defensive rebound by J. Smith
