time,Boston,pts.away,score,pts.home,New York
9:16.0,,,39-28,,Shooting foul by K. Olynyk (drawn by K. O'Quinn)
9:16.0,,,39-29,1,K. O'Quinn makes free throw 1 of 2
9:16.0,,,39-30,1,K. O'Quinn makes free throw 2 of 2
9:16.0,,,39-29,,R. Baker enters the game for C. Randle
9:04.0,K. Olynyk makes 2-pt shot from 1 ft,2,41-30,,
9:04.0,,,41-30,,New York full timeout
8:51.0,,,41-30,,Turnover by K. O'Quinn (bad pass; steal by K. Olynyk)
8:34.0,Shooting foul by K. O'Quinn (drawn by J. Crowder),,41-30,,
8:34.0,J. Crowder misses free throw 1 of 3,,41-30,,
8:34.0,Offensive rebound by Team,,41-30,,
8:34.0,J. Crowder makes free throw 2 of 3,1,42-30,,
8:34.0,J. Crowder makes free throw 3 of 3,1,43-30,,
8:34.0,A. Johnson enters the game for K. Olynyk,,42-30,,
8:25.0,Personal foul by J. Brown (drawn by S. Vujacic),,43-30,,
8:18.0,,,43-30,,J. Holiday misses 3-pt shot from 25 ft
8:15.0,Defensive rebound by J. Jerebko,,43-30,,
8:06.0,J. Crowder misses 2-pt shot from 22 ft,,43-30,,
8:04.0,,,43-30,,Defensive rebound by R. Baker
7:52.0,,,43-32,2,K. O'Quinn makes 2-pt shot from 2 ft
7:29.0,T. Rozier makes 2-pt shot from 22 ft,2,45-32,,
7:11.0,,,45-32,,J. Holiday misses 3-pt shot from 25 ft
7:09.0,,,45-32,,Offensive rebound by K. O'Quinn
6:53.0,,,45-32,,K. O'Quinn misses 2-pt shot from 3 ft
6:51.0,,,45-32,,Offensive rebound by S. Vujacic
6:48.0,,,45-32,,S. Vujacic misses 2-pt shot from 5 ft
6:47.0,Defensive rebound by Team,,45-32,,
6:47.0,,,45-32,,K. Porzingis enters the game for M. Kuzminskas
6:47.0,,,45-32,,W. Hernangomez enters the game for K. O'Quinn
6:47.0,A. Horford enters the game for J. Jerebko,,45-32,,
6:28.0,J. Crowder makes 3-pt shot from 26 ft (assist by J. Brown),3,48-32,,
6:02.0,,,48-32,,Turnover by S. Vujacic (bad pass; steal by J. Crowder)
5:57.0,,,48-32,,Personal foul by R. Baker (drawn by T. Rozier)
5:57.0,Official timeout,,48-32,,
5:57.0,T. Rozier makes free throw 1 of 2,1,49-32,,
5:57.0,T. Rozier makes free throw 2 of 2,1,50-32,,
5:57.0,,,48-32,,C. Lee enters the game for R. Baker
5:40.0,,,50-34,2,K. Porzingis makes 2-pt shot from 14 ft
5:17.0,J. Crowder misses 3-pt shot from 25 ft,,50-34,,
5:15.0,,,50-34,,Defensive rebound by S. Vujacic
5:08.0,,,50-34,,S. Vujacic misses 2-pt shot from 22 ft
5:07.0,,,50-34,,Offensive rebound by Team
5:07.0,Loose ball foul by T. Rozier (drawn by K. Porzingis),,50-34,,
5:07.0,I. Thomas enters the game for T. Rozier,,50-34,,
5:00.0,,,50-36,2,C. Lee makes 2-pt shot from 12 ft (assist by W. Hernangomez)
4:44.0,A. Horford misses 3-pt shot from 25 ft,,50-36,,
4:42.0,,,50-36,,Defensive rebound by J. Holiday
4:29.0,,,50-36,,Shooting foul by A. Johnson (drawn by K. Porzingis)
4:29.0,,,50-37,1,K. Porzingis makes free throw 1 of 2
4:29.0,,,50-37,,K. Porzingis misses free throw 2 of 2
4:29.0,J. Jerebko enters the game for A. Johnson,,50-37,,
4:29.0,M. Smart enters the game for J. Brown,,50-37,,
4:26.0,Defensive rebound by A. Horford,,50-37,,
4:10.0,I. Thomas makes 3-pt shot from 25 ft (assist by J. Jerebko),3,53-37,,
3:57.0,,,53-39,2,W. Hernangomez makes 2-pt shot from 2 ft (assist by S. Vujacic)
3:32.0,M. Smart makes 2-pt shot from 16 ft,2,55-39,,
3:16.0,,,55-39,,C. Lee misses 2-pt shot from 19 ft
3:15.0,,,55-39,,Offensive rebound by Team
3:13.0,,,55-39,,K. Porzingis misses 2-pt shot from 16 ft
3:11.0,Defensive rebound by J. Crowder,,55-39,,
3:07.0,J. Jerebko makes 2-pt shot from 1 ft,2,57-39,,
2:52.0,,,57-39,,K. Porzingis misses 2-pt shot from 11 ft
2:51.0,Defensive rebound by Team,,57-39,,
2:51.0,Boston full timeout,,57-39,,
2:51.0,,,57-39,,M. Plumlee enters the game for W. Hernangomez
2:51.0,J. Brown enters the game for J. Crowder,,57-39,,
2:33.0,J. Jerebko misses 3-pt shot from 27 ft,,57-39,,
2:31.0,,,57-39,,Defensive rebound by C. Lee
2:15.0,,,57-39,,S. Vujacic misses 3-pt shot from 25 ft
2:13.0,Defensive rebound by J. Jerebko,,57-39,,
2:04.0,Turnover by I. Thomas (bad pass; steal by C. Lee),,57-39,,
2:03.0,Personal foul by J. Brown (drawn by C. Lee),,57-39,,
2:03.0,,,57-40,1,C. Lee makes free throw 1 of 2
2:03.0,,,57-41,1,C. Lee makes free throw 2 of 2
1:49.0,M. Smart makes 2-pt shot from 2 ft (assist by A. Horford),2,59-41,,
1:49.0,Shooting foul by K. Porzingis (drawn by M. Smart),,59-41,,
1:49.0,M. Smart makes free throw 1 of 1,1,60-41,,
1:33.0,,,60-41,,J. Holiday misses 2-pt shot from 19 ft
1:31.0,,,60-41,,Offensive rebound by S. Vujacic
1:27.0,,,60-41,,C. Lee misses 3-pt shot from 25 ft
1:25.0,,,60-41,,Offensive rebound by C. Lee
1:13.0,,,60-41,,C. Lee misses 2-pt shot from 14 ft
1:12.0,Defensive rebound by A. Horford,,60-41,,
1:05.0,I. Thomas misses 3-pt shot from 28 ft,,60-41,,
1:03.0,,,60-41,,Defensive rebound by K. Porzingis
0:56.0,,,60-44,3,S. Vujacic makes 3-pt shot from 25 ft
0:41.0,A. Horford misses 3-pt shot from 24 ft,,60-44,,
0:39.0,,,60-44,,Defensive rebound by S. Vujacic
0:35.0,,,60-47,3,J. Holiday makes 3-pt shot from 25 ft (assist by S. Vujacic)
0:30.0,M. Smart misses 3-pt shot from 27 ft,,60-47,,
0:28.0,,,60-47,,Defensive rebound by S. Vujacic
0:05.0,,,60-47,,M. Plumlee misses 2-pt shot from 5 ft
0:04.0,Defensive rebound by A. Horford,,60-47,,
0:03.0,Boston full timeout,,60-47,,
0:03.0,T. Rozier enters the game for J. Brown,,60-47,,
0:02.0,Turnover by M. Smart (bad pass; steal by J. Holiday),,60-47,,
0:00.0,,,60-47,,J. Holiday misses 3-pt shot from 48 ft
0:00.0,,,60-47,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,60-49,2,K. Porzingis makes 2-pt shot at rim (assist by W. Hernangomez)
11:33.0,,,60-49,,Personal foul by W. Hernangomez (drawn by A. Horford)
11:27.0,Boston full timeout,,60-49,,
11:22.0,J. Crowder misses 2-pt shot from 18 ft,,60-49,,
11:21.0,,,60-49,,Defensive rebound by W. Hernangomez
11:11.0,,,60-49,,Turnover by W. Hernangomez (traveling)
10:50.0,A. Horford makes 2-pt shot from 5 ft,2,62-49,,
10:33.0,,,62-49,,K. Porzingis misses 2-pt shot from 13 ft
10:32.0,Defensive rebound by J. Brown,,62-49,,
10:24.0,I. Thomas makes 3-pt shot from 24 ft,3,65-49,,
10:04.0,,,65-51,2,K. Porzingis makes 2-pt shot from 9 ft (assist by C. Lee)
9:53.0,A. Horford makes 2-pt shot at rim,2,67-51,,
9:36.0,,,67-53,2,K. Porzingis makes 2-pt shot from 15 ft (assist by C. Lee)
9:20.0,Turnover by A. Johnson (lost ball; steal by W. Hernangomez),,67-53,,
9:15.0,,,67-55,2,C. Lee makes 2-pt shot from 1 ft (assist by R. Baker)
