time,Minnesota,pts.away,score,pts.home,Houston
6:54.0,S. Muhammad makes 2-pt shot from 3 ft,2,99-107,,
6:41.0,A. Wiggins enters the game for K. Dunn,,99-107,,
6:41.0,G. Dieng enters the game for K. Towns,,99-107,,
6:37.0,,,99-110,3,J. Harden makes 3-pt shot from 25 ft (assist by C. Capela)
6:15.0,A. Wiggins misses 2-pt shot from 1 ft,,99-110,,
6:14.0,,,99-110,,Defensive rebound by J. Harden
6:06.0,,,99-110,,E. Gordon misses 3-pt shot from 24 ft
6:05.0,,,99-110,,Offensive rebound by T. Ariza
6:01.0,,,99-113,3,E. Gordon makes 3-pt shot from 23 ft (assist by T. Ariza)
6:00.0,Minnesota full timeout,,99-113,,
6:00.0,,,99-113,,R. Anderson enters the game for P. Beverley
5:51.0,Turnover by T. Jones (bad pass; steal by J. Harden),,99-113,,
5:46.0,,,99-115,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
5:29.0,S. Muhammad misses 2-pt shot from 7 ft (block by C. Capela),,99-115,,
5:28.0,,,99-115,,Defensive rebound by E. Gordon
5:21.0,,,99-115,,E. Gordon misses 3-pt shot from 25 ft
5:20.0,,,99-115,,Offensive rebound by E. Gordon
5:17.0,,,99-118,3,J. Harden makes 3-pt shot from 25 ft (assist by E. Gordon)
5:15.0,Minnesota full timeout,,99-118,,
5:15.0,K. Dunn enters the game for A. Wiggins,,99-118,,
5:15.0,A. Payne enters the game for G. Dieng,,99-118,,
5:15.0,C. Aldrich enters the game for O. Casspi,,99-118,,
5:15.0,,,99-118,,L. Williams enters the game for E. Gordon
5:00.0,K. Dunn misses 2-pt shot from 19 ft,,99-118,,
4:59.0,,,99-118,,Defensive rebound by J. Harden
4:43.0,,,99-118,,R. Anderson misses 3-pt shot from 25 ft
4:42.0,Defensive rebound by T. Jones,,99-118,,
4:30.0,T. Jones makes 3-pt shot from 24 ft (assist by K. Dunn),3,102-118,,
4:18.0,,,102-120,2,C. Capela makes 2-pt shot at rim (assist by L. Williams)
4:05.0,S. Muhammad makes 2-pt shot from 1 ft (assist by K. Dunn),2,104-120,,
3:54.0,,,104-120,,L. Williams misses 3-pt shot from 25 ft
3:53.0,Defensive rebound by K. Dunn,,104-120,,
3:38.0,T. Jones makes 3-pt shot from 25 ft (assist by K. Dunn),3,107-120,,
