time,Atlanta,pts.away,score,pts.home,Houston
3:40.0,,,15-19,,Personal foul by N. Hilario (drawn by P. Millsap)
3:34.0,P. Millsap makes 2-pt shot from 9 ft,2,17-19,,
3:25.0,,,17-19,,T. Ariza misses 3-pt shot from 27 ft
3:23.0,Defensive rebound by M. Muscala,,17-19,,
3:12.0,M. Dunleavy makes 3-pt shot from 23 ft (assist by P. Millsap),3,20-19,,
3:00.0,,,20-21,2,N. Hilario makes 2-pt shot at rim (assist by J. Harden)
2:44.0,P. Millsap makes 3-pt shot from 25 ft (assist by M. Delaney),3,23-21,,
2:43.0,,,23-21,,Houston full timeout
2:43.0,,,23-21,,C. Capela enters the game for N. Hilario
2:36.0,,,23-23,2,C. Capela makes 2-pt shot from 3 ft
2:36.0,Shooting block foul by M. Muscala (drawn by C. Capela),,23-23,,
2:36.0,,,23-24,1,C. Capela makes free throw 1 of 1
2:21.0,Turnover by P. Millsap (bad pass; steal by C. Capela),,23-24,,
2:14.0,,,23-24,,J. Harden misses 3-pt shot from 26 ft
2:12.0,Defensive rebound by M. Muscala,,23-24,,
1:59.0,P. Millsap misses 3-pt shot from 26 ft,,23-24,,
1:58.0,,,23-24,,Defensive rebound by C. Capela
1:47.0,,,23-26,2,C. Capela makes 2-pt shot from 3 ft (assist by E. Gordon)
1:28.0,M. Muscala misses 3-pt shot from 25 ft,,23-26,,
1:27.0,,,23-26,,Defensive rebound by J. Harden
1:19.0,,,23-29,3,J. Harden makes 3-pt shot from 25 ft
1:06.0,,,23-29,,Personal foul by J. Harden (drawn by P. Millsap)
1:06.0,,,23-29,,C. Brewer enters the game for T. Ariza
0:58.0,M. Muscala makes 2-pt shot at rim (assist by M. Dunleavy),2,25-29,,
0:51.0,,,25-29,,Shooting foul by D. Bembry (drawn by J. Harden)
0:51.0,,,25-30,1,J. Harden makes free throw 1 of 3
0:51.0,,,25-31,1,J. Harden makes free throw 2 of 3
0:51.0,,,25-32,1,J. Harden makes free throw 3 of 3
0:31.0,M. Muscala misses 3-pt shot from 26 ft,,25-32,,
0:30.0,,,25-32,,Defensive rebound by Team
0:26.0,,,25-32,,J. Harden misses 3-pt shot from 26 ft
0:24.0,Defensive rebound by D. Bembry,,25-32,,
0:03.0,M. Delaney misses 2-pt shot from 22 ft,,25-32,,
0:02.0,Offensive rebound by M. Muscala,,25-32,,
0:02.0,Shooting foul by C. Brewer (drawn by M. Muscala),,25-32,,
0:02.0,M. Muscala misses free throw 1 of 2,,25-32,,
0:02.0,Offensive rebound by Team,,25-32,,
0:02.0,M. Muscala makes free throw 2 of 2,1,26-32,,
0:02.0,T. Hardaway enters the game for P. Millsap,,25-32,,
0:00.0,,,26-32,,J. Harden misses 3-pt shot from 44 ft
0:00.0,,,26-32,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,26-32,,S. Dekker misses 3-pt shot from 26 ft
11:40.0,Defensive rebound by T. Hardaway,,26-32,,
11:28.0,M. Delaney makes 2-pt shot from 7 ft,2,28-32,,
11:20.0,Personal foul by T. Hardaway (drawn by C. Brewer),,28-32,,
11:14.0,,,28-32,,P. Beverley misses 3-pt shot from 25 ft
11:13.0,Defensive rebound by D. Howard,,28-32,,
11:03.0,D. Howard misses 2-pt shot from 5 ft,,28-32,,
11:02.0,,,28-32,,Defensive rebound by S. Dekker
10:52.0,,,28-32,,Turnover by S. Dekker (bad pass; steal by M. Dunleavy)
10:52.0,,,28-32,,Personal foul by N. Hilario (drawn by M. Dunleavy)
10:38.0,Offensive foul by M. Delaney,,28-32,,
10:38.0,Turnover by M. Delaney (offensive foul),,28-32,,
10:29.0,,,28-32,,E. Gordon misses 3-pt shot from 27 ft
10:28.0,Defensive rebound by M. Muscala,,28-32,,
10:11.0,M. Delaney misses 2-pt shot from 4 ft (block by N. Hilario),,28-32,,
10:07.0,Offensive rebound by D. Howard,,28-32,,
10:04.0,D. Howard makes 2-pt shot from 1 ft,2,30-32,,
9:54.0,Violation by D. Howard (def goaltending),,30-32,,
9:54.0,,,30-34,2,S. Dekker makes 2-pt shot from 5 ft (assist by P. Beverley)
9:42.0,Turnover by Team (back court),,30-34,,
9:31.0,,,30-34,,E. Gordon misses 3-pt shot from 25 ft
9:30.0,Defensive rebound by T. Hardaway,,30-34,,
9:27.0,Turnover by T. Hardaway (bad pass),,30-34,,
9:13.0,,,30-34,,S. Dekker misses 2-pt shot from 11 ft
9:12.0,Defensive rebound by D. Howard,,30-34,,
9:06.0,T. Hardaway makes 2-pt shot from 2 ft (assist by D. Howard),2,32-34,,
8:53.0,Def 3 sec tech foul by D. Howard,,32-34,,
8:53.0,Official timeout,,32-34,,
8:53.0,,,32-34,,E. Gordon misses technical free throw
8:53.0,,,32-34,,Offensive rebound by Team
8:53.0,,,32-34,,R. Anderson enters the game for S. Dekker
8:43.0,,,32-34,,P. Beverley misses 3-pt shot from 26 ft
8:42.0,Defensive rebound by T. Hardaway,,32-34,,
8:26.0,M. Muscala makes 2-pt shot from 18 ft (assist by T. Hardaway),2,34-34,,
8:11.0,,,34-34,,C. Brewer misses 3-pt shot from 22 ft
8:10.0,Defensive rebound by D. Howard,,34-34,,
8:02.0,T. Hardaway misses 3-pt shot from 26 ft,,34-34,,
8:00.0,,,34-34,,Defensive rebound by N. Hilario
7:49.0,,,34-34,,R. Anderson misses 3-pt shot from 24 ft
7:48.0,Defensive rebound by D. Howard,,34-34,,
7:34.0,M. Delaney misses 3-pt shot from 26 ft,,34-34,,
7:33.0,,,34-34,,Defensive rebound by P. Beverley
7:24.0,,,34-34,,R. Anderson misses 3-pt shot from 28 ft
7:23.0,Defensive rebound by D. Howard,,34-34,,
7:12.0,Shooting foul by E. Gordon (drawn by T. Hardaway),,34-34,,
7:12.0,T. Hardaway misses free throw 1 of 2,,34-34,,
7:12.0,Offensive rebound by Team,,34-34,,
7:12.0,T. Hardaway makes free throw 2 of 2,1,35-34,,
7:12.0,P. Millsap enters the game for M. Dunleavy,,34-34,,
7:12.0,D. Schroder enters the game for M. Muscala,,34-34,,
7:12.0,K. Bazemore enters the game for M. Delaney,,34-34,,
7:12.0,,,34-34,,T. Ariza enters the game for E. Gordon
7:12.0,,,34-34,,J. Harden enters the game for C. Brewer
6:58.0,,,35-36,2,N. Hilario makes 2-pt shot at rim (assist by J. Harden)
6:41.0,T. Hardaway makes 2-pt shot from 21 ft,2,37-36,,
6:25.0,,,37-39,3,P. Beverley makes 3-pt shot from 24 ft (assist by T. Ariza)
6:24.0,Atlanta full timeout,,37-39,,
6:11.0,D. Howard makes 2-pt shot at rim (assist by P. Millsap),2,39-39,,
5:55.0,,,39-39,,Turnover by J. Harden (bad pass; steal by P. Millsap)
5:48.0,Shooting foul by N. Hilario (drawn by P. Millsap),,39-39,,
5:48.0,P. Millsap makes free throw 1 of 2,1,40-39,,
5:48.0,P. Millsap makes free throw 2 of 2,1,41-39,,
5:48.0,,,40-39,,C. Capela enters the game for N. Hilario
5:32.0,,,41-41,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
5:16.0,Turnover by K. Bazemore (lost ball),,41-41,,
5:16.0,M. Muscala enters the game for D. Howard,,41-41,,
5:02.0,,,41-41,,J. Harden misses 2-pt shot from 7 ft
5:01.0,,,41-41,,Offensive rebound by Team
5:01.0,M. Dunleavy enters the game for T. Hardaway,,41-41,,
4:45.0,,,41-43,2,R. Anderson makes 2-pt shot from 21 ft
4:27.0,D. Schroder misses 3-pt shot from 26 ft,,41-43,,
4:26.0,,,41-43,,Defensive rebound by J. Harden
4:06.0,,,41-43,,R. Anderson misses 2-pt shot from 6 ft
4:05.0,Defensive rebound by M. Muscala,,41-43,,
3:56.0,M. Dunleavy makes 3-pt shot from 26 ft (assist by D. Schroder),3,44-43,,
3:44.0,,,44-43,,Shooting foul by M. Dunleavy (drawn by J. Harden)
3:44.0,,,44-43,,J. Harden misses free throw 1 of 2
3:44.0,,,44-43,,Offensive rebound by Team
3:44.0,,,44-44,1,J. Harden makes free throw 2 of 2
3:44.0,,,44-43,,E. Gordon enters the game for P. Beverley
3:35.0,Turnover by D. Schroder (bad pass; steal by T. Ariza),,44-44,,
3:28.0,,,44-44,,Shooting foul by M. Muscala (drawn by C. Capela)
3:28.0,,,44-45,1,C. Capela makes free throw 1 of 2
3:28.0,,,44-45,,C. Capela misses free throw 2 of 2
3:28.0,Defensive rebound by P. Millsap,,44-45,,
3:11.0,M. Muscala misses 3-pt shot from 26 ft,,44-45,,
3:10.0,,,44-45,,Defensive rebound by E. Gordon
2:56.0,,,44-45,,T. Ariza misses 3-pt shot from 25 ft
2:55.0,,,44-45,,Offensive rebound by C. Capela
2:50.0,,,44-45,,C. Capela misses 2-pt shot from 4 ft (block by M. Muscala)
2:48.0,Defensive rebound by M. Muscala,,44-45,,
2:47.0,,,44-45,,Houston full timeout
2:36.0,Shooting foul by R. Anderson (drawn by P. Millsap),,44-45,,
2:36.0,P. Millsap makes free throw 1 of 2,1,45-45,,
2:36.0,P. Millsap misses free throw 2 of 2,,45-45,,
2:36.0,,,45-45,,Defensive rebound by J. Harden
2:36.0,D. Howard enters the game for M. Muscala,,45-45,,
2:22.0,,,45-47,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
2:09.0,Turnover by D. Schroder (traveling),,45-47,,
2:09.0,M. Muscala enters the game for P. Millsap,,45-47,,
1:58.0,,,45-47,,Offensive foul by E. Gordon
1:58.0,,,45-47,,Turnover by E. Gordon (offensive foul)
1:58.0,T. Hardaway enters the game for D. Schroder,,45-47,,
1:46.0,M. Dunleavy misses 3-pt shot from 26 ft,,45-47,,
1:45.0,,,45-47,,Defensive rebound by E. Gordon
1:36.0,,,45-47,,E. Gordon misses 3-pt shot from 25 ft
1:35.0,Defensive rebound by M. Dunleavy,,45-47,,
1:17.0,Turnover by K. Bazemore (bad pass; steal by E. Gordon),,45-47,,
1:10.0,,,45-47,,R. Anderson misses 3-pt shot from 25 ft
1:08.0,,,45-47,,Offensive rebound by C. Capela
1:03.0,,,45-50,3,R. Anderson makes 3-pt shot from 23 ft (assist by E. Gordon)
0:48.0,M. Muscala makes 2-pt shot from 4 ft (assist by K. Bazemore),2,47-50,,
0:36.0,,,47-50,,E. Gordon misses 3-pt shot from 26 ft
0:35.0,Defensive rebound by D. Howard,,47-50,,
0:22.0,Turnover by T. Hardaway (bad pass; steal by T. Ariza),,47-50,,
0:01.0,,,47-50,,J. Harden misses 2-pt shot from 9 ft
0:00.0,,,47-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,47-50,,Shooting foul by T. Hardaway (drawn by J. Harden)
11:43.0,,,47-50,,J. Harden misses free throw 1 of 2
11:43.0,,,47-50,,Offensive rebound by Team
11:43.0,,,47-51,1,J. Harden makes free throw 2 of 2
11:29.0,K. Bazemore makes 2-pt shot from 21 ft (assist by D. Howard),2,49-51,,
11:13.0,,,49-54,3,J. Harden makes 3-pt shot from 25 ft
10:47.0,D. Schroder makes 2-pt shot from 15 ft (assist by T. Hardaway),2,51-54,,
10:37.0,,,51-57,3,J. Harden makes 3-pt shot from 25 ft
10:27.0,D. Schroder misses 2-pt shot from 2 ft,,51-57,,
10:26.0,Offensive rebound by D. Howard,,51-57,,
10:26.0,D. Howard makes 2-pt shot at rim,2,53-57,,
10:12.0,,,53-59,2,J. Harden makes 2-pt shot from 2 ft
10:02.0,Turnover by P. Millsap (bad pass; steal by J. Harden),,53-59,,
9:56.0,,,53-62,3,J. Harden makes 3-pt shot from 30 ft
9:56.0,Atlanta full timeout,,53-62,,
9:47.0,,,53-62,,Def 3 sec tech foul by C. Capela
9:47.0,D. Schroder makes technical free throw,1,54-62,,
9:39.0,P. Millsap misses 3-pt shot from 23 ft,,54-62,,
9:38.0,,,54-62,,Defensive rebound by P. Beverley
9:30.0,,,54-62,,Shooting foul by P. Millsap (drawn by C. Capela)
9:30.0,,,54-63,1,C. Capela makes free throw 1 of 2
9:30.0,,,54-64,1,C. Capela makes free throw 2 of 2
9:18.0,T. Hardaway makes 2-pt shot from 9 ft (assist by D. Schroder),2,56-64,,
8:56.0,,,56-64,,T. Ariza misses 3-pt shot from 27 ft
8:55.0,Defensive rebound by K. Bazemore,,56-64,,
8:49.0,K. Bazemore misses 3-pt shot from 25 ft,,56-64,,
8:48.0,,,56-64,,Defensive rebound by C. Capela
8:41.0,,,56-64,,J. Harden misses 3-pt shot from 25 ft
8:40.0,Defensive rebound by D. Howard,,56-64,,
8:22.0,T. Hardaway misses 3-pt shot from 26 ft,,56-64,,
8:21.0,,,56-64,,Defensive rebound by J. Harden
8:14.0,,,56-67,3,P. Beverley makes 3-pt shot from 23 ft (assist by T. Ariza)
8:00.0,K. Bazemore misses 2-pt shot from 4 ft,,56-67,,
7:59.0,Offensive rebound by D. Howard,,56-67,,
7:58.0,D. Howard makes 2-pt shot from 2 ft,2,58-67,,
7:50.0,,,58-67,,P. Beverley misses 3-pt shot from 25 ft
7:49.0,Defensive rebound by D. Howard,,58-67,,
7:39.0,D. Schroder misses 3-pt shot from 26 ft,,58-67,,
7:38.0,,,58-67,,Defensive rebound by P. Beverley
7:37.0,,,58-67,,Shooting foul by D. Schroder (drawn by J. Harden)
7:37.0,,,58-68,1,J. Harden makes free throw 1 of 2
7:37.0,,,58-69,1,J. Harden makes free throw 2 of 2
7:25.0,Shooting foul by J. Harden (drawn by D. Howard),,58-69,,
7:25.0,D. Howard misses free throw 1 of 2,,58-69,,
7:25.0,Offensive rebound by Team,,58-69,,
7:25.0,D. Howard makes free throw 2 of 2,1,59-69,,
7:06.0,,,59-69,,Shooting foul by D. Schroder (drawn by P. Beverley)
7:06.0,,,59-69,,P. Beverley misses free throw 1 of 2
7:06.0,,,59-69,,Offensive rebound by Team
7:06.0,,,59-70,1,P. Beverley makes free throw 2 of 2
6:55.0,Shooting foul by R. Anderson (drawn by P. Millsap),,59-70,,
6:55.0,P. Millsap makes free throw 1 of 2,1,60-70,,
6:55.0,P. Millsap makes free throw 2 of 2,1,61-70,,
6:43.0,,,61-70,,T. Ariza misses 3-pt shot from 24 ft
6:42.0,,,61-70,,Offensive rebound by C. Capela
6:38.0,,,61-72,2,C. Capela makes 2-pt shot from 2 ft
6:23.0,D. Schroder misses 2-pt shot from 3 ft (block by C. Capela),,61-72,,
6:22.0,Offensive rebound by D. Howard,,61-72,,
6:22.0,D. Howard makes 2-pt shot from 2 ft,2,63-72,,
6:22.0,Shooting foul by J. Harden (drawn by D. Howard),,63-72,,
6:22.0,D. Howard makes free throw 1 of 1,1,64-72,,
6:22.0,,,63-72,,E. Gordon enters the game for P. Beverley
6:04.0,,,64-72,,Turnover by C. Capela (lost ball; steal by D. Howard)
6:04.0,,,64-72,,Loose ball foul by R. Anderson (drawn by P. Millsap)
6:04.0,,,64-72,,N. Hilario enters the game for C. Capela
5:55.0,D. Schroder misses 2-pt shot from 18 ft,,64-72,,
5:53.0,,,64-72,,Defensive rebound by N. Hilario
5:41.0,,,64-72,,E. Gordon misses 3-pt shot from 23 ft
5:40.0,Defensive rebound by D. Schroder,,64-72,,
5:32.0,Turnover by D. Howard (traveling),,64-72,,
5:19.0,,,64-72,,E. Gordon misses 3-pt shot from 26 ft
5:18.0,Defensive rebound by T. Hardaway,,64-72,,
5:08.0,K. Bazemore misses 3-pt shot from 25 ft,,64-72,,
5:06.0,,,64-72,,Defensive rebound by T. Ariza
4:55.0,,,64-72,,T. Ariza misses 3-pt shot from 23 ft
4:54.0,,,64-72,,Offensive rebound by J. Harden
4:45.0,,,64-74,2,J. Harden makes 2-pt shot from 15 ft
4:33.0,D. Schroder misses 2-pt shot from 7 ft,,64-74,,
4:33.0,,,64-74,,Defensive rebound by E. Gordon
4:33.0,Loose ball foul by D. Schroder (drawn by E. Gordon),,64-74,,
4:33.0,,,64-75,1,E. Gordon makes free throw 1 of 2
4:33.0,,,64-76,1,E. Gordon makes free throw 2 of 2
4:33.0,M. Delaney enters the game for T. Hardaway,,64-75,,
4:33.0,D. Bembry enters the game for K. Bazemore,,64-75,,
4:33.0,M. Dunleavy enters the game for D. Schroder,,64-75,,
4:33.0,,,64-75,,S. Dekker enters the game for R. Anderson
4:17.0,D. Howard misses 2-pt shot from 9 ft,,64-76,,
4:16.0,,,64-76,,Defensive rebound by T. Ariza
4:08.0,,,64-76,,J. Harden misses 3-pt shot from 25 ft
4:07.0,Defensive rebound by D. Howard,,64-76,,
4:00.0,Turnover by M. Delaney (bad pass; steal by J. Harden),,64-76,,
4:00.0,Personal foul by P. Millsap (drawn by J. Harden),,64-76,,
4:00.0,,,64-77,1,J. Harden makes free throw 1 of 2
4:00.0,,,64-77,,J. Harden misses free throw 2 of 2
4:00.0,M. Muscala enters the game for D. Howard,,64-77,,
3:59.0,,,64-77,,Offensive rebound by Team
3:49.0,,,64-77,,S. Dekker misses 3-pt shot from 25 ft
3:47.0,,,64-77,,Offensive rebound by J. Harden
3:44.0,,,64-80,3,T. Ariza makes 3-pt shot from 25 ft
3:28.0,P. Millsap makes 2-pt shot from 10 ft,2,66-80,,
3:16.0,,,66-80,,Turnover by J. Harden (bad pass; steal by P. Millsap)
3:13.0,Shooting foul by S. Dekker (drawn by P. Millsap),,66-80,,
3:13.0,P. Millsap makes free throw 1 of 2,1,67-80,,
3:13.0,P. Millsap makes free throw 2 of 2,1,68-80,,
3:00.0,,,68-80,,E. Gordon misses 2-pt shot from 3 ft
2:59.0,Defensive rebound by D. Bembry,,68-80,,
2:53.0,D. Bembry makes 2-pt shot from 2 ft,2,70-80,,
2:41.0,,,70-80,,N. Hilario misses 2-pt shot from 6 ft (block by M. Muscala)
2:39.0,Defensive rebound by M. Delaney,,70-80,,
2:31.0,M. Delaney misses 2-pt shot from 2 ft,,70-80,,
2:30.0,,,70-80,,Defensive rebound by N. Hilario
2:25.0,,,70-82,2,E. Gordon makes 2-pt shot from 2 ft (assist by J. Harden)
2:25.0,,,70-82,,Shooting foul by M. Muscala (drawn by E. Gordon)
2:25.0,,,70-82,,Houston full timeout
2:25.0,,,70-83,1,E. Gordon makes free throw 1 of 1
2:25.0,,,70-82,,C. Capela enters the game for N. Hilario
2:08.0,Turnover by P. Millsap (lost ball; steal by J. Harden),,70-83,,
2:01.0,,,70-83,,E. Gordon misses 3-pt shot from 28 ft
2:00.0,Defensive rebound by M. Muscala,,70-83,,
2:00.0,,,70-83,,Personal foul by S. Dekker (drawn by M. Dunleavy)
2:00.0,M. Dunleavy makes free throw 1 of 2,1,71-83,,
2:00.0,M. Dunleavy misses free throw 2 of 2,,71-83,,
1:58.0,,,71-83,,Defensive rebound by T. Ariza
1:42.0,,,71-83,,S. Dekker misses 2-pt shot from 2 ft
1:40.0,Defensive rebound by P. Millsap,,71-83,,
1:23.0,D. Bembry makes 2-pt shot from 20 ft (assist by M. Dunleavy),2,73-83,,
1:03.0,,,73-85,2,C. Capela makes 2-pt shot at rim (assist by E. Gordon)
0:44.0,M. Dunleavy misses 3-pt shot from 26 ft,,73-85,,
0:43.0,,,73-85,,Defensive rebound by C. Capela
0:35.0,Personal foul by D. Bembry,,73-85,,
0:35.0,,,73-85,,J. Harden misses free throw 1 of 2
0:35.0,,,73-85,,Offensive rebound by Team
0:35.0,,,73-86,1,J. Harden makes free throw 2 of 2
0:28.0,P. Millsap misses 3-pt shot from 25 ft,,73-86,,
0:27.0,,,73-86,,Defensive rebound by T. Ariza
0:01.0,,,73-86,,Turnover by J. Harden (bad pass; steal by M. Delaney)
0:00.0,M. Delaney misses 3-pt shot from 78 ft,,73-86,,
0:00.0,Offensive rebound by Team,,73-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,Turnover by D. Howard (bad pass; steal by N. Hilario),,73-86,,
11:33.0,,,73-86,,P. Beverley misses 2-pt shot from 9 ft
11:31.0,Defensive rebound by M. Delaney,,73-86,,
11:26.0,,,73-86,,Personal foul by E. Gordon
11:23.0,Offensive foul by D. Bembry,,73-86,,
11:23.0,Turnover by D. Bembry (offensive foul),,73-86,,
11:03.0,,,73-86,,E. Gordon misses 2-pt shot from 20 ft
11:00.0,Defensive rebound by D. Howard,,73-86,,
10:46.0,M. Delaney misses 2-pt shot from 19 ft,,73-86,,
10:45.0,,,73-86,,Defensive rebound by C. Brewer
10:37.0,,,73-89,3,R. Anderson makes 3-pt shot from 25 ft (assist by C. Brewer)
10:11.0,M. Delaney misses 2-pt shot from 19 ft,,73-89,,
10:09.0,Offensive rebound by M. Muscala,,73-89,,
10:07.0,M. Muscala makes 2-pt shot from 2 ft,2,75-89,,
10:01.0,,,75-91,2,E. Gordon makes 2-pt shot at rim
9:46.0,Turnover by D. Howard (bad pass; steal by P. Beverley),,75-91,,
9:45.0,Violation by M. Delaney (kicked ball),,75-91,,
9:45.0,T. Hardaway enters the game for D. Bembry,,75-91,,
9:33.0,Violation by M. Muscala (kicked ball),,75-91,,
9:31.0,,,75-93,2,C. Brewer makes 2-pt shot at rim (assist by N. Hilario)
9:31.0,,,75-93,,Shooting foul by M. Dunleavy (drawn by C. Brewer)
9:31.0,Atlanta full timeout,,75-93,,
9:31.0,,,75-94,1,C. Brewer makes free throw 1 of 1
9:31.0,K. Bazemore enters the game for M. Dunleavy,,75-93,,
9:31.0,D. Bembry enters the game for M. Muscala,,75-93,,
9:11.0,T. Hardaway misses 3-pt shot from 24 ft,,75-94,,
9:10.0,,,75-94,,Defensive rebound by P. Beverley
9:02.0,,,75-94,,Turnover by C. Brewer (bad pass; steal by M. Delaney)
9:02.0,Atlanta full timeout,,75-94,,
8:41.0,T. Hardaway makes 2-pt shot from 3 ft (assist by D. Howard),2,77-94,,
8:27.0,,,77-97,3,E. Gordon makes 3-pt shot from 26 ft (assist by R. Anderson)
8:15.0,D. Bembry makes 2-pt shot from 1 ft (assist by K. Bazemore),2,79-97,,
7:59.0,,,79-97,,C. Brewer misses 2-pt shot from 2 ft (block by D. Howard)
7:58.0,Defensive rebound by D. Howard,,79-97,,
7:54.0,T. Hardaway misses 2-pt shot from 2 ft (block by N. Hilario),,79-97,,
7:53.0,Offensive rebound by D. Bembry,,79-97,,
7:53.0,D. Bembry makes 2-pt shot from 2 ft,2,81-97,,
7:39.0,,,81-97,,C. Brewer misses 3-pt shot from 24 ft
7:37.0,Defensive rebound by Team,,81-97,,
7:24.0,K. Bazemore makes 2-pt shot from 1 ft (assist by M. Delaney),2,83-97,,
7:23.0,,,83-97,,Houston full timeout
7:23.0,,,83-97,,J. Harden enters the game for C. Brewer
7:06.0,,,83-99,2,J. Harden makes 2-pt shot from 17 ft
6:53.0,K. Bazemore makes 3-pt shot from 26 ft (assist by M. Delaney),3,86-99,,
6:34.0,,,86-99,,N. Hilario misses 2-pt shot from 14 ft
