time,Cleveland,pts.away,score,pts.home,Denver
5:24.0,Defensive rebound by K. Love,,12-15,,
5:15.0,T. Thompson misses 2-pt shot from 2 ft,,12-15,,
5:14.0,Offensive rebound by T. Thompson,,12-15,,
5:09.0,K. Irving makes 2-pt shot from 20 ft (assist by T. Thompson),2,14-15,,
4:56.0,,,14-17,2,K. Faried makes 2-pt shot at rim (assist by G. Harris)
4:56.0,Cleveland full timeout,,14-17,,
4:56.0,I. Shumpert enters the game for J. Smith,,14-17,,
4:56.0,,,14-17,,W. Barton enters the game for G. Harris
4:42.0,I. Shumpert makes 3-pt shot from 25 ft (assist by L. James),3,17-17,,
4:29.0,,,17-19,2,N. Jokic makes 2-pt shot from 19 ft (assist by J. Nelson)
4:12.0,T. Thompson makes 2-pt shot from 1 ft (assist by L. James),2,19-19,,
4:00.0,,,19-21,2,N. Jokic makes 2-pt shot from 3 ft (assist by J. Nelson)
3:50.0,Turnover by L. James (bad pass; steal by K. Faried),,19-21,,
3:44.0,,,19-23,2,W. Barton makes 2-pt shot from 3 ft (assist by K. Faried)
3:33.0,Shooting foul by J. Nelson (drawn by K. Irving),,19-23,,
3:33.0,K. Irving makes free throw 1 of 2,1,20-23,,
3:33.0,K. Irving makes free throw 2 of 2,1,21-23,,
3:33.0,C. Frye enters the game for L. James,,20-23,,
3:33.0,K. Korver enters the game for K. Love,,20-23,,
3:12.0,,,21-25,2,W. Barton makes 2-pt shot from 2 ft
3:00.0,K. Irving makes 2-pt shot from 14 ft,2,23-25,,
2:47.0,,,23-25,,Denver full timeout
2:47.0,,,23-25,,G. Harris enters the game for W. Chandler
2:47.0,,,23-25,,J. Hernangomez enters the game for N. Jokic
2:47.0,,,23-25,,J. Murray enters the game for J. Nelson
2:39.0,,,23-25,,K. Faried misses 2-pt shot from 5 ft
2:38.0,Defensive rebound by C. Frye,,23-25,,
2:27.0,C. Frye misses 3-pt shot from 24 ft,,23-25,,
2:26.0,,,23-25,,Defensive rebound by K. Faried
2:14.0,,,23-27,2,K. Faried makes 2-pt shot from 1 ft (assist by J. Murray)
1:54.0,K. Irving misses 2-pt shot from 6 ft,,23-27,,
1:54.0,,,23-27,,Defensive rebound by W. Barton
1:44.0,,,23-30,3,W. Barton makes 3-pt shot from 25 ft
1:26.0,C. Frye misses 2-pt shot from 6 ft,,23-30,,
1:25.0,,,23-30,,Defensive rebound by J. Hernangomez
1:16.0,,,23-30,,W. Barton misses 2-pt shot from 2 ft
1:15.0,,,23-30,,Offensive rebound by K. Faried
1:15.0,,,23-30,,K. Faried misses 2-pt shot from 1 ft
1:15.0,,,23-30,,Offensive rebound by K. Faried
1:15.0,,,23-30,,K. Faried misses 2-pt shot from 1 ft
1:13.0,Defensive rebound by I. Shumpert,,23-30,,
1:01.0,I. Shumpert makes 2-pt shot from 19 ft,2,25-30,,
0:47.0,,,25-30,,Shooting foul by C. Frye (drawn by G. Harris)
0:47.0,,,25-31,1,G. Harris makes free throw 1 of 2
0:47.0,,,25-32,1,G. Harris makes free throw 2 of 2
0:47.0,D. Williams enters the game for T. Thompson,,25-31,,
0:47.0,R. Jefferson enters the game for K. Irving,,25-31,,
0:34.0,D. Williams makes 3-pt shot from 24 ft (assist by R. Jefferson),3,28-32,,
0:16.0,,,28-34,2,J. Murray makes 2-pt shot from 17 ft
0:03.0,K. Korver makes 3-pt shot from 25 ft (assist by D. Williams),3,31-34,,
0:00.0,,,31-34,,J. Murray misses 3-pt shot from 49 ft
0:00.0,,,31-34,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,,,31-34,,W. Barton misses 3-pt shot from 24 ft
11:34.0,,,31-34,,Offensive rebound by Team
11:34.0,Loose ball foul by D. Williams (drawn by J. Murray),,31-34,,
11:21.0,,,31-34,,J. Hernangomez misses 2-pt shot from 14 ft
11:20.0,Defensive rebound by C. Frye,,31-34,,
11:02.0,D. Williams makes 3-pt shot from 25 ft (assist by K. Korver),3,34-34,,
10:42.0,,,34-37,3,W. Barton makes 3-pt shot from 24 ft (assist by J. Hernangomez)
10:12.0,K. Korver misses 2-pt shot from 20 ft,,34-37,,
10:11.0,,,34-37,,Defensive rebound by J. Hernangomez
10:02.0,,,34-37,,M. Plumlee misses 2-pt shot from 3 ft
10:01.0,,,34-37,,Offensive rebound by M. Plumlee
10:00.0,,,34-37,,Shooting foul by K. Korver (drawn by M. Plumlee)
10:00.0,,,34-38,1,M. Plumlee makes free throw 1 of 2
10:00.0,,,34-39,1,M. Plumlee makes free throw 2 of 2
9:48.0,L. James makes 2-pt shot at rim,2,36-39,,
9:34.0,,,36-41,2,W. Chandler makes 2-pt shot from 20 ft
9:21.0,L. James makes 2-pt shot at rim,2,38-41,,
9:21.0,,,38-41,,Denver full timeout
9:09.0,,,38-41,,J. Murray misses 2-pt shot from 14 ft
9:07.0,Defensive rebound by L. James,,38-41,,
8:59.0,C. Frye misses 2-pt shot from 21 ft,,38-41,,
8:59.0,Offensive rebound by D. Williams,,38-41,,
8:54.0,D. Williams makes 2-pt shot from 13 ft,2,40-41,,
8:42.0,,,40-44,3,J. Murray makes 3-pt shot from 24 ft (assist by M. Plumlee)
8:26.0,Turnover by K. Korver (step out of bounds),,40-44,,
8:26.0,I. Shumpert enters the game for C. Frye,,40-44,,
8:10.0,,,40-44,,W. Chandler misses 2-pt shot from 6 ft
8:09.0,Defensive rebound by R. Jefferson,,40-44,,
8:08.0,Turnover by R. Jefferson (lost ball; steal by M. Plumlee),,40-44,,
8:02.0,,,40-47,3,J. Murray makes 3-pt shot from 23 ft
7:40.0,K. Korver misses 3-pt shot from 24 ft,,40-47,,
7:39.0,,,40-47,,Defensive rebound by W. Barton
7:31.0,,,40-50,3,J. Murray makes 3-pt shot from 24 ft (assist by W. Barton)
7:31.0,Cleveland full timeout,,40-50,,
7:04.0,R. Jefferson misses 3-pt shot from 38 ft,,40-50,,
7:03.0,Offensive rebound by L. James,,40-50,,
6:44.0,K. Korver makes 3-pt shot from 27 ft (assist by R. Jefferson),3,43-50,,
6:27.0,,,43-52,2,M. Plumlee makes 2-pt shot from 1 ft
6:14.0,D. Williams makes 2-pt shot from 21 ft,2,45-52,,
5:53.0,,,45-54,2,J. Murray makes 2-pt shot from 2 ft
5:30.0,L. James makes 2-pt shot from 7 ft,2,47-54,,
5:13.0,,,47-54,,M. Plumlee misses 2-pt shot from 2 ft (block by D. Williams)
5:10.0,,,47-54,,Offensive rebound by J. Hernangomez
5:09.0,,,47-56,2,J. Hernangomez makes 2-pt shot from 1 ft
4:49.0,K. Korver misses 3-pt shot from 25 ft,,47-56,,
4:49.0,,,47-56,,Defensive rebound by W. Chandler
4:33.0,,,47-56,,M. Plumlee misses 2-pt shot from 2 ft
4:32.0,Defensive rebound by I. Shumpert,,47-56,,
4:25.0,L. James misses 2-pt shot from 2 ft (block by J. Hernangomez),,47-56,,
4:23.0,,,47-56,,Defensive rebound by J. Hernangomez
4:19.0,,,47-56,,J. Murray misses 3-pt shot from 28 ft
4:19.0,Defensive rebound by D. Williams,,47-56,,
4:15.0,Turnover by I. Shumpert (lost ball; steal by W. Barton),,47-56,,
4:13.0,Flagrant foul type 1 by R. Jefferson (drawn by J. Hernangomez),,47-56,,
4:13.0,,,47-57,1,J. Hernangomez makes flagrant free throw 1 of 2
4:13.0,,,47-58,1,J. Hernangomez makes flagrant free throw 2 of 2
4:13.0,,,47-56,,N. Jokic enters the game for M. Plumlee
4:13.0,,,47-56,,J. Nelson enters the game for J. Murray
4:13.0,J. Smith enters the game for I. Shumpert,,47-56,,
4:13.0,K. Love enters the game for K. Korver,,47-56,,
4:13.0,K. Irving enters the game for D. Williams,,47-56,,
4:13.0,T. Thompson enters the game for R. Jefferson,,47-56,,
4:13.0,,,47-58,,G. Harris enters the game for J. Hernangomez
3:58.0,,,47-61,3,W. Barton makes 3-pt shot from 25 ft (assist by N. Jokic)
3:39.0,K. Irving makes 2-pt shot from 11 ft,2,49-61,,
3:31.0,,,49-61,,Turnover by N. Jokic (bad pass)
3:17.0,K. Irving misses 2-pt shot from 2 ft,,49-61,,
3:16.0,,,49-61,,Defensive rebound by N. Jokic
2:57.0,,,49-63,2,N. Jokic makes 2-pt shot from 5 ft
2:50.0,,,49-63,,Personal foul by W. Barton (drawn by L. James)
2:50.0,Official timeout,,49-63,,
2:39.0,K. Love misses 3-pt shot from 25 ft,,49-63,,
2:38.0,,,49-63,,Defensive rebound by W. Barton
2:17.0,,,49-66,3,G. Harris makes 3-pt shot from 25 ft (assist by W. Barton)
1:56.0,Turnover by L. James (lost ball; steal by J. Nelson),,49-66,,
1:48.0,,,49-69,3,G. Harris makes 3-pt shot from 23 ft (assist by W. Chandler)
1:31.0,,,49-69,,Personal foul by G. Harris (drawn by K. Irving)
1:31.0,I. Shumpert enters the game for L. James,,49-69,,
1:19.0,K. Irving makes 3-pt shot from 25 ft (assist by I. Shumpert),3,52-69,,
1:04.0,,,52-71,2,W. Barton makes 2-pt shot from 2 ft (assist by J. Nelson)
0:52.0,T. Thompson makes 2-pt shot from 5 ft (assist by I. Shumpert),2,54-71,,
0:40.0,,,54-73,2,W. Chandler makes 2-pt shot at rim (assist by J. Nelson)
0:30.0,K. Irving makes 2-pt shot from 15 ft,2,56-73,,
0:17.0,,,56-73,,W. Chandler misses 3-pt shot from 26 ft
0:17.0,Defensive rebound by J. Smith,,56-73,,
0:02.0,Shooting foul by G. Harris (drawn by K. Irving),,56-73,,
0:02.0,K. Irving makes free throw 1 of 3,1,57-73,,
0:02.0,K. Irving makes free throw 2 of 3,1,58-73,,
0:02.0,K. Irving makes free throw 3 of 3,1,59-73,,
0:01.0,,,59-73,,Turnover by W. Chandler (bad pass; steal by J. Smith)
0:00.0,J. Smith misses 3-pt shot from 33 ft,,59-73,,
0:00.0,Offensive rebound by Team,,59-73,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:34.0,,,59-73,,M. Plumlee misses 2-pt shot from 2 ft
11:33.0,Defensive rebound by T. Thompson,,59-73,,
11:26.0,K. Irving misses 2-pt shot from 1 ft,,59-73,,
11:26.0,Offensive rebound by K. Irving,,59-73,,
11:22.0,J. Smith makes 3-pt shot from 25 ft (assist by K. Irving),3,62-73,,
11:09.0,,,62-76,3,W. Chandler makes 3-pt shot from 26 ft (assist by J. Nelson)
10:40.0,L. James makes 2-pt shot from 20 ft,2,64-76,,
10:25.0,,,64-78,2,G. Harris makes 2-pt shot from 2 ft (assist by N. Jokic)
10:10.0,K. Love misses 3-pt shot from 25 ft,,64-78,,
10:09.0,,,64-78,,Defensive rebound by G. Harris
9:56.0,,,64-80,2,M. Plumlee makes 2-pt shot at rim (assist by N. Jokic)
9:56.0,Cleveland full timeout,,64-80,,
9:41.0,L. James makes 2-pt shot from 19 ft,2,66-80,,
9:16.0,,,66-82,2,N. Jokic makes 2-pt shot from 5 ft
8:51.0,K. Love misses 2-pt shot from 6 ft,,66-82,,
8:50.0,,,66-82,,Defensive rebound by N. Jokic
8:44.0,,,66-82,,J. Nelson misses 3-pt shot from 25 ft
8:42.0,Defensive rebound by K. Love,,66-82,,
8:33.0,K. Love misses 2-pt shot from 2 ft,,66-82,,
8:32.0,,,66-82,,Defensive rebound by M. Plumlee
8:17.0,,,66-82,,M. Plumlee misses 2-pt shot from 3 ft
8:16.0,Defensive rebound by K. Love,,66-82,,
8:08.0,K. Irving makes 3-pt shot from 26 ft (assist by K. Love),3,69-82,,
7:54.0,,,69-84,2,G. Harris makes 2-pt shot from 1 ft (assist by M. Plumlee)
7:43.0,K. Irving makes 3-pt shot from 26 ft,3,72-84,,
7:31.0,,,72-84,,G. Harris misses 2-pt shot from 2 ft (block by T. Thompson)
7:29.0,Defensive rebound by L. James,,72-84,,
7:29.0,,,72-84,,Personal foul by W. Chandler (drawn by L. James)
7:18.0,K. Irving makes 2-pt shot from 22 ft (assist by T. Thompson),2,74-84,,
6:58.0,Shooting block foul by K. Love (drawn by M. Plumlee),,74-84,,
6:58.0,,,74-85,1,M. Plumlee makes free throw 1 of 2
6:58.0,,,74-86,1,M. Plumlee makes free throw 2 of 2
6:43.0,K. Irving misses 2-pt shot from 3 ft,,74-86,,
6:43.0,,,74-86,,Defensive rebound by N. Jokic
6:28.0,,,74-86,,G. Harris misses 2-pt shot from 5 ft
6:27.0,Defensive rebound by K. Love,,74-86,,
6:17.0,K. Love makes 3-pt shot from 25 ft (assist by J. Smith),3,77-86,,
5:59.0,,,77-86,,N. Jokic misses 2-pt shot from 5 ft
5:58.0,Defensive rebound by K. Love,,77-86,,
5:55.0,K. Irving misses 2-pt shot from 1 ft,,77-86,,
5:54.0,Offensive rebound by L. James,,77-86,,
5:53.0,L. James makes 2-pt shot at rim,2,79-86,,
5:53.0,,,79-86,,Denver full timeout
5:53.0,,,79-86,,K. Faried enters the game for M. Plumlee
5:45.0,,,79-86,,Turnover by W. Chandler (bad pass; steal by J. Smith)
5:39.0,L. James makes 2-pt shot at rim (assist by J. Smith),2,81-86,,
5:28.0,,,81-86,,J. Nelson misses 2-pt shot from 19 ft
5:27.0,,,81-86,,Offensive rebound by Team
5:14.0,,,81-88,2,K. Faried makes 2-pt shot at rim (assist by G. Harris)
4:54.0,J. Smith misses 3-pt shot from 25 ft,,81-88,,
4:54.0,,,81-88,,Defensive rebound by W. Chandler
4:43.0,,,81-90,2,K. Faried makes 2-pt shot from 2 ft (assist by J. Nelson)
4:27.0,K. Irving makes 2-pt shot from 18 ft,2,83-90,,
4:14.0,,,83-93,3,G. Harris makes 3-pt shot from 24 ft (assist by N. Jokic)
4:00.0,K. Irving misses 2-pt shot from 13 ft,,83-93,,
4:00.0,,,83-93,,Defensive rebound by K. Faried
3:47.0,,,83-95,2,K. Faried makes 2-pt shot from 1 ft (assist by J. Nelson)
3:47.0,,,83-95,,Shooting foul by L. James (drawn by K. Faried)
3:47.0,,,83-96,1,K. Faried makes free throw 1 of 1
3:47.0,,,83-95,,W. Barton enters the game for G. Harris
3:31.0,K. Irving misses 3-pt shot from 26 ft,,83-96,,
3:29.0,,,83-96,,Defensive rebound by J. Nelson
3:13.0,,,83-96,,Turnover by N. Jokic (lost ball; steal by K. Love)
3:10.0,,,83-96,,Personal block foul by J. Nelson (drawn by K. Irving)
3:10.0,Technical foul by Team,,83-96,,
3:10.0,,,83-97,1,W. Barton makes technical free throw
3:05.0,L. James misses 3-pt shot from 25 ft,,83-97,,
3:04.0,,,83-97,,Defensive rebound by K. Faried
3:01.0,Personal foul by K. Irving (drawn by J. Nelson),,83-97,,
2:45.0,,,83-99,2,N. Jokic makes 2-pt shot from 5 ft
2:33.0,Shooting foul by N. Jokic (drawn by L. James),,83-99,,
2:33.0,L. James misses free throw 1 of 2,,83-99,,
2:33.0,Offensive rebound by Team,,83-99,,
2:33.0,L. James makes free throw 2 of 2,1,84-99,,
2:33.0,C. Frye enters the game for K. Love,,83-99,,
2:19.0,,,84-101,2,K. Faried makes 2-pt shot at rim (assist by J. Nelson)
2:04.0,,,84-101,,Personal foul by J. Nelson (drawn by K. Irving)
2:04.0,D. Williams enters the game for L. James,,84-101,,
2:04.0,I. Shumpert enters the game for J. Smith,,84-101,,
2:04.0,,,84-101,,G. Harris enters the game for W. Chandler
1:56.0,K. Irving misses 2-pt shot from 21 ft,,84-101,,
1:55.0,,,84-101,,Defensive rebound by N. Jokic
1:49.0,,,84-101,,N. Jokic misses 2-pt shot from 21 ft
1:48.0,Defensive rebound by D. Williams,,84-101,,
1:40.0,Shooting foul by W. Barton (drawn by K. Irving),,84-101,,
1:40.0,K. Irving makes free throw 1 of 2,1,85-101,,
1:40.0,K. Irving makes free throw 2 of 2,1,86-101,,
1:40.0,,,85-101,,M. Plumlee enters the game for N. Jokic
1:18.0,,,86-101,,K. Faried misses 2-pt shot from 18 ft
1:18.0,Defensive rebound by C. Frye,,86-101,,
1:10.0,T. Thompson makes 2-pt shot from 3 ft (assist by K. Irving),2,88-101,,
0:49.0,,,88-101,,K. Faried misses 2-pt shot from 4 ft (block by I. Shumpert)
0:49.0,Defensive rebound by I. Shumpert,,88-101,,
0:49.0,Turnover by I. Shumpert (bad pass),,88-101,,
0:43.0,,,88-101,,J. Nelson misses 2-pt shot from 21 ft
0:42.0,,,88-101,,Offensive rebound by M. Plumlee
0:28.0,,,88-101,,W. Barton misses 2-pt shot from 18 ft
0:28.0,Defensive rebound by K. Irving,,88-101,,
0:23.0,K. Irving makes 2-pt shot from 2 ft,2,90-101,,
0:04.0,Personal foul by K. Irving (drawn by J. Nelson),,90-101,,
0:01.0,,,90-101,,M. Plumlee misses 2-pt shot from 10 ft
0:00.0,,,90-101,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,K. Korver misses 3-pt shot from 24 ft,,90-101,,
11:46.0,,,90-101,,Defensive rebound by M. Plumlee
11:36.0,,,90-103,2,K. Faried makes 2-pt shot from 2 ft (assist by J. Murray)
11:16.0,D. Williams misses 3-pt shot from 26 ft,,90-103,,
11:15.0,,,90-103,,Defensive rebound by K. Faried
10:57.0,,,90-103,,Shooting foul by K. Korver (drawn by W. Chandler)
10:57.0,,,90-105,2,W. Chandler makes 2-pt shot from 6 ft
10:57.0,,,90-106,1,W. Chandler makes free throw 1 of 1
10:43.0,C. Frye makes 2-pt shot from 23 ft (assist by D. Williams),2,92-106,,
10:22.0,,,92-106,,W. Chandler misses 2-pt shot from 14 ft
10:20.0,Defensive rebound by L. James,,92-106,,
10:17.0,,,92-106,,Personal foul by K. Faried (drawn by L. James)
10:03.0,L. James misses 3-pt shot from 26 ft,,92-106,,
10:03.0,,,92-106,,Defensive rebound by M. Plumlee
9:38.0,,,92-106,,J. Murray misses 3-pt shot from 27 ft
9:38.0,Defensive rebound by C. Frye,,92-106,,
9:30.0,Turnover by L. James (bad pass; steal by W. Chandler),,92-106,,
9:24.0,,,92-108,2,W. Barton makes 2-pt shot from 6 ft (assist by W. Chandler)
9:07.0,Offensive foul by C. Frye,,92-108,,
9:07.0,Turnover by C. Frye (offensive foul),,92-108,,
8:54.0,,,92-110,2,W. Chandler makes 2-pt shot from 4 ft
8:53.0,Cleveland full timeout,,92-110,,
8:30.0,K. Korver makes 3-pt shot from 24 ft (assist by L. James),3,95-110,,
8:07.0,,,95-110,,W. Barton misses 3-pt shot from 23 ft
8:06.0,,,95-110,,Offensive rebound by K. Faried
7:46.0,,,95-110,,W. Barton misses 2-pt shot from 6 ft
7:45.0,,,95-110,,Offensive rebound by M. Plumlee
7:27.0,,,95-110,,Shooting foul by C. Frye (drawn by J. Murray)
7:27.0,,,95-111,1,J. Murray makes free throw 1 of 2
7:27.0,,,95-112,1,J. Murray makes free throw 2 of 2
7:27.0,R. Jefferson enters the game for I. Shumpert,,95-111,,
7:27.0,,,95-111,,G. Harris enters the game for W. Chandler
7:16.0,D. Williams makes 2-pt shot from 1 ft (assist by L. James),2,97-112,,
6:58.0,,,97-114,2,G. Harris makes 2-pt shot from 2 ft (assist by M. Plumlee)
6:46.0,K. Korver misses 3-pt shot from 23 ft,,97-114,,
6:45.0,,,97-114,,Defensive rebound by W. Barton
6:44.0,,,97-114,,K. Faried misses 2-pt shot from 2 ft
6:43.0,,,97-114,,Offensive rebound by K. Faried
6:42.0,,,97-116,2,K. Faried makes 2-pt shot from 2 ft
6:42.0,Cleveland full timeout,,97-116,,
6:42.0,D. Williams enters the game for L. James,,97-116,,
6:35.0,,,97-116,,Personal foul by K. Faried (drawn by D. Williams)
6:27.0,D. Williams makes 2-pt shot from 18 ft,2,99-116,,
6:04.0,Personal foul by C. Frye (drawn by K. Faried),,99-116,,
6:04.0,,,99-116,,W. Chandler enters the game for M. Plumlee
6:04.0,,,99-116,,N. Jokic enters the game for K. Faried
5:51.0,,,99-116,,G. Harris misses 3-pt shot from 25 ft
5:50.0,Defensive rebound by K. Korver,,99-116,,
5:41.0,K. Korver misses 3-pt shot from 26 ft,,99-116,,
5:40.0,,,99-116,,Defensive rebound by W. Chandler
5:28.0,,,99-116,,J. Murray misses 2-pt shot from 3 ft
5:26.0,,,99-116,,Offensive rebound by N. Jokic
5:26.0,,,99-118,2,N. Jokic makes 2-pt shot at rim
5:11.0,D. Williams misses 3-pt shot from 25 ft,,99-118,,
5:11.0,,,99-118,,Defensive rebound by W. Chandler
4:47.0,,,99-120,2,N. Jokic makes 2-pt shot from 11 ft (assist by J. Murray)
4:26.0,D. Williams misses 3-pt shot from 26 ft,,99-120,,
4:25.0,,,99-120,,Defensive rebound by N. Jokic
4:07.0,,,99-120,,G. Harris misses 3-pt shot from 26 ft
4:06.0,Defensive rebound by C. Frye,,99-120,,
3:54.0,D. Williams makes 2-pt shot from 2 ft,2,101-120,,
3:54.0,Shooting foul by J. Murray (drawn by D. Williams),,101-120,,
3:54.0,D. Williams makes free throw 1 of 1,1,102-120,,
3:54.0,,,101-120,,J. Nelson enters the game for J. Murray
3:54.0,D. Liggins enters the game for K. Korver,,101-120,,
3:39.0,,,102-120,,W. Barton misses 3-pt shot from 25 ft
3:38.0,Defensive rebound by D. Liggins,,102-120,,
3:35.0,Turnover by D. Liggins (bad pass; steal by W. Barton),,102-120,,
3:14.0,,,102-120,,J. Nelson misses 3-pt shot from 25 ft
3:13.0,Defensive rebound by D. Williams,,102-120,,
3:06.0,D. Williams makes 2-pt shot from 2 ft,2,104-120,,
2:39.0,,,104-122,2,N. Jokic makes 2-pt shot from 3 ft
2:38.0,Cleveland full timeout,,104-122,,
2:38.0,Official timeout,,104-122,,
2:38.0,J. Jones enters the game for D. Williams,,104-122,,
2:21.0,J. Jones makes 2-pt shot from 11 ft (assist by C. Frye),2,106-122,,
1:57.0,,,106-124,2,W. Barton makes 2-pt shot from 2 ft (assist by W. Chandler)
1:35.0,D. Williams makes 2-pt shot from 16 ft,2,108-124,,
1:12.0,,,108-124,,W. Chandler misses 2-pt shot from 5 ft
1:12.0,Defensive rebound by R. Jefferson,,108-124,,
1:11.0,,,108-124,,Personal foul by N. Jokic (drawn by R. Jefferson)
1:11.0,,,108-124,,D. Arthur enters the game for W. Chandler
1:11.0,,,108-124,,J. Murray enters the game for N. Jokic
1:11.0,,,108-124,,J. Hernangomez enters the game for J. Nelson
0:54.0,,,108-124,,Personal take foul by J. Murray (drawn by C. Frye)
0:54.0,C. Frye makes free throw 1 of 2,1,109-124,,
0:54.0,C. Frye makes free throw 2 of 2,1,110-124,,
0:42.0,,,110-126,2,G. Harris makes 2-pt shot from 2 ft (assist by D. Arthur)
0:31.0,D. Liggins misses 2-pt shot from 3 ft,,110-126,,
0:30.0,,,110-126,,Defensive rebound by D. Arthur
0:12.0,,,110-126,,J. Murray misses 3-pt shot from 30 ft
0:11.0,Defensive rebound by J. Jones,,110-126,,
0:05.0,J. Jones makes 3-pt shot from 32 ft,3,113-126,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
