time,Dallas,pts.away,score,pts.home,New Orleans
10:16.0,,,27-30,1,T. Jones makes free throw 2 of 2
10:02.0,Turnover by D. Williams (lost ball; steal by E. Moore),,27-30,,
9:54.0,,,27-30,,S. Hill misses 3-pt shot from 24 ft
9:53.0,Defensive rebound by S. Curry,,27-30,,
9:43.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by S. Curry),3,30-30,,
9:32.0,,,30-33,3,L. Galloway makes 3-pt shot from 25 ft
9:09.0,S. Curry misses 3-pt shot from 23 ft,,30-33,,
9:09.0,,,30-33,,Defensive rebound by L. Galloway
9:03.0,,,30-33,,L. Galloway misses 2-pt shot from 2 ft (block by J. Anderson)
8:59.0,Defensive rebound by D. Powell,,30-33,,
8:41.0,J. Anderson misses 3-pt shot from 26 ft,,30-33,,
8:41.0,,,30-33,,Defensive rebound by S. Hill
8:33.0,,,30-35,2,T. Evans makes 2-pt shot from 3 ft
8:33.0,Dallas full timeout,,30-35,,
8:33.0,W. Matthews enters the game for J. Anderson,,30-35,,
8:33.0,H. Barnes enters the game for S. Curry,,30-35,,
8:33.0,D. Harris enters the game for D. Nowitzki,,30-35,,
8:21.0,,,30-35,,Personal foul by S. Hill (drawn by H. Barnes)
8:16.0,Shooting foul by E. Moore (drawn by D. Williams),,30-35,,
8:16.0,D. Williams makes free throw 1 of 3,1,31-35,,
8:16.0,D. Williams makes free throw 2 of 3,1,32-35,,
8:16.0,D. Williams misses free throw 3 of 3,,32-35,,
8:16.0,,,32-35,,D. Cunningham enters the game for S. Hill
8:15.0,,,32-35,,Defensive rebound by D. Cunningham
7:58.0,,,32-35,,Shooting foul by D. Powell (drawn by T. Jones)
7:58.0,,,32-36,1,T. Jones makes free throw 1 of 2
7:58.0,,,32-37,1,T. Jones makes free throw 2 of 2
7:58.0,,,32-36,,J. Holiday enters the game for T. Evans
7:58.0,S. Mejri enters the game for D. Powell,,32-36,,
7:43.0,Turnover by W. Matthews (bad pass),,32-37,,
7:43.0,,,32-37,,A. Davis enters the game for T. Jones
7:31.0,,,32-37,,Shooting foul by S. Mejri (drawn by A. Davis)
7:31.0,,,32-38,1,A. Davis makes free throw 1 of 2
7:31.0,,,32-39,1,A. Davis makes free throw 2 of 2
7:12.0,H. Barnes makes 3-pt shot from 25 ft (assist by W. Matthews),3,35-39,,
6:58.0,,,35-39,,E. Moore misses 3-pt shot from 27 ft
6:57.0,Defensive rebound by W. Matthews,,35-39,,
6:32.0,W. Matthews makes 3-pt shot from 23 ft (assist by D. Williams),3,38-39,,
6:24.0,,,38-39,,Shooting foul by S. Mejri (drawn by A. Davis)
6:24.0,,,38-40,1,A. Davis makes free throw 1 of 2
6:24.0,,,38-41,1,A. Davis makes free throw 2 of 2
6:11.0,Turnover by W. Matthews (lost ball; steal by E. Moore),,38-41,,
6:03.0,,,38-41,,D. Cunningham misses 2-pt shot from 16 ft
6:02.0,Defensive rebound by S. Mejri,,38-41,,
5:50.0,D. Williams makes 2-pt shot from 21 ft,2,40-41,,
5:40.0,,,40-41,,Turnover by L. Galloway (bad pass)
5:40.0,Official timeout,,40-41,,
5:40.0,S. Curry enters the game for D. Williams,,40-41,,
5:40.0,,,40-41,,B. Hield enters the game for E. Moore
5:32.0,,,40-41,,Personal foul by L. Galloway (drawn by D. Harris)
5:22.0,D. Harris makes 3-pt shot from 25 ft (assist by S. Curry),3,43-41,,
5:00.0,,,43-43,2,A. Davis makes 2-pt shot from 2 ft (assist by L. Galloway)
4:41.0,H. Barnes makes 2-pt shot from 17 ft,2,45-43,,
4:18.0,,,45-43,,Offensive charge foul by A. Davis
4:18.0,,,45-43,,Turnover by A. Davis (offensive foul)
4:18.0,D. Nowitzki enters the game for S. Mejri,,45-43,,
4:18.0,,,45-43,,T. Frazier enters the game for L. Galloway
4:03.0,S. Curry misses 3-pt shot from 26 ft,,45-43,,
4:02.0,,,45-43,,Defensive rebound by B. Hield
3:41.0,,,45-43,,A. Davis misses 2-pt shot from 15 ft
3:39.0,Defensive rebound by H. Barnes,,45-43,,
3:21.0,Shooting foul by T. Frazier (drawn by H. Barnes),,45-43,,
3:21.0,H. Barnes makes free throw 1 of 2,1,46-43,,
3:21.0,H. Barnes makes free throw 2 of 2,1,47-43,,
2:55.0,,,47-43,,D. Cunningham misses 3-pt shot from 24 ft
2:55.0,Defensive rebound by H. Barnes,,47-43,,
2:39.0,Turnover by H. Barnes (bad pass; steal by D. Cunningham),,47-43,,
2:33.0,,,47-45,2,D. Cunningham makes 2-pt shot from 2 ft
2:13.0,Turnover by W. Matthews (lost ball; steal by T. Frazier),,47-45,,
2:12.0,Personal foul by D. Harris (drawn by T. Frazier),,47-45,,
2:12.0,,,47-45,,New Orleans full timeout
2:12.0,,,47-45,,T. Frazier misses free throw 1 of 2
2:12.0,,,47-45,,Offensive rebound by Team
2:12.0,,,47-46,1,T. Frazier makes free throw 2 of 2
2:12.0,D. Williams enters the game for D. Harris,,47-45,,
1:58.0,W. Matthews makes 3-pt shot from 25 ft (assist by D. Nowitzki),3,50-46,,
1:39.0,,,50-48,2,A. Davis makes 2-pt shot from 13 ft (assist by J. Holiday)
1:15.0,D. Nowitzki misses 3-pt shot from 25 ft,,50-48,,
1:14.0,,,50-48,,Defensive rebound by D. Cunningham
1:03.0,,,50-50,2,D. Cunningham makes 2-pt shot from 6 ft (assist by T. Frazier)
0:50.0,D. Nowitzki misses 3-pt shot from 27 ft,,50-50,,
0:49.0,,,50-50,,Defensive rebound by T. Frazier
0:40.0,,,50-52,2,D. Cunningham makes 2-pt shot from 2 ft (assist by A. Davis)
0:36.0,D. Williams makes 2-pt shot from 3 ft,2,52-52,,
0:36.0,Shooting foul by B. Hield (drawn by D. Williams),,52-52,,
0:36.0,D. Williams makes free throw 1 of 1,1,53-52,,
0:36.0,,,52-52,,T. Jones enters the game for A. Davis
0:36.0,,,52-52,,E. Moore enters the game for B. Hield
0:13.0,,,53-55,3,E. Moore makes 3-pt shot from 23 ft (assist by J. Holiday)
0:00.0,D. Williams misses 2-pt shot from 20 ft,,53-55,,
0:00.0,,,53-55,,Defensive rebound by T. Jones
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,W. Matthews misses 3-pt shot from 26 ft,,53-55,,
11:37.0,,,53-55,,Defensive rebound by S. Hill
11:19.0,,,53-55,,J. Holiday misses 2-pt shot from 7 ft
11:18.0,Defensive rebound by S. Mejri,,53-55,,
11:04.0,H. Barnes misses 2-pt shot from 22 ft,,53-55,,
11:03.0,,,53-55,,Defensive rebound by A. Davis
10:51.0,,,53-57,2,B. Hield makes 2-pt shot from 1 ft
10:33.0,H. Barnes makes 2-pt shot from 18 ft,2,55-57,,
10:16.0,,,55-57,,A. Davis misses 2-pt shot from 16 ft
10:15.0,Defensive rebound by H. Barnes,,55-57,,
9:51.0,D. Williams misses 3-pt shot from 35 ft,,55-57,,
9:50.0,,,55-57,,Defensive rebound by B. Hield
9:43.0,,,55-57,,Shooting foul by S. Mejri (drawn by A. Davis)
9:43.0,,,55-58,1,A. Davis makes free throw 1 of 2
9:43.0,,,55-59,1,A. Davis makes free throw 2 of 2
9:24.0,W. Matthews makes 3-pt shot from 26 ft (assist by D. Williams),3,58-59,,
9:15.0,Personal foul by D. Finney-Smith (drawn by B. Hield),,58-59,,
9:15.0,,,58-59,,E. Moore enters the game for J. Holiday
9:06.0,,,58-61,2,E. Moore makes 2-pt shot from 2 ft
8:53.0,D. Finney-Smith makes 2-pt shot at rim,2,60-61,,
8:32.0,,,60-64,3,B. Hield makes 3-pt shot from 23 ft (assist by E. Moore)
8:10.0,D. Williams makes 2-pt shot from 6 ft,2,62-64,,
7:56.0,,,62-64,,A. Davis misses 2-pt shot from 21 ft
7:55.0,Defensive rebound by S. Mejri,,62-64,,
7:40.0,H. Barnes makes 2-pt shot from 2 ft (assist by D. Williams),2,64-64,,
7:26.0,,,64-67,3,S. Hill makes 3-pt shot from 25 ft (assist by B. Hield)
7:11.0,H. Barnes misses 3-pt shot from 25 ft,,64-67,,
7:11.0,,,64-67,,Defensive rebound by A. Davis
7:06.0,,,64-67,,Offensive foul by A. Davis
7:06.0,,,64-67,,Turnover by A. Davis (offensive foul)
7:06.0,,,64-67,,J. Holiday enters the game for E. Moore
6:53.0,D. Williams makes 3-pt shot from 24 ft (assist by W. Matthews),3,67-67,,
6:39.0,,,67-67,,Shooting foul by D. Williams (drawn by J. Holiday)
6:39.0,,,67-68,1,J. Holiday makes free throw 1 of 2
6:39.0,,,67-68,,J. Holiday misses free throw 2 of 2
6:37.0,Defensive rebound by D. Finney-Smith,,67-68,,
6:17.0,W. Matthews misses 2-pt shot from 6 ft,,67-68,,
6:17.0,,,67-68,,Defensive rebound by A. Davis
6:11.0,Personal foul by W. Matthews (drawn by S. Hill),,67-68,,
6:11.0,S. Curry enters the game for D. Williams,,67-68,,
6:11.0,D. Harris enters the game for S. Mejri,,67-68,,
6:11.0,D. Powell enters the game for H. Barnes,,67-68,,
6:05.0,,,67-68,,J. Holiday misses 2-pt shot from 6 ft
6:04.0,,,67-68,,Offensive rebound by A. Davis
5:58.0,,,67-68,,A. Davis misses 3-pt shot from 26 ft
5:58.0,Defensive rebound by D. Harris,,67-68,,
5:38.0,D. Harris misses 3-pt shot from 26 ft,,67-68,,
5:36.0,,,67-68,,Defensive rebound by J. Holiday
5:31.0,,,67-68,,J. Holiday misses 2-pt shot from 3 ft
5:29.0,,,67-68,,Offensive rebound by A. Davis
5:29.0,,,67-70,2,A. Davis makes 2-pt shot from 3 ft
5:18.0,,,67-70,,Personal foul by J. Holiday (drawn by S. Curry)
5:18.0,,,67-70,,New Orleans full timeout
5:18.0,,,67-70,,E. Moore enters the game for D. Cunningham
5:08.0,D. Powell misses 3-pt shot from 26 ft,,67-70,,
5:07.0,,,67-70,,Defensive rebound by S. Hill
4:57.0,,,67-70,,J. Holiday misses 2-pt shot from 18 ft
4:56.0,Defensive rebound by D. Powell,,67-70,,
4:40.0,,,67-70,,Def 3 sec tech foul by A. Davis
4:40.0,W. Matthews misses technical free throw,,67-70,,
4:40.0,Offensive rebound by Team,,67-70,,
4:26.0,W. Matthews misses 2-pt shot from 18 ft,,67-70,,
4:26.0,,,67-70,,Defensive rebound by A. Davis
4:19.0,,,67-70,,B. Hield misses 3-pt shot from 26 ft
4:17.0,Defensive rebound by W. Matthews,,67-70,,
3:57.0,S. Curry makes 2-pt shot from 8 ft (assist by D. Harris),2,69-70,,
3:47.0,,,69-72,2,B. Hield makes 2-pt shot from 2 ft (assist by J. Holiday)
3:30.0,S. Curry misses 3-pt shot from 24 ft,,69-72,,
3:29.0,Offensive rebound by D. Finney-Smith,,69-72,,
3:25.0,D. Powell makes 2-pt shot from 5 ft (assist by D. Finney-Smith),2,71-72,,
3:07.0,,,71-74,2,E. Moore makes 2-pt shot from 11 ft (assist by B. Hield)
2:47.0,W. Matthews misses 2-pt shot from 2 ft,,71-74,,
2:47.0,,,71-74,,Defensive rebound by A. Davis
2:39.0,,,71-77,3,E. Moore makes 3-pt shot from 25 ft (assist by J. Holiday)
2:38.0,Dallas full timeout,,71-77,,
2:38.0,,,71-77,,L. Galloway enters the game for B. Hield
2:38.0,H. Barnes enters the game for D. Finney-Smith,,71-77,,
2:38.0,J. Anderson enters the game for W. Matthews,,71-77,,
2:20.0,S. Curry makes 2-pt shot from 5 ft (assist by H. Barnes),2,73-77,,
1:58.0,,,73-77,,A. Davis misses 2-pt shot from 16 ft
1:56.0,Defensive rebound by D. Harris,,73-77,,
1:39.0,H. Barnes misses 2-pt shot from 16 ft,,73-77,,
1:38.0,,,73-77,,Defensive rebound by A. Davis
1:32.0,,,73-80,3,L. Galloway makes 3-pt shot from 24 ft (assist by S. Hill)
1:09.0,Shooting foul by E. Moore (drawn by S. Curry),,73-80,,
1:09.0,S. Curry misses free throw 1 of 3,,73-80,,
1:09.0,Offensive rebound by Team,,73-80,,
1:09.0,S. Curry makes free throw 2 of 3,1,74-80,,
1:09.0,S. Curry makes free throw 3 of 3,1,75-80,,
1:09.0,D. Williams enters the game for D. Harris,,74-80,,
1:09.0,,,74-80,,T. Jones enters the game for A. Davis
0:55.0,,,75-83,3,L. Galloway makes 3-pt shot from 26 ft (assist by J. Holiday)
0:41.0,H. Barnes makes 2-pt shot from 1 ft (assist by D. Williams),2,77-83,,
0:31.0,,,77-85,2,J. Holiday makes 2-pt shot from 6 ft
0:11.0,D. Williams misses 2-pt shot from 3 ft (block by T. Jones),,77-85,,
0:09.0,,,77-85,,Defensive rebound by J. Holiday
0:02.0,,,77-85,,S. Hill misses 3-pt shot from 23 ft
0:00.0,Defensive rebound by D. Powell,,77-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,77-88,3,L. Galloway makes 3-pt shot from 26 ft (assist by T. Evans)
11:32.0,Turnover by J. Anderson (traveling),,77-88,,
11:07.0,,,77-88,,T. Evans misses 3-pt shot from 25 ft
11:06.0,,,77-88,,Offensive rebound by Team
11:06.0,,,77-88,,Turnover by Team (shot clock)
10:57.0,Turnover by D. Williams (traveling),,77-88,,
10:36.0,,,77-88,,Turnover by T. Jones (lost ball; steal by D. Williams)
10:19.0,J. Anderson makes 2-pt shot from 1 ft (assist by D. Williams),2,79-88,,
10:02.0,,,79-88,,E. Moore misses 2-pt shot from 11 ft
10:00.0,Defensive rebound by D. Powell,,79-88,,
9:48.0,S. Curry makes 3-pt shot from 25 ft (assist by D. Williams),3,82-88,,
9:47.0,,,82-88,,New Orleans full timeout
9:27.0,,,82-88,,L. Galloway misses 2-pt shot from 14 ft
9:26.0,Defensive rebound by H. Barnes,,82-88,,
9:13.0,Shooting foul by D. Cunningham (drawn by D. Powell),,82-88,,
9:13.0,D. Powell makes free throw 1 of 2,1,83-88,,
9:13.0,D. Powell misses free throw 2 of 2,,83-88,,
9:13.0,,,83-88,,J. Holiday enters the game for E. Moore
9:11.0,,,83-88,,Defensive rebound by D. Cunningham
9:01.0,Shooting block foul by S. Curry (drawn by D. Cunningham),,83-88,,
9:01.0,,,83-89,1,D. Cunningham makes free throw 1 of 2
9:01.0,,,83-90,1,D. Cunningham makes free throw 2 of 2
9:01.0,W. Matthews enters the game for S. Curry,,83-89,,
9:01.0,D. Finney-Smith enters the game for H. Barnes,,83-89,,
8:45.0,J. Anderson makes 3-pt shot from 26 ft (assist by D. Williams),3,86-90,,
8:36.0,Personal foul by D. Williams (drawn by T. Jones),,86-90,,
8:26.0,,,86-90,,Turnover by L. Galloway (lost ball; steal by W. Matthews)
8:13.0,D. Williams misses 3-pt shot from 27 ft,,86-90,,
8:11.0,Offensive rebound by D. Finney-Smith,,86-90,,
7:56.0,W. Matthews misses 3-pt shot from 25 ft,,86-90,,
7:56.0,,,86-90,,Defensive rebound by T. Jones
7:47.0,,,86-90,,T. Evans misses 3-pt shot from 25 ft
7:46.0,Defensive rebound by J. Anderson,,86-90,,
7:46.0,Dallas full timeout,,86-90,,
7:46.0,,,86-90,,A. Davis enters the game for T. Evans
7:46.0,,,86-90,,S. Hill enters the game for T. Jones
7:46.0,S. Curry enters the game for D. Williams,,86-90,,
7:46.0,S. Mejri enters the game for D. Powell,,86-90,,
7:46.0,H. Barnes enters the game for J. Anderson,,86-90,,
7:27.0,Shooting foul by D. Cunningham (drawn by S. Curry),,86-90,,
7:27.0,S. Curry makes free throw 1 of 2,1,87-90,,
7:27.0,S. Curry makes free throw 2 of 2,1,88-90,,
7:15.0,,,88-90,,J. Holiday misses 2-pt shot from 15 ft
7:15.0,Defensive rebound by S. Mejri,,88-90,,
6:51.0,H. Barnes misses 2-pt shot from 19 ft,,88-90,,
6:50.0,,,88-90,,Defensive rebound by D. Cunningham
6:39.0,Personal foul by W. Matthews (drawn by J. Holiday),,88-90,,
6:27.0,,,88-93,3,L. Galloway makes 3-pt shot from 25 ft (assist by J. Holiday)
6:05.0,S. Curry misses 3-pt shot from 27 ft,,88-93,,
6:04.0,,,88-93,,Defensive rebound by D. Cunningham
5:55.0,,,88-93,,J. Holiday misses 2-pt shot from 2 ft
5:55.0,,,88-93,,Offensive rebound by A. Davis
5:52.0,,,88-95,2,A. Davis makes 2-pt shot from 2 ft
5:25.0,Turnover by S. Curry (lost ball; steal by J. Holiday),,88-95,,
5:21.0,,,88-95,,Offensive foul by A. Davis
5:21.0,,,88-95,,Turnover by A. Davis (offensive foul)
5:21.0,D. Williams enters the game for D. Finney-Smith,,88-95,,
5:06.0,D. Williams makes 3-pt shot from 25 ft (assist by S. Curry),3,91-95,,
4:50.0,,,91-95,,Turnover by J. Holiday (lost ball; steal by W. Matthews)
4:35.0,D. Williams makes 3-pt shot from 26 ft (assist by S. Curry),3,94-95,,
4:35.0,,,94-95,,New Orleans full timeout
4:23.0,,,94-98,3,D. Cunningham makes 3-pt shot from 26 ft (assist by J. Holiday)
4:05.0,,,94-98,,Personal foul by D. Cunningham (drawn by H. Barnes)
3:54.0,D. Williams misses 2-pt shot from 19 ft,,94-98,,
3:53.0,,,94-98,,Defensive rebound by L. Galloway
3:44.0,,,94-98,,Turnover by A. Davis (lost ball; steal by S. Mejri)
3:23.0,Turnover by H. Barnes (lost ball; steal by S. Hill),,94-98,,
3:16.0,,,94-98,,J. Holiday misses 2-pt shot from 2 ft
3:15.0,Defensive rebound by S. Mejri,,94-98,,
2:54.0,W. Matthews misses 3-pt shot from 25 ft,,94-98,,
2:52.0,Offensive rebound by D. Williams,,94-98,,
2:50.0,Shooting foul by S. Hill (drawn by W. Matthews),,94-98,,
2:50.0,W. Matthews makes free throw 1 of 2,1,95-98,,
2:50.0,W. Matthews makes free throw 2 of 2,1,96-98,,
2:39.0,,,96-98,,Shooting foul by S. Mejri (drawn by A. Davis)
2:39.0,,,96-98,,A. Davis misses free throw 1 of 2
2:39.0,,,96-98,,Offensive rebound by Team
2:39.0,,,96-99,1,A. Davis makes free throw 2 of 2
2:22.0,H. Barnes misses 2-pt shot from 17 ft,,96-99,,
2:21.0,,,96-99,,Defensive rebound by A. Davis
2:12.0,,,96-99,,Shooting foul by D. Williams (drawn by A. Davis)
2:12.0,,,96-100,1,A. Davis makes free throw 1 of 2
2:12.0,Dallas full timeout,,96-100,,
2:12.0,,,96-101,1,A. Davis makes free throw 2 of 2
1:53.0,D. Williams misses 3-pt shot from 26 ft,,96-101,,
1:51.0,,,96-101,,Defensive rebound by A. Davis
1:42.0,,,96-103,2,A. Davis makes 2-pt shot from 19 ft (assist by J. Holiday)
1:32.0,Shooting foul by S. Hill (drawn by W. Matthews),,96-103,,
1:32.0,W. Matthews makes free throw 1 of 2,1,97-103,,
1:32.0,W. Matthews makes free throw 2 of 2,1,98-103,,
1:32.0,D. Finney-Smith enters the game for S. Curry,,97-103,,
1:20.0,Personal foul by D. Finney-Smith (drawn by A. Davis),,98-103,,
1:20.0,,,98-104,1,A. Davis makes free throw 1 of 2
1:20.0,,,98-105,1,A. Davis makes free throw 2 of 2
1:20.0,S. Curry enters the game for D. Finney-Smith,,98-104,,
1:20.0,D. Powell enters the game for S. Mejri,,98-104,,
1:07.0,Shooting foul by J. Holiday (drawn by W. Matthews),,98-105,,
1:07.0,W. Matthews makes free throw 1 of 2,1,99-105,,
1:07.0,W. Matthews makes free throw 2 of 2,1,100-105,,
1:07.0,D. Finney-Smith enters the game for S. Curry,,99-105,,
0:55.0,,,100-105,,Shooting foul by D. Powell (drawn by S. Hill)
0:55.0,,,100-106,1,S. Hill makes free throw 1 of 2
0:55.0,,,100-107,1,S. Hill makes free throw 2 of 2
0:55.0,S. Curry enters the game for D. Finney-Smith,,100-106,,
0:48.0,D. Williams makes 2-pt shot from 2 ft,2,102-107,,
0:27.0,Personal foul by S. Curry (drawn by S. Hill),,102-107,,
0:27.0,,,102-108,1,S. Hill makes free throw 1 of 2
0:27.0,,,102-109,1,S. Hill makes free throw 2 of 2
0:27.0,Dallas full timeout,,102-109,,
0:23.0,H. Barnes misses 2-pt shot from 2 ft (block by A. Davis),,102-109,,
0:20.0,,,102-109,,Defensive rebound by J. Holiday
0:14.0,Personal take foul by S. Curry (drawn by J. Holiday),,102-109,,
0:14.0,,,102-110,1,J. Holiday makes free throw 1 of 2
0:14.0,,,102-111,1,J. Holiday makes free throw 2 of 2
0:14.0,N. Brussino enters the game for H. Barnes,,102-110,,
0:14.0,A. Hammons enters the game for W. Matthews,,102-110,,
0:14.0,D. Finney-Smith enters the game for D. Williams,,102-110,,
0:14.0,J. Gibson enters the game for D. Powell,,102-110,,
0:14.0,J. Anderson enters the game for S. Curry,,102-110,,
