time,Sacramento,pts.away,score,pts.home,Brooklyn
7:12.0,T. Lawson makes free throw 2 of 2,1,46-41,,
7:12.0,,,45-41,,B. Lopez enters the game for L. Scola
7:12.0,,,45-41,,S. Kilpatrick enters the game for Y. Ferrell
7:12.0,,,45-41,,I. Whitehead enters the game for R. Foye
7:12.0,D. Cousins enters the game for K. Koufos,,45-41,,
7:03.0,,,46-41,,Offensive foul by S. Kilpatrick
7:03.0,,,46-41,,Turnover by S. Kilpatrick (offensive foul)
7:03.0,D. Collison enters the game for T. Lawson,,46-41,,
6:40.0,D. Cousins misses 2-pt shot from 15 ft,,46-41,,
6:39.0,,,46-41,,Defensive rebound by J. Hamilton
6:19.0,,,46-41,,B. Lopez misses 2-pt shot from 3 ft
6:18.0,,,46-41,,Offensive rebound by J. Hamilton
6:17.0,,,46-41,,J. Hamilton misses 2-pt shot from 3 ft
6:16.0,,,46-41,,Offensive rebound by B. Lopez
6:15.0,,,46-41,,B. Lopez misses 2-pt shot from 2 ft (block by M. Barnes)
6:13.0,Defensive rebound by O. Casspi,,46-41,,
6:05.0,D. Cousins misses 2-pt shot from 2 ft,,46-41,,
6:04.0,,,46-41,,Defensive rebound by B. Lopez
6:01.0,,,46-43,2,S. Kilpatrick makes 2-pt shot from 5 ft
6:01.0,,,46-43,,Shooting foul by D. Collison (drawn by S. Kilpatrick)
6:01.0,,,46-44,1,S. Kilpatrick makes free throw 1 of 1
5:58.0,Sacramento full timeout,,46-44,,
5:58.0,R. Gay enters the game for M. Barnes,,46-44,,
5:45.0,G. Temple misses 2-pt shot from 2 ft,,46-44,,
5:44.0,,,46-44,,Defensive rebound by J. Hamilton
5:32.0,,,46-47,3,S. Kilpatrick makes 3-pt shot from 23 ft (assist by J. Hamilton)
5:15.0,G. Temple misses 3-pt shot from 24 ft,,46-47,,
5:14.0,,,46-47,,Defensive rebound by J. Hamilton
5:07.0,,,46-47,,B. Lopez misses 3-pt shot from 25 ft
5:06.0,Defensive rebound by O. Casspi,,46-47,,
5:01.0,D. Cousins misses 2-pt shot from 3 ft,,46-47,,
5:00.0,,,46-47,,Defensive rebound by B. Lopez
4:45.0,,,46-47,,Shooting foul by R. Gay (drawn by B. Lopez)
4:45.0,,,46-48,1,B. Lopez makes free throw 1 of 2
4:45.0,,,46-49,1,B. Lopez makes free throw 2 of 2
4:45.0,,,46-48,,J. Harris enters the game for B. Bogdanovic
4:45.0,,,46-48,,T. Booker enters the game for J. Hamilton
4:45.0,A. Afflalo enters the game for G. Temple,,46-48,,
4:29.0,D. Collison misses 2-pt shot from 19 ft,,46-49,,
4:28.0,,,46-49,,Defensive rebound by T. Booker
4:16.0,,,46-52,3,B. Lopez makes 3-pt shot from 25 ft (assist by S. Kilpatrick)
4:00.0,R. Gay makes 3-pt shot from 25 ft,3,49-52,,
3:48.0,Personal foul by A. Afflalo (drawn by S. Kilpatrick),,49-52,,
3:48.0,B. McLemore enters the game for O. Casspi,,49-52,,
3:43.0,,,49-52,,B. Lopez misses 2-pt shot from 12 ft (block by D. Cousins)
3:42.0,,,49-52,,Offensive rebound by Team
3:33.0,,,49-52,,Turnover by Team (shot clock)
3:14.0,B. McLemore misses 2-pt shot from 20 ft,,49-52,,
3:13.0,,,49-52,,Defensive rebound by S. Kilpatrick
3:10.0,,,49-52,,Turnover by S. Kilpatrick (bad pass; steal by B. McLemore)
3:03.0,D. Collison misses 2-pt shot from 5 ft,,49-52,,
3:02.0,Offensive rebound by D. Cousins,,49-52,,
3:00.0,D. Cousins misses 2-pt shot from 1 ft,,49-52,,
2:59.0,Offensive rebound by R. Gay,,49-52,,
2:58.0,R. Gay misses 2-pt shot from 1 ft,,49-52,,
2:58.0,Offensive rebound by R. Gay,,49-52,,
2:57.0,R. Gay misses 2-pt shot from 2 ft,,49-52,,
2:56.0,Offensive rebound by R. Gay,,49-52,,
2:54.0,R. Gay makes 2-pt shot from 2 ft,2,51-52,,
2:40.0,,,51-54,2,T. Booker makes 2-pt shot from 8 ft
2:34.0,D. Collison makes 2-pt shot from 1 ft,2,53-54,,
2:27.0,,,53-54,,Brooklyn full timeout
2:27.0,Official timeout,,53-54,,
2:19.0,,,53-54,,S. Kilpatrick misses 3-pt shot from 26 ft
2:19.0,Defensive rebound by A. Afflalo,,53-54,,
2:07.0,D. Collison makes 3-pt shot from 25 ft,3,56-54,,
1:50.0,,,56-57,3,B. Lopez makes 3-pt shot from 24 ft (assist by T. Booker)
1:34.0,Turnover by R. Gay (lost ball),,56-57,,
1:21.0,,,56-59,2,J. Harris makes 2-pt shot from 7 ft (assist by S. Kilpatrick)
0:51.0,D. Cousins misses 3-pt shot from 25 ft,,56-59,,
0:51.0,Offensive rebound by R. Gay,,56-59,,
0:49.0,B. McLemore makes 2-pt shot from 3 ft (assist by R. Gay),2,58-59,,
0:40.0,,,58-59,,B. Lopez misses 3-pt shot from 24 ft
0:39.0,Defensive rebound by D. Collison,,58-59,,
0:35.0,D. Collison misses 2-pt shot from 2 ft,,58-59,,
0:34.0,,,58-59,,Defensive rebound by B. Lopez
0:27.0,,,58-59,,J. Harris misses 2-pt shot from 3 ft (block by R. Gay)
0:25.0,Defensive rebound by A. Afflalo,,58-59,,
0:04.0,R. Gay misses 2-pt shot from 7 ft,,58-59,,
0:03.0,,,58-59,,Defensive rebound by S. Kilpatrick
0:00.0,,,58-59,,S. Kilpatrick misses 2-pt shot from 9 ft
0:00.0,,,58-59,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,58-61,2,B. Lopez makes 2-pt shot from 6 ft
11:28.0,,,58-61,,Personal foul by T. Booker (drawn by D. Cousins)
11:17.0,D. Cousins makes 2-pt shot from 2 ft,2,60-61,,
10:56.0,,,60-61,,Turnover by B. Lopez (bad pass; steal by D. Cousins)
10:49.0,R. Gay misses 3-pt shot from 25 ft,,60-61,,
10:48.0,,,60-61,,Defensive rebound by I. Whitehead
10:44.0,,,60-64,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by I. Whitehead)
10:16.0,D. Cousins makes 3-pt shot from 25 ft,3,63-64,,
9:56.0,,,63-64,,B. Bogdanovic misses 2-pt shot from 17 ft
9:55.0,,,63-64,,Offensive rebound by T. Booker
9:44.0,,,63-64,,T. Booker misses 2-pt shot from 17 ft
9:43.0,Defensive rebound by D. Cousins,,63-64,,
9:32.0,K. Koufos makes 2-pt shot from 6 ft (assist by R. Gay),2,65-64,,
9:15.0,,,65-64,,B. Lopez misses 3-pt shot from 25 ft
9:14.0,Defensive rebound by D. Collison,,65-64,,
9:06.0,Offensive foul by K. Koufos,,65-64,,
9:06.0,Turnover by K. Koufos (offensive foul),,65-64,,
8:53.0,,,65-64,,Offensive charge foul by I. Whitehead
8:53.0,,,65-64,,Turnover by I. Whitehead (offensive foul)
8:45.0,,,65-64,,Personal foul by B. Bogdanovic (drawn by R. Gay)
8:37.0,R. Gay makes 3-pt shot from 25 ft,3,68-64,,
8:24.0,,,68-64,,B. Lopez misses 2-pt shot from 8 ft
8:23.0,Defensive rebound by D. Cousins,,68-64,,
8:22.0,,,68-64,,Personal foul by T. Booker (drawn by D. Cousins)
8:06.0,D. Collison makes 3-pt shot from 23 ft (assist by R. Gay),3,71-64,,
8:06.0,,,71-64,,Brooklyn full timeout
7:46.0,,,71-64,,Turnover by T. Booker (lost ball; steal by R. Gay)
7:32.0,D. Cousins misses 2-pt shot from 3 ft,,71-64,,
7:31.0,,,71-64,,Defensive rebound by T. Booker
7:26.0,,,71-64,,B. Bogdanovic misses 2-pt shot from 2 ft
7:24.0,Defensive rebound by R. Gay,,71-64,,
7:10.0,D. Collison misses 2-pt shot from 18 ft,,71-64,,
7:09.0,,,71-64,,Defensive rebound by T. Booker
7:01.0,,,71-67,3,I. Whitehead makes 3-pt shot from 25 ft (assist by T. Booker)
6:38.0,R. Gay makes 2-pt shot from 18 ft,2,73-67,,
6:23.0,,,73-69,2,T. Booker makes 2-pt shot from 1 ft
6:07.0,Turnover by R. Gay (lost ball; steal by S. Kilpatrick),,73-69,,
5:54.0,,,73-69,,T. Booker misses 2-pt shot from 14 ft
5:53.0,Defensive rebound by D. Cousins,,73-69,,
5:33.0,D. Cousins misses 2-pt shot from 6 ft,,73-69,,
5:32.0,Offensive rebound by D. Cousins,,73-69,,
5:30.0,D. Cousins misses 2-pt shot from 3 ft,,73-69,,
5:30.0,Offensive rebound by Team,,73-69,,
5:30.0,,,73-69,,J. Harris enters the game for S. Kilpatrick
5:30.0,M. Barnes enters the game for K. Koufos,,73-69,,
5:30.0,,,73-69,,J. Hamilton enters the game for T. Booker
5:20.0,D. Cousins makes 2-pt shot from 19 ft (assist by D. Collison),2,75-69,,
5:01.0,,,75-69,,Turnover by I. Whitehead (bad pass; steal by D. Cousins)
5:00.0,,,75-69,,Clear path foul by I. Whitehead
5:00.0,D. Collison makes clear path free throw 1 of 2,1,76-69,,
5:00.0,D. Collison makes clear path free throw 2 of 2,1,77-69,,
5:00.0,,,77-69,,R. Foye enters the game for I. Whitehead
5:00.0,,,77-69,,Y. Ferrell enters the game for B. Bogdanovic
4:51.0,D. Cousins makes 2-pt shot from 3 ft (assist by M. Barnes),2,79-69,,
4:40.0,,,79-69,,J. Harris misses 3-pt shot from 25 ft
4:39.0,Defensive rebound by A. Afflalo,,79-69,,
4:33.0,Turnover by M. Barnes (bad pass),,79-69,,
4:33.0,,,79-69,,L. Scola enters the game for B. Lopez
4:18.0,,,79-72,3,J. Harris makes 3-pt shot from 24 ft (assist by J. Hamilton)
4:03.0,M. Barnes makes 3-pt shot from 28 ft,3,82-72,,
3:54.0,Personal foul by D. Cousins (drawn by J. Hamilton),,82-72,,
3:54.0,G. Temple enters the game for A. Afflalo,,82-72,,
3:47.0,,,82-72,,Turnover by Y. Ferrell (lost ball)
3:38.0,Turnover by D. Collison (lost ball),,82-72,,
3:19.0,,,82-72,,R. Foye misses 3-pt shot from 23 ft
3:18.0,,,82-72,,Offensive rebound by J. Hamilton
3:16.0,,,82-74,2,J. Hamilton makes 2-pt shot from 6 ft
3:00.0,Shooting foul by L. Scola (drawn by D. Cousins),,82-74,,
3:00.0,Technical foul by D. Cousins,,82-74,,
3:00.0,,,82-75,1,R. Foye makes technical free throw
3:00.0,D. Cousins makes free throw 1 of 2,1,83-75,,
3:00.0,D. Cousins makes free throw 2 of 2,1,84-75,,
3:00.0,T. Lawson enters the game for M. Barnes,,83-75,,
3:00.0,O. Casspi enters the game for R. Gay,,83-75,,
3:00.0,M. Barnes enters the game for D. Collison,,83-75,,
2:45.0,,,84-75,,J. Harris misses 2-pt shot from 3 ft
2:44.0,Defensive rebound by O. Casspi,,84-75,,
2:36.0,T. Lawson misses 2-pt shot from 20 ft,,84-75,,
2:35.0,,,84-75,,Defensive rebound by J. Hamilton
2:26.0,,,84-75,,Turnover by R. Foye (lost ball; steal by G. Temple)
2:22.0,Turnover by G. Temple (bad pass; steal by R. Foye),,84-75,,
2:06.0,,,84-77,2,J. Hamilton makes 2-pt shot from 3 ft
1:57.0,M. Barnes misses 3-pt shot from 25 ft,,84-77,,
1:56.0,,,84-77,,Defensive rebound by R. Foye
1:48.0,,,84-77,,J. Hamilton misses 3-pt shot from 23 ft
1:47.0,Defensive rebound by G. Temple,,84-77,,
1:47.0,Sacramento full timeout,,84-77,,
1:47.0,,,84-77,,T. Booker enters the game for J. Hamilton
1:32.0,D. Cousins makes 2-pt shot at rim (assist by M. Barnes),2,86-77,,
1:04.0,,,86-77,,Turnover by L. Scola (lost ball; steal by D. Cousins)
0:54.0,D. Cousins makes 3-pt shot from 26 ft (assist by M. Barnes),3,89-77,,
0:43.0,,,89-77,,J. Harris misses 3-pt shot from 25 ft
0:41.0,Defensive rebound by T. Lawson,,89-77,,
0:39.0,,,89-77,,Inbound foul by L. Scola
0:39.0,G. Temple makes free throw 1 of 1,1,90-77,,
0:39.0,,,89-77,,B. Lopez enters the game for L. Scola
0:27.0,,,90-77,,Shooting block foul by J. Harris (drawn by D. Cousins)
0:27.0,D. Cousins makes free throw 1 of 2,1,91-77,,
0:27.0,D. Cousins makes free throw 2 of 2,1,92-77,,
0:27.0,,,91-77,,S. Kilpatrick enters the game for Y. Ferrell
0:07.0,,,92-77,,T. Booker misses 2-pt shot from 6 ft
0:05.0,Defensive rebound by D. Cousins,,92-77,,
0:01.0,Turnover by D. Cousins (lost ball; steal by T. Booker),,92-77,,
0:00.0,,,92-77,,R. Foye misses 3-pt shot from 70 ft
0:00.0,,,92-77,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,M. Barnes misses 3-pt shot from 25 ft,,92-77,,
11:36.0,,,92-77,,Defensive rebound by R. Foye
11:28.0,,,92-77,,S. Kilpatrick misses 3-pt shot from 25 ft
11:27.0,Defensive rebound by O. Casspi,,92-77,,
11:18.0,T. Lawson makes 3-pt shot from 25 ft,3,95-77,,
10:56.0,,,95-77,,Turnover by I. Whitehead (lost ball; steal by T. Lawson)
10:52.0,T. Lawson makes 2-pt shot from 4 ft,2,97-77,,
10:30.0,,,97-77,,B. Lopez misses 2-pt shot from 5 ft
10:30.0,Defensive rebound by O. Casspi,,97-77,,
10:17.0,T. Lawson misses 2-pt shot from 20 ft,,97-77,,
10:16.0,,,97-77,,Defensive rebound by R. Foye
10:09.0,Personal foul by G. Temple (drawn by S. Kilpatrick),,97-77,,
10:05.0,,,97-77,,B. Lopez misses 2-pt shot from 24 ft
10:04.0,,,97-77,,Offensive rebound by J. Hamilton
10:02.0,,,97-79,2,J. Hamilton makes 2-pt shot from 1 ft
9:54.0,,,97-79,,Personal foul by R. Foye (drawn by O. Casspi)
9:39.0,G. Temple misses 3-pt shot from 23 ft,,97-79,,
9:38.0,,,97-79,,Defensive rebound by R. Foye
9:35.0,Flagrant foul type 1 by M. Barnes (drawn by S. Kilpatrick),,97-79,,
9:35.0,,,97-80,1,S. Kilpatrick makes flagrant free throw 1 of 2
9:35.0,,,97-81,1,S. Kilpatrick makes flagrant free throw 2 of 2
9:35.0,R. Gay enters the game for M. Barnes,,97-79,,
9:26.0,,,97-81,,R. Foye misses 3-pt shot from 24 ft
9:25.0,Defensive rebound by T. Lawson,,97-81,,
9:04.0,K. Koufos misses 2-pt shot from 7 ft,,97-81,,
9:03.0,,,97-81,,Defensive rebound by I. Whitehead
8:52.0,,,97-81,,Shooting foul by K. Koufos (drawn by B. Lopez)
8:52.0,Official timeout,,97-81,,
8:52.0,,,97-82,1,B. Lopez makes free throw 1 of 2
8:52.0,,,97-83,1,B. Lopez makes free throw 2 of 2
8:52.0,,,97-81,,B. Bogdanovic enters the game for I. Whitehead
8:52.0,,,97-81,,T. Booker enters the game for J. Hamilton
8:32.0,R. Gay makes 2-pt shot from 6 ft,2,99-83,,
8:18.0,,,99-85,2,R. Foye makes 2-pt shot from 3 ft (assist by B. Bogdanovic)
8:08.0,Offensive foul by K. Koufos,,99-85,,
8:08.0,Turnover by K. Koufos (offensive foul),,99-85,,
8:08.0,Technical foul by K. Koufos,,99-85,,
8:08.0,,,99-86,1,B. Bogdanovic makes technical free throw
7:57.0,,,99-88,2,S. Kilpatrick makes 2-pt shot from 3 ft
7:36.0,T. Lawson misses 2-pt shot from 21 ft,,99-88,,
7:35.0,,,99-88,,Defensive rebound by T. Booker
7:26.0,,,99-91,3,B. Lopez makes 3-pt shot from 26 ft (assist by T. Booker)
7:26.0,Sacramento full timeout,,99-91,,
7:26.0,D. Cousins enters the game for K. Koufos,,99-91,,
7:09.0,Turnover by T. Lawson (bad pass; steal by S. Kilpatrick),,99-91,,
6:54.0,,,99-93,2,T. Booker makes 2-pt shot from 2 ft (assist by S. Kilpatrick)
6:36.0,,,99-93,,Personal foul by B. Lopez (drawn by D. Cousins)
6:36.0,K. Koufos enters the game for O. Casspi,,99-93,,
6:36.0,D. Collison enters the game for T. Lawson,,99-93,,
6:29.0,R. Gay makes 2-pt shot from 19 ft,2,101-93,,
6:08.0,,,101-93,,B. Bogdanovic misses 3-pt shot from 25 ft
6:07.0,Defensive rebound by D. Cousins,,101-93,,
5:58.0,,,101-93,,Shooting block foul by R. Foye (drawn by D. Cousins)
5:58.0,,,101-93,,Technical foul by Team
5:58.0,D. Collison misses technical free throw,,101-93,,
5:58.0,Offensive rebound by Team,,101-93,,
5:58.0,D. Cousins makes free throw 1 of 2,1,102-93,,
5:58.0,D. Cousins misses free throw 2 of 2,,102-93,,
5:56.0,Offensive rebound by K. Koufos,,102-93,,
5:50.0,R. Gay makes 3-pt shot from 25 ft (assist by D. Cousins),3,105-93,,
5:34.0,,,105-93,,Turnover by S. Kilpatrick (lost ball; steal by D. Cousins)
5:31.0,D. Collison makes 2-pt shot from 2 ft (assist by R. Gay),2,107-93,,
5:31.0,Shooting foul by R. Foye (drawn by D. Collison),,107-93,,
5:31.0,,,107-93,,Technical foul by R. Foye (drawn by D. Collison)
5:31.0,,,107-93,,Brooklyn full timeout
5:31.0,D. Collison makes technical free throw,1,108-93,,
5:31.0,D. Collison misses free throw 1 of 1,,108-93,,
5:29.0,,,108-93,,Defensive rebound by B. Lopez
5:11.0,,,108-93,,Turnover by R. Foye (lost ball; steal by G. Temple)
5:06.0,D. Collison makes 2-pt shot from 2 ft,2,110-93,,
4:55.0,,,110-93,,S. Kilpatrick misses 2-pt shot from 17 ft
4:54.0,Defensive rebound by R. Gay,,110-93,,
4:53.0,,,110-93,,Personal foul by T. Booker (drawn by R. Gay)
4:53.0,R. Gay makes free throw 1 of 2,1,111-93,,
4:53.0,R. Gay makes free throw 2 of 2,1,112-93,,
4:53.0,,,111-93,,J. Hamilton enters the game for B. Lopez
4:38.0,,,112-93,,T. Booker misses 2-pt shot from 6 ft
4:37.0,Defensive rebound by D. Cousins,,112-93,,
4:19.0,D. Cousins makes 3-pt shot from 26 ft (assist by G. Temple),3,115-93,,
