time,Charlotte,pts.away,score,pts.home,Houston
3:32.0,M. Belinelli misses 3-pt shot from 26 ft,,19-23,,
3:31.0,,,19-23,,Defensive rebound by N. Hilario
3:21.0,,,19-23,,Turnover by J. Harden (bad pass)
3:08.0,F. Kaminsky makes 3-pt shot from 26 ft (assist by K. Walker),3,22-23,,
2:53.0,,,22-23,,R. Anderson misses 3-pt shot from 29 ft
2:52.0,Defensive rebound by S. Hawes,,22-23,,
2:46.0,,,22-23,,Personal foul by C. Brewer (drawn by K. Walker)
2:46.0,,,22-23,,Houston full timeout
2:46.0,R. Sessions enters the game for K. Walker,,22-23,,
2:37.0,M. Belinelli makes 2-pt shot from 19 ft (assist by F. Kaminsky),2,24-23,,
2:25.0,,,24-26,3,J. Harden makes 3-pt shot from 28 ft (assist by N. Hilario)
2:00.0,R. Sessions misses 2-pt shot from 2 ft,,24-26,,
1:59.0,,,24-26,,Defensive rebound by S. Dekker
1:50.0,,,24-26,,S. Dekker misses 2-pt shot at rim
1:46.0,Defensive rebound by R. Sessions,,24-26,,
1:42.0,M. Belinelli misses 3-pt shot from 25 ft,,24-26,,
1:41.0,,,24-26,,Defensive rebound by J. Harden
1:33.0,,,24-26,,J. Harden misses 2-pt shot from 3 ft
1:33.0,,,24-26,,Offensive rebound by Team
1:29.0,,,24-26,,Shooting foul by M. Kidd-Gilchrist (drawn by J. Harden)
1:29.0,,,24-26,,J. Harden misses free throw 1 of 2
1:29.0,,,24-26,,Offensive rebound by Team
1:29.0,,,24-27,1,J. Harden makes free throw 2 of 2
1:29.0,T. Graham enters the game for M. Kidd-Gilchrist,,24-26,,
1:20.0,Turnover by M. Belinelli (bad pass; steal by C. Brewer),,24-27,,
1:09.0,,,24-27,,R. Anderson misses 3-pt shot from 24 ft
1:07.0,Defensive rebound by S. Hawes,,24-27,,
0:58.0,R. Sessions misses 2-pt shot from 4 ft,,24-27,,
0:57.0,,,24-27,,Defensive rebound by N. Hilario
0:53.0,,,24-29,2,C. Brewer makes 2-pt shot from 3 ft (assist by J. Harden)
0:46.0,R. Sessions makes 2-pt shot from 2 ft,2,26-29,,
0:25.0,,,26-32,3,J. Harden makes 3-pt shot from 26 ft
0:10.0,,,26-32,,Personal foul by C. Brewer (drawn by R. Sessions)
0:00.0,F. Kaminsky misses 3-pt shot from 26 ft,,26-32,,
0:00.0,Offensive rebound by Team,,26-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,26-34,2,M. Harrell makes 2-pt shot from 2 ft (assist by P. Beverley)
11:46.0,Violation by S. Hawes (def goaltending),,26-34,,
11:21.0,S. Hawes makes 2-pt shot from 4 ft (assist by M. Belinelli),2,28-34,,
11:12.0,,,28-34,,Shooting foul by S. Hawes (drawn by M. Harrell)
11:12.0,,,28-35,1,M. Harrell makes free throw 1 of 2
11:12.0,,,28-36,1,M. Harrell makes free throw 2 of 2
10:56.0,Turnover by F. Kaminsky (step out of bounds),,28-36,,
10:42.0,,,28-36,,P. Beverley misses 2-pt shot from 8 ft
10:41.0,Defensive rebound by S. Hawes,,28-36,,
10:30.0,R. Sessions makes 3-pt shot from 26 ft (assist by S. Hawes),3,31-36,,
10:08.0,,,31-39,3,T. Ariza makes 3-pt shot from 25 ft (assist by S. Dekker)
9:53.0,Shooting foul by P. Beverley (drawn by F. Kaminsky),,31-39,,
9:53.0,F. Kaminsky makes free throw 1 of 2,1,32-39,,
9:53.0,F. Kaminsky makes free throw 2 of 2,1,33-39,,
9:36.0,,,33-41,2,C. Brewer makes 2-pt shot from 3 ft (assist by P. Beverley)
9:22.0,Turnover by R. Sessions (bad pass; steal by M. Harrell),,33-41,,
9:14.0,,,33-41,,T. Ariza misses 3-pt shot from 25 ft
9:13.0,,,33-41,,Offensive rebound by M. Harrell
9:02.0,,,33-43,2,T. Ariza makes 2-pt shot from 7 ft
8:45.0,F. Kaminsky makes 2-pt shot from 2 ft (assist by R. Sessions),2,35-43,,
8:40.0,,,35-43,,Offensive charge foul by S. Dekker
8:40.0,,,35-43,,Turnover by S. Dekker (offensive foul)
8:40.0,Official timeout,,35-43,,
8:40.0,K. Walker enters the game for M. Belinelli,,35-43,,
8:15.0,K. Walker misses 2-pt shot from 21 ft,,35-43,,
8:14.0,,,35-43,,Defensive rebound by C. Brewer
8:01.0,,,35-46,3,P. Beverley makes 3-pt shot from 26 ft (assist by T. Ariza)
7:34.0,F. Kaminsky misses 3-pt shot from 26 ft,,35-46,,
7:33.0,Offensive rebound by K. Walker,,35-46,,
7:20.0,K. Walker makes 3-pt shot from 25 ft (assist by S. Hawes),3,38-46,,
7:02.0,,,38-48,2,C. Brewer makes 2-pt shot from 4 ft (assist by M. Harrell)
6:46.0,Turnover by K. Walker (bad pass; steal by S. Dekker),,38-48,,
6:30.0,,,38-48,,Turnover by P. Beverley (palming)
6:16.0,J. Lamb makes 2-pt shot from 8 ft,2,40-48,,
5:59.0,,,40-48,,Shooting foul by S. Hawes (drawn by T. Ariza)
5:59.0,,,40-48,,Houston full timeout
5:59.0,,,40-49,1,T. Ariza makes free throw 1 of 2
5:59.0,,,40-50,1,T. Ariza makes free throw 2 of 2
5:59.0,M. Kidd-Gilchrist enters the game for R. Sessions,,40-48,,
5:59.0,,,40-48,,R. Anderson enters the game for M. Harrell
5:59.0,,,40-48,,N. Hilario enters the game for P. Beverley
5:59.0,,,40-48,,J. Harden enters the game for S. Dekker
5:44.0,F. Kaminsky misses 3-pt shot from 23 ft,,40-50,,
5:43.0,,,40-50,,Defensive rebound by J. Harden
5:25.0,,,40-50,,N. Hilario misses 2-pt shot from 20 ft
5:24.0,Defensive rebound by S. Hawes,,40-50,,
5:13.0,S. Hawes misses 3-pt shot from 26 ft,,40-50,,
5:12.0,,,40-50,,Defensive rebound by J. Harden
4:57.0,,,40-50,,J. Harden misses 2-pt shot from 14 ft
4:56.0,,,40-50,,Offensive rebound by J. Harden
4:52.0,,,40-53,3,J. Harden makes 3-pt shot from 24 ft (assist by R. Anderson)
4:30.0,F. Kaminsky misses 2-pt shot from 2 ft,,40-53,,
4:29.0,,,40-53,,Defensive rebound by N. Hilario
4:22.0,,,40-53,,N. Hilario misses 2-pt shot at rim
4:20.0,Defensive rebound by J. Lamb,,40-53,,
4:08.0,S. Hawes makes 3-pt shot from 25 ft (assist by J. Lamb),3,43-53,,
3:57.0,,,43-55,2,J. Harden makes 2-pt shot from 3 ft
3:49.0,Charlotte full timeout,,43-55,,
3:49.0,R. Hibbert enters the game for S. Hawes,,43-55,,
3:49.0,M. Williams enters the game for F. Kaminsky,,43-55,,
3:49.0,,,43-55,,P. Beverley enters the game for C. Brewer
3:40.0,Turnover by K. Walker (bad pass; steal by R. Anderson),,43-55,,
3:35.0,,,43-57,2,N. Hilario makes 2-pt shot at rim (assist by J. Harden)
3:06.0,M. Williams misses 3-pt shot from 28 ft,,43-57,,
3:03.0,,,43-57,,Defensive rebound by T. Ariza
2:57.0,,,43-60,3,J. Harden makes 3-pt shot from 25 ft
2:41.0,K. Walker misses 2-pt shot from 4 ft,,43-60,,
2:40.0,,,43-60,,Defensive rebound by P. Beverley
2:33.0,,,43-60,,J. Harden misses 3-pt shot from 28 ft
2:31.0,,,43-60,,Offensive rebound by R. Anderson
2:26.0,,,43-63,3,R. Anderson makes 3-pt shot from 25 ft (assist by J. Harden)
2:16.0,Charlotte full timeout,,43-63,,
2:16.0,T. Graham enters the game for R. Hibbert,,43-63,,
2:16.0,S. Hawes enters the game for M. Kidd-Gilchrist,,43-63,,
2:07.0,J. Lamb misses 2-pt shot from 5 ft,,43-63,,
2:06.0,,,43-63,,Defensive rebound by J. Harden
1:53.0,,,43-63,,Shooting foul by K. Walker (drawn by P. Beverley)
1:53.0,,,43-64,1,P. Beverley makes free throw 1 of 2
1:53.0,,,43-65,1,P. Beverley makes free throw 2 of 2
1:53.0,M. Belinelli enters the game for J. Lamb,,43-64,,
1:43.0,,,43-65,,Personal foul by T. Ariza (drawn by M. Belinelli)
1:35.0,Shooting foul by N. Hilario (drawn by M. Williams),,43-65,,
1:35.0,M. Williams misses free throw 1 of 2,,43-65,,
1:35.0,Offensive rebound by Team,,43-65,,
1:35.0,M. Williams makes free throw 2 of 2,1,44-65,,
1:22.0,,,44-65,,J. Harden misses 2-pt shot from 18 ft
1:21.0,Defensive rebound by M. Belinelli,,44-65,,
1:13.0,Turnover by M. Belinelli (bad pass),,44-65,,
1:05.0,,,44-65,,T. Ariza misses 2-pt shot from 20 ft
1:03.0,Defensive rebound by T. Graham,,44-65,,
0:59.0,K. Walker misses 2-pt shot from 4 ft (block by N. Hilario),,44-65,,
0:59.0,Offensive rebound by Team,,44-65,,
0:55.0,K. Walker misses 3-pt shot from 23 ft,,44-65,,
0:54.0,,,44-65,,Defensive rebound by J. Harden
0:42.0,,,44-67,2,N. Hilario makes 2-pt shot from 4 ft (assist by T. Ariza)
0:28.0,M. Belinelli makes 3-pt shot from 26 ft (assist by K. Walker),3,47-67,,
0:06.0,,,47-67,,J. Harden misses 3-pt shot from 25 ft
0:05.0,Defensive rebound by K. Walker,,47-67,,
0:00.0,K. Walker misses 3-pt shot from 27 ft,,47-67,,
0:00.0,Offensive rebound by Team,,47-67,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,47-67,,T. Ariza misses 2-pt shot from 19 ft
11:42.0,Defensive rebound by M. Williams,,47-67,,
11:27.0,J. Lamb misses 3-pt shot from 24 ft,,47-67,,
11:25.0,,,47-67,,Defensive rebound by J. Harden
11:22.0,,,47-67,,Turnover by J. Harden (bad pass; steal by M. Williams)
11:11.0,M. Williams makes 2-pt shot from 3 ft (assist by K. Walker),2,49-67,,
10:58.0,,,49-67,,P. Beverley misses 3-pt shot from 24 ft
10:56.0,Defensive rebound by J. Lamb,,49-67,,
10:47.0,J. Lamb misses 3-pt shot from 24 ft,,49-67,,
10:44.0,,,49-67,,Defensive rebound by J. Harden
10:43.0,,,49-67,,Shooting foul by M. Williams (drawn by J. Harden)
10:43.0,,,49-68,1,J. Harden makes free throw 1 of 2
10:43.0,,,49-69,1,J. Harden makes free throw 2 of 2
10:29.0,M. Kidd-Gilchrist misses 2-pt shot from 18 ft,,49-69,,
10:28.0,,,49-69,,Defensive rebound by J. Harden
10:21.0,,,49-69,,R. Anderson misses 3-pt shot from 27 ft
10:19.0,Defensive rebound by M. Kidd-Gilchrist,,49-69,,
10:08.0,K. Walker makes 3-pt shot from 25 ft (assist by J. Lamb),3,52-69,,
9:50.0,,,52-69,,J. Harden misses 3-pt shot from 25 ft
9:49.0,Defensive rebound by R. Hibbert,,52-69,,
9:37.0,J. Lamb misses 2-pt shot from 8 ft,,52-69,,
9:36.0,Offensive rebound by R. Hibbert,,52-69,,
9:24.0,M. Kidd-Gilchrist misses 2-pt shot from 7 ft (block by M. Harrell),,52-69,,
9:21.0,,,52-69,,Defensive rebound by R. Anderson
9:09.0,,,52-69,,P. Beverley misses 3-pt shot from 24 ft
9:08.0,,,52-69,,Offensive rebound by R. Anderson
9:03.0,,,52-72,3,R. Anderson makes 3-pt shot from 23 ft
8:47.0,M. Williams misses 3-pt shot from 24 ft,,52-72,,
8:46.0,,,52-72,,Defensive rebound by P. Beverley
8:37.0,,,52-72,,J. Harden misses 2-pt shot from 7 ft (block by R. Hibbert)
8:37.0,,,52-72,,Offensive rebound by Team
8:29.0,,,52-72,,P. Beverley misses 3-pt shot from 26 ft
8:27.0,Defensive rebound by M. Williams,,52-72,,
8:19.0,K. Walker makes 2-pt shot from 3 ft,2,54-72,,
8:00.0,,,54-72,,Offensive charge foul by P. Beverley
8:00.0,,,54-72,,Turnover by P. Beverley (offensive foul)
7:48.0,K. Walker misses 3-pt shot from 26 ft,,54-72,,
7:46.0,Offensive rebound by M. Kidd-Gilchrist,,54-72,,
7:41.0,M. Williams makes 3-pt shot from 26 ft (assist by M. Kidd-Gilchrist),3,57-72,,
7:28.0,,,57-72,,R. Anderson misses 2-pt shot from 2 ft
7:26.0,Defensive rebound by R. Hibbert,,57-72,,
7:19.0,Turnover by K. Walker (lost ball; steal by M. Harrell),,57-72,,
7:11.0,,,57-75,3,P. Beverley makes 3-pt shot from 26 ft (assist by J. Harden)
6:43.0,K. Walker makes 3-pt shot from 25 ft,3,60-75,,
6:24.0,,,60-75,,J. Harden misses 3-pt shot from 26 ft
6:23.0,Defensive rebound by K. Walker,,60-75,,
6:10.0,R. Hibbert makes 2-pt shot from 11 ft (assist by J. Lamb),2,62-75,,
6:08.0,,,62-75,,Houston full timeout
6:08.0,,,62-75,,C. Brewer enters the game for M. Harrell
6:08.0,,,62-75,,N. Hilario enters the game for P. Beverley
5:53.0,,,62-75,,R. Anderson misses 3-pt shot from 26 ft
5:52.0,,,62-75,,Offensive rebound by N. Hilario
5:49.0,,,62-75,,Turnover by N. Hilario (bad pass; steal by K. Walker)
5:44.0,M. Kidd-Gilchrist misses 2-pt shot from 4 ft,,62-75,,
5:38.0,Offensive rebound by M. Williams,,62-75,,
5:36.0,M. Williams makes 2-pt shot from 1 ft,2,64-75,,
5:28.0,,,64-78,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
5:28.0,,,64-78,,Shooting foul by J. Lamb (drawn by T. Ariza)
5:28.0,,,64-78,,T. Ariza misses free throw 1 of 1
5:26.0,Defensive rebound by M. Williams,,64-78,,
5:13.0,,,64-78,,Personal foul by J. Harden (drawn by J. Lamb)
5:13.0,M. Belinelli enters the game for J. Lamb,,64-78,,
4:57.0,M. Belinelli makes 3-pt shot from 26 ft,3,67-78,,
4:41.0,,,67-78,,Shooting foul by R. Hibbert (drawn by N. Hilario)
4:41.0,,,67-79,1,N. Hilario makes free throw 1 of 2
4:41.0,,,67-79,,N. Hilario misses free throw 2 of 2
4:39.0,Defensive rebound by M. Williams,,67-79,,
4:22.0,M. Williams misses 2-pt shot from 18 ft,,67-79,,
4:21.0,,,67-79,,Defensive rebound by J. Harden
4:14.0,,,67-79,,Shooting foul by M. Williams (drawn by N. Hilario)
4:14.0,,,67-80,1,N. Hilario makes free throw 1 of 2
4:14.0,,,67-81,1,N. Hilario makes free throw 2 of 2
4:14.0,S. Hawes enters the game for R. Hibbert,,67-80,,
4:14.0,,,67-80,,S. Dekker enters the game for T. Ariza
4:01.0,S. Hawes makes 2-pt shot at rim (assist by M. Belinelli),2,69-81,,
3:41.0,,,69-84,3,J. Harden makes 3-pt shot from 25 ft (assist by S. Dekker)
3:23.0,K. Walker makes 2-pt shot from 17 ft (assist by M. Belinelli),2,71-84,,
3:14.0,,,71-84,,C. Brewer misses 2-pt shot from 2 ft
3:13.0,Defensive rebound by S. Hawes,,71-84,,
2:54.0,S. Hawes makes 2-pt shot from 3 ft (assist by M. Belinelli),2,73-84,,
2:42.0,,,73-84,,N. Hilario misses 2-pt shot from 3 ft (block by K. Walker)
2:40.0,Defensive rebound by M. Kidd-Gilchrist,,73-84,,
2:39.0,,,73-84,,Personal foul by J. Harden (drawn by M. Kidd-Gilchrist)
2:39.0,Charlotte full timeout,,73-84,,
2:39.0,R. Sessions enters the game for M. Williams,,73-84,,
2:39.0,F. Kaminsky enters the game for K. Walker,,73-84,,
2:25.0,S. Hawes misses 2-pt shot at rim,,73-84,,
2:23.0,,,73-84,,Defensive rebound by C. Brewer
2:14.0,,,73-84,,Shooting foul by S. Hawes (drawn by J. Harden)
2:14.0,,,73-85,1,J. Harden makes free throw 1 of 2
2:14.0,,,73-86,1,J. Harden makes free throw 2 of 2
2:00.0,M. Belinelli makes 2-pt shot from 19 ft (assist by M. Kidd-Gilchrist),2,75-86,,
1:48.0,,,75-86,,J. Harden misses 2-pt shot from 14 ft
1:47.0,Defensive rebound by F. Kaminsky,,75-86,,
1:35.0,S. Hawes misses 3-pt shot from 26 ft,,75-86,,
1:32.0,,,75-86,,Defensive rebound by J. Harden
1:30.0,,,75-86,,Shooting foul by M. Kidd-Gilchrist (drawn by J. Harden)
1:30.0,,,75-86,,J. Harden misses free throw 1 of 3
1:30.0,,,75-86,,Offensive rebound by Team
1:30.0,,,75-87,1,J. Harden makes free throw 2 of 3
1:30.0,,,75-88,1,J. Harden makes free throw 3 of 3
1:12.0,F. Kaminsky makes 2-pt shot from 7 ft (assist by S. Hawes),2,77-88,,
1:00.0,,,77-90,2,R. Anderson makes 2-pt shot from 9 ft
0:47.0,F. Kaminsky misses 3-pt shot from 26 ft,,77-90,,
0:47.0,,,77-90,,Defensive rebound by Team
0:47.0,Loose ball foul by S. Hawes (drawn by N. Hilario),,77-90,,
0:47.0,,,77-90,,N. Hilario misses free throw 1 of 2
0:47.0,,,77-90,,Offensive rebound by Team
0:47.0,,,77-91,1,N. Hilario makes free throw 2 of 2
0:42.0,,,77-91,,Personal foul by N. Hilario (drawn by R. Sessions)
0:33.0,S. Hawes makes 2-pt shot from 6 ft (assist by M. Kidd-Gilchrist),2,79-91,,
0:30.0,,,79-94,3,J. Harden makes 3-pt shot from 27 ft
0:08.0,R. Sessions misses 2-pt shot from 8 ft (block by N. Hilario),,79-94,,
0:06.0,,,79-94,,Defensive rebound by C. Brewer
0:04.0,,,79-96,2,C. Brewer makes 2-pt shot from 2 ft
0:00.0,M. Belinelli misses 3-pt shot from 40 ft,,79-96,,
0:00.0,Offensive rebound by Team,,79-96,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,M. Belinelli makes 2-pt shot from 1 ft (assist by S. Hawes),2,81-96,,
11:29.0,,,81-98,2,M. Harrell makes 2-pt shot from 5 ft (assist by T. Ariza)
11:06.0,J. Lamb makes 2-pt shot from 7 ft,2,83-98,,
10:52.0,,,83-98,,S. Dekker misses 3-pt shot from 23 ft
10:50.0,Defensive rebound by J. Lamb,,83-98,,
10:40.0,Offensive foul by S. Hawes,,83-98,,
10:40.0,Turnover by S. Hawes (offensive foul),,83-98,,
10:26.0,,,83-100,2,C. Brewer makes 2-pt shot from 19 ft (assist by M. Harrell)
10:11.0,J. Lamb misses 2-pt shot from 20 ft,,83-100,,
10:09.0,,,83-100,,Defensive rebound by P. Beverley
10:03.0,,,83-103,3,S. Dekker makes 3-pt shot from 25 ft (assist by P. Beverley)
10:03.0,Charlotte full timeout,,83-103,,
9:44.0,S. Hawes makes 3-pt shot from 26 ft (assist by M. Belinelli),3,86-103,,
9:30.0,,,86-103,,T. Ariza misses 3-pt shot from 25 ft
9:29.0,Defensive rebound by J. Lamb,,86-103,,
9:19.0,M. Belinelli misses 2-pt shot from 20 ft,,86-103,,
9:18.0,,,86-103,,Defensive rebound by C. Brewer
9:14.0,,,86-103,,Offensive charge foul by C. Brewer
9:14.0,,,86-103,,Turnover by C. Brewer (offensive foul)
9:14.0,K. Walker enters the game for R. Sessions,,86-103,,
9:02.0,S. Hawes makes 2-pt shot from 14 ft (assist by K. Walker),2,88-103,,
8:44.0,Violation by S. Hawes (def goaltending),,88-103,,
8:44.0,,,88-105,2,C. Brewer makes 2-pt shot from 4 ft (assist by S. Dekker)
8:44.0,Violation by Team (jump ball),,88-105,,
8:27.0,F. Kaminsky makes 2-pt shot from 2 ft (assist by M. Belinelli),2,90-105,,
8:05.0,,,90-108,3,C. Brewer makes 3-pt shot from 24 ft (assist by P. Beverley)
7:48.0,,,90-108,,J. Harden enters the game for S. Dekker
7:48.0,M. Kidd-Gilchrist enters the game for J. Lamb,,90-108,,
7:39.0,F. Kaminsky makes 2-pt shot from 6 ft (assist by K. Walker),2,92-108,,
7:20.0,,,92-108,,C. Brewer misses 3-pt shot from 25 ft
7:19.0,Defensive rebound by K. Walker,,92-108,,
7:11.0,F. Kaminsky makes 3-pt shot from 26 ft (assist by K. Walker),3,95-108,,
6:49.0,,,95-108,,P. Beverley misses 3-pt shot from 25 ft
6:48.0,Defensive rebound by M. Belinelli,,95-108,,
6:40.0,M. Belinelli misses 3-pt shot from 25 ft,,95-108,,
6:38.0,,,95-108,,Defensive rebound by P. Beverley
6:18.0,,,95-110,2,M. Harrell makes 2-pt shot from 3 ft (assist by J. Harden)
6:18.0,,,95-110,,Shooting foul by S. Hawes (drawn by M. Harrell)
6:18.0,,,95-110,,M. Harrell misses free throw 1 of 1
6:18.0,,,95-110,,R. Anderson enters the game for C. Brewer
6:18.0,R. Hibbert enters the game for S. Hawes,,95-110,,
6:15.0,Defensive rebound by F. Kaminsky,,95-110,,
6:02.0,K. Walker makes 3-pt shot from 26 ft,3,98-110,,
5:44.0,,,98-110,,P. Beverley misses 3-pt shot from 26 ft
5:43.0,Defensive rebound by M. Kidd-Gilchrist,,98-110,,
5:33.0,Turnover by K. Walker (bad pass; steal by R. Anderson),,98-110,,
5:24.0,,,98-110,,T. Ariza misses 3-pt shot from 23 ft
5:21.0,,,98-110,,Offensive rebound by P. Beverley
5:19.0,,,98-110,,P. Beverley misses 2-pt shot from 5 ft (block by M. Kidd-Gilchrist)
5:16.0,Defensive rebound by R. Hibbert,,98-110,,
5:02.0,F. Kaminsky makes 3-pt shot from 26 ft (assist by K. Walker),3,101-110,,
4:42.0,,,101-110,,R. Anderson misses 2-pt shot from 18 ft
4:41.0,Defensive rebound by M. Kidd-Gilchrist,,101-110,,
4:38.0,,,101-110,,Personal foul by P. Beverley (drawn by K. Walker)
4:38.0,Official timeout,,101-110,,
4:38.0,,,101-110,,C. Brewer enters the game for P. Beverley
4:38.0,M. Williams enters the game for R. Hibbert,,101-110,,
4:25.0,M. Belinelli makes 3-pt shot from 26 ft (assist by K. Walker),3,104-110,,
3:56.0,,,104-110,,J. Harden misses 3-pt shot from 25 ft
3:55.0,Defensive rebound by M. Williams,,104-110,,
3:41.0,M. Williams makes 2-pt shot from 3 ft (assist by K. Walker),2,106-110,,
3:20.0,,,106-110,,C. Brewer misses 2-pt shot from 3 ft
3:17.0,Defensive rebound by F. Kaminsky,,106-110,,
3:06.0,K. Walker makes 2-pt shot from 3 ft,2,108-110,,
3:06.0,,,108-110,,Shooting block foul by M. Harrell (drawn by K. Walker)
3:06.0,K. Walker misses free throw 1 of 1,,108-110,,
3:06.0,,,108-110,,P. Beverley enters the game for C. Brewer
3:05.0,,,108-110,,Defensive rebound by J. Harden
2:43.0,,,108-110,,J. Harden misses 3-pt shot from 24 ft
2:41.0,Defensive rebound by M. Belinelli,,108-110,,
