time,Toronto,pts.away,score,pts.home,Dallas
0:30.0,D. DeRozan misses 2-pt shot from 3 ft,,30-20,,
0:29.0,,,30-20,,Defensive rebound by D. Nowitzki
0:25.0,,,30-22,2,S. Mejri makes 2-pt shot at rim (assist by D. Harris)
0:01.0,D. DeRozan misses 3-pt shot from 30 ft,,30-22,,
0:00.0,,,30-22,,Defensive rebound by S. Mejri
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,N. Powell makes 2-pt shot from 1 ft,2,32-22,,
11:27.0,,,32-22,,Offensive foul by D. Harris
11:27.0,,,32-22,,Turnover by D. Harris (offensive foul)
11:27.0,,,32-22,,D. Powell enters the game for S. Mejri
11:06.0,N. Powell misses 2-pt shot from 23 ft,,32-22,,
11:05.0,,,32-22,,Defensive rebound by J. Barea
10:56.0,,,32-22,,D. Powell misses 2-pt shot from 16 ft
10:55.0,Defensive rebound by P. Patterson,,32-22,,
10:45.0,P. Patterson misses 2-pt shot from 1 ft (block by D. Powell),,32-22,,
10:43.0,Offensive rebound by P. Patterson,,32-22,,
10:41.0,P. Patterson makes 2-pt shot from 3 ft,2,34-22,,
10:26.0,Personal foul by P. Patterson (drawn by D. Nowitzki),,34-22,,
10:19.0,,,34-22,,D. Nowitzki misses 2-pt shot from 14 ft
10:18.0,Defensive rebound by P. Tucker,,34-22,,
10:00.0,D. Wright makes 3-pt shot from 24 ft (assist by P. Tucker),3,37-22,,
9:58.0,,,37-22,,Dallas full timeout
9:50.0,,,37-22,,Shooting foul by J. Poeltl (drawn by D. Powell)
9:50.0,,,37-23,1,D. Powell makes free throw 1 of 2
9:50.0,,,37-24,1,D. Powell makes free throw 2 of 2
9:34.0,P. Tucker makes 3-pt shot from 22 ft (assist by N. Powell),3,40-24,,
9:12.0,,,40-24,,Shooting foul by J. Poeltl (drawn by D. Finney-Smith)
9:12.0,,,40-25,1,D. Finney-Smith makes free throw 1 of 2
9:12.0,,,40-26,1,D. Finney-Smith makes free throw 2 of 2
9:12.0,,,40-25,,Y. Ferrell enters the game for J. Barea
8:57.0,Turnover by D. Wright (bad pass),,40-26,,
8:46.0,,,40-26,,Turnover by D. Nowitzki (lost ball; steal by P. Tucker)
8:40.0,D. Wright misses 3-pt shot from 24 ft,,40-26,,
8:40.0,Offensive rebound by Team,,40-26,,
8:40.0,,,40-26,,Loose ball foul by D. Nowitzki (drawn by J. Poeltl)
8:23.0,Turnover by P. Tucker (lost ball; steal by D. Finney-Smith),,40-26,,
8:12.0,,,40-26,,Turnover by Y. Ferrell (bad pass; steal by P. Tucker)
8:07.0,N. Powell makes 2-pt shot from 2 ft (assist by D. Wright),2,42-26,,
8:07.0,,,42-26,,Dallas full timeout
8:07.0,,,42-26,,S. Curry enters the game for D. Harris
8:07.0,,,42-26,,W. Matthews enters the game for D. Finney-Smith
8:07.0,,,42-26,,H. Barnes enters the game for D. Powell
8:07.0,C. Joseph enters the game for J. Poeltl,,42-26,,
8:07.0,J. Valanciunas enters the game for D. Wright,,42-26,,
7:55.0,,,42-26,,D. Nowitzki misses 2-pt shot from 17 ft
7:55.0,Defensive rebound by C. Joseph,,42-26,,
7:37.0,J. Valanciunas misses 2-pt shot from 5 ft,,42-26,,
7:36.0,,,42-26,,Defensive rebound by H. Barnes
7:29.0,,,42-29,3,Y. Ferrell makes 3-pt shot from 22 ft (assist by W. Matthews)
7:12.0,Turnover by N. Powell (bad pass; steal by S. Curry),,42-29,,
7:07.0,,,42-31,2,Y. Ferrell makes 2-pt shot from 1 ft
6:51.0,Shooting foul by D. Nowitzki (drawn by N. Powell),,42-31,,
6:51.0,N. Powell makes free throw 1 of 2,1,43-31,,
6:51.0,N. Powell makes free throw 2 of 2,1,44-31,,
6:51.0,,,43-31,,N. Noel enters the game for D. Nowitzki
6:51.0,S. Ibaka enters the game for P. Patterson,,43-31,,
6:39.0,,,44-33,2,Y. Ferrell makes 2-pt shot from 20 ft
6:22.0,J. Valanciunas makes 2-pt shot from 4 ft (assist by P. Tucker),2,46-33,,
6:22.0,Shooting foul by N. Noel (drawn by J. Valanciunas),,46-33,,
6:22.0,J. Valanciunas makes free throw 1 of 1,1,47-33,,
6:22.0,D. DeRozan enters the game for N. Powell,,46-33,,
6:05.0,,,47-33,,S. Curry misses 3-pt shot from 24 ft
6:04.0,Defensive rebound by P. Tucker,,47-33,,
5:54.0,S. Ibaka misses 2-pt shot from 14 ft,,47-33,,
5:53.0,,,47-33,,Defensive rebound by W. Matthews
5:35.0,,,47-33,,Y. Ferrell misses 2-pt shot from 16 ft
5:34.0,Defensive rebound by P. Tucker,,47-33,,
5:28.0,,,47-33,,Personal block foul by S. Curry (drawn by C. Joseph)
5:16.0,J. Valanciunas misses 2-pt shot from 4 ft,,47-33,,
5:15.0,,,47-33,,Defensive rebound by N. Noel
5:07.0,,,47-33,,Y. Ferrell misses 2-pt shot from 4 ft
5:07.0,Defensive rebound by C. Joseph,,47-33,,
4:52.0,D. DeRozan misses 2-pt shot from 15 ft,,47-33,,
4:51.0,,,47-33,,Defensive rebound by H. Barnes
4:43.0,,,47-35,2,H. Barnes makes 2-pt shot from 2 ft
4:43.0,,,47-35,,Shooting foul by S. Ibaka (drawn by H. Barnes)
4:43.0,,,47-36,1,H. Barnes makes free throw 1 of 1
4:43.0,D. Wright enters the game for P. Tucker,,47-35,,
4:28.0,C. Joseph misses 2-pt shot from 20 ft,,47-36,,
4:26.0,,,47-36,,Defensive rebound by H. Barnes
4:06.0,,,47-36,,Turnover by Y. Ferrell (traveling)
3:44.0,D. DeRozan misses 2-pt shot from 11 ft,,47-36,,
3:43.0,Offensive rebound by C. Joseph,,47-36,,
3:42.0,Turnover by Team (shot clock),,47-36,,
3:28.0,,,47-38,2,H. Barnes makes 2-pt shot from 18 ft (assist by Y. Ferrell)
3:04.0,Turnover by D. Wright (lost ball; steal by H. Barnes),,47-38,,
2:59.0,,,47-38,,S. Curry misses 3-pt shot from 25 ft
2:57.0,,,47-38,,Offensive rebound by N. Noel
2:55.0,Official timeout,,47-38,,
2:38.0,Personal foul by S. Ibaka (drawn by H. Barnes),,47-38,,
2:38.0,,,47-39,1,H. Barnes makes free throw 1 of 2
2:38.0,,,47-40,1,H. Barnes makes free throw 2 of 2
2:38.0,P. Patterson enters the game for S. Ibaka,,47-39,,
2:21.0,D. DeRozan makes 2-pt shot from 20 ft,2,49-40,,
2:07.0,,,49-40,,W. Matthews misses 3-pt shot from 25 ft
2:07.0,,,49-40,,Offensive rebound by Team
2:07.0,Loose ball foul by P. Patterson (drawn by H. Barnes),,49-40,,
2:07.0,,,49-41,1,H. Barnes makes free throw 1 of 2
2:07.0,,,49-42,1,H. Barnes makes free throw 2 of 2
2:07.0,,,49-41,,D. Nowitzki enters the game for Y. Ferrell
1:43.0,C. Joseph misses 2-pt shot from 9 ft,,49-42,,
1:42.0,,,49-42,,Defensive rebound by D. Nowitzki
1:34.0,,,49-42,,D. Nowitzki misses 3-pt shot from 25 ft
1:33.0,Defensive rebound by C. Joseph,,49-42,,
1:30.0,D. Wright misses 2-pt shot from 2 ft (block by W. Matthews),,49-42,,
1:30.0,Offensive rebound by Team,,49-42,,
1:20.0,Turnover by D. DeRozan (lost ball; steal by W. Matthews),,49-42,,
1:14.0,,,49-42,,W. Matthews misses 3-pt shot from 25 ft
1:11.0,Defensive rebound by D. DeRozan,,49-42,,
1:05.0,D. DeRozan makes 2-pt shot from 1 ft,2,51-42,,
1:04.0,Violation by Team (jump ball),,51-42,,
0:55.0,Personal foul by D. DeRozan (drawn by H. Barnes),,51-42,,
0:55.0,,,51-43,1,H. Barnes makes free throw 1 of 2
0:55.0,,,51-44,1,H. Barnes makes free throw 2 of 2
0:55.0,J. Poeltl enters the game for J. Valanciunas,,51-43,,
0:32.0,P. Patterson makes 3-pt shot from 24 ft (assist by D. Wright),3,54-44,,
0:15.0,,,54-44,,S. Curry misses 3-pt shot from 25 ft
0:14.0,,,54-44,,Offensive rebound by N. Noel
0:01.0,,,54-44,,H. Barnes misses 2-pt shot from 17 ft
0:00.0,,,54-44,,Offensive rebound by N. Noel
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,P. Tucker misses 3-pt shot from 22 ft,,54-44,,
11:39.0,,,54-44,,Defensive rebound by W. Matthews
11:29.0,,,54-44,,W. Matthews misses 3-pt shot from 25 ft
11:28.0,Defensive rebound by P. Tucker,,54-44,,
11:20.0,C. Joseph makes 2-pt shot from 1 ft,2,56-44,,
11:00.0,,,56-44,,D. Nowitzki misses 2-pt shot from 6 ft
10:59.0,Defensive rebound by Team,,56-44,,
10:36.0,D. DeRozan misses 2-pt shot from 18 ft,,56-44,,
10:34.0,Offensive rebound by P. Tucker,,56-44,,
10:23.0,S. Ibaka misses 2-pt shot from 11 ft,,56-44,,
10:23.0,,,56-44,,Defensive rebound by N. Noel
10:13.0,,,56-44,,W. Matthews misses 2-pt shot from 8 ft
10:11.0,Defensive rebound by D. DeRozan,,56-44,,
10:08.0,Turnover by D. DeRozan (lost ball; steal by W. Matthews),,56-44,,
10:01.0,Personal block foul by D. DeRozan (drawn by S. Curry),,56-44,,
9:45.0,,,56-46,2,H. Barnes makes 2-pt shot from 17 ft
9:22.0,C. Joseph misses 3-pt shot from 25 ft,,56-46,,
9:21.0,,,56-46,,Defensive rebound by Team
9:06.0,,,56-46,,S. Curry misses 2-pt shot from 21 ft
9:05.0,Defensive rebound by S. Ibaka,,56-46,,
8:50.0,S. Ibaka misses 2-pt shot from 19 ft,,56-46,,
8:48.0,Offensive rebound by J. Valanciunas,,56-46,,
8:45.0,J. Valanciunas misses 2-pt shot from 3 ft,,56-46,,
8:44.0,,,56-46,,Defensive rebound by D. Nowitzki
8:33.0,,,56-46,,S. Curry misses 3-pt shot from 25 ft
8:33.0,Defensive rebound by Team,,56-46,,
8:18.0,D. DeRozan makes 2-pt shot from 20 ft (assist by J. Valanciunas),2,58-46,,
8:01.0,,,58-46,,W. Matthews misses 2-pt shot from 12 ft
8:00.0,Defensive rebound by D. DeRozan,,58-46,,
7:52.0,P. Tucker misses 3-pt shot from 22 ft,,58-46,,
7:51.0,,,58-46,,Defensive rebound by W. Matthews
7:34.0,,,58-46,,Turnover by W. Matthews (bad pass; steal by J. Valanciunas)
7:30.0,Shooting foul by D. Nowitzki,,58-46,,
7:30.0,P. Tucker makes free throw 1 of 2,1,59-46,,
7:30.0,P. Tucker makes free throw 2 of 2,1,60-46,,
7:30.0,,,59-46,,J. Barea enters the game for S. Curry
7:30.0,,,59-46,,D. Harris enters the game for W. Matthews
7:17.0,,,60-48,2,D. Nowitzki makes 2-pt shot from 13 ft (assist by J. Barea)
6:52.0,C. Joseph misses 2-pt shot from 20 ft,,60-48,,
6:51.0,,,60-48,,Defensive rebound by H. Barnes
6:31.0,,,60-51,3,J. Barea makes 3-pt shot from 24 ft (assist by H. Barnes)
6:16.0,D. DeRozan misses 2-pt shot from 17 ft,,60-51,,
6:15.0,,,60-51,,Defensive rebound by D. Nowitzki
6:09.0,,,60-51,,Turnover by J. Barea (bad pass; steal by D. DeRozan)
6:01.0,,,60-51,,Personal foul by N. Noel (drawn by D. DeRozan)
5:50.0,,,60-51,,Personal foul by N. Noel (drawn by C. Joseph)
5:50.0,,,60-51,,Dallas full timeout
5:50.0,,,60-51,,W. Matthews enters the game for D. Nowitzki
5:35.0,P. Tucker makes 2-pt shot from 6 ft (assist by S. Ibaka),2,62-51,,
5:06.0,,,62-53,2,H. Barnes makes 2-pt shot from 8 ft
4:48.0,J. Valanciunas misses 2-pt shot at rim (block by N. Noel),,62-53,,
4:47.0,,,62-53,,Defensive rebound by H. Barnes
4:41.0,,,62-55,2,D. Harris makes 2-pt shot from 1 ft (assist by J. Barea)
4:25.0,C. Joseph makes 2-pt shot from 11 ft,2,64-55,,
4:13.0,,,64-55,,J. Barea misses 2-pt shot from 14 ft
4:12.0,Defensive rebound by J. Valanciunas,,64-55,,
4:05.0,C. Joseph misses 2-pt shot from 14 ft,,64-55,,
4:04.0,,,64-55,,Defensive rebound by D. Harris
3:54.0,,,64-57,2,H. Barnes makes 2-pt shot from 1 ft (assist by J. Barea)
3:53.0,Toronto full timeout,,64-57,,
3:53.0,,,64-57,,S. Mejri enters the game for N. Noel
3:53.0,D. Wright enters the game for P. Tucker,,64-57,,
3:53.0,J. Poeltl enters the game for J. Valanciunas,,64-57,,
3:39.0,D. DeRozan makes 2-pt shot from 1 ft,2,66-57,,
3:24.0,,,66-57,,J. Barea misses 3-pt shot from 25 ft
3:22.0,Defensive rebound by S. Ibaka,,66-57,,
3:11.0,,,66-57,,Personal foul by S. Mejri (drawn by S. Ibaka)
2:55.0,D. Wright misses 2-pt shot from 23 ft,,66-57,,
2:53.0,Offensive rebound by C. Joseph,,66-57,,
2:35.0,J. Poeltl makes 2-pt shot from 1 ft (assist by C. Joseph),2,68-57,,
2:18.0,,,68-59,2,H. Barnes makes 2-pt shot from 2 ft (assist by W. Matthews)
2:02.0,S. Ibaka makes 2-pt shot from 17 ft (assist by D. DeRozan),2,70-59,,
1:41.0,,,70-59,,S. Mejri misses 2-pt shot from 3 ft (block by J. Poeltl)
1:40.0,Defensive rebound by J. Poeltl,,70-59,,
1:28.0,,,70-59,,Personal block foul by W. Matthews (drawn by D. Wright)
1:28.0,D. Wright makes free throw 1 of 2,1,71-59,,
1:28.0,D. Wright misses free throw 2 of 2,,71-59,,
1:28.0,,,71-59,,Defensive rebound by W. Matthews
1:28.0,P. Patterson enters the game for S. Ibaka,,71-59,,
1:28.0,N. Powell enters the game for C. Joseph,,71-59,,
1:16.0,,,71-59,,J. Barea misses 2-pt shot from 7 ft
1:15.0,,,71-59,,Offensive rebound by S. Mejri
1:15.0,Personal foul by D. DeRozan (drawn by S. Mejri),,71-59,,
0:55.0,,,71-59,,W. Matthews misses 3-pt shot from 24 ft
0:54.0,Defensive rebound by D. Wright,,71-59,,
0:49.0,Turnover by N. Powell (bad pass; steal by D. Harris),,71-59,,
0:45.0,,,71-61,2,W. Matthews makes 2-pt shot from 1 ft (assist by D. Harris)
0:33.0,Shooting foul by D. Harris (drawn by D. DeRozan),,71-61,,
0:33.0,D. DeRozan misses free throw 1 of 2,,71-61,,
0:33.0,Offensive rebound by Team,,71-61,,
0:33.0,D. DeRozan makes free throw 2 of 2,1,72-61,,
0:33.0,,,71-61,,D. Nowitzki enters the game for H. Barnes
0:13.0,,,72-61,,Turnover by W. Matthews (bad pass; steal by D. Wright)
0:11.0,D. Wright makes 2-pt shot from 1 ft,2,74-61,,
0:04.0,,,74-61,,D. Harris misses 3-pt shot from 25 ft
0:03.0,,,74-61,,Offensive rebound by W. Matthews
0:00.0,,,74-64,3,J. Barea makes 3-pt shot from 30 ft (assist by W. Matthews)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,74-64,,D. Nowitzki misses 2-pt shot from 17 ft
11:44.0,,,74-64,,Offensive rebound by S. Mejri
11:36.0,,,74-64,,J. Barea misses 3-pt shot from 24 ft
11:35.0,Defensive rebound by Team,,74-64,,
11:28.0,,,74-64,,Personal foul by J. Barea
11:18.0,P. Patterson makes 3-pt shot from 23 ft (assist by D. Wright),3,77-64,,
10:57.0,,,77-64,,Turnover by J. Barea (bad pass; steal by J. Poeltl)
10:48.0,D. Wright makes 2-pt shot from 6 ft,2,79-64,,
10:42.0,,,79-64,,Dallas full timeout
10:42.0,,,79-64,,Y. Ferrell enters the game for J. Barea
10:32.0,,,79-66,2,D. Harris makes 2-pt shot from 19 ft (assist by Y. Ferrell)
10:09.0,,,79-66,,Personal block foul by D. Nowitzki
10:04.0,Turnover by D. Wright (offensive foul),,79-66,,
10:04.0,Offensive charge foul by D. Wright,,79-66,,
9:52.0,,,79-66,,Shooting foul by N. Powell (drawn by D. Harris)
9:52.0,,,79-68,2,D. Harris makes 2-pt shot from 23 ft (assist by Y. Ferrell)
9:52.0,,,79-69,1,D. Harris makes free throw 1 of 1
9:39.0,N. Powell misses 3-pt shot from 24 ft,,79-69,,
9:38.0,,,79-69,,Defensive rebound by Y. Ferrell
9:30.0,,,79-72,3,D. Nowitzki makes 3-pt shot from 25 ft (assist by D. Harris)
9:18.0,Offensive charge foul by N. Powell,,79-72,,
9:18.0,Turnover by N. Powell (offensive foul),,79-72,,
9:08.0,,,79-72,,Turnover by D. Harris (bad pass; steal by N. Powell)
9:08.0,Jump ball: D. Harris vs. N. Powell (P. Tucker gains possession),,,,Jump ball: D. Harris vs. N. Powell (P. Tucker gains possession)
8:47.0,Turnover by D. Wright (lost ball; steal by Y. Ferrell),,79-72,,
8:44.0,,,79-72,,Turnover by D. Finney-Smith (lost ball; steal by P. Tucker)
8:39.0,D. Wright misses 3-pt shot from 25 ft,,79-72,,
8:37.0,,,79-72,,Defensive rebound by Y. Ferrell
8:31.0,,,79-72,,D. Harris misses 3-pt shot from 24 ft
8:30.0,Defensive rebound by D. Wright,,79-72,,
8:10.0,Turnover by J. Poeltl (lost ball; steal by D. Harris),,79-72,,
8:06.0,,,79-72,,D. Finney-Smith misses 2-pt shot from 2 ft (block by D. Wright)
8:06.0,,,79-72,,Offensive rebound by Team
8:06.0,C. Joseph enters the game for N. Powell,,79-72,,
8:06.0,,,79-72,,H. Barnes enters the game for D. Nowitzki
7:57.0,,,79-72,,Shooting foul by D. Wright (drawn by D. Finney-Smith)
7:57.0,,,79-73,1,D. Finney-Smith makes free throw 1 of 2
7:57.0,,,79-74,1,D. Finney-Smith makes free throw 2 of 2
7:57.0,,,79-73,,S. Curry enters the game for D. Harris
7:57.0,S. Ibaka enters the game for J. Poeltl,,79-73,,
7:33.0,C. Joseph misses 3-pt shot from 23 ft,,79-74,,
7:32.0,,,79-74,,Defensive rebound by Y. Ferrell
7:08.0,,,79-74,,Y. Ferrell misses 2-pt shot from 13 ft
7:06.0,Defensive rebound by P. Tucker,,79-74,,
6:47.0,S. Ibaka makes 2-pt shot from 18 ft (assist by D. Wright),2,81-74,,
6:24.0,,,81-74,,H. Barnes misses 2-pt shot from 15 ft
6:23.0,Defensive rebound by P. Patterson,,81-74,,
6:13.0,S. Ibaka makes 2-pt shot from 9 ft,2,83-74,,
6:11.0,,,83-74,,Dallas full timeout
6:11.0,,,83-74,,N. Noel enters the game for S. Mejri
6:11.0,,,83-74,,W. Matthews enters the game for D. Finney-Smith
6:11.0,D. DeRozan enters the game for D. Wright,,83-74,,
5:51.0,,,83-74,,W. Matthews misses 3-pt shot from 24 ft
5:50.0,Defensive rebound by P. Tucker,,83-74,,
5:29.0,P. Tucker misses 3-pt shot from 24 ft,,83-74,,
5:28.0,,,83-74,,Defensive rebound by S. Curry
5:19.0,,,83-74,,H. Barnes misses 2-pt shot from 2 ft
5:17.0,Defensive rebound by S. Ibaka,,83-74,,
5:15.0,Turnover by C. Joseph (lost ball; steal by H. Barnes),,83-74,,
5:11.0,,,83-74,,Y. Ferrell misses 3-pt shot from 25 ft
5:10.0,Defensive rebound by S. Ibaka,,83-74,,
4:52.0,Toronto full timeout,,83-74,,
4:49.0,D. DeRozan misses 2-pt shot from 17 ft (block by W. Matthews),,83-74,,
4:46.0,,,83-74,,Defensive rebound by Y. Ferrell
4:37.0,,,83-77,3,Y. Ferrell makes 3-pt shot from 24 ft
4:25.0,,,83-77,,Personal foul by Y. Ferrell (drawn by C. Joseph)
4:09.0,C. Joseph makes 2-pt shot from 7 ft (assist by D. DeRozan),2,85-77,,
3:48.0,,,85-77,,Y. Ferrell misses 2-pt shot from 2 ft
3:47.0,,,85-77,,Offensive rebound by Team
3:47.0,Personal foul by P. Tucker,,85-77,,
3:38.0,,,85-77,,Shooting foul by S. Ibaka (drawn by W. Matthews)
3:38.0,,,85-77,,W. Matthews misses free throw 1 of 2
3:38.0,,,85-77,,Offensive rebound by Team
3:38.0,,,85-77,,W. Matthews misses free throw 2 of 2
3:38.0,,,85-77,,D. Nowitzki enters the game for N. Noel
3:37.0,Defensive rebound by P. Tucker,,85-77,,
3:21.0,D. DeRozan makes 2-pt shot from 14 ft,2,87-77,,
3:02.0,,,87-77,,W. Matthews misses 3-pt shot from 25 ft
3:01.0,Defensive rebound by S. Ibaka,,87-77,,
2:41.0,S. Ibaka misses 2-pt shot from 3 ft,,87-77,,
2:41.0,,,87-77,,Defensive rebound by H. Barnes
2:31.0,,,87-77,,Y. Ferrell misses 3-pt shot from 23 ft
2:30.0,Defensive rebound by P. Patterson,,87-77,,
2:11.0,P. Tucker misses 3-pt shot from 24 ft,,87-77,,
2:11.0,,,87-77,,Defensive rebound by W. Matthews
2:05.0,,,87-79,2,S. Curry makes 2-pt shot from 18 ft (assist by W. Matthews)
2:05.0,,,87-79,,Shooting foul by C. Joseph (drawn by S. Curry)
2:05.0,,,87-80,1,S. Curry makes free throw 1 of 1
2:05.0,Toronto full timeout,,87-80,,
1:46.0,S. Ibaka makes 2-pt shot from 1 ft (assist by P. Tucker),2,89-80,,
1:34.0,,,89-83,3,S. Curry makes 3-pt shot from 23 ft (assist by Y. Ferrell)
