time,LA Clippers,pts.away,score,pts.home,Memphis
7:21.0,C. Paul makes 2-pt shot from 2 ft (assist by L. Mbah a Moute),2,10-9,,
7:09.0,,,10-9,,Shooting foul by J. Crawford (drawn by M. Conley)
7:09.0,,,10-10,1,M. Conley makes free throw 1 of 2
7:09.0,,,10-11,1,M. Conley makes free throw 2 of 2
7:09.0,A. Rivers enters the game for C. Paul,,10-10,,
6:51.0,B. Griffin makes 2-pt shot from 8 ft,2,12-11,,
6:34.0,,,12-13,2,A. Harrison makes 2-pt shot from 7 ft
6:25.0,Turnover by A. Rivers (bad pass; steal by B. Wright),,12-13,,
6:21.0,,,12-15,2,M. Conley makes 2-pt shot from 1 ft (assist by B. Wright)
6:21.0,LA Clippers full timeout,,12-15,,
6:21.0,R. Felton enters the game for L. Mbah a Moute,,12-15,,
6:06.0,A. Rivers misses 3-pt shot from 27 ft,,12-15,,
6:02.0,Offensive rebound by D. Jordan,,12-15,,
6:02.0,D. Jordan misses 2-pt shot from 1 ft,,12-15,,
6:01.0,,,12-15,,Defensive rebound by M. Gasol
5:49.0,,,12-15,,M. Gasol misses 2-pt shot from 12 ft
5:47.0,Defensive rebound by B. Griffin,,12-15,,
5:37.0,Turnover by B. Griffin (bad pass; steal by B. Wright),,12-15,,
5:31.0,,,12-15,,M. Conley misses 3-pt shot from 24 ft
5:29.0,Defensive rebound by B. Griffin,,12-15,,
5:21.0,R. Felton makes 2-pt shot from 18 ft,2,14-15,,
5:01.0,,,14-15,,A. Harrison misses 2-pt shot from 16 ft
5:01.0,Defensive rebound by B. Griffin,,14-15,,
4:52.0,,,14-15,,Z. Randolph enters the game for B. Wright
4:52.0,,,14-15,,V. Carter enters the game for A. Harrison
4:52.0,,,14-15,,T. Douglas enters the game for M. Conley
4:36.0,R. Felton makes 2-pt shot from 7 ft,2,16-15,,
4:13.0,,,16-15,,M. Gasol misses 2-pt shot from 11 ft
4:11.0,Defensive rebound by B. Griffin,,16-15,,
4:04.0,A. Rivers makes 2-pt shot from 2 ft (assist by B. Griffin),2,18-15,,
3:56.0,,,18-15,,Memphis full timeout
3:37.0,,,18-15,,T. Douglas misses 2-pt shot from 13 ft
3:36.0,Defensive rebound by D. Jordan,,18-15,,
3:18.0,J. Crawford misses 3-pt shot from 25 ft,,18-15,,
3:15.0,,,18-15,,Defensive rebound by T. Douglas
3:07.0,,,18-17,2,V. Carter makes 2-pt shot from 1 ft
2:49.0,A. Rivers makes 2-pt shot from 10 ft,2,20-17,,
2:29.0,,,20-17,,V. Carter misses 3-pt shot from 23 ft
2:29.0,Defensive rebound by R. Felton,,20-17,,
2:08.0,J. Crawford misses 2-pt shot from 9 ft (block by Z. Randolph),,20-17,,
2:05.0,,,20-17,,Defensive rebound by Z. Randolph
1:58.0,,,20-19,2,M. Gasol makes 2-pt shot at rim (assist by T. Douglas)
1:39.0,Shooting foul by J. Ennis (drawn by D. Jordan),,20-19,,
1:39.0,D. Jordan misses free throw 1 of 2,,20-19,,
1:39.0,Offensive rebound by Team,,20-19,,
1:39.0,D. Jordan makes free throw 2 of 2,1,21-19,,
1:39.0,,,20-19,,J. Green enters the game for M. Gasol
1:39.0,,,20-19,,T. Allen enters the game for J. Ennis
1:39.0,W. Johnson enters the game for B. Griffin,,20-19,,
1:26.0,,,21-19,,Turnover by Z. Randolph (lost ball)
1:26.0,M. Speights enters the game for D. Jordan,,21-19,,
1:03.0,J. Crawford misses 2-pt shot from 21 ft,,21-19,,
1:02.0,Offensive rebound by A. Rivers,,21-19,,
0:58.0,A. Rivers makes 3-pt shot from 24 ft (assist by J. Crawford),3,24-19,,
0:39.0,C. Paul enters the game for J. Crawford,,24-19,,
0:39.0,,,24-19,,M. Conley enters the game for T. Douglas
0:39.0,,,24-21,2,Z. Randolph makes 2-pt shot at rim (assist by T. Allen)
0:34.0,M. Speights misses 3-pt shot from 25 ft,,24-21,,
0:33.0,,,24-21,,Defensive rebound by J. Green
0:14.0,,,24-21,,Z. Randolph misses 2-pt shot from 1 ft
0:14.0,,,24-21,,Offensive rebound by Z. Randolph
0:12.0,,,24-21,,Z. Randolph misses 2-pt shot from 1 ft
0:11.0,,,24-21,,Offensive rebound by Z. Randolph
0:11.0,,,24-21,,Z. Randolph misses 2-pt shot from 1 ft
0:09.0,Defensive rebound by M. Speights,,24-21,,
0:02.0,W. Johnson misses 3-pt shot from 26 ft,,24-21,,
0:01.0,Offensive rebound by M. Speights,,24-21,,
0:01.0,M. Speights makes 2-pt shot from 1 ft,2,26-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,Personal foul by A. Rivers (drawn by V. Carter),,26-21,,
11:34.0,,,26-23,2,Z. Randolph makes 2-pt shot from 13 ft
11:06.0,C. Paul misses 3-pt shot from 25 ft,,26-23,,
11:05.0,,,26-23,,Defensive rebound by M. Conley
10:59.0,,,26-23,,T. Allen misses 2-pt shot from 9 ft
10:56.0,Defensive rebound by A. Rivers,,26-23,,
10:47.0,Turnover by M. Speights (bad pass; steal by Z. Randolph),,26-23,,
10:40.0,,,26-25,2,V. Carter makes 2-pt shot from 2 ft (assist by T. Allen)
10:24.0,W. Johnson makes 2-pt shot from 2 ft (assist by C. Paul),2,28-25,,
10:07.0,D. Jordan enters the game for M. Speights,,28-25,,
9:56.0,,,28-25,,Z. Randolph misses 2-pt shot from 18 ft
9:56.0,Defensive rebound by D. Jordan,,28-25,,
9:34.0,R. Felton misses 2-pt shot from 22 ft,,28-25,,
9:32.0,,,28-25,,Defensive rebound by Z. Randolph
9:21.0,,,28-25,,Shooting foul by D. Jordan (drawn by J. Green)
9:21.0,,,28-26,1,J. Green makes free throw 1 of 2
9:21.0,,,28-26,,J. Green misses free throw 2 of 2
9:20.0,Defensive rebound by A. Rivers,,28-26,,
9:10.0,,,28-26,,Personal foul by T. Allen (drawn by A. Rivers)
8:56.0,A. Rivers makes 2-pt shot from 12 ft,2,30-26,,
8:42.0,,,30-26,,M. Conley misses 2-pt shot from 2 ft
8:40.0,Defensive rebound by C. Paul,,30-26,,
8:32.0,A. Rivers makes 2-pt shot from 1 ft,2,32-26,,
8:19.0,,,32-28,2,J. Green makes 2-pt shot at rim (assist by M. Conley)
8:07.0,Turnover by C. Paul (bad pass; steal by T. Allen),,32-28,,
8:04.0,,,32-28,,Shooting foul by R. Felton (drawn by T. Allen)
8:04.0,,,32-28,,Memphis full timeout
8:04.0,,,32-28,,T. Allen misses free throw 1 of 2
8:04.0,,,32-28,,Offensive rebound by Team
8:04.0,,,32-29,1,T. Allen makes free throw 2 of 2
8:04.0,,,32-28,,J. Ennis enters the game for V. Carter
8:04.0,B. Griffin enters the game for W. Johnson,,32-28,,
7:51.0,A. Rivers misses 3-pt shot from 24 ft,,32-29,,
7:50.0,,,32-29,,Defensive rebound by Z. Randolph
7:35.0,,,32-29,,Z. Randolph misses 2-pt shot from 18 ft
7:33.0,Defensive rebound by B. Griffin,,32-29,,
7:27.0,R. Felton misses 3-pt shot from 26 ft,,32-29,,
7:25.0,,,32-29,,Defensive rebound by J. Green
7:19.0,,,32-31,2,T. Allen makes 2-pt shot from 1 ft (assist by M. Conley)
7:00.0,D. Jordan makes 2-pt shot from 1 ft (assist by B. Griffin),2,34-31,,
6:52.0,,,34-31,,Memphis full timeout
6:52.0,,,34-31,,M. Gasol enters the game for Z. Randolph
6:52.0,J. Redick enters the game for A. Rivers,,34-31,,
6:52.0,J. Crawford enters the game for R. Felton,,34-31,,
6:40.0,,,34-31,,M. Gasol misses 2-pt shot from 16 ft
6:39.0,,,34-31,,Offensive rebound by J. Green
6:39.0,,,34-31,,J. Green misses 2-pt shot at rim
6:36.0,Defensive rebound by C. Paul,,34-31,,
6:35.0,Turnover by C. Paul (offensive foul),,34-31,,
6:35.0,Offensive foul by C. Paul,,34-31,,
6:25.0,,,34-31,,Turnover by M. Conley (bad pass; steal by J. Crawford)
6:17.0,Turnover by D. Jordan (lost ball),,34-31,,
5:59.0,,,34-31,,M. Conley misses 2-pt shot from 21 ft
5:58.0,Defensive rebound by J. Crawford,,34-31,,
5:41.0,,,34-31,,Personal foul by M. Conley (drawn by C. Paul)
5:41.0,,,34-31,,Memphis full timeout
5:41.0,Technical foul by C. Paul,,34-31,,
5:41.0,,,34-32,1,M. Gasol makes technical free throw
5:41.0,,,34-31,,V. Carter enters the game for M. Conley
5:41.0,,,34-31,,T. Douglas enters the game for J. Green
5:41.0,,,34-31,,B. Wright enters the game for T. Allen
5:32.0,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul),2,36-32,,
5:17.0,,,36-34,2,M. Gasol makes 2-pt shot from 18 ft (assist by V. Carter)
4:58.0,J. Redick makes 2-pt shot from 5 ft (assist by C. Paul),2,38-34,,
4:58.0,Shooting foul by J. Ennis (drawn by J. Redick),,38-34,,
4:58.0,J. Redick makes free throw 1 of 1,1,39-34,,
4:43.0,,,39-34,,Offensive charge foul by J. Ennis
4:43.0,,,39-34,,Turnover by J. Ennis (offensive foul)
4:31.0,Shooting foul by J. Ennis (drawn by J. Redick),,39-34,,
4:31.0,J. Redick makes free throw 1 of 3,1,40-34,,
4:31.0,J. Redick makes free throw 2 of 3,1,41-34,,
4:31.0,J. Redick makes free throw 3 of 3,1,42-34,,
4:31.0,,,41-34,,T. Allen enters the game for J. Ennis
4:19.0,,,42-34,,V. Carter misses 2-pt shot from 1 ft
4:17.0,Defensive rebound by D. Jordan,,42-34,,
4:07.0,J. Redick makes 3-pt shot from 23 ft (assist by J. Crawford),3,45-34,,
4:00.0,,,45-34,,Memphis full timeout
4:00.0,,,45-34,,Z. Randolph enters the game for B. Wright
4:00.0,Violation by Team (jump ball),,45-34,,
3:49.0,,,45-34,,V. Carter misses 2-pt shot from 1 ft
3:48.0,Defensive rebound by C. Paul,,45-34,,
3:31.0,J. Crawford makes 2-pt shot from 18 ft (assist by C. Paul),2,47-34,,
3:18.0,,,47-34,,Shooting foul by D. Jordan (drawn by M. Gasol)
3:18.0,,,47-35,1,M. Gasol makes free throw 1 of 2
3:18.0,,,47-36,1,M. Gasol makes free throw 2 of 2
3:18.0,,,47-35,,M. Conley enters the game for T. Douglas
2:56.0,J. Redick misses 3-pt shot from 23 ft,,47-36,,
2:56.0,,,47-36,,Defensive rebound by Z. Randolph
2:54.0,Technical foul by J. Redick,,47-36,,
2:54.0,,,47-37,1,M. Conley makes technical free throw
2:43.0,,,47-39,2,Z. Randolph makes 2-pt shot from 8 ft (assist by M. Gasol)
2:18.0,Turnover by J. Redick (bad pass; steal by M. Gasol),,47-39,,
2:12.0,,,47-39,,M. Conley misses 3-pt shot from 25 ft
2:10.0,Defensive rebound by J. Redick,,47-39,,
2:00.0,LA Clippers full timeout,,47-39,,
2:00.0,,,47-39,,Violation by Team (jump ball)
2:00.0,Shooting foul by M. Gasol (drawn by D. Jordan),,47-39,,
2:00.0,D. Jordan misses free throw 1 of 3,,47-39,,
2:00.0,Offensive rebound by Team,,47-39,,
2:00.0,D. Jordan makes free throw 2 of 3,1,48-39,,
2:00.0,D. Jordan makes free throw 3 of 3,1,49-39,,
2:00.0,A. Rivers enters the game for J. Redick,,48-39,,
1:47.0,,,49-41,2,M. Gasol makes 2-pt shot from 11 ft
1:28.0,C. Paul makes 3-pt shot from 22 ft (assist by B. Griffin),3,52-41,,
1:16.0,,,52-41,,M. Gasol misses 3-pt shot from 26 ft
1:16.0,Defensive rebound by A. Rivers,,52-41,,
0:57.0,C. Paul misses 3-pt shot from 25 ft,,52-41,,
0:56.0,,,52-41,,Defensive rebound by M. Gasol
0:44.0,,,52-41,,M. Conley misses 2-pt shot from 6 ft
0:43.0,,,52-41,,Offensive rebound by Z. Randolph
0:43.0,,,52-43,2,Z. Randolph makes 2-pt shot at rim
0:37.0,C. Paul makes 2-pt shot from 1 ft,2,54-43,,
0:31.0,,,54-43,,Shooting foul by J. Crawford (drawn by M. Conley)
0:31.0,,,54-44,1,M. Conley makes free throw 1 of 2
0:31.0,,,54-45,1,M. Conley makes free throw 2 of 2
0:09.0,B. Griffin misses 2-pt shot from 20 ft,,54-45,,
0:08.0,Offensive rebound by Team,,54-45,,
0:08.0,LA Clippers full timeout,,54-45,,
0:08.0,,,54-45,,J. Green enters the game for Z. Randolph
0:08.0,J. Redick enters the game for D. Jordan,,54-45,,
0:02.0,C. Paul misses 3-pt shot from 25 ft,,54-45,,
0:02.0,,,54-45,,Defensive rebound by J. Green
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,54-47,2,M. Gasol makes 2-pt shot from 20 ft
11:39.0,,,54-47,,Personal foul by A. Harrison (drawn by J. Redick)
11:30.0,Shooting foul by B. Wright (drawn by B. Griffin),,54-47,,
11:30.0,B. Griffin makes free throw 1 of 2,1,55-47,,
11:30.0,B. Griffin makes free throw 2 of 2,1,56-47,,
11:16.0,,,56-47,,M. Conley misses 2-pt shot from 16 ft
11:16.0,Defensive rebound by B. Griffin,,56-47,,
10:57.0,B. Griffin misses 2-pt shot from 16 ft,,56-47,,
10:57.0,,,56-47,,Defensive rebound by M. Gasol
10:48.0,,,56-47,,M. Gasol misses 2-pt shot from 20 ft
10:47.0,Defensive rebound by D. Jordan,,56-47,,
10:39.0,Shooting foul by M. Conley (drawn by J. Redick),,56-47,,
10:39.0,J. Redick makes free throw 1 of 2,1,57-47,,
10:39.0,J. Redick makes free throw 2 of 2,1,58-47,,
10:16.0,,,58-47,,M. Gasol misses 2-pt shot from 9 ft (block by D. Jordan)
10:16.0,Defensive rebound by Team,,58-47,,
10:11.0,,,58-47,,Personal take foul by B. Wright (drawn by D. Jordan)
9:57.0,Turnover by B. Griffin (offensive foul),,58-47,,
9:57.0,Offensive foul by B. Griffin,,58-47,,
9:46.0,,,58-47,,A. Harrison misses 3-pt shot from 23 ft
9:46.0,Defensive rebound by D. Jordan,,58-47,,
9:34.0,C. Paul makes 2-pt shot from 9 ft,2,60-47,,
9:20.0,,,60-49,2,B. Wright makes 2-pt shot from 1 ft (assist by M. Gasol)
9:08.0,B. Griffin misses 3-pt shot from 26 ft,,60-49,,
9:08.0,,,60-49,,Defensive rebound by V. Carter
8:59.0,,,60-49,,Shooting foul by J. Redick (drawn by A. Harrison)
8:59.0,,,60-50,1,A. Harrison makes free throw 1 of 2
8:59.0,,,60-51,1,A. Harrison makes free throw 2 of 2
8:59.0,,,60-50,,Z. Randolph enters the game for B. Wright
8:49.0,Turnover by J. Redick (bad pass),,60-51,,
8:49.0,,,60-51,,T. Daniels enters the game for A. Harrison
8:35.0,,,60-51,,V. Carter misses 2-pt shot from 19 ft
8:35.0,Defensive rebound by B. Griffin,,60-51,,
8:26.0,C. Paul makes 2-pt shot from 15 ft,2,62-51,,
8:10.0,,,62-51,,M. Gasol misses 3-pt shot from 24 ft
8:06.0,,,62-51,,Offensive rebound by Z. Randolph
8:06.0,,,62-53,2,Z. Randolph makes 2-pt shot from 2 ft
7:47.0,,,62-53,,Personal foul by T. Daniels (drawn by J. Redick)
7:47.0,J. Redick makes free throw 1 of 2,1,63-53,,
7:47.0,J. Redick makes free throw 2 of 2,1,64-53,,
7:29.0,,,64-53,,Z. Randolph misses 2-pt shot from 8 ft
7:27.0,Defensive rebound by D. Jordan,,64-53,,
7:20.0,C. Paul misses 2-pt shot from 12 ft,,64-53,,
7:18.0,,,64-53,,Defensive rebound by T. Daniels
7:12.0,Personal foul by B. Griffin (drawn by M. Gasol),,64-53,,
7:05.0,,,64-53,,M. Conley misses 3-pt shot from 26 ft
7:04.0,Defensive rebound by L. Mbah a Moute,,64-53,,
6:52.0,B. Griffin makes 2-pt shot from 18 ft (assist by C. Paul),2,66-53,,
6:30.0,,,66-55,2,Z. Randolph makes 2-pt shot from 7 ft
6:10.0,L. Mbah a Moute misses 3-pt shot from 23 ft,,66-55,,
6:09.0,,,66-55,,Defensive rebound by M. Gasol
5:49.0,,,66-55,,M. Conley misses 3-pt shot from 26 ft
5:49.0,Defensive rebound by Team,,66-55,,
5:49.0,,,66-55,,Loose ball foul by Z. Randolph (drawn by B. Griffin)
5:49.0,,,66-55,,Memphis full timeout
5:49.0,B. Griffin misses free throw 1 of 2,,66-55,,
5:49.0,Offensive rebound by Team,,66-55,,
5:49.0,B. Griffin makes free throw 2 of 2,1,67-55,,
5:49.0,A. Rivers enters the game for L. Mbah a Moute,,66-55,,
5:25.0,,,67-55,,Z. Randolph misses 2-pt shot from 17 ft
5:23.0,Defensive rebound by D. Jordan,,67-55,,
5:18.0,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul),2,69-55,,
4:56.0,,,69-57,2,M. Gasol makes 2-pt shot from 11 ft (assist by V. Carter)
4:33.0,Shooting foul by T. Daniels (drawn by B. Griffin),,69-57,,
4:33.0,B. Griffin makes free throw 1 of 2,1,70-57,,
4:33.0,B. Griffin makes free throw 2 of 2,1,71-57,,
4:33.0,,,70-57,,J. Green enters the game for M. Gasol
4:33.0,,,70-57,,T. Douglas enters the game for M. Conley
4:33.0,,,70-57,,T. Allen enters the game for V. Carter
4:15.0,,,71-59,2,Z. Randolph makes 2-pt shot from 1 ft (assist by T. Allen)
4:00.0,,,71-59,,Personal foul by J. Green (drawn by B. Griffin)
4:00.0,B. Griffin misses free throw 1 of 2,,71-59,,
4:00.0,Offensive rebound by Team,,71-59,,
4:00.0,B. Griffin makes free throw 2 of 2,1,72-59,,
3:49.0,,,72-59,,Turnover by Z. Randolph (traveling)
3:39.0,M. Speights enters the game for D. Jordan,,72-59,,
3:31.0,C. Paul makes 2-pt shot from 12 ft (assist by B. Griffin),2,74-59,,
3:20.0,,,74-62,3,T. Daniels makes 3-pt shot from 26 ft (assist by T. Douglas)
3:05.0,Turnover by A. Rivers (lost ball),,74-62,,
2:58.0,,,74-62,,T. Daniels misses 3-pt shot from 26 ft
2:57.0,Defensive rebound by B. Griffin,,74-62,,
2:49.0,C. Paul makes 3-pt shot from 25 ft (assist by B. Griffin),3,77-62,,
2:49.0,,,77-62,,Memphis full timeout
2:49.0,J. Crawford enters the game for J. Redick,,77-62,,
2:30.0,,,77-62,,Turnover by T. Daniels (lost ball)
2:12.0,,,77-62,,M. Conley enters the game for T. Douglas
2:12.0,,,77-62,,J. Ennis enters the game for T. Daniels
2:12.0,R. Felton enters the game for C. Paul,,77-62,,
2:05.0,R. Felton makes 3-pt shot from 23 ft (assist by A. Rivers),3,80-62,,
1:50.0,,,80-62,,J. Green misses 3-pt shot from 25 ft
1:50.0,,,80-62,,Offensive rebound by Z. Randolph
1:49.0,,,80-62,,Turnover by Z. Randolph (lost ball)
1:38.0,B. Griffin misses 2-pt shot from 18 ft,,80-62,,
1:38.0,,,80-62,,Defensive rebound by M. Conley
1:29.0,,,80-62,,M. Conley misses 2-pt shot from 16 ft
1:27.0,Defensive rebound by B. Griffin,,80-62,,
1:10.0,R. Felton misses 2-pt shot from 6 ft,,80-62,,
1:07.0,,,80-62,,Defensive rebound by Z. Randolph
1:00.0,,,80-65,3,Z. Randolph makes 3-pt shot from 27 ft (assist by M. Conley)
0:47.0,M. Speights misses 3-pt shot from 24 ft,,80-65,,
0:47.0,Offensive rebound by B. Griffin,,80-65,,
0:35.0,A. Rivers makes 2-pt shot from 1 ft (assist by B. Griffin),2,82-65,,
0:29.0,,,82-65,,M. Conley misses 2-pt shot from 2 ft (block by B. Griffin)
0:26.0,Defensive rebound by J. Crawford,,82-65,,
0:07.0,Turnover by J. Crawford (bad pass; steal by M. Conley),,82-65,,
0:03.0,,,82-65,,T. Allen misses 2-pt shot from 3 ft (block by M. Speights)
0:01.0,Defensive rebound by J. Crawford,,82-65,,
0:01.0,J. Crawford makes 3-pt shot from 51 ft,3,85-65,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,Offensive foul by M. Speights,,85-65,,
11:50.0,Turnover by M. Speights (offensive foul),,85-65,,
11:36.0,Personal foul by M. Speights (drawn by M. Gasol),,85-65,,
11:28.0,,,85-65,,Shooting foul by M. Speights (drawn by Z. Randolph)
11:28.0,,,85-66,1,Z. Randolph makes free throw 1 of 2
11:28.0,,,85-66,,Z. Randolph misses free throw 2 of 2
11:27.0,Defensive rebound by W. Johnson,,85-66,,
11:25.0,Turnover by W. Johnson (lost ball),,85-66,,
11:14.0,,,85-66,,J. Ennis misses 3-pt shot from 27 ft
11:14.0,Defensive rebound by R. Felton,,85-66,,
11:06.0,A. Rivers misses 3-pt shot from 26 ft,,85-66,,
11:03.0,,,85-66,,Defensive rebound by Z. Randolph
10:57.0,,,85-66,,Offensive foul by M. Gasol
10:57.0,,,85-66,,Turnover by M. Gasol (offensive foul)
10:39.0,W. Johnson misses 2-pt shot from 22 ft,,85-66,,
10:39.0,,,85-66,,Defensive rebound by T. Allen
10:33.0,,,85-68,2,M. Conley makes 2-pt shot from 9 ft (assist by T. Allen)
10:33.0,,,85-68,,Shooting foul by W. Johnson (drawn by M. Conley)
10:33.0,,,85-69,1,M. Conley makes free throw 1 of 1
10:33.0,D. Jordan enters the game for W. Johnson,,85-68,,
10:17.0,M. Speights makes 3-pt shot from 25 ft (assist by A. Rivers),3,88-69,,
9:55.0,,,88-69,,M. Conley misses 2-pt shot from 2 ft
9:54.0,Defensive rebound by R. Felton,,88-69,,
9:47.0,Shooting foul by J. Ennis (drawn by A. Rivers),,88-69,,
9:47.0,,,88-69,,Technical foul by Team
9:47.0,J. Crawford makes technical free throw,1,89-69,,
9:47.0,A. Rivers makes free throw 1 of 2,1,90-69,,
9:47.0,A. Rivers makes free throw 2 of 2,1,91-69,,
9:47.0,,,90-69,,J. Green enters the game for J. Ennis
9:47.0,,,90-69,,T. Daniels enters the game for Z. Randolph
9:27.0,,,91-71,2,T. Allen makes 2-pt shot from 2 ft (assist by M. Gasol)
9:11.0,,,91-71,,Personal foul by T. Daniels (drawn by A. Rivers)
8:58.0,R. Felton misses 2-pt shot from 23 ft,,91-71,,
8:57.0,,,91-71,,Defensive rebound by J. Green
8:50.0,Violation by D. Jordan (def goaltending),,91-71,,
8:50.0,,,91-73,2,T. Allen makes 2-pt shot from 2 ft
8:39.0,J. Crawford makes 2-pt shot from 17 ft,2,93-73,,
8:38.0,Violation by Team (jump ball),,93-73,,
8:38.0,Technical foul by Team,,93-73,,
8:38.0,,,93-74,1,M. Conley makes technical free throw
8:25.0,,,93-74,,Turnover by J. Green (illegal assist)
8:25.0,LA Clippers full timeout,,93-74,,
8:10.0,M. Speights misses 3-pt shot from 26 ft,,93-74,,
8:10.0,,,93-74,,Defensive rebound by Team
7:54.0,,,93-74,,T. Allen misses 2-pt shot from 2 ft
7:53.0,Defensive rebound by M. Speights,,93-74,,
7:41.0,J. Crawford makes 3-pt shot from 23 ft (assist by A. Rivers),3,96-74,,
7:21.0,,,96-76,2,M. Conley makes 2-pt shot from 17 ft
6:53.0,R. Felton misses 3-pt shot from 26 ft,,96-76,,
6:50.0,,,96-76,,Defensive rebound by T. Allen
6:45.0,,,96-79,3,T. Daniels makes 3-pt shot from 26 ft
6:18.0,R. Felton makes 2-pt shot from 19 ft,2,98-79,,
5:57.0,,,98-81,2,T. Allen makes 2-pt shot from 1 ft (assist by M. Conley)
5:32.0,A. Rivers makes 2-pt shot from 10 ft,2,100-81,,
5:06.0,,,100-81,,T. Allen misses 2-pt shot from 4 ft
5:06.0,Defensive rebound by Team,,100-81,,
5:06.0,,,100-81,,Loose ball foul by T. Allen (drawn by A. Rivers)
5:06.0,,,100-81,,Memphis full timeout
5:06.0,,,100-81,,V. Carter enters the game for T. Allen
4:58.0,Shooting foul by V. Carter (drawn by A. Rivers),,100-81,,
4:58.0,A. Rivers makes free throw 1 of 2,1,101-81,,
4:58.0,A. Rivers makes free throw 2 of 2,1,102-81,,
4:41.0,,,102-84,3,M. Gasol makes 3-pt shot from 24 ft (assist by V. Carter)
4:18.0,J. Crawford misses 3-pt shot from 25 ft,,102-84,,
4:18.0,,,102-84,,Defensive rebound by V. Carter
4:14.0,,,102-84,,Shooting foul by R. Felton (drawn by T. Daniels)
4:14.0,,,102-84,,T. Daniels misses free throw 1 of 2
4:14.0,,,102-84,,Offensive rebound by Team
4:14.0,,,102-85,1,T. Daniels makes free throw 2 of 2
4:14.0,B. Bass enters the game for D. Jordan,,102-84,,
3:57.0,R. Felton makes 2-pt shot from 1 ft,2,104-85,,
3:38.0,,,104-87,2,M. Gasol makes 2-pt shot from 2 ft (assist by T. Daniels)
3:15.0,M. Speights makes 3-pt shot from 22 ft (assist by A. Rivers),3,107-87,,
3:15.0,,,107-87,,Memphis full timeout
3:15.0,W. Johnson enters the game for J. Crawford,,107-87,,
