time,Orlando,pts.away,score,pts.home,Chicago
11:08.0,,,63-90,,Personal foul by D. Wade (drawn by A. Gordon)
11:00.0,D. Augustin misses 3-pt shot from 26 ft,,63-90,,
10:59.0,,,63-90,,Defensive rebound by D. McDermott
10:46.0,,,63-90,,N. Mirotic misses 2-pt shot from 1 ft (block by B. Biyombo)
10:44.0,Defensive rebound by J. Green,,63-90,,
10:37.0,M. Hezonja misses 3-pt shot from 24 ft,,63-90,,
10:35.0,,,63-90,,Defensive rebound by N. Mirotic
10:21.0,,,63-92,2,N. Mirotic makes 2-pt shot from 8 ft (assist by D. Wade)
9:58.0,J. Green makes 2-pt shot from 7 ft (assist by A. Gordon),2,65-92,,
9:43.0,,,65-94,2,B. Portis makes 2-pt shot at rim (assist by D. Wade)
9:43.0,Orlando full timeout,,65-94,,
9:43.0,D. Rudez enters the game for J. Green,,65-94,,
9:43.0,C. Watson enters the game for D. Augustin,,65-94,,
9:43.0,C. Wilcox enters the game for M. Hezonja,,65-94,,
9:19.0,B. Biyombo makes 2-pt shot from 6 ft (assist by A. Gordon),2,67-94,,
9:09.0,,,67-94,,D. Wade misses 3-pt shot from 25 ft
9:08.0,Defensive rebound by D. Rudez,,67-94,,
8:59.0,A. Gordon misses 3-pt shot from 25 ft,,67-94,,
8:58.0,,,67-94,,Defensive rebound by N. Mirotic
8:40.0,,,67-94,,Turnover by N. Mirotic (bad pass; steal by A. Gordon)
8:35.0,A. Gordon misses 2-pt shot from 2 ft,,67-94,,
8:34.0,Offensive rebound by A. Gordon,,67-94,,
8:34.0,A. Gordon makes 2-pt shot from 3 ft,2,69-94,,
8:28.0,,,69-94,,Shooting foul by A. Gordon (drawn by N. Mirotic)
8:28.0,,,69-95,1,N. Mirotic makes free throw 1 of 2
8:28.0,,,69-95,,N. Mirotic misses free throw 2 of 2
8:27.0,Defensive rebound by B. Biyombo,,69-95,,
8:12.0,Turnover by D. Rudez (bad pass; steal by D. Wade),,69-95,,
8:08.0,,,69-95,,Shooting foul by C. Watson (drawn by I. Canaan)
8:08.0,,,69-96,1,I. Canaan makes free throw 1 of 2
8:08.0,,,69-97,1,I. Canaan makes free throw 2 of 2
8:08.0,,,69-96,,J. Grant enters the game for D. Wade
7:55.0,A. Gordon makes 3-pt shot from 25 ft (assist by C. Watson),3,72-97,,
7:31.0,,,72-97,,J. Grant misses 2-pt shot from 17 ft
7:30.0,Defensive rebound by C. Watson,,72-97,,
7:25.0,A. Gordon misses 3-pt shot from 26 ft,,72-97,,
7:24.0,,,72-97,,Defensive rebound by J. Grant
7:11.0,,,72-99,2,D. McDermott makes 2-pt shot from 6 ft (assist by N. Mirotic)
6:54.0,A. Gordon misses 2-pt shot from 22 ft,,72-99,,
6:53.0,,,72-99,,Defensive rebound by I. Canaan
6:42.0,,,72-99,,N. Mirotic misses 3-pt shot from 25 ft
6:41.0,Defensive rebound by C. Watson,,72-99,,
6:32.0,C. Watson misses 2-pt shot from 15 ft,,72-99,,
6:31.0,,,72-99,,Defensive rebound by B. Portis
6:17.0,,,72-101,2,D. McDermott makes 2-pt shot from 1 ft (assist by B. Portis)
6:17.0,Orlando full timeout,,72-101,,
6:17.0,,,72-101,,C. Felicio enters the game for N. Mirotic
6:17.0,,,72-101,,P. Zipser enters the game for D. McDermott
6:17.0,,,72-101,,D. Valentine enters the game for I. Canaan
6:17.0,M. Hezonja enters the game for A. Gordon,,72-101,,
6:17.0,A. Onuaku enters the game for B. Biyombo,,72-101,,
6:05.0,Turnover by C. Wilcox (bad pass),,72-101,,
5:53.0,Personal foul by M. Hezonja (drawn by P. Zipser),,72-101,,
5:53.0,,,72-101,,Chicago full timeout
5:46.0,,,72-101,,J. Grant misses 3-pt shot from 23 ft
5:44.0,,,72-101,,Offensive rebound by B. Portis
5:39.0,,,72-101,,Turnover by Team (shot clock)
5:31.0,,,72-101,,Personal foul by J. Grant (drawn by D. Rudez)
5:22.0,M. Hezonja misses 3-pt shot from 25 ft,,72-101,,
5:21.0,,,72-101,,Defensive rebound by J. Grant
5:15.0,,,72-103,2,C. Felicio makes 2-pt shot at rim (assist by P. Zipser)
4:55.0,M. Hezonja misses 2-pt shot from 2 ft,,72-103,,
4:55.0,Offensive rebound by Team,,72-103,,
4:55.0,Turnover by M. Hezonja (traveling),,72-103,,
4:38.0,,,72-103,,B. Portis misses 2-pt shot from 22 ft
4:37.0,Defensive rebound by C. Wilcox,,72-103,,
4:23.0,D. Rudez misses 2-pt shot from 18 ft,,72-103,,
4:22.0,,,72-103,,Defensive rebound by D. Valentine
4:07.0,,,72-103,,P. Zipser misses 3-pt shot from 25 ft
4:06.0,,,72-103,,Offensive rebound by J. Grant
4:00.0,,,72-105,2,B. Portis makes 2-pt shot at rim (assist by J. Grant)
3:46.0,M. Hezonja misses 3-pt shot from 28 ft,,72-105,,
3:45.0,,,72-105,,Defensive rebound by P. Zipser
