time,Washington,pts.away,score,pts.home,New Orleans
7:03.0,Defensive rebound by O. Porter,,15-9,,
6:56.0,J. Wall makes 2-pt shot from 13 ft,2,17-9,,
6:37.0,,,17-9,,Turnover by A. Davis (lost ball; steal by O. Porter)
6:32.0,B. Beal makes 2-pt shot at rim (assist by J. Wall),2,19-9,,
6:14.0,,,19-9,,B. Hield misses 3-pt shot from 26 ft
6:12.0,,,19-9,,Offensive rebound by A. Davis
5:56.0,,,19-11,2,A. Davis makes 2-pt shot from 14 ft
5:48.0,M. Morris misses 2-pt shot from 8 ft,,19-11,,
5:46.0,,,19-11,,Defensive rebound by B. Hield
5:40.0,,,19-11,,B. Hield misses 2-pt shot from 2 ft
5:39.0,,,19-11,,Offensive rebound by J. Holiday
5:38.0,,,19-13,2,J. Holiday makes 2-pt shot from 2 ft
5:14.0,M. Gortat misses 2-pt shot from 7 ft,,19-13,,
5:13.0,,,19-13,,Defensive rebound by S. Hill
5:04.0,Loose ball foul by O. Porter (drawn by S. Hill),,19-13,,
5:04.0,K. Oubre enters the game for M. Morris,,19-13,,
4:58.0,,,19-13,,Offensive foul by A. Davis
4:58.0,,,19-13,,Turnover by A. Davis (offensive foul)
4:58.0,,,19-13,,T. Evans enters the game for S. Hill
4:58.0,,,19-13,,D. Motiejunas enters the game for B. Hield
4:41.0,M. Gortat makes 2-pt shot from 8 ft,2,21-13,,
4:31.0,,,21-13,,T. Evans misses 3-pt shot from 26 ft
4:28.0,Defensive rebound by K. Oubre,,21-13,,
4:15.0,O. Porter makes 3-pt shot from 26 ft (assist by J. Wall),3,24-13,,
4:07.0,,,24-13,,New Orleans full timeout
3:57.0,,,24-13,,A. Davis misses 2-pt shot from 17 ft
3:55.0,Defensive rebound by O. Porter,,24-13,,
3:40.0,Turnover by J. Wall (bad pass; steal by A. Davis),,24-13,,
3:37.0,,,24-15,2,A. Davis makes 2-pt shot at rim
3:18.0,Shooting foul by D. Motiejunas (drawn by M. Gortat),,24-15,,
3:18.0,M. Gortat makes free throw 1 of 2,1,25-15,,
3:18.0,M. Gortat makes free throw 2 of 2,1,26-15,,
3:18.0,T. Satoransky enters the game for B. Beal,,25-15,,
3:07.0,,,26-17,2,D. Motiejunas makes 2-pt shot from 5 ft (assist by D. Cunningham)
2:49.0,J. Wall makes 2-pt shot at rim,2,28-17,,
2:36.0,Personal foul by M. Gortat (drawn by A. Davis),,28-17,,
2:36.0,Washington full timeout,,28-17,,
2:28.0,,,28-19,2,D. Motiejunas makes 2-pt shot from 10 ft
2:11.0,,,28-19,,Shooting block foul by D. Motiejunas (drawn by J. Wall)
2:11.0,J. Wall makes free throw 1 of 2,1,29-19,,
2:11.0,J. Wall misses free throw 2 of 2,,29-19,,
2:11.0,,,29-19,,Defensive rebound by A. Davis
2:11.0,,,29-19,,T. Jones enters the game for D. Motiejunas
1:59.0,Personal foul by K. Oubre (drawn by J. Holiday),,29-19,,
1:59.0,J. Smith enters the game for M. Gortat,,29-19,,
1:53.0,,,29-21,2,J. Holiday makes 2-pt shot from 2 ft
1:35.0,J. Smith misses 2-pt shot from 18 ft,,29-21,,
1:34.0,,,29-21,,Defensive rebound by D. Cunningham
1:26.0,,,29-21,,Turnover by A. Davis (traveling)
1:18.0,J. Wall misses 2-pt shot from 18 ft,,29-21,,
1:15.0,,,29-21,,Defensive rebound by Team
1:01.0,,,29-21,,A. Davis misses 2-pt shot from 12 ft
1:00.0,,,29-21,,Offensive rebound by Team
1:00.0,,,29-21,,E. Moore enters the game for J. Holiday
0:54.0,,,29-23,2,T. Evans makes 2-pt shot from 2 ft (assist by T. Jones)
0:43.0,K. Oubre misses 2-pt shot from 16 ft,,29-23,,
0:39.0,Offensive rebound by O. Porter,,29-23,,
0:35.0,O. Porter misses 3-pt shot from 23 ft,,29-23,,
0:34.0,,,29-23,,Defensive rebound by A. Davis
0:18.0,,,29-23,,Turnover by A. Davis (lost ball)
0:05.0,,,29-23,,Personal take foul by E. Moore (drawn by J. Wall)
0:00.0,J. Wall misses 2-pt shot from 6 ft (block by A. Davis),,29-23,,
0:00.0,Offensive rebound by Team,,29-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,29-23,,T. Evans misses 2-pt shot from 2 ft
11:42.0,Defensive rebound by K. Oubre,,29-23,,
11:25.0,M. Morris misses 2-pt shot from 7 ft,,29-23,,
11:23.0,,,29-23,,Defensive rebound by T. Jones
10:59.0,,,29-23,,T. Jones misses 3-pt shot from 25 ft (block by J. Smith)
10:58.0,,,29-23,,Offensive rebound by Team
10:58.0,,,29-23,,Turnover by Team (shot clock)
10:45.0,T. Burke makes 3-pt shot from 28 ft (assist by T. Satoransky),3,32-23,,
10:28.0,,,32-23,,S. Hill misses 2-pt shot from 3 ft (block by J. Smith)
10:26.0,,,32-23,,Offensive rebound by S. Hill
10:25.0,,,32-26,3,L. Galloway makes 3-pt shot from 26 ft (assist by S. Hill)
10:11.0,M. Morris misses 2-pt shot from 21 ft,,32-26,,
10:09.0,,,32-26,,Defensive rebound by T. Evans
9:59.0,,,32-26,,S. Hill misses 3-pt shot from 27 ft
9:57.0,Defensive rebound by K. Oubre,,32-26,,
9:34.0,M. Morris misses 2-pt shot from 9 ft,,32-26,,
9:32.0,,,32-26,,Defensive rebound by L. Galloway
9:24.0,Shooting block foul by T. Satoransky (drawn by T. Jones),,32-26,,
9:24.0,,,32-27,1,T. Jones makes free throw 1 of 2
9:24.0,,,32-28,1,T. Jones makes free throw 2 of 2
9:11.0,,,32-28,,Personal foul by T. Evans (drawn by M. Morris)
9:06.0,J. Smith misses 3-pt shot from 23 ft,,32-28,,
9:05.0,,,32-28,,Defensive rebound by T. Jones
8:55.0,,,32-28,,E. Moore misses 3-pt shot from 26 ft
8:53.0,,,32-28,,Offensive rebound by T. Jones
8:37.0,,,32-28,,T. Jones misses 2-pt shot from 7 ft
8:36.0,Defensive rebound by J. Smith,,32-28,,
8:26.0,T. Burke misses 3-pt shot from 25 ft,,32-28,,
8:25.0,,,32-28,,Defensive rebound by T. Evans
8:19.0,,,32-28,,T. Jones misses 2-pt shot from 2 ft
8:17.0,Defensive rebound by J. Smith,,32-28,,
8:13.0,Turnover by T. Burke (bad pass; steal by L. Galloway),,32-28,,
8:04.0,,,32-28,,T. Jones misses 2-pt shot from 16 ft
8:02.0,Defensive rebound by K. Oubre,,32-28,,
7:55.0,Washington full timeout,,32-28,,
7:55.0,B. Beal enters the game for T. Satoransky,,32-28,,
7:49.0,K. Oubre makes 2-pt shot from 19 ft,2,34-28,,
7:35.0,,,34-28,,E. Moore misses 3-pt shot from 25 ft
7:33.0,Defensive rebound by J. Smith,,34-28,,
7:11.0,M. Morris misses 2-pt shot from 7 ft,,34-28,,
7:10.0,Offensive rebound by J. Smith,,34-28,,
7:10.0,J. Smith makes 2-pt shot at rim,2,36-28,,
6:51.0,,,36-28,,L. Galloway misses 3-pt shot from 26 ft
6:49.0,Defensive rebound by J. Smith,,36-28,,
6:39.0,B. Beal makes 2-pt shot from 17 ft,2,38-28,,
6:21.0,,,38-28,,S. Hill misses 3-pt shot from 23 ft
6:19.0,Defensive rebound by B. Beal,,38-28,,
6:14.0,,,38-28,,Personal foul by S. Hill (drawn by B. Beal)
6:14.0,,,38-28,,A. Davis enters the game for T. Jones
6:14.0,J. Wall enters the game for T. Burke,,38-28,,
6:14.0,,,38-28,,J. Holiday enters the game for T. Evans
6:10.0,Turnover by B. Beal (bad pass; steal by A. Davis),,38-28,,
5:53.0,,,38-28,,Shooting foul by M. Morris (drawn by S. Hill)
5:53.0,Official timeout,,38-28,,
5:53.0,,,38-29,1,S. Hill makes free throw 1 of 2
5:53.0,,,38-29,,S. Hill misses free throw 2 of 2
5:53.0,M. Gortat enters the game for J. Smith,,38-28,,
5:51.0,Defensive rebound by M. Gortat,,38-29,,
5:39.0,M. Gortat makes 2-pt shot at rim (assist by B. Beal),2,40-29,,
5:23.0,,,40-29,,E. Moore misses 2-pt shot from 6 ft
5:22.0,Defensive rebound by B. Beal,,40-29,,
5:04.0,B. Beal misses 3-pt shot from 25 ft,,40-29,,
5:02.0,Offensive rebound by M. Gortat,,40-29,,
4:54.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,42-29,,
4:54.0,Shooting foul by S. Hill (drawn by M. Gortat),,42-29,,
4:54.0,M. Gortat makes free throw 1 of 1,1,43-29,,
4:54.0,,,42-29,,D. Motiejunas enters the game for S. Hill
4:54.0,O. Porter enters the game for K. Oubre,,42-29,,
4:36.0,,,43-29,,Turnover by D. Motiejunas (bad pass; steal by M. Gortat)
4:24.0,O. Porter misses 3-pt shot from 23 ft,,43-29,,
4:22.0,,,43-29,,Defensive rebound by L. Galloway
4:15.0,,,43-29,,Turnover by J. Holiday (bad pass; steal by O. Porter)
4:10.0,O. Porter misses 2-pt shot from 6 ft,,43-29,,
4:08.0,Offensive rebound by M. Morris,,43-29,,
4:08.0,M. Morris makes 2-pt shot from 2 ft,2,45-29,,
3:57.0,,,45-29,,L. Galloway misses 3-pt shot from 25 ft
3:54.0,Defensive rebound by O. Porter,,45-29,,
3:38.0,,,45-29,,Personal foul by L. Galloway (drawn by B. Beal)
3:38.0,,,45-29,,S. Hill enters the game for E. Moore
3:35.0,B. Beal misses 2-pt shot from 7 ft,,45-29,,
3:34.0,,,45-29,,Defensive rebound by A. Davis
3:13.0,,,45-29,,Turnover by J. Holiday (bad pass; steal by J. Wall)
3:11.0,,,45-29,,Loose ball foul by L. Galloway (drawn by J. Wall)
3:11.0,J. Wall makes free throw 1 of 2,1,46-29,,
3:11.0,J. Wall misses free throw 2 of 2,,46-29,,
3:11.0,,,46-29,,Defensive rebound by D. Motiejunas
3:11.0,,,46-29,,B. Hield enters the game for L. Galloway
2:57.0,,,46-31,2,J. Holiday makes 2-pt shot from 2 ft
2:41.0,M. Morris makes 3-pt shot from 24 ft (assist by J. Wall),3,49-31,,
2:30.0,,,49-34,3,J. Holiday makes 3-pt shot from 25 ft (assist by A. Davis)
2:17.0,B. Beal makes 2-pt shot from 3 ft (assist by J. Wall),2,51-34,,
1:59.0,,,51-36,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
1:41.0,B. Beal misses 3-pt shot from 24 ft,,51-36,,
1:38.0,,,51-36,,Defensive rebound by J. Holiday
1:29.0,,,51-38,2,D. Motiejunas makes 2-pt shot from 2 ft (assist by J. Holiday)
1:29.0,,,51-38,,Shooting foul by B. Beal (drawn by D. Motiejunas)
1:29.0,,,51-38,,New Orleans full timeout
1:29.0,,,51-38,,D. Motiejunas misses free throw 1 of 1
1:29.0,Defensive rebound by M. Morris,,51-38,,
1:10.0,B. Beal makes 2-pt shot from 4 ft (assist by M. Gortat),2,53-38,,
0:52.0,,,53-40,2,J. Holiday makes 2-pt shot from 6 ft (assist by D. Motiejunas)
0:35.0,J. Wall makes 2-pt shot from 18 ft,2,55-40,,
0:23.0,,,55-40,,J. Holiday misses 3-pt shot from 24 ft
0:20.0,Defensive rebound by M. Gortat,,55-40,,
0:00.0,J. Wall makes 2-pt shot from 18 ft,2,57-40,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,Personal foul by J. Wall (drawn by J. Holiday),,57-40,,
11:39.0,,,57-43,3,D. Cunningham makes 3-pt shot from 25 ft (assist by J. Holiday)
11:24.0,Turnover by B. Beal (bad pass; steal by S. Hill),,57-43,,
11:21.0,,,57-43,,B. Hield misses 2-pt shot from 2 ft (block by J. Wall)
11:19.0,,,57-43,,Offensive rebound by D. Cunningham
11:08.0,,,57-43,,J. Holiday misses 2-pt shot from 6 ft
11:04.0,Defensive rebound by M. Morris,,57-43,,
11:00.0,Turnover by J. Wall (lost ball; steal by S. Hill),,57-43,,
10:54.0,,,57-43,,B. Hield misses 3-pt shot from 24 ft
10:52.0,Defensive rebound by B. Beal,,57-43,,
10:37.0,O. Porter makes 2-pt shot from 2 ft (assist by J. Wall),2,59-43,,
10:14.0,,,59-46,3,S. Hill makes 3-pt shot from 25 ft (assist by J. Holiday)
10:01.0,Offensive foul by M. Gortat,,59-46,,
10:01.0,Turnover by M. Gortat (offensive foul),,59-46,,
9:48.0,,,59-46,,Offensive foul by B. Hield
9:48.0,,,59-46,,Turnover by B. Hield (offensive foul)
9:31.0,M. Morris misses 2-pt shot from 14 ft,,59-46,,
9:30.0,Offensive rebound by M. Gortat,,59-46,,
9:23.0,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall),2,61-46,,
9:07.0,,,61-49,3,J. Holiday makes 3-pt shot from 26 ft (assist by A. Davis)
8:48.0,,,61-49,,Personal foul by B. Hield (drawn by O. Porter)
8:40.0,Turnover by M. Gortat (traveling),,61-49,,
8:27.0,,,61-51,2,A. Davis makes 2-pt shot from 16 ft (assist by J. Holiday)
8:25.0,Washington full timeout,,61-51,,
8:10.0,B. Beal makes 2-pt shot from 18 ft (assist by M. Gortat),2,63-51,,
8:01.0,,,63-51,,Turnover by A. Davis (bad pass)
7:48.0,M. Gortat misses 2-pt shot from 6 ft,,63-51,,
7:47.0,,,63-51,,Defensive rebound by A. Davis
7:38.0,,,63-51,,S. Hill misses 2-pt shot from 3 ft
7:38.0,Defensive rebound by M. Gortat,,63-51,,
7:32.0,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall),3,66-51,,
7:30.0,,,66-51,,New Orleans full timeout
7:21.0,Personal foul by M. Gortat (drawn by A. Davis),,66-51,,
7:15.0,,,66-51,,A. Davis misses 2-pt shot from 7 ft
7:14.0,Defensive rebound by B. Beal,,66-51,,
7:00.0,M. Morris misses 2-pt shot from 11 ft,,66-51,,
6:58.0,,,66-51,,Defensive rebound by A. Davis
6:51.0,,,66-53,2,A. Davis makes 2-pt shot from 1 ft (assist by J. Holiday)
6:27.0,Turnover by B. Beal (bad pass; steal by A. Davis),,66-53,,
6:18.0,,,66-56,3,J. Holiday makes 3-pt shot from 25 ft (assist by D. Cunningham)
5:57.0,J. Wall misses 2-pt shot from 20 ft,,66-56,,
5:55.0,,,66-56,,Defensive rebound by B. Hield
5:46.0,Personal foul by M. Morris (drawn by A. Davis),,66-56,,
5:46.0,,,66-56,,E. Moore enters the game for B. Hield
5:46.0,K. Oubre enters the game for M. Morris,,66-56,,
5:40.0,,,66-58,2,J. Holiday makes 2-pt shot from 6 ft
5:23.0,J. Wall misses 3-pt shot from 25 ft,,66-58,,
5:21.0,,,66-58,,Defensive rebound by A. Davis
5:13.0,,,66-58,,A. Davis misses 2-pt shot from 17 ft
5:12.0,Defensive rebound by O. Porter,,66-58,,
5:05.0,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall),2,68-58,,
4:54.0,,,68-58,,J. Holiday misses 2-pt shot from 2 ft
4:53.0,,,68-58,,Offensive rebound by J. Holiday
4:53.0,,,68-58,,J. Holiday misses 2-pt shot from 1 ft
4:51.0,Defensive rebound by J. Wall,,68-58,,
4:45.0,B. Beal misses 3-pt shot from 24 ft,,68-58,,
4:43.0,Offensive rebound by K. Oubre,,68-58,,
4:41.0,J. Wall misses 3-pt shot from 24 ft,,68-58,,
4:39.0,,,68-58,,Defensive rebound by E. Moore
4:20.0,,,68-58,,Turnover by A. Davis (bad pass; steal by O. Porter)
4:16.0,K. Oubre misses 3-pt shot from 26 ft,,68-58,,
4:12.0,,,68-58,,Defensive rebound by D. Cunningham
4:02.0,Personal foul by K. Oubre (drawn by E. Moore),,68-58,,
4:02.0,,,68-58,,D. Motiejunas enters the game for D. Cunningham
4:02.0,J. Smith enters the game for M. Gortat,,68-58,,
3:59.0,,,68-60,2,A. Davis makes 2-pt shot from 18 ft (assist by J. Holiday)
3:32.0,J. Wall makes 2-pt shot from 20 ft,2,70-60,,
3:23.0,,,70-63,3,J. Holiday makes 3-pt shot from 24 ft
3:02.0,O. Porter misses 2-pt shot from 21 ft,,70-63,,
3:00.0,,,70-63,,Defensive rebound by S. Hill
2:51.0,,,70-65,2,A. Davis makes 2-pt shot from 3 ft (assist by J. Holiday)
2:28.0,J. Wall misses 2-pt shot from 16 ft,,70-65,,
2:26.0,,,70-65,,Defensive rebound by A. Davis
2:18.0,,,70-68,3,A. Davis makes 3-pt shot from 25 ft (assist by E. Moore)
1:55.0,,,70-68,,Shooting block foul by A. Davis (drawn by B. Beal)
1:55.0,B. Beal makes free throw 1 of 2,1,71-68,,
1:55.0,B. Beal makes free throw 2 of 2,1,72-68,,
1:47.0,,,72-68,,Shooting foul by J. Smith (drawn by A. Davis)
1:47.0,,,72-68,,A. Davis misses free throw 1 of 2
1:47.0,,,72-68,,Offensive rebound by Team
1:47.0,,,72-69,1,A. Davis makes free throw 2 of 2
1:47.0,T. Satoransky enters the game for B. Beal,,72-68,,
1:35.0,O. Porter misses 2-pt shot from 17 ft,,72-69,,
1:32.0,,,72-69,,Defensive rebound by Team
1:18.0,,,72-71,2,A. Davis makes 2-pt shot at rim (assist by E. Moore)
1:00.0,J. Wall misses 2-pt shot from 1 ft (block by S. Hill),,72-71,,
1:00.0,,,72-71,,Defensive rebound by A. Davis
0:51.0,,,72-73,2,A. Davis makes 2-pt shot from 18 ft (assist by J. Holiday)
0:43.0,Turnover by J. Wall (lost ball; steal by J. Holiday),,72-73,,
0:36.0,,,72-73,,A. Davis misses 2-pt shot from 14 ft
0:35.0,Defensive rebound by O. Porter,,72-73,,
0:15.0,J. Wall makes 2-pt shot from 18 ft,2,74-73,,
0:02.0,,,74-73,,J. Holiday misses 2-pt shot from 19 ft
0:00.0,,,74-73,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,M. Morris makes 2-pt shot from 16 ft (assist by T. Burke),2,76-73,,
11:34.0,,,76-76,3,L. Galloway makes 3-pt shot from 26 ft (assist by T. Evans)
11:09.0,T. Burke misses 2-pt shot from 20 ft,,76-76,,
11:07.0,Offensive rebound by K. Oubre,,76-76,,
11:05.0,K. Oubre misses 2-pt shot from 11 ft,,76-76,,
11:03.0,,,76-76,,Defensive rebound by Team
10:47.0,,,76-76,,T. Jones misses 2-pt shot from 8 ft
10:46.0,Defensive rebound by J. Smith,,76-76,,
10:42.0,M. Morris makes 2-pt shot at rim (assist by T. Burke),2,78-76,,
10:26.0,,,78-76,,Shooting foul by K. Oubre (drawn by T. Evans)
10:26.0,,,78-76,,T. Evans misses free throw 1 of 2
10:26.0,,,78-76,,Offensive rebound by Team
10:26.0,,,78-76,,T. Evans misses free throw 2 of 2
10:26.0,Defensive rebound by Team,,78-76,,
10:10.0,T. Burke makes 2-pt shot from 2 ft (assist by M. Morris),2,80-76,,
9:53.0,,,80-76,,T. Jones misses 3-pt shot from 26 ft
9:50.0,Defensive rebound by Team,,80-76,,
9:42.0,M. Morris makes 3-pt shot from 25 ft (assist by B. Beal),3,83-76,,
9:40.0,,,83-76,,New Orleans full timeout
9:40.0,,,83-76,,J. Holiday enters the game for T. Evans
9:40.0,,,83-76,,D. Cunningham enters the game for D. Motiejunas
9:40.0,,,83-76,,A. Davis enters the game for T. Jones
9:40.0,,,83-76,,S. Hill enters the game for L. Galloway
9:20.0,,,83-76,,D. Cunningham misses 3-pt shot from 25 ft
9:18.0,Defensive rebound by M. Morris,,83-76,,
9:02.0,M. Morris misses 2-pt shot from 16 ft,,83-76,,
9:00.0,,,83-76,,Defensive rebound by A. Davis
8:54.0,,,83-76,,D. Cunningham misses 3-pt shot from 24 ft
8:52.0,Defensive rebound by K. Oubre,,83-76,,
8:28.0,T. Burke misses 2-pt shot from 1 ft,,83-76,,
8:27.0,,,83-76,,Defensive rebound by A. Davis
8:18.0,,,83-76,,Shooting foul by J. Smith (drawn by A. Davis)
8:18.0,,,83-78,2,A. Davis makes 2-pt shot from 2 ft
8:18.0,,,83-79,1,A. Davis makes free throw 1 of 1
8:18.0,Technical foul by Team,,83-79,,
8:18.0,Violation by Team (jump ball),,83-79,,
8:18.0,,,83-80,1,A. Davis makes technical free throw
8:18.0,,,83-78,,D. Motiejunas enters the game for D. Cunningham
8:01.0,J. Smith makes 2-pt shot from 20 ft (assist by T. Burke),2,85-80,,
7:44.0,,,85-80,,Turnover by D. Motiejunas (lost ball; steal by J. Smith)
7:40.0,B. Beal makes 2-pt shot from 23 ft,2,87-80,,
7:23.0,,,87-82,2,A. Davis makes 2-pt shot from 10 ft
7:12.0,Turnover by B. Beal (lost ball; steal by S. Hill),,87-82,,
7:05.0,,,87-82,,A. Davis misses 2-pt shot from 19 ft
7:03.0,,,87-82,,Offensive rebound by D. Motiejunas
7:02.0,,,87-84,2,A. Davis makes 2-pt shot at rim (assist by D. Motiejunas)
6:51.0,Washington full timeout,,87-84,,
6:51.0,J. Wall enters the game for J. Smith,,87-84,,
6:51.0,M. Gortat enters the game for T. Burke,,87-84,,
6:40.0,J. Wall misses 2-pt shot from 1 ft,,87-84,,
6:38.0,,,87-84,,Defensive rebound by D. Motiejunas
6:20.0,,,87-84,,A. Davis misses 3-pt shot from 25 ft
6:18.0,Defensive rebound by M. Morris,,87-84,,
5:58.0,M. Morris makes 3-pt shot from 26 ft (assist by J. Wall),3,90-84,,
5:43.0,,,90-84,,J. Holiday misses 3-pt shot from 26 ft
5:40.0,Defensive rebound by B. Beal,,90-84,,
5:32.0,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall),3,93-84,,
5:27.0,Personal foul by K. Oubre (drawn by J. Holiday),,93-84,,
5:27.0,O. Porter enters the game for K. Oubre,,93-84,,
5:14.0,,,93-84,,A. Davis misses 2-pt shot from 20 ft
5:11.0,Defensive rebound by M. Morris,,93-84,,
5:04.0,J. Wall makes 2-pt shot from 1 ft,2,95-84,,
5:00.0,,,95-84,,New Orleans full timeout
4:49.0,,,95-84,,D. Motiejunas misses 3-pt shot from 25 ft
4:46.0,,,95-84,,Offensive rebound by A. Davis
4:40.0,,,95-84,,Shooting foul by M. Morris (drawn by D. Motiejunas)
4:40.0,,,95-84,,D. Motiejunas misses free throw 1 of 2
4:40.0,,,95-84,,Offensive rebound by Team
4:40.0,,,95-84,,D. Motiejunas misses free throw 2 of 2
4:40.0,,,95-84,,T. Evans enters the game for E. Moore
4:39.0,Defensive rebound by M. Gortat,,95-84,,
4:25.0,J. Wall misses 2-pt shot from 15 ft,,95-84,,
4:23.0,,,95-84,,Defensive rebound by A. Davis
4:11.0,Personal foul by J. Wall (drawn by A. Davis),,95-84,,
4:11.0,,,95-85,1,A. Davis makes free throw 1 of 2
4:11.0,,,95-86,1,A. Davis makes free throw 2 of 2
3:58.0,O. Porter makes 3-pt shot from 24 ft (assist by J. Wall),3,98-86,,
3:44.0,,,98-88,2,J. Holiday makes 2-pt shot from 4 ft
3:25.0,M. Morris makes 2-pt shot from 20 ft (assist by J. Wall),2,100-88,,
3:12.0,,,100-88,,Turnover by T. Evans (bad pass; steal by B. Beal)
3:06.0,O. Porter makes 2-pt shot from 1 ft (assist by J. Wall),2,102-88,,
2:44.0,Jump ball: D. Motiejunas vs. O. Porter (B. Beal gains possession),,,,Jump ball: D. Motiejunas vs. O. Porter (B. Beal gains possession)
2:44.0,,,102-88,,Turnover by D. Motiejunas (lost ball; steal by O. Porter)
2:19.0,M. Morris misses 2-pt shot from 2 ft,,102-88,,
2:17.0,,,102-88,,Defensive rebound by A. Davis
2:12.0,,,102-88,,S. Hill misses 3-pt shot from 25 ft
2:10.0,,,102-88,,Offensive rebound by D. Motiejunas
2:07.0,,,102-90,2,D. Motiejunas makes 2-pt shot from 7 ft
1:47.0,,,102-90,,Def 3 sec tech foul by D. Motiejunas
1:47.0,B. Beal misses technical free throw,,102-90,,
1:47.0,Offensive rebound by Team,,102-90,,
1:33.0,J. Wall misses 2-pt shot from 16 ft,,102-90,,
1:32.0,,,102-90,,Defensive rebound by A. Davis
1:27.0,,,102-92,2,D. Motiejunas makes 2-pt shot from 7 ft (assist by T. Evans)
1:05.0,B. Beal makes 3-pt shot from 26 ft,3,105-92,,
0:56.0,,,105-94,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
0:42.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,107-94,,
0:31.0,,,107-94,,S. Hill misses 3-pt shot from 23 ft
0:30.0,Defensive rebound by M. Gortat,,107-94,,
0:07.0,Turnover by Team (shot clock),,107-94,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
