time,Chicago,pts.away,score,pts.home,Orlando
10:29.0,J. Lauvergne makes free throw 2 of 2,1,26-22,,
10:20.0,,,26-24,2,C. Watson makes 2-pt shot from 17 ft
10:00.0,C. Felicio makes 2-pt shot from 1 ft (assist by R. Rondo),2,28-24,,
9:47.0,Personal foul by J. Lauvergne (drawn by J. Green),,28-24,,
9:33.0,,,28-24,,Turnover by Team (shot clock)
9:23.0,C. Felicio makes 2-pt shot at rim (assist by R. Rondo),2,30-24,,
9:22.0,,,30-24,,Orlando full timeout
9:09.0,,,30-24,,J. Green misses 3-pt shot from 26 ft
9:07.0,Defensive rebound by J. Lauvergne,,30-24,,
8:46.0,Turnover by D. Valentine (bad pass; steal by J. Green),,30-24,,
8:37.0,,,30-24,,C. Watson misses 2-pt shot from 19 ft
8:34.0,Defensive rebound by C. Felicio,,30-24,,
8:12.0,C. Felicio makes 2-pt shot from 1 ft (assist by J. Lauvergne),2,32-24,,
7:52.0,,,32-24,,S. Zimmerman misses 2-pt shot from 16 ft
7:51.0,,,32-24,,Offensive rebound by J. Green
7:43.0,,,32-24,,J. Green misses 3-pt shot from 23 ft
7:42.0,Defensive rebound by D. Valentine,,32-24,,
7:27.0,D. Valentine misses 3-pt shot from 27 ft,,32-24,,
7:24.0,Offensive rebound by J. Lauvergne,,32-24,,
7:19.0,C. Payne makes 2-pt shot from 2 ft (assist by J. Lauvergne),2,34-24,,
7:18.0,,,34-24,,Orlando full timeout
7:18.0,,,34-24,,E. Payton enters the game for D. Augustin
7:18.0,,,34-24,,B. Biyombo enters the game for C. Watson
7:18.0,,,34-24,,T. Ross enters the game for S. Zimmerman
7:00.0,,,34-26,2,B. Biyombo makes 2-pt shot at rim (assist by E. Payton)
6:45.0,Turnover by R. Rondo (bad pass),,34-26,,
6:30.0,,,34-28,2,B. Biyombo makes 2-pt shot at rim (assist by T. Ross)
6:29.0,Chicago full timeout,,34-28,,
6:29.0,J. Butler enters the game for R. Rondo,,34-28,,
6:16.0,C. Felicio makes 2-pt shot from 2 ft (assist by J. Butler),2,36-28,,
5:59.0,,,36-28,,Turnover by J. Green (bad pass; steal by D. Valentine)
5:45.0,D. Valentine makes 3-pt shot from 24 ft (assist by C. Felicio),3,39-28,,
5:26.0,,,39-31,3,J. Green makes 3-pt shot from 25 ft (assist by E. Payton)
5:00.0,C. Payne makes 2-pt shot from 6 ft (assist by J. Butler),2,41-31,,
4:53.0,,,41-33,2,J. Green makes 2-pt shot from 1 ft (assist by E. Payton)
4:45.0,,,41-33,,Personal foul by T. Ross (drawn by J. Butler)
4:45.0,,,41-33,,E. Fournier enters the game for M. Hezonja
4:45.0,,,41-33,,A. Gordon enters the game for J. Green
4:45.0,B. Portis enters the game for J. Lauvergne,,41-33,,
4:45.0,R. Lopez enters the game for C. Felicio,,41-33,,
4:41.0,Turnover by C. Payne (discontinued dribble),,41-33,,
4:31.0,,,41-33,,T. Ross misses 2-pt shot from 19 ft
4:29.0,Defensive rebound by D. Valentine,,41-33,,
4:14.0,J. Butler makes 3-pt shot from 27 ft,3,44-33,,
4:07.0,,,44-35,2,A. Gordon makes 2-pt shot from 1 ft (assist by E. Payton)
3:54.0,J. Butler misses 2-pt shot from 15 ft,,44-35,,
3:53.0,,,44-35,,Defensive rebound by E. Payton
3:40.0,,,44-35,,E. Fournier misses 3-pt shot from 26 ft
3:39.0,,,44-35,,Offensive rebound by T. Ross
3:33.0,,,44-35,,Shooting foul by C. Payne (drawn by E. Payton)
3:33.0,,,44-36,1,E. Payton makes free throw 1 of 2
3:33.0,,,44-37,1,E. Payton makes free throw 2 of 2
3:33.0,J. Grant enters the game for D. Valentine,,44-36,,
3:13.0,C. Payne misses 2-pt shot from 18 ft,,44-37,,
3:11.0,Offensive rebound by R. Lopez,,44-37,,
3:11.0,R. Lopez makes 2-pt shot at rim,2,46-37,,
2:59.0,,,46-37,,Offensive foul by B. Biyombo
2:59.0,,,46-37,,Turnover by B. Biyombo (offensive foul)
2:59.0,Official timeout,,46-37,,
2:44.0,J. Butler misses 2-pt shot from 18 ft,,46-37,,
2:43.0,,,46-37,,Defensive rebound by E. Fournier
2:25.0,,,46-37,,T. Ross misses 3-pt shot from 23 ft
2:24.0,Defensive rebound by J. Butler,,46-37,,
2:10.0,B. Portis misses 2-pt shot from 18 ft,,46-37,,
2:09.0,,,46-37,,Defensive rebound by A. Gordon
2:03.0,,,46-37,,Shooting foul by R. Lopez (drawn by A. Gordon)
2:03.0,,,46-38,1,A. Gordon makes free throw 1 of 2
2:03.0,,,46-39,1,A. Gordon makes free throw 2 of 2
1:44.0,B. Portis makes 2-pt shot from 3 ft (assist by J. Butler),2,48-39,,
1:34.0,,,48-39,,A. Gordon misses 3-pt shot from 26 ft
1:33.0,Defensive rebound by J. Butler,,48-39,,
1:22.0,B. Portis makes 2-pt shot from 14 ft (assist by J. Butler),2,50-39,,
1:05.0,,,50-39,,A. Gordon misses 2-pt shot from 7 ft
1:04.0,,,50-39,,Offensive rebound by E. Fournier
1:00.0,,,50-39,,E. Fournier misses 3-pt shot from 24 ft
0:58.0,,,50-39,,Offensive rebound by E. Payton
0:53.0,,,50-41,2,E. Payton makes 2-pt shot from 2 ft
0:39.0,J. Butler misses 2-pt shot from 9 ft,,50-41,,
0:36.0,Offensive rebound by J. Butler,,50-41,,
0:36.0,,,50-41,,Personal foul by B. Biyombo (drawn by J. Butler)
0:36.0,,,50-41,,S. Zimmerman enters the game for B. Biyombo
0:26.0,Turnover by R. Lopez (bad pass; steal by A. Gordon),,50-41,,
0:21.0,,,50-43,2,T. Ross makes 2-pt shot from 10 ft (assist by E. Fournier)
0:00.0,J. Butler makes 3-pt shot from 26 ft,3,53-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,53-43,,B. Biyombo misses 2-pt shot from 8 ft
11:38.0,Defensive rebound by R. Lopez,,53-43,,
11:14.0,Turnover by Team (shot clock),,53-43,,
11:03.0,,,53-43,,E. Fournier misses 2-pt shot from 22 ft
11:02.0,Defensive rebound by J. Grant,,53-43,,
10:55.0,J. Grant makes 3-pt shot from 25 ft,3,56-43,,
10:39.0,,,56-45,2,T. Ross makes 2-pt shot from 15 ft (assist by E. Payton)
10:14.0,B. Portis makes 2-pt shot from 18 ft (assist by P. Zipser),2,58-45,,
10:03.0,,,58-47,2,B. Biyombo makes 2-pt shot from 2 ft (assist by E. Payton)
9:42.0,Turnover by R. Lopez (bad pass; steal by E. Fournier),,58-47,,
9:39.0,,,58-47,,E. Fournier misses 2-pt shot from 2 ft (block by J. Butler)
9:39.0,,,58-47,,Offensive rebound by Team
9:32.0,,,58-49,2,A. Gordon makes 2-pt shot from 7 ft (assist by E. Payton)
9:12.0,R. Lopez makes 2-pt shot from 18 ft (assist by J. Butler),2,60-49,,
8:57.0,,,60-49,,Turnover by E. Fournier (lost ball; steal by J. Butler)
8:56.0,,,60-49,,Personal foul by E. Fournier (drawn by J. Butler)
8:44.0,R. Lopez makes 2-pt shot from 5 ft (assist by J. Butler),2,62-49,,
8:28.0,,,62-49,,B. Biyombo misses 2-pt shot from 3 ft (block by R. Lopez)
8:28.0,,,62-49,,Offensive rebound by B. Biyombo
8:28.0,Personal foul by J. Grant (drawn by B. Biyombo),,62-49,,
8:20.0,,,62-52,3,E. Fournier makes 3-pt shot from 26 ft (assist by E. Payton)
8:08.0,,,62-52,,Def 3 sec tech foul by B. Biyombo
8:08.0,J. Butler makes technical free throw,1,63-52,,
8:03.0,,,63-52,,Personal foul by T. Ross (drawn by P. Zipser)
7:54.0,R. Lopez misses 2-pt shot from 21 ft,,63-52,,
7:53.0,,,63-52,,Defensive rebound by E. Payton
7:47.0,,,63-52,,Shooting foul by P. Zipser (drawn by T. Ross)
7:47.0,,,63-52,,T. Ross misses free throw 1 of 3
7:47.0,,,63-52,,Offensive rebound by Team
7:47.0,,,63-53,1,T. Ross makes free throw 2 of 3
7:47.0,,,63-54,1,T. Ross makes free throw 3 of 3
7:26.0,J. Butler misses 2-pt shot from 20 ft,,63-54,,
7:25.0,,,63-54,,Defensive rebound by B. Biyombo
7:19.0,,,63-56,2,E. Payton makes 2-pt shot from 1 ft
7:18.0,Chicago full timeout,,63-56,,
7:06.0,,,63-56,,Personal foul by E. Fournier (drawn by J. Butler)
7:00.0,J. Butler misses 3-pt shot from 25 ft,,63-56,,
6:58.0,,,63-56,,Defensive rebound by E. Payton
6:58.0,Personal foul by B. Portis (drawn by E. Payton),,63-56,,
6:44.0,,,63-58,2,E. Fournier makes 2-pt shot from 1 ft (assist by E. Payton)
6:26.0,,,63-58,,Personal foul by B. Biyombo (drawn by R. Lopez)
6:17.0,P. Zipser makes 3-pt shot from 26 ft (assist by J. Butler),3,66-58,,
5:58.0,,,66-58,,Shooting foul by B. Portis (drawn by A. Gordon)
5:58.0,,,66-59,1,A. Gordon makes free throw 1 of 2
5:58.0,,,66-60,1,A. Gordon makes free throw 2 of 2
5:40.0,Turnover by J. Butler (bad pass; steal by A. Gordon),,66-60,,
5:37.0,,,66-60,,Offensive charge foul by A. Gordon
5:37.0,,,66-60,,Turnover by A. Gordon (offensive foul)
5:37.0,R. Rondo enters the game for J. Grant,,66-60,,
5:24.0,J. Butler makes 2-pt shot at rim,2,68-60,,
5:10.0,,,68-60,,Offensive foul by B. Biyombo
5:10.0,,,68-60,,Turnover by B. Biyombo (offensive foul)
4:59.0,J. Butler misses 2-pt shot from 12 ft,,68-60,,
4:58.0,Offensive rebound by R. Lopez,,68-60,,
4:58.0,R. Lopez misses 2-pt shot from 1 ft,,68-60,,
4:58.0,,,68-60,,Defensive rebound by Team
4:46.0,,,68-62,2,E. Fournier makes 2-pt shot from 10 ft (assist by E. Payton)
4:38.0,Turnover by P. Zipser (traveling),,68-62,,
4:38.0,J. Lauvergne enters the game for B. Portis,,68-62,,
4:21.0,,,68-64,2,E. Payton makes 2-pt shot from 5 ft
4:01.0,J. Butler makes 3-pt shot from 25 ft (assist by J. Lauvergne),3,71-64,,
3:55.0,,,71-66,2,E. Payton makes 2-pt shot from 1 ft
3:55.0,,,71-66,,Shooting foul by P. Zipser (drawn by E. Payton)
3:55.0,,,71-67,1,E. Payton makes free throw 1 of 1
3:55.0,D. Valentine enters the game for P. Zipser,,71-66,,
3:31.0,J. Butler misses 3-pt shot from 25 ft,,71-67,,
3:30.0,,,71-67,,Defensive rebound by B. Biyombo
3:23.0,,,71-70,3,T. Ross makes 3-pt shot from 27 ft
3:06.0,R. Rondo makes 2-pt shot from 6 ft,2,73-70,,
2:51.0,,,73-70,,T. Ross misses 2-pt shot from 6 ft
2:49.0,Defensive rebound by R. Lopez,,73-70,,
2:34.0,R. Lopez makes 2-pt shot from 1 ft (assist by R. Rondo),2,75-70,,
2:29.0,,,75-70,,Orlando full timeout
2:29.0,,,75-70,,M. Hezonja enters the game for T. Ross
2:29.0,,,75-70,,S. Zimmerman enters the game for A. Gordon
2:29.0,,,75-70,,J. Green enters the game for B. Biyombo
2:22.0,,,75-72,2,E. Fournier makes 2-pt shot from 14 ft (assist by J. Green)
2:01.0,J. Butler makes 2-pt shot from 2 ft,2,77-72,,
1:38.0,,,77-72,,S. Zimmerman misses 2-pt shot from 8 ft
1:37.0,,,77-72,,Offensive rebound by E. Payton
1:35.0,,,77-74,2,E. Payton makes 2-pt shot from 2 ft
1:18.0,Turnover by J. Butler (bad pass),,77-74,,
0:57.0,,,77-77,3,E. Fournier makes 3-pt shot from 25 ft (assist by J. Green)
0:42.0,Turnover by D. Valentine (bad pass; steal by S. Zimmerman),,77-77,,
0:36.0,,,77-77,,J. Green misses 2-pt shot from 2 ft
0:34.0,,,77-77,,Offensive rebound by E. Payton
0:28.0,,,77-77,,S. Zimmerman misses 2-pt shot from 1 ft
0:25.0,Defensive rebound by R. Lopez,,77-77,,
0:04.0,D. Valentine misses 3-pt shot from 28 ft,,77-77,,
0:03.0,Offensive rebound by Team,,77-77,,
0:03.0,Turnover by Team (shot clock),,77-77,,
0:01.0,,,77-77,,M. Hezonja misses 3-pt shot from 30 ft
0:00.0,,,77-77,,Offensive rebound by E. Payton
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,Shooting foul by J. Green (drawn by J. Lauvergne),,77-77,,
11:49.0,J. Lauvergne misses free throw 1 of 2,,77-77,,
11:49.0,Offensive rebound by Team,,77-77,,
11:49.0,J. Lauvergne makes free throw 2 of 2,1,78-77,,
11:27.0,,,78-79,2,J. Green makes 2-pt shot from 14 ft
11:07.0,Turnover by R. Rondo (bad pass; steal by C. Watson),,78-79,,
11:01.0,,,78-79,,M. Hezonja misses 2-pt shot from 1 ft
10:57.0,Defensive rebound by C. Payne,,78-79,,
10:50.0,D. Valentine misses 3-pt shot from 24 ft (block by C. Watson),,78-79,,
10:47.0,,,78-79,,Defensive rebound by M. Hezonja
10:37.0,,,78-79,,J. Green misses 2-pt shot from 6 ft
10:35.0,Defensive rebound by C. Felicio,,78-79,,
10:26.0,D. Valentine misses 3-pt shot from 23 ft,,78-79,,
10:25.0,,,78-79,,Defensive rebound by C. Watson
10:19.0,,,78-79,,C. Watson misses 3-pt shot from 25 ft
10:18.0,Defensive rebound by R. Rondo,,78-79,,
10:05.0,C. Felicio misses 2-pt shot from 3 ft,,78-79,,
10:03.0,,,78-79,,Defensive rebound by J. Green
9:58.0,,,78-79,,M. Hezonja misses 3-pt shot from 23 ft
9:55.0,Defensive rebound by J. Lauvergne,,78-79,,
9:44.0,Shooting foul by S. Zimmerman (drawn by C. Felicio),,78-79,,
9:44.0,C. Felicio misses free throw 1 of 2,,78-79,,
9:44.0,Offensive rebound by Team,,78-79,,
9:44.0,C. Felicio makes free throw 2 of 2,1,79-79,,
9:20.0,,,79-79,,D. Augustin misses 3-pt shot from 26 ft
9:19.0,Defensive rebound by R. Rondo,,79-79,,
9:11.0,C. Felicio makes 2-pt shot from 5 ft,2,81-79,,
8:59.0,,,81-79,,M. Hezonja misses 3-pt shot from 26 ft
8:58.0,Defensive rebound by J. Lauvergne,,81-79,,
8:39.0,R. Rondo misses 3-pt shot from 26 ft,,81-79,,
8:37.0,,,81-79,,Defensive rebound by M. Hezonja
8:28.0,,,81-81,2,D. Augustin makes 2-pt shot from 20 ft
8:18.0,J. Lauvergne misses 3-pt shot from 26 ft,,81-81,,
8:16.0,,,81-81,,Defensive rebound by M. Hezonja
8:10.0,,,81-81,,D. Augustin misses 3-pt shot from 26 ft
8:08.0,Defensive rebound by J. Lauvergne,,81-81,,
7:55.0,C. Payne misses 2-pt shot from 11 ft,,81-81,,
7:54.0,,,81-81,,Defensive rebound by J. Green
7:46.0,,,81-83,2,D. Augustin makes 2-pt shot from 3 ft (assist by C. Watson)
7:46.0,Chicago full timeout,,81-83,,
7:46.0,J. Butler enters the game for D. Valentine,,81-83,,
7:36.0,Turnover by C. Payne (step out of bounds),,81-83,,
7:22.0,,,81-85,2,J. Green makes 2-pt shot from 7 ft
7:06.0,Turnover by J. Butler (lost ball; steal by C. Watson),,81-85,,
7:04.0,,,81-87,2,C. Watson makes 2-pt shot from 1 ft
7:04.0,,,81-87,,Shooting foul by C. Payne (drawn by C. Watson)
7:04.0,,,81-88,1,C. Watson makes free throw 1 of 1
7:04.0,,,81-87,,E. Payton enters the game for D. Augustin
7:04.0,R. Lopez enters the game for C. Felicio,,81-87,,
7:04.0,J. Grant enters the game for C. Payne,,81-87,,
7:04.0,,,81-87,,B. Biyombo enters the game for S. Zimmerman
6:44.0,R. Rondo makes 3-pt shot from 23 ft (assist by J. Lauvergne),3,84-88,,
6:24.0,,,84-88,,M. Hezonja misses 3-pt shot from 27 ft
6:23.0,Defensive rebound by J. Lauvergne,,84-88,,
6:05.0,,,84-88,,Personal foul by M. Hezonja (drawn by R. Lopez)
6:05.0,,,84-88,,E. Fournier enters the game for C. Watson
6:05.0,,,84-88,,T. Ross enters the game for M. Hezonja
5:48.0,J. Grant makes 2-pt shot from 8 ft (assist by R. Rondo),2,86-88,,
5:25.0,,,86-88,,E. Payton misses 3-pt shot from 25 ft
5:24.0,Defensive rebound by J. Grant,,86-88,,
5:14.0,,,86-88,,Personal foul by T. Ross (drawn by J. Lauvergne)
5:14.0,Official timeout,,86-88,,
5:14.0,,,86-88,,A. Gordon enters the game for J. Green
5:03.0,J. Butler misses 2-pt shot from 17 ft,,86-88,,
5:02.0,Offensive rebound by J. Grant,,86-88,,
4:51.0,J. Butler misses 2-pt shot from 1 ft,,86-88,,
4:48.0,,,86-88,,Defensive rebound by E. Payton
4:44.0,,,86-91,3,T. Ross makes 3-pt shot from 27 ft (assist by E. Payton)
4:18.0,J. Lauvergne misses 3-pt shot from 26 ft,,86-91,,
4:16.0,Offensive rebound by R. Rondo,,86-91,,
4:08.0,R. Rondo misses 2-pt shot from 2 ft,,86-91,,
4:06.0,,,86-91,,Defensive rebound by B. Biyombo
3:51.0,,,86-91,,Offensive charge foul by A. Gordon
3:51.0,,,86-91,,Turnover by A. Gordon (offensive foul)
3:37.0,J. Grant makes 3-pt shot from 24 ft (assist by R. Rondo),3,89-91,,
3:11.0,,,89-91,,E. Payton misses 2-pt shot from 3 ft (block by R. Lopez)
3:11.0,,,89-91,,Offensive rebound by Team
3:11.0,,,89-91,,Orlando full timeout
3:09.0,,,89-93,2,A. Gordon makes 2-pt shot from 5 ft (assist by E. Fournier)
2:44.0,J. Butler misses 2-pt shot from 14 ft,,89-93,,
2:43.0,,,89-93,,Defensive rebound by T. Ross
2:35.0,,,89-93,,T. Ross misses 2-pt shot from 7 ft
2:34.0,,,89-93,,Offensive rebound by E. Fournier
2:33.0,,,89-93,,E. Fournier misses 2-pt shot from 2 ft
2:31.0,,,89-93,,Offensive rebound by B. Biyombo
2:31.0,,,89-93,,B. Biyombo misses 2-pt shot from 2 ft
2:30.0,,,89-93,,Offensive rebound by Team
2:23.0,,,89-93,,E. Fournier misses 2-pt shot from 1 ft (block by R. Rondo)
2:19.0,Defensive rebound by J. Grant,,89-93,,
2:10.0,J. Grant makes 2-pt shot from 20 ft,2,91-93,,
1:44.0,,,91-93,,E. Payton misses 2-pt shot from 8 ft
1:43.0,,,91-93,,Offensive rebound by E. Fournier
1:42.0,Jump ball: E. Fournier vs. J. Grant (A. Gordon gains possession),,,,Jump ball: E. Fournier vs. J. Grant (A. Gordon gains possession)
1:29.0,,,91-93,,T. Ross misses 3-pt shot from 28 ft
1:26.0,,,91-93,,Offensive rebound by A. Gordon
1:17.0,,,91-93,,T. Ross misses 2-pt shot at rim
1:16.0,,,91-93,,Offensive rebound by E. Payton
1:16.0,,,91-95,2,E. Payton makes 2-pt shot from 1 ft
1:16.0,Chicago full timeout,,91-95,,
1:00.0,J. Butler misses 3-pt shot from 25 ft,,91-95,,
1:00.0,,,91-95,,Defensive rebound by E. Fournier
0:37.0,,,91-95,,T. Ross misses 2-pt shot from 14 ft
0:36.0,Defensive rebound by J. Grant,,91-95,,
0:29.0,J. Grant misses 2-pt shot from 2 ft (block by E. Payton),,91-95,,
0:28.0,Offensive rebound by Team,,91-95,,
0:26.0,J. Grant misses 3-pt shot from 26 ft,,91-95,,
0:25.0,Offensive rebound by J. Lauvergne,,91-95,,
0:23.0,J. Lauvergne misses 2-pt shot from 2 ft,,91-95,,
0:21.0,,,91-95,,Defensive rebound by A. Gordon
0:21.0,Personal take foul by J. Grant (drawn by A. Gordon),,91-95,,
0:21.0,C. Payne enters the game for R. Lopez,,91-95,,
0:18.0,Personal take foul by R. Rondo (drawn by E. Fournier),,91-95,,
0:18.0,,,91-95,,E. Fournier misses free throw 1 of 2
0:18.0,,,91-95,,Offensive rebound by Team
0:18.0,,,91-96,1,E. Fournier makes free throw 2 of 2
0:18.0,Chicago full timeout,,91-96,,
0:18.0,R. Lopez enters the game for C. Payne,,91-95,,
0:12.0,J. Grant misses 2-pt shot from 1 ft,,91-96,,
