time,LA Lakers,pts.away,score,pts.home,Chicago
3:46.0,Shooting foul by R. Lopez (drawn by L. Deng),,38-42,,
3:46.0,L. Deng makes free throw 1 of 1,1,39-42,,
3:46.0,J. Clarkson enters the game for L. Williams,,38-42,,
3:34.0,,,39-44,2,R. Rondo makes 2-pt shot from 18 ft
3:19.0,B. Ingram misses 2-pt shot from 2 ft (block by R. Lopez),,39-44,,
3:19.0,Offensive rebound by Team,,39-44,,
3:11.0,Turnover by T. Mozgov (bad pass; steal by R. Rondo),,39-44,,
3:04.0,,,39-44,,I. Canaan misses 3-pt shot from 27 ft
3:03.0,Defensive rebound by J. Clarkson,,39-44,,
2:54.0,J. Clarkson makes 2-pt shot from 1 ft,2,41-44,,
2:36.0,,,41-44,,R. Lopez misses 2-pt shot from 2 ft
2:35.0,Defensive rebound by J. Randle,,41-44,,
2:30.0,Turnover by J. Randle (offensive foul),,41-44,,
2:30.0,Offensive charge foul by J. Randle,,41-44,,
2:30.0,,,41-44,,Chicago full timeout
2:13.0,,,41-44,,J. Butler misses 2-pt shot from 21 ft
2:13.0,Defensive rebound by L. Deng,,41-44,,
1:57.0,T. Mozgov makes 2-pt shot from 21 ft (assist by J. Randle),2,43-44,,
1:38.0,,,43-44,,I. Canaan misses 3-pt shot from 24 ft
1:37.0,,,43-44,,Offensive rebound by T. Gibson
1:36.0,,,43-46,2,T. Gibson makes 2-pt shot from 2 ft
1:17.0,J. Randle misses 2-pt shot from 2 ft,,43-46,,
1:16.0,,,43-46,,Defensive rebound by R. Rondo
1:10.0,,,43-46,,R. Rondo misses 2-pt shot from 2 ft
1:09.0,,,43-46,,Offensive rebound by J. Butler
0:58.0,,,43-46,,J. Butler misses 2-pt shot from 3 ft
0:57.0,Defensive rebound by J. Randle,,43-46,,
0:46.0,B. Ingram makes 2-pt shot from 2 ft,2,45-46,,
0:46.0,Shooting foul by R. Lopez (drawn by B. Ingram),,45-46,,
0:46.0,B. Ingram misses free throw 1 of 1,,45-46,,
0:46.0,,,45-46,,N. Mirotic enters the game for R. Lopez
0:46.0,L. Williams enters the game for T. Mozgov,,45-46,,
0:45.0,Offensive rebound by J. Randle,,45-46,,
0:39.0,Turnover by J. Randle (lost ball; steal by N. Mirotic),,45-46,,
0:27.0,,,45-46,,Shooting foul by B. Ingram (drawn by T. Gibson)
0:27.0,,,45-47,1,T. Gibson makes free throw 1 of 2
0:27.0,,,45-47,,T. Gibson misses free throw 2 of 2
0:26.0,Defensive rebound by L. Deng,,45-47,,
0:05.0,Shooting foul by T. Gibson,,45-47,,
0:05.0,L. Williams makes free throw 1 of 2,1,46-47,,
0:05.0,,,46-47,,Chicago full timeout
0:05.0,L. Williams makes free throw 2 of 2,1,47-47,,
0:00.0,,,47-47,,J. Butler misses 2-pt shot from 23 ft
0:00.0,,,47-47,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,J. Calderon makes 2-pt shot from 20 ft (assist by T. Mozgov),2,49-47,,
11:27.0,,,49-50,3,R. Rondo makes 3-pt shot from 24 ft (assist by D. Wade)
11:06.0,J. Calderon makes 2-pt shot from 2 ft,2,51-50,,
11:06.0,Shooting foul by R. Rondo (drawn by J. Calderon),,51-50,,
11:06.0,J. Calderon makes free throw 1 of 1,1,52-50,,
10:47.0,,,52-52,2,R. Lopez makes 2-pt shot from 10 ft
10:33.0,Offensive foul by T. Mozgov,,52-52,,
10:33.0,Turnover by T. Mozgov (offensive foul),,52-52,,
10:13.0,,,52-52,,R. Lopez misses 2-pt shot from 21 ft
10:12.0,Defensive rebound by B. Ingram,,52-52,,
10:00.0,J. Calderon misses 2-pt shot from 5 ft (block by R. Lopez),,52-52,,
10:00.0,Offensive rebound by Team,,52-52,,
9:54.0,Turnover by T. Mozgov (bad pass),,52-52,,
9:37.0,,,52-52,,T. Gibson misses 2-pt shot from 8 ft
9:36.0,Defensive rebound by B. Ingram,,52-52,,
9:31.0,L. Deng misses 2-pt shot from 3 ft,,52-52,,
9:30.0,,,52-52,,Defensive rebound by T. Gibson
9:27.0,,,52-52,,Turnover by T. Gibson (lost ball; steal by J. Randle)
9:23.0,J. Randle misses 2-pt shot from 3 ft,,52-52,,
9:21.0,Offensive rebound by J. Randle,,52-52,,
9:21.0,J. Randle misses 2-pt shot from 2 ft (block by T. Gibson),,52-52,,
9:19.0,,,52-52,,Defensive rebound by T. Gibson
9:14.0,,,52-54,2,R. Lopez makes 2-pt shot from 3 ft (assist by R. Rondo)
8:53.0,B. Ingram misses 3-pt shot from 26 ft,,52-54,,
8:51.0,Offensive rebound by J. Randle,,52-54,,
8:37.0,T. Mozgov misses 2-pt shot from 2 ft (block by R. Lopez),,52-54,,
8:36.0,,,52-54,,Defensive rebound by T. Gibson
8:25.0,,,52-57,3,R. Rondo makes 3-pt shot from 25 ft (assist by D. Wade)
8:25.0,LA Lakers full timeout,,52-57,,
8:06.0,B. Ingram misses 2-pt shot from 22 ft,,52-57,,
8:05.0,,,52-57,,Defensive rebound by R. Rondo
7:53.0,,,52-57,,R. Lopez misses 2-pt shot from 18 ft
7:52.0,Defensive rebound by L. Deng,,52-57,,
7:44.0,Shooting foul by T. Gibson (drawn by L. Deng),,52-57,,
7:44.0,L. Deng makes free throw 1 of 2,1,53-57,,
7:44.0,L. Deng misses free throw 2 of 2,,53-57,,
7:43.0,Offensive rebound by L. Deng,,53-57,,
7:43.0,Shooting foul by J. Butler (drawn by L. Deng),,53-57,,
7:43.0,L. Deng misses free throw 1 of 2,,53-57,,
7:43.0,Offensive rebound by Team,,53-57,,
7:43.0,L. Deng makes free throw 2 of 2,1,54-57,,
7:30.0,,,54-57,,Shooting foul by J. Randle (drawn by J. Butler)
7:30.0,,,54-58,1,J. Butler makes free throw 1 of 2
7:30.0,,,54-59,1,J. Butler makes free throw 2 of 2
7:18.0,Shooting foul by D. Wade (drawn by J. Randle),,54-59,,
7:18.0,J. Randle makes free throw 1 of 2,1,55-59,,
7:18.0,J. Randle makes free throw 2 of 2,1,56-59,,
7:08.0,,,56-59,,R. Rondo misses 2-pt shot from 22 ft
7:06.0,Defensive rebound by J. Randle,,56-59,,
6:47.0,B. Ingram misses 2-pt shot from 21 ft,,56-59,,
6:46.0,,,56-59,,Defensive rebound by D. Wade
6:31.0,,,56-59,,D. Wade misses 2-pt shot from 18 ft
6:30.0,Defensive rebound by L. Deng,,56-59,,
6:22.0,L. Deng misses 3-pt shot from 26 ft,,56-59,,
6:20.0,,,56-59,,Defensive rebound by T. Gibson
6:12.0,J. Clarkson enters the game for B. Ingram,,56-59,,
6:10.0,Jump ball: J. Butler vs. J. Calderon,,,,Jump ball: J. Butler vs. J. Calderon
6:09.0,,,56-59,,Turnover by J. Butler (bad pass; steal by J. Randle)
6:08.0,Turnover by J. Randle (bad pass; steal by T. Gibson),,56-59,,
6:02.0,,,56-59,,Shooting foul by T. Mozgov (drawn by J. Butler)
6:02.0,,,56-60,1,J. Butler makes free throw 1 of 2
6:02.0,,,56-61,1,J. Butler makes free throw 2 of 2
6:02.0,,,56-60,,I. Canaan enters the game for D. Wade
5:45.0,T. Mozgov misses 2-pt shot from 3 ft,,56-61,,
5:44.0,,,56-61,,Defensive rebound by R. Rondo
5:34.0,,,56-61,,Turnover by J. Butler (bad pass; steal by L. Deng)
5:31.0,Turnover by L. Deng (bad pass; steal by I. Canaan),,56-61,,
5:28.0,,,56-61,,I. Canaan misses 3-pt shot from 24 ft
5:28.0,Defensive rebound by Team,,56-61,,
5:28.0,,,56-61,,Loose ball foul by T. Gibson (drawn by J. Randle)
5:28.0,J. Randle misses free throw 1 of 2,,56-61,,
5:28.0,Offensive rebound by Team,,56-61,,
5:28.0,J. Randle makes free throw 2 of 2,1,57-61,,
5:28.0,T. Black enters the game for T. Mozgov,,56-61,,
5:09.0,,,57-61,,I. Canaan misses 2-pt shot from 17 ft
5:08.0,Defensive rebound by J. Randle,,57-61,,
4:58.0,J. Randle misses 2-pt shot from 3 ft,,57-61,,
4:57.0,Offensive rebound by J. Randle,,57-61,,
4:57.0,J. Randle misses 2-pt shot from 1 ft,,57-61,,
4:57.0,,,57-61,,Defensive rebound by R. Rondo
4:49.0,,,57-63,2,R. Rondo makes 2-pt shot from 2 ft
4:29.0,J. Clarkson misses 2-pt shot from 20 ft,,57-63,,
4:28.0,,,57-63,,Defensive rebound by J. Butler
4:16.0,,,57-63,,T. Gibson misses 2-pt shot from 12 ft
4:15.0,Defensive rebound by L. Deng,,57-63,,
4:03.0,Turnover by J. Calderon (lost ball; steal by T. Gibson),,57-63,,
3:57.0,,,57-63,,R. Rondo misses 2-pt shot from 2 ft
3:56.0,,,57-63,,Offensive rebound by I. Canaan
3:51.0,,,57-63,,Offensive charge foul by J. Butler
3:51.0,,,57-63,,Turnover by J. Butler (offensive foul)
3:51.0,,,57-63,,N. Mirotic enters the game for T. Gibson
3:51.0,,,57-63,,J. Grant enters the game for R. Rondo
3:51.0,L. Nance enters the game for J. Randle,,57-63,,
3:51.0,L. Williams enters the game for J. Calderon,,57-63,,
3:34.0,L. Deng misses 2-pt shot from 12 ft,,57-63,,
3:34.0,,,57-63,,Defensive rebound by J. Butler
3:34.0,Personal foul by T. Black (drawn by J. Butler),,57-63,,
3:22.0,,,57-65,2,N. Mirotic makes 2-pt shot from 3 ft (assist by J. Butler)
3:03.0,J. Clarkson makes 2-pt shot from 5 ft,2,59-65,,
2:46.0,Personal foul by L. Deng (drawn by J. Butler),,59-65,,
2:46.0,,,59-65,,Chicago full timeout
2:46.0,B. Ingram enters the game for L. Deng,,59-65,,
2:42.0,,,59-65,,J. Grant misses 3-pt shot from 24 ft
2:41.0,Defensive rebound by L. Nance,,59-65,,
2:25.0,T. Black makes 2-pt shot at rim (assist by L. Williams),2,61-65,,
2:02.0,,,61-65,,Shooting foul by B. Ingram (drawn by J. Butler)
2:02.0,,,61-66,1,J. Butler makes free throw 1 of 2
2:02.0,,,61-67,1,J. Butler makes free throw 2 of 2
1:45.0,L. Williams makes 3-pt shot from 26 ft (assist by B. Ingram),3,64-67,,
1:21.0,,,64-67,,N. Mirotic misses 3-pt shot from 25 ft
1:20.0,Defensive rebound by L. Williams,,64-67,,
1:15.0,T. Black makes 2-pt shot from 2 ft (assist by L. Williams),2,66-67,,
1:06.0,Personal foul by T. Black (drawn by R. Lopez),,66-67,,
1:06.0,,,66-68,1,R. Lopez makes free throw 1 of 2
1:06.0,,,66-69,1,R. Lopez makes free throw 2 of 2
1:06.0,T. Robinson enters the game for T. Black,,66-68,,
1:06.0,,,66-68,,D. Wade enters the game for I. Canaan
0:55.0,Shooting foul by J. Butler,,66-69,,
0:55.0,L. Williams makes free throw 1 of 2,1,67-69,,
0:55.0,L. Williams makes free throw 2 of 2,1,68-69,,
0:38.0,,,68-71,2,J. Grant makes 2-pt shot from 2 ft (assist by N. Mirotic)
0:30.0,L. Williams misses 2-pt shot from 15 ft,,68-71,,
0:29.0,,,68-71,,Defensive rebound by N. Mirotic
0:22.0,,,68-71,,Shooting foul by L. Nance (drawn by D. Wade)
0:22.0,,,68-72,1,D. Wade makes free throw 1 of 2
0:22.0,,,68-73,1,D. Wade makes free throw 2 of 2
0:22.0,,,68-72,,I. Canaan enters the game for J. Butler
0:22.0,,,68-72,,B. Portis enters the game for R. Lopez
0:01.0,Shooting foul by J. Grant,,68-73,,
0:01.0,L. Williams makes free throw 1 of 3,1,69-73,,
0:01.0,L. Williams makes free throw 2 of 3,1,70-73,,
0:01.0,L. Williams misses free throw 3 of 3,,70-73,,
0:00.0,,,70-73,,Defensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,,,70-73,,J. Grant misses 2-pt shot from 5 ft
11:34.0,Defensive rebound by T. Robinson,,70-73,,
11:13.0,J. Clarkson misses 3-pt shot from 24 ft,,70-73,,
11:11.0,,,70-73,,Defensive rebound by N. Mirotic
10:59.0,,,70-75,2,N. Mirotic makes 2-pt shot from 2 ft (assist by I. Canaan)
10:48.0,L. Nance makes 2-pt shot from 11 ft (assist by L. Williams),2,72-75,,
10:32.0,,,72-75,,Turnover by D. Wade (bad pass; steal by B. Ingram)
10:28.0,L. Nance makes 2-pt shot from 1 ft (assist by J. Clarkson),2,74-75,,
10:12.0,,,74-77,2,D. Wade makes 2-pt shot from 2 ft
10:01.0,Turnover by L. Williams (lost ball; steal by N. Mirotic),,74-77,,
9:55.0,,,74-77,,Turnover by D. Wade (bad pass; steal by L. Nance)
9:50.0,J. Clarkson makes 2-pt shot from 1 ft (assist by L. Nance),2,76-77,,
9:23.0,,,76-77,,I. Canaan misses 2-pt shot from 10 ft
9:22.0,Defensive rebound by T. Robinson,,76-77,,
9:06.0,T. Robinson makes 2-pt shot from 3 ft (assist by J. Clarkson),2,78-77,,
9:06.0,,,78-77,,Chicago full timeout
