time,Detroit,pts.away,score,pts.home,Brooklyn
7:34.0,,,8-7,,B. Lopez misses 2-pt shot from 1 ft
7:33.0,,,8-7,,Offensive rebound by B. Lopez
7:29.0,,,8-9,2,B. Lopez makes 2-pt shot from 2 ft
7:13.0,A. Drummond misses 2-pt shot from 2 ft (block by S. Dinwiddie),,8-9,,
7:11.0,,,8-9,,Defensive rebound by S. Dinwiddie
7:02.0,,,8-9,,Turnover by R. Foye (lost ball; steal by A. Drummond)
6:57.0,Turnover by A. Drummond (bad pass),,8-9,,
6:57.0,,,8-9,,I. Whitehead enters the game for R. Foye
6:44.0,,,8-11,2,C. LeVert makes 2-pt shot from 1 ft
6:37.0,Detroit full timeout,,8-11,,
6:29.0,K. Caldwell-Pope misses 2-pt shot from 13 ft,,8-11,,
6:28.0,,,8-11,,Defensive rebound by B. Lopez
6:06.0,,,8-11,,S. Dinwiddie misses 3-pt shot from 25 ft
6:04.0,Defensive rebound by A. Drummond,,8-11,,
5:55.0,R. Jackson makes 2-pt shot from 6 ft,2,10-11,,
5:26.0,,,10-11,,B. Lopez misses 3-pt shot from 25 ft
5:25.0,Defensive rebound by M. Morris,,10-11,,
5:17.0,R. Jackson misses 2-pt shot from 20 ft,,10-11,,
5:16.0,,,10-11,,Defensive rebound by B. Lopez
5:09.0,,,10-13,2,S. Dinwiddie makes 2-pt shot from 1 ft
4:55.0,T. Harris makes 2-pt shot from 7 ft (assist by K. Caldwell-Pope),2,12-13,,
4:45.0,,,12-13,,Shooting foul by R. Jackson (drawn by S. Dinwiddie)
4:45.0,,,12-13,,S. Dinwiddie misses free throw 1 of 3
4:45.0,,,12-13,,Offensive rebound by Team
4:45.0,,,12-14,1,S. Dinwiddie makes free throw 2 of 3
4:45.0,,,12-15,1,S. Dinwiddie makes free throw 3 of 3
4:45.0,I. Smith enters the game for R. Jackson,,12-14,,
4:45.0,J. Leuer enters the game for M. Morris,,12-14,,
4:45.0,,,12-14,,Q. Acy enters the game for R. Hollis-Jefferson
4:45.0,,,12-14,,K. McDaniels enters the game for C. LeVert
4:28.0,I. Smith misses 2-pt shot from 11 ft,,12-15,,
4:27.0,Offensive rebound by A. Drummond,,12-15,,
4:26.0,Shooting foul by Q. Acy (drawn by A. Drummond),,12-15,,
4:26.0,A. Drummond makes 2-pt shot from 1 ft,2,14-15,,
4:26.0,A. Drummond misses free throw 1 of 1,,14-15,,
4:26.0,,,14-15,,A. Goodwin enters the game for S. Dinwiddie
4:25.0,,,14-15,,Defensive rebound by Q. Acy
4:13.0,,,14-15,,K. McDaniels misses 2-pt shot from 2 ft
4:12.0,,,14-15,,Offensive rebound by A. Goodwin
3:55.0,,,14-15,,A. Goodwin misses 2-pt shot from 2 ft (block by T. Harris)
3:53.0,Defensive rebound by J. Leuer,,14-15,,
3:48.0,T. Harris makes 2-pt shot from 3 ft (assist by I. Smith),2,16-15,,
3:47.0,,,16-15,,Brooklyn full timeout
3:47.0,,,16-15,,T. Booker enters the game for B. Lopez
3:36.0,,,16-18,3,Q. Acy makes 3-pt shot from 26 ft (assist by A. Goodwin)
3:17.0,A. Drummond makes 2-pt shot from 14 ft (assist by J. Leuer),2,18-18,,
2:52.0,,,18-18,,Q. Acy misses 3-pt shot from 26 ft
2:51.0,Defensive rebound by T. Harris,,18-18,,
2:34.0,A. Drummond makes 2-pt shot from 3 ft (assist by T. Harris),2,20-18,,
2:14.0,,,20-18,,Shooting foul by J. Leuer (drawn by Q. Acy)
2:14.0,,,20-19,1,Q. Acy makes free throw 1 of 2
2:14.0,,,20-20,1,Q. Acy makes free throw 2 of 2
2:14.0,A. Baynes enters the game for A. Drummond,,20-19,,
1:58.0,T. Harris makes 2-pt shot from 2 ft,2,22-20,,
1:58.0,Shooting foul by K. McDaniels (drawn by T. Harris),,22-20,,
1:58.0,T. Harris makes free throw 1 of 1,1,23-20,,
1:42.0,,,23-20,,I. Whitehead misses 2-pt shot from 9 ft
1:41.0,Defensive rebound by A. Baynes,,23-20,,
1:35.0,T. Harris makes 2-pt shot at rim (assist by I. Smith),2,25-20,,
1:23.0,,,25-20,,I. Whitehead misses 2-pt shot from 2 ft
1:22.0,Defensive rebound by I. Smith,,25-20,,
1:10.0,T. Harris misses 2-pt shot from 22 ft,,25-20,,
1:09.0,,,25-20,,Defensive rebound by Team
1:09.0,Loose ball foul by A. Baynes (drawn by I. Whitehead),,25-20,,
1:09.0,,,25-21,1,I. Whitehead makes free throw 1 of 2
1:09.0,,,25-22,1,I. Whitehead makes free throw 2 of 2
0:49.0,I. Smith makes 2-pt shot from 19 ft (assist by K. Caldwell-Pope),2,27-22,,
0:36.0,,,27-22,,I. Whitehead misses 2-pt shot from 3 ft
0:35.0,,,27-22,,Offensive rebound by T. Booker
0:34.0,,,27-22,,T. Booker misses 2-pt shot from 3 ft (block by J. Leuer)
0:32.0,Defensive rebound by A. Baynes,,27-22,,
0:27.0,I. Smith makes 2-pt shot from 15 ft,2,29-22,,
0:06.0,,,29-22,,T. Booker misses 2-pt shot from 3 ft
0:06.0,Defensive rebound by I. Smith,,29-22,,
0:03.0,Shooting foul by I. Whitehead (drawn by K. Caldwell-Pope),,29-22,,
0:03.0,K. Caldwell-Pope makes free throw 1 of 2,1,30-22,,
0:03.0,K. Caldwell-Pope makes free throw 2 of 2,1,31-22,,
0:00.0,,,31-22,,A. Goodwin misses 3-pt shot from 44 ft
0:00.0,,,31-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,31-22,,Q. Acy misses 2-pt shot from 3 ft
11:42.0,Defensive rebound by A. Baynes,,31-22,,
11:30.0,J. Leuer misses 3-pt shot from 25 ft,,31-22,,
11:28.0,,,31-22,,Defensive rebound by A. Goodwin
11:10.0,,,31-25,3,K. McDaniels makes 3-pt shot from 25 ft (assist by T. Booker)
10:57.0,M. Morris misses 2-pt shot from 16 ft,,31-25,,
10:56.0,,,31-25,,Defensive rebound by T. Booker
10:43.0,,,31-27,2,K. McDaniels makes 2-pt shot from 2 ft (assist by I. Whitehead)
10:20.0,R. Jackson misses 2-pt shot from 22 ft,,31-27,,
10:19.0,,,31-27,,Defensive rebound by Q. Acy
10:12.0,,,31-29,2,T. Booker makes 2-pt shot from 3 ft (assist by K. McDaniels)
10:05.0,Detroit full timeout,,31-29,,
9:46.0,M. Morris misses 2-pt shot from 16 ft,,31-29,,
9:45.0,,,31-29,,Defensive rebound by A. Goodwin
9:31.0,,,31-29,,A. Goodwin misses 3-pt shot from 27 ft
9:30.0,Defensive rebound by J. Leuer,,31-29,,
9:19.0,J. Leuer misses 2-pt shot from 11 ft,,31-29,,
9:18.0,,,31-29,,Defensive rebound by T. Booker
9:13.0,,,31-29,,Turnover by T. Booker (lost ball; steal by J. Leuer)
8:54.0,R. Jackson makes 2-pt shot from 11 ft (assist by A. Baynes),2,33-29,,
8:37.0,,,33-29,,T. Booker misses 2-pt shot from 3 ft
8:36.0,Defensive rebound by J. Leuer,,33-29,,
8:31.0,R. Bullock misses 2-pt shot from 2 ft (block by A. Goodwin),,33-29,,
8:29.0,,,33-29,,Defensive rebound by Team
8:29.0,Loose ball foul by A. Baynes (drawn by Q. Acy),,33-29,,
8:29.0,A. Drummond enters the game for A. Baynes,,33-29,,
8:13.0,,,33-31,2,K. McDaniels makes 2-pt shot from 1 ft (assist by A. Goodwin)
7:56.0,R. Jackson makes 3-pt shot from 24 ft (assist by A. Drummond),3,36-31,,
7:38.0,,,36-33,2,A. Goodwin makes 2-pt shot from 1 ft
7:14.0,R. Bullock makes 2-pt shot from 21 ft (assist by M. Morris),2,38-33,,
7:02.0,,,38-33,,I. Whitehead misses 2-pt shot from 3 ft
7:01.0,,,38-33,,Offensive rebound by I. Whitehead
7:00.0,,,38-35,2,I. Whitehead makes 2-pt shot from 3 ft
7:00.0,,,38-35,,Shooting foul by A. Drummond (drawn by I. Whitehead)
7:00.0,,,38-36,1,I. Whitehead makes free throw 1 of 1
7:00.0,,,38-35,,S. Dinwiddie enters the game for A. Goodwin
7:00.0,,,38-35,,B. Lopez enters the game for T. Booker
6:37.0,R. Jackson misses 2-pt shot from 8 ft (block by K. McDaniels),,38-36,,
6:36.0,Offensive rebound by R. Bullock,,38-36,,
6:36.0,Turnover by Team (shot clock),,38-36,,
6:18.0,,,38-36,,B. Lopez misses 2-pt shot from 4 ft
6:17.0,Defensive rebound by M. Morris,,38-36,,
6:08.0,A. Drummond misses 2-pt shot from 8 ft,,38-36,,
6:06.0,,,38-36,,Defensive rebound by I. Whitehead
5:56.0,,,38-36,,B. Lopez misses 2-pt shot from 3 ft
5:55.0,Defensive rebound by A. Drummond,,38-36,,
5:44.0,J. Leuer misses 2-pt shot from 11 ft,,38-36,,
5:43.0,,,38-36,,Defensive rebound by B. Lopez
5:37.0,Personal foul by J. Leuer (drawn by Q. Acy),,38-36,,
5:37.0,Official timeout,,38-36,,
5:37.0,,,38-36,,C. LeVert enters the game for Q. Acy
5:37.0,,,38-36,,R. Hollis-Jefferson enters the game for K. McDaniels
5:37.0,,,38-36,,R. Foye enters the game for I. Whitehead
5:37.0,I. Smith enters the game for R. Jackson,,38-36,,
5:37.0,T. Harris enters the game for J. Leuer,,38-36,,
5:19.0,,,38-36,,Turnover by Team (shot clock)
5:08.0,Shooting foul by C. LeVert (drawn by M. Morris),,38-36,,
5:08.0,M. Morris misses free throw 1 of 2,,38-36,,
5:08.0,Offensive rebound by Team,,38-36,,
5:08.0,M. Morris makes free throw 2 of 2,1,39-36,,
5:08.0,K. Caldwell-Pope enters the game for R. Bullock,,38-36,,
4:57.0,,,39-39,3,C. LeVert makes 3-pt shot from 26 ft (assist by R. Hollis-Jefferson)
4:43.0,K. Caldwell-Pope makes 2-pt shot from 2 ft,2,41-39,,
4:28.0,,,41-39,,R. Hollis-Jefferson misses 2-pt shot from 14 ft
4:27.0,Defensive rebound by A. Drummond,,41-39,,
4:19.0,T. Harris misses 3-pt shot from 23 ft,,41-39,,
4:18.0,,,41-39,,Defensive rebound by C. LeVert
4:03.0,,,41-41,2,S. Dinwiddie makes 2-pt shot from 9 ft
3:50.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,41-41,,
3:50.0,,,41-41,,Defensive rebound by S. Dinwiddie
3:37.0,,,41-43,2,S. Dinwiddie makes 2-pt shot from 2 ft
3:12.0,T. Harris misses 3-pt shot from 26 ft,,41-43,,
3:10.0,,,41-43,,Defensive rebound by S. Dinwiddie
2:48.0,,,41-43,,S. Dinwiddie misses 3-pt shot from 25 ft
2:47.0,Defensive rebound by A. Drummond,,41-43,,
2:43.0,,,41-43,,Personal foul by B. Lopez (drawn by I. Smith)
2:43.0,,,41-43,,Brooklyn full timeout
2:24.0,K. Caldwell-Pope makes 2-pt shot from 12 ft,2,43-43,,
2:11.0,,,43-43,,R. Foye misses 3-pt shot from 25 ft
2:10.0,Defensive rebound by T. Harris,,43-43,,
2:00.0,I. Smith misses 2-pt shot from 15 ft,,43-43,,
1:59.0,,,43-43,,Defensive rebound by R. Hollis-Jefferson
1:50.0,,,43-43,,B. Lopez misses 3-pt shot from 25 ft
1:49.0,Defensive rebound by I. Smith,,43-43,,
1:42.0,M. Morris misses 3-pt shot from 24 ft,,43-43,,
1:41.0,,,43-43,,Defensive rebound by B. Lopez
1:32.0,,,43-45,2,B. Lopez makes 2-pt shot from 13 ft (assist by S. Dinwiddie)
1:15.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,43-45,,
1:14.0,,,43-45,,Defensive rebound by R. Foye
0:57.0,,,43-45,,B. Lopez misses 3-pt shot from 24 ft
0:56.0,Defensive rebound by M. Morris,,43-45,,
0:48.0,Shooting foul by R. Hollis-Jefferson (drawn by A. Drummond),,43-45,,
0:48.0,A. Drummond makes free throw 1 of 2,1,44-45,,
0:48.0,A. Drummond misses free throw 2 of 2,,44-45,,
0:48.0,,,44-45,,Defensive rebound by R. Foye
0:36.0,,,44-47,2,R. Hollis-Jefferson makes 2-pt shot from 19 ft
0:23.0,A. Drummond misses 2-pt shot from 11 ft,,44-47,,
0:22.0,,,44-47,,Defensive rebound by R. Hollis-Jefferson
0:04.0,,,44-50,3,C. LeVert makes 3-pt shot from 25 ft (assist by S. Dinwiddie)
0:01.0,I. Smith misses 3-pt shot from 28 ft,,44-50,,
0:00.0,Offensive rebound by Team,,44-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,44-52,2,B. Lopez makes 2-pt shot from 2 ft (assist by S. Dinwiddie)
11:49.0,,,44-52,,Shooting foul by T. Harris (drawn by B. Lopez)
11:49.0,,,44-52,,B. Lopez misses free throw 1 of 1
11:48.0,Defensive rebound by A. Drummond,,44-52,,
11:32.0,A. Drummond misses 2-pt shot from 11 ft,,44-52,,
11:31.0,,,44-52,,Defensive rebound by Team
11:08.0,,,44-52,,R. Hollis-Jefferson misses 2-pt shot from 12 ft
11:06.0,Defensive rebound by A. Drummond,,44-52,,
11:00.0,M. Morris misses 3-pt shot from 25 ft,,44-52,,
10:58.0,,,44-52,,Defensive rebound by B. Lopez
10:49.0,,,44-52,,R. Hollis-Jefferson misses 2-pt shot from 3 ft (block by M. Morris)
10:48.0,Defensive rebound by A. Drummond,,44-52,,
10:39.0,K. Caldwell-Pope misses 2-pt shot from 10 ft (block by S. Dinwiddie),,44-52,,
10:37.0,Offensive rebound by Team,,44-52,,
10:35.0,M. Morris misses 3-pt shot from 25 ft,,44-52,,
10:33.0,,,44-52,,Defensive rebound by R. Foye
10:10.0,,,44-52,,S. Dinwiddie misses 2-pt shot from 19 ft
10:09.0,,,44-52,,Offensive rebound by S. Dinwiddie
10:02.0,,,44-52,,R. Foye misses 3-pt shot from 24 ft
10:01.0,,,44-52,,Offensive rebound by S. Dinwiddie
9:54.0,,,44-52,,Brooklyn full timeout
9:47.0,,,44-52,,B. Lopez misses 3-pt shot from 27 ft
9:46.0,Defensive rebound by K. Caldwell-Pope,,44-52,,
9:34.0,A. Drummond misses 2-pt shot from 1 ft,,44-52,,
9:33.0,Offensive rebound by A. Drummond,,44-52,,
9:32.0,A. Drummond makes 2-pt shot from 2 ft,2,46-52,,
9:18.0,,,46-52,,R. Hollis-Jefferson misses 2-pt shot from 1 ft (block by A. Drummond)
9:15.0,Defensive rebound by R. Jackson,,46-52,,
9:09.0,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson),2,48-52,,
8:53.0,,,48-54,2,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by R. Foye)
8:33.0,Shooting foul by R. Hollis-Jefferson (drawn by T. Harris),,48-54,,
8:33.0,T. Harris makes free throw 1 of 2,1,49-54,,
8:33.0,T. Harris makes free throw 2 of 2,1,50-54,,
8:33.0,,,49-54,,Q. Acy enters the game for R. Hollis-Jefferson
8:13.0,,,50-57,3,R. Foye makes 3-pt shot from 25 ft (assist by S. Dinwiddie)
7:46.0,M. Morris makes 2-pt shot from 21 ft,2,52-57,,
7:36.0,,,52-59,2,B. Lopez makes 2-pt shot from 4 ft
7:36.0,Detroit full timeout,,52-59,,
7:36.0,,,52-59,,R. Hollis-Jefferson enters the game for Q. Acy
7:17.0,K. Caldwell-Pope makes 3-pt shot from 26 ft,3,55-59,,
6:54.0,,,55-61,2,B. Lopez makes 2-pt shot from 11 ft (assist by R. Foye)
6:37.0,K. Caldwell-Pope makes 2-pt shot from 6 ft (assist by A. Drummond),2,57-61,,
6:31.0,,,57-61,,Shooting foul by R. Jackson (drawn by S. Dinwiddie)
6:31.0,,,57-62,1,S. Dinwiddie makes free throw 1 of 3
6:31.0,,,57-63,1,S. Dinwiddie makes free throw 2 of 3
6:31.0,,,57-63,,S. Dinwiddie misses free throw 3 of 3
6:31.0,,,57-63,,I. Whitehead enters the game for R. Foye
6:30.0,Defensive rebound by A. Drummond,,57-63,,
6:19.0,,,57-63,,Personal foul by S. Dinwiddie (drawn by A. Drummond)
6:19.0,,,57-63,,K. McDaniels enters the game for C. LeVert
6:04.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,57-63,,
6:03.0,,,57-63,,Defensive rebound by K. McDaniels
5:50.0,,,57-65,2,B. Lopez makes 2-pt shot from 3 ft
5:36.0,R. Jackson misses 2-pt shot from 8 ft,,57-65,,
5:35.0,Offensive rebound by R. Jackson,,57-65,,
5:34.0,R. Jackson misses 2-pt shot from 2 ft,,57-65,,
5:33.0,,,57-65,,Defensive rebound by S. Dinwiddie
5:28.0,,,57-65,,Turnover by S. Dinwiddie (bad pass)
5:28.0,A. Baynes enters the game for R. Jackson,,57-65,,
5:28.0,J. Leuer enters the game for A. Drummond,,57-65,,
5:28.0,I. Smith enters the game for M. Morris,,57-65,,
5:11.0,K. Caldwell-Pope makes 2-pt shot from 4 ft,2,59-65,,
4:49.0,,,59-65,,Turnover by R. Hollis-Jefferson (bad pass; steal by T. Harris)
4:43.0,,,59-65,,Personal foul by I. Whitehead (drawn by K. Caldwell-Pope)
4:43.0,,,59-65,,T. Booker enters the game for S. Dinwiddie
4:43.0,,,59-65,,A. Goodwin enters the game for R. Hollis-Jefferson
4:39.0,T. Harris makes 2-pt shot from 12 ft (assist by A. Baynes),2,61-65,,
4:24.0,,,61-65,,Turnover by T. Booker (bad pass; steal by I. Smith)
4:19.0,J. Leuer misses 2-pt shot from 3 ft (block by I. Whitehead),,61-65,,
4:18.0,Offensive rebound by T. Harris,,61-65,,
4:16.0,T. Harris makes 2-pt shot at rim,2,63-65,,
3:50.0,,,63-68,3,K. McDaniels makes 3-pt shot from 27 ft (assist by A. Goodwin)
3:33.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,63-68,,
3:32.0,,,63-68,,Defensive rebound by K. McDaniels
3:19.0,,,63-70,2,A. Goodwin makes 2-pt shot from 2 ft (assist by T. Booker)
3:19.0,,,63-70,,Shooting foul by J. Leuer (drawn by A. Goodwin)
3:19.0,,,63-70,,A. Goodwin misses free throw 1 of 1
3:19.0,,,63-70,,Q. Acy enters the game for B. Lopez
3:18.0,Defensive rebound by T. Harris,,63-70,,
3:00.0,J. Leuer misses 3-pt shot from 24 ft,,63-70,,
2:59.0,,,63-70,,Defensive rebound by T. Booker
2:48.0,,,63-72,2,I. Whitehead makes 2-pt shot from 3 ft
2:28.0,I. Smith misses 3-pt shot from 25 ft,,63-72,,
2:27.0,,,63-72,,Defensive rebound by I. Whitehead
2:13.0,,,63-72,,A. Goodwin misses 2-pt shot from 19 ft
2:12.0,Defensive rebound by K. Caldwell-Pope,,63-72,,
2:04.0,Turnover by A. Baynes (lost ball),,63-72,,
1:48.0,,,63-72,,Turnover by K. McDaniels (bad pass; steal by T. Harris)
1:45.0,K. Caldwell-Pope misses 2-pt shot at rim (block by A. Goodwin),,63-72,,
1:43.0,Offensive rebound by I. Smith,,63-72,,
1:42.0,I. Smith misses 2-pt shot from 2 ft,,63-72,,
1:41.0,,,63-72,,Defensive rebound by Q. Acy
1:30.0,,,63-72,,K. McDaniels misses 2-pt shot from 5 ft (block by T. Harris)
1:28.0,Defensive rebound by A. Baynes,,63-72,,
1:22.0,T. Harris misses 3-pt shot from 25 ft,,63-72,,
1:19.0,,,63-72,,Defensive rebound by T. Booker
1:03.0,,,63-72,,Turnover by K. McDaniels (lost ball; steal by I. Smith)
1:00.0,Shooting foul by Q. Acy (drawn by J. Leuer),,63-72,,
1:00.0,J. Leuer makes free throw 1 of 2,1,64-72,,
1:00.0,J. Leuer makes free throw 2 of 2,1,65-72,,
0:46.0,,,65-72,,K. McDaniels misses 3-pt shot from 27 ft
0:45.0,,,65-72,,Offensive rebound by A. Goodwin
0:40.0,,,65-74,2,A. Goodwin makes 2-pt shot from 3 ft
0:25.0,Offensive foul by K. Caldwell-Pope,,65-74,,
0:25.0,Turnover by K. Caldwell-Pope (offensive foul),,65-74,,
0:25.0,Technical foul by K. Caldwell-Pope,,65-74,,
0:25.0,,,65-74,,I. Whitehead misses technical free throw
0:25.0,,,65-74,,Offensive rebound by Team
0:25.0,R. Bullock enters the game for K. Caldwell-Pope,,65-74,,
0:25.0,,,65-74,,B. Lopez enters the game for K. McDaniels
0:01.0,,,65-74,,Turnover by B. Lopez (bad pass; steal by R. Bullock)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,M. Morris misses 3-pt shot from 25 ft,,65-74,,
11:43.0,,,65-74,,Defensive rebound by A. Goodwin
11:38.0,,,65-76,2,A. Goodwin makes 2-pt shot from 3 ft
11:16.0,I. Smith makes 2-pt shot from 17 ft,2,67-76,,
11:03.0,,,67-76,,Shooting foul by M. Morris
11:03.0,,,67-76,,K. McDaniels misses free throw 1 of 2
11:03.0,,,67-76,,Offensive rebound by Team
11:03.0,,,67-77,1,K. McDaniels makes free throw 2 of 2
10:42.0,I. Smith misses 2-pt shot from 20 ft,,67-77,,
10:41.0,,,67-77,,Defensive rebound by R. Hollis-Jefferson
10:30.0,,,67-77,,K. McDaniels misses 3-pt shot from 25 ft
10:28.0,Defensive rebound by J. Leuer,,67-77,,
10:23.0,I. Smith makes 2-pt shot from 2 ft,2,69-77,,
10:03.0,,,69-77,,Turnover by K. McDaniels (bad pass)
9:40.0,J. Leuer misses 2-pt shot from 10 ft,,69-77,,
9:39.0,,,69-77,,Defensive rebound by R. Foye
9:19.0,,,69-79,2,A. Goodwin makes 2-pt shot from 2 ft
9:18.0,Detroit full timeout,,69-79,,
9:18.0,A. Drummond enters the game for A. Baynes,,69-79,,
9:03.0,I. Smith makes 2-pt shot from 14 ft,2,71-79,,
8:46.0,,,71-79,,A. Goodwin misses 3-pt shot from 26 ft
8:45.0,Defensive rebound by Team,,71-79,,
8:34.0,Turnover by A. Drummond (offensive foul),,71-79,,
8:34.0,Offensive foul by A. Drummond,,71-79,,
8:34.0,,,71-79,,B. Lopez enters the game for R. Hollis-Jefferson
8:19.0,,,71-79,,Turnover by A. Goodwin (bad pass; steal by I. Smith)
8:17.0,I. Smith makes 2-pt shot from 1 ft,2,73-79,,
8:17.0,,,73-79,,Brooklyn full timeout
8:17.0,,,73-79,,S. Dinwiddie enters the game for A. Goodwin
8:17.0,,,73-79,,I. Whitehead enters the game for K. McDaniels
7:53.0,,,73-79,,S. Dinwiddie misses 3-pt shot from 29 ft
7:52.0,Defensive rebound by A. Drummond,,73-79,,
7:47.0,I. Smith misses 2-pt shot from 2 ft,,73-79,,
7:45.0,Offensive rebound by J. Leuer,,73-79,,
7:38.0,R. Bullock misses 3-pt shot from 25 ft,,73-79,,
7:37.0,Offensive rebound by Team,,73-79,,
7:30.0,J. Leuer misses 2-pt shot from 16 ft,,73-79,,
7:30.0,Offensive rebound by A. Drummond,,73-79,,
7:25.0,M. Morris makes 3-pt shot from 25 ft (assist by I. Smith),3,76-79,,
7:10.0,,,76-81,2,Q. Acy makes 2-pt shot from 2 ft (assist by I. Whitehead)
6:46.0,Shooting foul by B. Lopez (drawn by M. Morris),,76-81,,
6:46.0,M. Morris misses free throw 1 of 2,,76-81,,
6:46.0,Offensive rebound by Team,,76-81,,
6:46.0,M. Morris makes free throw 2 of 2,1,77-81,,
6:46.0,,,76-81,,C. LeVert enters the game for R. Foye
6:46.0,T. Harris enters the game for J. Leuer,,76-81,,
6:46.0,K. Caldwell-Pope enters the game for R. Bullock,,76-81,,
6:29.0,,,77-84,3,B. Lopez makes 3-pt shot from 23 ft (assist by C. LeVert)
6:11.0,T. Harris makes 2-pt shot from 14 ft,2,79-84,,
5:53.0,,,79-84,,I. Whitehead misses 2-pt shot from 2 ft (block by T. Harris)
5:51.0,,,79-84,,Offensive rebound by I. Whitehead
5:43.0,,,79-84,,S. Dinwiddie misses 2-pt shot from 2 ft
5:42.0,,,79-84,,Offensive rebound by Q. Acy
5:41.0,,,79-84,,B. Lopez misses 3-pt shot from 25 ft
5:40.0,,,79-84,,Offensive rebound by C. LeVert
5:33.0,,,79-84,,I. Whitehead misses 2-pt shot from 2 ft
5:32.0,,,79-84,,Offensive rebound by B. Lopez
5:31.0,,,79-86,2,B. Lopez makes 2-pt shot from 2 ft
5:08.0,K. Caldwell-Pope misses 2-pt shot from 19 ft,,79-86,,
5:06.0,Offensive rebound by A. Drummond,,79-86,,
4:56.0,T. Harris makes 2-pt shot at rim (assist by M. Morris),2,81-86,,
4:32.0,,,81-89,3,B. Lopez makes 3-pt shot from 24 ft (assist by Q. Acy)
4:32.0,Detroit full timeout,,81-89,,
4:32.0,,,81-89,,R. Hollis-Jefferson enters the game for Q. Acy
4:18.0,K. Caldwell-Pope misses 2-pt shot from 14 ft,,81-89,,
4:16.0,Offensive rebound by Team,,81-89,,
4:16.0,,,81-89,,Loose ball foul by B. Lopez (drawn by A. Drummond)
4:07.0,I. Smith makes 2-pt shot from 16 ft,2,83-89,,
3:53.0,,,83-89,,C. LeVert misses 2-pt shot from 2 ft (block by A. Drummond)
3:52.0,Defensive rebound by A. Drummond,,83-89,,
3:39.0,M. Morris makes 2-pt shot from 2 ft (assist by K. Caldwell-Pope),2,85-89,,
3:32.0,Personal foul by I. Smith (drawn by S. Dinwiddie),,85-89,,
3:32.0,A. Baynes enters the game for A. Drummond,,85-89,,
3:25.0,,,85-89,,C. LeVert misses 2-pt shot from 16 ft
3:24.0,Defensive rebound by I. Smith,,85-89,,
3:15.0,T. Harris misses 2-pt shot from 13 ft,,85-89,,
