time,Brooklyn,pts.away,score,pts.home,Oklahoma City
0:00.0,Defensive rebound by T. Booker,,40-34,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,40-34,,V. Oladipo misses 2-pt shot from 1 ft
11:49.0,,,40-34,,Offensive rebound by S. Adams
11:45.0,,,40-34,,A. Abrines misses 3-pt shot from 25 ft
11:44.0,,,40-34,,Offensive rebound by Team
11:31.0,,,40-34,,A. Abrines misses 3-pt shot from 24 ft
11:31.0,,,40-34,,Offensive rebound by Team
11:31.0,Loose ball foul by A. Bennett (drawn by S. Adams),,40-34,,
11:24.0,,,40-34,,Shooting foul by A. Bennett (drawn by S. Adams)
11:24.0,,,40-34,,S. Adams misses free throw 1 of 2
11:24.0,,,40-34,,Offensive rebound by Team
11:24.0,,,40-35,1,S. Adams makes free throw 2 of 2
11:24.0,,,40-34,,A. Roberson enters the game for A. Abrines
11:05.0,J. Hamilton misses 3-pt shot from 27 ft,,40-35,,
11:05.0,,,40-35,,Defensive rebound by S. Christon
10:59.0,,,40-35,,V. Oladipo misses 2-pt shot from 2 ft
10:59.0,Defensive rebound by A. Bennett,,40-35,,
10:55.0,,,40-35,,Personal foul by A. Roberson (drawn by B. Bogdanovic)
10:55.0,,,40-35,,D. Sabonis enters the game for S. Adams
10:43.0,Turnover by B. Bogdanovic (lost ball; steal by J. Grant),,40-35,,
10:40.0,,,40-35,,Turnover by D. Sabonis (bad pass)
10:29.0,S. Kilpatrick misses 3-pt shot from 25 ft,,40-35,,
10:28.0,,,40-35,,Defensive rebound by Team
10:06.0,,,40-37,2,V. Oladipo makes 2-pt shot from 15 ft
9:52.0,S. Kilpatrick makes 2-pt shot from 2 ft,2,42-37,,
9:45.0,,,42-37,,Offensive foul by V. Oladipo
9:45.0,,,42-37,,Turnover by V. Oladipo (offensive foul)
9:29.0,S. Kilpatrick misses 3-pt shot from 22 ft,,42-37,,
9:28.0,Offensive rebound by Y. Ferrell,,42-37,,
9:24.0,J. Hamilton makes 2-pt shot from 7 ft (assist by Y. Ferrell),2,44-37,,
9:10.0,,,44-37,,V. Oladipo misses 3-pt shot from 23 ft
9:10.0,Defensive rebound by J. Hamilton,,44-37,,
9:00.0,B. Bogdanovic makes 2-pt shot from 3 ft,2,46-37,,
9:00.0,,,46-37,,Oklahoma City full timeout
9:00.0,,,46-37,,R. Westbrook enters the game for V. Oladipo
9:00.0,,,46-37,,J. Lauvergne enters the game for J. Grant
8:45.0,,,46-39,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
8:32.0,B. Bogdanovic misses 2-pt shot from 1 ft,,46-39,,
8:32.0,Offensive rebound by Y. Ferrell,,46-39,,
8:24.0,Turnover by Y. Ferrell (step out of bounds),,46-39,,
8:08.0,,,46-41,2,R. Westbrook makes 2-pt shot from 12 ft
7:49.0,J. Hamilton makes 3-pt shot from 23 ft (assist by B. Bogdanovic),3,49-41,,
7:36.0,,,49-43,2,J. Lauvergne makes 2-pt shot at rim
7:14.0,Shooting foul by S. Christon (drawn by Y. Ferrell),,49-43,,
7:14.0,Y. Ferrell makes free throw 1 of 2,1,50-43,,
7:14.0,Y. Ferrell makes free throw 2 of 2,1,51-43,,
7:01.0,,,51-43,,D. Sabonis misses 3-pt shot from 25 ft
7:01.0,Defensive rebound by Team,,51-43,,
7:01.0,R. Foye enters the game for Y. Ferrell,,51-43,,
6:55.0,Turnover by R. Foye (discontinued dribble),,51-43,,
6:33.0,,,51-43,,R. Westbrook misses 2-pt shot from 1 ft
6:33.0,Defensive rebound by A. Bennett,,51-43,,
6:14.0,Shooting foul by A. Roberson (drawn by B. Bogdanovic),,51-43,,
6:14.0,B. Bogdanovic makes free throw 1 of 2,1,52-43,,
6:14.0,B. Bogdanovic makes free throw 2 of 2,1,53-43,,
6:14.0,,,52-43,,V. Oladipo enters the game for S. Christon
5:58.0,,,53-45,2,V. Oladipo makes 2-pt shot from 10 ft
5:36.0,A. Bennett misses 3-pt shot from 23 ft,,53-45,,
5:35.0,,,53-45,,Defensive rebound by R. Westbrook
5:26.0,,,53-47,2,R. Westbrook makes 2-pt shot from 12 ft
5:20.0,Brooklyn full timeout,,53-47,,
5:20.0,B. Lopez enters the game for J. Hamilton,,53-47,,
5:20.0,T. Booker enters the game for A. Bennett,,53-47,,
5:20.0,,,53-47,,S. Adams enters the game for J. Lauvergne
5:16.0,Shooting foul by V. Oladipo (drawn by B. Bogdanovic),,53-47,,
5:16.0,B. Bogdanovic misses free throw 1 of 2,,53-47,,
5:16.0,Offensive rebound by Team,,53-47,,
5:16.0,B. Bogdanovic makes free throw 2 of 2,1,54-47,,
5:16.0,R. Hollis-Jefferson enters the game for S. Kilpatrick,,53-47,,
5:05.0,,,54-49,2,R. Westbrook makes 2-pt shot from 13 ft
4:41.0,B. Bogdanovic makes 2-pt shot from 2 ft,2,56-49,,
4:20.0,,,56-49,,Turnover by S. Adams (bad pass; steal by T. Booker)
4:15.0,R. Hollis-Jefferson misses 2-pt shot from 1 ft (block by D. Sabonis),,56-49,,
4:15.0,Offensive rebound by Team,,56-49,,
4:15.0,J. Harris enters the game for B. Bogdanovic,,56-49,,
4:11.0,B. Lopez misses 2-pt shot from 5 ft,,56-49,,
4:10.0,,,56-49,,Defensive rebound by S. Adams
4:05.0,,,56-51,2,R. Westbrook makes 2-pt shot from 1 ft
3:52.0,Turnover by R. Foye (bad pass; steal by R. Westbrook),,56-51,,
3:49.0,,,56-53,2,R. Westbrook makes 2-pt shot at rim
3:22.0,T. Booker misses 2-pt shot from 2 ft,,56-53,,
3:22.0,,,56-53,,Defensive rebound by R. Westbrook
3:17.0,,,56-53,,Shooting foul by R. Hollis-Jefferson (drawn by R. Westbrook)
3:17.0,,,56-54,1,R. Westbrook makes free throw 1 of 2
3:17.0,,,56-55,1,R. Westbrook makes free throw 2 of 2
3:17.0,,,56-54,,J. Lauvergne enters the game for D. Sabonis
3:01.0,B. Lopez makes 2-pt shot from 3 ft,2,58-55,,
2:50.0,,,58-57,2,J. Lauvergne makes 2-pt shot from 3 ft (assist by V. Oladipo)
2:38.0,T. Booker makes 2-pt shot from 8 ft,2,60-57,,
2:23.0,,,60-59,2,J. Lauvergne makes 2-pt shot at rim (assist by R. Westbrook)
2:05.0,Turnover by B. Lopez (lost ball),,60-59,,
2:05.0,Official timeout,,60-59,,
2:05.0,Y. Ferrell enters the game for R. Foye,,60-59,,
1:47.0,,,60-62,3,J. Lauvergne makes 3-pt shot from 25 ft (assist by R. Westbrook)
1:37.0,Offensive charge foul by Y. Ferrell,,60-62,,
1:37.0,Turnover by Y. Ferrell (offensive foul),,60-62,,
1:26.0,,,60-64,2,S. Adams makes 2-pt shot from 2 ft (assist by R. Westbrook)
1:07.0,B. Lopez misses 3-pt shot from 25 ft,,60-64,,
1:07.0,,,60-64,,Defensive rebound by R. Westbrook
1:04.0,,,60-64,,Turnover by R. Westbrook (bad pass)
0:56.0,R. Hollis-Jefferson misses 2-pt shot from 4 ft,,60-64,,
0:56.0,,,60-64,,Defensive rebound by S. Adams
0:45.0,,,60-64,,J. Lauvergne misses 3-pt shot from 25 ft
0:44.0,Defensive rebound by R. Hollis-Jefferson,,60-64,,
0:35.0,R. Hollis-Jefferson misses 2-pt shot from 2 ft,,60-64,,
0:35.0,,,60-64,,Defensive rebound by V. Oladipo
0:29.0,,,60-64,,A. Roberson misses 2-pt shot from 2 ft
0:29.0,Defensive rebound by J. Harris,,60-64,,
0:28.0,,,60-64,,Personal foul by A. Roberson (drawn by J. Harris)
0:28.0,J. Harris makes free throw 1 of 2,1,61-64,,
0:28.0,,,61-64,,Oklahoma City full timeout
0:28.0,J. Harris misses free throw 2 of 2,,61-64,,
0:28.0,,,61-64,,A. Morrow enters the game for A. Roberson
0:28.0,,,61-64,,A. Abrines enters the game for J. Lauvergne
0:27.0,,,61-64,,Defensive rebound by R. Westbrook
0:08.0,,,61-64,,A. Abrines misses 3-pt shot from 23 ft
0:07.0,Defensive rebound by T. Booker,,61-64,,
0:00.0,Y. Ferrell misses 3-pt shot from 26 ft,,61-64,,
0:00.0,Offensive rebound by Team,,61-64,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,61-64,,D. Sabonis misses 2-pt shot from 1 ft
11:47.0,Defensive rebound by T. Booker,,61-64,,
11:37.0,Turnover by R. Foye (traveling),,61-64,,
11:25.0,,,61-66,2,S. Adams makes 2-pt shot from 1 ft (assist by V. Oladipo)
11:05.0,R. Hollis-Jefferson misses 3-pt shot from 24 ft,,61-66,,
11:04.0,Offensive rebound by B. Bogdanovic,,61-66,,
11:00.0,R. Foye misses 3-pt shot from 24 ft,,61-66,,
10:59.0,Offensive rebound by Team,,61-66,,
10:59.0,,,61-66,,Loose ball foul by A. Roberson (drawn by T. Booker)
10:59.0,,,61-66,,K. Singler enters the game for A. Roberson
10:51.0,B. Lopez makes 2-pt shot from 4 ft (assist by R. Foye),2,63-66,,
10:32.0,,,63-66,,V. Oladipo misses 2-pt shot from 9 ft
10:32.0,,,63-66,,Offensive rebound by R. Westbrook
10:27.0,,,63-66,,V. Oladipo misses 3-pt shot from 23 ft
10:27.0,Defensive rebound by B. Bogdanovic,,63-66,,
10:14.0,B. Lopez misses 2-pt shot from 10 ft,,63-66,,
10:12.0,,,63-66,,Defensive rebound by D. Sabonis
9:58.0,,,63-66,,D. Sabonis misses 2-pt shot from 8 ft
9:57.0,Defensive rebound by B. Lopez,,63-66,,
9:46.0,Turnover by R. Foye (bad pass),,63-66,,
9:37.0,,,63-68,2,S. Adams makes 2-pt shot from 7 ft
9:17.0,Shooting foul by D. Sabonis (drawn by R. Hollis-Jefferson),,63-68,,
9:17.0,R. Hollis-Jefferson misses free throw 1 of 2,,63-68,,
9:17.0,Offensive rebound by Team,,63-68,,
9:17.0,R. Hollis-Jefferson makes free throw 2 of 2,1,64-68,,
9:02.0,,,64-68,,Turnover by S. Adams (bad pass; steal by R. Hollis-Jefferson)
8:55.0,R. Hollis-Jefferson misses 2-pt shot from 3 ft (block by S. Adams),,64-68,,
8:55.0,Offensive rebound by Team,,64-68,,
8:41.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft,2,66-68,,
8:25.0,,,66-68,,K. Singler misses 3-pt shot from 23 ft
8:22.0,,,66-68,,Offensive rebound by S. Adams
8:22.0,,,66-68,,Shooting foul by B. Lopez (drawn by S. Adams)
8:22.0,,,66-69,1,S. Adams makes free throw 1 of 2
8:22.0,,,66-70,1,S. Adams makes free throw 2 of 2
8:22.0,,,66-69,,J. Lauvergne enters the game for D. Sabonis
8:07.0,R. Hollis-Jefferson misses 2-pt shot from 4 ft,,66-70,,
8:07.0,,,66-70,,Defensive rebound by J. Lauvergne
8:00.0,Personal foul by R. Hollis-Jefferson (drawn by J. Lauvergne),,66-70,,
8:00.0,J. Hamilton enters the game for T. Booker,,66-70,,
7:50.0,,,66-72,2,R. Westbrook makes 2-pt shot from 15 ft
7:40.0,R. Foye misses 2-pt shot from 8 ft,,66-72,,
7:39.0,,,66-72,,Defensive rebound by K. Singler
7:34.0,,,66-74,2,V. Oladipo makes 2-pt shot from 1 ft (assist by R. Westbrook)
7:20.0,J. Hamilton misses 3-pt shot from 24 ft,,66-74,,
7:20.0,,,66-74,,Defensive rebound by R. Westbrook
7:16.0,,,66-76,2,J. Lauvergne makes 2-pt shot at rim (assist by R. Westbrook)
7:13.0,Brooklyn full timeout,,66-76,,
7:13.0,I. Whitehead enters the game for R. Foye,,66-76,,
7:02.0,Shooting foul by K. Singler (drawn by B. Bogdanovic),,66-76,,
7:02.0,B. Bogdanovic misses free throw 1 of 2,,66-76,,
7:02.0,Offensive rebound by Team,,66-76,,
7:02.0,B. Bogdanovic makes free throw 2 of 2,1,67-76,,
6:49.0,,,67-76,,K. Singler misses 3-pt shot from 24 ft
6:45.0,,,67-76,,Offensive rebound by R. Westbrook
6:29.0,,,67-76,,S. Adams misses 2-pt shot from 3 ft
6:26.0,,,67-76,,Offensive rebound by Team
6:17.0,,,67-76,,J. Lauvergne misses 3-pt shot from 24 ft
6:15.0,Defensive rebound by Team,,67-76,,
6:06.0,Turnover by I. Whitehead (bad pass),,67-76,,
5:57.0,,,67-78,2,V. Oladipo makes 2-pt shot at rim (assist by R. Westbrook)
5:42.0,B. Bogdanovic makes 3-pt shot from 26 ft (assist by R. Hollis-Jefferson),3,70-78,,
5:28.0,,,70-78,,J. Lauvergne misses 3-pt shot from 24 ft
5:27.0,,,70-78,,Offensive rebound by R. Westbrook
5:22.0,Violation by B. Bogdanovic (kicked ball),,70-78,,
5:22.0,J. Harris enters the game for B. Bogdanovic,,70-78,,
5:22.0,,,70-78,,A. Abrines enters the game for V. Oladipo
5:12.0,,,70-78,,Turnover by R. Westbrook (bad pass; steal by B. Lopez)
4:59.0,R. Hollis-Jefferson misses 2-pt shot from 7 ft,,70-78,,
4:58.0,Offensive rebound by B. Lopez,,70-78,,
4:56.0,B. Lopez makes 2-pt shot from 1 ft,2,72-78,,
4:56.0,,,72-78,,Oklahoma City full timeout
4:45.0,,,72-78,,R. Westbrook misses 2-pt shot from 10 ft
4:45.0,Defensive rebound by R. Hollis-Jefferson,,72-78,,
4:39.0,R. Hollis-Jefferson misses 2-pt shot at rim,,72-78,,
4:38.0,,,72-78,,Defensive rebound by J. Lauvergne
4:30.0,,,72-80,2,J. Lauvergne makes 2-pt shot from 2 ft (assist by R. Westbrook)
4:14.0,J. Harris makes 2-pt shot from 4 ft (assist by B. Lopez),2,74-80,,
4:01.0,,,74-80,,R. Westbrook misses 3-pt shot from 25 ft
4:00.0,Defensive rebound by I. Whitehead,,74-80,,
3:52.0,I. Whitehead misses 3-pt shot from 25 ft,,74-80,,
3:51.0,,,74-80,,Defensive rebound by J. Lauvergne
3:46.0,Personal foul by R. Hollis-Jefferson (drawn by R. Westbrook),,74-80,,
3:46.0,T. Booker enters the game for B. Lopez,,74-80,,
3:46.0,S. Kilpatrick enters the game for R. Hollis-Jefferson,,74-80,,
3:46.0,,,74-80,,E. Kanter enters the game for S. Adams
3:40.0,,,74-82,2,R. Westbrook makes 2-pt shot from 17 ft
3:19.0,I. Whitehead makes 2-pt shot from 6 ft,2,76-82,,
3:05.0,,,76-82,,R. Westbrook misses 2-pt shot from 7 ft
3:05.0,Defensive rebound by T. Booker,,76-82,,
2:59.0,,,76-82,,Personal foul by J. Lauvergne (drawn by T. Booker)
2:59.0,,,76-82,,S. Christon enters the game for R. Westbrook
2:52.0,I. Whitehead makes 2-pt shot from 18 ft,2,78-82,,
2:39.0,,,78-84,2,A. Abrines makes 2-pt shot from 5 ft (assist by J. Lauvergne)
2:18.0,S. Kilpatrick makes 2-pt shot from 2 ft,2,80-84,,
2:18.0,Shooting foul by J. Lauvergne (drawn by S. Kilpatrick),,80-84,,
2:18.0,S. Kilpatrick makes free throw 1 of 1,1,81-84,,
2:18.0,,,80-84,,J. Grant enters the game for K. Singler
2:18.0,,,80-84,,V. Oladipo enters the game for J. Lauvergne
2:06.0,Def 3 sec tech foul by T. Booker,,81-84,,
2:06.0,,,81-85,1,V. Oladipo makes technical free throw
1:59.0,,,81-87,2,E. Kanter makes 2-pt shot from 10 ft (assist by S. Christon)
1:47.0,Turnover by S. Kilpatrick (lost ball; steal by S. Christon),,81-87,,
1:46.0,Personal foul by J. Hamilton (drawn by S. Christon),,81-87,,
1:33.0,,,81-89,2,J. Grant makes 2-pt shot from 7 ft (assist by V. Oladipo)
1:19.0,,,81-89,,Personal foul by V. Oladipo (drawn by S. Kilpatrick)
1:19.0,S. Kilpatrick makes free throw 1 of 2,1,82-89,,
1:19.0,S. Kilpatrick misses free throw 2 of 2,,82-89,,
1:19.0,,,82-89,,Defensive rebound by A. Abrines
1:10.0,,,82-89,,Shooting foul by J. Hamilton (drawn by E. Kanter)
1:10.0,,,82-90,1,E. Kanter makes free throw 1 of 2
1:10.0,,,82-91,1,E. Kanter makes free throw 2 of 2
1:10.0,A. Bennett enters the game for J. Hamilton,,82-90,,
0:56.0,I. Whitehead misses 2-pt shot from 9 ft,,82-91,,
0:55.0,,,82-91,,Defensive rebound by J. Grant
0:45.0,,,82-91,,Oklahoma City full timeout
0:45.0,,,82-91,,K. Singler enters the game for S. Christon
0:34.0,,,82-94,3,E. Kanter makes 3-pt shot from 23 ft (assist by V. Oladipo)
0:26.0,J. Harris misses 2-pt shot from 2 ft,,82-94,,
0:25.0,,,82-94,,Defensive rebound by J. Grant
0:03.0,,,82-96,2,V. Oladipo makes 2-pt shot from 3 ft
0:00.0,T. Booker misses 3-pt shot from 28 ft,,82-96,,
0:00.0,Offensive rebound by Team,,82-96,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,A. Bennett misses 2-pt shot from 14 ft,,82-96,,
11:41.0,,,82-96,,Defensive rebound by J. Grant
11:28.0,,,82-96,,Turnover by K. Singler (bad pass; steal by S. Kilpatrick)
11:17.0,S. Kilpatrick misses 2-pt shot from 5 ft,,82-96,,
11:17.0,Offensive rebound by S. Kilpatrick,,82-96,,
11:11.0,Y. Ferrell makes 2-pt shot from 15 ft (assist by J. Harris),2,84-96,,
10:54.0,,,84-98,2,E. Kanter makes 2-pt shot from 5 ft (assist by V. Oladipo)
10:44.0,Turnover by S. Kilpatrick (bad pass; steal by J. Grant),,84-98,,
10:41.0,,,84-98,,Shooting foul by J. Hamilton (drawn by J. Grant)
10:41.0,,,84-98,,J. Grant misses free throw 1 of 2
10:41.0,,,84-98,,Offensive rebound by Team
10:41.0,,,84-99,1,J. Grant makes free throw 2 of 2
10:41.0,B. Lopez enters the game for J. Hamilton,,84-98,,
10:29.0,A. Bennett misses 2-pt shot from 5 ft (block by E. Kanter),,84-99,,
10:29.0,Offensive rebound by Team,,84-99,,
10:26.0,,,84-99,,Shooting block foul by J. Grant (drawn by J. Harris)
10:26.0,J. Harris misses free throw 1 of 2,,84-99,,
10:26.0,Offensive rebound by Team,,84-99,,
10:26.0,J. Harris makes free throw 2 of 2,1,85-99,,
10:09.0,Personal foul by B. Lopez (drawn by A. Abrines),,85-99,,
10:05.0,,,85-99,,Offensive foul by E. Kanter
10:05.0,,,85-99,,Turnover by E. Kanter (offensive foul)
9:53.0,B. Lopez misses 2-pt shot from 13 ft,,85-99,,
9:53.0,,,85-99,,Defensive rebound by E. Kanter
9:44.0,,,85-101,2,V. Oladipo makes 2-pt shot from 19 ft
9:20.0,S. Kilpatrick misses 3-pt shot from 25 ft,,85-101,,
9:19.0,Offensive rebound by Y. Ferrell,,85-101,,
9:15.0,Shooting foul by V. Oladipo (drawn by A. Bennett),,85-101,,
9:15.0,A. Bennett makes free throw 1 of 2,1,86-101,,
9:15.0,A. Bennett makes free throw 2 of 2,1,87-101,,
8:56.0,,,87-101,,A. Abrines misses 3-pt shot from 25 ft
8:55.0,Defensive rebound by Y. Ferrell,,87-101,,
8:38.0,A. Bennett makes 2-pt shot from 1 ft,2,89-101,,
8:20.0,,,89-101,,A. Abrines misses 2-pt shot from 2 ft
8:20.0,Defensive rebound by B. Lopez,,89-101,,
8:14.0,,,89-101,,Shooting block foul by K. Singler (drawn by S. Kilpatrick)
8:14.0,Official timeout,,89-101,,
8:14.0,S. Kilpatrick makes free throw 1 of 2,1,90-101,,
8:14.0,S. Kilpatrick makes free throw 2 of 2,1,91-101,,
8:14.0,,,89-101,,D. Sabonis enters the game for V. Oladipo
8:14.0,,,89-101,,R. Westbrook enters the game for J. Grant
8:14.0,,,89-101,,A. Roberson enters the game for K. Singler
8:05.0,Violation by S. Kilpatrick (kicked ball),,91-101,,
7:56.0,,,91-103,2,R. Westbrook makes 2-pt shot from 14 ft
7:36.0,B. Lopez misses 3-pt shot from 25 ft,,91-103,,
7:36.0,,,91-103,,Defensive rebound by A. Abrines
