time,Toronto,pts.away,score,pts.home,New York
10:34.0,,,23-34,2,S. Vujacic makes 2-pt shot from 18 ft
10:11.0,J. Valanciunas makes 2-pt shot from 4 ft (assist by C. Joseph),2,25-34,,
9:50.0,,,25-34,,M. Kuzminskas misses 2-pt shot from 5 ft
9:49.0,Defensive rebound by J. Valanciunas,,25-34,,
9:42.0,P. Tucker misses 3-pt shot from 24 ft,,25-34,,
9:40.0,,,25-34,,Defensive rebound by C. Randle
9:35.0,,,25-34,,Turnover by C. Randle (lost ball; steal by C. Joseph)
9:31.0,Turnover by K. Lowry (lost ball),,25-34,,
9:24.0,,,25-34,,New York full timeout
9:24.0,D. Carroll enters the game for P. Patterson,,25-34,,
9:23.0,,,25-34,,Shooting foul by J. Valanciunas (drawn by C. Randle)
9:23.0,,,25-35,1,C. Randle makes free throw 1 of 2
9:23.0,,,25-36,1,C. Randle makes free throw 2 of 2
9:00.0,P. Tucker makes 3-pt shot from 24 ft (assist by C. Joseph),3,28-36,,
8:53.0,,,28-36,,Offensive foul by C. Randle
8:53.0,,,28-36,,Turnover by C. Randle (offensive foul)
8:44.0,K. Lowry misses 3-pt shot from 25 ft,,28-36,,
8:42.0,,,28-36,,Defensive rebound by M. Kuzminskas
8:37.0,,,28-36,,Turnover by M. Kuzminskas (lost ball; steal by P. Tucker)
8:34.0,P. Tucker misses 3-pt shot from 25 ft,,28-36,,
8:32.0,Offensive rebound by J. Valanciunas,,28-36,,
8:32.0,J. Valanciunas misses 2-pt shot from 1 ft,,28-36,,
8:30.0,,,28-36,,Defensive rebound by K. O'Quinn
8:19.0,,,28-38,2,K. O'Quinn makes 2-pt shot at rim (assist by C. Randle)
8:05.0,K. Lowry makes 3-pt shot from 23 ft (assist by C. Joseph),3,31-38,,
7:46.0,,,31-40,2,K. O'Quinn makes 2-pt shot at rim (assist by S. Vujacic)
7:46.0,,,31-40,,Shooting foul by D. Carroll (drawn by K. O'Quinn)
7:46.0,,,31-41,1,K. O'Quinn makes free throw 1 of 1
7:46.0,S. Ibaka enters the game for J. Valanciunas,,31-40,,
7:46.0,D. DeRozan enters the game for C. Joseph,,31-40,,
7:31.0,S. Ibaka makes 2-pt shot from 22 ft (assist by K. Lowry),2,33-41,,
7:21.0,Personal foul by D. Carroll (drawn by S. Vujacic),,33-41,,
7:15.0,,,33-41,,S. Vujacic misses 3-pt shot from 26 ft
7:13.0,Defensive rebound by P. Tucker,,33-41,,
7:07.0,D. DeRozan makes 2-pt shot from 2 ft (assist by K. Lowry),2,35-41,,
6:57.0,,,35-41,,Turnover by C. Randle (bad pass; steal by K. Lowry)
6:53.0,D. DeRozan makes 2-pt shot from 2 ft (assist by K. Lowry),2,37-41,,
6:52.0,,,37-41,,New York full timeout
6:42.0,,,37-41,,New York full timeout
6:37.0,,,37-41,,K. O'Quinn misses 2-pt shot from 6 ft
6:36.0,Defensive rebound by P. Tucker,,37-41,,
6:20.0,D. Carroll misses 2-pt shot from 11 ft,,37-41,,
6:19.0,,,37-41,,Defensive rebound by Team
6:19.0,,,37-41,,R. Baker enters the game for C. Randle
6:19.0,,,37-41,,M. Ndour enters the game for M. Kuzminskas
6:06.0,Personal foul by P. Tucker,,37-41,,
6:01.0,,,37-41,,K. O'Quinn misses 2-pt shot from 4 ft
6:00.0,Defensive rebound by P. Tucker,,37-41,,
5:45.0,D. Carroll makes 2-pt shot from 4 ft,2,39-41,,
5:45.0,Shooting foul by S. Vujacic (drawn by D. Carroll),,39-41,,
5:45.0,D. Carroll makes free throw 1 of 1,1,40-41,,
5:29.0,,,40-41,,J. Holiday misses 2-pt shot from 18 ft
5:27.0,Defensive rebound by D. Carroll,,40-41,,
5:10.0,D. Carroll misses 3-pt shot from 25 ft,,40-41,,
5:08.0,,,40-41,,Defensive rebound by J. Holiday
5:02.0,,,40-41,,S. Vujacic misses 2-pt shot from 17 ft
5:00.0,Defensive rebound by P. Tucker,,40-41,,
4:56.0,Shooting foul by S. Vujacic (drawn by D. DeRozan),,40-41,,
4:56.0,D. DeRozan makes free throw 1 of 2,1,41-41,,
4:56.0,D. DeRozan misses free throw 2 of 2,,41-41,,
4:56.0,,,41-41,,W. Hernangomez enters the game for K. O'Quinn
4:56.0,,,41-41,,C. Lee enters the game for S. Vujacic
4:55.0,,,41-41,,Defensive rebound by M. Ndour
4:35.0,,,41-41,,R. Baker misses 3-pt shot from 24 ft
4:33.0,Defensive rebound by P. Tucker,,41-41,,
4:26.0,S. Ibaka makes 3-pt shot from 24 ft (assist by K. Lowry),3,44-41,,
4:07.0,,,44-43,2,W. Hernangomez makes 2-pt shot from 6 ft (assist by J. Holiday)
3:51.0,D. DeRozan makes 2-pt shot from 15 ft,2,46-43,,
3:40.0,,,46-43,,R. Baker misses 2-pt shot from 2 ft (block by K. Lowry)
3:38.0,Defensive rebound by D. Carroll,,46-43,,
3:31.0,K. Lowry misses 3-pt shot from 27 ft,,46-43,,
3:30.0,,,46-43,,Defensive rebound by J. Holiday
3:23.0,,,46-45,2,W. Hernangomez makes 2-pt shot from 2 ft (assist by R. Baker)
3:15.0,Toronto full timeout,,46-45,,
3:15.0,N. Powell enters the game for K. Lowry,,46-45,,
3:15.0,C. Joseph enters the game for P. Tucker,,46-45,,
3:07.0,Shooting foul by C. Lee (drawn by D. DeRozan),,46-45,,
3:07.0,D. DeRozan makes free throw 1 of 2,1,47-45,,
3:07.0,D. DeRozan makes free throw 2 of 2,1,48-45,,
3:07.0,P. Patterson enters the game for D. Carroll,,47-45,,
2:51.0,Personal foul by S. Ibaka (drawn by W. Hernangomez),,48-45,,
2:51.0,,,48-45,,W. Hernangomez misses free throw 1 of 2
2:51.0,,,48-45,,Offensive rebound by Team
2:51.0,,,48-46,1,W. Hernangomez makes free throw 2 of 2
2:30.0,S. Ibaka misses 3-pt shot from 25 ft,,48-46,,
2:28.0,,,48-46,,Defensive rebound by J. Holiday
2:13.0,,,48-49,3,J. Holiday makes 3-pt shot from 23 ft (assist by W. Hernangomez)
1:48.0,C. Joseph misses 2-pt shot from 2 ft (block by J. Holiday),,48-49,,
1:46.0,,,48-49,,Defensive rebound by R. Baker
1:38.0,,,48-49,,Turnover by R. Baker (lost ball; steal by N. Powell)
1:34.0,N. Powell makes 2-pt shot at rim,2,50-49,,
1:19.0,,,50-51,2,M. Ndour makes 2-pt shot at rim (assist by R. Baker)
1:03.0,N. Powell misses 3-pt shot from 24 ft,,50-51,,
1:01.0,,,50-51,,Defensive rebound by J. Holiday
0:44.0,,,50-53,2,W. Hernangomez makes 2-pt shot at rim
0:37.0,D. DeRozan misses 2-pt shot from 12 ft,,50-53,,
0:36.0,,,50-53,,Defensive rebound by W. Hernangomez
0:30.0,,,50-53,,C. Lee misses 3-pt shot from 24 ft
0:29.0,,,50-53,,Offensive rebound by Team
0:29.0,Loose ball foul by N. Powell (drawn by W. Hernangomez),,50-53,,
0:29.0,,,50-54,1,W. Hernangomez makes free throw 1 of 2
0:29.0,,,50-55,1,W. Hernangomez makes free throw 2 of 2
0:07.0,D. DeRozan makes 2-pt shot from 19 ft,2,52-55,,
0:02.0,,,52-55,,C. Lee misses 2-pt shot from 2 ft
0:01.0,Defensive rebound by N. Powell,,52-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,52-55,,C. Lee misses 2-pt shot from 12 ft
11:45.0,Defensive rebound by K. Lowry,,52-55,,
11:41.0,,,52-55,,Personal foul by R. Baker (drawn by S. Ibaka)
11:24.0,J. Valanciunas misses 2-pt shot from 4 ft,,52-55,,
11:22.0,Offensive rebound by J. Valanciunas,,52-55,,
11:22.0,J. Valanciunas makes 2-pt shot from 1 ft,2,54-55,,
11:16.0,,,54-55,,Turnover by R. Baker (lost ball)
11:05.0,D. DeRozan misses 2-pt shot from 22 ft,,54-55,,
11:03.0,,,54-55,,Defensive rebound by W. Hernangomez
10:56.0,,,54-55,,R. Baker misses 2-pt shot from 5 ft
10:54.0,Defensive rebound by S. Ibaka,,54-55,,
10:44.0,D. Carroll misses 2-pt shot from 9 ft,,54-55,,
10:43.0,,,54-55,,Defensive rebound by R. Baker
10:31.0,,,54-55,,J. Holiday misses 2-pt shot from 14 ft
10:29.0,Defensive rebound by S. Ibaka,,54-55,,
10:12.0,J. Valanciunas makes 2-pt shot from 17 ft,2,56-55,,
10:01.0,,,56-57,2,W. Hernangomez makes 2-pt shot at rim (assist by J. Holiday)
9:39.0,S. Ibaka misses 3-pt shot from 24 ft,,56-57,,
9:37.0,,,56-57,,Defensive rebound by W. Hernangomez
9:27.0,,,56-57,,J. Holiday misses 3-pt shot from 23 ft
9:25.0,Defensive rebound by K. Lowry,,56-57,,
9:18.0,S. Ibaka makes 2-pt shot from 5 ft (assist by K. Lowry),2,58-57,,
9:00.0,,,58-59,2,C. Lee makes 2-pt shot from 5 ft
8:41.0,Toronto full timeout,,58-59,,
8:39.0,K. Lowry misses 3-pt shot from 26 ft,,58-59,,
8:37.0,Offensive rebound by J. Valanciunas,,58-59,,
8:21.0,Turnover by D. DeRozan (bad pass; steal by C. Lee),,58-59,,
8:12.0,,,58-59,,R. Baker misses 3-pt shot from 24 ft
8:11.0,Defensive rebound by Team,,58-59,,
8:11.0,,,58-59,,Loose ball foul by W. Hernangomez (drawn by J. Valanciunas)
7:56.0,Shooting foul by M. Ndour (drawn by S. Ibaka),,58-59,,
7:56.0,S. Ibaka makes free throw 1 of 2,1,59-59,,
7:56.0,S. Ibaka misses free throw 2 of 2,,59-59,,
7:56.0,,,59-59,,Defensive rebound by W. Hernangomez
7:37.0,,,59-59,,M. Ndour misses 2-pt shot from 13 ft
7:35.0,,,59-59,,Offensive rebound by W. Hernangomez
7:25.0,,,59-61,2,C. Lee makes 2-pt shot from 5 ft
7:08.0,Jump ball: R. Baker vs. K. Lowry,,,,Jump ball: R. Baker vs. K. Lowry
7:04.0,Shooting foul by C. Lee (drawn by D. DeRozan),,59-61,,
7:04.0,D. DeRozan misses free throw 1 of 2,,59-61,,
7:04.0,Offensive rebound by Team,,59-61,,
7:04.0,D. DeRozan makes free throw 2 of 2,1,60-61,,
6:47.0,,,60-61,,R. Baker misses 2-pt shot from 5 ft
6:45.0,,,60-61,,Offensive rebound by W. Hernangomez
6:41.0,,,60-61,,Turnover by W. Hernangomez (lost ball; steal by K. Lowry)
6:39.0,Turnover by K. Lowry (bad pass),,60-61,,
6:16.0,,,60-63,2,C. Lee makes 2-pt shot from 16 ft (assist by J. Holiday)
6:01.0,Shooting foul by W. Hernangomez (drawn by D. DeRozan),,60-63,,
6:01.0,D. DeRozan makes free throw 1 of 2,1,61-63,,
6:01.0,D. DeRozan makes free throw 2 of 2,1,62-63,,
5:47.0,,,62-63,,J. Holiday misses 2-pt shot from 15 ft
5:45.0,Defensive rebound by J. Valanciunas,,62-63,,
5:39.0,D. Carroll misses 3-pt shot from 25 ft,,62-63,,
5:37.0,,,62-63,,Defensive rebound by R. Baker
5:30.0,,,62-63,,J. Holiday misses 3-pt shot from 24 ft
5:28.0,Defensive rebound by S. Ibaka,,62-63,,
5:04.0,Turnover by Team (shot clock),,62-63,,
4:54.0,,,62-65,2,M. Ndour makes 2-pt shot from 2 ft (assist by J. Holiday)
4:33.0,Turnover by D. DeRozan (lost ball; steal by R. Baker),,62-65,,
4:29.0,,,62-67,2,R. Baker makes 2-pt shot at rim (assist by W. Hernangomez)
4:27.0,Toronto full timeout,,62-67,,
4:27.0,P. Patterson enters the game for D. Carroll,,62-67,,
4:27.0,P. Tucker enters the game for J. Valanciunas,,62-67,,
4:27.0,,,62-67,,M. Kuzminskas enters the game for M. Ndour
4:27.0,,,62-67,,S. Vujacic enters the game for C. Lee
4:16.0,D. DeRozan misses 2-pt shot from 5 ft,,62-67,,
4:13.0,,,62-67,,Defensive rebound by Team
4:13.0,Loose ball foul by P. Tucker,,62-67,,
3:54.0,,,62-67,,W. Hernangomez misses 2-pt shot from 8 ft
3:52.0,Defensive rebound by D. DeRozan,,62-67,,
3:48.0,Shooting foul by W. Hernangomez (drawn by D. DeRozan),,62-67,,
3:48.0,D. DeRozan makes free throw 1 of 2,1,63-67,,
3:48.0,D. DeRozan makes free throw 2 of 2,1,64-67,,
3:29.0,,,64-69,2,R. Baker makes 2-pt shot from 12 ft
3:09.0,Shooting foul by R. Baker (drawn by K. Lowry),,64-69,,
3:09.0,K. Lowry makes free throw 1 of 3,1,65-69,,
3:09.0,K. Lowry makes free throw 2 of 3,1,66-69,,
3:09.0,K. Lowry makes free throw 3 of 3,1,67-69,,
2:51.0,,,67-71,2,W. Hernangomez makes 2-pt shot from 22 ft (assist by S. Vujacic)
2:40.0,S. Ibaka misses 3-pt shot from 25 ft,,67-71,,
2:39.0,,,67-71,,Defensive rebound by S. Vujacic
2:35.0,,,67-73,2,M. Kuzminskas makes 2-pt shot from 1 ft (assist by S. Vujacic)
2:17.0,K. Lowry makes 3-pt shot from 27 ft,3,70-73,,
2:15.0,,,70-73,,New York full timeout
2:15.0,C. Joseph enters the game for S. Ibaka,,70-73,,
2:15.0,J. Poeltl enters the game for K. Lowry,,70-73,,
1:54.0,,,70-73,,J. Holiday misses 2-pt shot from 1 ft
1:52.0,Defensive rebound by J. Poeltl,,70-73,,
1:41.0,P. Patterson makes 2-pt shot from 1 ft,2,72-73,,
1:26.0,,,72-73,,R. Baker misses 3-pt shot from 25 ft
1:24.0,,,72-73,,Offensive rebound by S. Vujacic
1:10.0,,,72-73,,W. Hernangomez misses 2-pt shot from 2 ft
1:09.0,Defensive rebound by J. Poeltl,,72-73,,
1:04.0,D. DeRozan makes 2-pt shot from 2 ft,2,74-73,,
0:42.0,,,74-73,,C. Randle enters the game for R. Baker
0:42.0,,,74-73,,K. O'Quinn enters the game for W. Hernangomez
0:41.0,,,74-75,2,M. Kuzminskas makes 2-pt shot from 2 ft (assist by J. Holiday)
0:25.0,D. DeRozan makes 2-pt shot from 1 ft,2,76-75,,
0:08.0,Personal foul by C. Joseph (drawn by C. Randle),,76-75,,
0:02.0,,,76-75,,J. Holiday misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by P. Tucker,,76-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,J. Poeltl makes 2-pt shot from 2 ft (assist by K. Lowry),2,78-75,,
11:24.0,Personal foul by J. Poeltl (drawn by K. O'Quinn),,78-75,,
11:24.0,,,78-75,,C. Lee enters the game for J. Holiday
11:13.0,,,78-75,,C. Lee misses 3-pt shot from 25 ft
11:11.0,Defensive rebound by P. Patterson,,78-75,,
10:56.0,K. Lowry makes 3-pt shot from 24 ft,3,81-75,,
10:36.0,,,81-75,,Shooting foul by C. Joseph (drawn by C. Randle)
10:36.0,,,81-76,1,C. Randle makes free throw 1 of 2
10:36.0,,,81-77,1,C. Randle makes free throw 2 of 2
10:14.0,P. Patterson makes 3-pt shot from 23 ft (assist by C. Joseph),3,84-77,,
9:52.0,,,84-77,,C. Randle misses 3-pt shot from 25 ft
9:50.0,Defensive rebound by K. Lowry,,84-77,,
9:37.0,C. Joseph misses 2-pt shot from 18 ft,,84-77,,
9:35.0,,,84-77,,Defensive rebound by K. O'Quinn
9:26.0,,,84-80,3,M. Kuzminskas makes 3-pt shot from 25 ft (assist by C. Lee)
9:00.0,J. Poeltl makes 2-pt shot from 2 ft,2,86-80,,
8:39.0,,,86-80,,M. Kuzminskas misses 3-pt shot from 22 ft
8:37.0,Defensive rebound by J. Poeltl,,86-80,,
8:30.0,C. Joseph makes 2-pt shot from 3 ft (assist by K. Lowry),2,88-80,,
8:29.0,,,88-80,,New York full timeout
8:29.0,Official timeout,,88-80,,
8:29.0,,,88-80,,W. Hernangomez enters the game for M. Kuzminskas
8:29.0,,,88-80,,R. Baker enters the game for S. Vujacic
8:07.0,,,88-82,2,K. O'Quinn makes 2-pt shot from 16 ft
7:44.0,P. Patterson makes 2-pt shot at rim (assist by P. Tucker),2,90-82,,
7:23.0,Personal foul by J. Poeltl (drawn by C. Lee),,90-82,,
7:11.0,,,90-82,,C. Randle misses 3-pt shot from 25 ft
7:09.0,Defensive rebound by J. Poeltl,,90-82,,
7:04.0,Turnover by K. Lowry (bad pass),,90-82,,
6:48.0,,,90-82,,Turnover by K. O'Quinn (lost ball; steal by K. Lowry)
6:44.0,Shooting foul by C. Lee,,90-82,,
6:44.0,P. Tucker makes free throw 1 of 2,1,91-82,,
6:44.0,P. Tucker makes free throw 2 of 2,1,92-82,,
6:44.0,,,91-82,,J. Holiday enters the game for C. Randle
6:23.0,,,92-82,,W. Hernangomez misses 2-pt shot from 4 ft
6:21.0,Defensive rebound by J. Poeltl,,92-82,,
6:08.0,P. Tucker makes 3-pt shot from 24 ft (assist by C. Joseph),3,95-82,,
5:44.0,,,95-82,,Turnover by W. Hernangomez (bad pass; steal by P. Patterson)
5:37.0,P. Patterson makes 3-pt shot from 25 ft (assist by K. Lowry),3,98-82,,
5:36.0,,,98-82,,New York full timeout
5:36.0,,,98-82,,M. Ndour enters the game for K. O'Quinn
5:14.0,,,98-82,,M. Ndour misses 2-pt shot from 12 ft
5:11.0,Defensive rebound by K. Lowry,,98-82,,
5:05.0,,,98-82,,Violation by W. Hernangomez (def goaltending)
5:05.0,J. Poeltl makes 2-pt shot from 1 ft (assist by K. Lowry),2,100-82,,
4:53.0,,,100-82,,J. Holiday misses 2-pt shot from 8 ft
4:52.0,Defensive rebound by K. Lowry,,100-82,,
4:48.0,,,100-82,,Personal foul by J. Holiday (drawn by K. Lowry)
4:37.0,Turnover by C. Joseph (bad pass; steal by W. Hernangomez),,100-82,,
4:16.0,,,100-82,,W. Hernangomez misses 2-pt shot from 2 ft
4:14.0,Defensive rebound by K. Lowry,,100-82,,
4:08.0,P. Patterson misses 3-pt shot from 23 ft,,100-82,,
4:06.0,,,100-82,,Defensive rebound by W. Hernangomez
4:00.0,,,100-82,,Shooting foul by P. Tucker (drawn by M. Ndour)
4:00.0,,,100-83,1,M. Ndour makes free throw 1 of 2
4:00.0,,,100-84,1,M. Ndour makes free throw 2 of 2
3:43.0,K. Lowry misses 3-pt shot from 26 ft,,100-84,,
3:41.0,,,100-84,,Defensive rebound by W. Hernangomez
3:30.0,,,100-84,,W. Hernangomez misses 2-pt shot from 3 ft
3:29.0,Defensive rebound by J. Poeltl,,100-84,,
3:27.0,Turnover by J. Poeltl (bad pass; steal by W. Hernangomez),,100-84,,
3:23.0,,,100-87,3,C. Lee makes 3-pt shot from 24 ft (assist by W. Hernangomez)
3:03.0,K. Lowry misses 3-pt shot from 25 ft,,100-87,,
3:01.0,Offensive rebound by Team,,100-87,,
3:01.0,,,100-87,,M. Plumlee enters the game for W. Hernangomez
3:01.0,Toronto full timeout,,100-87,,
2:55.0,K. Lowry makes 3-pt shot from 25 ft (assist by P. Patterson),3,103-87,,
2:32.0,,,103-90,3,C. Lee makes 3-pt shot from 25 ft (assist by R. Baker)
2:08.0,C. Joseph misses 3-pt shot from 24 ft,,103-90,,
2:06.0,,,103-90,,Defensive rebound by R. Baker
2:00.0,,,103-92,2,M. Plumlee makes 2-pt shot from 3 ft (assist by R. Baker)
1:43.0,P. Patterson makes 2-pt shot from 13 ft (assist by K. Lowry),2,105-92,,
1:27.0,,,105-92,,Turnover by C. Lee (bad pass)
1:27.0,D. Wright enters the game for K. Lowry,,105-92,,
1:27.0,N. Powell enters the game for P. Tucker,,105-92,,
1:27.0,,,105-92,,M. Kuzminskas enters the game for C. Lee
1:18.0,F. VanVleet enters the game for N. Powell,,105-92,,
1:09.0,P. Patterson makes 3-pt shot from 24 ft (assist by F. VanVleet),3,108-92,,
0:54.0,,,108-95,3,J. Holiday makes 3-pt shot from 25 ft (assist by M. Ndour)
0:48.0,,,108-95,,Personal foul by R. Baker (drawn by F. VanVleet)
0:32.0,D. Wright misses 3-pt shot from 26 ft,,108-95,,
0:31.0,Offensive rebound by J. Poeltl,,108-95,,
0:29.0,J. Poeltl makes 2-pt shot from 1 ft,2,110-95,,
0:19.0,,,110-97,2,R. Baker makes 2-pt shot from 23 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
