time,Cleveland,pts.away,score,pts.home,Boston
4:45.0,,,19-10,,J. Crowder misses 3-pt shot from 25 ft
4:44.0,Defensive rebound by K. Irving,,19-10,,
4:39.0,K. Irving makes 2-pt shot from 2 ft,2,21-10,,
4:22.0,,,21-10,,Boston full timeout
4:22.0,,,21-10,,M. Smart enters the game for G. Green
4:11.0,,,21-10,,I. Thomas misses 3-pt shot from 25 ft
4:10.0,Defensive rebound by J. Smith,,21-10,,
4:00.0,L. James misses 2-pt shot from 2 ft,,21-10,,
3:58.0,,,21-10,,Defensive rebound by A. Horford
3:47.0,,,21-10,,A. Bradley misses 3-pt shot from 26 ft
3:46.0,Defensive rebound by J. Smith,,21-10,,
3:38.0,Shooting foul by J. Crowder (drawn by K. Love),,21-10,,
3:38.0,K. Love makes free throw 1 of 2,1,22-10,,
3:38.0,K. Love makes free throw 2 of 2,1,23-10,,
3:38.0,,,22-10,,J. Brown enters the game for J. Crowder
3:38.0,,,22-10,,K. Olynyk enters the game for I. Thomas
3:26.0,,,23-10,,Shooting foul by L. James (drawn by M. Smart)
3:26.0,,,23-11,1,M. Smart makes free throw 1 of 2
3:26.0,,,23-12,1,M. Smart makes free throw 2 of 2
3:26.0,K. Korver enters the game for K. Love,,23-11,,
3:14.0,Turnover by K. Irving (bad pass; steal by K. Olynyk),,23-12,,
3:09.0,,,23-12,,A. Bradley misses 2-pt shot from 3 ft (block by L. James)
3:08.0,,,23-12,,Offensive rebound by J. Brown
3:08.0,,,23-12,,Offensive foul by J. Brown
3:08.0,,,23-12,,Turnover by J. Brown (offensive foul)
2:55.0,T. Thompson makes 2-pt shot at rim (assist by L. James),2,25-12,,
2:40.0,,,25-14,2,A. Bradley makes 2-pt shot from 22 ft (assist by A. Horford)
2:24.0,,,25-14,,Personal foul by J. Brown (drawn by K. Irving)
2:10.0,L. James makes 2-pt shot from 22 ft,2,27-14,,
1:54.0,,,27-16,2,J. Brown makes 2-pt shot from 11 ft (assist by M. Smart)
1:37.0,K. Korver makes 3-pt shot from 25 ft (assist by L. James),3,30-16,,
1:25.0,Personal foul by K. Korver (drawn by J. Brown),,30-16,,
1:25.0,R. Jefferson enters the game for L. James,,30-16,,
1:25.0,I. Shumpert enters the game for J. Smith,,30-16,,
1:25.0,,,30-16,,T. Rozier enters the game for A. Horford
1:17.0,,,30-18,2,A. Bradley makes 2-pt shot from 1 ft (assist by M. Smart)
1:00.0,K. Irving misses 3-pt shot from 25 ft,,30-18,,
1:00.0,,,30-18,,Defensive rebound by T. Rozier
0:51.0,,,30-18,,Turnover by K. Olynyk (lost ball; steal by I. Shumpert)
0:44.0,K. Irving makes 2-pt shot from 2 ft,2,32-18,,
0:27.0,,,32-18,,K. Olynyk misses 2-pt shot from 4 ft
0:25.0,Defensive rebound by K. Korver,,32-18,,
0:02.0,K. Irving misses 3-pt shot from 26 ft,,32-18,,
0:02.0,,,32-18,,Defensive rebound by A. Bradley
0:01.0,,,32-18,,A. Bradley misses 3-pt shot from 53 ft
0:00.0,,,32-18,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Shooting foul by K. Olynyk (drawn by R. Jefferson),,32-18,,
11:49.0,R. Jefferson misses free throw 1 of 2,,32-18,,
11:49.0,Offensive rebound by Team,,32-18,,
11:49.0,R. Jefferson makes free throw 2 of 2,1,33-18,,
11:37.0,,,33-18,,M. Smart misses 2-pt shot from 3 ft (block by R. Jefferson)
11:36.0,,,33-18,,Offensive rebound by Team
11:36.0,,,33-18,,J. Crowder enters the game for K. Olynyk
11:25.0,,,33-18,,Turnover by J. Crowder (lost ball; steal by D. Williams)
11:08.0,K. Korver misses 3-pt shot from 23 ft,,33-18,,
11:07.0,,,33-18,,Defensive rebound by J. Crowder
11:00.0,,,33-18,,I. Thomas misses 2-pt shot from 3 ft
10:59.0,,,33-18,,Offensive rebound by M. Smart
10:58.0,,,33-18,,Turnover by M. Smart (step out of bounds)
10:48.0,L. James makes 2-pt shot from 5 ft,2,35-18,,
10:48.0,Shooting foul by J. Brown (drawn by L. James),,35-18,,
10:48.0,,,35-18,,Technical foul by I. Thomas
10:48.0,K. Korver makes technical free throw,1,36-18,,
10:48.0,L. James makes free throw 1 of 1,1,37-18,,
10:48.0,,,36-18,,A. Horford enters the game for J. Brown
10:37.0,,,37-18,,Technical foul by Team
10:37.0,K. Korver makes technical free throw,1,38-18,,
10:27.0,,,38-18,,M. Smart misses 2-pt shot from 3 ft
10:26.0,Defensive rebound by L. James,,38-18,,
10:16.0,K. Korver misses 3-pt shot from 24 ft,,38-18,,
10:15.0,,,38-18,,Defensive rebound by J. Crowder
10:05.0,,,38-20,2,J. Crowder makes 2-pt shot from 2 ft (assist by I. Thomas)
9:40.0,K. Korver misses 3-pt shot from 23 ft,,38-20,,
9:38.0,Offensive rebound by R. Jefferson,,38-20,,
9:35.0,Turnover by R. Jefferson (lost ball; steal by J. Crowder),,38-20,,
9:32.0,,,38-20,,Turnover by T. Rozier (back court)
9:32.0,Cleveland full timeout,,38-20,,
9:32.0,,,38-20,,A. Bradley enters the game for T. Rozier
9:21.0,L. James misses 2-pt shot from 3 ft (block by A. Horford),,38-20,,
9:19.0,,,38-20,,Defensive rebound by I. Thomas
9:12.0,,,38-20,,A. Bradley misses 2-pt shot from 2 ft (block by L. James)
9:11.0,Defensive rebound by I. Shumpert,,38-20,,
9:01.0,L. James makes 2-pt shot from 2 ft (assist by D. Williams),2,40-20,,
8:42.0,,,40-20,,I. Thomas misses 2-pt shot from 5 ft
8:41.0,Defensive rebound by I. Shumpert,,40-20,,
8:17.0,L. James makes 2-pt shot from 21 ft,2,42-20,,
8:00.0,,,42-20,,Turnover by M. Smart (bad pass; steal by L. James)
7:59.0,,,42-20,,Personal foul by M. Smart (drawn by L. James)
7:59.0,K. Love enters the game for R. Jefferson,,42-20,,
7:46.0,L. James makes 3-pt shot from 23 ft (assist by K. Love),3,45-20,,
7:29.0,,,45-20,,Shooting foul by D. Williams (drawn by J. Crowder)
7:29.0,,,45-21,1,J. Crowder makes free throw 1 of 2
7:29.0,,,45-22,1,J. Crowder makes free throw 2 of 2
7:29.0,,,45-21,,J. Jerebko enters the game for M. Smart
7:29.0,K. Irving enters the game for K. Korver,,45-21,,
7:16.0,K. Love makes 2-pt shot from 5 ft (assist by D. Williams),2,47-22,,
7:04.0,,,47-22,,J. Crowder misses 2-pt shot from 22 ft
7:03.0,Defensive rebound by K. Love,,47-22,,
6:53.0,I. Shumpert makes 3-pt shot from 23 ft (assist by D. Williams),3,50-22,,
6:53.0,,,50-22,,Boston full timeout
6:35.0,,,50-22,,J. Jerebko misses 2-pt shot from 5 ft
6:34.0,Defensive rebound by I. Shumpert,,50-22,,
6:28.0,L. James makes 3-pt shot from 26 ft (assist by I. Shumpert),3,53-22,,
6:16.0,,,53-22,,A. Bradley misses 2-pt shot from 3 ft
6:15.0,,,53-22,,Offensive rebound by Team
6:15.0,Loose ball foul by K. Love (drawn by J. Jerebko),,53-22,,
6:15.0,,,53-22,,G. Green enters the game for I. Thomas
6:15.0,,,53-22,,M. Smart enters the game for J. Crowder
6:08.0,,,53-24,2,A. Bradley makes 2-pt shot from 3 ft (assist by M. Smart)
5:42.0,L. James misses 2-pt shot from 19 ft,,53-24,,
5:42.0,Offensive rebound by I. Shumpert,,53-24,,
5:38.0,K. Irving makes 3-pt shot from 29 ft (assist by I. Shumpert),3,56-24,,
5:24.0,,,56-24,,Turnover by A. Horford (bad pass)
5:24.0,J. Smith enters the game for I. Shumpert,,56-24,,
5:04.0,D. Williams misses 3-pt shot from 26 ft,,56-24,,
5:03.0,,,56-24,,Defensive rebound by M. Smart
4:54.0,,,56-24,,A. Horford misses 2-pt shot from 17 ft
4:52.0,,,56-24,,Offensive rebound by A. Bradley
4:52.0,,,56-24,,A. Bradley misses 2-pt shot from 2 ft
4:51.0,Defensive rebound by D. Williams,,56-24,,
4:45.0,K. Love makes 3-pt shot from 23 ft (assist by D. Williams),3,59-24,,
4:28.0,,,59-24,,Turnover by G. Green (bad pass)
4:06.0,L. James misses 2-pt shot from 10 ft,,59-24,,
4:05.0,,,59-24,,Defensive rebound by A. Horford
3:59.0,,,59-24,,A. Bradley misses 3-pt shot from 26 ft
3:58.0,Defensive rebound by D. Williams,,59-24,,
3:51.0,K. Love makes 2-pt shot at rim (assist by K. Irving),2,61-24,,
3:51.0,,,61-24,,Boston full timeout
3:51.0,,,61-24,,K. Olynyk enters the game for G. Green
3:51.0,,,61-24,,J. Brown enters the game for A. Horford
3:35.0,,,61-24,,J. Jerebko misses 3-pt shot from 25 ft
3:34.0,Defensive rebound by K. Love,,61-24,,
3:28.0,L. James makes 2-pt shot from 2 ft,2,63-24,,
3:28.0,Shooting foul by J. Brown (drawn by L. James),,63-24,,
3:28.0,L. James misses free throw 1 of 1,,63-24,,
3:28.0,,,63-24,,I. Thomas enters the game for J. Jerebko
3:27.0,,,63-24,,Defensive rebound by M. Smart
3:21.0,Personal block foul by D. Williams (drawn by I. Thomas),,63-24,,
3:21.0,T. Thompson enters the game for D. Williams,,63-24,,
3:13.0,,,63-26,2,J. Brown makes 2-pt shot from 1 ft (assist by I. Thomas)
2:59.0,K. Love makes 3-pt shot from 27 ft (assist by L. James),3,66-26,,
2:49.0,,,66-29,3,A. Bradley makes 3-pt shot from 25 ft (assist by I. Thomas)
2:36.0,,,66-29,,Personal foul by A. Bradley (drawn by K. Irving)
2:36.0,Official timeout,,66-29,,
2:36.0,K. Irving makes free throw 1 of 2,1,67-29,,
2:36.0,K. Irving makes free throw 2 of 2,1,68-29,,
2:25.0,,,68-29,,Turnover by J. Brown (bad pass; steal by K. Love)
2:05.0,K. Love misses 3-pt shot from 23 ft,,68-29,,
2:04.0,,,68-29,,Defensive rebound by Team
1:45.0,,,68-29,,K. Olynyk misses 3-pt shot from 25 ft
1:43.0,Defensive rebound by L. James,,68-29,,
1:34.0,K. Love misses 3-pt shot from 27 ft,,68-29,,
1:33.0,,,68-29,,Defensive rebound by I. Thomas
1:21.0,,,68-29,,A. Bradley misses 2-pt shot from 20 ft
1:20.0,Defensive rebound by K. Love,,68-29,,
1:00.0,L. James makes 2-pt shot from 3 ft,2,70-29,,
0:50.0,,,70-31,2,J. Brown makes 2-pt shot from 2 ft (assist by I. Thomas)
0:32.0,Offensive foul by K. Irving,,70-31,,
0:32.0,Turnover by K. Irving (offensive foul),,70-31,,
0:09.0,,,70-31,,I. Thomas misses 3-pt shot from 25 ft
0:08.0,,,70-31,,Offensive rebound by Team
0:08.0,,,70-31,,Turnover by Team (shot clock)
0:08.0,K. Korver enters the game for T. Thompson,,70-31,,
0:02.0,K. Love misses 3-pt shot from 24 ft,,70-31,,
0:01.0,Offensive rebound by J. Smith,,70-31,,
0:01.0,J. Smith makes 2-pt shot from 16 ft,2,72-31,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:56.0,Turnover by L. James (lost ball),,72-31,,
11:41.0,,,72-31,,Offensive foul by A. Johnson
11:41.0,,,72-31,,Turnover by A. Johnson (offensive foul)
11:15.0,L. James makes 3-pt shot from 26 ft,3,75-31,,
11:00.0,,,75-34,3,J. Crowder makes 3-pt shot from 25 ft (assist by A. Johnson)
10:42.0,T. Thompson makes 2-pt shot from 5 ft (assist by L. James),2,77-34,,
10:29.0,,,77-34,,M. Smart misses 2-pt shot from 2 ft
10:29.0,,,77-34,,Offensive rebound by M. Smart
10:29.0,,,77-34,,Shooting foul by T. Thompson (drawn by M. Smart)
10:29.0,,,77-35,1,M. Smart makes free throw 1 of 2
10:29.0,,,77-36,1,M. Smart makes free throw 2 of 2
10:08.0,K. Love misses 2-pt shot from 3 ft (block by M. Smart),,77-36,,
10:07.0,,,77-36,,Defensive rebound by M. Smart
10:04.0,,,77-36,,A. Johnson misses 2-pt shot from 2 ft (block by K. Irving)
10:03.0,,,77-36,,Offensive rebound by Team
9:56.0,,,77-39,3,A. Horford makes 3-pt shot from 23 ft (assist by M. Smart)
9:42.0,,,77-39,,Personal foul by M. Smart (drawn by T. Thompson)
9:36.0,Shooting foul by A. Bradley (drawn by K. Love),,77-39,,
9:36.0,K. Love misses free throw 1 of 2,,77-39,,
9:36.0,Offensive rebound by Team,,77-39,,
9:36.0,K. Love makes free throw 2 of 2,1,78-39,,
9:27.0,,,78-39,,Turnover by M. Smart (lost ball; steal by K. Irving)
9:22.0,T. Thompson makes 2-pt shot at rim (assist by K. Irving),2,80-39,,
9:13.0,,,80-41,2,A. Horford makes 2-pt shot from 4 ft (assist by M. Smart)
9:13.0,,,80-41,,Shooting foul by K. Irving (drawn by A. Horford)
9:13.0,,,80-42,1,A. Horford makes free throw 1 of 1
8:48.0,L. James makes 3-pt shot from 26 ft,3,83-42,,
8:32.0,,,83-42,,Turnover by A. Horford (bad pass; steal by L. James)
8:27.0,L. James misses 3-pt shot from 26 ft,,83-42,,
8:26.0,Offensive rebound by K. Love,,83-42,,
8:22.0,K. Love misses 3-pt shot from 26 ft,,83-42,,
8:21.0,,,83-42,,Defensive rebound by A. Johnson
8:10.0,,,83-42,,M. Smart misses 2-pt shot from 23 ft
8:09.0,Defensive rebound by K. Love,,83-42,,
8:04.0,Shooting foul by M. Smart (drawn by K. Irving),,83-42,,
8:04.0,K. Irving makes free throw 1 of 2,1,84-42,,
8:04.0,K. Irving misses free throw 2 of 2,,84-42,,
8:04.0,,,84-42,,Defensive rebound by A. Johnson
7:47.0,,,84-42,,J. Crowder misses 3-pt shot from 26 ft
7:46.0,,,84-42,,Offensive rebound by A. Bradley
7:42.0,,,84-42,,A. Horford misses 3-pt shot from 25 ft
7:41.0,Defensive rebound by K. Love,,84-42,,
7:31.0,L. James makes 2-pt shot from 2 ft,2,86-42,,
7:21.0,,,86-42,,M. Smart misses 3-pt shot from 25 ft
7:20.0,Defensive rebound by J. Smith,,86-42,,
7:13.0,Turnover by K. Irving (bad pass; steal by M. Smart),,86-42,,
7:04.0,,,86-42,,J. Crowder misses 2-pt shot from 10 ft
7:03.0,Defensive rebound by K. Love,,86-42,,
7:03.0,Cleveland full timeout,,86-42,,
6:54.0,Turnover by K. Irving (bad pass; steal by A. Johnson),,86-42,,
6:30.0,,,86-44,2,A. Bradley makes 2-pt shot from 2 ft (assist by A. Horford)
6:09.0,K. Love makes 2-pt shot from 11 ft,2,88-44,,
5:52.0,,,88-44,,M. Smart misses 2-pt shot from 2 ft
5:51.0,Defensive rebound by Team,,88-44,,
5:51.0,,,88-44,,Loose ball foul by M. Smart (drawn by K. Love)
5:27.0,J. Smith misses 2-pt shot from 4 ft,,88-44,,
5:26.0,Offensive rebound by T. Thompson,,88-44,,
5:23.0,T. Thompson misses 2-pt shot from 2 ft,,88-44,,
5:22.0,,,88-44,,Defensive rebound by J. Crowder
4:59.0,,,88-46,2,A. Bradley makes 2-pt shot from 7 ft
4:41.0,K. Irving makes 2-pt shot from 19 ft (assist by T. Thompson),2,90-46,,
4:19.0,,,90-48,2,A. Johnson makes 2-pt shot from 5 ft (assist by M. Smart)
3:56.0,J. Smith makes 2-pt shot from 14 ft,2,92-48,,
3:43.0,,,92-51,3,A. Horford makes 3-pt shot from 25 ft
3:30.0,Shooting foul by A. Horford (drawn by T. Thompson),,92-51,,
3:30.0,T. Thompson makes free throw 1 of 2,1,93-51,,
3:30.0,T. Thompson misses free throw 2 of 2,,93-51,,
3:30.0,,,93-51,,Defensive rebound by A. Horford
3:16.0,,,93-51,,Turnover by A. Horford (bad pass; steal by L. James)
3:12.0,Turnover by T. Thompson (bad pass; steal by A. Johnson),,93-51,,
3:05.0,,,93-53,2,A. Horford makes 2-pt shot from 2 ft (assist by M. Smart)
3:05.0,,,93-53,,Shooting foul by K. Love (drawn by A. Horford)
3:05.0,,,93-53,,A. Horford misses free throw 1 of 1
3:05.0,,,93-53,,J. Brown enters the game for J. Crowder
3:03.0,Defensive rebound by Team,,93-53,,
2:41.0,K. Irving makes 3-pt shot from 24 ft,3,96-53,,
2:26.0,,,96-53,,A. Bradley misses 2-pt shot from 20 ft
2:25.0,Defensive rebound by L. James,,96-53,,
2:14.0,,,96-53,,Boston full timeout
2:14.0,,,96-53,,T. Rozier enters the game for A. Horford
2:14.0,,,96-53,,T. Zeller enters the game for M. Smart
2:04.0,K. Irving makes 3-pt shot from 25 ft,3,99-53,,
1:47.0,C. Frye enters the game for L. James,,99-53,,
1:47.0,R. Jefferson enters the game for K. Love,,99-53,,
1:47.0,D. Williams enters the game for T. Thompson,,99-53,,
1:47.0,I. Shumpert enters the game for J. Smith,,99-53,,
1:47.0,K. Korver enters the game for K. Irving,,99-53,,
1:41.0,,,99-53,,A. Johnson misses 2-pt shot from 2 ft
1:40.0,,,99-53,,Offensive rebound by Team
1:40.0,Loose ball foul by C. Frye (drawn by A. Johnson),,99-53,,
1:40.0,,,99-53,,G. Green enters the game for A. Bradley
1:26.0,,,99-53,,G. Green misses 3-pt shot from 23 ft
1:24.0,Defensive rebound by R. Jefferson,,99-53,,
1:14.0,K. Korver makes 3-pt shot from 23 ft (assist by D. Williams),3,102-53,,
1:02.0,,,102-53,,T. Zeller misses 2-pt shot from 20 ft
1:01.0,,,102-53,,Offensive rebound by A. Johnson
0:58.0,,,102-53,,A. Johnson misses 2-pt shot from 4 ft (block by R. Jefferson)
0:58.0,Jump ball: R. Jefferson vs. A. Johnson (T. Rozier gains possession),,,,Jump ball: R. Jefferson vs. A. Johnson (T. Rozier gains possession)
0:58.0,,,102-53,,Offensive rebound by Team
0:50.0,,,102-53,,T. Rozier misses 2-pt shot from 19 ft
0:50.0,Defensive rebound by R. Jefferson,,102-53,,
0:35.0,R. Jefferson misses 2-pt shot from 1 ft (block by T. Zeller),,102-53,,
0:34.0,Offensive rebound by R. Jefferson,,102-53,,
0:29.0,C. Frye misses 3-pt shot from 26 ft,,102-53,,
0:28.0,,,102-53,,Defensive rebound by T. Zeller
0:21.0,,,102-55,2,J. Brown makes 2-pt shot from 20 ft
0:15.0,,,102-55,,Personal foul by J. Brown (drawn by I. Shumpert)
0:15.0,I. Shumpert misses free throw 1 of 2,,102-55,,
0:15.0,Offensive rebound by Team,,102-55,,
0:15.0,I. Shumpert makes free throw 2 of 2,1,103-55,,
0:08.0,Personal foul by I. Shumpert (drawn by J. Brown),,103-55,,
0:08.0,,,103-56,1,J. Brown makes free throw 1 of 2
0:08.0,,,103-57,1,J. Brown makes free throw 2 of 2
0:08.0,,,103-56,,J. Jerebko enters the game for A. Johnson
0:00.0,R. Jefferson misses 3-pt shot from 25 ft,,103-57,,
0:00.0,Offensive rebound by Team,,103-57,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,103-57,,Offensive foul by T. Zeller
11:47.0,,,103-57,,Turnover by T. Zeller (offensive foul)
11:36.0,C. Frye misses 2-pt shot from 23 ft,,103-57,,
11:34.0,,,103-57,,Defensive rebound by J. Brown
11:22.0,,,103-60,3,T. Rozier makes 3-pt shot from 25 ft (assist by J. Jerebko)
11:06.0,I. Shumpert makes 3-pt shot from 23 ft (assist by C. Frye),3,106-60,,
10:46.0,,,106-60,,G. Green misses 2-pt shot from 15 ft
10:45.0,Defensive rebound by I. Shumpert,,106-60,,
10:30.0,C. Frye makes 2-pt shot from 2 ft (assist by I. Shumpert),2,108-60,,
10:08.0,,,108-60,,J. Brown misses 2-pt shot from 16 ft
10:07.0,Defensive rebound by D. Williams,,108-60,,
9:59.0,D. Williams makes 2-pt shot from 2 ft,2,110-60,,
9:42.0,,,110-60,,Turnover by J. Brown (bad pass; steal by I. Shumpert)
9:33.0,Turnover by I. Shumpert (bad pass; steal by J. Brown),,110-60,,
9:30.0,,,110-60,,Shooting foul by I. Shumpert (drawn by J. Brown)
9:30.0,,,110-61,1,J. Brown makes free throw 1 of 2
9:30.0,,,110-62,1,J. Brown makes free throw 2 of 2
9:30.0,J. Jones enters the game for K. Korver,,110-61,,
9:30.0,D. Williams enters the game for I. Shumpert,,110-61,,
9:30.0,,,110-61,,J. Mickey enters the game for G. Green
9:13.0,C. Frye makes 2-pt shot from 21 ft (assist by D. Williams),2,112-62,,
8:56.0,,,112-62,,J. Brown misses 2-pt shot from 3 ft
8:54.0,,,112-62,,Offensive rebound by T. Zeller
8:53.0,,,112-64,2,T. Zeller makes 2-pt shot from 2 ft
8:40.0,Turnover by C. Frye (bad pass; steal by J. Brown),,112-64,,
8:36.0,,,112-66,2,J. Brown makes 2-pt shot from 3 ft
8:24.0,Offensive foul by J. Jones,,112-66,,
8:24.0,Turnover by J. Jones (offensive foul),,112-66,,
8:24.0,Official timeout,,112-66,,
8:16.0,Personal foul by J. Jones (drawn by J. Mickey),,112-66,,
8:12.0,,,112-66,,Turnover by T. Rozier (lost ball; steal by D. Williams)
8:06.0,D. Williams makes 2-pt shot from 19 ft (assist by D. Williams),2,114-66,,
7:50.0,,,114-69,3,T. Rozier makes 3-pt shot from 24 ft (assist by J. Jerebko)
7:24.0,D. Williams misses 2-pt shot from 5 ft,,114-69,,
7:23.0,,,114-69,,Defensive rebound by J. Mickey
7:10.0,,,114-69,,T. Rozier misses 3-pt shot from 25 ft
7:09.0,,,114-69,,Offensive rebound by T. Zeller
7:08.0,,,114-71,2,T. Zeller makes 2-pt shot from 2 ft
6:47.0,D. Williams misses 3-pt shot from 25 ft,,114-71,,
6:46.0,,,114-71,,Defensive rebound by J. Mickey
6:39.0,,,114-71,,Turnover by T. Rozier (bad pass)
6:32.0,R. Jefferson misses 3-pt shot from 24 ft,,114-71,,
6:31.0,,,114-71,,Defensive rebound by J. Mickey
6:17.0,,,114-71,,J. Mickey misses 2-pt shot from 6 ft
6:16.0,Defensive rebound by C. Frye,,114-71,,
6:02.0,D. Williams misses 3-pt shot from 26 ft,,114-71,,
6:01.0,,,114-71,,Defensive rebound by T. Zeller
5:51.0,,,114-73,2,T. Zeller makes 2-pt shot from 1 ft (assist by T. Rozier)
5:48.0,Cleveland full timeout,,114-73,,
5:48.0,D. Jones enters the game for D. Williams,,114-73,,
5:35.0,C. Frye makes 3-pt shot from 23 ft (assist by R. Jefferson),3,117-73,,
5:22.0,,,117-73,,J. Mickey misses 2-pt shot from 1 ft
5:21.0,Defensive rebound by D. Jones,,117-73,,
5:16.0,D. Williams makes 2-pt shot at rim (assist by D. Jones),2,119-73,,
5:00.0,,,119-73,,J. Brown misses 3-pt shot from 23 ft
4:59.0,Defensive rebound by R. Jefferson,,119-73,,
4:50.0,C. Frye misses 2-pt shot from 21 ft,,119-73,,
4:49.0,,,119-73,,Defensive rebound by J. Brown
4:43.0,,,119-75,2,J. Brown makes 2-pt shot from 3 ft
4:43.0,,,119-75,,Shooting foul by C. Frye (drawn by J. Brown)
4:43.0,,,119-76,1,J. Brown makes free throw 1 of 1
4:22.0,R. Jefferson misses 2-pt shot from 18 ft,,119-76,,
4:21.0,Offensive rebound by D. Williams,,119-76,,
4:15.0,R. Jefferson makes 3-pt shot from 25 ft (assist by C. Frye),3,122-76,,
3:58.0,,,122-76,,Turnover by J. Mickey (bad pass)
3:48.0,D. Williams makes 2-pt shot from 18 ft,2,124-76,,
3:39.0,,,124-78,2,J. Brown makes 2-pt shot at rim (assist by T. Rozier)
3:24.0,Shooting foul by J. Mickey (drawn by R. Jefferson),,124-78,,
3:24.0,R. Jefferson misses free throw 1 of 2,,124-78,,
3:24.0,Offensive rebound by Team,,124-78,,
3:24.0,R. Jefferson makes free throw 2 of 2,1,125-78,,
3:04.0,,,125-78,,T. Zeller misses 2-pt shot from 6 ft
3:03.0,Defensive rebound by D. Jones,,125-78,,
2:57.0,D. Jones misses 2-pt shot from 2 ft,,125-78,,
2:56.0,,,125-78,,Defensive rebound by J. Brown
2:50.0,,,125-80,2,J. Jerebko makes 2-pt shot from 1 ft (assist by J. Brown)
2:29.0,R. Jefferson makes 2-pt shot at rim (assist by C. Frye),2,127-80,,
