time,Dallas,pts.away,score,pts.home,Indiana
5:24.0,,,10-19,,Shooting foul by D. Williams (drawn by J. Teague)
5:24.0,,,10-19,,Indiana full timeout
5:24.0,,,10-19,,J. Teague misses free throw 1 of 1
5:24.0,Defensive rebound by H. Barnes,,10-19,,
5:10.0,D. Williams makes 3-pt shot from 22 ft (assist by J. Barea),3,13-19,,
4:52.0,,,13-19,,M. Turner misses 2-pt shot from 20 ft
4:52.0,Defensive rebound by D. Williams,,13-19,,
4:41.0,D. Williams makes 2-pt shot from 1 ft (assist by A. Bogut),2,15-19,,
4:25.0,Personal foul by H. Barnes (drawn by M. Turner),,15-19,,
4:25.0,,,15-19,,R. Stuckey enters the game for J. Teague
4:15.0,,,15-21,2,P. George makes 2-pt shot from 3 ft (assist by T. Young)
3:57.0,H. Barnes makes 2-pt shot at rim,2,17-21,,
3:40.0,,,17-21,,P. George misses 2-pt shot from 17 ft
3:39.0,Defensive rebound by W. Matthews,,17-21,,
3:31.0,W. Matthews misses 2-pt shot from 2 ft,,17-21,,
3:31.0,,,17-21,,Defensive rebound by M. Turner
3:24.0,,,17-21,,T. Young misses 2-pt shot from 2 ft
3:22.0,Defensive rebound by D. Williams,,17-21,,
3:04.0,W. Matthews misses 3-pt shot from 27 ft,,17-21,,
3:04.0,,,17-21,,Defensive rebound by M. Turner
2:48.0,,,17-23,2,T. Young makes 2-pt shot at rim (assist by P. George)
2:48.0,Dallas full timeout,,17-23,,
2:48.0,J. Anderson enters the game for H. Barnes,,17-23,,
2:48.0,D. Powell enters the game for A. Bogut,,17-23,,
2:48.0,S. Curry enters the game for W. Matthews,,17-23,,
2:48.0,D. Nowitzki enters the game for D. Williams,,17-23,,
2:48.0,,,17-23,,L. Allen enters the game for T. Young
2:48.0,,,17-23,,A. Jefferson enters the game for M. Turner
2:35.0,S. Curry misses 3-pt shot from 28 ft,,17-23,,
2:34.0,Offensive rebound by D. Powell,,17-23,,
2:34.0,,,17-23,,Loose ball foul by L. Allen (drawn by D. Powell)
2:27.0,D. Powell misses 2-pt shot at rim,,17-23,,
2:26.0,,,17-23,,Defensive rebound by A. Jefferson
2:12.0,,,17-25,2,L. Allen makes 2-pt shot from 1 ft (assist by P. George)
2:00.0,J. Barea makes 2-pt shot at rim,2,19-25,,
1:45.0,,,19-25,,A. Jefferson misses 2-pt shot from 16 ft
1:44.0,,,19-25,,Offensive rebound by L. Allen
1:41.0,,,19-28,3,P. George makes 3-pt shot from 26 ft (assist by L. Allen)
1:31.0,,,19-28,,J. Young enters the game for M. Ellis
1:13.0,D. Nowitzki misses 3-pt shot from 23 ft,,19-28,,
1:12.0,,,19-28,,Defensive rebound by R. Stuckey
1:09.0,,,19-30,2,R. Stuckey makes 2-pt shot from 1 ft
1:09.0,Shooting block foul by S. Curry (drawn by R. Stuckey),,19-30,,
1:09.0,,,19-30,,R. Stuckey misses free throw 1 of 1
1:09.0,Defensive rebound by S. Curry,,19-30,,
0:51.0,J. Anderson misses 3-pt shot from 27 ft,,19-30,,
0:51.0,,,19-30,,Defensive rebound by L. Allen
0:39.0,,,19-30,,P. George misses 2-pt shot from 2 ft
0:39.0,,,19-30,,Offensive rebound by A. Jefferson
0:39.0,,,19-32,2,A. Jefferson makes 2-pt shot from 2 ft
0:30.0,J. Barea misses 3-pt shot from 26 ft,,19-32,,
0:30.0,Offensive rebound by J. Anderson,,19-32,,
0:30.0,J. Anderson makes 2-pt shot from 2 ft,2,21-32,,
0:09.0,Personal foul by S. Curry (drawn by R. Stuckey),,21-32,,
0:09.0,,,21-32,,R. Stuckey misses free throw 1 of 2
0:09.0,,,21-32,,Offensive rebound by Team
0:09.0,,,21-33,1,R. Stuckey makes free throw 2 of 2
0:09.0,,,21-32,,G. Robinson enters the game for P. George
0:09.0,D. Williams enters the game for S. Curry,,21-32,,
0:09.0,,,21-32,,M. Turner enters the game for A. Jefferson
0:02.0,J. Barea misses 2-pt shot from 1 ft,,21-33,,
0:00.0,Offensive rebound by D. Powell,,21-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,D. Nowitzki misses 2-pt shot from 17 ft,,21-33,,
11:43.0,,,21-33,,Defensive rebound by L. Allen
11:23.0,,,21-33,,A. Jefferson misses 2-pt shot from 5 ft
11:22.0,Defensive rebound by S. Curry,,21-33,,
11:14.0,,,21-33,,Shooting block foul by J. Young
11:14.0,J. Barea makes free throw 1 of 2,1,22-33,,
11:14.0,J. Barea makes free throw 2 of 2,1,23-33,,
10:56.0,,,23-33,,Turnover by R. Stuckey (lost ball; steal by S. Curry)
10:43.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by J. Anderson),3,26-33,,
10:29.0,,,26-33,,G. Robinson misses 2-pt shot from 17 ft
10:28.0,Defensive rebound by D. Powell,,26-33,,
10:21.0,D. Nowitzki misses 3-pt shot from 27 ft,,26-33,,
10:21.0,,,26-33,,Defensive rebound by R. Stuckey
10:14.0,,,26-33,,Indiana full timeout
10:14.0,,,26-33,,T. Young enters the game for L. Allen
10:04.0,,,26-35,2,A. Jefferson makes 2-pt shot from 6 ft
10:04.0,,,26-35,,Shooting foul by D. Powell (drawn by A. Jefferson)
10:04.0,,,26-36,1,A. Jefferson makes free throw 1 of 1
10:04.0,,,26-35,,J. Teague enters the game for J. Young
9:46.0,D. Nowitzki misses 2-pt shot from 12 ft,,26-36,,
9:45.0,,,26-36,,Defensive rebound by A. Jefferson
9:39.0,,,26-36,,T. Young misses 2-pt shot at rim
9:39.0,Defensive rebound by Team,,26-36,,
9:29.0,J. Barea makes 3-pt shot from 27 ft,3,29-36,,
9:07.0,,,29-36,,A. Jefferson misses 2-pt shot from 7 ft
9:06.0,Defensive rebound by J. Anderson,,29-36,,
8:56.0,J. Anderson makes 3-pt shot from 27 ft (assist by J. Barea),3,32-36,,
8:35.0,,,32-36,,G. Robinson misses 2-pt shot from 20 ft (block by J. Anderson)
8:34.0,Defensive rebound by D. Powell,,32-36,,
8:26.0,,,32-36,,Personal foul by J. Teague (drawn by D. Powell)
8:26.0,,,32-36,,M. Turner enters the game for A. Jefferson
8:26.0,,,32-36,,M. Ellis enters the game for J. Teague
8:26.0,Q. Acy enters the game for D. Nowitzki,,32-36,,
8:13.0,J. Barea misses 2-pt shot from 3 ft (block by M. Turner),,32-36,,
8:12.0,,,32-36,,Defensive rebound by Team
7:58.0,,,32-38,2,M. Ellis makes 2-pt shot from 1 ft (assist by T. Young)
7:57.0,Dallas full timeout,,32-38,,
7:57.0,A. Bogut enters the game for J. Barea,,32-38,,
7:57.0,D. Williams enters the game for S. Curry,,32-38,,
7:57.0,W. Matthews enters the game for D. Powell,,32-38,,
7:57.0,H. Barnes enters the game for Q. Acy,,32-38,,
7:46.0,H. Barnes misses 3-pt shot from 27 ft,,32-38,,
7:46.0,,,32-38,,Defensive rebound by R. Stuckey
7:38.0,,,32-40,2,R. Stuckey makes 2-pt shot from 17 ft
7:20.0,J. Anderson misses 3-pt shot from 27 ft,,32-40,,
7:19.0,,,32-40,,Defensive rebound by M. Turner
7:09.0,,,32-40,,R. Stuckey misses 2-pt shot from 20 ft
7:09.0,Defensive rebound by H. Barnes,,32-40,,
6:49.0,H. Barnes misses 2-pt shot from 17 ft,,32-40,,
6:49.0,,,32-40,,Defensive rebound by M. Turner
6:35.0,,,32-40,,Turnover by T. Young (back court)
6:23.0,D. Williams makes 3-pt shot from 25 ft (assist by W. Matthews),3,35-40,,
6:08.0,,,35-42,2,M. Turner makes 2-pt shot from 6 ft (assist by R. Stuckey)
5:57.0,D. Williams misses 3-pt shot from 27 ft,,35-42,,
5:56.0,,,35-42,,Defensive rebound by T. Young
5:49.0,,,35-42,,Turnover by G. Robinson (traveling)
5:49.0,,,35-42,,J. Teague enters the game for G. Robinson
5:49.0,,,35-42,,P. George enters the game for R. Stuckey
5:36.0,Turnover by H. Barnes (kicked ball),,35-42,,
5:33.0,Shooting block foul by D. Williams (drawn by J. Teague),,35-42,,
5:33.0,,,35-43,1,J. Teague makes free throw 1 of 2
5:33.0,,,35-44,1,J. Teague makes free throw 2 of 2
5:23.0,Turnover by D. Williams (bad pass),,35-44,,
5:12.0,,,35-46,2,M. Turner makes 2-pt shot from 20 ft (assist by J. Teague)
4:57.0,D. Williams makes 2-pt shot from 1 ft (assist by A. Bogut),2,37-46,,
4:44.0,,,37-46,,J. Teague misses 2-pt shot from 7 ft
4:43.0,Defensive rebound by A. Bogut,,37-46,,
4:36.0,D. Williams misses 2-pt shot from 1 ft (block by M. Turner),,37-46,,
4:36.0,Offensive rebound by A. Bogut,,37-46,,
4:36.0,Shooting foul by T. Young (drawn by A. Bogut),,37-46,,
4:36.0,A. Bogut misses free throw 1 of 2,,37-46,,
4:36.0,Offensive rebound by Team,,37-46,,
4:36.0,A. Bogut misses free throw 2 of 2,,37-46,,
4:36.0,D. Nowitzki enters the game for J. Anderson,,37-46,,
4:36.0,J. Barea enters the game for H. Barnes,,37-46,,
4:33.0,,,37-46,,Defensive rebound by M. Ellis
4:24.0,,,37-48,2,J. Teague makes 2-pt shot from 16 ft
4:05.0,D. Nowitzki misses 2-pt shot from 17 ft,,37-48,,
4:05.0,,,37-48,,Defensive rebound by P. George
3:53.0,,,37-51,3,P. George makes 3-pt shot from 24 ft
3:33.0,D. Nowitzki makes 2-pt shot from 3 ft,2,39-51,,
3:26.0,,,39-51,,Shooting foul by J. Barea (drawn by J. Teague)
3:26.0,,,39-52,1,J. Teague makes free throw 1 of 2
3:26.0,,,39-53,1,J. Teague makes free throw 2 of 2
3:26.0,H. Barnes enters the game for A. Bogut,,39-52,,
3:18.0,J. Barea makes 2-pt shot from 2 ft,2,41-53,,
2:58.0,,,41-53,,J. Teague misses 2-pt shot from 8 ft
2:58.0,,,41-53,,Offensive rebound by M. Turner
2:58.0,,,41-53,,M. Turner misses 2-pt shot from 1 ft
2:57.0,,,41-53,,Offensive rebound by M. Turner
2:57.0,Personal foul by H. Barnes (drawn by M. Turner),,41-53,,
2:57.0,Official timeout,,41-53,,
2:48.0,,,41-53,,J. Teague misses 2-pt shot at rim (block by J. Barea)
2:47.0,Defensive rebound by D. Nowitzki,,41-53,,
2:38.0,J. Barea misses 3-pt shot from 28 ft,,41-53,,
2:37.0,Offensive rebound by H. Barnes,,41-53,,
2:31.0,W. Matthews misses 2-pt shot from 1 ft,,41-53,,
2:30.0,,,41-53,,Defensive rebound by T. Young
2:26.0,,,41-53,,Offensive charge foul by T. Young
2:26.0,,,41-53,,Turnover by T. Young (offensive foul)
2:26.0,,,41-53,,R. Stuckey enters the game for J. Teague
2:12.0,D. Nowitzki makes 2-pt shot from 14 ft,2,43-53,,
1:47.0,,,43-53,,M. Ellis misses 2-pt shot from 16 ft
1:46.0,Defensive rebound by D. Nowitzki,,43-53,,
1:37.0,W. Matthews misses 3-pt shot from 28 ft,,43-53,,
1:37.0,Offensive rebound by Team,,43-53,,
1:37.0,,,43-53,,Loose ball foul by T. Young (drawn by H. Barnes)
1:37.0,,,43-53,,C. Miles enters the game for T. Young
1:34.0,W. Matthews makes 2-pt shot from 1 ft (assist by D. Williams),2,45-53,,
1:19.0,,,45-53,,R. Stuckey misses 2-pt shot from 5 ft
1:18.0,,,45-53,,Offensive rebound by M. Turner
1:15.0,,,45-55,2,M. Turner makes 2-pt shot from 1 ft
1:05.0,D. Nowitzki makes 3-pt shot from 27 ft (assist by J. Barea),3,48-55,,
0:51.0,Violation by D. Nowitzki (kicked ball),,48-55,,
0:40.0,,,48-57,2,M. Turner makes 2-pt shot from 2 ft (assist by M. Ellis)
0:31.0,J. Barea makes 2-pt shot from 2 ft,2,50-57,,
0:11.0,,,50-59,2,M. Turner makes 2-pt shot from 3 ft (assist by P. George)
0:04.0,J. Barea makes 2-pt shot from 1 ft (assist by D. Williams),2,52-59,,
0:00.0,,,52-59,,R. Stuckey misses 3-pt shot from 26 ft
0:00.0,,,52-59,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,A. Bogut makes 2-pt shot from 1 ft (assist by D. Nowitzki),2,54-59,,
11:34.0,,,54-59,,P. George misses 2-pt shot from 16 ft
11:33.0,,,54-59,,Offensive rebound by M. Turner
11:30.0,,,54-62,3,T. Young makes 3-pt shot from 24 ft (assist by M. Turner)
11:20.0,,,54-62,,Personal foul by M. Ellis (drawn by W. Matthews)
11:13.0,D. Williams makes 3-pt shot from 26 ft (assist by W. Matthews),3,57-62,,
10:53.0,,,57-64,2,M. Turner makes 2-pt shot from 2 ft (assist by M. Ellis)
10:53.0,,,57-64,,Shooting foul by A. Bogut (drawn by M. Turner)
10:53.0,,,57-64,,M. Turner misses free throw 1 of 1
10:53.0,Defensive rebound by D. Nowitzki,,57-64,,
10:30.0,,,57-64,,Personal foul by M. Ellis (drawn by W. Matthews)
10:14.0,D. Williams makes 3-pt shot from 27 ft (assist by A. Bogut),3,60-64,,
10:04.0,,,60-64,,J. Teague misses 2-pt shot from 1 ft
10:03.0,Defensive rebound by H. Barnes,,60-64,,
9:48.0,D. Nowitzki misses 2-pt shot from 19 ft,,60-64,,
9:48.0,,,60-64,,Defensive rebound by P. George
9:41.0,,,60-64,,Shooting foul by H. Barnes (drawn by P. George)
9:41.0,,,60-65,1,P. George makes free throw 1 of 2
9:41.0,,,60-66,1,P. George makes free throw 2 of 2
9:41.0,,,60-65,,R. Stuckey enters the game for J. Teague
9:41.0,J. Barea enters the game for H. Barnes,,60-65,,
9:31.0,D. Williams misses 3-pt shot from 24 ft,,60-66,,
9:31.0,,,60-66,,Defensive rebound by M. Turner
9:21.0,,,60-69,3,R. Stuckey makes 3-pt shot from 24 ft (assist by T. Young)
9:19.0,Dallas full timeout,,60-69,,
9:08.0,Offensive foul by A. Bogut,,60-69,,
9:08.0,Turnover by A. Bogut (offensive foul),,60-69,,
9:08.0,,,60-69,,J. Teague enters the game for R. Stuckey
8:59.0,,,60-69,,Shooting foul by D. Williams (drawn by P. George)
8:59.0,,,60-69,,P. George misses free throw 1 of 2
8:59.0,,,60-69,,Offensive rebound by Team
8:59.0,,,60-70,1,P. George makes free throw 2 of 2
8:59.0,D. Powell enters the game for A. Bogut,,60-69,,
8:48.0,Shooting foul by M. Turner (drawn by D. Powell),,60-70,,
8:48.0,D. Powell misses free throw 1 of 2,,60-70,,
8:48.0,Offensive rebound by Team,,60-70,,
8:48.0,D. Powell misses free throw 2 of 2,,60-70,,
8:48.0,,,60-70,,Defensive rebound by M. Turner
8:35.0,,,60-70,,Turnover by J. Teague (lost ball)
8:22.0,J. Barea misses 2-pt shot from 4 ft (block by M. Turner),,60-70,,
8:22.0,Offensive rebound by Team,,60-70,,
8:15.0,D. Nowitzki makes 3-pt shot from 26 ft (assist by W. Matthews),3,63-70,,
8:05.0,,,63-70,,Shooting foul by D. Williams (drawn by M. Ellis)
8:05.0,,,63-71,1,M. Ellis makes free throw 1 of 2
8:05.0,,,63-72,1,M. Ellis makes free throw 2 of 2
8:05.0,H. Barnes enters the game for D. Williams,,63-71,,
7:48.0,Shooting foul by J. Teague,,63-72,,
7:48.0,J. Barea makes free throw 1 of 2,1,64-72,,
7:48.0,J. Barea makes free throw 2 of 2,1,65-72,,
7:36.0,,,65-72,,T. Young misses 2-pt shot from 22 ft
7:35.0,Defensive rebound by W. Matthews,,65-72,,
7:24.0,H. Barnes makes 2-pt shot from 20 ft,2,67-72,,
7:03.0,,,67-72,,M. Ellis misses 3-pt shot from 27 ft
7:02.0,Defensive rebound by W. Matthews,,67-72,,
6:54.0,W. Matthews makes 3-pt shot from 27 ft,3,70-72,,
6:53.0,,,70-72,,Indiana full timeout
6:41.0,,,70-72,,M. Turner misses 2-pt shot from 5 ft (block by D. Powell)
6:39.0,Defensive rebound by J. Barea,,70-72,,
6:28.0,H. Barnes misses 3-pt shot from 27 ft,,70-72,,
6:27.0,,,70-72,,Defensive rebound by M. Turner
6:12.0,,,70-72,,P. George misses 2-pt shot from 20 ft
6:12.0,Defensive rebound by D. Nowitzki,,70-72,,
6:02.0,W. Matthews misses 2-pt shot from 15 ft,,70-72,,
6:02.0,,,70-72,,Defensive rebound by Team
6:02.0,Loose ball foul by D. Powell (drawn by M. Turner),,70-72,,
6:02.0,,,70-73,1,M. Turner makes free throw 1 of 2
6:02.0,,,70-74,1,M. Turner makes free throw 2 of 2
6:02.0,,,70-73,,L. Allen enters the game for T. Young
5:50.0,Turnover by J. Barea (bad pass; steal by M. Turner),,70-74,,
5:29.0,,,70-74,,L. Allen misses 2-pt shot from 21 ft
5:29.0,,,70-74,,Offensive rebound by M. Turner
5:26.0,,,70-76,2,M. Turner makes 2-pt shot at rim
5:05.0,D. Nowitzki misses 3-pt shot from 26 ft,,70-76,,
5:04.0,,,70-76,,Defensive rebound by P. George
4:54.0,,,70-78,2,M. Turner makes 2-pt shot from 18 ft (assist by M. Ellis)
4:53.0,Dallas full timeout,,70-78,,
4:53.0,,,70-78,,C. Miles enters the game for M. Turner
4:53.0,S. Curry enters the game for D. Nowitzki,,70-78,,
4:41.0,S. Curry makes 3-pt shot from 30 ft (assist by D. Powell),3,73-78,,
4:31.0,Violation by D. Powell (def goaltending),,73-78,,
4:31.0,,,73-80,2,J. Teague makes 2-pt shot from 1 ft
4:21.0,Shooting foul by C. Miles,,73-80,,
4:21.0,J. Barea makes free throw 1 of 2,1,74-80,,
4:21.0,J. Barea makes free throw 2 of 2,1,75-80,,
4:04.0,,,75-80,,C. Miles misses 2-pt shot from 14 ft (block by S. Curry)
4:04.0,,,75-80,,Offensive rebound by Team
3:58.0,,,75-80,,Turnover by P. George (lost ball; steal by W. Matthews)
3:54.0,Shooting foul by J. Teague (drawn by W. Matthews),,75-80,,
3:54.0,W. Matthews makes free throw 1 of 2,1,76-80,,
3:54.0,W. Matthews makes free throw 2 of 2,1,77-80,,
3:54.0,,,76-80,,R. Stuckey enters the game for J. Teague
3:41.0,,,77-80,,L. Allen misses 2-pt shot from 4 ft
3:40.0,Defensive rebound by H. Barnes,,77-80,,
3:17.0,Turnover by J. Barea (bad pass; steal by C. Miles),,77-80,,
3:13.0,Personal foul by S. Curry (drawn by P. George),,77-80,,
3:13.0,,,77-81,1,P. George makes free throw 1 of 2
3:13.0,,,77-82,1,P. George makes free throw 2 of 2
3:13.0,,,77-81,,A. Jefferson enters the game for L. Allen
3:03.0,W. Matthews misses 3-pt shot from 28 ft,,77-82,,
3:02.0,,,77-82,,Defensive rebound by A. Jefferson
2:56.0,Personal foul by S. Curry (drawn by P. George),,77-82,,
2:56.0,,,77-83,1,P. George makes free throw 1 of 2
2:56.0,,,77-84,1,P. George makes free throw 2 of 2
2:56.0,A. Bogut enters the game for D. Powell,,77-83,,
2:37.0,J. Barea misses 2-pt shot at rim,,77-84,,
2:37.0,,,77-84,,Defensive rebound by A. Jefferson
2:29.0,,,77-86,2,C. Miles makes 2-pt shot from 15 ft (assist by P. George)
2:22.0,Dallas full timeout,,77-86,,
2:22.0,,,77-86,,Violation by Team (jump ball)
2:22.0,Violation by Team (jump ball),,77-86,,
2:22.0,J. Anderson enters the game for H. Barnes,,77-86,,
2:22.0,D. Nowitzki enters the game for W. Matthews,,77-86,,
2:22.0,D. Williams enters the game for J. Barea,,77-86,,
2:09.0,Shooting foul by P. George (drawn by D. Nowitzki),,77-86,,
2:09.0,D. Nowitzki makes free throw 1 of 2,1,78-86,,
2:09.0,D. Nowitzki makes free throw 2 of 2,1,79-86,,
1:56.0,,,79-89,3,C. Miles makes 3-pt shot from 23 ft (assist by M. Ellis)
1:38.0,D. Williams makes 2-pt shot from 20 ft,2,81-89,,
1:15.0,,,81-92,3,C. Miles makes 3-pt shot from 24 ft (assist by M. Ellis)
0:58.0,D. Williams makes 2-pt shot from 17 ft,2,83-92,,
0:45.0,,,83-92,,C. Miles misses 3-pt shot from 27 ft
0:44.0,Defensive rebound by J. Anderson,,83-92,,
0:37.0,D. Williams makes 2-pt shot from 18 ft,2,85-92,,
0:23.0,,,85-94,2,A. Jefferson makes 2-pt shot at rim (assist by C. Miles)
0:02.0,J. Anderson misses 3-pt shot from 25 ft,,85-94,,
0:01.0,,,85-94,,Defensive rebound by M. Ellis
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,,,85-94,,Turnover by A. Jefferson (traveling)
11:36.0,,,85-94,,Personal foul by A. Jefferson (drawn by D. Williams)
11:36.0,,,85-94,,J. Teague enters the game for C. Miles
11:28.0,J. Anderson makes 2-pt shot from 2 ft,2,87-94,,
11:15.0,,,87-94,,G. Robinson misses 3-pt shot from 26 ft
11:14.0,Defensive rebound by S. Curry,,87-94,,
11:06.0,D. Williams misses 2-pt shot from 11 ft (block by A. Jefferson),,87-94,,
11:05.0,,,87-94,,Defensive rebound by A. Jefferson
11:05.0,Personal foul by S. Curry (drawn by A. Jefferson),,87-94,,
11:05.0,,,87-94,,C. Miles enters the game for L. Allen
10:41.0,,,87-94,,J. Teague misses 2-pt shot from 21 ft
10:40.0,Defensive rebound by D. Nowitzki,,87-94,,
10:33.0,D. Nowitzki makes 3-pt shot from 27 ft (assist by D. Williams),3,90-94,,
10:32.0,,,90-94,,Indiana full timeout
10:32.0,,,90-94,,L. Allen enters the game for A. Jefferson
10:17.0,,,90-94,,Turnover by R. Stuckey (bad pass; steal by S. Curry)
10:12.0,S. Curry makes 2-pt shot from 2 ft,2,92-94,,
9:55.0,,,92-94,,C. Miles misses 2-pt shot from 9 ft (block by D. Williams)
9:54.0,Defensive rebound by J. Anderson,,92-94,,
9:52.0,S. Curry makes 2-pt shot at rim (assist by J. Anderson),2,94-94,,
9:37.0,,,94-94,,J. Teague misses 2-pt shot from 1 ft (block by D. Nowitzki)
9:36.0,Defensive rebound by D. Nowitzki,,94-94,,
9:24.0,J. Barea misses 3-pt shot from 26 ft,,94-94,,
9:23.0,,,94-94,,Defensive rebound by L. Allen
9:08.0,,,94-96,2,J. Teague makes 2-pt shot from 3 ft (assist by L. Allen)
8:45.0,D. Nowitzki misses 2-pt shot from 6 ft,,94-96,,
8:42.0,,,94-96,,Defensive rebound by L. Allen
8:35.0,,,94-96,,J. Teague misses 3-pt shot from 25 ft
8:34.0,Defensive rebound by J. Anderson,,94-96,,
8:26.0,D. Williams misses 2-pt shot from 2 ft (block by L. Allen),,94-96,,
8:24.0,Offensive rebound by D. Williams,,94-96,,
8:22.0,Turnover by D. Williams (bad pass; steal by C. Miles),,94-96,,
8:19.0,,,94-96,,Turnover by J. Teague (bad pass; steal by S. Curry)
8:08.0,J. Barea makes 3-pt shot from 27 ft (assist by S. Curry),3,97-96,,
8:06.0,,,97-96,,Indiana full timeout
8:06.0,D. Powell enters the game for D. Nowitzki,,97-96,,
8:06.0,,,97-96,,T. Young enters the game for R. Stuckey
8:06.0,,,97-96,,M. Ellis enters the game for L. Allen
8:06.0,,,97-96,,M. Turner enters the game for G. Robinson
8:06.0,,,97-96,,P. George enters the game for C. Miles
7:50.0,,,97-96,,Shooting foul by S. Curry (drawn by M. Ellis)
7:50.0,,,97-97,1,M. Ellis makes free throw 1 of 2
7:50.0,,,97-98,1,M. Ellis makes free throw 2 of 2
7:50.0,W. Matthews enters the game for S. Curry,,97-96,,
7:41.0,W. Matthews misses 3-pt shot from 26 ft,,97-98,,
7:40.0,Offensive rebound by Team,,97-98,,
7:38.0,Shooting foul by M. Turner (drawn by W. Matthews),,97-98,,
