time,Brooklyn,pts.away,score,pts.home,Chicago
4:28.0,,,18-15,2,J. Butler makes 2-pt shot from 15 ft (assist by R. Rondo)
4:15.0,Turnover by B. Lopez (bad pass; steal by J. Butler),,18-15,,
4:01.0,,,18-15,,J. Butler misses 2-pt shot from 3 ft
4:00.0,Defensive rebound by I. Whitehead,,18-15,,
3:56.0,Brooklyn full timeout,,18-15,,
3:56.0,R. Foye enters the game for B. Lopez,,18-15,,
3:56.0,S. Dinwiddie enters the game for S. Kilpatrick,,18-15,,
3:56.0,R. Hollis-Jefferson enters the game for I. Whitehead,,18-15,,
3:48.0,R. Foye makes 2-pt shot from 2 ft,2,20-15,,
3:26.0,,,20-15,,J. Butler misses 2-pt shot from 1 ft
3:25.0,,,20-15,,Offensive rebound by J. Butler
3:19.0,,,20-15,,J. Butler misses 2-pt shot from 15 ft
3:18.0,,,20-15,,Offensive rebound by J. Butler
3:18.0,Personal foul by S. Dinwiddie (drawn by J. Butler),,20-15,,
2:53.0,,,20-18,3,R. Rondo makes 3-pt shot from 25 ft (assist by R. Lopez)
2:39.0,B. Bogdanovic misses 2-pt shot from 1 ft,,20-18,,
2:38.0,,,20-18,,Defensive rebound by R. Rondo
2:32.0,,,20-21,3,N. Mirotic makes 3-pt shot from 26 ft (assist by R. Rondo)
2:10.0,J. Hamilton misses 3-pt shot from 24 ft,,20-21,,
2:09.0,,,20-21,,Defensive rebound by D. McDermott
1:59.0,,,20-23,2,J. Butler makes 2-pt shot at rim (assist by R. Rondo)
1:38.0,C. LeVert enters the game for B. Bogdanovic,,20-23,,
1:38.0,,,20-23,,D. Wade enters the game for J. Butler
1:38.0,,,20-23,,C. Felicio enters the game for R. Lopez
1:38.0,,,20-23,,M. Carter-Williams enters the game for D. McDermott
1:33.0,J. Hamilton misses 2-pt shot from 3 ft (block by C. Felicio),,20-23,,
1:31.0,,,20-23,,Defensive rebound by M. Carter-Williams
1:25.0,,,20-23,,M. Carter-Williams misses 2-pt shot from 3 ft
1:24.0,,,20-23,,Offensive rebound by M. Carter-Williams
1:12.0,,,20-23,,N. Mirotic misses 2-pt shot from 7 ft
1:11.0,Defensive rebound by R. Foye,,20-23,,
0:58.0,S. Dinwiddie misses 2-pt shot from 17 ft (block by D. Wade),,20-23,,
0:56.0,,,20-23,,Defensive rebound by C. Felicio
0:55.0,,,20-23,,Turnover by C. Felicio (bad pass; steal by S. Dinwiddie)
0:52.0,S. Dinwiddie misses 2-pt shot from 1 ft,,20-23,,
0:51.0,,,20-23,,Defensive rebound by C. Felicio
0:45.0,,,20-23,,D. Wade misses 2-pt shot from 1 ft (block by C. LeVert)
0:44.0,,,20-23,,Offensive rebound by Team
0:34.0,,,20-23,,Turnover by D. Wade (bad pass; steal by R. Hollis-Jefferson)
0:34.0,,,20-23,,Personal foul by N. Mirotic (drawn by R. Hollis-Jefferson)
0:20.0,R. Hollis-Jefferson misses 2-pt shot from 13 ft (block by N. Mirotic),,20-23,,
0:19.0,,,20-23,,Defensive rebound by C. Felicio
0:00.0,,,20-23,,D. Wade misses 2-pt shot from 16 ft
0:00.0,,,20-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,20-23,,Turnover by D. Wade (bad pass; steal by S. Dinwiddie)
11:42.0,R. Hollis-Jefferson misses 2-pt shot from 2 ft,,20-23,,
11:41.0,Offensive rebound by J. Hamilton,,20-23,,
11:33.0,R. Foye misses 2-pt shot from 15 ft,,20-23,,
11:32.0,,,20-23,,Defensive rebound by M. Carter-Williams
11:26.0,,,20-23,,Turnover by D. McDermott (step out of bounds)
11:10.0,C. LeVert makes 3-pt shot from 23 ft (assist by J. Hamilton),3,23-23,,
10:56.0,,,23-23,,M. Carter-Williams misses 2-pt shot from 2 ft
10:55.0,Defensive rebound by J. Hamilton,,23-23,,
10:47.0,J. Hamilton misses 3-pt shot from 25 ft,,23-23,,
10:46.0,,,23-23,,Defensive rebound by C. Felicio
10:35.0,,,23-23,,Turnover by M. Carter-Williams (bad pass; steal by C. LeVert)
10:35.0,,,23-23,,Personal foul by D. McDermott (drawn by C. LeVert)
10:15.0,R. Foye makes 2-pt shot from 1 ft,2,25-23,,
9:58.0,,,25-23,,Shooting foul by S. Dinwiddie (drawn by N. Mirotic)
9:58.0,,,25-24,1,N. Mirotic makes free throw 1 of 2
9:58.0,,,25-25,1,N. Mirotic makes free throw 2 of 2
9:50.0,Turnover by R. Hollis-Jefferson (lost ball),,25-25,,
9:39.0,,,25-25,,Shooting foul by R. Foye (drawn by D. Wade)
9:39.0,,,25-26,1,D. Wade makes free throw 1 of 2
9:39.0,,,25-27,1,D. Wade makes free throw 2 of 2
9:18.0,R. Foye makes 3-pt shot from 26 ft (assist by R. Hollis-Jefferson),3,28-27,,
9:01.0,,,28-27,,D. Wade misses 2-pt shot from 11 ft
9:00.0,,,28-27,,Offensive rebound by D. Wade
8:55.0,,,28-27,,D. Wade misses 2-pt shot from 7 ft
8:54.0,,,28-27,,Offensive rebound by C. Felicio
8:54.0,,,28-29,2,C. Felicio makes 2-pt shot from 2 ft
8:39.0,R. Foye misses 3-pt shot from 27 ft,,28-29,,
8:38.0,,,28-29,,Defensive rebound by D. Wade
8:34.0,Personal foul by R. Hollis-Jefferson (drawn by N. Mirotic),,28-29,,
8:34.0,S. Kilpatrick enters the game for S. Dinwiddie,,28-29,,
8:34.0,,,28-29,,Chicago full timeout
8:23.0,,,28-31,2,D. McDermott makes 2-pt shot from 16 ft (assist by M. Carter-Williams)
8:04.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by J. Hamilton),2,30-31,,
8:04.0,Shooting foul by N. Mirotic (drawn by R. Hollis-Jefferson),,30-31,,
8:04.0,R. Hollis-Jefferson makes free throw 1 of 1,1,31-31,,
8:04.0,,,30-31,,J. Butler enters the game for M. Carter-Williams
7:55.0,Personal foul by C. LeVert (drawn by D. Wade),,31-31,,
7:55.0,B. Lopez enters the game for J. Hamilton,,31-31,,
7:44.0,,,31-31,,Shooting foul by R. Foye (drawn by J. Butler)
7:44.0,,,31-32,1,J. Butler makes free throw 1 of 2
7:44.0,,,31-33,1,J. Butler makes free throw 2 of 2
7:27.0,Shooting foul by C. Felicio (drawn by B. Lopez),,31-33,,
7:27.0,B. Lopez makes 2-pt shot from 6 ft,2,33-33,,
7:27.0,B. Lopez makes free throw 1 of 1,1,34-33,,
7:27.0,,,33-33,,R. Lopez enters the game for C. Felicio
7:27.0,,,33-33,,R. Rondo enters the game for D. Wade
7:10.0,,,34-33,,Turnover by N. Mirotic (traveling)
7:10.0,,,34-33,,Violation by Team (delay of game)
6:55.0,S. Kilpatrick misses 3-pt shot from 25 ft,,34-33,,
6:54.0,,,34-33,,Defensive rebound by N. Mirotic
6:47.0,,,34-33,,Shooting foul by S. Kilpatrick (drawn by D. McDermott)
6:47.0,,,34-34,1,D. McDermott makes free throw 1 of 3
6:47.0,,,34-35,1,D. McDermott makes free throw 2 of 3
6:47.0,,,34-36,1,D. McDermott makes free throw 3 of 3
6:47.0,,,34-35,,T. Gibson enters the game for N. Mirotic
6:37.0,B. Lopez makes 2-pt shot from 6 ft,2,36-36,,
6:26.0,,,36-36,,D. McDermott misses 2-pt shot from 19 ft
6:25.0,Defensive rebound by R. Foye,,36-36,,
6:19.0,S. Kilpatrick makes 2-pt shot from 2 ft (assist by R. Foye),2,38-36,,
6:19.0,,,38-36,,Chicago full timeout
6:19.0,T. Booker enters the game for R. Hollis-Jefferson,,38-36,,
5:56.0,,,38-36,,R. Rondo misses 2-pt shot from 2 ft
5:55.0,,,38-36,,Offensive rebound by T. Gibson
5:55.0,,,38-38,2,T. Gibson makes 2-pt shot from 2 ft
5:31.0,B. Lopez makes 3-pt shot from 25 ft (assist by C. LeVert),3,41-38,,
5:10.0,,,41-38,,D. McDermott misses 3-pt shot from 24 ft
5:09.0,Defensive rebound by R. Foye,,41-38,,
4:58.0,Turnover by S. Kilpatrick (bad pass; steal by T. Gibson),,41-38,,
4:50.0,,,41-38,,D. McDermott misses 3-pt shot from 25 ft
4:49.0,,,41-38,,Offensive rebound by R. Rondo
4:48.0,,,41-38,,J. Butler misses 2-pt shot from 2 ft
4:47.0,,,41-38,,Offensive rebound by J. Butler
4:47.0,,,41-38,,J. Butler misses 2-pt shot from 2 ft (block by T. Booker)
4:44.0,,,41-38,,Offensive rebound by J. Butler
4:44.0,,,41-40,2,J. Butler makes 2-pt shot from 2 ft
4:26.0,S. Kilpatrick makes 3-pt shot from 25 ft (assist by B. Lopez),3,44-40,,
4:10.0,,,44-42,2,D. McDermott makes 2-pt shot from 16 ft (assist by R. Rondo)
3:49.0,S. Kilpatrick makes 3-pt shot from 25 ft (assist by T. Booker),3,47-42,,
3:24.0,,,47-42,,D. McDermott misses 2-pt shot from 16 ft
3:23.0,,,47-42,,Offensive rebound by D. McDermott
3:17.0,,,47-44,2,T. Gibson makes 2-pt shot from 2 ft (assist by J. Butler)
3:03.0,B. Lopez misses 2-pt shot from 2 ft,,47-44,,
3:02.0,,,47-44,,Defensive rebound by R. Lopez
2:50.0,,,47-44,,Turnover by J. Butler (lost ball; steal by S. Kilpatrick)
2:44.0,R. Foye misses 3-pt shot from 24 ft,,47-44,,
2:43.0,,,47-44,,Defensive rebound by R. Rondo
2:35.0,,,47-44,,R. Rondo misses 2-pt shot from 20 ft
2:33.0,,,47-44,,Offensive rebound by J. Butler
2:30.0,,,47-44,,Offensive charge foul by J. Butler
2:30.0,,,47-44,,Turnover by J. Butler (offensive foul)
2:30.0,Brooklyn full timeout,,47-44,,
2:30.0,I. Whitehead enters the game for R. Foye,,47-44,,
2:30.0,B. Bogdanovic enters the game for C. LeVert,,47-44,,
2:30.0,,,47-44,,J. Grant enters the game for D. McDermott
2:06.0,T. Booker misses 2-pt shot from 2 ft (block by R. Lopez),,47-44,,
2:06.0,Offensive rebound by T. Booker,,47-44,,
2:06.0,Turnover by Team (shot clock),,47-44,,
1:48.0,,,47-44,,J. Grant misses 3-pt shot from 25 ft
1:47.0,Defensive rebound by T. Booker,,47-44,,
1:40.0,S. Kilpatrick misses 3-pt shot from 23 ft,,47-44,,
1:39.0,,,47-44,,Defensive rebound by J. Butler
1:31.0,,,47-44,,R. Rondo misses 2-pt shot from 1 ft
1:30.0,Defensive rebound by T. Booker,,47-44,,
1:08.0,S. Kilpatrick misses 2-pt shot from 3 ft (block by T. Gibson),,47-44,,
1:08.0,Offensive rebound by Team,,47-44,,
1:08.0,Turnover by Team (shot clock),,47-44,,
0:54.0,,,47-44,,J. Butler misses 2-pt shot from 18 ft
0:53.0,Defensive rebound by T. Booker,,47-44,,
0:44.0,I. Whitehead misses 3-pt shot from 25 ft,,47-44,,
0:42.0,,,47-44,,Defensive rebound by J. Butler
0:29.0,,,47-44,,J. Butler misses 2-pt shot from 2 ft (block by I. Whitehead)
0:28.0,,,47-44,,Offensive rebound by J. Butler
0:24.0,,,47-46,2,R. Lopez makes 2-pt shot from 14 ft (assist by R. Rondo)
0:06.0,,,47-46,,Personal foul by J. Grant (drawn by B. Bogdanovic)
0:02.0,T. Booker makes 2-pt shot at rim (assist by S. Kilpatrick),2,49-46,,
0:00.0,,,49-46,,J. Butler misses 3-pt shot from 39 ft
0:00.0,,,49-46,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,49-46,,T. Gibson misses 2-pt shot from 8 ft
11:42.0,Defensive rebound by B. Bogdanovic,,49-46,,
11:36.0,B. Bogdanovic makes 2-pt shot from 2 ft,2,51-46,,
11:36.0,Shooting foul by R. Lopez (drawn by B. Bogdanovic),,51-46,,
11:36.0,B. Bogdanovic makes free throw 1 of 1,1,52-46,,
11:13.0,,,52-48,2,D. Wade makes 2-pt shot from 18 ft (assist by R. Rondo)
10:54.0,I. Whitehead makes 2-pt shot from 2 ft,2,54-48,,
10:39.0,,,54-48,,Shooting foul by S. Kilpatrick (drawn by D. Wade)
10:39.0,,,54-49,1,D. Wade makes free throw 1 of 2
10:39.0,,,54-50,1,D. Wade makes free throw 2 of 2
10:33.0,Offensive foul by I. Whitehead,,54-50,,
10:33.0,Turnover by I. Whitehead (offensive foul),,54-50,,
10:17.0,,,54-52,2,D. Wade makes 2-pt shot from 18 ft (assist by J. Butler)
10:12.0,Offensive foul by B. Lopez,,54-52,,
10:12.0,Turnover by B. Lopez (offensive foul),,54-52,,
9:58.0,,,54-52,,Shooting foul by B. Lopez (drawn by R. Lopez)
9:58.0,,,54-53,1,R. Lopez makes free throw 1 of 2
9:58.0,,,54-54,1,R. Lopez makes free throw 2 of 2
9:46.0,T. Booker makes 2-pt shot from 15 ft (assist by S. Kilpatrick),2,56-54,,
9:22.0,,,56-54,,D. Wade misses 3-pt shot from 25 ft
9:21.0,Defensive rebound by T. Booker,,56-54,,
9:14.0,B. Bogdanovic misses 3-pt shot from 25 ft,,56-54,,
9:13.0,,,56-54,,Defensive rebound by D. Wade
9:08.0,,,56-54,,Shooting foul by B. Lopez (drawn by D. Wade)
9:08.0,,,56-55,1,D. Wade makes free throw 1 of 2
9:08.0,,,56-56,1,D. Wade makes free throw 2 of 2
8:58.0,S. Kilpatrick makes 2-pt shot from 2 ft (assist by B. Lopez),2,58-56,,
8:43.0,,,58-58,2,T. Gibson makes 2-pt shot from 17 ft (assist by R. Rondo)
8:19.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by S. Kilpatrick),2,60-58,,
8:00.0,,,60-58,,J. Butler misses 2-pt shot from 19 ft
8:00.0,,,60-58,,Offensive rebound by Team
8:00.0,Loose ball foul by B. Bogdanovic (drawn by T. Gibson),,60-58,,
7:48.0,,,60-60,2,D. Wade makes 2-pt shot from 2 ft (assist by R. Rondo)
7:37.0,I. Whitehead misses 2-pt shot at rim,,60-60,,
7:36.0,,,60-60,,Defensive rebound by R. Rondo
7:29.0,,,60-60,,Turnover by R. Lopez (traveling)
7:29.0,J. Hamilton enters the game for T. Booker,,60-60,,
7:12.0,J. Hamilton makes 2-pt shot from 12 ft (assist by S. Kilpatrick),2,62-60,,
6:51.0,,,62-60,,T. Gibson misses 2-pt shot from 7 ft
6:50.0,Defensive rebound by B. Lopez,,62-60,,
6:35.0,Turnover by B. Bogdanovic (bad pass; steal by J. Butler),,62-60,,
6:20.0,,,62-60,,J. Butler misses 2-pt shot from 12 ft
6:19.0,Defensive rebound by B. Lopez,,62-60,,
6:05.0,S. Kilpatrick makes 3-pt shot from 24 ft (assist by B. Lopez),3,65-60,,
6:04.0,,,65-60,,Chicago full timeout
6:04.0,,,65-60,,D. McDermott enters the game for D. Wade
5:51.0,,,65-62,2,J. Butler makes 2-pt shot at rim (assist by R. Rondo)
5:39.0,B. Lopez makes 3-pt shot from 24 ft (assist by I. Whitehead),3,68-62,,
5:24.0,,,68-64,2,J. Butler makes 2-pt shot from 2 ft
5:15.0,Turnover by B. Lopez (bad pass; steal by J. Butler),,68-64,,
5:11.0,,,68-64,,Shooting foul by J. Hamilton (drawn by J. Butler)
5:11.0,,,68-65,1,J. Butler makes free throw 1 of 2
5:11.0,,,68-66,1,J. Butler makes free throw 2 of 2
5:11.0,,,68-65,,N. Mirotic enters the game for R. Lopez
5:11.0,R. Hollis-Jefferson enters the game for B. Lopez,,68-65,,
4:58.0,B. Bogdanovic makes 2-pt shot from 2 ft,2,70-66,,
4:43.0,,,70-66,,Turnover by T. Gibson (traveling)
4:31.0,Turnover by I. Whitehead (traveling),,70-66,,
4:06.0,,,70-66,,N. Mirotic misses 2-pt shot from 10 ft (block by J. Hamilton)
4:04.0,Defensive rebound by J. Hamilton,,70-66,,
3:59.0,Turnover by R. Hollis-Jefferson (bad pass; steal by T. Gibson),,70-66,,
3:51.0,,,70-66,,Turnover by N. Mirotic (traveling)
3:51.0,S. Dinwiddie enters the game for I. Whitehead,,70-66,,
3:28.0,J. Hamilton makes 3-pt shot from 23 ft (assist by B. Bogdanovic),3,73-66,,
3:10.0,,,73-66,,N. Mirotic misses 3-pt shot from 25 ft
3:10.0,Defensive rebound by Team,,73-66,,
3:10.0,C. LeVert enters the game for B. Bogdanovic,,73-66,,
2:59.0,S. Kilpatrick misses 2-pt shot from 1 ft (block by N. Mirotic),,73-66,,
2:59.0,,,73-66,,Defensive rebound by Team
2:59.0,Loose ball foul by R. Hollis-Jefferson (drawn by J. Butler),,73-66,,
2:59.0,Brooklyn full timeout,,73-66,,
2:59.0,,,73-67,1,J. Butler makes free throw 1 of 2
2:59.0,,,73-68,1,J. Butler makes free throw 2 of 2
2:59.0,R. Foye enters the game for S. Kilpatrick,,73-66,,
2:59.0,,,73-67,,M. Carter-Williams enters the game for R. Rondo
2:51.0,Shooting foul by M. Carter-Williams (drawn by S. Dinwiddie),,73-68,,
2:51.0,S. Dinwiddie makes free throw 1 of 2,1,74-68,,
2:51.0,S. Dinwiddie makes free throw 2 of 2,1,75-68,,
2:37.0,,,75-68,,Turnover by M. Carter-Williams (bad pass; steal by J. Hamilton)
2:14.0,J. Hamilton misses 3-pt shot from 25 ft,,75-68,,
2:12.0,Offensive rebound by J. Hamilton,,75-68,,
2:07.0,R. Hollis-Jefferson misses 2-pt shot from 7 ft,,75-68,,
2:06.0,,,75-68,,Defensive rebound by T. Gibson
2:06.0,,,75-70,2,J. Butler makes 2-pt shot from 1 ft
1:40.0,R. Hollis-Jefferson misses 2-pt shot from 16 ft,,75-70,,
1:38.0,,,75-70,,Defensive rebound by D. McDermott
1:34.0,,,75-70,,Shooting foul by R. Foye (drawn by J. Butler)
1:34.0,,,75-71,1,J. Butler makes free throw 1 of 2
1:34.0,,,75-72,1,J. Butler makes free throw 2 of 2
1:34.0,B. Lopez enters the game for J. Hamilton,,75-70,,
1:24.0,Turnover by S. Dinwiddie (back court),,75-72,,
1:16.0,,,75-74,2,J. Butler makes 2-pt shot from 16 ft
1:07.0,Shooting foul by T. Gibson (drawn by R. Hollis-Jefferson),,75-74,,
1:07.0,R. Hollis-Jefferson misses free throw 1 of 2,,75-74,,
1:07.0,Offensive rebound by Team,,75-74,,
1:07.0,R. Hollis-Jefferson makes free throw 2 of 2,1,76-74,,
0:54.0,,,76-76,2,T. Gibson makes 2-pt shot from 4 ft (assist by M. Carter-Williams)
0:36.0,B. Lopez misses 2-pt shot from 8 ft,,76-76,,
0:36.0,,,76-76,,Defensive rebound by M. Carter-Williams
0:25.0,,,76-76,,J. Butler misses 2-pt shot from 15 ft
0:24.0,Defensive rebound by C. LeVert,,76-76,,
0:03.0,R. Foye makes 2-pt shot from 2 ft,2,78-76,,
0:00.0,,,78-76,,M. Carter-Williams misses 3-pt shot from 44 ft
0:00.0,,,78-76,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:25.0,B. Lopez makes 2-pt shot from 5 ft,2,80-76,,
11:19.0,,,80-76,,Turnover by D. Wade (bad pass; steal by R. Hollis-Jefferson)
11:15.0,R. Hollis-Jefferson makes 2-pt shot at rim,2,82-76,,
11:08.0,,,82-78,2,D. Wade makes 2-pt shot from 1 ft
11:08.0,,,82-78,,Shooting foul by S. Dinwiddie (drawn by D. Wade)
11:08.0,,,82-78,,D. Wade misses free throw 1 of 1
11:07.0,Defensive rebound by S. Dinwiddie,,82-78,,
10:44.0,R. Hollis-Jefferson misses 2-pt shot from 7 ft,,82-78,,
10:42.0,,,82-78,,Defensive rebound by N. Mirotic
10:32.0,,,82-78,,M. Carter-Williams misses 3-pt shot from 25 ft
10:31.0,Defensive rebound by R. Hollis-Jefferson,,82-78,,
10:24.0,Shooting foul by C. Felicio (drawn by R. Hollis-Jefferson),,82-78,,
10:24.0,R. Hollis-Jefferson makes free throw 1 of 2,1,83-78,,
10:24.0,R. Hollis-Jefferson misses free throw 2 of 2,,83-78,,
10:24.0,J. Hamilton enters the game for B. Lopez,,82-78,,
10:16.0,,,83-78,,Defensive rebound by C. Felicio
10:10.0,,,83-78,,D. Wade misses 2-pt shot from 6 ft
10:09.0,Defensive rebound by Team,,83-78,,
10:07.0,,,83-78,,Loose ball foul by D. Wade (drawn by R. Hollis-Jefferson)
9:51.0,J. Hamilton misses 3-pt shot from 25 ft,,83-78,,
9:46.0,,,83-78,,Defensive rebound by M. Carter-Williams
9:41.0,,,83-78,,M. Carter-Williams misses 2-pt shot from 6 ft
9:40.0,,,83-78,,Offensive rebound by D. Wade
9:36.0,,,83-78,,Turnover by N. Mirotic (bad pass)
9:26.0,S. Dinwiddie misses 2-pt shot from 3 ft (block by N. Mirotic),,83-78,,
9:24.0,,,83-78,,Defensive rebound by N. Mirotic
9:19.0,,,83-78,,Shooting foul by S. Dinwiddie (drawn by M. Carter-Williams)
9:19.0,,,83-79,1,M. Carter-Williams makes free throw 1 of 2
9:19.0,,,83-80,1,M. Carter-Williams makes free throw 2 of 2
9:09.0,C. LeVert misses 3-pt shot from 26 ft,,83-80,,
9:08.0,,,83-80,,Defensive rebound by C. Felicio
8:56.0,,,83-80,,D. Wade misses 2-pt shot from 13 ft
8:54.0,Defensive rebound by R. Foye,,83-80,,
8:32.0,C. LeVert misses 3-pt shot from 26 ft,,83-80,,
8:31.0,,,83-80,,Defensive rebound by M. Carter-Williams
8:23.0,,,83-80,,C. Felicio misses 2-pt shot from 1 ft
8:22.0,,,83-80,,Offensive rebound by N. Mirotic
8:22.0,,,83-80,,Shooting foul by R. Hollis-Jefferson (drawn by N. Mirotic)
8:22.0,,,83-81,1,N. Mirotic makes free throw 1 of 2
8:22.0,,,83-82,1,N. Mirotic makes free throw 2 of 2
8:22.0,B. Lopez enters the game for J. Hamilton,,83-80,,
8:22.0,S. Kilpatrick enters the game for S. Dinwiddie,,83-80,,
8:22.0,T. Booker enters the game for R. Hollis-Jefferson,,83-80,,
8:22.0,,,83-80,,J. Butler enters the game for D. McDermott
8:22.0,,,83-81,,D. McDermott enters the game for D. Wade
7:57.0,B. Lopez misses 2-pt shot from 3 ft,,83-82,,
7:56.0,,,83-82,,Defensive rebound by C. Felicio
7:43.0,,,83-82,,Turnover by M. Carter-Williams (bad pass; steal by R. Foye)
7:41.0,R. Foye makes 2-pt shot at rim,2,85-82,,
7:23.0,,,85-82,,N. Mirotic misses 3-pt shot from 25 ft
7:23.0,,,85-82,,Offensive rebound by C. Felicio
7:21.0,,,85-82,,C. Felicio misses 2-pt shot from 2 ft
7:20.0,Defensive rebound by C. LeVert,,85-82,,
7:10.0,B. Lopez makes 2-pt shot from 2 ft,2,87-82,,
7:10.0,Shooting foul by J. Butler (drawn by B. Lopez),,87-82,,
7:10.0,B. Lopez makes free throw 1 of 1,1,88-82,,
7:10.0,,,87-82,,R. Rondo enters the game for M. Carter-Williams
7:10.0,,,87-82,,R. Lopez enters the game for C. Felicio
6:49.0,,,88-84,2,J. Butler makes 2-pt shot from 21 ft
6:32.0,C. LeVert misses 3-pt shot from 26 ft,,88-84,,
6:30.0,Offensive rebound by T. Booker,,88-84,,
6:27.0,S. Kilpatrick misses 3-pt shot from 26 ft,,88-84,,
6:26.0,,,88-84,,Defensive rebound by R. Rondo
