time,Miami,pts.away,score,pts.home,Houston
4:14.0,D. Waiters makes 2-pt shot from 1 ft (assist by J. Johnson),2,26-18,,
4:03.0,,,26-21,3,E. Gordon makes 3-pt shot from 24 ft (assist by J. Harden)
3:36.0,Turnover by Team (shot clock),,26-21,,
3:36.0,,,26-21,,S. Dekker enters the game for R. Anderson
3:32.0,,,26-21,,T. Ariza misses 3-pt shot from 24 ft
3:30.0,Defensive rebound by W. Reed,,26-21,,
3:14.0,R. McGruder makes 3-pt shot from 25 ft (assist by T. Johnson),3,29-21,,
2:58.0,Shooting block foul by W. Reed (drawn by N. Hilario),,29-21,,
2:58.0,Miami full timeout,,29-21,,
2:58.0,,,29-21,,N. Hilario misses free throw 1 of 2
2:58.0,,,29-21,,Offensive rebound by Team
2:58.0,,,29-22,1,N. Hilario makes free throw 2 of 2
2:46.0,,,29-22,,Personal foul by N. Hilario (drawn by W. Reed)
2:46.0,W. Reed makes free throw 1 of 2,1,30-22,,
2:46.0,W. Reed misses free throw 2 of 2,,30-22,,
2:46.0,,,30-22,,Defensive rebound by J. Harden
2:31.0,,,30-24,2,J. Harden makes 2-pt shot from 1 ft
2:06.0,W. Reed misses 2-pt shot from 10 ft,,30-24,,
2:05.0,,,30-24,,Defensive rebound by E. Gordon
1:57.0,,,30-24,,E. Gordon misses 2-pt shot from 2 ft
1:56.0,,,30-24,,Offensive rebound by N. Hilario
1:45.0,,,30-26,2,N. Hilario makes 2-pt shot at rim (assist by J. Harden)
1:24.0,J. Johnson makes 2-pt shot from 14 ft (assist by D. Waiters),2,32-26,,
1:08.0,,,32-26,,E. Gordon misses 2-pt shot from 8 ft
1:07.0,Defensive rebound by J. Johnson,,32-26,,
1:00.0,D. Waiters misses 2-pt shot from 1 ft,,32-26,,
1:00.0,Offensive rebound by D. Waiters,,32-26,,
1:00.0,D. Waiters makes 2-pt shot from 1 ft,2,34-26,,
0:46.0,,,34-26,,S. Dekker misses 3-pt shot from 24 ft
0:44.0,,,34-26,,Offensive rebound by J. Harden
0:38.0,,,34-26,,E. Gordon misses 3-pt shot from 25 ft
0:38.0,Defensive rebound by T. Johnson,,34-26,,
0:24.0,D. Waiters misses 3-pt shot from 25 ft,,34-26,,
0:24.0,,,34-26,,Defensive rebound by Team
0:24.0,,,34-26,,C. Capela enters the game for T. Ariza
0:24.0,,,34-26,,C. Brewer enters the game for N. Hilario
0:24.0,W. Ellington enters the game for R. McGruder,,34-26,,
0:24.0,G. Dragic enters the game for D. Waiters,,34-26,,
0:01.0,,,34-26,,Shooting foul by T. Johnson (drawn by J. Harden)
0:01.0,,,34-27,1,J. Harden makes free throw 1 of 2
0:01.0,,,34-28,1,J. Harden makes free throw 2 of 2
0:01.0,Turnover by J. Johnson (bad pass; steal by E. Gordon),,34-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
12:00.0,Violation by Team (jump ball),,34-28,,
11:35.0,J. Johnson misses 2-pt shot from 20 ft,,34-28,,
11:35.0,,,34-28,,Defensive rebound by S. Dekker
11:25.0,,,34-30,2,P. Beverley makes 2-pt shot from 13 ft
11:09.0,T. Johnson misses 2-pt shot from 14 ft,,34-30,,
11:08.0,Offensive rebound by Team,,34-30,,
11:08.0,,,34-30,,Loose ball foul by C. Capela (drawn by W. Reed)
10:56.0,G. Dragic misses 3-pt shot from 25 ft,,34-30,,
10:55.0,,,34-30,,Defensive rebound by E. Gordon
10:48.0,,,34-30,,E. Gordon misses 3-pt shot from 25 ft
10:47.0,Defensive rebound by W. Reed,,34-30,,
10:39.0,T. Johnson misses 3-pt shot from 24 ft,,34-30,,
10:37.0,,,34-30,,Defensive rebound by C. Capela
10:18.0,,,34-30,,P. Beverley misses 2-pt shot from 4 ft
10:17.0,Defensive rebound by W. Reed,,34-30,,
10:01.0,W. Ellington makes 2-pt shot from 21 ft (assist by W. Reed),2,36-30,,
9:48.0,,,36-30,,Turnover by E. Gordon (traveling)
9:30.0,T. Johnson misses 3-pt shot from 26 ft,,36-30,,
9:29.0,Offensive rebound by W. Reed,,36-30,,
9:25.0,Turnover by W. Reed (back court),,36-30,,
9:11.0,,,36-32,2,C. Capela makes 2-pt shot from 5 ft (assist by P. Beverley)
9:01.0,Turnover by J. Johnson (offensive foul),,36-32,,
9:01.0,Offensive charge foul by J. Johnson,,36-32,,
9:01.0,H. Whiteside enters the game for W. Reed,,36-32,,
8:41.0,,,36-32,,P. Beverley misses 2-pt shot from 13 ft
8:39.0,,,36-32,,Offensive rebound by C. Brewer
8:39.0,,,36-34,2,C. Brewer makes 2-pt shot from 1 ft
8:19.0,G. Dragic misses 3-pt shot from 25 ft,,36-34,,
8:18.0,Offensive rebound by W. Ellington,,36-34,,
8:14.0,W. Ellington misses 3-pt shot from 26 ft,,36-34,,
8:11.0,,,36-34,,Defensive rebound by C. Capela
8:00.0,,,36-34,,Shooting foul by G. Dragic (drawn by P. Beverley)
8:00.0,Official timeout,,36-34,,
8:00.0,,,36-35,1,P. Beverley makes free throw 1 of 2
8:00.0,,,36-35,,P. Beverley misses free throw 2 of 2
8:00.0,Defensive rebound by H. Whiteside,,36-35,,
7:39.0,Shooting foul by C. Capela (drawn by H. Whiteside),,36-35,,
7:39.0,H. Whiteside misses free throw 1 of 2,,36-35,,
7:39.0,Offensive rebound by Team,,36-35,,
7:39.0,H. Whiteside makes free throw 2 of 2,1,37-35,,
7:39.0,,,36-35,,N. Hilario enters the game for C. Capela
7:28.0,,,37-35,,Turnover by P. Beverley (bad pass)
7:07.0,T. Johnson misses 3-pt shot from 25 ft,,37-35,,
7:05.0,Offensive rebound by H. Whiteside,,37-35,,
6:56.0,W. Ellington misses 2-pt shot from 11 ft,,37-35,,
6:55.0,Offensive rebound by T. Johnson,,37-35,,
6:46.0,J. Johnson misses 3-pt shot from 25 ft,,37-35,,
6:44.0,Offensive rebound by T. Johnson,,37-35,,
6:25.0,H. Whiteside misses 2-pt shot from 14 ft,,37-35,,
6:24.0,Offensive rebound by T. Johnson,,37-35,,
6:22.0,T. Johnson makes 2-pt shot from 1 ft,2,39-35,,
6:05.0,,,39-35,,E. Gordon misses 3-pt shot from 24 ft
6:03.0,Defensive rebound by H. Whiteside,,39-35,,
5:57.0,J. Johnson makes 2-pt shot at rim,2,41-35,,
5:53.0,,,41-35,,Houston full timeout
5:53.0,,,41-35,,J. Harden enters the game for P. Beverley
5:53.0,,,41-35,,R. Anderson enters the game for S. Dekker
5:53.0,D. Waiters enters the game for G. Dragic,,41-35,,
5:46.0,Violation by T. Johnson (def goaltending),,41-35,,
5:46.0,,,41-37,2,E. Gordon makes 2-pt shot from 1 ft (assist by J. Harden)
5:46.0,,,41-37,,Shooting foul by T. Johnson (drawn by E. Gordon)
5:46.0,,,41-38,1,E. Gordon makes free throw 1 of 1
5:29.0,J. Johnson misses 2-pt shot from 2 ft,,41-38,,
5:29.0,Offensive rebound by H. Whiteside,,41-38,,
5:20.0,W. Ellington makes 3-pt shot from 25 ft (assist by T. Johnson),3,44-38,,
5:06.0,,,44-38,,J. Harden misses 3-pt shot from 26 ft
5:04.0,Defensive rebound by H. Whiteside,,44-38,,
4:52.0,D. Waiters misses 2-pt shot from 17 ft,,44-38,,
4:51.0,Offensive rebound by T. Johnson,,44-38,,
4:51.0,Shooting foul by C. Brewer (drawn by T. Johnson),,44-38,,
4:51.0,T. Johnson makes 2-pt shot from 1 ft,2,46-38,,
4:51.0,T. Johnson makes free throw 1 of 1,1,47-38,,
4:51.0,,,46-38,,T. Ariza enters the game for C. Brewer
4:51.0,L. Babbitt enters the game for J. Johnson,,46-38,,
4:40.0,,,47-38,,E. Gordon misses 2-pt shot at rim
4:39.0,,,47-38,,Offensive rebound by N. Hilario
4:33.0,,,47-38,,R. Anderson misses 2-pt shot from 19 ft
4:32.0,,,47-38,,Offensive rebound by N. Hilario
4:29.0,,,47-38,,E. Gordon misses 3-pt shot from 26 ft
4:27.0,Defensive rebound by Team,,47-38,,
4:12.0,L. Babbitt makes 3-pt shot from 23 ft (assist by D. Waiters),3,50-38,,
3:58.0,,,50-41,3,J. Harden makes 3-pt shot from 25 ft
3:41.0,,,50-41,,Personal foul by J. Harden (drawn by T. Johnson)
3:29.0,D. Waiters misses 3-pt shot from 26 ft,,50-41,,
3:27.0,Offensive rebound by H. Whiteside,,50-41,,
3:27.0,Shooting foul by N. Hilario (drawn by H. Whiteside),,50-41,,
3:27.0,H. Whiteside makes 2-pt shot from 4 ft,2,52-41,,
3:27.0,H. Whiteside makes free throw 1 of 1,1,53-41,,
3:27.0,R. McGruder enters the game for T. Johnson,,52-41,,
3:14.0,,,53-41,,J. Harden misses 3-pt shot from 24 ft
3:12.0,,,53-41,,Offensive rebound by N. Hilario
3:07.0,,,53-41,,N. Hilario misses 2-pt shot from 3 ft
3:06.0,Defensive rebound by H. Whiteside,,53-41,,
2:49.0,R. McGruder misses 3-pt shot from 25 ft,,53-41,,
2:48.0,,,53-41,,Defensive rebound by N. Hilario
2:36.0,,,53-41,,R. Anderson misses 2-pt shot from 6 ft
2:36.0,Defensive rebound by Team,,53-41,,
2:36.0,Miami full timeout,,53-41,,
2:36.0,G. Dragic enters the game for L. Babbitt,,53-41,,
2:36.0,J. Johnson enters the game for W. Ellington,,53-41,,
2:20.0,D. Waiters makes 2-pt shot from 18 ft,2,55-41,,
2:02.0,,,55-43,2,J. Harden makes 2-pt shot from 2 ft
1:39.0,D. Waiters makes 3-pt shot from 25 ft (assist by R. McGruder),3,58-43,,
1:23.0,,,58-43,,Offensive charge foul by T. Ariza
1:23.0,,,58-43,,Turnover by T. Ariza (offensive foul)
1:23.0,W. Reed enters the game for H. Whiteside,,58-43,,
1:03.0,G. Dragic misses 3-pt shot from 24 ft,,58-43,,
1:01.0,,,58-43,,Defensive rebound by N. Hilario
0:53.0,,,58-45,2,J. Harden makes 2-pt shot from 1 ft
0:42.0,R. McGruder misses 3-pt shot from 24 ft,,58-45,,
0:41.0,,,58-45,,Defensive rebound by N. Hilario
0:29.0,,,58-45,,Turnover by J. Harden (bad pass)
0:08.0,J. Johnson misses 2-pt shot from 6 ft,,58-45,,
0:07.0,,,58-45,,Defensive rebound by J. Harden
0:01.0,,,58-45,,T. Ariza misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by J. Johnson,,58-45,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,R. McGruder makes 3-pt shot from 25 ft (assist by L. Babbitt),3,61-45,,
11:21.0,,,61-45,,T. Ariza misses 3-pt shot from 25 ft
11:20.0,Defensive rebound by H. Whiteside,,61-45,,
11:11.0,Turnover by D. Waiters (bad pass; steal by T. Ariza),,61-45,,
10:58.0,,,61-45,,Shooting foul by D. Waiters (drawn by C. Capela)
10:58.0,,,61-46,1,C. Capela makes free throw 1 of 2
10:58.0,,,61-47,1,C. Capela makes free throw 2 of 2
10:43.0,D. Waiters misses 3-pt shot from 25 ft,,61-47,,
10:42.0,,,61-47,,Defensive rebound by J. Harden
10:37.0,,,61-49,2,T. Ariza makes 2-pt shot from 2 ft (assist by J. Harden)
10:18.0,G. Dragic misses 2-pt shot from 23 ft,,61-49,,
10:17.0,,,61-49,,Defensive rebound by T. Ariza
10:09.0,,,61-49,,Shooting foul by L. Babbitt (drawn by J. Harden)
10:09.0,,,61-50,1,J. Harden makes free throw 1 of 2
10:09.0,,,61-51,1,J. Harden makes free throw 2 of 2
9:52.0,H. Whiteside makes 2-pt shot from 1 ft (assist by G. Dragic),2,63-51,,
9:35.0,,,63-53,2,C. Capela makes 2-pt shot at rim (assist by T. Ariza)
9:18.0,Shooting foul by J. Harden (drawn by H. Whiteside),,63-53,,
9:18.0,H. Whiteside makes free throw 1 of 2,1,64-53,,
9:18.0,H. Whiteside makes free throw 2 of 2,1,65-53,,
8:55.0,,,65-55,2,C. Brewer makes 2-pt shot from 13 ft (assist by T. Ariza)
8:33.0,L. Babbitt makes 3-pt shot from 23 ft (assist by G. Dragic),3,68-55,,
8:16.0,,,68-57,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
7:56.0,H. Whiteside misses 2-pt shot from 13 ft,,68-57,,
7:54.0,,,68-57,,Defensive rebound by Team
7:43.0,,,68-57,,C. Capela misses 2-pt shot from 4 ft
7:42.0,Defensive rebound by D. Waiters,,68-57,,
7:37.0,G. Dragic makes 2-pt shot from 1 ft (assist by D. Waiters),2,70-57,,
7:10.0,,,70-57,,J. Harden misses 3-pt shot from 25 ft
7:09.0,Defensive rebound by D. Waiters,,70-57,,
6:55.0,H. Whiteside makes 2-pt shot at rim (assist by R. McGruder),2,72-57,,
6:38.0,,,72-59,2,C. Capela makes 2-pt shot from 5 ft (assist by C. Brewer)
6:38.0,,,72-59,,Shooting foul by G. Dragic (drawn by C. Capela)
6:38.0,,,72-59,,C. Capela misses free throw 1 of 1
6:38.0,Defensive rebound by H. Whiteside,,72-59,,
6:18.0,H. Whiteside misses 2-pt shot at rim,,72-59,,
6:14.0,,,72-59,,Defensive rebound by C. Brewer
6:08.0,,,72-59,,J. Harden misses 2-pt shot from 2 ft
6:07.0,Defensive rebound by D. Waiters,,72-59,,
6:04.0,H. Whiteside makes 2-pt shot at rim (assist by D. Waiters),2,74-59,,
6:04.0,Shooting foul by C. Brewer (drawn by H. Whiteside),,74-59,,
6:04.0,H. Whiteside misses free throw 1 of 1,,74-59,,
6:04.0,,,74-59,,Defensive rebound by R. Anderson
6:04.0,,,74-59,,N. Hilario enters the game for C. Capela
6:04.0,T. Johnson enters the game for G. Dragic,,74-59,,
6:04.0,,,74-59,,E. Gordon enters the game for C. Brewer
5:49.0,,,74-59,,R. Anderson misses 3-pt shot from 25 ft
5:48.0,Defensive rebound by H. Whiteside,,74-59,,
5:37.0,L. Babbitt misses 3-pt shot from 25 ft,,74-59,,
5:36.0,Offensive rebound by Team,,74-59,,
5:36.0,,,74-59,,Loose ball foul by J. Harden (drawn by D. Waiters)
5:36.0,,,74-59,,Houston full timeout
5:15.0,H. Whiteside misses 2-pt shot from 11 ft,,74-59,,
5:15.0,,,74-59,,Defensive rebound by J. Harden
5:05.0,,,74-59,,E. Gordon misses 3-pt shot from 24 ft
5:02.0,Defensive rebound by H. Whiteside,,74-59,,
4:56.0,Shooting foul by N. Hilario (drawn by D. Waiters),,74-59,,
4:56.0,D. Waiters makes free throw 1 of 2,1,75-59,,
4:56.0,D. Waiters misses free throw 2 of 2,,75-59,,
4:56.0,,,75-59,,Defensive rebound by T. Ariza
4:45.0,Personal foul by R. McGruder (drawn by J. Harden),,75-59,,
4:45.0,,,75-59,,S. Dekker enters the game for R. Anderson
4:39.0,,,75-59,,N. Hilario misses 2-pt shot from 3 ft (block by H. Whiteside)
4:37.0,Defensive rebound by D. Waiters,,75-59,,
4:24.0,D. Waiters misses 2-pt shot from 7 ft,,75-59,,
4:23.0,,,75-59,,Defensive rebound by Team
4:13.0,,,75-59,,Shooting foul by H. Whiteside (drawn by J. Harden)
4:13.0,,,75-60,1,J. Harden makes free throw 1 of 2
4:13.0,,,75-61,1,J. Harden makes free throw 2 of 2
4:02.0,R. McGruder makes 3-pt shot from 24 ft (assist by T. Johnson),3,78-61,,
3:48.0,,,78-61,,Turnover by T. Ariza (bad pass; steal by R. McGruder)
3:38.0,Turnover by T. Johnson (bad pass; steal by S. Dekker),,78-61,,
3:30.0,,,78-61,,S. Dekker misses 3-pt shot from 25 ft
3:25.0,Defensive rebound by H. Whiteside,,78-61,,
3:22.0,Miami full timeout,,78-61,,
3:22.0,J. Johnson enters the game for L. Babbitt,,78-61,,
3:10.0,T. Johnson makes 2-pt shot from 1 ft (assist by D. Waiters),2,80-61,,
2:55.0,,,80-64,3,J. Harden makes 3-pt shot from 25 ft
2:32.0,H. Whiteside makes 2-pt shot from 12 ft,2,82-64,,
2:04.0,,,82-64,,N. Hilario misses 3-pt shot from 25 ft
2:03.0,Defensive rebound by T. Johnson,,82-64,,
1:56.0,R. McGruder misses 3-pt shot from 23 ft,,82-64,,
1:55.0,,,82-64,,Defensive rebound by J. Harden
1:48.0,,,82-64,,J. Harden misses 2-pt shot from 12 ft
1:46.0,,,82-64,,Offensive rebound by N. Hilario
1:45.0,,,82-64,,Shooting foul by D. Waiters (drawn by N. Hilario)
1:45.0,,,82-64,,N. Hilario misses free throw 1 of 2
1:45.0,,,82-64,,Offensive rebound by Team
1:45.0,,,82-65,1,N. Hilario makes free throw 2 of 2
1:45.0,W. Reed enters the game for H. Whiteside,,82-64,,
1:45.0,,,82-64,,C. Brewer enters the game for T. Ariza
1:31.0,J. Johnson misses 2-pt shot from 10 ft,,82-65,,
1:31.0,Offensive rebound by R. McGruder,,82-65,,
1:27.0,D. Waiters makes 3-pt shot from 24 ft (assist by J. Johnson),3,85-65,,
1:09.0,,,85-67,2,S. Dekker makes 2-pt shot from 2 ft (assist by N. Hilario)
0:47.0,J. Johnson misses 3-pt shot from 24 ft,,85-67,,
0:46.0,,,85-67,,Defensive rebound by N. Hilario
0:38.0,,,85-70,3,E. Gordon makes 3-pt shot from 25 ft (assist by C. Brewer)
0:23.0,,,85-70,,Violation by C. Brewer (kicked ball)
0:23.0,,,85-70,,M. Harrell enters the game for N. Hilario
0:23.0,W. Ellington enters the game for R. McGruder,,85-70,,
0:09.0,D. Waiters makes 3-pt shot from 26 ft,3,88-70,,
0:02.0,,,88-73,3,J. Harden makes 3-pt shot from 25 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,88-73,,J. Harden misses 2-pt shot from 11 ft
11:42.0,Defensive rebound by J. Johnson,,88-73,,
11:27.0,G. Dragic makes 2-pt shot from 11 ft,2,90-73,,
11:13.0,,,90-75,2,S. Dekker makes 2-pt shot at rim (assist by E. Gordon)
10:59.0,W. Ellington misses 3-pt shot from 24 ft,,90-75,,
10:58.0,,,90-75,,Defensive rebound by M. Harrell
10:52.0,,,90-75,,Shooting foul by J. Johnson (drawn by J. Harden)
10:52.0,,,90-76,1,J. Harden makes free throw 1 of 2
10:52.0,,,90-77,1,J. Harden makes free throw 2 of 2
10:39.0,Turnover by G. Dragic (lost ball; steal by C. Brewer),,90-77,,
10:31.0,,,90-77,,Shooting foul by J. Johnson (drawn by J. Harden)
10:31.0,,,90-78,1,J. Harden makes free throw 1 of 3
10:31.0,,,90-79,1,J. Harden makes free throw 2 of 3
10:31.0,,,90-80,1,J. Harden makes free throw 3 of 3
10:26.0,,,90-80,,Personal foul by C. Brewer (drawn by G. Dragic)
10:23.0,,,90-80,,Personal foul by C. Brewer (drawn by G. Dragic)
10:09.0,J. Johnson misses 2-pt shot from 7 ft,,90-80,,
10:07.0,Offensive rebound by W. Reed,,90-80,,
10:07.0,W. Reed makes 2-pt shot at rim,2,92-80,,
9:58.0,,,92-80,,M. Harrell misses 2-pt shot from 2 ft (block by W. Reed)
9:57.0,,,92-80,,Offensive rebound by Team
9:46.0,,,92-80,,S. Dekker misses 3-pt shot from 25 ft
9:46.0,Defensive rebound by Team,,92-80,,
9:46.0,,,92-80,,Loose ball foul by J. Harden (drawn by T. Johnson)
9:30.0,Shooting foul by M. Harrell (drawn by G. Dragic),,92-80,,
9:30.0,G. Dragic makes free throw 1 of 2,1,93-80,,
9:30.0,G. Dragic misses free throw 2 of 2,,93-80,,
9:30.0,,,93-80,,Defensive rebound by T. Ariza
9:30.0,,,93-80,,T. Ariza enters the game for S. Dekker
9:30.0,,,93-80,,R. Anderson enters the game for M. Harrell
9:11.0,,,93-80,,J. Harden misses 3-pt shot from 25 ft
9:10.0,Defensive rebound by G. Dragic,,93-80,,
8:56.0,T. Johnson makes 2-pt shot from 19 ft (assist by J. Johnson),2,95-80,,
8:40.0,,,95-80,,E. Gordon misses 2-pt shot from 2 ft
8:40.0,Defensive rebound by J. Johnson,,95-80,,
8:26.0,G. Dragic misses 3-pt shot from 24 ft,,95-80,,
8:25.0,,,95-80,,Defensive rebound by J. Harden
8:18.0,,,95-80,,J. Harden misses 2-pt shot at rim
8:18.0,Defensive rebound by W. Reed,,95-80,,
8:08.0,T. Johnson makes 3-pt shot from 25 ft (assist by W. Ellington),3,98-80,,
8:06.0,,,98-80,,Houston full timeout
8:06.0,,,98-80,,S. Dekker enters the game for E. Gordon
7:54.0,,,98-83,3,R. Anderson makes 3-pt shot from 26 ft (assist by J. Harden)
7:36.0,G. Dragic makes 2-pt shot from 6 ft,2,100-83,,
7:23.0,,,100-86,3,R. Anderson makes 3-pt shot from 26 ft (assist by J. Harden)
7:21.0,Miami full timeout,,100-86,,
7:21.0,H. Whiteside enters the game for W. Reed,,100-86,,
7:01.0,Turnover by T. Johnson (lost ball),,100-86,,
7:01.0,D. Waiters enters the game for W. Ellington,,100-86,,
6:38.0,,,100-88,2,S. Dekker makes 2-pt shot from 15 ft (assist by R. Anderson)
6:16.0,D. Waiters makes 3-pt shot from 25 ft (assist by G. Dragic),3,103-88,,
5:55.0,,,103-91,3,R. Anderson makes 3-pt shot from 23 ft
5:40.0,J. Johnson makes 2-pt shot from 16 ft (assist by G. Dragic),2,105-91,,
5:33.0,,,105-94,3,R. Anderson makes 3-pt shot from 25 ft (assist by J. Harden)
5:15.0,Offensive charge foul by J. Johnson,,105-94,,
5:15.0,Turnover by J. Johnson (offensive foul),,105-94,,
5:04.0,,,105-96,2,J. Harden makes 2-pt shot from 1 ft
4:49.0,Shooting foul by C. Brewer (drawn by G. Dragic),,105-96,,
4:49.0,G. Dragic makes free throw 1 of 2,1,106-96,,
4:49.0,G. Dragic makes free throw 2 of 2,1,107-96,,
4:29.0,,,107-96,,R. Anderson misses 3-pt shot from 25 ft
4:27.0,Defensive rebound by D. Waiters,,107-96,,
4:09.0,G. Dragic misses 3-pt shot from 26 ft,,107-96,,
4:09.0,Offensive rebound by Team,,107-96,,
4:09.0,,,107-96,,Loose ball foul by R. Anderson (drawn by H. Whiteside)
4:09.0,H. Whiteside makes free throw 1 of 2,1,108-96,,
4:09.0,H. Whiteside misses free throw 2 of 2,,108-96,,
4:09.0,,,108-96,,Defensive rebound by J. Harden
4:09.0,,,107-96,,E. Gordon enters the game for S. Dekker
3:56.0,,,108-96,,R. Anderson misses 2-pt shot from 1 ft (block by H. Whiteside)
3:54.0,,,108-96,,Offensive rebound by R. Anderson
3:53.0,,,108-96,,R. Anderson misses 2-pt shot from 1 ft
