time,Phoenix,pts.away,score,pts.home,Charlotte
1:11.0,A. Len makes free throw 2 of 2,1,45-64,,
1:00.0,,,45-64,,K. Walker misses 3-pt shot from 25 ft
0:59.0,Defensive rebound by D. Booker,,45-64,,
0:53.0,D. Booker misses 2-pt shot from 13 ft,,45-64,,
0:50.0,Offensive rebound by T. Warren,,45-64,,
0:50.0,T. Warren misses 2-pt shot from 1 ft,,45-64,,
0:48.0,,,45-64,,Defensive rebound by N. Batum
0:41.0,,,45-66,2,C. Zeller makes 2-pt shot at rim (assist by K. Walker)
0:33.0,A. Len misses 2-pt shot from 17 ft,,45-66,,
0:30.0,,,45-66,,Defensive rebound by C. Zeller
0:10.0,,,45-66,,C. Zeller misses 2-pt shot from 1 ft (block by A. Len)
0:08.0,Defensive rebound by D. Booker,,45-66,,
0:04.0,T. Warren makes 2-pt shot from 16 ft (assist by D. Booker),2,47-66,,
0:01.0,,,47-69,3,K. Walker makes 3-pt shot from 25 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,T. Ulis misses 2-pt shot from 7 ft,,47-69,,
11:47.0,,,47-69,,Defensive rebound by C. Zeller
11:34.0,,,47-69,,Shooting foul by D. Booker (drawn by C. Zeller)
11:34.0,,,47-69,,C. Zeller misses free throw 1 of 2
11:34.0,,,47-69,,Offensive rebound by Team
11:34.0,,,47-70,1,C. Zeller makes free throw 2 of 2
11:21.0,,,47-70,,Violation by M. Williams (kicked ball)
11:16.0,D. Booker misses 2-pt shot from 20 ft,,47-70,,
11:15.0,,,47-70,,Defensive rebound by C. Zeller
11:06.0,,,47-72,2,M. Kidd-Gilchrist makes 2-pt shot from 10 ft (assist by K. Walker)
10:51.0,M. Chriss misses 2-pt shot from 11 ft,,47-72,,
10:50.0,,,47-72,,Defensive rebound by M. Kidd-Gilchrist
10:39.0,,,47-72,,Turnover by M. Williams (bad pass)
10:25.0,T. Warren makes 2-pt shot from 7 ft (assist by T. Ulis),2,49-72,,
10:08.0,,,49-74,2,K. Walker makes 2-pt shot from 19 ft
9:52.0,M. Chriss makes 2-pt shot from 1 ft (assist by D. Booker),2,51-74,,
9:39.0,,,51-74,,N. Batum misses 2-pt shot from 16 ft
9:37.0,Defensive rebound by T. Ulis,,51-74,,
9:31.0,T. Ulis makes 2-pt shot from 17 ft (assist by D. Booker),2,53-74,,
9:14.0,,,53-74,,K. Walker misses 3-pt shot from 23 ft
9:14.0,Defensive rebound by Team,,53-74,,
8:55.0,T. Warren misses 2-pt shot from 3 ft,,53-74,,
8:54.0,Offensive rebound by T. Warren,,53-74,,
8:54.0,T. Warren makes 2-pt shot from 1 ft,2,55-74,,
8:54.0,Shooting foul by C. Zeller,,55-74,,
8:54.0,T. Warren makes free throw 1 of 1,1,56-74,,
8:39.0,,,56-74,,N. Batum misses 3-pt shot from 25 ft
8:38.0,Defensive rebound by M. Chriss,,56-74,,
8:34.0,Shooting foul by M. Kidd-Gilchrist (drawn by D. Booker),,56-74,,
8:34.0,D. Booker makes free throw 1 of 2,1,57-74,,
8:34.0,D. Booker makes free throw 2 of 2,1,58-74,,
8:09.0,,,58-74,,M. Kidd-Gilchrist misses 2-pt shot from 18 ft
8:08.0,Defensive rebound by A. Len,,58-74,,
8:01.0,D. Booker misses 2-pt shot from 22 ft,,58-74,,
8:00.0,,,58-74,,Defensive rebound by C. Zeller
7:47.0,,,58-74,,K. Walker misses 2-pt shot from 1 ft
7:46.0,Defensive rebound by T. Warren,,58-74,,
7:37.0,M. Chriss makes 3-pt shot from 23 ft (assist by T. Ulis),3,61-74,,
7:37.0,,,61-74,,Charlotte full timeout
7:32.0,Personal foul by M. Chriss (drawn by K. Walker),,61-74,,
7:06.0,,,61-74,,C. Zeller misses 2-pt shot from 18 ft
7:05.0,Defensive rebound by T. Warren,,61-74,,
6:43.0,M. Chriss makes 2-pt shot from 21 ft (assist by D. Booker),2,63-74,,
6:24.0,,,63-76,2,N. Batum makes 2-pt shot from 6 ft
6:21.0,D. Booker makes 2-pt shot from 3 ft,2,65-76,,
6:21.0,Shooting foul by M. Kidd-Gilchrist (drawn by D. Booker),,65-76,,
6:21.0,D. Booker makes free throw 1 of 1,1,66-76,,
6:21.0,,,65-76,,F. Kaminsky enters the game for M. Williams
6:12.0,,,66-76,,Shooting foul by T. Warren (drawn by N. Batum)
6:12.0,,,66-77,1,N. Batum makes free throw 1 of 2
6:12.0,,,66-77,,N. Batum misses free throw 2 of 2
6:11.0,Defensive rebound by M. Chriss,,66-77,,
5:59.0,D. Booker misses 3-pt shot from 24 ft,,66-77,,
5:58.0,Offensive rebound by T. Warren,,66-77,,
5:55.0,T. Warren misses 2-pt shot from 11 ft,,66-77,,
5:54.0,,,66-77,,Defensive rebound by F. Kaminsky
5:42.0,,,66-79,2,M. Kidd-Gilchrist makes 2-pt shot from 15 ft (assist by K. Walker)
5:22.0,T. Ulis makes 2-pt shot from 12 ft,2,68-79,,
5:03.0,,,68-79,,N. Batum misses 2-pt shot from 1 ft
5:02.0,Defensive rebound by A. Len,,68-79,,
4:55.0,T. Warren misses 2-pt shot from 6 ft,,68-79,,
4:52.0,Offensive rebound by T. Warren,,68-79,,
4:52.0,T. Warren makes 2-pt shot from 7 ft,2,70-79,,
4:39.0,Personal foul by T. Warren,,70-79,,
4:39.0,,,70-79,,M. Belinelli enters the game for N. Batum
4:28.0,,,70-79,,Shooting foul by A. Len (drawn by K. Walker)
4:28.0,,,70-80,1,K. Walker makes free throw 1 of 2
4:28.0,,,70-81,1,K. Walker makes free throw 2 of 2
4:07.0,M. Chriss misses 3-pt shot from 24 ft,,70-81,,
4:06.0,,,70-81,,Defensive rebound by F. Kaminsky
3:44.0,,,70-83,2,F. Kaminsky makes 2-pt shot from 20 ft (assist by M. Kidd-Gilchrist)
3:27.0,T. Ulis makes 2-pt shot from 1 ft,2,72-83,,
3:12.0,,,72-85,2,K. Walker makes 2-pt shot from 17 ft
2:56.0,T. Warren makes 2-pt shot at rim (assist by T. Ulis),2,74-85,,
2:56.0,,,74-85,,Charlotte full timeout
2:56.0,Phoenix full timeout,,74-85,,
2:56.0,A. Williams enters the game for A. Len,,74-85,,
2:56.0,,,74-85,,M. Williams enters the game for C. Zeller
2:39.0,Personal foul by A. Williams (drawn by M. Belinelli),,74-85,,
2:39.0,,,74-86,1,M. Belinelli makes free throw 1 of 2
2:39.0,,,74-87,1,M. Belinelli makes free throw 2 of 2
2:22.0,M. Chriss misses 3-pt shot from 25 ft,,74-87,,
2:21.0,,,74-87,,Defensive rebound by F. Kaminsky
2:07.0,,,74-87,,K. Walker misses 2-pt shot from 12 ft
2:05.0,Defensive rebound by D. Booker,,74-87,,
2:00.0,M. Chriss misses 2-pt shot at rim,,74-87,,
1:59.0,,,74-87,,Defensive rebound by M. Belinelli
1:51.0,,,74-87,,F. Kaminsky misses 2-pt shot from 2 ft
1:50.0,,,74-87,,Offensive rebound by M. Kidd-Gilchrist
1:50.0,,,74-89,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft
1:35.0,D. Booker makes 2-pt shot from 15 ft,2,76-89,,
1:25.0,Personal foul by T. Ulis (drawn by K. Walker),,76-89,,
1:25.0,,,76-90,1,K. Walker makes free throw 1 of 2
1:25.0,,,76-91,1,K. Walker makes free throw 2 of 2
1:25.0,J. Dudley enters the game for M. Chriss,,76-90,,
1:13.0,D. Booker misses 3-pt shot from 26 ft,,76-91,,
1:12.0,,,76-91,,Defensive rebound by M. Williams
1:00.0,Personal foul by J. Dudley (drawn by M. Williams),,76-91,,
1:00.0,,,76-92,1,M. Williams makes free throw 1 of 2
1:00.0,,,76-93,1,M. Williams makes free throw 2 of 2
0:43.0,D. Booker makes 2-pt shot from 18 ft,2,78-93,,
0:32.0,,,78-96,3,K. Walker makes 3-pt shot from 26 ft
0:11.0,Shooting foul by F. Kaminsky (drawn by D. Booker),,78-96,,
0:11.0,D. Booker makes free throw 1 of 2,1,79-96,,
0:11.0,D. Booker makes free throw 2 of 2,1,80-96,,
0:11.0,D. Jones enters the game for T. Ulis,,79-96,,
0:00.0,,,80-98,2,K. Walker makes 2-pt shot from 16 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:34.0,,,80-98,,F. Kaminsky misses 2-pt shot from 18 ft
11:33.0,Defensive rebound by A. Williams,,80-98,,
11:19.0,T. Warren misses 2-pt shot from 13 ft,,80-98,,
11:18.0,,,80-98,,Defensive rebound by J. Lamb
11:10.0,,,80-98,,M. Belinelli misses 3-pt shot from 24 ft
11:10.0,Defensive rebound by Team,,80-98,,
10:47.0,J. Dudley makes 2-pt shot from 20 ft (assist by T. Ulis),2,82-98,,
10:31.0,,,82-100,2,M. Belinelli makes 2-pt shot from 22 ft (assist by F. Kaminsky)
10:14.0,T. Ulis misses 3-pt shot from 25 ft,,82-100,,
10:12.0,Offensive rebound by A. Williams,,82-100,,
10:12.0,A. Williams makes 2-pt shot from 1 ft,2,84-100,,
9:40.0,,,84-100,,M. Williams misses 2-pt shot from 16 ft
9:38.0,Defensive rebound by T. Ulis,,84-100,,
9:21.0,Shooting foul by F. Kaminsky (drawn by A. Williams),,84-100,,
9:21.0,A. Williams makes free throw 1 of 2,1,85-100,,
9:21.0,A. Williams misses free throw 2 of 2,,85-100,,
9:17.0,,,85-100,,Defensive rebound by M. Williams
9:04.0,,,85-100,,J. Lamb misses 2-pt shot from 1 ft
9:03.0,Defensive rebound by A. Williams,,85-100,,
8:58.0,T. Warren makes 2-pt shot from 10 ft,2,87-100,,
8:42.0,,,87-100,,J. Lamb misses 2-pt shot from 2 ft
8:41.0,Defensive rebound by A. Williams,,87-100,,
8:35.0,J. Dudley makes 3-pt shot from 25 ft (assist by T. Ulis),3,90-100,,
8:35.0,,,90-100,,Charlotte full timeout
8:35.0,,,90-100,,K. Walker enters the game for B. Weber
8:35.0,,,90-100,,N. Batum enters the game for J. Lamb
8:10.0,,,90-100,,M. Belinelli misses 2-pt shot from 16 ft
8:10.0,,,90-100,,Offensive rebound by Team
8:01.0,,,90-100,,N. Batum misses 3-pt shot from 23 ft
8:00.0,Defensive rebound by A. Williams,,90-100,,
7:42.0,T. Warren misses 2-pt shot from 16 ft,,90-100,,
7:41.0,,,90-100,,Defensive rebound by N. Batum
7:30.0,,,90-100,,Turnover by N. Batum (bad pass; steal by T. Warren)
7:24.0,T. Warren makes 2-pt shot from 1 ft (assist by J. Dudley),2,92-100,,
6:56.0,,,92-103,3,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker)
6:39.0,A. Williams makes 2-pt shot from 1 ft (assist by T. Ulis),2,94-103,,
6:23.0,,,94-103,,K. Walker misses 3-pt shot from 25 ft
6:22.0,Defensive rebound by J. Dudley,,94-103,,
6:06.0,T. Ulis misses 2-pt shot from 16 ft,,94-103,,
6:06.0,,,94-103,,Defensive rebound by Team
6:06.0,,,94-103,,C. Zeller enters the game for M. Williams
5:52.0,,,94-103,,Turnover by C. Zeller (bad pass; steal by T. Warren)
5:51.0,,,94-103,,Personal foul by F. Kaminsky
5:51.0,Official timeout,,94-103,,
5:40.0,J. Dudley makes 3-pt shot from 26 ft (assist by T. Ulis),3,97-103,,
5:24.0,,,97-105,2,K. Walker makes 2-pt shot from 23 ft (assist by N. Batum)
5:13.0,T. Ulis makes 2-pt shot from 12 ft,2,99-105,,
4:50.0,,,99-105,,F. Kaminsky misses 3-pt shot from 27 ft
4:50.0,Defensive rebound by Team,,99-105,,
4:50.0,D. Booker enters the game for D. Jones,,99-105,,
4:50.0,,,99-105,,M. Kidd-Gilchrist enters the game for M. Belinelli
4:40.0,T. Ulis misses 2-pt shot from 2 ft (block by M. Kidd-Gilchrist),,99-105,,
4:40.0,Offensive rebound by Team,,99-105,,
4:40.0,,,99-105,,M. Williams enters the game for F. Kaminsky
4:36.0,T. Warren makes 2-pt shot from 1 ft (assist by T. Ulis),2,101-105,,
4:18.0,,,101-108,3,N. Batum makes 3-pt shot from 25 ft (assist by C. Zeller)
3:57.0,T. Ulis misses 2-pt shot from 12 ft,,101-108,,
3:56.0,,,101-108,,Defensive rebound by N. Batum
3:48.0,,,101-110,2,K. Walker makes 2-pt shot from 1 ft (assist by N. Batum)
3:48.0,Phoenix full timeout,,101-110,,
3:48.0,M. Chriss enters the game for J. Dudley,,101-110,,
3:43.0,Offensive foul by A. Williams,,101-110,,
3:43.0,Turnover by A. Williams (offensive foul),,101-110,,
3:28.0,,,101-110,,K. Walker misses 2-pt shot from 16 ft
3:27.0,,,101-110,,Offensive rebound by C. Zeller
3:13.0,,,101-112,2,N. Batum makes 2-pt shot from 11 ft
2:58.0,D. Booker misses 2-pt shot from 22 ft,,101-112,,
2:57.0,,,101-112,,Defensive rebound by K. Walker
2:52.0,,,101-114,2,C. Zeller makes 2-pt shot from 1 ft (assist by K. Walker)
2:52.0,Phoenix full timeout,,101-114,,
2:35.0,Turnover by M. Chriss (lost ball; steal by M. Kidd-Gilchrist),,101-114,,
2:12.0,,,101-116,2,M. Williams makes 2-pt shot from 2 ft (assist by N. Batum)
1:56.0,A. Williams misses 2-pt shot from 5 ft,,101-116,,
1:53.0,,,101-116,,Defensive rebound by N. Batum
1:32.0,,,101-116,,N. Batum misses 3-pt shot from 24 ft
1:31.0,Defensive rebound by A. Williams,,101-116,,
1:24.0,Shooting foul by C. Zeller (drawn by M. Chriss),,101-116,,
1:24.0,M. Chriss misses free throw 1 of 2,,101-116,,
1:24.0,Offensive rebound by Team,,101-116,,
1:24.0,M. Chriss misses free throw 2 of 2,,101-116,,
1:22.0,,,101-116,,Defensive rebound by C. Zeller
1:04.0,,,101-116,,Shooting foul by M. Chriss (drawn by C. Zeller)
1:04.0,,,101-117,1,C. Zeller makes free throw 1 of 2
1:04.0,,,101-118,1,C. Zeller makes free throw 2 of 2
0:45.0,T. Ulis misses 2-pt shot from 19 ft,,101-118,,
0:43.0,Offensive rebound by M. Chriss,,101-118,,
0:41.0,D. Booker makes 2-pt shot from 15 ft (assist by M. Chriss),2,103-118,,
0:23.0,,,103-120,2,M. Kidd-Gilchrist makes 2-pt shot from 17 ft (assist by N. Batum)
0:16.0,T. Ulis makes 3-pt shot from 31 ft,3,106-120,,
