time,Oklahoma City,pts.away,score,pts.home,Philadelphia
6:53.0,,,5-14,2,J. Okafor makes 2-pt shot from 1 ft
6:42.0,Offensive foul by S. Adams,,5-14,,
6:42.0,Turnover by S. Adams (offensive foul),,5-14,,
6:42.0,,,5-14,,N. Stauskas enters the game for G. Henderson
6:42.0,,,5-14,,T. McConnell enters the game for S. Rodriguez
6:29.0,,,5-16,2,J. Okafor makes 2-pt shot from 2 ft (assist by R. Covington)
6:16.0,R. Westbrook makes 2-pt shot from 2 ft (assist by V. Oladipo),2,7-16,,
5:52.0,,,7-16,,D. Saric misses 3-pt shot from 25 ft
5:50.0,Defensive rebound by V. Oladipo,,7-16,,
5:37.0,V. Oladipo misses 3-pt shot from 27 ft,,7-16,,
5:35.0,,,7-16,,Defensive rebound by N. Stauskas
5:20.0,,,7-18,2,J. Okafor makes 2-pt shot from 10 ft (assist by D. Saric)
5:11.0,Turnover by R. Westbrook (bad pass; steal by T. McConnell),,7-18,,
5:03.0,,,7-18,,D. Saric misses 2-pt shot from 3 ft (block by V. Oladipo)
5:03.0,,,7-18,,Offensive rebound by Team
5:03.0,,,7-18,,J. Grant enters the game for D. Saric
5:03.0,,,7-18,,H. Thompson enters the game for R. Covington
5:03.0,E. Ilyasova enters the game for D. Sabonis,,7-18,,
5:03.0,K. Singler enters the game for V. Oladipo,,7-18,,
4:55.0,,,7-18,,Turnover by J. Okafor (lost ball; steal by E. Ilyasova)
4:52.0,R. Westbrook makes 2-pt shot from 1 ft (assist by E. Ilyasova),2,9-18,,
4:52.0,Shooting foul by T. McConnell (drawn by R. Westbrook),,9-18,,
4:52.0,R. Westbrook makes free throw 1 of 1,1,10-18,,
4:37.0,,,10-18,,J. Okafor misses 2-pt shot from 12 ft
4:34.0,Defensive rebound by A. Roberson,,10-18,,
4:29.0,S. Adams makes 2-pt shot from 4 ft (assist by R. Westbrook),2,12-18,,
4:09.0,,,12-18,,J. Grant misses 2-pt shot from 18 ft
4:08.0,Defensive rebound by A. Roberson,,12-18,,
4:01.0,R. Westbrook makes 2-pt shot from 15 ft,2,14-18,,
4:00.0,,,14-18,,Philadelphia full timeout
4:00.0,E. Kanter enters the game for S. Adams,,14-18,,
4:00.0,,,14-18,,R. Holmes enters the game for J. Okafor
3:52.0,,,14-18,,Turnover by T. McConnell (back court)
3:43.0,E. Ilyasova misses 3-pt shot from 24 ft,,14-18,,
3:41.0,,,14-18,,Defensive rebound by R. Holmes
3:28.0,,,14-18,,Shooting foul by E. Kanter (drawn by J. Grant)
3:28.0,,,14-18,,J. Grant misses free throw 1 of 2
3:28.0,,,14-18,,Offensive rebound by Team
3:28.0,,,14-19,1,J. Grant makes free throw 2 of 2
3:19.0,Shooting foul by T. McConnell (drawn by R. Westbrook),,14-19,,
3:19.0,R. Westbrook makes free throw 1 of 2,1,15-19,,
3:19.0,R. Westbrook makes free throw 2 of 2,1,16-19,,
3:19.0,,,15-19,,S. Rodriguez enters the game for T. McConnell
3:05.0,,,16-19,,Offensive charge foul by J. Grant
3:05.0,,,16-19,,Turnover by J. Grant (offensive foul)
3:05.0,V. Oladipo enters the game for R. Westbrook,,16-19,,
3:05.0,S. Christon enters the game for A. Roberson,,16-19,,
2:49.0,V. Oladipo makes 2-pt shot from 15 ft,2,18-19,,
2:32.0,,,18-19,,J. Grant misses 2-pt shot from 5 ft
2:31.0,Defensive rebound by S. Christon,,18-19,,
2:26.0,K. Singler makes 3-pt shot from 25 ft (assist by S. Christon),3,21-19,,
2:12.0,Violation by E. Kanter (kicked ball),,21-19,,
2:04.0,,,21-19,,Shooting foul by E. Ilyasova (drawn by J. Grant)
2:04.0,,,21-20,1,J. Grant makes free throw 1 of 2
2:04.0,,,21-20,,J. Grant misses free throw 2 of 2
2:03.0,,,21-20,,Offensive rebound by Team
1:47.0,,,21-22,2,H. Thompson makes 2-pt shot from 1 ft
1:34.0,,,21-22,,Personal block foul by H. Thompson (drawn by K. Singler)
1:34.0,K. Singler makes free throw 1 of 2,1,22-22,,
1:34.0,K. Singler makes free throw 2 of 2,1,23-22,,
1:21.0,,,23-24,2,R. Holmes makes 2-pt shot from 7 ft (assist by S. Rodriguez)
1:11.0,Turnover by V. Oladipo (lost ball; steal by H. Thompson),,23-24,,
1:08.0,,,23-24,,Shooting foul by K. Singler (drawn by H. Thompson)
1:08.0,,,23-24,,H. Thompson misses free throw 1 of 2
1:08.0,,,23-24,,Offensive rebound by Team
1:08.0,,,23-24,,H. Thompson misses free throw 2 of 2
1:06.0,Defensive rebound by E. Kanter,,23-24,,
0:55.0,Turnover by K. Singler (lost ball),,23-24,,
0:37.0,,,23-24,,H. Thompson misses 3-pt shot from 27 ft
0:36.0,Defensive rebound by E. Ilyasova,,23-24,,
0:25.0,V. Oladipo misses 2-pt shot from 4 ft (block by R. Holmes),,23-24,,
0:23.0,Offensive rebound by V. Oladipo,,23-24,,
0:20.0,V. Oladipo misses 2-pt shot from 2 ft (block by R. Holmes),,23-24,,
0:17.0,,,23-24,,Defensive rebound by H. Thompson
0:02.0,,,23-24,,Offensive charge foul by R. Holmes
0:02.0,,,23-24,,Turnover by R. Holmes (offensive foul)
0:00.0,S. Christon misses 3-pt shot from 46 ft,,23-24,,
0:00.0,Offensive rebound by Team,,23-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Personal foul by E. Kanter (drawn by J. Okafor),,23-24,,
11:37.0,,,23-24,,J. Okafor misses 2-pt shot from 6 ft
11:35.0,,,23-24,,Offensive rebound by R. Covington
11:34.0,,,23-24,,R. Covington misses 2-pt shot from 4 ft
11:32.0,Defensive rebound by E. Ilyasova,,23-24,,
11:23.0,E. Kanter misses 2-pt shot from 16 ft,,23-24,,
11:21.0,,,23-24,,Defensive rebound by R. Covington
11:06.0,,,23-26,2,N. Stauskas makes 2-pt shot from 1 ft
11:02.0,Oklahoma City full timeout,,23-26,,
10:57.0,E. Kanter misses 2-pt shot from 2 ft (block by J. Grant),,23-26,,
10:55.0,Offensive rebound by E. Ilyasova,,23-26,,
10:54.0,E. Ilyasova makes 2-pt shot from 2 ft,2,25-26,,
10:36.0,,,25-28,2,N. Stauskas makes 2-pt shot from 8 ft
10:28.0,K. Singler misses 3-pt shot from 24 ft,,25-28,,
10:26.0,,,25-28,,Defensive rebound by N. Stauskas
10:08.0,,,25-30,2,N. Stauskas makes 2-pt shot from 21 ft
9:51.0,E. Kanter misses 2-pt shot from 2 ft,,25-30,,
9:50.0,,,25-30,,Defensive rebound by N. Stauskas
9:44.0,,,25-33,3,R. Covington makes 3-pt shot from 25 ft (assist by N. Stauskas)
9:26.0,V. Oladipo misses 2-pt shot from 19 ft,,25-33,,
9:25.0,,,25-33,,Defensive rebound by S. Rodriguez
9:17.0,,,25-33,,S. Rodriguez misses 2-pt shot from 8 ft
9:15.0,Defensive rebound by E. Kanter,,25-33,,
9:11.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by S. Christon),2,27-33,,
8:49.0,,,27-36,3,S. Rodriguez makes 3-pt shot from 25 ft (assist by R. Covington)
8:27.0,S. Christon makes 2-pt shot from 7 ft,2,29-36,,
8:17.0,,,29-36,,Turnover by J. Grant (dbl dribble)
8:17.0,,,29-36,,D. Saric enters the game for J. Okafor
8:17.0,,,29-36,,G. Henderson enters the game for N. Stauskas
8:17.0,,,29-36,,J. Embiid enters the game for J. Grant
8:17.0,R. Westbrook enters the game for V. Oladipo,,29-36,,
8:17.0,S. Adams enters the game for E. Ilyasova,,29-36,,
8:17.0,A. Roberson enters the game for S. Christon,,29-36,,
8:08.0,K. Singler misses 3-pt shot from 24 ft,,29-36,,
8:06.0,,,29-36,,Defensive rebound by J. Embiid
8:06.0,Personal foul by S. Adams (drawn by J. Embiid),,29-36,,
7:52.0,Personal foul by A. Roberson (drawn by S. Rodriguez),,29-36,,
7:52.0,,,29-36,,T. McConnell enters the game for S. Rodriguez
7:41.0,,,29-36,,J. Embiid misses 2-pt shot from 12 ft
7:39.0,Defensive rebound by R. Westbrook,,29-36,,
7:34.0,K. Singler misses 3-pt shot from 23 ft,,29-36,,
7:32.0,Offensive rebound by A. Roberson,,29-36,,
7:29.0,E. Kanter makes 2-pt shot from 1 ft (assist by A. Roberson),2,31-36,,
7:12.0,,,31-39,3,J. Embiid makes 3-pt shot from 26 ft (assist by T. McConnell)
6:57.0,E. Kanter makes 2-pt shot from 2 ft,2,33-39,,
6:45.0,,,33-39,,J. Embiid misses 2-pt shot from 8 ft
6:44.0,Defensive rebound by E. Kanter,,33-39,,
6:32.0,S. Adams makes 2-pt shot from 7 ft (assist by R. Westbrook),2,35-39,,
6:05.0,,,35-39,,J. Embiid misses 2-pt shot from 7 ft
6:02.0,Defensive rebound by R. Westbrook,,35-39,,
6:00.0,Shooting foul by J. Embiid (drawn by E. Kanter),,35-39,,
6:00.0,E. Kanter misses free throw 1 of 2,,35-39,,
6:00.0,Offensive rebound by Team,,35-39,,
6:00.0,E. Kanter makes free throw 2 of 2,1,36-39,,
5:41.0,,,36-39,,R. Covington misses 3-pt shot from 25 ft
5:39.0,Defensive rebound by K. Singler,,36-39,,
5:29.0,K. Singler misses 3-pt shot from 24 ft,,36-39,,
5:27.0,Offensive rebound by E. Kanter,,36-39,,
5:27.0,S. Adams makes 2-pt shot from 1 ft,2,38-39,,
5:22.0,,,38-39,,Philadelphia full timeout
5:22.0,D. Sabonis enters the game for E. Kanter,,38-39,,
5:22.0,A. Abrines enters the game for K. Singler,,38-39,,
5:10.0,,,38-41,2,D. Saric makes 2-pt shot from 16 ft (assist by T. McConnell)
4:57.0,S. Adams misses 2-pt shot at rim,,38-41,,
4:55.0,,,38-41,,Defensive rebound by J. Embiid
4:52.0,,,38-41,,Turnover by J. Embiid (lost ball; steal by S. Adams)
4:34.0,R. Westbrook makes 2-pt shot from 13 ft,2,40-41,,
4:18.0,,,40-41,,G. Henderson misses 2-pt shot from 14 ft
4:17.0,Defensive rebound by R. Westbrook,,40-41,,
4:11.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,42-41,,
3:53.0,,,42-41,,J. Embiid misses 2-pt shot from 18 ft
3:52.0,Defensive rebound by D. Sabonis,,42-41,,
3:36.0,S. Adams makes 2-pt shot from 4 ft (assist by R. Westbrook),2,44-41,,
3:21.0,,,44-41,,Shooting foul by A. Abrines (drawn by G. Henderson)
3:21.0,,,44-42,1,G. Henderson makes free throw 1 of 2
3:21.0,,,44-42,,G. Henderson misses free throw 2 of 2
3:21.0,,,44-42,,S. Rodriguez enters the game for T. McConnell
3:21.0,,,44-42,,R. Holmes enters the game for J. Embiid
3:19.0,Defensive rebound by R. Westbrook,,44-42,,
3:10.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,46-42,,
2:47.0,,,46-42,,D. Saric misses 2-pt shot from 5 ft
2:46.0,,,46-42,,Offensive rebound by Team
2:46.0,Official timeout,,46-42,,
2:40.0,,,46-45,3,G. Henderson makes 3-pt shot from 24 ft (assist by S. Rodriguez)
2:22.0,R. Westbrook makes 2-pt shot from 18 ft,2,48-45,,
2:06.0,,,48-45,,R. Covington misses 3-pt shot from 24 ft
2:05.0,Defensive rebound by R. Westbrook,,48-45,,
2:04.0,,,48-45,,Personal foul by D. Saric (drawn by R. Westbrook)
2:04.0,,,48-45,,J. Grant enters the game for D. Saric
1:53.0,R. Westbrook misses 2-pt shot from 17 ft,,48-45,,
1:52.0,,,48-45,,Defensive rebound by R. Holmes
1:43.0,,,48-47,2,S. Rodriguez makes 2-pt shot from 20 ft
1:31.0,,,48-47,,Loose ball foul by S. Rodriguez (drawn by A. Roberson)
1:25.0,Turnover by A. Abrines (bad pass; steal by R. Covington),,48-47,,
1:10.0,,,48-49,2,R. Holmes makes 2-pt shot at rim (assist by S. Rodriguez)
0:58.0,D. Sabonis makes 3-pt shot from 25 ft (assist by R. Westbrook),3,51-49,,
0:48.0,,,51-51,2,J. Grant makes 2-pt shot from 19 ft (assist by S. Rodriguez)
0:31.0,S. Adams misses 2-pt shot from 2 ft,,51-51,,
0:30.0,Offensive rebound by Team,,51-51,,
0:30.0,Oklahoma City full timeout,,51-51,,
0:23.0,R. Westbrook misses 2-pt shot from 2 ft,,51-51,,
0:21.0,Offensive rebound by R. Westbrook,,51-51,,
0:01.0,S. Adams misses 2-pt shot from 9 ft,,51-51,,
0:00.0,Offensive rebound by Team,,51-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,51-51,,J. Embiid misses 2-pt shot from 1 ft
11:39.0,Defensive rebound by D. Sabonis,,51-51,,
11:35.0,V. Oladipo misses 3-pt shot from 25 ft,,51-51,,
11:33.0,,,51-51,,Defensive rebound by D. Saric
11:28.0,,,51-51,,S. Rodriguez misses 2-pt shot from 21 ft
11:27.0,,,51-51,,Offensive rebound by Team
11:17.0,,,51-53,2,J. Embiid makes 2-pt shot from 6 ft
11:02.0,D. Sabonis misses 3-pt shot from 25 ft,,51-53,,
11:00.0,Offensive rebound by V. Oladipo,,51-53,,
10:52.0,V. Oladipo misses 2-pt shot from 2 ft,,51-53,,
10:50.0,,,51-53,,Defensive rebound by R. Covington
10:30.0,,,51-53,,Turnover by D. Saric (bad pass; steal by S. Adams)
10:25.0,R. Westbrook misses 2-pt shot from 13 ft,,51-53,,
10:24.0,,,51-53,,Defensive rebound by D. Saric
10:19.0,Personal foul by R. Westbrook (drawn by S. Rodriguez),,51-53,,
10:00.0,,,51-53,,Turnover by Team (shot clock)
9:51.0,Shooting foul by D. Saric (drawn by A. Roberson),,51-53,,
9:51.0,A. Roberson misses free throw 1 of 2,,51-53,,
9:51.0,Offensive rebound by Team,,51-53,,
9:51.0,A. Roberson misses free throw 2 of 2,,51-53,,
9:50.0,,,51-53,,Defensive rebound by J. Embiid
9:35.0,,,51-55,2,R. Covington makes 2-pt shot from 1 ft (assist by S. Rodriguez)
9:20.0,S. Adams misses 2-pt shot from 19 ft,,51-55,,
9:20.0,,,51-55,,Defensive rebound by Team
9:11.0,,,51-55,,Turnover by J. Embiid (lost ball; steal by A. Roberson)
9:06.0,D. Sabonis makes 2-pt shot at rim (assist by A. Roberson),2,53-55,,
8:52.0,,,53-55,,D. Saric misses 2-pt shot from 21 ft
8:50.0,Defensive rebound by R. Westbrook,,53-55,,
8:38.0,D. Sabonis misses 3-pt shot from 25 ft,,53-55,,
8:36.0,,,53-55,,Defensive rebound by J. Embiid
8:25.0,Personal foul by D. Sabonis (drawn by D. Saric),,53-55,,
8:25.0,,,53-55,,J. Okafor enters the game for J. Embiid
8:21.0,,,53-55,,S. Rodriguez misses 3-pt shot from 25 ft
8:19.0,Defensive rebound by D. Sabonis,,53-55,,
8:06.0,R. Westbrook makes 2-pt shot from 16 ft,2,55-55,,
7:58.0,Personal foul by A. Roberson (drawn by G. Henderson),,55-55,,
7:58.0,E. Ilyasova enters the game for D. Sabonis,,55-55,,
7:42.0,,,55-55,,S. Rodriguez misses 3-pt shot from 27 ft
7:40.0,Defensive rebound by A. Roberson,,55-55,,
7:27.0,Turnover by V. Oladipo (lost ball),,55-55,,
7:15.0,,,55-55,,J. Okafor misses 2-pt shot from 10 ft
7:13.0,Defensive rebound by S. Adams,,55-55,,
7:08.0,Turnover by V. Oladipo (offensive goaltending),,55-55,,
7:08.0,,,55-55,,N. Stauskas enters the game for G. Henderson
6:56.0,,,55-55,,N. Stauskas misses 3-pt shot from 25 ft
6:54.0,Defensive rebound by R. Westbrook,,55-55,,
6:47.0,S. Adams misses 2-pt shot from 7 ft,,55-55,,
6:46.0,,,55-55,,Defensive rebound by R. Covington
6:39.0,,,55-55,,Shooting foul by A. Roberson (drawn by N. Stauskas)
6:39.0,,,55-56,1,N. Stauskas makes free throw 1 of 2
6:39.0,,,55-57,1,N. Stauskas makes free throw 2 of 2
6:27.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by R. Westbrook),3,58-57,,
6:17.0,,,58-57,,D. Saric misses 2-pt shot from 18 ft
6:15.0,Defensive rebound by A. Roberson,,58-57,,
6:04.0,V. Oladipo misses 3-pt shot from 23 ft,,58-57,,
6:02.0,,,58-57,,Defensive rebound by Team
6:02.0,,,58-57,,J. Grant enters the game for R. Covington
6:02.0,K. Singler enters the game for V. Oladipo,,58-57,,
5:51.0,,,58-59,2,N. Stauskas makes 2-pt shot at rim (assist by S. Rodriguez)
5:37.0,S. Adams misses 2-pt shot at rim,,58-59,,
5:35.0,,,58-59,,Defensive rebound by J. Okafor
5:34.0,,,58-59,,Turnover by J. Okafor (lost ball; steal by A. Roberson)
5:31.0,Shooting foul by J. Okafor (drawn by R. Westbrook),,58-59,,
5:31.0,,,58-59,,Philadelphia full timeout
5:31.0,R. Westbrook makes free throw 1 of 2,1,59-59,,
5:31.0,R. Westbrook makes free throw 2 of 2,1,60-59,,
5:31.0,S. Christon enters the game for A. Roberson,,59-59,,
5:06.0,,,60-62,3,S. Rodriguez makes 3-pt shot from 26 ft
4:49.0,E. Ilyasova misses 3-pt shot from 26 ft,,60-62,,
4:47.0,,,60-62,,Defensive rebound by N. Stauskas
4:44.0,E. Kanter enters the game for S. Adams,,60-62,,
4:44.0,,,60-62,,R. Holmes enters the game for D. Saric
4:27.0,,,60-62,,J. Okafor misses 2-pt shot from 9 ft
4:26.0,,,60-62,,Offensive rebound by Team
4:13.0,,,60-64,2,J. Okafor makes 2-pt shot from 12 ft
3:59.0,E. Kanter misses 2-pt shot from 2 ft (block by J. Okafor),,60-64,,
3:56.0,Offensive rebound by E. Kanter,,60-64,,
3:56.0,E. Kanter makes 2-pt shot from 1 ft,2,62-64,,
3:46.0,,,62-64,,J. Okafor misses 2-pt shot from 5 ft (block by E. Kanter)
3:45.0,Defensive rebound by E. Ilyasova,,62-64,,
3:42.0,R. Westbrook makes 2-pt shot at rim (assist by S. Christon),2,64-64,,
3:16.0,,,64-64,,T. McConnell enters the game for S. Rodriguez
3:15.0,Jump ball: E. Kanter vs. J. Okafor (K. Singler gains possession),,,,Jump ball: E. Kanter vs. J. Okafor (K. Singler gains possession)
3:15.0,,,64-64,,Turnover by J. Okafor (lost ball; steal by E. Kanter)
3:02.0,R. Westbrook misses 2-pt shot from 17 ft,,64-64,,
3:00.0,,,64-64,,Defensive rebound by T. McConnell
2:50.0,,,64-64,,J. Grant misses 3-pt shot from 24 ft
2:49.0,,,64-64,,Offensive rebound by R. Holmes
2:45.0,,,64-66,2,N. Stauskas makes 2-pt shot from 13 ft (assist by T. McConnell)
2:45.0,,,64-66,,Shooting foul by K. Singler (drawn by N. Stauskas)
2:45.0,Oklahoma City full timeout,,64-66,,
2:45.0,,,64-67,1,N. Stauskas makes free throw 1 of 1
2:45.0,,,64-66,,H. Thompson enters the game for J. Okafor
2:45.0,,,64-66,,J. Embiid enters the game for R. Holmes
2:27.0,S. Christon misses 2-pt shot from 14 ft,,64-67,,
2:25.0,,,64-67,,Defensive rebound by J. Grant
2:22.0,Personal foul by S. Christon (drawn by J. Embiid),,64-67,,
2:22.0,,,64-68,1,J. Embiid makes free throw 1 of 2
2:22.0,,,64-69,1,J. Embiid makes free throw 2 of 2
2:22.0,A. Abrines enters the game for R. Westbrook,,64-68,,
2:10.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by S. Christon),3,67-69,,
1:53.0,,,67-71,2,J. Grant makes 2-pt shot from 3 ft (assist by T. McConnell)
1:39.0,E. Ilyasova misses 3-pt shot from 25 ft,,67-71,,
1:37.0,,,67-71,,Defensive rebound by J. Grant
1:27.0,,,67-71,,H. Thompson misses 3-pt shot from 24 ft
1:26.0,Defensive rebound by A. Abrines,,67-71,,
1:26.0,Oklahoma City full timeout,,67-71,,
1:20.0,Offensive foul by A. Abrines,,67-71,,
1:20.0,Turnover by A. Abrines (offensive foul),,67-71,,
1:07.0,,,67-73,2,J. Grant makes 2-pt shot from 3 ft (assist by T. McConnell)
0:54.0,A. Abrines misses 2-pt shot from 21 ft,,67-73,,
0:52.0,Offensive rebound by E. Kanter,,67-73,,
0:51.0,E. Kanter makes 2-pt shot from 4 ft,2,69-73,,
0:36.0,,,69-75,2,J. Embiid makes 2-pt shot from 14 ft
0:18.0,S. Christon misses 2-pt shot from 13 ft,,69-75,,
0:16.0,,,69-75,,Defensive rebound by J. Grant
0:00.0,,,69-75,,J. Embiid misses 3-pt shot from 25 ft
0:00.0,,,69-75,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,Shooting foul by J. Grant (drawn by E. Kanter),,69-75,,
11:44.0,E. Kanter makes free throw 1 of 2,1,70-75,,
11:44.0,E. Kanter makes free throw 2 of 2,1,71-75,,
11:30.0,,,71-75,,J. Embiid misses 2-pt shot from 8 ft
11:28.0,Defensive rebound by S. Adams,,71-75,,
11:12.0,E. Kanter misses 2-pt shot from 2 ft (block by J. Grant),,71-75,,
11:10.0,Offensive rebound by E. Kanter,,71-75,,
11:10.0,E. Kanter makes 2-pt shot from 1 ft,2,73-75,,
10:57.0,,,73-77,2,J. Grant makes 2-pt shot from 18 ft (assist by T. McConnell)
10:40.0,S. Christon makes 2-pt shot from 3 ft (assist by S. Adams),2,75-77,,
10:17.0,,,75-77,,Shooting foul by S. Adams (drawn by J. Embiid)
10:17.0,,,75-77,,J. Embiid misses free throw 1 of 2
10:17.0,,,75-77,,Offensive rebound by Team
10:17.0,,,75-78,1,J. Embiid makes free throw 2 of 2
10:05.0,E. Kanter misses 2-pt shot from 1 ft,,75-78,,
10:03.0,,,75-78,,Defensive rebound by T. McConnell
9:47.0,,,75-78,,Shooting foul by S. Adams (drawn by J. Embiid)
9:47.0,,,75-79,1,J. Embiid makes free throw 1 of 2
9:47.0,,,75-80,1,J. Embiid makes free throw 2 of 2
9:34.0,K. Singler misses 2-pt shot from 3 ft (block by H. Thompson),,75-80,,
9:33.0,Offensive rebound by Team,,75-80,,
9:33.0,R. Westbrook enters the game for S. Christon,,75-80,,
9:33.0,,,75-80,,J. Okafor enters the game for J. Embiid
9:30.0,Turnover by S. Adams (bad pass; steal by T. McConnell),,75-80,,
9:20.0,,,75-80,,Philadelphia full timeout
9:07.0,,,75-80,,J. Okafor misses 2-pt shot from 5 ft
9:05.0,Defensive rebound by R. Westbrook,,75-80,,
8:59.0,Shooting foul by T. McConnell (drawn by R. Westbrook),,75-80,,
8:59.0,R. Westbrook misses free throw 1 of 2,,75-80,,
8:59.0,Offensive rebound by Team,,75-80,,
8:59.0,R. Westbrook makes free throw 2 of 2,1,76-80,,
8:47.0,,,76-80,,J. Grant misses 2-pt shot from 21 ft
8:45.0,Defensive rebound by E. Kanter,,76-80,,
8:28.0,A. Abrines makes 3-pt shot from 26 ft (assist by R. Westbrook),3,79-80,,
8:12.0,Personal foul by A. Abrines (drawn by N. Stauskas),,79-80,,
8:12.0,A. Roberson enters the game for K. Singler,,79-80,,
7:56.0,,,79-82,2,H. Thompson makes 2-pt shot from 5 ft (assist by T. McConnell)
7:42.0,S. Adams misses 2-pt shot from 12 ft,,79-82,,
7:39.0,,,79-82,,Defensive rebound by J. Grant
7:33.0,,,79-82,,J. Grant misses 2-pt shot from 4 ft
7:32.0,,,79-82,,Offensive rebound by H. Thompson
7:32.0,,,79-82,,H. Thompson misses 2-pt shot from 5 ft
7:31.0,Defensive rebound by E. Kanter,,79-82,,
7:27.0,A. Roberson misses 2-pt shot from 4 ft,,79-82,,
7:24.0,Offensive rebound by S. Adams,,79-82,,
7:23.0,S. Adams makes 2-pt shot from 3 ft,2,81-82,,
7:03.0,,,81-82,,J. Grant misses 2-pt shot from 18 ft
7:01.0,,,81-82,,Offensive rebound by J. Okafor
7:01.0,Personal foul by R. Westbrook (drawn by J. Okafor),,81-82,,
7:01.0,,,81-82,,S. Rodriguez enters the game for T. McConnell
7:01.0,,,81-82,,R. Covington enters the game for J. Okafor
