time,Portland,pts.away,score,pts.home,Cleveland
6:23.0,,,13-26,,Defensive rebound by K. Love
6:12.0,,,13-26,,Turnover by K. Love (bad pass)
6:00.0,D. Lillard makes 2-pt shot from 18 ft (assist by E. Turner),2,15-26,,
5:36.0,,,15-28,2,K. Irving makes 2-pt shot from 2 ft
5:36.0,,,15-28,,Shooting foul by E. Davis (drawn by K. Irving)
5:36.0,,,15-28,,K. Irving misses free throw 1 of 1
5:35.0,Defensive rebound by M. Harkless,,15-28,,
5:26.0,E. Turner makes 2-pt shot from 1 ft,2,17-28,,
5:26.0,Shooting foul by J. Smith (drawn by E. Turner),,17-28,,
5:26.0,E. Turner makes free throw 1 of 1,1,18-28,,
5:12.0,,,18-31,3,K. Love makes 3-pt shot from 26 ft (assist by L. James)
4:50.0,E. Turner misses 3-pt shot from 26 ft,,18-31,,
4:49.0,,,18-31,,Defensive rebound by L. James
4:44.0,,,18-33,2,L. James makes 2-pt shot at rim
4:44.0,,,18-33,,Shooting foul by M. Harkless (drawn by L. James)
4:44.0,,,18-34,1,L. James makes free throw 1 of 1
4:44.0,A. Crabbe enters the game for C. McCollum,,18-33,,
4:27.0,D. Lillard makes 3-pt shot from 26 ft (assist by E. Davis),3,21-34,,
4:06.0,,,21-37,3,K. Love makes 3-pt shot from 23 ft (assist by L. James)
3:42.0,A. Crabbe misses 3-pt shot from 26 ft,,21-37,,
3:42.0,,,21-37,,Defensive rebound by T. Thompson
3:34.0,Personal foul by E. Davis (drawn by T. Thompson),,21-37,,
3:34.0,,,21-38,1,T. Thompson makes free throw 1 of 2
3:34.0,,,21-38,,T. Thompson misses free throw 2 of 2
3:34.0,M. Plumlee enters the game for E. Davis,,21-38,,
3:34.0,,,21-38,,R. Jefferson enters the game for L. James
3:33.0,Defensive rebound by M. Harkless,,21-38,,
3:18.0,M. Plumlee makes 2-pt shot from 1 ft (assist by D. Lillard),2,23-38,,
3:01.0,,,23-38,,K. Love misses 2-pt shot from 6 ft (block by M. Plumlee)
2:58.0,,,23-38,,Offensive rebound by K. Love
2:54.0,,,23-40,2,K. Love makes 2-pt shot from 15 ft
2:35.0,A. Crabbe misses 3-pt shot from 25 ft,,23-40,,
2:35.0,,,23-40,,Defensive rebound by K. Love
2:23.0,,,23-40,,K. Irving misses 3-pt shot from 26 ft
2:23.0,Defensive rebound by M. Harkless,,23-40,,
2:14.0,E. Turner makes 3-pt shot from 25 ft (assist by A. Crabbe),3,26-40,,
2:14.0,,,26-40,,Cleveland full timeout
2:14.0,,,26-40,,I. Shumpert enters the game for J. Smith
1:58.0,,,26-40,,Shooting foul by E. Turner (drawn by K. Love)
1:58.0,,,26-41,1,K. Love makes free throw 1 of 2
1:58.0,,,26-42,1,K. Love makes free throw 2 of 2
1:58.0,N. Vonleh enters the game for M. Harkless,,26-41,,
1:38.0,Turnover by D. Lillard (bad pass; steal by K. Love),,26-42,,
1:38.0,Personal foul by N. Vonleh (drawn by K. Love),,26-42,,
1:38.0,,,26-43,1,K. Love makes free throw 1 of 2
1:38.0,,,26-44,1,K. Love makes free throw 2 of 2
1:26.0,D. Lillard makes 2-pt shot from 8 ft,2,28-44,,
1:26.0,Shooting foul by I. Shumpert (drawn by D. Lillard),,28-44,,
1:26.0,D. Lillard makes free throw 1 of 1,1,29-44,,
1:15.0,,,29-44,,K. Love misses 3-pt shot from 25 ft
1:14.0,Defensive rebound by M. Plumlee,,29-44,,
1:07.0,,,29-44,,Personal foul by I. Shumpert (drawn by D. Lillard)
1:07.0,D. Lillard makes free throw 1 of 2,1,30-44,,
1:07.0,D. Lillard makes free throw 2 of 2,1,31-44,,
1:07.0,M. Leonard enters the game for M. Plumlee,,30-44,,
0:50.0,,,31-44,,K. Irving misses 2-pt shot from 8 ft
0:49.0,,,31-44,,Offensive rebound by I. Shumpert
0:39.0,,,31-46,2,K. Love makes 2-pt shot from 6 ft (assist by I. Shumpert)
0:33.0,D. Lillard misses 2-pt shot from 9 ft,,31-46,,
0:31.0,Offensive rebound by N. Vonleh,,31-46,,
0:31.0,N. Vonleh misses 2-pt shot from 1 ft (block by K. Love),,31-46,,
0:27.0,,,31-46,,Defensive rebound by K. Irving
0:24.0,,,31-46,,K. Irving misses 2-pt shot from 1 ft (block by M. Leonard)
0:22.0,,,31-46,,Offensive rebound by Team
0:22.0,C. McCollum enters the game for D. Lillard,,31-46,,
0:07.0,,,31-46,,K. Irving misses 2-pt shot from 15 ft
0:04.0,Defensive rebound by A. Crabbe,,31-46,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,C. McCollum misses 2-pt shot from 3 ft (block by C. Frye),,31-46,,
11:42.0,,,31-46,,Defensive rebound by I. Shumpert
11:25.0,,,31-46,,C. Frye misses 3-pt shot from 25 ft
11:25.0,Defensive rebound by E. Turner,,31-46,,
11:16.0,M. Leonard makes 2-pt shot from 17 ft (assist by A. Crabbe),2,33-46,,
10:59.0,,,33-46,,L. James misses 2-pt shot from 6 ft (block by E. Turner)
10:59.0,,,33-46,,Offensive rebound by Team
10:50.0,,,33-46,,L. James misses 2-pt shot from 21 ft
10:49.0,Defensive rebound by N. Vonleh,,33-46,,
10:40.0,M. Leonard makes 3-pt shot from 25 ft (assist by C. McCollum),3,36-46,,
10:22.0,,,36-49,3,C. Frye makes 3-pt shot from 23 ft (assist by L. James)
9:55.0,A. Crabbe makes 2-pt shot from 1 ft (assist by C. McCollum),2,38-49,,
9:38.0,,,38-49,,Shooting foul by M. Leonard (drawn by C. Frye)
9:38.0,,,38-50,1,C. Frye makes free throw 1 of 2
9:38.0,,,38-51,1,C. Frye makes free throw 2 of 2
9:31.0,,,38-51,,Personal foul by I. Shumpert (drawn by C. McCollum)
9:31.0,,,38-51,,J. Smith enters the game for I. Shumpert
9:23.0,C. McCollum makes 2-pt shot from 1 ft,2,40-51,,
9:13.0,,,40-51,,J. McRae misses 3-pt shot from 25 ft
9:13.0,,,40-51,,Offensive rebound by Team
9:13.0,Loose ball foul by M. Leonard (drawn by C. Frye),,40-51,,
8:59.0,,,40-51,,J. McRae misses 2-pt shot from 1 ft
8:58.0,,,40-51,,Offensive rebound by J. McRae
8:58.0,,,40-51,,J. McRae misses 2-pt shot from 1 ft
8:57.0,Defensive rebound by M. Leonard,,40-51,,
8:47.0,C. McCollum makes 2-pt shot from 5 ft,2,42-51,,
8:43.0,,,42-53,2,L. James makes 2-pt shot at rim
8:43.0,,,42-53,,Shooting foul by C. McCollum (drawn by L. James)
8:43.0,Official timeout,,42-53,,
8:43.0,,,42-54,1,L. James makes free throw 1 of 1
8:24.0,Turnover by E. Turner (bad pass; steal by J. McRae),,42-54,,
8:00.0,,,42-57,3,C. Frye makes 3-pt shot from 24 ft (assist by L. James)
7:47.0,E. Turner makes 2-pt shot from 13 ft,2,44-57,,
7:31.0,M. Harkless enters the game for N. Vonleh,,44-57,,
7:19.0,,,44-57,,L. James misses 2-pt shot from 10 ft
7:18.0,Defensive rebound by A. Crabbe,,44-57,,
7:05.0,E. Turner makes 2-pt shot from 4 ft,2,46-57,,
6:58.0,,,46-60,3,J. Smith makes 3-pt shot from 26 ft
6:45.0,C. McCollum misses 2-pt shot from 16 ft,,46-60,,
6:43.0,,,46-60,,Defensive rebound by L. James
6:37.0,,,46-62,2,L. James makes 2-pt shot at rim
6:37.0,Portland full timeout,,46-62,,
6:37.0,,,46-62,,K. Irving enters the game for J. McRae
6:21.0,M. Leonard misses 2-pt shot from 8 ft,,46-62,,
6:19.0,Offensive rebound by M. Leonard,,46-62,,
6:16.0,M. Leonard misses 2-pt shot from 2 ft,,46-62,,
6:15.0,,,46-62,,Defensive rebound by C. Frye
6:10.0,,,46-65,3,C. Frye makes 3-pt shot from 25 ft (assist by L. James)
5:56.0,,,46-65,,Personal foul by K. Irving (drawn by C. McCollum)
5:56.0,D. Lillard enters the game for A. Crabbe,,46-65,,
5:44.0,E. Turner misses 2-pt shot from 15 ft,,46-65,,
5:42.0,,,46-65,,Defensive rebound by C. Frye
5:36.0,,,46-65,,L. James misses 2-pt shot from 21 ft
5:34.0,Defensive rebound by M. Leonard,,46-65,,
5:33.0,Turnover by M. Leonard (traveling),,46-65,,
5:33.0,,,46-65,,K. Love enters the game for R. Jefferson
5:33.0,M. Plumlee enters the game for M. Leonard,,46-65,,
5:24.0,,,46-67,2,J. Smith makes 2-pt shot from 1 ft (assist by L. James)
5:23.0,Portland full timeout,,46-67,,
5:13.0,D. Lillard misses 2-pt shot from 17 ft,,46-67,,
5:13.0,,,46-67,,Defensive rebound by K. Love
5:07.0,,,46-67,,L. James misses 2-pt shot from 2 ft
5:05.0,Defensive rebound by D. Lillard,,46-67,,
5:03.0,,,46-67,,Shooting block foul by K. Love (drawn by C. McCollum)
5:03.0,C. McCollum makes free throw 1 of 2,1,47-67,,
5:03.0,C. McCollum makes free throw 2 of 2,1,48-67,,
4:47.0,A. Crabbe enters the game for C. McCollum,,48-67,,
4:41.0,,,48-67,,Turnover by K. Irving (bad pass; steal by M. Harkless)
4:24.0,E. Turner makes 3-pt shot from 26 ft,3,51-67,,
4:09.0,,,51-70,3,C. Frye makes 3-pt shot from 26 ft (assist by K. Irving)
3:54.0,E. Turner misses 3-pt shot from 24 ft,,51-70,,
3:54.0,,,51-70,,Defensive rebound by C. Frye
3:48.0,,,51-70,,Turnover by K. Irving (bad pass; steal by M. Harkless)
3:27.0,D. Lillard makes 2-pt shot at rim,2,53-70,,
3:21.0,,,53-72,2,K. Irving makes 2-pt shot at rim
3:21.0,,,53-72,,Shooting foul by M. Harkless (drawn by K. Irving)
3:21.0,,,53-73,1,K. Irving makes free throw 1 of 1
3:21.0,,,53-72,,T. Thompson enters the game for C. Frye
3:06.0,A. Crabbe misses 2-pt shot from 8 ft,,53-73,,
3:05.0,,,53-73,,Defensive rebound by L. James
3:00.0,,,53-73,,K. Love misses 3-pt shot from 26 ft
2:59.0,Defensive rebound by M. Harkless,,53-73,,
2:46.0,E. Turner misses 2-pt shot from 10 ft,,53-73,,
2:45.0,,,53-73,,Defensive rebound by L. James
2:26.0,,,53-73,,L. James misses 2-pt shot from 1 ft
2:24.0,Defensive rebound by D. Lillard,,53-73,,
2:18.0,M. Harkless makes 3-pt shot from 23 ft (assist by E. Turner),3,56-73,,
2:18.0,,,56-73,,Cleveland full timeout
2:05.0,,,56-76,3,K. Irving makes 3-pt shot from 24 ft (assist by L. James)
1:43.0,M. Harkless misses 3-pt shot from 27 ft,,56-76,,
1:43.0,Offensive rebound by M. Plumlee,,56-76,,
1:37.0,M. Plumlee makes 2-pt shot from 1 ft,2,58-76,,
1:24.0,,,58-78,2,L. James makes 2-pt shot from 5 ft
1:24.0,,,58-78,,Shooting foul by D. Lillard (drawn by L. James)
1:24.0,,,58-79,1,L. James makes free throw 1 of 1
1:24.0,C. McCollum enters the game for A. Crabbe,,58-78,,
1:09.0,M. Plumlee misses 2-pt shot at rim (block by T. Thompson),,58-79,,
1:06.0,,,58-79,,Defensive rebound by T. Thompson
1:06.0,Violation by M. Plumlee (def goaltending),,58-79,,
1:06.0,,,58-81,2,L. James makes 2-pt shot from 1 ft
0:54.0,C. McCollum makes 2-pt shot from 14 ft (assist by D. Lillard),2,60-81,,
0:32.0,,,60-81,,L. James misses 2-pt shot from 15 ft
0:32.0,,,60-81,,Offensive rebound by Team
0:32.0,Loose ball foul by M. Harkless (drawn by T. Thompson),,60-81,,
0:32.0,,,60-81,,Technical foul by T. Thompson
0:32.0,Technical foul by M. Harkless (drawn by T. Thompson),,60-81,,
0:32.0,,,60-81,,T. Thompson misses free throw 1 of 2
0:32.0,,,60-81,,Offensive rebound by Team
0:32.0,,,60-81,,T. Thompson misses free throw 2 of 2
0:32.0,,,60-81,,R. Jefferson enters the game for K. Love
0:32.0,M. Leonard enters the game for M. Harkless,,60-81,,
0:31.0,Defensive rebound by M. Plumlee,,60-81,,
0:20.0,Turnover by D. Lillard (bad pass; steal by L. James),,60-81,,
0:01.0,,,60-81,,Turnover by L. James (bad pass)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,M. Plumlee makes 2-pt shot from 14 ft (assist by D. Lillard),2,62-81,,
11:17.0,,,62-81,,K. Love misses 2-pt shot from 6 ft (block by M. Harkless)
11:16.0,,,62-81,,Offensive rebound by K. Love
11:14.0,,,62-81,,K. Love misses 2-pt shot from 17 ft
11:14.0,,,62-81,,Offensive rebound by Team
11:14.0,,,62-81,,Turnover by Team (shot clock)
11:01.0,,,62-81,,Def 3 sec tech foul by T. Thompson
11:01.0,D. Lillard makes technical free throw,1,63-81,,
10:54.0,D. Lillard makes 3-pt shot from 29 ft,3,66-81,,
10:30.0,,,66-81,,L. James misses 3-pt shot from 26 ft
10:29.0,Defensive rebound by D. Lillard,,66-81,,
10:21.0,M. Harkless makes 2-pt shot from 11 ft (assist by D. Lillard),2,68-81,,
10:21.0,,,68-81,,Cleveland full timeout
10:01.0,,,68-83,2,K. Irving makes 2-pt shot from 10 ft
9:45.0,M. Harkless makes 2-pt shot from 2 ft (assist by M. Plumlee),2,70-83,,
9:33.0,,,70-83,,K. Love misses 3-pt shot from 26 ft
9:32.0,Defensive rebound by D. Lillard,,70-83,,
9:26.0,C. McCollum makes 2-pt shot from 8 ft (assist by D. Lillard),2,72-83,,
9:12.0,,,72-85,2,K. Irving makes 2-pt shot from 8 ft
8:59.0,C. McCollum misses 2-pt shot from 9 ft,,72-85,,
8:57.0,,,72-85,,Defensive rebound by L. James
8:49.0,,,72-87,2,K. Irving makes 2-pt shot from 15 ft
8:32.0,C. McCollum misses 2-pt shot from 15 ft,,72-87,,
8:31.0,,,72-87,,Defensive rebound by J. Smith
8:23.0,,,72-87,,K. Irving misses 3-pt shot from 28 ft
8:23.0,,,72-87,,Offensive rebound by K. Love
8:10.0,,,72-87,,L. James misses 2-pt shot from 14 ft
8:10.0,Defensive rebound by D. Lillard,,72-87,,
8:07.0,Shooting foul by J. Smith (drawn by M. Plumlee),,72-87,,
8:07.0,M. Plumlee makes free throw 1 of 2,1,73-87,,
8:07.0,M. Plumlee misses free throw 2 of 2,,73-87,,
8:06.0,,,73-87,,Defensive rebound by L. James
7:53.0,Personal foul by D. Lillard (drawn by K. Love),,73-87,,
7:47.0,,,73-87,,Shooting foul by D. Lillard (drawn by K. Love)
7:47.0,,,73-88,1,K. Love makes free throw 1 of 2
7:47.0,,,73-89,1,K. Love makes free throw 2 of 2
7:38.0,D. Lillard makes 2-pt shot from 1 ft (assist by M. Plumlee),2,75-89,,
7:21.0,,,75-89,,K. Love misses 2-pt shot from 6 ft
7:20.0,,,75-89,,Offensive rebound by T. Thompson
7:19.0,,,75-91,2,T. Thompson makes 2-pt shot at rim
7:02.0,M. Plumlee makes 2-pt shot from 9 ft (assist by D. Lillard),2,77-91,,
6:53.0,,,77-91,,Shooting foul by M. Plumlee (drawn by T. Thompson)
6:53.0,,,77-91,,T. Thompson misses free throw 1 of 2
6:53.0,,,77-91,,Offensive rebound by Team
6:53.0,,,77-92,1,T. Thompson makes free throw 2 of 2
6:36.0,E. Turner misses 2-pt shot from 8 ft,,77-92,,
6:35.0,Offensive rebound by M. Harkless,,77-92,,
6:29.0,E. Turner makes 2-pt shot at rim (assist by M. Harkless),2,79-92,,
6:06.0,,,79-94,2,T. Thompson makes 2-pt shot at rim (assist by K. Irving)
5:56.0,D. Lillard misses 3-pt shot from 30 ft,,79-94,,
5:55.0,,,79-94,,Defensive rebound by L. James
5:44.0,,,79-94,,Turnover by J. Smith (bad pass; steal by M. Harkless)
5:40.0,M. Harkless misses 2-pt shot from 2 ft,,79-94,,
5:40.0,Offensive rebound by M. Harkless,,79-94,,
5:40.0,Shooting foul by K. Irving (drawn by M. Harkless),,79-94,,
5:40.0,M. Harkless makes free throw 1 of 2,1,80-94,,
5:40.0,M. Harkless makes free throw 2 of 2,1,81-94,,
5:30.0,,,81-94,,K. Irving misses 3-pt shot from 23 ft
5:29.0,Defensive rebound by Team,,81-94,,
5:12.0,D. Lillard makes 2-pt shot from 2 ft,2,83-94,,
4:55.0,,,83-96,2,L. James makes 2-pt shot from 7 ft (assist by K. Irving)
4:48.0,D. Lillard misses 3-pt shot from 26 ft,,83-96,,
4:48.0,Offensive rebound by Team,,83-96,,
4:48.0,,,83-96,,Loose ball foul by J. Smith (drawn by M. Plumlee)
4:38.0,M. Harkless misses 3-pt shot from 23 ft,,83-96,,
4:37.0,,,83-96,,Defensive rebound by T. Thompson
4:19.0,,,83-98,2,L. James makes 2-pt shot from 5 ft
4:19.0,Portland full timeout,,83-98,,
4:19.0,A. Crabbe enters the game for M. Plumlee,,83-98,,
4:19.0,E. Davis enters the game for C. McCollum,,83-98,,
4:04.0,M. Harkless misses 3-pt shot from 25 ft,,83-98,,
4:03.0,,,83-98,,Defensive rebound by T. Thompson
3:50.0,,,83-98,,Shooting foul by E. Davis (drawn by L. James)
3:50.0,,,83-99,1,L. James makes free throw 1 of 2
3:50.0,,,83-100,1,L. James makes free throw 2 of 2
3:50.0,,,83-99,,I. Shumpert enters the game for J. Smith
3:34.0,D. Lillard makes 2-pt shot from 18 ft (assist by E. Turner),2,85-100,,
3:24.0,,,85-100,,K. Irving misses 2-pt shot from 21 ft
3:24.0,Defensive rebound by D. Lillard,,85-100,,
3:11.0,M. Harkless makes 2-pt shot from 1 ft (assist by D. Lillard),2,87-100,,
2:55.0,,,87-100,,Shooting foul by M. Harkless (drawn by K. Love)
2:55.0,,,87-101,1,K. Love makes free throw 1 of 2
2:55.0,,,87-102,1,K. Love makes free throw 2 of 2
2:55.0,N. Vonleh enters the game for M. Harkless,,87-101,,
2:55.0,,,87-101,,R. Jefferson enters the game for L. James
2:39.0,D. Lillard misses 2-pt shot from 18 ft,,87-102,,
2:38.0,,,87-102,,Defensive rebound by K. Irving
2:16.0,,,87-104,2,R. Jefferson makes 2-pt shot from 19 ft (assist by K. Love)
1:56.0,N. Vonleh misses 3-pt shot from 27 ft,,87-104,,
1:56.0,,,87-104,,Defensive rebound by R. Jefferson
1:44.0,,,87-107,3,I. Shumpert makes 3-pt shot from 25 ft (assist by T. Thompson)
1:26.0,D. Lillard makes 2-pt shot at rim,2,89-107,,
1:06.0,,,89-109,2,K. Love makes 2-pt shot from 2 ft (assist by I. Shumpert)
0:50.0,E. Turner misses 2-pt shot from 5 ft,,89-109,,
0:50.0,Offensive rebound by Team,,89-109,,
0:50.0,C. McCollum enters the game for E. Turner,,89-109,,
0:47.0,Turnover by C. McCollum (lost ball; steal by K. Irving),,89-109,,
0:42.0,,,89-112,3,I. Shumpert makes 3-pt shot from 26 ft (assist by R. Jefferson)
0:33.0,Shooting foul by I. Shumpert (drawn by D. Lillard),,89-112,,
0:33.0,,,89-112,,Technical foul by I. Shumpert (drawn by D. Lillard)
0:33.0,D. Lillard makes technical free throw,1,90-112,,
0:33.0,D. Lillard makes free throw 1 of 2,1,91-112,,
0:33.0,D. Lillard makes free throw 2 of 2,1,92-112,,
0:15.0,,,92-112,,T. Thompson misses 2-pt shot from 2 ft
0:14.0,Defensive rebound by E. Davis,,92-112,,
0:02.0,D. Lillard misses 2-pt shot from 1 ft,,92-112,,
0:01.0,,,92-112,,Defensive rebound by K. Love
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,M. Harkless enters the game for N. Vonleh,,92-112,,
11:34.0,,,92-112,,L. James misses 2-pt shot from 17 ft
11:32.0,Defensive rebound by E. Davis,,92-112,,
11:20.0,M. Harkless misses 2-pt shot from 1 ft,,92-112,,
11:19.0,,,92-112,,Defensive rebound by J. McRae
11:13.0,,,92-112,,I. Shumpert misses 3-pt shot from 26 ft
11:10.0,Defensive rebound by A. Crabbe,,92-112,,
11:06.0,,,92-112,,Personal foul by J. McRae (drawn by D. Lillard)
10:54.0,A. Crabbe misses 2-pt shot from 13 ft,,92-112,,
10:53.0,,,92-112,,Defensive rebound by J. McRae
10:50.0,,,92-112,,Turnover by I. Shumpert (step out of bounds)
10:33.0,D. Lillard makes 3-pt shot from 33 ft,3,95-112,,
10:14.0,,,95-112,,J. McRae misses 2-pt shot from 17 ft
10:14.0,,,95-112,,Offensive rebound by Team
10:14.0,Loose ball foul by C. McCollum (drawn by C. Frye),,95-112,,
10:03.0,,,95-112,,C. Frye misses 3-pt shot from 23 ft
10:01.0,Defensive rebound by A. Crabbe,,95-112,,
9:57.0,Shooting foul by I. Shumpert (drawn by D. Lillard),,95-112,,
9:57.0,D. Lillard makes free throw 1 of 2,1,96-112,,
9:57.0,D. Lillard makes free throw 2 of 2,1,97-112,,
9:41.0,,,97-112,,Shooting foul by M. Harkless (drawn by L. James)
9:41.0,,,97-112,,L. James misses free throw 1 of 2
9:41.0,,,97-112,,Offensive rebound by Team
9:41.0,,,97-113,1,L. James makes free throw 2 of 2
9:31.0,D. Lillard makes 2-pt shot from 4 ft,2,99-113,,
9:12.0,,,99-115,2,R. Jefferson makes 2-pt shot at rim (assist by C. Frye)
9:00.0,D. Lillard makes 3-pt shot from 26 ft,3,102-115,,
8:39.0,,,102-118,3,L. James makes 3-pt shot from 26 ft
8:16.0,Turnover by E. Davis (3 sec),,102-118,,
8:16.0,Official timeout,,102-118,,
7:51.0,,,102-118,,J. McRae misses 2-pt shot from 7 ft
7:49.0,Defensive rebound by D. Lillard,,102-118,,
7:46.0,A. Crabbe misses 2-pt shot from 1 ft,,102-118,,
7:45.0,Offensive rebound by A. Crabbe,,102-118,,
7:34.0,D. Lillard misses 2-pt shot from 24 ft,,102-118,,
7:33.0,,,102-118,,Defensive rebound by L. James
7:13.0,,,102-118,,J. McRae misses 3-pt shot from 24 ft
7:13.0,Defensive rebound by C. McCollum,,102-118,,
7:03.0,E. Davis misses 2-pt shot from 9 ft,,102-118,,
7:01.0,,,102-118,,Defensive rebound by R. Jefferson
6:53.0,,,102-118,,I. Shumpert misses 2-pt shot from 14 ft
6:51.0,,,102-118,,Offensive rebound by L. James
6:51.0,,,102-118,,Cleveland full timeout
6:51.0,,,102-118,,K. Irving enters the game for C. Frye
6:51.0,,,102-118,,K. Love enters the game for J. McRae
6:51.0,E. Turner enters the game for E. Davis,,102-118,,
6:51.0,M. Plumlee enters the game for A. Crabbe,,102-118,,
6:46.0,,,102-120,2,L. James makes 2-pt shot at rim (assist by K. Love)
6:22.0,E. Turner makes 2-pt shot from 14 ft (assist by D. Lillard),2,104-120,,
6:03.0,,,104-122,2,R. Jefferson makes 2-pt shot from 21 ft (assist by L. James)
5:50.0,M. Plumlee makes 2-pt shot from 1 ft,2,106-122,,
5:32.0,,,106-122,,R. Jefferson misses 3-pt shot from 22 ft
5:31.0,,,106-122,,Offensive rebound by K. Love
5:30.0,,,106-124,2,L. James makes 2-pt shot from 1 ft (assist by K. Love)
5:30.0,,,106-124,,Shooting foul by E. Turner (drawn by L. James)
5:30.0,Portland full timeout,,106-124,,
5:30.0,,,106-125,1,L. James makes free throw 1 of 1
5:17.0,D. Lillard misses 2-pt shot from 18 ft,,106-125,,
5:16.0,Offensive rebound by M. Harkless,,106-125,,
5:04.0,C. McCollum makes 3-pt shot from 23 ft (assist by M. Plumlee),3,109-125,,
4:53.0,Personal foul by D. Lillard (drawn by K. Irving),,109-125,,
4:39.0,,,109-128,3,K. Irving makes 3-pt shot from 24 ft (assist by R. Jefferson)
4:26.0,C. McCollum misses 3-pt shot from 28 ft,,109-128,,
4:25.0,Offensive rebound by M. Plumlee,,109-128,,
4:21.0,M. Plumlee makes 2-pt shot from 1 ft,2,111-128,,
4:03.0,,,111-131,3,L. James makes 3-pt shot from 27 ft
4:01.0,Portland full timeout,,111-131,,
4:01.0,T. Quarterman enters the game for M. Harkless,,111-131,,
4:01.0,S. Napier enters the game for M. Plumlee,,111-131,,
4:01.0,N. Vonleh enters the game for C. McCollum,,111-131,,
4:01.0,J. Layman enters the game for D. Lillard,,111-131,,
4:01.0,P. Connaughton enters the game for E. Turner,,111-131,,
4:01.0,,,111-131,,C. Andersen enters the game for L. James
4:01.0,,,111-131,,J. Jones enters the game for K. Love
4:01.0,,,111-131,,J. McRae enters the game for K. Irving
4:01.0,,,111-131,,D. Liggins enters the game for I. Shumpert
3:39.0,P. Connaughton makes 3-pt shot from 24 ft (assist by S. Napier),3,114-131,,
3:17.0,,,114-131,,C. Andersen misses 2-pt shot from 18 ft
3:17.0,Defensive rebound by N. Vonleh,,114-131,,
3:12.0,S. Napier makes 3-pt shot from 25 ft,3,117-131,,
3:12.0,Shooting foul by J. McRae (drawn by S. Napier),,117-131,,
3:12.0,S. Napier makes free throw 1 of 1,1,118-131,,
