time,Memphis,pts.away,score,pts.home,Oklahoma City
4:26.0,M. Gasol misses 2-pt shot from 3 ft,,10-10,,
4:25.0,,,10-10,,Defensive rebound by R. Westbrook
4:18.0,,,10-10,,S. Adams misses 2-pt shot at rim (block by M. Gasol)
4:17.0,Defensive rebound by M. Gasol,,10-10,,
4:11.0,M. Conley misses 2-pt shot from 2 ft (block by A. Roberson),,10-10,,
4:10.0,,,10-10,,Defensive rebound by S. Adams
4:09.0,,,10-10,,Turnover by S. Adams (bad pass)
4:09.0,V. Carter enters the game for C. Parsons,,10-10,,
4:03.0,,,10-10,,Personal foul by A. Morrow (drawn by M. Conley)
4:03.0,A. Harrison enters the game for M. Conley,,10-10,,
3:52.0,Z. Randolph misses 2-pt shot from 14 ft,,10-10,,
3:51.0,,,10-10,,Defensive rebound by R. Westbrook
3:47.0,,,10-10,,D. Sabonis misses 2-pt shot at rim
3:46.0,Defensive rebound by Team,,10-10,,
3:45.0,,,10-10,,J. Lauvergne enters the game for D. Sabonis
3:32.0,M. Gasol makes 2-pt shot from 4 ft (assist by V. Carter),2,12-10,,
3:19.0,,,12-13,3,R. Westbrook makes 3-pt shot from 24 ft
2:51.0,V. Carter makes 3-pt shot from 23 ft (assist by A. Harrison),3,15-13,,
2:38.0,,,15-15,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
2:14.0,J. Ennis misses 3-pt shot from 22 ft,,15-15,,
2:13.0,Offensive rebound by Z. Randolph,,15-15,,
2:13.0,Z. Randolph makes 2-pt shot from 2 ft,2,17-15,,
2:00.0,,,17-15,,J. Lauvergne misses 3-pt shot from 23 ft
2:00.0,,,17-15,,Offensive rebound by Team
1:59.0,Loose ball foul by A. Harrison (drawn by S. Adams),,17-15,,
1:59.0,,,17-15,,Oklahoma City full timeout
1:59.0,,,17-15,,J. Grant enters the game for A. Roberson
1:59.0,,,17-15,,N. Collison enters the game for S. Adams
1:59.0,,,17-15,,C. Payne enters the game for R. Westbrook
1:59.0,J. Green enters the game for M. Gasol,,17-15,,
1:53.0,,,17-17,2,A. Morrow makes 2-pt shot from 4 ft (assist by N. Collison)
1:37.0,V. Carter makes 2-pt shot from 3 ft,2,19-17,,
1:26.0,,,19-19,2,J. Grant makes 2-pt shot from 3 ft
1:14.0,,,19-19,,Personal foul by N. Collison (drawn by Z. Randolph)
1:07.0,V. Carter makes 2-pt shot from 17 ft (assist by A. Harrison),2,21-19,,
0:55.0,,,21-19,,A. Morrow misses 2-pt shot from 12 ft (block by V. Carter)
0:54.0,Defensive rebound by Z. Randolph,,21-19,,
0:40.0,Z. Randolph misses 2-pt shot from 5 ft,,21-19,,
0:40.0,,,21-19,,Defensive rebound by Team
0:40.0,Loose ball foul by Z. Randolph (drawn by A. Morrow),,21-19,,
0:40.0,,,21-19,,N. Collison misses free throw 1 of 2
0:40.0,,,21-19,,Offensive rebound by Team
0:40.0,,,21-20,1,N. Collison makes free throw 2 of 2
0:40.0,M. Gasol enters the game for J. Green,,21-19,,
0:40.0,M. Conley enters the game for A. Harrison,,21-19,,
0:30.0,M. Conley misses 2-pt shot from 2 ft,,21-20,,
0:30.0,,,21-20,,Defensive rebound by N. Collison
0:26.0,,,21-20,,Shooting foul by V. Carter (drawn by J. Lauvergne)
0:26.0,,,21-21,1,J. Lauvergne makes free throw 1 of 2
0:26.0,,,21-21,,J. Lauvergne misses free throw 2 of 2
0:26.0,Defensive rebound by M. Gasol,,21-21,,
0:26.0,T. Daniels enters the game for Z. Randolph,,21-21,,
0:26.0,,,21-21,,A. Roberson enters the game for A. Morrow
0:04.0,M. Conley makes 2-pt shot from 19 ft,2,23-21,,
0:01.0,,,23-21,,Turnover by J. Grant (traveling)
0:01.0,,,23-21,,V. Oladipo enters the game for N. Collison
0:00.0,M. Gasol misses 3-pt shot from 26 ft,,23-21,,
0:00.0,Offensive rebound by Team,,23-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,23-21,,V. Oladipo misses 2-pt shot from 12 ft (block by J. Ennis)
11:48.0,Defensive rebound by J. Green,,23-21,,
11:32.0,V. Carter misses 3-pt shot from 25 ft,,23-21,,
11:31.0,,,23-21,,Defensive rebound by C. Payne
11:15.0,,,23-21,,J. Grant misses 2-pt shot from 1 ft
11:15.0,Defensive rebound by Z. Randolph,,23-21,,
11:03.0,Z. Randolph makes 2-pt shot from 4 ft,2,25-21,,
10:37.0,,,25-21,,C. Payne misses 2-pt shot from 4 ft
10:37.0,Defensive rebound by Z. Randolph,,25-21,,
10:31.0,Offensive foul by A. Harrison,,25-21,,
10:31.0,Turnover by A. Harrison (offensive foul),,25-21,,
10:31.0,Violation by Team (jump ball),,25-21,,
10:19.0,,,25-24,3,V. Oladipo makes 3-pt shot from 25 ft
10:00.0,Z. Randolph misses 2-pt shot from 1 ft,,25-24,,
9:59.0,Offensive rebound by Team,,25-24,,
9:59.0,,,25-24,,Loose ball foul by V. Oladipo (drawn by A. Harrison)
9:47.0,Z. Randolph misses 2-pt shot from 9 ft,,25-24,,
9:45.0,Offensive rebound by Z. Randolph,,25-24,,
9:44.0,Z. Randolph misses 2-pt shot at rim,,25-24,,
9:42.0,Offensive rebound by J. Ennis,,25-24,,
9:42.0,J. Ennis misses 2-pt shot from 5 ft (block by S. Adams),,25-24,,
9:40.0,Offensive rebound by J. Ennis,,25-24,,
9:28.0,A. Harrison makes 2-pt shot from 1 ft,2,27-24,,
9:02.0,,,27-26,2,C. Payne makes 2-pt shot from 2 ft
8:49.0,,,27-26,,Personal foul by V. Oladipo (drawn by V. Carter)
8:49.0,Official timeout,,27-26,,
8:49.0,,,27-26,,R. Westbrook enters the game for J. Grant
8:37.0,V. Carter misses 3-pt shot from 25 ft,,27-26,,
8:36.0,,,27-26,,Defensive rebound by R. Westbrook
8:22.0,,,27-26,,Turnover by R. Westbrook (lost ball; steal by J. Ennis)
8:17.0,J. Ennis misses 2-pt shot from 2 ft,,27-26,,
8:17.0,,,27-26,,Defensive rebound by N. Collison
7:59.0,,,27-28,2,V. Oladipo makes 2-pt shot at rim (assist by R. Westbrook)
7:50.0,Memphis full timeout,,27-28,,
7:50.0,C. Parsons enters the game for J. Ennis,,27-28,,
7:50.0,T. Allen enters the game for Z. Randolph,,27-28,,
7:50.0,M. Gasol enters the game for V. Carter,,27-28,,
7:50.0,M. Conley enters the game for A. Harrison,,27-28,,
7:50.0,,,27-28,,J. Lauvergne enters the game for N. Collison
7:41.0,C. Parsons makes 2-pt shot at rim (assist by M. Gasol),2,29-28,,
7:15.0,,,29-30,2,J. Lauvergne makes 2-pt shot from 2 ft (assist by C. Payne)
7:11.0,C. Parsons misses 2-pt shot from 17 ft,,29-30,,
7:10.0,,,29-30,,Defensive rebound by J. Lauvergne
7:06.0,,,29-30,,Shooting foul by T. Allen (drawn by R. Westbrook)
7:06.0,,,29-31,1,R. Westbrook makes free throw 1 of 2
7:06.0,,,29-32,1,R. Westbrook makes free throw 2 of 2
6:53.0,C. Parsons makes 2-pt shot from 2 ft (assist by M. Gasol),2,31-32,,
6:35.0,,,31-35,3,C. Payne makes 3-pt shot from 25 ft (assist by J. Lauvergne)
6:20.0,M. Conley misses 2-pt shot from 3 ft,,31-35,,
6:20.0,,,31-35,,Defensive rebound by V. Oladipo
6:12.0,,,31-35,,V. Oladipo misses 2-pt shot from 18 ft
6:11.0,Defensive rebound by T. Allen,,31-35,,
6:07.0,Shooting foul by J. Lauvergne (drawn by M. Conley),,31-35,,
6:07.0,M. Conley makes free throw 1 of 3,1,32-35,,
6:07.0,M. Conley misses free throw 2 of 3,,32-35,,
6:07.0,Offensive rebound by Team,,32-35,,
6:07.0,M. Conley makes free throw 3 of 3,1,33-35,,
6:07.0,Z. Randolph enters the game for J. Green,,32-35,,
6:07.0,,,32-35,,A. Morrow enters the game for V. Oladipo
5:58.0,,,33-37,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
5:40.0,M. Conley makes 2-pt shot from 6 ft (assist by M. Gasol),2,35-37,,
5:19.0,,,35-37,,Oklahoma City full timeout
5:15.0,,,35-37,,Shooting foul by M. Gasol (drawn by R. Westbrook)
5:15.0,,,35-38,1,R. Westbrook makes free throw 1 of 2
5:15.0,,,35-39,1,R. Westbrook makes free throw 2 of 2
4:59.0,M. Gasol makes 2-pt shot from 3 ft,2,37-39,,
4:45.0,,,37-39,,R. Westbrook misses 2-pt shot from 15 ft
4:45.0,,,37-39,,Offensive rebound by J. Lauvergne
4:40.0,,,37-39,,C. Payne misses 3-pt shot from 25 ft
4:40.0,Defensive rebound by C. Parsons,,37-39,,
4:22.0,M. Gasol misses 2-pt shot from 2 ft,,37-39,,
4:22.0,,,37-39,,Defensive rebound by R. Westbrook
4:17.0,,,37-42,3,A. Morrow makes 3-pt shot from 24 ft (assist by R. Westbrook)
4:02.0,Turnover by M. Conley (lost ball),,37-42,,
4:02.0,,,37-42,,V. Oladipo enters the game for C. Payne
3:55.0,,,37-42,,Turnover by R. Westbrook (bad pass)
3:46.0,Turnover by T. Allen (bad pass; steal by R. Westbrook),,37-42,,
3:41.0,Personal foul by T. Allen (drawn by R. Westbrook),,37-42,,
3:38.0,,,37-42,,R. Westbrook misses 3-pt shot from 25 ft
3:37.0,Defensive rebound by M. Gasol,,37-42,,
3:26.0,M. Gasol makes 2-pt shot from 10 ft,2,39-42,,
3:18.0,,,39-42,,V. Oladipo misses 2-pt shot from 17 ft
3:18.0,,,39-42,,Offensive rebound by Team
3:18.0,,,39-42,,Oklahoma City full timeout
3:01.0,,,39-44,2,S. Adams makes 2-pt shot from 6 ft (assist by V. Oladipo)
2:47.0,Shooting foul by S. Adams (drawn by M. Gasol),,39-44,,
2:47.0,Memphis full timeout,,39-44,,
2:47.0,M. Gasol makes free throw 1 of 2,1,40-44,,
2:47.0,M. Gasol makes free throw 2 of 2,1,41-44,,
2:37.0,,,41-44,,Shooting foul by C. Parsons (drawn by A. Morrow)
2:37.0,,,41-45,1,A. Morrow makes free throw 1 of 2
2:37.0,,,41-46,1,A. Morrow makes free throw 2 of 2
2:24.0,C. Parsons misses 2-pt shot from 3 ft,,41-46,,
2:23.0,,,41-46,,Defensive rebound by J. Lauvergne
2:13.0,,,41-48,2,J. Lauvergne makes 2-pt shot from 4 ft
1:56.0,T. Allen misses 2-pt shot from 17 ft,,41-48,,
1:56.0,Offensive rebound by Team,,41-48,,
1:56.0,,,41-48,,Loose ball foul by J. Lauvergne (drawn by Z. Randolph)
1:56.0,Z. Randolph makes free throw 1 of 2,1,42-48,,
1:56.0,Z. Randolph makes free throw 2 of 2,1,43-48,,
1:48.0,,,43-50,2,S. Adams makes 2-pt shot from 2 ft (assist by R. Westbrook)
1:27.0,T. Allen misses 2-pt shot from 1 ft,,43-50,,
1:27.0,,,43-50,,Defensive rebound by J. Lauvergne
1:19.0,,,43-50,,V. Oladipo misses 3-pt shot from 22 ft
1:19.0,,,43-50,,Offensive rebound by S. Adams
1:03.0,,,43-52,2,J. Lauvergne makes 2-pt shot from 3 ft
0:54.0,,,43-52,,Personal foul by A. Morrow (drawn by M. Conley)
0:54.0,M. Conley makes free throw 1 of 2,1,44-52,,
0:54.0,M. Conley misses free throw 2 of 2,,44-52,,
0:54.0,,,44-52,,A. Roberson enters the game for V. Oladipo
0:53.0,,,44-52,,Defensive rebound by J. Lauvergne
0:42.0,,,44-52,,R. Westbrook misses 2-pt shot from 2 ft (block by T. Allen)
0:41.0,Defensive rebound by Z. Randolph,,44-52,,
0:36.0,T. Allen makes 2-pt shot at rim (assist by M. Conley),2,46-52,,
0:29.0,,,46-55,3,R. Westbrook makes 3-pt shot from 26 ft
0:10.0,M. Conley makes 2-pt shot from 12 ft,2,48-55,,
0:01.0,,,48-58,3,A. Morrow makes 3-pt shot from 25 ft (assist by R. Westbrook)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,48-58,,R. Westbrook misses 2-pt shot from 15 ft
11:44.0,Defensive rebound by M. Conley,,48-58,,
11:30.0,,,48-58,,Violation by A. Roberson (def goaltending)
11:30.0,C. Parsons makes 2-pt shot from 2 ft (assist by M. Gasol),2,50-58,,
11:09.0,,,50-58,,Turnover by D. Sabonis (lost ball; steal by M. Conley)
10:53.0,Shooting foul by D. Sabonis (drawn by C. Parsons),,50-58,,
10:53.0,C. Parsons makes free throw 1 of 2,1,51-58,,
10:53.0,C. Parsons makes free throw 2 of 2,1,52-58,,
10:36.0,,,52-58,,Turnover by D. Sabonis (lost ball; steal by M. Gasol)
10:26.0,Shooting foul by V. Oladipo (drawn by T. Allen),,52-58,,
10:26.0,,,52-58,,Oklahoma City full timeout
10:26.0,T. Allen makes free throw 1 of 2,1,53-58,,
10:26.0,T. Allen makes free throw 2 of 2,1,54-58,,
10:15.0,,,54-60,2,S. Adams makes 2-pt shot from 9 ft (assist by R. Westbrook)
9:50.0,T. Allen makes 2-pt shot from 1 ft (assist by M. Gasol),2,56-60,,
9:36.0,,,56-60,,D. Sabonis misses 3-pt shot from 22 ft
9:35.0,,,56-60,,Offensive rebound by S. Adams
9:31.0,,,56-60,,Offensive foul by S. Adams
9:31.0,,,56-60,,Turnover by S. Adams (offensive foul)
9:31.0,J. Ennis enters the game for T. Allen,,56-60,,
9:23.0,,,56-60,,Personal foul by S. Adams (drawn by M. Gasol)
9:14.0,J. Ennis makes 3-pt shot from 25 ft (assist by C. Parsons),3,59-60,,
9:02.0,Personal foul by J. Green (drawn by D. Sabonis),,59-60,,
9:02.0,,,59-60,,J. Lauvergne enters the game for D. Sabonis
8:52.0,,,59-60,,Shooting foul by J. Ennis (drawn by R. Westbrook)
8:52.0,,,59-61,1,R. Westbrook makes free throw 1 of 2
8:52.0,,,59-62,1,R. Westbrook makes free throw 2 of 2
8:36.0,M. Gasol makes 2-pt shot from 3 ft,2,61-62,,
8:23.0,,,61-62,,R. Westbrook misses 2-pt shot from 12 ft
8:23.0,,,61-62,,Offensive rebound by R. Westbrook
8:22.0,,,61-64,2,R. Westbrook makes 2-pt shot from 2 ft
8:06.0,M. Gasol misses 3-pt shot from 25 ft,,61-64,,
8:05.0,,,61-64,,Defensive rebound by R. Westbrook
8:00.0,,,61-64,,Shooting foul by J. Green (drawn by S. Adams)
8:00.0,,,61-64,,S. Adams misses free throw 1 of 2
8:00.0,,,61-64,,Offensive rebound by Team
8:00.0,,,61-65,1,S. Adams makes free throw 2 of 2
7:42.0,Shooting foul by J. Lauvergne (drawn by C. Parsons),,61-65,,
7:42.0,C. Parsons makes free throw 1 of 2,1,62-65,,
7:42.0,C. Parsons makes free throw 2 of 2,1,63-65,,
7:30.0,,,63-65,,R. Westbrook misses 2-pt shot from 1 ft
7:30.0,,,63-65,,Offensive rebound by Team
7:28.0,,,63-67,2,V. Oladipo makes 2-pt shot from 1 ft (assist by R. Westbrook)
7:14.0,Turnover by C. Parsons (bad pass; steal by V. Oladipo),,63-67,,
7:14.0,Personal foul by M. Gasol (drawn by V. Oladipo),,63-67,,
7:09.0,,,63-67,,Offensive charge foul by R. Westbrook
7:09.0,,,63-67,,Turnover by R. Westbrook (offensive foul)
6:53.0,M. Gasol makes 2-pt shot from 9 ft (assist by J. Ennis),2,65-67,,
6:33.0,,,65-67,,A. Roberson misses 3-pt shot from 25 ft
6:33.0,Defensive rebound by M. Gasol,,65-67,,
6:12.0,M. Gasol makes 2-pt shot from 12 ft,2,67-67,,
5:58.0,,,67-67,,R. Westbrook misses 2-pt shot from 17 ft
5:56.0,,,67-67,,Offensive rebound by A. Roberson
5:56.0,,,67-67,,A. Morrow enters the game for V. Oladipo
5:56.0,Jump ball: J. Green vs. A. Roberson (R. Westbrook gains possession),,,,Jump ball: J. Green vs. A. Roberson (R. Westbrook gains possession)
5:50.0,,,67-67,,Shooting foul by J. Ennis (drawn by R. Westbrook)
5:50.0,,,67-68,1,R. Westbrook makes free throw 1 of 2
5:50.0,,,67-69,1,R. Westbrook makes free throw 2 of 2
5:30.0,,,67-69,,Violation by A. Roberson (def goaltending)
5:30.0,J. Ennis makes 2-pt shot from 1 ft (assist by J. Green),2,69-69,,
5:19.0,,,69-69,,R. Westbrook misses 2-pt shot from 17 ft
5:18.0,,,69-69,,Offensive rebound by S. Adams
5:14.0,,,69-72,3,R. Westbrook makes 3-pt shot from 25 ft (assist by S. Adams)
5:00.0,Offensive foul by J. Green,,69-72,,
5:00.0,Turnover by J. Green (offensive foul),,69-72,,
5:00.0,,,69-72,,J. Grant enters the game for A. Roberson
5:00.0,Z. Randolph enters the game for J. Green,,69-72,,
4:52.0,,,69-72,,A. Morrow misses 3-pt shot from 25 ft
4:50.0,,,69-72,,Offensive rebound by S. Adams
4:50.0,,,69-72,,S. Adams misses 2-pt shot from 1 ft
4:49.0,,,69-72,,Offensive rebound by S. Adams
4:49.0,,,69-74,2,S. Adams makes 2-pt shot from 1 ft
4:32.0,,,69-74,,Violation by J. Grant (def goaltending)
4:32.0,M. Gasol makes 2-pt shot from 1 ft (assist by Z. Randolph),2,71-74,,
4:21.0,,,71-77,3,J. Lauvergne makes 3-pt shot from 23 ft (assist by R. Westbrook)
4:00.0,M. Gasol makes 2-pt shot at rim (assist by Z. Randolph),2,73-77,,
3:32.0,,,73-79,2,A. Morrow makes 2-pt shot from 8 ft (assist by J. Lauvergne)
3:11.0,Z. Randolph makes 2-pt shot from 3 ft (assist by M. Gasol),2,75-79,,
2:51.0,Memphis full timeout,,75-79,,
2:51.0,V. Carter enters the game for C. Parsons,,75-79,,
2:47.0,,,75-79,,R. Westbrook misses 2-pt shot from 17 ft
2:46.0,Defensive rebound by Z. Randolph,,75-79,,
2:27.0,M. Conley makes 3-pt shot from 25 ft (assist by Z. Randolph),3,78-79,,
2:04.0,,,78-79,,Turnover by A. Morrow (lost ball; steal by M. Conley)
1:56.0,M. Conley misses 3-pt shot from 25 ft,,78-79,,
1:55.0,,,78-79,,Defensive rebound by Team
1:55.0,Loose ball foul by J. Ennis (drawn by J. Grant),,78-79,,
1:55.0,,,78-79,,J. Grant misses free throw 1 of 2
1:55.0,,,78-79,,Offensive rebound by Team
1:55.0,,,78-80,1,J. Grant makes free throw 2 of 2
1:55.0,,,78-79,,N. Collison enters the game for S. Adams
1:55.0,,,78-79,,C. Payne enters the game for R. Westbrook
1:55.0,A. Harrison enters the game for M. Conley,,78-79,,
1:42.0,Shooting foul by N. Collison (drawn by Z. Randolph),,78-80,,
1:42.0,Z. Randolph makes free throw 1 of 2,1,79-80,,
1:42.0,Z. Randolph makes free throw 2 of 2,1,80-80,,
1:31.0,,,80-80,,Turnover by N. Collison (bad pass)
1:18.0,Offensive charge foul by J. Ennis,,80-80,,
1:18.0,Turnover by J. Ennis (offensive foul),,80-80,,
1:18.0,T. Allen enters the game for J. Ennis,,80-80,,
0:55.0,,,80-80,,Turnover by J. Lauvergne (bad pass; steal by T. Allen)
0:33.0,A. Harrison misses 2-pt shot from 11 ft,,80-80,,
0:33.0,,,80-80,,Defensive rebound by J. Lauvergne
0:10.0,,,80-80,,Turnover by J. Lauvergne (bad pass; steal by A. Harrison)
0:10.0,M. Conley enters the game for T. Allen,,80-80,,
0:10.0,T. Daniels enters the game for Z. Randolph,,80-80,,
0:10.0,,,80-80,,A. Roberson enters the game for N. Collison
0:10.0,,,80-80,,V. Oladipo enters the game for A. Morrow
0:02.0,M. Conley makes 2-pt shot from 11 ft,2,82-80,,
0:00.0,,,82-80,,V. Oladipo misses 3-pt shot from 37 ft
0:00.0,,,82-80,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,M. Gasol makes 2-pt shot from 13 ft,2,84-80,,
11:12.0,,,84-80,,J. Grant misses 2-pt shot from 3 ft
11:12.0,,,84-80,,Offensive rebound by S. Adams
11:12.0,Loose ball foul by A. Harrison (drawn by S. Adams),,84-80,,
11:01.0,,,84-80,,S. Adams misses 2-pt shot from 6 ft
10:59.0,Defensive rebound by Z. Randolph,,84-80,,
10:59.0,Offensive foul by Z. Randolph,,84-80,,
10:59.0,Turnover by Z. Randolph (offensive foul),,84-80,,
10:53.0,,,84-80,,V. Oladipo misses 2-pt shot from 5 ft
10:53.0,,,84-80,,Offensive rebound by N. Collison
10:52.0,,,84-80,,Shooting foul by M. Gasol (drawn by N. Collison)
10:52.0,,,84-80,,N. Collison misses free throw 1 of 2
10:52.0,,,84-80,,Offensive rebound by Team
10:52.0,,,84-81,1,N. Collison makes free throw 2 of 2
10:35.0,M. Gasol misses 2-pt shot from 18 ft,,84-81,,
10:34.0,Offensive rebound by Z. Randolph,,84-81,,
10:29.0,Z. Randolph misses 2-pt shot from 6 ft,,84-81,,
10:29.0,Offensive rebound by T. Allen,,84-81,,
10:29.0,Shooting foul by V. Oladipo (drawn by T. Allen),,84-81,,
10:29.0,T. Allen makes free throw 1 of 2,1,85-81,,
10:29.0,T. Allen misses free throw 2 of 2,,85-81,,
10:28.0,,,85-81,,Defensive rebound by J. Grant
10:12.0,,,85-81,,Turnover by J. Grant (traveling)
9:57.0,Z. Randolph makes 2-pt shot from 1 ft (assist by M. Gasol),2,87-81,,
9:56.0,,,87-81,,Oklahoma City full timeout
9:44.0,,,87-83,2,C. Payne makes 2-pt shot from 7 ft
9:21.0,M. Gasol makes 2-pt shot from 13 ft (assist by V. Carter),2,89-83,,
9:06.0,,,89-85,2,C. Payne makes 2-pt shot from 6 ft
8:44.0,,,89-85,,R. Westbrook enters the game for J. Grant
8:44.0,,,89-85,,J. Lauvergne enters the game for N. Collison
8:38.0,M. Gasol makes 2-pt shot from 19 ft,2,91-85,,
8:22.0,Personal foul by Z. Randolph (drawn by R. Westbrook),,91-85,,
8:12.0,,,91-85,,C. Payne misses 2-pt shot from 3 ft
8:10.0,Defensive rebound by Z. Randolph,,91-85,,
7:51.0,Z. Randolph misses 2-pt shot from 18 ft,,91-85,,
7:50.0,,,91-85,,Defensive rebound by V. Oladipo
7:44.0,,,91-88,3,J. Lauvergne makes 3-pt shot from 22 ft (assist by V. Oladipo)
7:43.0,Memphis full timeout,,91-88,,
7:43.0,J. Green enters the game for M. Gasol,,91-88,,
7:43.0,M. Conley enters the game for A. Harrison,,91-88,,
7:33.0,,,91-88,,Personal foul by R. Westbrook (drawn by V. Carter)
7:27.0,Z. Randolph makes 2-pt shot from 1 ft (assist by V. Carter),2,93-88,,
7:15.0,,,93-90,2,R. Westbrook makes 2-pt shot at rim
6:50.0,Z. Randolph misses 3-pt shot from 24 ft,,93-90,,
6:49.0,,,93-90,,Defensive rebound by R. Westbrook
6:44.0,,,93-90,,V. Oladipo misses 3-pt shot from 25 ft
6:44.0,,,93-90,,Offensive rebound by S. Adams
6:44.0,Personal foul by Z. Randolph (drawn by S. Adams),,93-90,,
6:44.0,M. Gasol enters the game for Z. Randolph,,93-90,,
6:44.0,J. Ennis enters the game for V. Carter,,93-90,,
6:39.0,,,93-90,,R. Westbrook misses 2-pt shot from 1 ft
6:38.0,,,93-90,,Offensive rebound by S. Adams
6:37.0,,,93-90,,S. Adams misses 2-pt shot from 2 ft
6:36.0,,,93-90,,Offensive rebound by R. Westbrook
6:36.0,Personal foul by J. Green (drawn by R. Westbrook),,93-90,,
6:36.0,,,93-91,1,R. Westbrook makes free throw 1 of 2
6:36.0,,,93-92,1,R. Westbrook makes free throw 2 of 2
6:17.0,M. Gasol makes 2-pt shot from 2 ft,2,95-92,,
6:17.0,Shooting foul by S. Adams (drawn by M. Gasol),,95-92,,
6:17.0,M. Gasol makes free throw 1 of 1,1,96-92,,
6:06.0,,,96-92,,V. Oladipo misses 3-pt shot from 24 ft
6:05.0,,,96-92,,Offensive rebound by S. Adams
