time,Sacramento,pts.away,score,pts.home,LA Lakers
9:17.0,,,31-27,,Defensive rebound by I. Zubac
9:16.0,,,31-27,,Turnover by I. Zubac (bad pass; steal by M. Barnes)
9:12.0,M. Barnes misses 3-pt shot from 25 ft,,31-27,,
9:11.0,Offensive rebound by W. Cauley-Stein,,31-27,,
9:02.0,D. Collison misses 2-pt shot from 19 ft,,31-27,,
9:00.0,,,31-27,,Defensive rebound by J. Clarkson
8:53.0,,,31-27,,Turnover by J. Clarkson (lost ball)
8:53.0,Official timeout,,31-27,,
8:53.0,,,31-27,,T. Black enters the game for I. Zubac
8:36.0,Turnover by M. Richardson (bad pass),,31-27,,
8:21.0,Personal foul by M. Richardson (drawn by T. Black),,31-27,,
8:09.0,,,31-27,,J. Clarkson misses 2-pt shot from 16 ft
8:08.0,Defensive rebound by M. Barnes,,31-27,,
7:58.0,M. Richardson misses 3-pt shot from 26 ft,,31-27,,
7:57.0,,,31-27,,Defensive rebound by J. Clarkson
7:51.0,,,31-27,,L. Williams misses 3-pt shot from 25 ft
7:50.0,Defensive rebound by M. Richardson,,31-27,,
7:28.0,M. Barnes misses 3-pt shot from 26 ft,,31-27,,
7:27.0,,,31-27,,Defensive rebound by J. Clarkson
7:18.0,,,31-29,2,J. Clarkson makes 2-pt shot from 5 ft
6:58.0,A. Tolliver makes 2-pt shot from 2 ft (assist by M. Barnes),2,33-29,,
6:48.0,,,33-31,2,L. Williams makes 2-pt shot from 2 ft
6:30.0,M. Barnes misses 3-pt shot from 25 ft,,33-31,,
6:29.0,,,33-31,,Defensive rebound by J. Clarkson
6:19.0,,,33-31,,Shooting foul by M. Richardson
6:19.0,,,33-32,1,L. Williams makes free throw 1 of 3
6:19.0,,,33-33,1,L. Williams makes free throw 2 of 3
6:19.0,,,33-34,1,L. Williams makes free throw 3 of 3
6:09.0,Turnover by M. Barnes (bad pass; steal by T. Black),,33-34,,
6:04.0,,,33-34,,J. Clarkson misses 2-pt shot from 3 ft
6:03.0,,,33-34,,Offensive rebound by T. Black
6:03.0,,,33-36,2,T. Black makes 2-pt shot at rim
6:02.0,Sacramento full timeout,,33-36,,
6:02.0,B. McLemore enters the game for M. Richardson,,33-36,,
5:49.0,B. McLemore misses 2-pt shot from 21 ft,,33-36,,
5:48.0,,,33-36,,Defensive rebound by L. Nance
5:32.0,,,33-36,,L. Deng misses 3-pt shot from 25 ft
5:31.0,,,33-36,,Offensive rebound by T. Black
5:27.0,Personal foul by B. McLemore,,33-36,,
5:20.0,,,33-36,,Turnover by L. Deng (bad pass)
5:01.0,A. Tolliver makes 2-pt shot from 4 ft (assist by D. Collison),2,35-36,,
4:51.0,,,35-36,,Turnover by J. Clarkson (lost ball)
4:51.0,,,35-36,,B. Ingram enters the game for L. Deng
4:35.0,D. Collison misses 2-pt shot from 4 ft,,35-36,,
4:33.0,Offensive rebound by W. Cauley-Stein,,35-36,,
4:33.0,W. Cauley-Stein misses 2-pt shot from 3 ft (block by L. Williams),,35-36,,
4:31.0,,,35-36,,Defensive rebound by T. Black
4:23.0,,,35-36,,L. Nance misses 3-pt shot from 25 ft
4:23.0,Defensive rebound by W. Cauley-Stein,,35-36,,
4:23.0,,,35-36,,J. Randle enters the game for J. Clarkson
4:23.0,,,35-36,,D. Russell enters the game for L. Nance
4:23.0,,,35-36,,N. Young enters the game for L. Williams
4:23.0,D. Cousins enters the game for A. Tolliver,,35-36,,
4:20.0,Jump ball: T. Black vs. W. Cauley-Stein (D. Collison gains possession),,,,Jump ball: T. Black vs. W. Cauley-Stein (D. Collison gains possession)
4:04.0,Shooting foul by T. Black (drawn by D. Cousins),,35-36,,
4:04.0,D. Cousins misses free throw 1 of 2,,35-36,,
4:04.0,Offensive rebound by Team,,35-36,,
4:04.0,D. Cousins makes free throw 2 of 2,1,36-36,,
4:04.0,,,35-36,,T. Mozgov enters the game for T. Black
4:04.0,K. Koufos enters the game for W. Cauley-Stein,,35-36,,
3:52.0,,,36-36,,Turnover by D. Russell (discontinued dribble)
3:35.0,D. Collison makes 2-pt shot from 20 ft (assist by D. Cousins),2,38-36,,
3:22.0,,,38-36,,J. Randle misses 2-pt shot from 3 ft
3:20.0,Defensive rebound by B. McLemore,,38-36,,
3:11.0,Turnover by D. Cousins (discontinued dribble),,38-36,,
2:47.0,,,38-36,,N. Young misses 3-pt shot from 26 ft
2:46.0,Defensive rebound by D. Collison,,38-36,,
2:41.0,M. Barnes makes 3-pt shot from 25 ft (assist by D. Collison),3,41-36,,
2:28.0,,,41-36,,J. Randle misses 2-pt shot from 8 ft
2:25.0,Defensive rebound by K. Koufos,,41-36,,
2:18.0,Shooting foul by D. Russell (drawn by D. Collison),,41-36,,
2:18.0,,,41-36,,LA Lakers full timeout
2:18.0,D. Collison makes free throw 1 of 2,1,42-36,,
2:18.0,D. Collison makes free throw 2 of 2,1,43-36,,
2:18.0,A. Afflalo enters the game for M. Barnes,,41-36,,
1:53.0,,,43-38,2,J. Randle makes 2-pt shot from 13 ft (assist by B. Ingram)
1:34.0,Turnover by D. Collison (bad pass; steal by D. Russell),,43-38,,
1:28.0,,,43-41,3,N. Young makes 3-pt shot from 24 ft (assist by J. Randle)
1:04.0,D. Cousins misses 2-pt shot from 9 ft,,43-41,,
1:01.0,,,43-41,,Defensive rebound by T. Mozgov
0:48.0,,,43-41,,N. Young misses 2-pt shot from 20 ft
0:44.0,Defensive rebound by D. Cousins,,43-41,,
0:41.0,Turnover by D. Collison (lost ball),,43-41,,
0:17.0,,,43-41,,J. Randle misses 2-pt shot from 8 ft
0:15.0,,,43-41,,Offensive rebound by T. Mozgov
0:11.0,,,43-41,,Shooting foul by K. Koufos (drawn by B. Ingram)
0:11.0,,,43-41,,B. Ingram misses free throw 1 of 2
0:11.0,,,43-41,,Offensive rebound by Team
0:11.0,,,43-41,,B. Ingram misses free throw 2 of 2
0:11.0,Defensive rebound by Team,,43-41,,
0:11.0,A. Tolliver enters the game for K. Koufos,,43-41,,
0:11.0,,,43-41,,J. Clarkson enters the game for D. Russell
0:08.0,,,43-41,,Personal take foul by J. Clarkson (drawn by D. Collison)
0:08.0,Sacramento full timeout,,43-41,,
0:08.0,,,43-41,,L. Nance enters the game for T. Mozgov
0:00.0,B. McLemore misses 3-pt shot from 25 ft,,43-41,,
0:00.0,Offensive rebound by Team,,43-41,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
12:00.0,,,43-41,,LA Lakers full timeout
11:45.0,,,43-41,,N. Young misses 3-pt shot from 27 ft
11:44.0,Defensive rebound by D. Cousins,,43-41,,
11:22.0,D. Cousins makes 3-pt shot from 28 ft (assist by D. Collison),3,46-41,,
11:12.0,,,46-41,,D. Russell misses 2-pt shot from 13 ft
11:11.0,Defensive rebound by B. McLemore,,46-41,,
11:07.0,Turnover by D. Collison (bad pass),,46-41,,
10:52.0,,,46-43,2,D. Russell makes 2-pt shot from 19 ft
10:37.0,B. McLemore makes 3-pt shot from 25 ft (assist by D. Collison),3,49-43,,
10:10.0,,,49-46,3,D. Russell makes 3-pt shot from 25 ft (assist by B. Ingram)
9:56.0,A. Afflalo makes 2-pt shot from 16 ft (assist by K. Koufos),2,51-46,,
9:43.0,,,51-46,,J. Randle misses 2-pt shot from 19 ft
9:42.0,,,51-46,,Offensive rebound by B. Ingram
9:30.0,,,51-48,2,J. Randle makes 2-pt shot from 3 ft (assist by N. Young)
9:16.0,K. Koufos makes 2-pt shot at rim (assist by D. Cousins),2,53-48,,
9:03.0,,,53-48,,N. Young misses 3-pt shot from 27 ft
9:02.0,Defensive rebound by D. Cousins,,53-48,,
8:54.0,D. Cousins makes 2-pt shot from 18 ft,2,55-48,,
8:41.0,,,55-48,,D. Russell misses 2-pt shot from 13 ft
8:38.0,,,55-48,,Offensive rebound by J. Randle
8:32.0,,,55-48,,T. Black misses 2-pt shot from 7 ft
8:31.0,Defensive rebound by D. Cousins,,55-48,,
8:27.0,Shooting foul by N. Young (drawn by B. McLemore),,55-48,,
8:27.0,B. McLemore makes free throw 1 of 2,1,56-48,,
8:27.0,B. McLemore makes free throw 2 of 2,1,57-48,,
8:13.0,,,57-50,2,T. Black makes 2-pt shot from 2 ft (assist by J. Randle)
7:50.0,D. Collison misses 3-pt shot from 26 ft,,57-50,,
7:49.0,Offensive rebound by D. Cousins,,57-50,,
7:47.0,K. Koufos makes 2-pt shot at rim (assist by D. Cousins),2,59-50,,
7:30.0,,,59-53,3,N. Young makes 3-pt shot from 23 ft (assist by D. Russell)
7:07.0,D. Cousins misses 3-pt shot from 25 ft,,59-53,,
7:06.0,,,59-53,,Defensive rebound by B. Ingram
6:45.0,,,59-53,,B. Ingram misses 2-pt shot from 2 ft
6:44.0,,,59-53,,Offensive rebound by J. Randle
6:43.0,,,59-55,2,J. Randle makes 2-pt shot at rim
6:16.0,D. Collison misses 3-pt shot from 26 ft,,59-55,,
6:15.0,,,59-55,,Defensive rebound by B. Ingram
6:07.0,,,59-55,,D. Russell misses 3-pt shot from 26 ft
6:06.0,Defensive rebound by K. Koufos,,59-55,,
5:52.0,B. McLemore misses 2-pt shot from 2 ft,,59-55,,
5:51.0,,,59-55,,Defensive rebound by J. Randle
5:45.0,,,59-55,,Shooting foul by K. Koufos (drawn by N. Young)
5:45.0,,,59-56,1,N. Young makes free throw 1 of 2
5:45.0,,,59-56,,N. Young misses free throw 2 of 2
5:43.0,Defensive rebound by K. Koufos,,59-56,,
5:20.0,D. Cousins misses 2-pt shot from 1 ft,,59-56,,
5:19.0,,,59-56,,Defensive rebound by J. Randle
5:13.0,,,59-56,,Shooting foul by D. Cousins (drawn by B. Ingram)
5:13.0,,,59-56,,B. Ingram misses free throw 1 of 2
5:13.0,,,59-56,,Offensive rebound by Team
5:13.0,,,59-57,1,B. Ingram makes free throw 2 of 2
4:53.0,,,59-57,,Violation by J. Randle (def goaltending)
4:53.0,D. Cousins makes 2-pt shot from 3 ft,2,61-57,,
4:36.0,,,61-57,,N. Young misses 2-pt shot from 13 ft
4:34.0,Defensive rebound by D. Cousins,,61-57,,
4:27.0,Turnover by D. Cousins (bad pass),,61-57,,
4:27.0,,,61-57,,J. Clarkson enters the game for N. Young
4:18.0,,,61-57,,Turnover by D. Russell (bad pass; steal by A. Afflalo)
4:08.0,B. McLemore makes 3-pt shot from 26 ft (assist by A. Afflalo),3,64-57,,
3:53.0,,,64-57,,B. Ingram misses 2-pt shot from 15 ft
3:50.0,Defensive rebound by D. Cousins,,64-57,,
3:40.0,D. Cousins misses 3-pt shot from 27 ft,,64-57,,
3:39.0,,,64-57,,Defensive rebound by D. Russell
3:31.0,,,64-57,,T. Black misses 2-pt shot from 5 ft
3:31.0,Defensive rebound by Team,,64-57,,
3:31.0,,,64-57,,Loose ball foul by J. Randle (drawn by K. Koufos)
3:31.0,M. Barnes enters the game for D. Collison,,64-57,,
3:31.0,,,64-57,,L. Nance enters the game for B. Ingram
3:31.0,,,64-57,,L. Deng enters the game for J. Randle
3:15.0,A. Afflalo makes 2-pt shot from 14 ft,2,66-57,,
2:56.0,,,66-57,,D. Russell misses 2-pt shot from 7 ft
2:54.0,Defensive rebound by D. Cousins,,66-57,,
2:49.0,,,66-57,,Personal foul by J. Clarkson (drawn by A. Afflalo)
2:49.0,Sacramento full timeout,,66-57,,
2:49.0,,,66-57,,I. Zubac enters the game for D. Russell
2:49.0,,,66-57,,L. Williams enters the game for T. Black
2:39.0,D. Cousins makes 2-pt shot from 19 ft,2,68-57,,
2:24.0,Personal foul by M. Barnes (drawn by L. Deng),,68-57,,
2:09.0,,,68-60,3,L. Williams makes 3-pt shot from 25 ft
1:43.0,Turnover by B. McLemore (lost ball; steal by L. Nance),,68-60,,
1:39.0,,,68-62,2,L. Williams makes 2-pt shot from 3 ft (assist by L. Nance)
1:21.0,D. Cousins misses 2-pt shot from 14 ft,,68-62,,
1:20.0,,,68-62,,Defensive rebound by L. Deng
1:08.0,,,68-62,,Turnover by J. Clarkson (bad pass; steal by K. Koufos)
0:58.0,D. Cousins makes 2-pt shot from 2 ft,2,70-62,,
0:39.0,,,70-64,2,L. Nance makes 2-pt shot from 11 ft (assist by L. Williams)
0:30.0,D. Cousins misses 3-pt shot from 29 ft,,70-64,,
0:28.0,,,70-64,,Defensive rebound by L. Nance
0:08.0,,,70-64,,L. Williams misses 3-pt shot from 30 ft
0:07.0,Defensive rebound by M. Barnes,,70-64,,
0:03.0,K. Koufos misses 2-pt shot from 6 ft,,70-64,,
0:02.0,Offensive rebound by A. Afflalo,,70-64,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,D. Cousins makes 2-pt shot from 4 ft (assist by M. Barnes),2,72-64,,
11:49.0,Shooting foul by I. Zubac (drawn by D. Cousins),,72-64,,
11:49.0,D. Cousins makes free throw 1 of 1,1,73-64,,
11:38.0,,,73-64,,Turnover by L. Deng (bad pass; steal by W. Cauley-Stein)
11:30.0,W. Cauley-Stein makes 2-pt shot at rim (assist by D. Cousins),2,75-64,,
11:15.0,,,75-64,,L. Williams misses 3-pt shot from 25 ft
11:13.0,,,75-64,,Offensive rebound by L. Deng
11:10.0,,,75-64,,I. Zubac misses 2-pt shot from 8 ft (block by W. Cauley-Stein)
11:08.0,Defensive rebound by D. Collison,,75-64,,
11:00.0,Turnover by B. McLemore (bad pass; steal by L. Williams),,75-64,,
10:55.0,,,75-64,,Shooting foul by M. Barnes (drawn by L. Nance)
10:55.0,,,75-64,,L. Nance misses free throw 1 of 2
10:55.0,,,75-64,,Offensive rebound by Team
10:55.0,,,75-64,,L. Nance misses free throw 2 of 2
10:55.0,A. Tolliver enters the game for D. Cousins,,75-64,,
10:54.0,Defensive rebound by A. Tolliver,,75-64,,
10:39.0,W. Cauley-Stein makes 2-pt shot at rim (assist by D. Collison),2,77-64,,
10:18.0,,,77-64,,Turnover by L. Nance (bad pass; steal by W. Cauley-Stein)
10:12.0,B. McLemore misses 3-pt shot from 28 ft,,77-64,,
10:11.0,,,77-64,,Defensive rebound by I. Zubac
10:05.0,,,77-66,2,L. Williams makes 2-pt shot from 2 ft
9:46.0,Shooting foul by I. Zubac (drawn by W. Cauley-Stein),,77-66,,
9:46.0,W. Cauley-Stein makes free throw 1 of 2,1,78-66,,
9:46.0,W. Cauley-Stein makes free throw 2 of 2,1,79-66,,
9:46.0,,,78-66,,N. Young enters the game for I. Zubac
9:37.0,,,79-68,2,L. Nance makes 2-pt shot from 4 ft (assist by L. Williams)
9:25.0,Turnover by D. Collison (bad pass; steal by L. Deng),,79-68,,
9:19.0,,,79-70,2,J. Clarkson makes 2-pt shot from 1 ft (assist by L. Williams)
8:51.0,M. Barnes misses 2-pt shot from 5 ft,,79-70,,
8:50.0,,,79-70,,Defensive rebound by L. Deng
8:35.0,,,79-72,2,L. Williams makes 2-pt shot from 7 ft (assist by N. Young)
8:27.0,Sacramento full timeout,,79-72,,
8:27.0,A. Afflalo enters the game for B. McLemore,,79-72,,
8:20.0,Turnover by M. Barnes (bad pass; steal by L. Williams),,79-72,,
8:15.0,,,79-74,2,L. Deng makes 2-pt shot at rim (assist by L. Williams)
7:50.0,D. Collison misses 2-pt shot from 5 ft,,79-74,,
7:46.0,,,79-74,,Defensive rebound by L. Nance
7:44.0,Personal foul by A. Afflalo (drawn by N. Young),,79-74,,
7:36.0,,,79-77,3,L. Williams makes 3-pt shot from 27 ft (assist by L. Nance)
7:13.0,A. Afflalo misses 2-pt shot from 11 ft,,79-77,,
7:10.0,,,79-77,,Defensive rebound by J. Clarkson
7:04.0,,,79-79,2,L. Williams makes 2-pt shot from 6 ft
6:41.0,W. Cauley-Stein misses 2-pt shot from 2 ft (block by L. Nance),,79-79,,
6:39.0,,,79-79,,Defensive rebound by L. Nance
6:31.0,,,79-79,,Turnover by L. Williams (bad pass)
6:31.0,D. Cousins enters the game for W. Cauley-Stein,,79-79,,
6:24.0,,,79-79,,Personal foul by L. Nance (drawn by D. Cousins)
6:14.0,D. Cousins makes 2-pt shot at rim,2,81-79,,
5:57.0,,,81-79,,L. Williams misses 3-pt shot from 27 ft
5:56.0,Defensive rebound by M. Barnes,,81-79,,
5:49.0,A. Afflalo makes 2-pt shot from 16 ft (assist by D. Collison),2,83-79,,
5:49.0,,,83-79,,LA Lakers full timeout
5:23.0,,,83-79,,J. Clarkson misses 3-pt shot from 26 ft
5:23.0,,,83-79,,Offensive rebound by L. Nance
5:14.0,,,83-79,,Turnover by L. Nance (bad pass; steal by A. Tolliver)
4:54.0,Shooting foul by L. Nance (drawn by D. Cousins),,83-79,,
4:54.0,D. Cousins misses free throw 1 of 2,,83-79,,
4:54.0,Offensive rebound by Team,,83-79,,
4:54.0,D. Cousins makes free throw 2 of 2,1,84-79,,
4:54.0,,,83-79,,T. Black enters the game for L. Nance
4:51.0,,,84-79,,Shooting foul by A. Afflalo
4:51.0,,,84-80,1,L. Williams makes free throw 1 of 2
4:51.0,,,84-81,1,L. Williams makes free throw 2 of 2
4:35.0,D. Collison makes 3-pt shot from 22 ft (assist by D. Cousins),3,87-81,,
4:20.0,,,87-81,,Offensive charge foul by T. Black
4:20.0,,,87-81,,Turnover by T. Black (offensive foul)
3:59.0,D. Cousins misses 2-pt shot from 14 ft,,87-81,,
3:56.0,Offensive rebound by M. Barnes,,87-81,,
3:48.0,Shooting foul by T. Black (drawn by D. Cousins),,87-81,,
3:48.0,D. Cousins makes free throw 1 of 2,1,88-81,,
3:48.0,D. Cousins misses free throw 2 of 2,,88-81,,
3:48.0,,,88-81,,B. Ingram enters the game for L. Deng
3:47.0,,,88-81,,Defensive rebound by Team
3:21.0,Violation by D. Cousins (def goaltending),,88-81,,
3:21.0,,,88-84,3,T. Black makes 3-pt shot from 25 ft
2:59.0,D. Cousins makes 3-pt shot from 27 ft (assist by D. Collison),3,91-84,,
2:48.0,,,91-86,2,L. Williams makes 2-pt shot from 3 ft
2:26.0,Turnover by D. Collison (bad pass; steal by J. Clarkson),,91-86,,
2:23.0,,,91-88,2,J. Clarkson makes 2-pt shot from 1 ft
2:09.0,Sacramento full timeout,,91-88,,
2:09.0,Sacramento full timeout,,91-88,,
1:57.0,D. Cousins misses 3-pt shot from 27 ft,,91-88,,
1:57.0,,,91-88,,Defensive rebound by Team
1:45.0,,,91-91,3,L. Williams makes 3-pt shot from 26 ft (assist by T. Black)
1:31.0,Shooting foul by T. Black (drawn by D. Cousins),,91-91,,
1:31.0,D. Cousins makes free throw 1 of 2,1,92-91,,
1:31.0,D. Cousins makes free throw 2 of 2,1,93-91,,
1:31.0,,,91-91,,L. Nance enters the game for T. Black
1:15.0,,,93-93,2,L. Nance makes 2-pt shot from 6 ft (assist by L. Williams)
1:04.0,Shooting foul by L. Nance (drawn by D. Cousins),,93-93,,
1:04.0,D. Cousins makes free throw 1 of 2,1,94-93,,
1:04.0,,,94-93,,LA Lakers full timeout
1:04.0,Violation by Team (jump ball),,94-93,,
1:04.0,D. Cousins misses free throw 2 of 2,,94-93,,
1:03.0,Offensive rebound by M. Barnes,,94-93,,
0:42.0,D. Cousins makes 2-pt shot from 12 ft,2,96-93,,
0:30.0,,,96-96,3,L. Williams makes 3-pt shot from 25 ft
0:10.0,D. Collison misses 3-pt shot from 24 ft,,96-96,,
0:09.0,Offensive rebound by D. Cousins,,96-96,,
0:09.0,Shooting foul by L. Nance (drawn by D. Cousins),,96-96,,
