time,Orlando,pts.away,score,pts.home,Chicago
11:38.0,,,13-34,,D. Wade misses free throw 1 of 2
11:38.0,,,13-34,,Offensive rebound by Team
11:38.0,,,13-35,1,D. Wade makes free throw 2 of 2
11:21.0,,,13-35,,Violation by D. Wade (def goaltending)
11:21.0,B. Biyombo makes 2-pt shot from 2 ft (assist by T. Ross),2,15-35,,
11:21.0,Shooting foul by D. Wade (drawn by B. Biyombo),,15-35,,
11:21.0,,,15-35,,Technical foul by D. Wade (drawn by B. Biyombo)
11:21.0,T. Ross makes technical free throw,1,16-35,,
11:21.0,B. Biyombo makes free throw 1 of 1,1,17-35,,
11:08.0,,,17-35,,D. Wade misses 2-pt shot from 14 ft
11:07.0,Defensive rebound by D. Augustin,,17-35,,
10:59.0,J. Meeks misses 3-pt shot from 23 ft,,17-35,,
10:58.0,,,17-35,,Defensive rebound by P. Zipser
10:50.0,,,17-35,,P. Zipser misses 2-pt shot from 1 ft (block by B. Biyombo)
10:48.0,,,17-35,,Offensive rebound by D. Wade
10:40.0,,,17-35,,P. Zipser misses 2-pt shot from 21 ft
10:39.0,,,17-35,,Offensive rebound by B. Portis
10:34.0,Personal foul by T. Ross (drawn by D. Wade),,17-35,,
10:32.0,,,17-35,,Turnover by P. Zipser (bad pass; steal by M. Hezonja)
10:28.0,M. Hezonja misses 2-pt shot from 1 ft,,17-35,,
10:27.0,,,17-35,,Defensive rebound by C. Felicio
10:20.0,,,17-35,,M. Carter-Williams misses 2-pt shot from 18 ft
10:19.0,,,17-35,,Offensive rebound by B. Portis
10:19.0,,,17-37,2,B. Portis makes 2-pt shot from 1 ft
10:01.0,M. Hezonja misses 3-pt shot from 26 ft,,17-37,,
10:00.0,,,17-37,,Defensive rebound by P. Zipser
9:47.0,,,17-37,,M. Carter-Williams misses 3-pt shot from 23 ft
9:47.0,Defensive rebound by B. Biyombo,,17-37,,
9:36.0,T. Ross misses 2-pt shot from 11 ft,,17-37,,
9:35.0,,,17-37,,Defensive rebound by M. Carter-Williams
9:25.0,,,17-39,2,D. Wade makes 2-pt shot from 17 ft (assist by M. Carter-Williams)
9:23.0,Orlando full timeout,,17-39,,
9:23.0,E. Fournier enters the game for T. Ross,,17-39,,
9:07.0,Shooting foul by M. Carter-Williams (drawn by D. Augustin),,17-39,,
9:07.0,D. Augustin misses free throw 1 of 2,,17-39,,
9:07.0,Offensive rebound by Team,,17-39,,
9:07.0,D. Augustin makes free throw 2 of 2,1,18-39,,
8:55.0,,,18-41,2,D. Wade makes 2-pt shot from 2 ft
8:35.0,J. Meeks misses 2-pt shot from 16 ft,,18-41,,
8:34.0,,,18-41,,Defensive rebound by D. Wade
8:23.0,,,18-44,3,B. Portis makes 3-pt shot from 24 ft (assist by D. Wade)
8:08.0,D. Augustin misses 3-pt shot from 24 ft,,18-44,,
8:07.0,,,18-44,,Defensive rebound by B. Portis
7:52.0,,,18-44,,P. Zipser misses 3-pt shot from 23 ft
7:51.0,Defensive rebound by B. Biyombo,,18-44,,
7:40.0,E. Fournier makes 3-pt shot from 24 ft (assist by D. Augustin),3,21-44,,
7:22.0,,,21-44,,Turnover by D. Wade (bad pass; steal by M. Hezonja)
7:18.0,Turnover by B. Biyombo (bad pass; steal by C. Felicio),,21-44,,
7:16.0,,,21-44,,C. Felicio misses 2-pt shot from 2 ft (block by B. Biyombo)
7:14.0,,,21-44,,Offensive rebound by B. Portis
7:04.0,,,21-44,,Turnover by D. Wade (bad pass)
6:49.0,E. Fournier misses 2-pt shot from 8 ft,,21-44,,
6:48.0,,,21-44,,Defensive rebound by Team
6:48.0,,,21-44,,J. Grant enters the game for D. Wade
6:48.0,,,21-44,,J. Butler enters the game for M. Carter-Williams
6:34.0,,,21-44,,J. Grant misses 3-pt shot from 26 ft
6:33.0,Defensive rebound by B. Biyombo,,21-44,,
6:21.0,,,21-44,,Personal foul by P. Zipser (drawn by E. Fournier)
6:21.0,,,21-44,,N. Mirotic enters the game for B. Portis
6:21.0,N. Vucevic enters the game for D. Augustin,,21-44,,
6:21.0,E. Payton enters the game for B. Biyombo,,21-44,,
6:08.0,E. Fournier misses 3-pt shot from 26 ft,,21-44,,
6:07.0,Offensive rebound by N. Vucevic,,21-44,,
6:04.0,E. Payton misses 3-pt shot from 26 ft,,21-44,,
6:03.0,,,21-44,,Defensive rebound by C. Felicio
5:53.0,,,21-46,2,P. Zipser makes 2-pt shot from 2 ft (assist by J. Grant)
5:28.0,E. Payton makes 2-pt shot from 4 ft (assist by J. Meeks),2,23-46,,
5:28.0,Shooting foul by C. Felicio (drawn by E. Payton),,23-46,,
5:28.0,Orlando full timeout,,23-46,,
5:28.0,E. Payton misses free throw 1 of 1,,23-46,,
5:28.0,,,23-46,,R. Lopez enters the game for C. Felicio
5:27.0,,,23-46,,Defensive rebound by P. Zipser
5:04.0,,,23-46,,Turnover by Team (shot clock)
4:46.0,M. Hezonja misses 2-pt shot from 16 ft,,23-46,,
4:45.0,,,23-46,,Defensive rebound by P. Zipser
4:37.0,,,23-46,,Shooting foul by J. Meeks (drawn by J. Butler)
4:37.0,,,23-47,1,J. Butler makes free throw 1 of 2
4:37.0,,,23-48,1,J. Butler makes free throw 2 of 2
4:37.0,A. Gordon enters the game for M. Hezonja,,23-47,,
4:29.0,J. Meeks misses 3-pt shot from 25 ft,,23-48,,
4:28.0,,,23-48,,Defensive rebound by P. Zipser
4:20.0,,,23-48,,J. Butler misses 2-pt shot from 2 ft (block by N. Vucevic)
4:18.0,,,23-48,,Offensive rebound by J. Butler
4:15.0,,,23-50,2,N. Mirotic makes 2-pt shot from 2 ft (assist by J. Grant)
4:06.0,E. Payton misses 2-pt shot from 2 ft,,23-50,,
4:05.0,,,23-50,,Defensive rebound by J. Grant
3:59.0,,,23-53,3,N. Mirotic makes 3-pt shot from 27 ft (assist by J. Grant)
3:59.0,Orlando full timeout,,23-53,,
3:59.0,T. Ross enters the game for J. Meeks,,23-53,,
3:44.0,E. Fournier makes 2-pt shot from 3 ft,2,25-53,,
3:44.0,Shooting foul by N. Mirotic (drawn by E. Fournier),,25-53,,
3:44.0,E. Fournier makes free throw 1 of 1,1,26-53,,
3:28.0,,,26-56,3,N. Mirotic makes 3-pt shot from 23 ft (assist by P. Zipser)
3:02.0,Turnover by N. Vucevic (bad pass; steal by N. Mirotic),,26-56,,
2:54.0,,,26-56,,J. Grant misses 3-pt shot from 25 ft
2:53.0,Defensive rebound by A. Gordon,,26-56,,
2:32.0,E. Fournier makes 2-pt shot from 1 ft,2,28-56,,
2:10.0,,,28-56,,Shooting foul by N. Vucevic (drawn by J. Butler)
2:10.0,,,28-57,1,J. Butler makes free throw 1 of 2
2:10.0,,,28-58,1,J. Butler makes free throw 2 of 2
1:59.0,N. Vucevic makes 2-pt shot from 20 ft (assist by E. Fournier),2,30-58,,
1:43.0,,,30-58,,R. Lopez misses 2-pt shot from 2 ft
1:42.0,Defensive rebound by E. Payton,,30-58,,
1:33.0,N. Vucevic makes 3-pt shot from 25 ft (assist by A. Gordon),3,33-58,,
1:09.0,,,33-60,2,R. Lopez makes 2-pt shot from 18 ft (assist by J. Butler)
0:59.0,T. Ross makes 2-pt shot from 19 ft,2,35-60,,
0:46.0,,,35-62,2,R. Lopez makes 2-pt shot from 16 ft (assist by J. Grant)
0:39.0,N. Vucevic misses 2-pt shot from 20 ft,,35-62,,
0:38.0,,,35-62,,Defensive rebound by N. Mirotic
0:27.0,,,35-62,,Shooting foul by T. Ross (drawn by J. Butler)
0:27.0,,,35-63,1,J. Butler makes free throw 1 of 2
0:27.0,,,35-64,1,J. Butler makes free throw 2 of 2
0:27.0,,,35-63,,B. Portis enters the game for N. Mirotic
0:27.0,J. Meeks enters the game for T. Ross,,35-63,,
0:05.0,E. Fournier makes 2-pt shot from 2 ft,2,37-64,,
0:00.0,,,37-64,,J. Butler misses 2-pt shot from 19 ft
0:00.0,,,37-64,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,N. Vucevic makes 2-pt shot from 22 ft (assist by E. Payton),2,39-64,,
11:16.0,,,39-64,,D. Wade misses 2-pt shot from 16 ft
11:15.0,Defensive rebound by E. Payton,,39-64,,
11:07.0,N. Vucevic makes 2-pt shot from 20 ft (assist by E. Fournier),2,41-64,,
10:47.0,,,41-64,,N. Mirotic misses 3-pt shot from 26 ft
10:46.0,Defensive rebound by A. Gordon,,41-64,,
10:38.0,E. Payton misses 2-pt shot from 1 ft,,41-64,,
10:37.0,,,41-64,,Defensive rebound by J. Butler
10:36.0,Personal foul by E. Payton (drawn by J. Butler),,41-64,,
10:18.0,,,41-67,3,N. Mirotic makes 3-pt shot from 23 ft (assist by J. Grant)
10:01.0,E. Fournier misses 3-pt shot from 25 ft,,41-67,,
9:59.0,,,41-67,,Defensive rebound by D. Wade
9:56.0,,,41-69,2,J. Grant makes 2-pt shot from 2 ft
9:56.0,,,41-69,,Shooting foul by T. Ross (drawn by J. Grant)
9:56.0,,,41-70,1,J. Grant makes free throw 1 of 1
9:56.0,M. Hezonja enters the game for T. Ross,,41-69,,
9:45.0,N. Vucevic misses 2-pt shot from 6 ft,,41-70,,
9:44.0,,,41-70,,Defensive rebound by R. Lopez
9:37.0,,,41-70,,D. Wade misses 2-pt shot from 23 ft
9:36.0,Defensive rebound by E. Payton,,41-70,,
9:31.0,E. Payton makes 2-pt shot from 1 ft,2,43-70,,
9:11.0,,,43-70,,R. Lopez misses 2-pt shot from 7 ft
9:10.0,Defensive rebound by N. Vucevic,,43-70,,
9:01.0,E. Fournier makes 2-pt shot from 2 ft (assist by N. Vucevic),2,45-70,,
8:45.0,,,45-70,,Turnover by J. Butler (traveling)
8:20.0,N. Vucevic misses 2-pt shot from 13 ft,,45-70,,
8:19.0,,,45-70,,Defensive rebound by N. Mirotic
8:05.0,,,45-70,,J. Butler misses 2-pt shot from 2 ft
8:04.0,Defensive rebound by N. Vucevic,,45-70,,
7:49.0,M. Hezonja misses 3-pt shot from 25 ft,,45-70,,
7:48.0,,,45-70,,Defensive rebound by D. Wade
7:35.0,,,45-70,,N. Mirotic misses 2-pt shot from 7 ft (block by E. Fournier)
7:33.0,,,45-70,,Offensive rebound by R. Lopez
7:28.0,,,45-72,2,J. Grant makes 2-pt shot from 16 ft
7:10.0,E. Payton makes 3-pt shot from 26 ft (assist by E. Fournier),3,48-72,,
6:40.0,,,48-74,2,R. Lopez makes 2-pt shot from 5 ft
6:25.0,Turnover by N. Vucevic (dbl dribble),,48-74,,
6:25.0,,,48-74,,P. Zipser enters the game for D. Wade
6:08.0,,,48-76,2,R. Lopez makes 2-pt shot at rim (assist by P. Zipser)
5:42.0,E. Payton misses 2-pt shot from 8 ft,,48-76,,
5:40.0,Offensive rebound by E. Payton,,48-76,,
5:40.0,E. Payton makes 2-pt shot from 1 ft,2,50-76,,
5:27.0,,,50-76,,R. Lopez misses 2-pt shot from 18 ft
5:26.0,Defensive rebound by A. Gordon,,50-76,,
5:21.0,Turnover by A. Gordon (lost ball; steal by J. Butler),,50-76,,
5:13.0,,,50-76,,J. Grant misses 2-pt shot from 17 ft
5:12.0,Defensive rebound by N. Vucevic,,50-76,,
5:11.0,,,50-76,,Personal foul by J. Butler (drawn by E. Payton)
5:11.0,,,50-76,,Chicago full timeout
4:57.0,E. Fournier misses 3-pt shot from 25 ft,,50-76,,
4:56.0,Offensive rebound by N. Vucevic,,50-76,,
4:56.0,N. Vucevic misses 2-pt shot from 1 ft (block by N. Mirotic),,50-76,,
4:54.0,Offensive rebound by N. Vucevic,,50-76,,
4:54.0,N. Vucevic misses 2-pt shot at rim,,50-76,,
4:54.0,Offensive rebound by Team,,50-76,,
4:47.0,N. Vucevic makes 2-pt shot from 21 ft (assist by E. Payton),2,52-76,,
4:34.0,,,52-78,2,J. Butler makes 2-pt shot at rim (assist by N. Mirotic)
4:34.0,,,52-78,,Shooting foul by A. Gordon (drawn by J. Butler)
4:34.0,,,52-79,1,J. Butler makes free throw 1 of 1
4:25.0,,,52-79,,Personal foul by J. Grant (drawn by N. Vucevic)
4:12.0,A. Gordon makes 2-pt shot from 13 ft,2,54-79,,
3:50.0,,,54-81,2,J. Grant makes 2-pt shot from 6 ft
3:33.0,Turnover by E. Fournier (lost ball; steal by J. Grant),,54-81,,
3:30.0,,,54-83,2,J. Butler makes 2-pt shot from 1 ft (assist by N. Mirotic)
3:29.0,Orlando full timeout,,54-83,,
3:14.0,Offensive charge foul by E. Fournier,,54-83,,
3:14.0,Turnover by E. Fournier (offensive foul),,54-83,,
3:05.0,,,54-85,2,J. Butler makes 2-pt shot at rim (assist by R. Lopez)
2:39.0,E. Payton misses 2-pt shot from 2 ft,,54-85,,
2:38.0,Offensive rebound by E. Payton,,54-85,,
2:37.0,E. Payton misses 2-pt shot from 2 ft,,54-85,,
2:36.0,Offensive rebound by N. Vucevic,,54-85,,
2:36.0,N. Vucevic misses 2-pt shot from 1 ft,,54-85,,
2:34.0,Offensive rebound by N. Vucevic,,54-85,,
2:33.0,Shooting foul by P. Zipser (drawn by M. Hezonja),,54-85,,
2:33.0,M. Hezonja misses free throw 1 of 2,,54-85,,
2:33.0,Offensive rebound by Team,,54-85,,
2:33.0,M. Hezonja makes free throw 2 of 2,1,55-85,,
2:33.0,D. Augustin enters the game for E. Payton,,54-85,,
2:33.0,J. Meeks enters the game for E. Fournier,,54-85,,
2:14.0,,,55-85,,P. Zipser misses 2-pt shot from 21 ft
2:13.0,,,55-85,,Offensive rebound by R. Lopez
2:08.0,,,55-88,3,J. Grant makes 3-pt shot from 23 ft (assist by P. Zipser)
1:51.0,A. Gordon makes 2-pt shot from 18 ft,2,57-88,,
1:29.0,,,57-90,2,R. Lopez makes 2-pt shot from 5 ft (assist by J. Grant)
1:13.0,Shooting foul by N. Mirotic (drawn by A. Gordon),,57-90,,
1:13.0,A. Gordon makes free throw 1 of 2,1,58-90,,
1:13.0,A. Gordon makes free throw 2 of 2,1,59-90,,
1:13.0,B. Biyombo enters the game for N. Vucevic,,58-90,,
0:58.0,,,59-90,,J. Grant misses 2-pt shot from 17 ft
0:56.0,,,59-90,,Offensive rebound by N. Mirotic
0:54.0,,,59-90,,P. Zipser misses 3-pt shot from 25 ft
0:51.0,Defensive rebound by A. Gordon,,59-90,,
0:39.0,A. Gordon misses 2-pt shot from 2 ft,,59-90,,
0:38.0,,,59-90,,Defensive rebound by R. Lopez
0:28.0,,,59-92,2,R. Lopez makes 2-pt shot from 3 ft (assist by J. Grant)
0:08.0,J. Meeks misses 3-pt shot from 26 ft,,59-92,,
0:07.0,,,59-92,,Defensive rebound by P. Zipser
0:02.0,Personal foul by B. Biyombo (drawn by J. Butler),,59-92,,
0:00.0,,,59-92,,J. Butler misses 3-pt shot from 29 ft
0:00.0,,,59-92,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,59-94,2,M. Carter-Williams makes 2-pt shot from 3 ft (assist by D. Wade)
11:33.0,,,59-94,,Personal foul by B. Portis (drawn by M. Hezonja)
11:18.0,D. Augustin misses 2-pt shot from 19 ft,,59-94,,
11:17.0,Offensive rebound by Team,,59-94,,
11:17.0,Turnover by Team (shot clock),,59-94,,
11:03.0,,,59-96,2,B. Portis makes 2-pt shot from 22 ft (assist by M. Carter-Williams)
10:38.0,M. Hezonja makes 3-pt shot from 23 ft (assist by D. Augustin),3,62-96,,
10:18.0,,,62-96,,Turnover by M. Carter-Williams (bad pass; steal by B. Biyombo)
10:08.0,B. Biyombo misses 2-pt shot from 12 ft,,62-96,,
10:08.0,Offensive rebound by B. Biyombo,,62-96,,
10:08.0,Shooting foul by M. Carter-Williams (drawn by B. Biyombo),,62-96,,
10:08.0,B. Biyombo makes free throw 1 of 2,1,63-96,,
10:08.0,B. Biyombo makes free throw 2 of 2,1,64-96,,
10:08.0,,,63-96,,D. Valentine enters the game for P. Zipser
9:55.0,,,64-96,,Shooting foul by M. Georges-Hunt (drawn by D. Wade)
9:55.0,,,64-97,1,D. Wade makes free throw 1 of 2
9:55.0,,,64-98,1,D. Wade makes free throw 2 of 2
9:41.0,Turnover by D. Augustin (lost ball; steal by M. Carter-Williams),,64-98,,
9:38.0,,,64-100,2,M. Carter-Williams makes 2-pt shot at rim
9:16.0,Orlando full timeout,,64-100,,
9:14.0,Turnover by P. Garino (bad pass),,64-100,,
9:07.0,,,64-102,2,D. Wade makes 2-pt shot from 17 ft
8:52.0,B. Biyombo makes 2-pt shot at rim (assist by M. Hezonja),2,66-102,,
8:40.0,Personal foul by B. Biyombo (drawn by D. Wade),,66-102,,
8:30.0,,,66-102,,B. Portis misses 3-pt shot from 25 ft
8:28.0,Defensive rebound by P. Garino,,66-102,,
8:17.0,M. Hezonja makes 3-pt shot from 25 ft (assist by M. Georges-Hunt),3,69-102,,
7:56.0,,,69-102,,D. Wade misses 2-pt shot from 20 ft
7:55.0,Defensive rebound by P. Garino,,69-102,,
7:42.0,D. Augustin misses 3-pt shot from 25 ft,,69-102,,
7:41.0,,,69-102,,Defensive rebound by C. Felicio
7:31.0,,,69-102,,Turnover by M. Carter-Williams (bad pass; steal by B. Biyombo)
7:24.0,M. Georges-Hunt misses 2-pt shot from 2 ft,,69-102,,
7:23.0,,,69-102,,Defensive rebound by B. Portis
7:09.0,,,69-102,,D. Wade misses 2-pt shot from 23 ft
7:08.0,,,69-102,,Offensive rebound by C. Felicio
7:03.0,,,69-102,,Turnover by D. Valentine (lost ball)
7:03.0,,,69-102,,I. Canaan enters the game for D. Wade
7:03.0,,,69-102,,J. Lauvergne enters the game for B. Portis
6:43.0,B. Biyombo misses 2-pt shot from 16 ft,,69-102,,
6:42.0,,,69-102,,Defensive rebound by J. Lauvergne
6:28.0,,,69-105,3,I. Canaan makes 3-pt shot from 25 ft (assist by D. Valentine)
6:03.0,M. Hezonja misses 2-pt shot from 20 ft,,69-105,,
6:01.0,,,69-105,,Defensive rebound by C. Felicio
5:52.0,,,69-105,,I. Canaan misses 2-pt shot from 13 ft
5:51.0,Defensive rebound by B. Biyombo,,69-105,,
5:37.0,Turnover by D. Augustin (bad pass; steal by M. Carter-Williams),,69-105,,
5:37.0,Personal foul by M. Georges-Hunt (drawn by M. Carter-Williams),,69-105,,
5:37.0,,,69-105,,Chicago full timeout
5:37.0,,,69-105,,A. Morrow enters the game for M. Carter-Williams
5:37.0,D. Rudez enters the game for M. Hezonja,,69-105,,
5:28.0,,,69-105,,Shooting foul by P. Garino (drawn by C. Felicio)
5:28.0,,,69-107,2,C. Felicio makes 2-pt shot from 2 ft (assist by A. Morrow)
5:28.0,,,69-107,,C. Felicio misses free throw 1 of 1
5:25.0,Defensive rebound by B. Biyombo,,69-107,,
5:09.0,M. Georges-Hunt misses 2-pt shot from 6 ft,,69-107,,
5:08.0,,,69-107,,Defensive rebound by D. Valentine
5:00.0,,,69-107,,J. Lauvergne misses 3-pt shot from 23 ft
4:58.0,Defensive rebound by P. Garino,,69-107,,
4:47.0,P. Garino misses 3-pt shot from 25 ft,,69-107,,
4:46.0,,,69-107,,Defensive rebound by J. Lauvergne
4:41.0,Personal foul by D. Augustin (drawn by I. Canaan),,69-107,,
4:41.0,,,69-108,1,I. Canaan makes free throw 1 of 2
4:41.0,,,69-109,1,I. Canaan makes free throw 2 of 2
4:41.0,M. Hezonja enters the game for B. Biyombo,,69-108,,
4:15.0,D. Augustin misses 3-pt shot from 27 ft,,69-109,,
4:14.0,,,69-109,,Defensive rebound by C. Felicio
3:54.0,,,69-111,2,J. Lauvergne makes 2-pt shot from 2 ft (assist by A. Morrow)
3:27.0,D. Rudez misses 2-pt shot from 10 ft,,69-111,,
3:26.0,,,69-111,,Defensive rebound by J. Lauvergne
3:19.0,,,69-111,,Turnover by J. Lauvergne (offensive foul)
3:19.0,,,69-111,,Offensive foul by J. Lauvergne
3:04.0,D. Augustin misses 3-pt shot from 24 ft,,69-111,,
3:03.0,,,69-111,,Defensive rebound by D. Valentine
2:50.0,,,69-114,3,A. Morrow makes 3-pt shot from 23 ft (assist by I. Canaan)
2:37.0,Turnover by D. Augustin (bad pass),,69-114,,
2:37.0,,,69-114,,Chicago full timeout
2:25.0,,,69-114,,Turnover by D. Valentine (bad pass; steal by D. Rudez)
2:15.0,M. Hezonja misses 3-pt shot from 24 ft,,69-114,,
2:14.0,,,69-114,,Defensive rebound by I. Canaan
2:07.0,,,69-114,,I. Canaan misses 3-pt shot from 25 ft
