time,New York,pts.away,score,pts.home,Memphis
11:10.0,Personal foul by M. Plumlee (drawn by M. Conley),,21-29,,
10:50.0,,,21-29,,Z. Randolph misses 2-pt shot from 5 ft
10:49.0,Defensive rebound by Team,,21-29,,
10:37.0,C. Randle misses 2-pt shot from 5 ft,,21-29,,
10:36.0,Offensive rebound by M. Plumlee,,21-29,,
10:35.0,M. Plumlee makes 2-pt shot at rim,2,23-29,,
10:17.0,,,23-29,,W. Selden misses 2-pt shot from 7 ft
10:15.0,Defensive rebound by S. Vujacic,,23-29,,
10:09.0,,,23-29,,Personal foul by A. Harrison (drawn by M. Kuzminskas)
10:09.0,,,23-29,,V. Carter enters the game for A. Harrison
10:02.0,M. Kuzminskas makes 2-pt shot from 2 ft (assist by K. O'Quinn),2,25-29,,
9:32.0,,,25-29,,Turnover by Z. Randolph (lost ball; steal by K. O'Quinn)
9:28.0,Turnover by C. Randle (lost ball),,25-29,,
9:12.0,Personal foul by M. Plumlee (drawn by V. Carter),,25-29,,
9:02.0,,,25-31,2,Z. Randolph makes 2-pt shot from 1 ft (assist by M. Conley)
8:45.0,M. Kuzminskas makes 2-pt shot from 2 ft,2,27-31,,
8:32.0,,,27-31,,Shooting foul by S. Vujacic (drawn by W. Selden)
8:32.0,,,27-31,,Official timeout
8:32.0,,,27-32,1,W. Selden makes free throw 1 of 2
8:32.0,,,27-33,1,W. Selden makes free throw 2 of 2
8:16.0,M. Kuzminskas misses 2-pt shot from 18 ft,,27-33,,
8:16.0,,,27-33,,Defensive rebound by Team
8:16.0,Loose ball foul by K. O'Quinn (drawn by Z. Randolph),,27-33,,
8:16.0,,,27-33,,T. Allen enters the game for W. Selden
8:00.0,,,27-35,2,M. Conley makes 2-pt shot from 8 ft
7:38.0,K. O'Quinn misses 3-pt shot from 25 ft,,27-35,,
7:38.0,,,27-35,,Defensive rebound by V. Carter
7:30.0,,,27-37,2,B. Wright makes 2-pt shot at rim (assist by M. Conley)
7:11.0,K. O'Quinn makes 2-pt shot from 2 ft,2,29-37,,
6:55.0,,,29-37,,Z. Randolph misses 2-pt shot from 21 ft
6:55.0,,,29-37,,Offensive rebound by Z. Randolph
6:51.0,,,29-37,,Z. Randolph misses 2-pt shot from 5 ft
6:48.0,,,29-37,,Offensive rebound by T. Allen
6:48.0,,,29-39,2,T. Allen makes 2-pt shot at rim
6:23.0,C. Randle misses 2-pt shot from 2 ft (block by V. Carter),,29-39,,
6:22.0,,,29-39,,Defensive rebound by Z. Randolph
6:16.0,,,29-39,,M. Conley misses 3-pt shot from 25 ft
6:14.0,Defensive rebound by M. Kuzminskas,,29-39,,
6:10.0,M. Kuzminskas misses 2-pt shot from 2 ft (block by V. Carter),,29-39,,
6:07.0,,,29-39,,Defensive rebound by M. Conley
6:04.0,,,29-41,2,T. Allen makes 2-pt shot at rim (assist by Z. Randolph)
6:04.0,New York full timeout,,29-41,,
6:04.0,,,29-41,,J. Green enters the game for M. Conley
6:04.0,,,29-41,,M. Gasol enters the game for Z. Randolph
6:04.0,,,29-41,,A. Harrison enters the game for B. Wright
6:04.0,R. Baker enters the game for C. Randle,,29-41,,
6:04.0,M. Ndour enters the game for K. O'Quinn,,29-41,,
6:04.0,W. Hernangomez enters the game for M. Plumlee,,29-41,,
6:04.0,J. Holiday enters the game for S. Vujacic,,29-41,,
5:47.0,W. Hernangomez makes 2-pt shot from 1 ft,2,31-41,,
5:47.0,Shooting foul by A. Harrison (drawn by W. Hernangomez),,31-41,,
5:47.0,W. Hernangomez makes free throw 1 of 1,1,32-41,,
5:29.0,,,32-41,,M. Gasol misses 2-pt shot from 6 ft
5:27.0,Defensive rebound by M. Ndour,,32-41,,
5:16.0,Turnover by W. Hernangomez (step out of bounds),,32-41,,
5:16.0,C. Lee enters the game for M. Kuzminskas,,32-41,,
5:02.0,,,32-41,,T. Allen misses 2-pt shot from 22 ft
5:02.0,Defensive rebound by M. Ndour,,32-41,,
4:50.0,J. Holiday misses 3-pt shot from 25 ft,,32-41,,
4:50.0,,,32-41,,Defensive rebound by V. Carter
4:32.0,,,32-44,3,J. Green makes 3-pt shot from 23 ft (assist by V. Carter)
4:13.0,J. Holiday misses 3-pt shot from 23 ft,,32-44,,
4:12.0,,,32-44,,Defensive rebound by T. Allen
3:58.0,,,32-44,,J. Green misses 2-pt shot from 2 ft (block by M. Ndour)
3:56.0,Defensive rebound by R. Baker,,32-44,,
3:51.0,Turnover by J. Holiday (bad pass; steal by V. Carter),,32-44,,
3:44.0,,,32-44,,T. Allen misses 2-pt shot from 1 ft
3:41.0,Defensive rebound by W. Hernangomez,,32-44,,
3:35.0,J. Holiday makes 3-pt shot from 23 ft (assist by C. Lee),3,35-44,,
3:24.0,,,35-44,,Turnover by A. Harrison (kicked ball)
3:14.0,M. Ndour makes 2-pt shot from 12 ft (assist by R. Baker),2,37-44,,
3:06.0,,,37-44,,Memphis full timeout
3:06.0,,,37-44,,W. Selden enters the game for A. Harrison
3:06.0,,,37-44,,M. Conley enters the game for V. Carter
2:53.0,,,37-44,,Turnover by M. Conley (bad pass; steal by C. Lee)
2:48.0,C. Lee makes 2-pt shot from 22 ft (assist by R. Baker),2,39-44,,
2:27.0,,,39-44,,Shooting foul by W. Hernangomez (drawn by M. Gasol)
2:27.0,,,39-45,1,M. Gasol makes free throw 1 of 2
2:27.0,,,39-46,1,M. Gasol makes free throw 2 of 2
2:07.0,W. Hernangomez makes 2-pt shot from 2 ft (assist by C. Lee),2,41-46,,
1:45.0,,,41-49,3,M. Conley makes 3-pt shot from 25 ft
1:35.0,Shooting foul by M. Gasol (drawn by W. Hernangomez),,41-49,,
1:35.0,W. Hernangomez makes free throw 1 of 2,1,42-49,,
1:35.0,W. Hernangomez misses free throw 2 of 2,,42-49,,
1:35.0,,,42-49,,V. Carter enters the game for J. Green
1:34.0,,,42-49,,Defensive rebound by T. Allen
1:20.0,,,42-49,,Turnover by M. Gasol (bad pass; steal by M. Ndour)
1:03.0,J. Holiday makes 2-pt shot from 7 ft,2,44-49,,
0:44.0,,,44-51,2,W. Selden makes 2-pt shot from 2 ft (assist by M. Gasol)
0:19.0,C. Lee makes 3-pt shot from 26 ft (assist by W. Hernangomez),3,47-51,,
0:02.0,,,47-53,2,M. Conley makes 2-pt shot at rim
0:01.0,R. Baker misses 3-pt shot from 47 ft,,47-53,,
0:00.0,Offensive rebound by Team,,47-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,M. Ndour makes 2-pt shot at rim (assist by R. Baker),2,49-53,,
11:18.0,,,49-53,,M. Gasol misses 2-pt shot from 19 ft
11:15.0,,,49-53,,Offensive rebound by J. Green
11:15.0,,,49-53,,J. Green misses 2-pt shot at rim
11:13.0,,,49-53,,Offensive rebound by T. Allen
11:10.0,,,49-55,2,T. Allen makes 2-pt shot from 1 ft
10:55.0,Shooting foul by M. Gasol (drawn by W. Hernangomez),,49-55,,
10:55.0,W. Hernangomez misses free throw 1 of 2,,49-55,,
10:55.0,Offensive rebound by Team,,49-55,,
10:55.0,W. Hernangomez makes free throw 2 of 2,1,50-55,,
10:39.0,,,50-57,2,M. Conley makes 2-pt shot from 21 ft (assist by M. Gasol)
10:16.0,J. Holiday makes 3-pt shot from 23 ft (assist by R. Baker),3,53-57,,
9:49.0,,,53-60,3,V. Carter makes 3-pt shot from 25 ft (assist by J. Green)
9:36.0,R. Baker makes 2-pt shot from 18 ft,2,55-60,,
9:21.0,,,55-60,,M. Conley misses 3-pt shot from 25 ft
9:20.0,Defensive rebound by W. Hernangomez,,55-60,,
9:10.0,C. Lee misses 3-pt shot from 30 ft,,55-60,,
9:10.0,,,55-60,,Defensive rebound by Team
8:53.0,,,55-60,,M. Gasol misses 2-pt shot from 3 ft
8:51.0,Defensive rebound by M. Ndour,,55-60,,
8:35.0,J. Holiday misses 3-pt shot from 25 ft,,55-60,,
8:34.0,,,55-60,,Defensive rebound by M. Gasol
8:24.0,,,55-60,,Turnover by M. Conley (bad pass; steal by J. Holiday)
8:13.0,C. Lee makes 2-pt shot from 1 ft,2,57-60,,
8:13.0,,,57-60,,Memphis full timeout
8:01.0,,,57-60,,M. Gasol misses 3-pt shot from 25 ft
8:00.0,Defensive rebound by M. Ndour,,57-60,,
7:35.0,Turnover by Team (shot clock),,57-60,,
7:21.0,,,57-62,2,J. Green makes 2-pt shot at rim (assist by M. Gasol)
7:01.0,M. Ndour makes 2-pt shot from 15 ft (assist by R. Baker),2,59-62,,
6:50.0,Personal foul by R. Baker (drawn by M. Conley),,59-62,,
6:50.0,,,59-62,,W. Selden enters the game for T. Allen
6:36.0,,,59-62,,Turnover by Team (shot clock)
6:21.0,J. Holiday misses 2-pt shot from 20 ft,,59-62,,
6:20.0,Offensive rebound by W. Hernangomez,,59-62,,
6:14.0,C. Lee misses 3-pt shot from 23 ft,,59-62,,
6:14.0,,,59-62,,Defensive rebound by J. Green
6:06.0,,,59-62,,J. Green misses 3-pt shot from 26 ft
6:04.0,Defensive rebound by R. Baker,,59-62,,
5:58.0,Turnover by W. Hernangomez (offensive foul),,59-62,,
5:58.0,Offensive foul by W. Hernangomez,,59-62,,
5:58.0,,,59-62,,Z. Randolph enters the game for M. Gasol
5:42.0,,,59-62,,Turnover by W. Selden (lost ball; steal by J. Holiday)
5:37.0,J. Holiday misses 2-pt shot from 2 ft,,59-62,,
5:34.0,Offensive rebound by W. Hernangomez,,59-62,,
5:34.0,W. Hernangomez makes 2-pt shot from 2 ft,2,61-62,,
5:17.0,,,61-62,,V. Carter misses 3-pt shot from 26 ft
5:17.0,,,61-62,,Offensive rebound by Team
5:17.0,,,61-62,,A. Harrison enters the game for V. Carter
5:08.0,,,61-62,,A. Harrison misses 3-pt shot from 25 ft
5:08.0,,,61-62,,Offensive rebound by J. Green
5:06.0,,,61-64,2,J. Green makes 2-pt shot from 1 ft
4:37.0,R. Baker misses 3-pt shot from 25 ft,,61-64,,
4:35.0,Offensive rebound by C. Lee,,61-64,,
4:35.0,C. Lee makes 2-pt shot from 1 ft,2,63-64,,
4:04.0,,,63-64,,A. Harrison misses 2-pt shot from 12 ft
4:04.0,,,63-64,,Offensive rebound by Team
4:04.0,,,63-64,,Turnover by Team (shot clock)
4:04.0,S. Vujacic enters the game for C. Lee,,63-64,,
4:04.0,M. Kuzminskas enters the game for M. Ndour,,63-64,,
3:46.0,M. Kuzminskas misses 3-pt shot from 27 ft,,63-64,,
3:45.0,,,63-64,,Defensive rebound by A. Harrison
3:40.0,,,63-66,2,W. Selden makes 2-pt shot from 2 ft
3:17.0,R. Baker misses 2-pt shot from 16 ft,,63-66,,
3:17.0,,,63-66,,Defensive rebound by Z. Randolph
3:09.0,,,63-66,,Turnover by M. Conley (bad pass; steal by W. Hernangomez)
2:58.0,S. Vujacic makes 3-pt shot from 25 ft,3,66-66,,
2:50.0,,,66-66,,Memphis full timeout
2:50.0,New York full timeout,,66-66,,
2:50.0,,,66-66,,M. Gasol enters the game for J. Green
2:50.0,,,66-66,,T. Daniels enters the game for M. Conley
2:50.0,K. O'Quinn enters the game for J. Holiday,,66-66,,
2:39.0,,,66-66,,Z. Randolph misses 2-pt shot from 5 ft
2:38.0,Defensive rebound by W. Hernangomez,,66-66,,
2:31.0,,,66-66,,Personal foul by A. Harrison (drawn by R. Baker)
2:21.0,S. Vujacic makes 3-pt shot from 25 ft,3,69-66,,
2:00.0,,,69-66,,Turnover by Z. Randolph (back court)
1:52.0,S. Vujacic misses 3-pt shot from 26 ft,,69-66,,
1:51.0,,,69-66,,Defensive rebound by A. Harrison
1:51.0,Personal foul by W. Hernangomez (drawn by A. Harrison),,69-66,,
1:36.0,,,69-66,,Z. Randolph misses 2-pt shot from 7 ft
1:35.0,Defensive rebound by K. O'Quinn,,69-66,,
1:19.0,Shooting foul by T. Daniels (drawn by S. Vujacic),,69-66,,
1:19.0,S. Vujacic makes free throw 1 of 2,1,70-66,,
1:19.0,S. Vujacic misses free throw 2 of 2,,70-66,,
1:19.0,C. Randle enters the game for R. Baker,,70-66,,
1:19.0,M. Plumlee enters the game for W. Hernangomez,,70-66,,
1:18.0,,,70-66,,Defensive rebound by M. Gasol
1:13.0,,,70-68,2,W. Selden makes 2-pt shot at rim
0:53.0,K. O'Quinn misses 2-pt shot from 20 ft,,70-68,,
0:53.0,Offensive rebound by S. Vujacic,,70-68,,
0:50.0,K. O'Quinn makes 2-pt shot at rim (assist by S. Vujacic),2,72-68,,
0:35.0,,,72-68,,Shooting foul by M. Plumlee (drawn by M. Gasol)
0:35.0,,,72-69,1,M. Gasol makes free throw 1 of 2
0:35.0,,,72-70,1,M. Gasol makes free throw 2 of 2
0:35.0,,,72-69,,B. Wright enters the game for Z. Randolph
0:23.0,K. O'Quinn misses 2-pt shot from 20 ft,,72-70,,
0:22.0,Offensive rebound by K. O'Quinn,,72-70,,
0:00.0,S. Vujacic misses 2-pt shot from 2 ft (block by B. Wright),,72-70,,
0:00.0,Offensive rebound by M. Plumlee,,72-70,,
0:00.0,Shooting foul by A. Harrison (drawn by M. Plumlee),,72-70,,
0:00.0,M. Plumlee misses free throw 1 of 2,,72-70,,
0:00.0,Offensive rebound by Team,,72-70,,
0:00.0,M. Plumlee misses free throw 2 of 2,,72-70,,
0:00.0,Offensive rebound by M. Plumlee,,72-70,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,72-70,,T. Daniels misses 3-pt shot from 24 ft
11:39.0,Defensive rebound by M. Plumlee,,72-70,,
11:32.0,,,72-70,,Personal foul by W. Selden (drawn by M. Kuzminskas)
11:18.0,Turnover by Team (shot clock),,72-70,,
11:08.0,,,72-70,,M. Gasol misses 3-pt shot from 26 ft
11:08.0,Defensive rebound by K. O'Quinn,,72-70,,
10:52.0,K. O'Quinn misses 2-pt shot from 2 ft (block by B. Wright),,72-70,,
10:51.0,,,72-70,,Defensive rebound by M. Gasol
10:36.0,,,72-70,,Shooting foul by K. O'Quinn (drawn by M. Gasol)
10:36.0,,,72-71,1,M. Gasol makes free throw 1 of 2
10:36.0,,,72-72,1,M. Gasol makes free throw 2 of 2
10:12.0,Turnover by Team (shot clock),,72-72,,
10:01.0,,,72-75,3,M. Conley makes 3-pt shot from 26 ft
9:51.0,M. Kuzminskas misses 3-pt shot from 26 ft,,72-75,,
9:50.0,Offensive rebound by M. Plumlee,,72-75,,
9:45.0,M. Plumlee misses 2-pt shot from 4 ft,,72-75,,
9:41.0,Offensive rebound by S. Vujacic,,72-75,,
9:41.0,C. Randle misses 3-pt shot from 24 ft,,72-75,,
9:41.0,Offensive rebound by Team,,72-75,,
9:41.0,,,72-75,,Loose ball foul by W. Selden (drawn by M. Kuzminskas)
9:41.0,M. Ndour enters the game for M. Plumlee,,72-75,,
9:38.0,,,72-75,,Personal foul by W. Selden (drawn by M. Kuzminskas)
9:32.0,M. Kuzminskas makes 2-pt shot from 1 ft (assist by K. O'Quinn),2,74-75,,
9:17.0,,,74-77,2,M. Gasol makes 2-pt shot from 1 ft (assist by M. Conley)
9:07.0,C. Randle misses 2-pt shot from 1 ft (block by M. Gasol),,74-77,,
9:06.0,,,74-77,,Defensive rebound by M. Gasol
8:58.0,,,74-77,,Turnover by W. Selden (bad pass)
8:58.0,New York full timeout,,74-77,,
8:43.0,K. O'Quinn makes 2-pt shot from 7 ft (assist by S. Vujacic),2,76-77,,
8:24.0,Personal foul by M. Ndour (drawn by M. Gasol),,76-77,,
8:17.0,,,76-80,3,M. Gasol makes 3-pt shot from 25 ft (assist by M. Conley)
7:55.0,M. Kuzminskas makes 2-pt shot from 8 ft,2,78-80,,
7:28.0,,,78-82,2,M. Conley makes 2-pt shot from 2 ft
7:16.0,S. Vujacic misses 3-pt shot from 26 ft,,78-82,,
7:15.0,,,78-82,,Defensive rebound by M. Gasol
6:58.0,,,78-85,3,M. Conley makes 3-pt shot from 26 ft (assist by W. Selden)
6:58.0,New York full timeout,,78-85,,
6:58.0,,,78-85,,V. Carter enters the game for B. Wright
6:58.0,,,78-85,,J. Green enters the game for T. Daniels
6:58.0,C. Lee enters the game for C. Randle,,78-85,,
6:58.0,R. Baker enters the game for S. Vujacic,,78-85,,
6:45.0,R. Baker misses 3-pt shot from 25 ft,,78-85,,
6:45.0,,,78-85,,Defensive rebound by M. Gasol
6:33.0,Personal foul by K. O'Quinn (drawn by W. Selden),,78-85,,
6:18.0,,,78-85,,M. Conley misses 3-pt shot from 25 ft
6:17.0,Defensive rebound by M. Ndour,,78-85,,
6:00.0,,,78-85,,Personal foul by M. Gasol (drawn by M. Kuzminskas)
6:00.0,J. Holiday enters the game for M. Kuzminskas,,78-85,,
6:00.0,,,78-85,,A. Harrison enters the game for M. Conley
5:52.0,C. Lee makes 2-pt shot from 20 ft,2,80-85,,
5:22.0,,,80-88,3,V. Carter makes 3-pt shot from 25 ft (assist by A. Harrison)
5:00.0,C. Lee misses 2-pt shot from 8 ft,,80-88,,
4:54.0,,,80-88,,Defensive rebound by V. Carter
4:43.0,,,80-88,,W. Selden misses 2-pt shot from 3 ft (block by M. Ndour)
4:43.0,,,80-88,,Offensive rebound by W. Selden
4:43.0,,,80-91,3,V. Carter makes 3-pt shot from 25 ft (assist by A. Harrison)
4:40.0,,,80-91,,Violation by Team (jump ball)
4:23.0,J. Holiday misses 3-pt shot from 24 ft,,80-91,,
4:22.0,,,80-91,,Defensive rebound by M. Gasol
4:02.0,,,80-93,2,M. Gasol makes 2-pt shot from 11 ft (assist by W. Selden)
4:02.0,New York full timeout,,80-93,,
4:02.0,W. Hernangomez enters the game for M. Ndour,,80-93,,
4:02.0,S. Vujacic enters the game for K. O'Quinn,,80-93,,
3:50.0,Turnover by R. Baker (bad pass; steal by A. Harrison),,80-93,,
3:47.0,,,80-93,,Turnover by J. Green (bad pass; steal by J. Holiday)
3:32.0,J. Holiday misses 2-pt shot from 1 ft (block by M. Gasol),,80-93,,
3:32.0,,,80-93,,Defensive rebound by J. Green
3:07.0,,,80-96,3,V. Carter makes 3-pt shot from 31 ft (assist by A. Harrison)
2:51.0,J. Holiday makes 2-pt shot from 21 ft (assist by W. Hernangomez),2,82-96,,
2:32.0,,,82-96,,Shooting foul by R. Baker (drawn by J. Green)
2:32.0,,,82-96,,J. Green misses free throw 1 of 2
2:32.0,,,82-96,,Offensive rebound by Team
2:32.0,,,82-97,1,J. Green makes free throw 2 of 2
2:32.0,M. Plumlee enters the game for C. Lee,,82-96,,
2:32.0,,,82-96,,W. Baldwin enters the game for V. Carter
2:18.0,W. Hernangomez misses 2-pt shot from 7 ft,,82-97,,
2:17.0,Offensive rebound by W. Hernangomez,,82-97,,
2:17.0,W. Hernangomez misses 2-pt shot from 1 ft,,82-97,,
2:14.0,,,82-97,,Defensive rebound by A. Harrison
2:08.0,,,82-97,,M. Gasol misses 2-pt shot from 8 ft
2:06.0,Defensive rebound by M. Plumlee,,82-97,,
1:44.0,W. Hernangomez makes 2-pt shot from 2 ft (assist by J. Holiday),2,84-97,,
1:44.0,,,84-97,,Memphis full timeout
1:44.0,C. Randle enters the game for R. Baker,,84-97,,
1:44.0,,,84-97,,D. Davis enters the game for M. Gasol
1:34.0,Personal foul by S. Vujacic (drawn by W. Selden),,84-97,,
1:34.0,,,84-97,,W. Selden misses free throw 1 of 2
1:34.0,,,84-97,,Offensive rebound by Team
1:34.0,,,84-98,1,W. Selden makes free throw 2 of 2
1:14.0,M. Plumlee misses 2-pt shot from 2 ft (block by D. Davis),,84-98,,
1:13.0,,,84-98,,Defensive rebound by J. Green
0:59.0,,,84-98,,D. Davis misses 2-pt shot from 19 ft
0:59.0,Defensive rebound by J. Holiday,,84-98,,
0:47.0,C. Randle makes 2-pt shot from 1 ft (assist by W. Hernangomez),2,86-98,,
0:26.0,,,86-98,,A. Harrison misses 3-pt shot from 28 ft
0:26.0,Defensive rebound by S. Vujacic,,86-98,,
0:20.0,S. Vujacic misses 3-pt shot from 26 ft,,86-98,,
0:20.0,Offensive rebound by J. Holiday,,86-98,,
0:20.0,J. Holiday makes 2-pt shot at rim,2,88-98,,
0:01.0,,,88-101,3,W. Baldwin makes 3-pt shot from 41 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
