time,LA Clippers,pts.away,score,pts.home,LA Lakers
4:27.0,,,22-14,2,D. Russell makes 2-pt shot from 1 ft (assist by J. Randle)
4:09.0,R. Felton makes 2-pt shot from 19 ft (assist by D. Jordan),2,24-14,,
3:54.0,,,24-16,2,D. Russell makes 2-pt shot from 4 ft
3:36.0,P. Pierce misses 2-pt shot from 13 ft,,24-16,,
3:34.0,,,24-16,,Defensive rebound by J. Randle
3:23.0,,,24-18,2,T. Mozgov makes 2-pt shot from 15 ft (assist by D. Russell)
3:07.0,J. Redick makes 3-pt shot from 27 ft (assist by R. Felton),3,27-18,,
2:57.0,,,27-18,,Turnover by D. Russell (lost ball; steal by P. Pierce)
2:53.0,J. Redick makes 2-pt shot from 1 ft (assist by R. Felton),2,29-18,,
2:53.0,,,29-18,,LA Lakers full timeout
2:53.0,LA Clippers full timeout,,29-18,,
2:53.0,J. Crawford enters the game for R. Felton,,29-18,,
2:53.0,W. Johnson enters the game for L. Mbah a Moute,,29-18,,
2:53.0,,,29-18,,B. Ingram enters the game for L. Deng
2:53.0,,,29-18,,N. Young enters the game for J. Randle
2:53.0,,,29-18,,L. Williams enters the game for T. Mozgov
2:53.0,,,29-18,,T. Robinson enters the game for D. Russell
2:53.0,A. Rivers enters the game for P. Pierce,,29-18,,
2:38.0,,,29-18,,J. Clarkson misses 2-pt shot from 10 ft
2:35.0,,,29-18,,Offensive rebound by J. Clarkson
2:33.0,,,29-20,2,J. Clarkson makes 2-pt shot from 15 ft
2:19.0,J. Redick misses 3-pt shot from 29 ft,,29-20,,
2:19.0,Offensive rebound by Team,,29-20,,
2:10.0,A. Rivers misses 2-pt shot from 7 ft,,29-20,,
2:10.0,Offensive rebound by A. Rivers,,29-20,,
2:10.0,,,29-20,,Personal foul by N. Young (drawn by A. Rivers)
2:03.0,J. Redick misses 2-pt shot from 21 ft,,29-20,,
2:02.0,,,29-20,,Defensive rebound by L. Williams
1:56.0,,,29-20,,Offensive charge foul by L. Williams
1:56.0,,,29-20,,Turnover by L. Williams (offensive foul)
1:43.0,Shooting foul by T. Robinson (drawn by D. Jordan),,29-20,,
1:43.0,D. Jordan misses free throw 1 of 2,,29-20,,
1:43.0,Offensive rebound by Team,,29-20,,
1:43.0,D. Jordan misses free throw 2 of 2,,29-20,,
1:42.0,,,29-20,,Defensive rebound by B. Ingram
1:28.0,,,29-22,2,T. Robinson makes 2-pt shot from 18 ft (assist by L. Williams)
1:08.0,J. Redick misses 2-pt shot from 9 ft,,29-22,,
1:06.0,Offensive rebound by J. Redick,,29-22,,
1:05.0,J. Redick makes 2-pt shot from 2 ft,2,31-22,,
0:58.0,,,31-22,,Shooting foul by A. Rivers (drawn by J. Clarkson)
0:58.0,,,31-22,,J. Clarkson misses free throw 1 of 2
0:58.0,,,31-22,,Offensive rebound by Team
0:58.0,,,31-23,1,J. Clarkson makes free throw 2 of 2
0:58.0,M. Speights enters the game for D. Jordan,,31-22,,
0:58.0,R. Felton enters the game for J. Redick,,31-22,,
0:36.0,M. Speights misses 2-pt shot from 12 ft,,31-23,,
0:33.0,,,31-23,,Defensive rebound by T. Robinson
0:29.0,,,31-25,2,L. Williams makes 2-pt shot from 13 ft
0:05.0,J. Crawford misses 3-pt shot from 28 ft,,31-25,,
0:04.0,,,31-25,,Defensive rebound by T. Robinson
0:01.0,,,31-27,2,T. Robinson makes 2-pt shot from 7 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,31-27,,Turnover by T. Robinson (bad pass; steal by R. Felton)
11:40.0,R. Felton makes 2-pt shot from 2 ft,2,33-27,,
11:31.0,,,33-27,,L. Williams misses 2-pt shot from 12 ft
11:29.0,Defensive rebound by R. Felton,,33-27,,
11:25.0,Turnover by J. Crawford (lost ball),,33-27,,
11:17.0,,,33-27,,B. Ingram misses 2-pt shot from 20 ft
11:13.0,,,33-27,,Offensive rebound by T. Robinson
10:57.0,,,33-27,,Turnover by J. Clarkson (lost ball; steal by A. Rivers)
10:53.0,A. Rivers misses 2-pt shot from 4 ft (block by L. Williams),,33-27,,
10:48.0,Offensive rebound by R. Felton,,33-27,,
10:44.0,A. Rivers misses 3-pt shot from 25 ft,,33-27,,
10:42.0,,,33-27,,Defensive rebound by L. Williams
10:38.0,Personal foul by A. Rivers (drawn by B. Ingram),,33-27,,
10:38.0,,,33-27,,Technical foul by B. Ingram
10:38.0,J. Crawford makes technical free throw,1,34-27,,
10:36.0,Personal foul by M. Speights (drawn by T. Robinson),,34-27,,
10:31.0,,,34-27,,J. Clarkson misses 3-pt shot from 23 ft
10:28.0,,,34-27,,Offensive rebound by B. Ingram
10:28.0,,,34-29,2,B. Ingram makes 2-pt shot at rim
10:28.0,LA Clippers full timeout,,34-29,,
10:28.0,B. Bass enters the game for A. Rivers,,34-29,,
10:17.0,M. Speights makes 3-pt shot from 25 ft (assist by J. Crawford),3,37-29,,
10:04.0,,,37-29,,Turnover by L. Williams (bad pass; steal by J. Crawford)
10:01.0,Turnover by J. Crawford (lost ball),,37-29,,
9:44.0,,,37-29,,J. Clarkson misses 3-pt shot from 27 ft
9:43.0,Defensive rebound by R. Felton,,37-29,,
9:32.0,M. Speights misses 3-pt shot from 27 ft,,37-29,,
9:31.0,,,37-29,,Defensive rebound by B. Ingram
9:27.0,,,37-29,,Shooting foul by M. Speights (drawn by B. Ingram)
9:27.0,,,37-31,2,B. Ingram makes 2-pt shot from 2 ft
9:27.0,,,37-32,1,B. Ingram makes free throw 1 of 1
9:09.0,R. Felton misses 2-pt shot from 14 ft,,37-32,,
9:08.0,,,37-32,,Defensive rebound by T. Robinson
9:02.0,,,37-32,,L. Deng misses 3-pt shot from 26 ft
8:58.0,Defensive rebound by R. Felton,,37-32,,
8:50.0,J. Crawford misses 2-pt shot from 16 ft (block by T. Robinson),,37-32,,
8:46.0,,,37-32,,Defensive rebound by L. Williams
8:44.0,,,37-32,,B. Ingram misses 2-pt shot from 7 ft (block by R. Felton)
8:43.0,Defensive rebound by M. Speights,,37-32,,
8:36.0,W. Johnson makes 2-pt shot from 1 ft (assist by M. Speights),2,39-32,,
8:13.0,,,39-35,3,L. Williams makes 3-pt shot from 27 ft (assist by T. Robinson)
7:50.0,J. Crawford misses 2-pt shot from 20 ft,,39-35,,
7:50.0,Offensive rebound by Team,,39-35,,
7:50.0,,,39-35,,Loose ball foul by J. Clarkson (drawn by M. Speights)
7:33.0,B. Bass makes 2-pt shot from 10 ft,2,41-35,,
7:13.0,,,41-35,,Shooting foul by J. Crawford (drawn by B. Ingram)
7:13.0,,,41-35,,B. Ingram misses free throw 1 of 2
7:13.0,,,41-35,,Offensive rebound by Team
7:13.0,,,41-36,1,B. Ingram makes free throw 2 of 2
7:07.0,B. Bass makes 2-pt shot at rim (assist by W. Johnson),2,43-36,,
6:47.0,Shooting block foul by M. Speights (drawn by B. Ingram),,43-36,,
6:47.0,,,43-37,1,B. Ingram makes free throw 1 of 2
6:47.0,,,43-38,1,B. Ingram makes free throw 2 of 2
6:47.0,D. Jordan enters the game for M. Speights,,43-37,,
6:47.0,,,43-37,,D. Russell enters the game for J. Clarkson
6:47.0,,,43-37,,T. Mozgov enters the game for T. Robinson
6:38.0,,,43-38,,Personal foul by B. Ingram (drawn by B. Bass)
6:38.0,J. Redick enters the game for J. Crawford,,43-38,,
6:35.0,Turnover by R. Felton (bad pass; steal by L. Deng),,43-38,,
6:21.0,,,43-38,,B. Ingram misses 3-pt shot from 24 ft
6:20.0,Defensive rebound by B. Bass,,43-38,,
6:09.0,W. Johnson misses 2-pt shot from 19 ft,,43-38,,
6:08.0,,,43-38,,Defensive rebound by T. Mozgov
6:01.0,,,43-38,,L. Williams misses 2-pt shot from 2 ft
5:56.0,Defensive rebound by D. Jordan,,43-38,,
5:51.0,R. Felton makes 2-pt shot from 4 ft,2,45-38,,
5:36.0,,,45-38,,Shooting foul by W. Johnson (drawn by T. Mozgov)
5:36.0,Official timeout,,45-38,,
5:36.0,,,45-39,1,T. Mozgov makes free throw 1 of 2
5:36.0,,,45-39,,T. Mozgov misses free throw 2 of 2
5:36.0,,,45-38,,N. Young enters the game for L. Deng
5:36.0,,,45-38,,J. Randle enters the game for L. Williams
5:34.0,Defensive rebound by B. Bass,,45-39,,
5:14.0,R. Felton misses 2-pt shot from 19 ft,,45-39,,
5:14.0,Offensive rebound by Team,,45-39,,
5:14.0,,,45-39,,Loose ball foul by T. Mozgov (drawn by D. Jordan)
5:14.0,J. Crawford enters the game for W. Johnson,,45-39,,
4:58.0,Turnover by B. Bass (traveling),,45-39,,
4:41.0,,,45-39,,Shooting foul by R. Felton (drawn by D. Russell)
4:41.0,,,45-40,1,D. Russell makes free throw 1 of 2
4:41.0,,,45-41,1,D. Russell makes free throw 2 of 2
4:30.0,J. Redick makes 2-pt shot from 21 ft (assist by J. Crawford),2,47-41,,
4:16.0,,,47-41,,D. Russell misses 3-pt shot from 25 ft
4:15.0,Defensive rebound by B. Bass,,47-41,,
4:08.0,J. Redick misses 3-pt shot from 24 ft,,47-41,,
4:07.0,,,47-41,,Defensive rebound by D. Russell
3:58.0,,,47-44,3,N. Young makes 3-pt shot from 24 ft (assist by J. Randle)
3:41.0,J. Crawford makes 2-pt shot from 5 ft (assist by J. Redick),2,49-44,,
3:32.0,,,49-44,,D. Russell misses 3-pt shot from 26 ft
3:30.0,Defensive rebound by D. Jordan,,49-44,,
3:21.0,J. Redick misses 3-pt shot from 27 ft,,49-44,,
3:19.0,,,49-44,,Defensive rebound by N. Young
3:17.0,Personal take foul by J. Redick (drawn by N. Young),,49-44,,
3:17.0,,,49-45,1,N. Young makes free throw 1 of 2
3:17.0,,,49-46,1,N. Young makes free throw 2 of 2
3:17.0,,,49-45,,L. Deng enters the game for B. Ingram
3:07.0,J. Crawford makes 2-pt shot from 12 ft (assist by D. Jordan),2,51-46,,
2:50.0,,,51-46,,N. Young misses 3-pt shot from 25 ft
2:49.0,Defensive rebound by D. Jordan,,51-46,,
2:43.0,J. Redick makes 3-pt shot from 25 ft (assist by J. Crawford),3,54-46,,
2:42.0,,,54-46,,LA Lakers full timeout
2:30.0,,,54-46,,Turnover by D. Russell (bad pass; steal by B. Bass)
2:24.0,J. Crawford misses 2-pt shot from 24 ft,,54-46,,
2:23.0,,,54-46,,Defensive rebound by Team
2:09.0,Personal foul by J. Crawford (drawn by L. Deng),,54-46,,
2:09.0,,,54-47,1,L. Deng makes free throw 1 of 2
2:09.0,,,54-48,1,L. Deng makes free throw 2 of 2
1:52.0,Turnover by D. Jordan (illegal assist),,54-48,,
1:52.0,L. Mbah a Moute enters the game for J. Crawford,,54-48,,
1:37.0,,,54-51,3,N. Young makes 3-pt shot from 25 ft (assist by D. Russell)
1:21.0,B. Bass makes 2-pt shot at rim (assist by R. Felton),2,56-51,,
1:09.0,,,56-51,,D. Russell misses 2-pt shot from 10 ft (block by R. Felton)
1:07.0,Defensive rebound by R. Felton,,56-51,,
1:01.0,L. Mbah a Moute misses 3-pt shot from 25 ft,,56-51,,
0:58.0,,,56-51,,Defensive rebound by D. Russell
0:53.0,,,56-53,2,J. Randle makes 2-pt shot at rim (assist by D. Russell)
0:32.0,R. Felton misses 2-pt shot from 16 ft,,56-53,,
0:29.0,,,56-53,,Defensive rebound by D. Russell
0:21.0,,,56-55,2,T. Mozgov makes 2-pt shot from 1 ft
0:21.0,LA Clippers full timeout,,56-55,,
0:21.0,M. Speights enters the game for L. Mbah a Moute,,56-55,,
0:21.0,J. Crawford enters the game for B. Bass,,56-55,,
0:21.0,,,56-55,,J. Clarkson enters the game for T. Mozgov
0:21.0,,,56-55,,B. Ingram enters the game for N. Young
0:04.0,,,56-55,,Personal take foul by J. Clarkson (drawn by J. Crawford)
0:01.0,Shooting foul by B. Ingram (drawn by J. Redick),,56-55,,
0:01.0,J. Redick makes free throw 1 of 2,1,57-55,,
0:01.0,J. Redick makes free throw 2 of 2,1,58-55,,
0:01.0,W. Johnson enters the game for J. Crawford,,57-55,,
0:01.0,L. Mbah a Moute enters the game for M. Speights,,57-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,58-57,2,T. Mozgov makes 2-pt shot from 21 ft (assist by J. Randle)
11:24.0,D. Jordan misses 2-pt shot from 6 ft,,58-57,,
11:20.0,,,58-57,,Defensive rebound by J. Randle
11:14.0,,,58-57,,L. Deng misses 3-pt shot from 27 ft
11:12.0,,,58-57,,Offensive rebound by T. Mozgov
11:12.0,,,58-59,2,T. Mozgov makes 2-pt shot from 1 ft
10:46.0,Turnover by Team (shot clock),,58-59,,
10:25.0,,,58-61,2,L. Deng makes 2-pt shot from 21 ft (assist by J. Randle)
10:03.0,L. Mbah a Moute misses 3-pt shot from 25 ft,,58-61,,
10:01.0,,,58-61,,Defensive rebound by L. Deng
9:51.0,,,58-61,,N. Young misses 3-pt shot from 26 ft
9:49.0,,,58-61,,Offensive rebound by L. Deng
9:48.0,,,58-63,2,L. Deng makes 2-pt shot from 1 ft
9:48.0,,,58-63,,Shooting foul by J. Redick (drawn by L. Deng)
9:48.0,,,58-63,,L. Deng misses free throw 1 of 1
9:47.0,Defensive rebound by D. Jordan,,58-63,,
9:32.0,L. Mbah a Moute misses 3-pt shot from 23 ft,,58-63,,
9:31.0,,,58-63,,Defensive rebound by D. Russell
9:27.0,,,58-63,,Turnover by D. Russell (bad pass; steal by J. Redick)
9:26.0,,,58-63,,Personal foul by D. Russell (drawn by J. Redick)
9:15.0,Turnover by D. Jordan (bad pass),,58-63,,
9:00.0,,,58-66,3,D. Russell makes 3-pt shot from 25 ft
9:00.0,LA Clippers full timeout,,58-66,,
9:00.0,A. Rivers enters the game for P. Pierce,,58-66,,
8:40.0,L. Mbah a Moute misses 2-pt shot from 1 ft (block by L. Deng),,58-66,,
8:38.0,Offensive rebound by L. Mbah a Moute,,58-66,,
8:37.0,L. Mbah a Moute misses 2-pt shot from 2 ft (block by L. Deng),,58-66,,
8:34.0,,,58-66,,Defensive rebound by L. Deng
8:12.0,,,58-66,,J. Randle misses 2-pt shot from 20 ft
8:12.0,,,58-66,,Offensive rebound by L. Deng
8:12.0,,,58-66,,Shooting foul by D. Jordan (drawn by T. Mozgov)
8:12.0,,,58-67,1,T. Mozgov makes free throw 1 of 2
8:12.0,,,58-68,1,T. Mozgov makes free throw 2 of 2
7:57.0,A. Rivers makes 2-pt shot from 4 ft,2,60-68,,
7:39.0,,,60-68,,T. Mozgov misses 2-pt shot from 18 ft
7:38.0,,,60-68,,Offensive rebound by J. Randle
7:38.0,,,60-68,,J. Randle misses 2-pt shot at rim
7:34.0,,,60-68,,Offensive rebound by J. Randle
7:34.0,,,60-70,2,J. Randle makes 2-pt shot from 1 ft
7:13.0,L. Mbah a Moute misses 2-pt shot from 15 ft,,60-70,,
7:12.0,,,60-70,,Defensive rebound by J. Randle
7:08.0,,,60-70,,Shooting foul by L. Mbah a Moute (drawn by J. Randle)
7:08.0,,,60-71,1,J. Randle makes free throw 1 of 2
7:08.0,,,60-72,1,J. Randle makes free throw 2 of 2
7:08.0,J. Crawford enters the game for R. Felton,,60-71,,
7:08.0,B. Bass enters the game for L. Mbah a Moute,,60-71,,
6:59.0,J. Redick makes 3-pt shot from 25 ft (assist by D. Jordan),3,63-72,,
6:45.0,,,63-72,,D. Russell misses 3-pt shot from 25 ft
6:44.0,Defensive rebound by D. Jordan,,63-72,,
6:27.0,J. Redick misses 2-pt shot from 24 ft,,63-72,,
6:26.0,,,63-72,,Defensive rebound by J. Randle
6:18.0,,,63-72,,L. Deng misses 3-pt shot from 26 ft
6:16.0,Defensive rebound by D. Jordan,,63-72,,
6:07.0,Turnover by D. Jordan (lost ball; steal by N. Young),,63-72,,
6:03.0,,,63-74,2,N. Young makes 2-pt shot at rim
5:48.0,,,63-74,,Personal foul by N. Young (drawn by J. Redick)
5:48.0,LA Clippers full timeout,,63-74,,
5:39.0,Shooting foul by J. Randle (drawn by B. Bass),,63-74,,
5:39.0,B. Bass makes free throw 1 of 2,1,64-74,,
5:39.0,B. Bass makes free throw 2 of 2,1,65-74,,
5:20.0,,,65-74,,N. Young misses 2-pt shot from 19 ft
5:19.0,,,65-74,,Offensive rebound by L. Deng
5:17.0,,,65-76,2,L. Deng makes 2-pt shot from 1 ft
4:55.0,J. Crawford makes 2-pt shot from 17 ft,2,67-76,,
4:35.0,,,67-78,2,T. Mozgov makes 2-pt shot from 16 ft (assist by D. Russell)
4:21.0,J. Crawford misses 2-pt shot from 20 ft,,67-78,,
4:20.0,,,67-78,,Defensive rebound by D. Russell
4:03.0,,,67-81,3,N. Young makes 3-pt shot from 26 ft (assist by J. Randle)
3:45.0,Turnover by J. Redick (lost ball; steal by J. Randle),,67-81,,
3:41.0,,,67-83,2,J. Randle makes 2-pt shot at rim
3:34.0,,,67-83,,LA Lakers full timeout
3:34.0,W. Johnson enters the game for J. Redick,,67-83,,
3:34.0,,,67-83,,J. Clarkson enters the game for L. Deng
3:34.0,,,67-83,,B. Ingram enters the game for N. Young
3:30.0,Turnover by A. Rivers (lost ball),,67-83,,
3:14.0,,,67-83,,D. Russell misses 2-pt shot from 4 ft
3:12.0,,,67-83,,Offensive rebound by T. Mozgov
3:12.0,,,67-85,2,T. Mozgov makes 2-pt shot from 2 ft
2:59.0,D. Jordan makes 2-pt shot at rim (assist by B. Bass),2,69-85,,
2:38.0,,,69-87,2,T. Mozgov makes 2-pt shot from 14 ft (assist by J. Randle)
2:21.0,W. Johnson misses 3-pt shot from 24 ft,,69-87,,
2:21.0,Offensive rebound by D. Jordan,,69-87,,
2:21.0,Shooting foul by J. Randle (drawn by D. Jordan),,69-87,,
2:21.0,D. Jordan misses free throw 1 of 2,,69-87,,
2:21.0,Offensive rebound by Team,,69-87,,
2:21.0,D. Jordan makes free throw 2 of 2,1,70-87,,
2:21.0,,,69-87,,L. Williams enters the game for D. Russell
2:13.0,,,70-87,,Offensive foul by T. Mozgov
2:13.0,,,70-87,,Turnover by T. Mozgov (offensive foul)
2:13.0,M. Speights enters the game for D. Jordan,,70-87,,
2:13.0,,,70-87,,L. Deng enters the game for T. Mozgov
1:53.0,J. Crawford makes 2-pt shot from 20 ft,2,72-87,,
1:32.0,,,72-87,,J. Randle misses 2-pt shot from 3 ft
1:30.0,Defensive rebound by B. Bass,,72-87,,
1:22.0,W. Johnson misses 3-pt shot from 25 ft,,72-87,,
1:21.0,,,72-87,,Defensive rebound by L. Deng
0:59.0,,,72-87,,J. Clarkson misses 3-pt shot from 26 ft
0:58.0,Defensive rebound by Team,,72-87,,
0:58.0,,,72-87,,T. Robinson enters the game for J. Randle
0:46.0,A. Rivers misses 2-pt shot from 5 ft,,72-87,,
0:42.0,,,72-87,,Defensive rebound by T. Robinson
0:40.0,,,72-87,,Shooting foul by A. Rivers
0:40.0,,,72-88,1,L. Williams makes free throw 1 of 2
0:40.0,,,72-89,1,L. Williams makes free throw 2 of 2
0:32.0,J. Crawford makes 2-pt shot from 1 ft,2,74-89,,
0:12.0,,,74-89,,L. Williams misses 3-pt shot from 27 ft
0:11.0,Defensive rebound by M. Speights,,74-89,,
0:02.0,J. Crawford misses 2-pt shot from 4 ft,,74-89,,
0:01.0,,,74-89,,Defensive rebound by L. Deng
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,A. Rivers makes 3-pt shot from 26 ft,3,77-89,,
11:18.0,,,77-89,,L. Williams misses 2-pt shot from 12 ft
11:15.0,,,77-89,,Offensive rebound by T. Robinson
11:14.0,,,77-89,,Turnover by T. Robinson (lost ball; steal by A. Rivers)
11:09.0,Turnover by J. Crawford (bad pass),,77-89,,
11:09.0,W. Johnson enters the game for B. Bass,,77-89,,
10:47.0,,,77-89,,B. Ingram misses 2-pt shot from 22 ft
10:46.0,Defensive rebound by W. Johnson,,77-89,,
10:35.0,M. Speights makes 3-pt shot from 26 ft (assist by W. Johnson),3,80-89,,
10:35.0,,,80-89,,LA Lakers full timeout
10:26.0,,,80-89,,Turnover by B. Ingram (bad pass; steal by R. Felton)
10:11.0,J. Crawford misses 2-pt shot from 1 ft,,80-89,,
10:10.0,Offensive rebound by R. Felton,,80-89,,
10:03.0,J. Crawford misses 3-pt shot from 23 ft,,80-89,,
10:02.0,,,80-89,,Defensive rebound by Team
9:48.0,,,80-89,,Turnover by T. Robinson (bad pass)
9:29.0,Shooting foul by B. Ingram (drawn by J. Crawford),,80-89,,
9:29.0,J. Crawford makes free throw 1 of 3,1,81-89,,
9:29.0,J. Crawford makes free throw 2 of 3,1,82-89,,
9:29.0,J. Crawford makes free throw 3 of 3,1,83-89,,
9:16.0,,,83-89,,L. Deng misses 2-pt shot at rim (block by W. Johnson)
9:15.0,,,83-89,,Offensive rebound by Team
9:06.0,,,83-89,,J. Clarkson misses 2-pt shot from 5 ft
9:04.0,Defensive rebound by W. Johnson,,83-89,,
8:53.0,A. Rivers misses 2-pt shot from 3 ft,,83-89,,
8:53.0,Offensive rebound by M. Speights,,83-89,,
8:53.0,Shooting foul by L. Deng (drawn by M. Speights),,83-89,,
8:53.0,M. Speights makes free throw 1 of 2,1,84-89,,
8:53.0,M. Speights makes free throw 2 of 2,1,85-89,,
8:36.0,,,85-89,,Turnover by L. Williams (bad pass; steal by M. Speights)
8:26.0,J. Crawford misses 2-pt shot from 1 ft,,85-89,,
8:25.0,,,85-89,,Defensive rebound by T. Robinson
8:20.0,,,85-89,,Shooting foul by R. Felton
8:20.0,,,85-89,,L. Williams misses free throw 1 of 2
8:20.0,,,85-89,,Offensive rebound by Team
8:20.0,,,85-90,1,L. Williams makes free throw 2 of 2
8:01.0,W. Johnson misses 3-pt shot from 26 ft,,85-90,,
8:00.0,,,85-90,,Defensive rebound by T. Robinson
7:39.0,,,85-90,,L. Williams misses 3-pt shot from 26 ft
7:38.0,,,85-90,,Offensive rebound by L. Deng
7:37.0,,,85-90,,Shooting foul by J. Crawford (drawn by L. Deng)
7:37.0,,,85-91,1,L. Deng makes free throw 1 of 2
7:37.0,,,85-92,1,L. Deng makes free throw 2 of 2
7:26.0,Turnover by R. Felton (bad pass; steal by J. Clarkson),,85-92,,
7:22.0,,,85-94,2,J. Clarkson makes 2-pt shot from 1 ft
7:01.0,Shooting foul by T. Robinson (drawn by M. Speights),,85-94,,
7:01.0,M. Speights makes free throw 1 of 2,1,86-94,,
7:01.0,M. Speights makes free throw 2 of 2,1,87-94,,
7:01.0,,,86-94,,N. Young enters the game for L. Deng
6:44.0,,,87-94,,J. Clarkson misses 2-pt shot from 10 ft
6:41.0,Defensive rebound by R. Felton,,87-94,,
6:28.0,Shooting foul by T. Robinson (drawn by J. Crawford),,87-94,,
6:28.0,J. Crawford makes free throw 1 of 2,1,88-94,,
6:28.0,J. Crawford misses free throw 2 of 2,,88-94,,
6:28.0,,,88-94,,D. Russell enters the game for J. Clarkson
6:27.0,,,88-94,,Defensive rebound by T. Robinson
6:16.0,,,88-94,,T. Robinson misses 2-pt shot from 10 ft
6:13.0,Defensive rebound by R. Felton,,88-94,,
6:04.0,A. Rivers makes 2-pt shot from 2 ft,2,90-94,,
5:54.0,,,90-97,3,D. Russell makes 3-pt shot from 24 ft (assist by N. Young)
5:30.0,M. Speights misses 2-pt shot from 2 ft,,90-97,,
5:29.0,,,90-97,,Defensive rebound by B. Ingram
5:27.0,Personal foul by R. Felton,,90-97,,
5:27.0,Official timeout,,90-97,,
5:27.0,,,90-97,,J. Randle enters the game for T. Robinson
