time,Phoenix,pts.away,score,pts.home,Washington
0:31.0,E. Bledsoe misses 3-pt shot from 27 ft,,20-26,,
0:30.0,,,20-26,,Defensive rebound by O. Porter
0:12.0,,,20-26,,K. Oubre misses 2-pt shot from 13 ft (block by A. Williams)
0:10.0,,,20-26,,Offensive rebound by O. Porter
0:07.0,,,20-26,,O. Porter misses 2-pt shot from 20 ft
0:06.0,Defensive rebound by E. Bledsoe,,20-26,,
0:01.0,E. Bledsoe misses 2-pt shot from 3 ft,,20-26,,
0:00.0,,,20-26,,Defensive rebound by K. Oubre
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,20-26,,Personal foul by M. Thornton (drawn by A. Williams)
11:35.0,Turnover by L. Barbosa (bad pass),,20-26,,
11:20.0,,,20-26,,J. Smith misses 2-pt shot from 19 ft
11:19.0,Defensive rebound by P. Tucker,,20-26,,
11:03.0,T. Ulis makes 2-pt shot from 2 ft,2,22-26,,
10:45.0,,,22-26,,J. Smith misses 2-pt shot from 18 ft
10:44.0,Defensive rebound by P. Tucker,,22-26,,
10:38.0,,,22-26,,Personal foul by J. Smith (drawn by A. Williams)
10:33.0,Offensive foul by A. Williams,,22-26,,
10:33.0,Turnover by A. Williams (offensive foul),,22-26,,
10:20.0,,,22-26,,Shooting foul by A. Williams (drawn by K. Oubre)
10:20.0,,,22-27,1,K. Oubre makes free throw 1 of 2
10:20.0,,,22-27,,K. Oubre misses free throw 2 of 2
10:19.0,Defensive rebound by A. Williams,,22-27,,
9:58.0,Turnover by J. Dudley (lost ball),,22-27,,
9:45.0,,,22-27,,T. Burke misses 2-pt shot from 2 ft
9:44.0,,,22-27,,Offensive rebound by T. Burke
9:43.0,,,22-27,,T. Burke misses 2-pt shot from 1 ft
9:42.0,Defensive rebound by A. Williams,,22-27,,
9:28.0,J. Dudley misses 2-pt shot from 1 ft,,22-27,,
9:26.0,,,22-27,,Defensive rebound by J. Smith
9:24.0,,,22-29,2,K. Oubre makes 2-pt shot at rim (assist by T. Satoransky)
9:16.0,A. Williams makes 2-pt shot from 13 ft (assist by L. Barbosa),2,24-29,,
9:03.0,,,24-31,2,J. Smith makes 2-pt shot from 20 ft (assist by T. Burke)
8:49.0,J. Dudley misses 3-pt shot from 27 ft,,24-31,,
8:46.0,Offensive rebound by P. Tucker,,24-31,,
8:46.0,,,24-31,,Personal foul by J. Smith (drawn by P. Tucker)
8:46.0,Official timeout,,24-31,,
8:46.0,,,24-31,,B. Beal enters the game for T. Satoransky
8:39.0,T. Ulis makes 2-pt shot from 9 ft,2,26-31,,
8:20.0,,,26-31,,M. Thornton misses 2-pt shot from 8 ft
8:19.0,Defensive rebound by L. Barbosa,,26-31,,
8:10.0,L. Barbosa makes 2-pt shot from 18 ft,2,28-31,,
7:50.0,,,28-31,,Shooting foul by A. Williams (drawn by K. Oubre)
7:50.0,,,28-31,,K. Oubre misses free throw 1 of 2
7:50.0,,,28-31,,Offensive rebound by Team
7:50.0,,,28-31,,K. Oubre misses free throw 2 of 2
7:50.0,E. Bledsoe enters the game for T. Ulis,,28-31,,
7:50.0,,,28-31,,J. Wall enters the game for T. Burke
7:50.0,,,28-31,,M. Morris enters the game for J. Smith
7:48.0,Defensive rebound by J. Dudley,,28-31,,
7:32.0,L. Barbosa misses 2-pt shot from 21 ft,,28-31,,
7:31.0,,,28-31,,Defensive rebound by K. Oubre
7:25.0,,,28-34,3,M. Thornton makes 3-pt shot from 27 ft (assist by J. Wall)
7:17.0,Turnover by E. Bledsoe (back court),,28-34,,
7:01.0,,,28-34,,Turnover by M. Thornton (lost ball; steal by P. Tucker)
6:52.0,E. Bledsoe misses 3-pt shot from 26 ft,,28-34,,
6:51.0,Offensive rebound by P. Tucker,,28-34,,
6:47.0,J. Dudley makes 2-pt shot from 1 ft (assist by P. Tucker),2,30-34,,
6:38.0,,,30-34,,Turnover by B. Beal (lost ball)
6:25.0,J. Dudley misses 2-pt shot from 2 ft,,30-34,,
6:24.0,Offensive rebound by J. Dudley,,30-34,,
6:22.0,J. Dudley makes 2-pt shot from 2 ft,2,32-34,,
6:22.0,,,32-34,,Washington full timeout
6:22.0,,,32-34,,O. Porter enters the game for K. Oubre
6:06.0,,,32-34,,Turnover by M. Morris (offensive foul)
6:06.0,,,32-34,,Offensive foul by M. Morris
5:55.0,J. Dudley makes 2-pt shot from 18 ft (assist by E. Bledsoe),2,34-34,,
5:37.0,,,34-34,,M. Thornton misses 2-pt shot from 19 ft
5:36.0,Defensive rebound by P. Tucker,,34-34,,
5:25.0,J. Dudley misses 2-pt shot from 1 ft,,34-34,,
5:24.0,,,34-34,,Defensive rebound by O. Porter
5:19.0,,,34-36,2,B. Beal makes 2-pt shot from 2 ft (assist by J. Wall)
5:06.0,L. Barbosa makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,37-36,,
4:54.0,,,37-36,,J. Wall misses 2-pt shot from 22 ft
4:52.0,,,37-36,,Offensive rebound by O. Porter
4:50.0,,,37-38,2,O. Porter makes 2-pt shot from 4 ft
4:35.0,E. Bledsoe makes 3-pt shot from 24 ft (assist by L. Barbosa),3,40-38,,
4:26.0,,,40-38,,M. Thornton misses 3-pt shot from 26 ft
4:25.0,Defensive rebound by P. Tucker,,40-38,,
4:15.0,Shooting foul by M. Morris (drawn by A. Williams),,40-38,,
4:15.0,A. Williams misses free throw 1 of 2,,40-38,,
4:15.0,Offensive rebound by Team,,40-38,,
4:15.0,A. Williams makes free throw 2 of 2,1,41-38,,
4:15.0,,,40-38,,M. Gortat enters the game for M. Thornton
4:15.0,B. Knight enters the game for L. Barbosa,,40-38,,
4:15.0,D. Booker enters the game for P. Tucker,,40-38,,
4:04.0,,,41-38,,J. Wall misses 2-pt shot from 1 ft (block by E. Bledsoe)
4:04.0,,,41-38,,Offensive rebound by Team
4:04.0,A. Len enters the game for A. Williams,,41-38,,
3:57.0,Personal block foul by J. Dudley (drawn by M. Morris),,41-38,,
3:52.0,,,41-41,3,B. Beal makes 3-pt shot from 26 ft
3:40.0,Turnover by E. Bledsoe (bad pass),,41-41,,
3:30.0,,,41-43,2,B. Beal makes 2-pt shot from 6 ft (assist by J. Wall)
3:20.0,D. Booker makes 2-pt shot from 2 ft (assist by J. Dudley),2,43-43,,
3:05.0,,,43-43,,Turnover by O. Porter (bad pass)
2:41.0,D. Booker makes 3-pt shot from 26 ft (assist by J. Dudley),3,46-43,,
2:33.0,,,46-45,2,M. Morris makes 2-pt shot from 2 ft (assist by J. Wall)
2:20.0,D. Booker misses 2-pt shot from 15 ft,,46-45,,
2:19.0,,,46-45,,Defensive rebound by O. Porter
2:13.0,,,46-45,,J. Wall misses 2-pt shot from 1 ft
2:10.0,Defensive rebound by B. Knight,,46-45,,
2:02.0,Turnover by B. Knight (lost ball; steal by M. Morris),,46-45,,
2:00.0,Phoenix full timeout,,46-45,,
2:00.0,M. Chriss enters the game for J. Dudley,,46-45,,
2:00.0,Jump ball: B. Knight vs. M. Morris (B. Beal gains possession),,,,Jump ball: B. Knight vs. M. Morris (B. Beal gains possession)
1:47.0,,,46-45,,Offensive foul by M. Gortat
1:47.0,,,46-45,,Turnover by M. Gortat (offensive foul)
1:30.0,Turnover by M. Chriss (lost ball; steal by J. Wall),,46-45,,
1:20.0,,,46-45,,J. Wall misses 2-pt shot from 11 ft
1:19.0,,,46-45,,Offensive rebound by Team
1:19.0,Loose ball foul by A. Len (drawn by M. Gortat),,46-45,,
1:18.0,,,46-45,,B. Beal misses 2-pt shot from 1 ft
1:16.0,Defensive rebound by A. Len,,46-45,,
1:11.0,E. Bledsoe misses 2-pt shot from 19 ft,,46-45,,
1:10.0,,,46-45,,Defensive rebound by M. Gortat
1:04.0,,,46-47,2,M. Morris makes 2-pt shot at rim (assist by J. Wall)
0:45.0,M. Chriss misses 2-pt shot from 10 ft,,46-47,,
0:44.0,,,46-47,,Defensive rebound by O. Porter
0:38.0,,,46-50,3,J. Wall makes 3-pt shot from 26 ft (assist by O. Porter)
0:38.0,Phoenix full timeout,,46-50,,
0:38.0,J. Dudley enters the game for M. Chriss,,46-50,,
0:38.0,,,46-50,,K. Oubre enters the game for M. Morris
0:26.0,E. Bledsoe misses 3-pt shot from 23 ft,,46-50,,
0:26.0,Offensive rebound by A. Len,,46-50,,
0:02.0,Turnover by E. Bledsoe (bad pass),,46-50,,
0:02.0,,,46-50,,Washington full timeout
0:00.0,,,46-50,,J. Wall misses 3-pt shot from 48 ft
0:00.0,,,46-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:52.0,Shooting foul by M. Morris (drawn by A. Len),,46-50,,
11:52.0,A. Len makes free throw 1 of 2,1,47-50,,
11:52.0,A. Len makes free throw 2 of 2,1,48-50,,
11:39.0,,,48-50,,M. Morris misses 2-pt shot from 7 ft
11:33.0,Defensive rebound by M. Chriss,,48-50,,
11:21.0,A. Len makes 2-pt shot at rim (assist by E. Bledsoe),2,50-50,,
11:07.0,,,50-50,,J. Wall misses 2-pt shot from 13 ft
11:07.0,Defensive rebound by E. Bledsoe,,50-50,,
11:01.0,D. Booker makes 2-pt shot at rim (assist by E. Bledsoe),2,52-50,,
10:36.0,Personal block foul by M. Chriss (drawn by B. Beal),,52-50,,
10:25.0,,,52-52,2,M. Gortat makes 2-pt shot from 8 ft (assist by J. Wall)
10:13.0,M. Chriss misses 3-pt shot from 24 ft,,52-52,,
10:12.0,,,52-52,,Defensive rebound by O. Porter
10:09.0,,,52-52,,M. Gortat misses 2-pt shot from 4 ft (block by A. Len)
10:05.0,Defensive rebound by D. Booker,,52-52,,
10:02.0,,,52-52,,Personal foul by J. Wall (drawn by D. Booker)
9:55.0,D. Booker makes 3-pt shot from 25 ft,3,55-52,,
9:37.0,,,55-54,2,B. Beal makes 2-pt shot from 13 ft (assist by J. Wall)
9:15.0,M. Chriss makes 3-pt shot from 24 ft (assist by D. Booker),3,58-54,,
9:08.0,,,58-54,,Shooting foul by A. Len (drawn by M. Gortat)
9:08.0,,,58-54,,M. Gortat misses free throw 1 of 2
9:08.0,,,58-54,,Offensive rebound by Team
9:08.0,,,58-54,,M. Gortat misses free throw 2 of 2
9:06.0,,,58-54,,Offensive rebound by M. Morris
9:02.0,,,58-54,,M. Gortat misses 2-pt shot from 3 ft (block by M. Chriss)
8:59.0,Defensive rebound by E. Bledsoe,,58-54,,
8:54.0,Turnover by E. Bledsoe (lost ball),,58-54,,
8:44.0,,,58-54,,J. Wall misses 2-pt shot from 10 ft
8:43.0,,,58-54,,Offensive rebound by Team
8:28.0,,,58-54,,Shooting foul by M. Chriss (drawn by M. Morris)
8:28.0,,,58-54,,M. Morris misses free throw 1 of 2
8:28.0,,,58-54,,Offensive rebound by Team
8:28.0,,,58-55,1,M. Morris makes free throw 2 of 2
8:19.0,D. Booker misses 2-pt shot from 19 ft,,58-55,,
8:17.0,,,58-55,,Defensive rebound by B. Beal
8:10.0,,,58-55,,O. Porter misses 3-pt shot from 26 ft
8:08.0,Defensive rebound by B. Knight,,58-55,,
8:04.0,B. Knight misses 2-pt shot from 15 ft,,58-55,,
8:03.0,,,58-55,,Defensive rebound by M. Gortat
7:52.0,,,58-55,,J. Wall misses 2-pt shot from 8 ft
7:50.0,Defensive rebound by E. Bledsoe,,58-55,,
7:40.0,B. Knight misses 3-pt shot from 25 ft,,58-55,,
7:39.0,,,58-55,,Defensive rebound by M. Morris
7:36.0,,,58-55,,Shooting foul by E. Bledsoe (drawn by J. Wall)
7:36.0,,,58-56,1,J. Wall makes free throw 1 of 2
7:36.0,,,58-57,1,J. Wall makes free throw 2 of 2
7:18.0,A. Len misses 2-pt shot from 21 ft,,58-57,,
7:17.0,,,58-57,,Defensive rebound by M. Gortat
7:11.0,,,58-57,,Offensive foul by M. Gortat
7:11.0,,,58-57,,Turnover by M. Gortat (offensive foul)
7:11.0,,,58-57,,K. Oubre enters the game for O. Porter
6:49.0,E. Bledsoe misses 3-pt shot from 25 ft,,58-57,,
6:48.0,,,58-57,,Defensive rebound by M. Gortat
6:38.0,,,58-57,,J. Wall misses 2-pt shot from 2 ft
6:37.0,,,58-57,,Offensive rebound by M. Gortat
6:32.0,,,58-60,3,B. Beal makes 3-pt shot from 26 ft (assist by M. Gortat)
6:21.0,B. Knight makes 2-pt shot from 3 ft (assist by A. Len),2,60-60,,
6:13.0,,,60-60,,B. Beal misses 3-pt shot from 28 ft
6:12.0,,,60-60,,Offensive rebound by B. Beal
6:12.0,,,60-62,2,B. Beal makes 2-pt shot from 3 ft
6:12.0,Phoenix full timeout,,60-62,,
6:12.0,,,60-62,,T. Satoransky enters the game for M. Morris
5:55.0,D. Booker misses 2-pt shot from 21 ft,,60-62,,
5:55.0,Offensive rebound by M. Chriss,,60-62,,
5:51.0,M. Chriss misses 2-pt shot from 2 ft,,60-62,,
5:50.0,Offensive rebound by A. Len,,60-62,,
5:44.0,A. Len makes 2-pt shot from 4 ft,2,62-62,,
5:35.0,,,62-62,,B. Beal misses 3-pt shot from 25 ft
5:33.0,Defensive rebound by A. Len,,62-62,,
5:23.0,,,62-62,,Personal foul by T. Satoransky (drawn by M. Chriss)
5:23.0,P. Tucker enters the game for M. Chriss,,62-62,,
5:16.0,B. Knight misses 2-pt shot from 21 ft,,62-62,,
5:15.0,Offensive rebound by A. Len,,62-62,,
5:08.0,E. Bledsoe makes 3-pt shot from 24 ft (assist by A. Len),3,65-62,,
4:55.0,,,65-62,,Shooting foul by D. Booker (drawn by B. Beal)
4:55.0,,,65-63,1,B. Beal makes free throw 1 of 2
4:55.0,,,65-64,1,B. Beal makes free throw 2 of 2
4:41.0,E. Bledsoe makes 2-pt shot from 2 ft,2,67-64,,
4:41.0,,,67-64,,Shooting block foul by K. Oubre (drawn by E. Bledsoe)
4:41.0,E. Bledsoe makes free throw 1 of 1,1,68-64,,
4:24.0,,,68-64,,B. Beal misses 2-pt shot from 2 ft
4:22.0,Defensive rebound by E. Bledsoe,,68-64,,
4:05.0,Turnover by P. Tucker (lost ball; steal by J. Wall),,68-64,,
4:05.0,Personal foul by P. Tucker (drawn by B. Beal),,68-64,,
4:05.0,,,68-65,1,B. Beal makes free throw 1 of 2
4:05.0,,,68-65,,B. Beal misses free throw 2 of 2
4:03.0,Defensive rebound by A. Len,,68-65,,
3:43.0,D. Booker makes 3-pt shot from 25 ft (assist by B. Knight),3,71-65,,
3:29.0,,,71-65,,B. Beal misses 3-pt shot from 25 ft
3:28.0,Defensive rebound by Team,,71-65,,
3:10.0,B. Knight makes 2-pt shot from 9 ft,2,73-65,,
3:10.0,,,73-65,,Washington full timeout
2:51.0,,,73-67,2,B. Beal makes 2-pt shot from 3 ft (assist by T. Satoransky)
2:34.0,Turnover by B. Knight (lost ball),,73-67,,
2:26.0,,,73-67,,J. Wall misses 3-pt shot from 25 ft
2:24.0,Defensive rebound by P. Tucker,,73-67,,
2:16.0,E. Bledsoe misses 2-pt shot from 20 ft,,73-67,,
2:13.0,,,73-67,,Defensive rebound by Team
2:13.0,,,73-67,,M. Thornton enters the game for B. Beal
2:04.0,,,73-67,,Turnover by T. Satoransky (lost ball; steal by E. Bledsoe)
1:58.0,E. Bledsoe makes 2-pt shot at rim,2,75-67,,
1:55.0,,,75-67,,Offensive charge foul by J. Wall
1:55.0,,,75-67,,Turnover by J. Wall (offensive foul)
1:42.0,D. Booker makes 3-pt shot from 25 ft (assist by E. Bledsoe),3,78-67,,
1:28.0,,,78-70,3,M. Thornton makes 3-pt shot from 25 ft (assist by J. Wall)
1:17.0,E. Bledsoe misses 2-pt shot from 16 ft,,78-70,,
1:16.0,,,78-70,,Defensive rebound by T. Satoransky
1:09.0,,,78-73,3,M. Thornton makes 3-pt shot from 26 ft (assist by K. Oubre)
1:06.0,Phoenix full timeout,,78-73,,
0:49.0,D. Booker misses 2-pt shot from 1 ft,,78-73,,
0:48.0,Offensive rebound by E. Bledsoe,,78-73,,
0:48.0,E. Bledsoe makes 2-pt shot from 1 ft,2,80-73,,
0:35.0,,,80-73,,J. Wall misses 2-pt shot from 12 ft
0:33.0,Defensive rebound by P. Tucker,,80-73,,
0:21.0,A. Len misses 2-pt shot from 2 ft,,80-73,,
0:20.0,,,80-73,,Defensive rebound by T. Satoransky
0:02.0,,,80-75,2,J. Wall makes 2-pt shot from 3 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,80-75,,M. Thornton misses 2-pt shot from 1 ft
11:44.0,,,80-75,,Offensive rebound by M. Gortat
11:43.0,,,80-77,2,M. Gortat makes 2-pt shot from 1 ft
11:32.0,D. Booker misses 2-pt shot from 16 ft,,80-77,,
11:30.0,,,80-77,,Defensive rebound by M. Gortat
11:24.0,,,80-77,,Shooting foul by D. Booker (drawn by B. Beal)
11:24.0,,,80-78,1,B. Beal makes free throw 1 of 2
11:24.0,,,80-79,1,B. Beal makes free throw 2 of 2
11:24.0,A. Williams enters the game for P. Tucker,,80-78,,
11:12.0,J. Dudley misses 3-pt shot from 25 ft,,80-79,,
11:11.0,,,80-79,,Defensive rebound by M. Gortat
10:58.0,,,80-79,,K. Oubre misses 3-pt shot from 26 ft
10:56.0,Defensive rebound by A. Williams,,80-79,,
10:45.0,L. Barbosa misses 3-pt shot from 26 ft,,80-79,,
10:44.0,,,80-79,,Defensive rebound by Team
10:44.0,,,80-79,,J. Smith enters the game for M. Gortat
10:24.0,,,80-79,,M. Thornton misses 2-pt shot from 7 ft
10:22.0,Defensive rebound by A. Williams,,80-79,,
10:18.0,D. Booker misses 2-pt shot from 1 ft,,80-79,,
10:16.0,,,80-79,,Defensive rebound by T. Satoransky
10:11.0,,,80-82,3,T. Satoransky makes 3-pt shot from 26 ft (assist by K. Oubre)
9:54.0,Offensive foul by A. Williams,,80-82,,
9:54.0,Turnover by A. Williams (offensive foul),,80-82,,
9:37.0,,,80-82,,Shooting foul by A. Williams (drawn by T. Satoransky)
9:37.0,,,80-83,1,T. Satoransky makes free throw 1 of 2
9:37.0,,,80-83,,T. Satoransky misses free throw 2 of 2
9:35.0,Defensive rebound by A. Williams,,80-83,,
9:20.0,A. Williams makes 2-pt shot from 3 ft (assist by T. Ulis),2,82-83,,
9:02.0,,,82-83,,B. Beal misses 3-pt shot from 24 ft
9:02.0,Defensive rebound by Team,,82-83,,
9:02.0,E. Bledsoe enters the game for D. Booker,,82-83,,
8:48.0,T. Ulis misses 2-pt shot from 3 ft,,82-83,,
8:46.0,,,82-83,,Defensive rebound by T. Satoransky
8:40.0,,,82-85,2,B. Beal makes 2-pt shot from 2 ft
8:31.0,E. Bledsoe makes 2-pt shot from 3 ft,2,84-85,,
8:10.0,,,84-85,,Turnover by J. Smith (lost ball)
8:10.0,Official timeout,,84-85,,
8:10.0,,,84-85,,M. Gortat enters the game for T. Satoransky
8:10.0,,,84-85,,J. Wall enters the game for J. Smith
7:50.0,E. Bledsoe makes 2-pt shot from 4 ft,2,86-85,,
7:28.0,,,86-87,2,B. Beal makes 2-pt shot from 21 ft
7:10.0,E. Bledsoe makes 2-pt shot from 12 ft,2,88-87,,
6:57.0,Personal foul by L. Barbosa (drawn by B. Beal),,88-87,,
6:48.0,,,88-87,,J. Wall misses 3-pt shot from 23 ft
6:47.0,,,88-87,,Offensive rebound by Team
6:42.0,,,88-87,,M. Thornton misses 3-pt shot from 26 ft
6:42.0,Defensive rebound by J. Dudley,,88-87,,
6:27.0,E. Bledsoe makes 2-pt shot from 11 ft (assist by J. Dudley),2,90-87,,
6:15.0,,,90-89,2,K. Oubre makes 2-pt shot at rim (assist by J. Wall)
6:08.0,E. Bledsoe misses 3-pt shot from 26 ft,,90-89,,
6:07.0,Offensive rebound by A. Williams,,90-89,,
6:06.0,,,90-89,,Personal foul by J. Wall (drawn by A. Williams)
6:06.0,,,90-89,,Violation by Team (jump ball)
6:06.0,,,90-89,,Technical foul by Team
6:06.0,E. Bledsoe makes technical free throw,1,91-89,,
5:53.0,Turnover by A. Williams (lost ball),,91-89,,
5:53.0,,,91-89,,Washington full timeout
5:45.0,D. Booker enters the game for A. Williams,,91-89,,
5:45.0,A. Len enters the game for L. Barbosa,,91-89,,
5:45.0,B. Knight enters the game for T. Ulis,,91-89,,
5:45.0,,,91-89,,M. Morris enters the game for K. Oubre
5:39.0,,,91-89,,Shooting foul by D. Booker (drawn by B. Beal)
5:39.0,,,91-89,,B. Beal misses free throw 1 of 2
5:39.0,,,91-89,,Offensive rebound by Team
