time,Memphis,pts.away,score,pts.home,Atlanta
7:26.0,,,9-12,2,D. Schroder makes 2-pt shot from 2 ft
7:06.0,,,9-12,,Personal foul by T. Sefolosha (drawn by V. Carter)
7:01.0,Turnover by T. Allen (bad pass),,9-12,,
6:52.0,,,9-12,,D. Schroder misses 3-pt shot from 25 ft
6:51.0,Defensive rebound by J. Green,,9-12,,
6:45.0,T. Allen misses 2-pt shot from 2 ft (block by K. Bazemore),,9-12,,
6:45.0,Offensive rebound by Team,,9-12,,
6:39.0,M. Conley makes 2-pt shot from 11 ft,2,11-12,,
6:21.0,,,11-12,,P. Millsap misses 2-pt shot from 13 ft (block by J. Green)
6:19.0,Defensive rebound by J. Green,,11-12,,
6:11.0,M. Gasol makes 3-pt shot from 25 ft (assist by M. Conley),3,14-12,,
6:02.0,,,14-12,,Atlanta full timeout
6:02.0,,,14-12,,T. Hardaway enters the game for T. Sefolosha
6:02.0,A. Harrison enters the game for M. Conley,,14-12,,
5:53.0,,,14-12,,Turnover by D. Howard (traveling)
5:38.0,M. Gasol misses 2-pt shot from 20 ft,,14-12,,
5:36.0,,,14-12,,Defensive rebound by D. Howard
5:27.0,,,14-14,2,P. Millsap makes 2-pt shot from 8 ft
5:19.0,,,14-14,,Personal foul by P. Millsap (drawn by M. Gasol)
5:11.0,M. Gasol misses 2-pt shot from 9 ft,,14-14,,
5:09.0,,,14-14,,Defensive rebound by D. Howard
5:02.0,,,14-14,,D. Schroder misses 3-pt shot from 26 ft
5:01.0,Defensive rebound by J. Green,,14-14,,
4:40.0,T. Allen misses 3-pt shot from 23 ft,,14-14,,
4:38.0,,,14-14,,Defensive rebound by D. Howard
4:30.0,,,14-16,2,D. Schroder makes 2-pt shot from 1 ft (assist by P. Millsap)
4:07.0,J. Green misses 3-pt shot from 25 ft,,14-16,,
4:04.0,Offensive rebound by T. Allen,,14-16,,
4:03.0,Shooting foul by D. Howard (drawn by T. Allen),,14-16,,
4:03.0,T. Allen misses free throw 1 of 2,,14-16,,
4:03.0,Offensive rebound by Team,,14-16,,
4:03.0,T. Allen makes free throw 2 of 2,1,15-16,,
4:03.0,Z. Randolph enters the game for J. Green,,14-16,,
4:03.0,,,14-16,,E. Ilyasova enters the game for D. Howard
4:03.0,,,14-16,,T. Waller-Prince enters the game for K. Bazemore
3:49.0,,,15-16,,T. Waller-Prince misses 3-pt shot from 25 ft
3:48.0,Defensive rebound by M. Gasol,,15-16,,
3:41.0,T. Allen makes 2-pt shot from 2 ft (assist by A. Harrison),2,17-16,,
3:41.0,Violation by Team (jump ball),,17-16,,
3:19.0,,,17-19,3,P. Millsap makes 3-pt shot from 23 ft (assist by D. Schroder)
3:01.0,Shooting foul by E. Ilyasova (drawn by M. Gasol),,17-19,,
3:01.0,M. Gasol makes free throw 1 of 2,1,18-19,,
3:01.0,M. Gasol makes free throw 2 of 2,1,19-19,,
3:01.0,T. Daniels enters the game for V. Carter,,18-19,,
3:01.0,J. Ennis enters the game for T. Allen,,18-19,,
2:45.0,Personal foul by J. Ennis (drawn by T. Hardaway),,19-19,,
2:45.0,Memphis full timeout,,19-19,,
2:45.0,,,19-19,,J. Calderon enters the game for D. Schroder
2:38.0,,,19-19,,Turnover by T. Waller-Prince (traveling)
2:25.0,T. Daniels makes 3-pt shot from 24 ft (assist by A. Harrison),3,22-19,,
2:17.0,,,22-22,3,T. Hardaway makes 3-pt shot from 25 ft (assist by J. Calderon)
1:53.0,Z. Randolph misses 2-pt shot from 20 ft,,22-22,,
1:51.0,,,22-22,,Defensive rebound by J. Calderon
1:40.0,,,22-22,,T. Hardaway misses 2-pt shot from 6 ft
1:38.0,,,22-22,,Offensive rebound by E. Ilyasova
1:38.0,,,22-22,,E. Ilyasova misses 2-pt shot at rim
1:37.0,Defensive rebound by Z. Randolph,,22-22,,
1:30.0,J. Ennis misses 3-pt shot from 23 ft,,22-22,,
1:28.0,,,22-22,,Defensive rebound by T. Waller-Prince
1:18.0,,,22-22,,Shooting foul by J. Ennis (drawn by E. Ilyasova)
1:18.0,,,22-22,,E. Ilyasova misses free throw 1 of 2
1:18.0,,,22-22,,Offensive rebound by Team
1:18.0,,,22-23,1,E. Ilyasova makes free throw 2 of 2
1:18.0,,,22-22,,M. Muscala enters the game for P. Millsap
1:18.0,B. Wright enters the game for M. Gasol,,22-22,,
1:18.0,M. Conley enters the game for A. Harrison,,22-22,,
1:00.0,,,22-23,,Personal foul by M. Muscala (drawn by B. Wright)
1:00.0,B. Wright makes free throw 1 of 2,1,23-23,,
1:00.0,B. Wright makes free throw 2 of 2,1,24-23,,
0:48.0,,,24-26,3,E. Ilyasova makes 3-pt shot from 24 ft (assist by T. Hardaway)
0:36.0,Z. Randolph makes 2-pt shot at rim (assist by B. Wright),2,26-26,,
0:30.0,,,26-28,2,T. Hardaway makes 2-pt shot at rim
0:11.0,M. Conley misses 3-pt shot from 25 ft,,26-28,,
0:09.0,Offensive rebound by B. Wright,,26-28,,
0:00.0,T. Daniels misses 3-pt shot from 26 ft,,26-28,,
0:00.0,Offensive rebound by Team,,26-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,Z. Randolph makes 2-pt shot from 20 ft,2,28-28,,
11:33.0,,,28-31,3,T. Waller-Prince makes 3-pt shot from 24 ft (assist by T. Hardaway)
11:11.0,Z. Randolph misses 2-pt shot from 6 ft (block by T. Waller-Prince),,28-31,,
11:07.0,,,28-31,,Defensive rebound by T. Hardaway
11:03.0,,,28-31,,T. Waller-Prince misses 3-pt shot from 25 ft
11:01.0,Defensive rebound by M. Conley,,28-31,,
10:53.0,M. Conley misses 2-pt shot from 1 ft,,28-31,,
10:53.0,Offensive rebound by Team,,28-31,,
10:50.0,M. Conley misses 2-pt shot from 17 ft,,28-31,,
10:49.0,,,28-31,,Defensive rebound by E. Ilyasova
10:44.0,,,28-31,,Turnover by E. Ilyasova (offensive foul)
10:44.0,,,28-31,,Offensive foul by E. Ilyasova
10:44.0,,,28-31,,D. Howard enters the game for E. Ilyasova
10:25.0,Shooting foul by M. Muscala (drawn by M. Conley),,28-31,,
10:25.0,M. Conley makes free throw 1 of 2,1,29-31,,
10:25.0,M. Conley makes free throw 2 of 2,1,30-31,,
10:19.0,,,30-31,,Offensive foul by M. Muscala
10:19.0,,,30-31,,Turnover by M. Muscala (offensive foul)
10:11.0,B. Wright makes 2-pt shot at rim (assist by M. Conley),2,32-31,,
10:01.0,,,32-33,2,D. Howard makes 2-pt shot from 9 ft (assist by J. Calderon)
9:49.0,B. Wright makes 2-pt shot from 7 ft (assist by M. Conley),2,34-33,,
9:37.0,,,34-35,2,D. Howard makes 2-pt shot from 4 ft (assist by T. Hardaway)
9:17.0,Turnover by Z. Randolph (lost ball; steal by T. Hardaway),,34-35,,
9:12.0,,,34-38,3,T. Hardaway makes 3-pt shot from 25 ft (assist by T. Waller-Prince)
8:52.0,T. Daniels misses 3-pt shot from 24 ft,,34-38,,
8:51.0,,,34-38,,Defensive rebound by M. Muscala
8:36.0,,,34-40,2,D. Howard makes 2-pt shot at rim (assist by M. Muscala)
8:27.0,Memphis full timeout,,34-40,,
8:27.0,M. Gasol enters the game for Z. Randolph,,34-40,,
8:14.0,M. Conley makes 2-pt shot from 17 ft,2,36-40,,
8:00.0,,,36-40,,M. Muscala misses 3-pt shot from 25 ft
7:58.0,Defensive rebound by T. Daniels,,36-40,,
7:38.0,B. Wright makes 2-pt shot from 2 ft (assist by M. Gasol),2,38-40,,
7:22.0,Personal foul by M. Gasol (drawn by D. Howard),,38-40,,
7:22.0,,,38-40,,D. Schroder enters the game for J. Calderon
7:18.0,,,38-40,,T. Hardaway misses 3-pt shot from 25 ft
7:17.0,Defensive rebound by M. Gasol,,38-40,,
7:02.0,J. Ennis makes 3-pt shot from 24 ft (assist by M. Gasol),3,41-40,,
6:49.0,,,41-42,2,T. Waller-Prince makes 2-pt shot from 15 ft (assist by D. Howard)
6:29.0,M. Gasol makes 3-pt shot from 24 ft (assist by M. Conley),3,44-42,,
6:28.0,,,44-42,,Atlanta full timeout
6:28.0,J. Green enters the game for T. Daniels,,44-42,,
6:28.0,V. Carter enters the game for B. Wright,,44-42,,
6:28.0,,,44-42,,P. Millsap enters the game for M. Muscala
6:17.0,,,44-42,,D. Schroder misses 2-pt shot from 18 ft
6:15.0,Defensive rebound by M. Gasol,,44-42,,
5:56.0,J. Ennis misses 2-pt shot from 2 ft (block by D. Howard),,44-42,,
5:54.0,,,44-42,,Defensive rebound by T. Waller-Prince
5:43.0,,,44-42,,D. Schroder misses 2-pt shot from 2 ft
5:41.0,,,44-42,,Offensive rebound by D. Schroder
5:35.0,,,44-42,,Shooting foul by M. Gasol (drawn by D. Howard)
5:35.0,,,44-43,1,D. Howard makes free throw 1 of 2
5:35.0,,,44-43,,D. Howard misses free throw 2 of 2
5:35.0,,,44-43,,T. Sefolosha enters the game for T. Hardaway
5:35.0,,,44-43,,K. Bazemore enters the game for T. Waller-Prince
5:35.0,T. Allen enters the game for M. Conley,,44-43,,
5:35.0,A. Harrison enters the game for J. Ennis,,44-43,,
5:34.0,Defensive rebound by J. Green,,44-43,,
5:21.0,Shooting foul by D. Howard (drawn by V. Carter),,44-43,,
5:21.0,V. Carter misses free throw 1 of 2,,44-43,,
5:21.0,Offensive rebound by Team,,44-43,,
5:21.0,V. Carter makes free throw 2 of 2,1,45-43,,
5:08.0,,,45-43,,Turnover by D. Schroder (bad pass; steal by A. Harrison)
5:00.0,M. Gasol misses 3-pt shot from 25 ft,,45-43,,
4:58.0,Offensive rebound by J. Green,,45-43,,
4:42.0,A. Harrison misses 3-pt shot from 25 ft,,45-43,,
4:41.0,,,45-43,,Defensive rebound by T. Sefolosha
4:35.0,,,45-43,,Shooting foul by T. Allen (drawn by T. Sefolosha)
4:35.0,,,45-44,1,T. Sefolosha makes free throw 1 of 2
4:35.0,,,45-45,1,T. Sefolosha makes free throw 2 of 2
4:18.0,V. Carter makes 2-pt shot from 6 ft,2,47-45,,
4:18.0,Violation by Team (jump ball),,47-45,,
4:18.0,Technical foul by Team,,47-45,,
4:18.0,,,47-46,1,D. Schroder makes technical free throw
4:02.0,,,47-46,,Shooting foul by J. Green (drawn by D. Howard)
4:02.0,,,47-47,1,D. Howard makes free throw 1 of 2
4:02.0,,,47-47,,D. Howard misses free throw 2 of 2
4:01.0,Defensive rebound by M. Gasol,,47-47,,
3:44.0,M. Gasol misses 2-pt shot from 8 ft,,47-47,,
3:43.0,,,47-47,,Defensive rebound by D. Howard
3:30.0,,,47-47,,Turnover by P. Millsap (traveling)
3:07.0,A. Harrison makes 3-pt shot from 25 ft (assist by M. Gasol),3,50-47,,
2:50.0,,,50-47,,Shooting foul by J. Green (drawn by K. Bazemore)
2:50.0,Official timeout,,50-47,,
2:50.0,,,50-48,1,K. Bazemore makes free throw 1 of 2
2:50.0,,,50-49,1,K. Bazemore makes free throw 2 of 2
2:30.0,J. Green misses 2-pt shot from 19 ft,,50-49,,
2:29.0,,,50-49,,Defensive rebound by D. Schroder
2:07.0,,,50-51,2,K. Bazemore makes 2-pt shot from 10 ft (assist by D. Schroder)
1:45.0,J. Green makes 3-pt shot from 23 ft (assist by M. Gasol),3,53-51,,
1:33.0,,,53-51,,D. Schroder misses 2-pt shot from 18 ft
1:30.0,Defensive rebound by M. Gasol,,53-51,,
1:18.0,Turnover by V. Carter (lost ball; steal by T. Sefolosha),,53-51,,
1:12.0,,,53-51,,D. Schroder misses 3-pt shot from 23 ft
1:09.0,Defensive rebound by A. Harrison,,53-51,,
0:52.0,Turnover by J. Green (bad pass),,53-51,,
0:52.0,M. Conley enters the game for A. Harrison,,53-51,,
0:52.0,,,53-51,,E. Ilyasova enters the game for D. Howard
0:52.0,,,53-51,,T. Hardaway enters the game for T. Sefolosha
0:41.0,,,53-51,,D. Schroder misses 2-pt shot from 2 ft (block by J. Green)
0:41.0,Defensive rebound by Team,,53-51,,
0:31.0,M. Conley misses 2-pt shot from 2 ft,,53-51,,
0:30.0,,,53-51,,Defensive rebound by P. Millsap
0:07.0,,,53-51,,T. Hardaway misses 3-pt shot from 23 ft
0:07.0,,,53-51,,Offensive rebound by Team
0:07.0,Loose ball foul by V. Carter (drawn by K. Bazemore),,53-51,,
0:07.0,,,53-52,1,K. Bazemore makes free throw 1 of 2
0:07.0,,,53-52,,K. Bazemore misses free throw 2 of 2
0:07.0,Defensive rebound by Team,,53-52,,
0:07.0,,,53-52,,M. Muscala enters the game for E. Ilyasova
0:07.0,T. Daniels enters the game for T. Allen,,53-52,,
0:03.0,M. Conley misses 2-pt shot from 1 ft,,53-52,,
0:02.0,Offensive rebound by J. Green,,53-52,,
0:02.0,J. Green makes 2-pt shot at rim,2,55-52,,
0:01.0,,,55-52,,T. Hardaway misses 3-pt shot from 69 ft
0:00.0,,,55-52,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,M. Conley makes 2-pt shot from 19 ft (assist by M. Gasol),2,57-52,,
11:17.0,,,57-52,,P. Millsap misses 2-pt shot from 9 ft
11:14.0,Defensive rebound by J. Green,,57-52,,
11:08.0,M. Conley makes 3-pt shot from 25 ft,3,60-52,,
10:49.0,,,60-54,2,D. Schroder makes 2-pt shot from 17 ft (assist by T. Sefolosha)
10:34.0,Turnover by M. Conley (bad pass; steal by D. Schroder),,60-54,,
10:29.0,,,60-54,,D. Schroder misses 2-pt shot from 12 ft
10:25.0,Defensive rebound by J. Green,,60-54,,
10:10.0,M. Conley misses 3-pt shot from 24 ft,,60-54,,
10:09.0,,,60-54,,Defensive rebound by D. Howard
9:47.0,,,60-54,,P. Millsap misses 2-pt shot from 16 ft (block by V. Carter)
9:43.0,Defensive rebound by J. Green,,60-54,,
9:37.0,M. Gasol misses 3-pt shot from 25 ft,,60-54,,
9:35.0,,,60-54,,Defensive rebound by P. Millsap
9:18.0,,,60-54,,Shooting foul by T. Allen (drawn by D. Howard)
9:18.0,,,60-54,,Technical foul by P. Millsap
9:18.0,M. Conley makes technical free throw,1,61-54,,
9:18.0,,,61-55,1,D. Howard makes free throw 1 of 2
9:18.0,,,61-56,1,D. Howard makes free throw 2 of 2
9:05.0,J. Green makes 2-pt shot from 18 ft (assist by M. Gasol),2,63-56,,
8:45.0,,,63-56,,T. Hardaway enters the game for T. Sefolosha
8:38.0,,,63-56,,K. Bazemore misses 3-pt shot from 24 ft
8:38.0,,,63-56,,Offensive rebound by Team
8:38.0,,,63-56,,Turnover by Team (shot clock)
8:25.0,,,63-56,,Personal foul by P. Millsap (drawn by M. Gasol)
8:11.0,J. Green misses 3-pt shot from 24 ft,,63-56,,
8:10.0,,,63-56,,Defensive rebound by D. Schroder
8:05.0,Personal foul by J. Green (drawn by D. Howard),,63-56,,
8:00.0,,,63-56,,Turnover by P. Millsap (lost ball)
7:44.0,T. Allen makes 3-pt shot from 24 ft (assist by M. Gasol),3,66-56,,
7:36.0,,,66-56,,Atlanta full timeout
7:28.0,,,66-56,,P. Millsap misses 3-pt shot from 25 ft
7:26.0,,,66-56,,Offensive rebound by D. Howard
7:23.0,,,66-56,,D. Schroder misses 3-pt shot from 25 ft
7:22.0,Defensive rebound by J. Green,,66-56,,
7:05.0,M. Gasol misses 2-pt shot from 7 ft,,66-56,,
7:03.0,Offensive rebound by T. Allen,,66-56,,
7:03.0,T. Allen makes 2-pt shot at rim,2,68-56,,
6:50.0,,,68-56,,T. Waller-Prince enters the game for D. Schroder
6:40.0,,,68-56,,P. Millsap misses 2-pt shot from 7 ft (block by V. Carter)
6:40.0,,,68-56,,Offensive rebound by Team
6:35.0,,,68-56,,P. Millsap misses 2-pt shot from 15 ft
6:34.0,Defensive rebound by M. Gasol,,68-56,,
6:32.0,Turnover by M. Gasol (bad pass; steal by K. Bazemore),,68-56,,
6:28.0,,,68-56,,T. Hardaway misses 3-pt shot from 25 ft
6:26.0,,,68-56,,Offensive rebound by D. Howard
6:26.0,Personal foul by M. Gasol (drawn by D. Howard),,68-56,,
6:20.0,,,68-58,2,K. Bazemore makes 2-pt shot from 1 ft (assist by P. Millsap)
5:55.0,M. Conley makes 2-pt shot from 2 ft,2,70-58,,
5:39.0,,,70-58,,Turnover by P. Millsap (bad pass)
5:25.0,J. Green makes 2-pt shot from 15 ft (assist by M. Conley),2,72-58,,
5:07.0,,,72-58,,Shooting foul by J. Green (drawn by P. Millsap)
5:07.0,,,72-58,,P. Millsap misses free throw 1 of 2
5:07.0,,,72-58,,Offensive rebound by Team
5:07.0,,,72-59,1,P. Millsap makes free throw 2 of 2
5:07.0,Z. Randolph enters the game for J. Green,,72-58,,
5:07.0,A. Harrison enters the game for M. Conley,,72-58,,
5:07.0,,,72-58,,E. Ilyasova enters the game for D. Howard
4:44.0,Z. Randolph misses 2-pt shot from 5 ft,,72-59,,
4:42.0,,,72-59,,Defensive rebound by T. Waller-Prince
4:35.0,,,72-59,,Turnover by T. Waller-Prince (bad pass; steal by T. Allen)
4:27.0,T. Allen makes 2-pt shot from 1 ft (assist by V. Carter),2,74-59,,
4:13.0,,,74-59,,T. Hardaway misses 3-pt shot from 24 ft
4:12.0,Defensive rebound by Z. Randolph,,74-59,,
3:59.0,Turnover by Team (5 sec inbounds),,74-59,,
3:46.0,,,74-59,,K. Bazemore misses 3-pt shot from 25 ft
3:44.0,,,74-59,,Offensive rebound by E. Ilyasova
3:42.0,,,74-59,,E. Ilyasova misses 2-pt shot from 4 ft
3:41.0,Defensive rebound by M. Gasol,,74-59,,
3:21.0,A. Harrison makes 2-pt shot from 16 ft,2,76-59,,
3:05.0,,,76-59,,Shooting foul by T. Allen (drawn by P. Millsap)
3:05.0,,,76-59,,P. Millsap misses free throw 1 of 2
3:05.0,,,76-59,,Offensive rebound by Team
3:05.0,,,76-60,1,P. Millsap makes free throw 2 of 2
3:05.0,J. Ennis enters the game for T. Allen,,76-59,,
3:05.0,T. Daniels enters the game for V. Carter,,76-59,,
3:05.0,,,76-59,,D. Schroder enters the game for K. Bazemore
2:46.0,M. Gasol misses 2-pt shot from 16 ft,,76-60,,
2:45.0,,,76-60,,Defensive rebound by T. Waller-Prince
2:34.0,,,76-60,,D. Schroder misses 2-pt shot from 18 ft
2:31.0,Defensive rebound by M. Gasol,,76-60,,
2:15.0,J. Ennis misses 2-pt shot from 3 ft (block by T. Waller-Prince),,76-60,,
2:13.0,,,76-60,,Defensive rebound by T. Hardaway
1:58.0,,,76-60,,T. Hardaway misses 3-pt shot from 25 ft
1:56.0,Defensive rebound by Z. Randolph,,76-60,,
1:52.0,Memphis full timeout,,76-60,,
1:52.0,B. Wright enters the game for M. Gasol,,76-60,,
1:52.0,M. Conley enters the game for A. Harrison,,76-60,,
1:40.0,M. Conley misses 2-pt shot from 12 ft,,76-60,,
1:38.0,Offensive rebound by M. Conley,,76-60,,
1:36.0,M. Conley misses 2-pt shot from 5 ft,,76-60,,
1:36.0,Offensive rebound by B. Wright,,76-60,,
1:36.0,,,76-60,,Personal foul by T. Waller-Prince (drawn by B. Wright)
1:18.0,J. Ennis makes 2-pt shot from 18 ft (assist by Z. Randolph),2,78-60,,
0:54.0,,,78-60,,Shooting foul by B. Wright (drawn by T. Hardaway)
0:54.0,,,78-61,1,T. Hardaway makes free throw 1 of 2
0:54.0,,,78-62,1,T. Hardaway makes free throw 2 of 2
0:40.0,T. Daniels misses 2-pt shot from 3 ft,,78-62,,
0:37.0,Offensive rebound by T. Daniels,,78-62,,
0:20.0,Z. Randolph misses 2-pt shot from 3 ft,,78-62,,
0:18.0,Offensive rebound by Z. Randolph,,78-62,,
0:17.0,Z. Randolph misses 2-pt shot from 1 ft,,78-62,,
0:16.0,,,78-62,,Defensive rebound by T. Hardaway
0:03.0,,,78-64,2,T. Hardaway makes 2-pt shot from 1 ft
0:03.0,,,78-64,,Shooting foul by T. Daniels (drawn by T. Hardaway)
0:03.0,,,78-65,1,T. Hardaway makes free throw 1 of 1
0:00.0,M. Conley misses 3-pt shot from 36 ft,,78-65,,
0:00.0,Offensive rebound by Team,,78-65,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,78-65,,D. Schroder misses 2-pt shot from 2 ft
11:42.0,Defensive rebound by T. Daniels,,78-65,,
11:26.0,Z. Randolph misses 3-pt shot from 24 ft,,78-65,,
11:25.0,,,78-65,,Defensive rebound by E. Ilyasova
11:16.0,,,78-65,,D. Howard misses 2-pt shot from 3 ft
11:13.0,Defensive rebound by J. Ennis,,78-65,,
10:57.0,T. Daniels makes 3-pt shot from 24 ft (assist by M. Conley),3,81-65,,
10:42.0,Personal foul by Z. Randolph (drawn by D. Howard),,81-65,,
10:42.0,,,81-65,,K. Bazemore enters the game for D. Schroder
10:42.0,,,81-65,,J. Calderon enters the game for T. Hardaway
10:40.0,,,81-65,,Turnover by T. Waller-Prince (bad pass; steal by M. Conley)
10:39.0,Shooting foul by J. Calderon (drawn by M. Conley),,81-65,,
10:39.0,M. Conley misses free throw 1 of 2,,81-65,,
10:39.0,Offensive rebound by Team,,81-65,,
10:39.0,M. Conley makes free throw 2 of 2,1,82-65,,
10:31.0,,,82-65,,Turnover by J. Calderon (bad pass)
10:21.0,T. Daniels misses 2-pt shot from 7 ft,,82-65,,
10:20.0,,,82-65,,Defensive rebound by D. Howard
10:11.0,,,82-65,,Turnover by D. Howard (3 sec)
10:02.0,Z. Randolph misses 2-pt shot at rim (block by D. Howard),,82-65,,
9:58.0,Offensive rebound by M. Conley,,82-65,,
9:55.0,B. Wright misses 2-pt shot from 2 ft (block by T. Waller-Prince),,82-65,,
9:55.0,Offensive rebound by B. Wright,,82-65,,
9:55.0,Shooting foul by T. Waller-Prince (drawn by B. Wright),,82-65,,
9:55.0,B. Wright makes free throw 1 of 2,1,83-65,,
9:55.0,B. Wright makes free throw 2 of 2,1,84-65,,
9:44.0,,,84-65,,J. Calderon misses 3-pt shot from 23 ft
9:42.0,,,84-65,,Offensive rebound by D. Howard
9:42.0,,,84-65,,D. Howard misses 2-pt shot from 1 ft (block by J. Ennis)
9:42.0,,,84-65,,Offensive rebound by Team
9:33.0,,,84-65,,E. Ilyasova misses 2-pt shot from 11 ft
9:32.0,,,84-65,,Offensive rebound by E. Ilyasova
9:31.0,,,84-67,2,E. Ilyasova makes 2-pt shot from 4 ft
9:15.0,,,84-67,,Personal foul by K. Bazemore (drawn by B. Wright)
9:01.0,Turnover by T. Daniels (lost ball),,84-67,,
9:01.0,Loose ball foul by T. Daniels (drawn by K. Bazemore),,84-67,,
8:54.0,,,84-67,,Offensive foul by D. Howard
8:54.0,,,84-67,,Turnover by D. Howard (offensive foul)
8:54.0,Official timeout,,84-67,,
8:54.0,,,84-67,,T. Hardaway enters the game for E. Ilyasova
8:33.0,T. Daniels misses 3-pt shot from 26 ft,,84-67,,
8:32.0,,,84-67,,Defensive rebound by J. Calderon
8:28.0,Shooting block foul by T. Daniels (drawn by T. Waller-Prince),,84-67,,
8:28.0,,,84-68,1,T. Waller-Prince makes free throw 1 of 2
8:28.0,,,84-69,1,T. Waller-Prince makes free throw 2 of 2
8:28.0,M. Gasol enters the game for B. Wright,,84-68,,
8:13.0,Z. Randolph makes 2-pt shot from 1 ft (assist by J. Ennis),2,86-69,,
8:07.0,Personal foul by J. Ennis (drawn by K. Bazemore),,86-69,,
7:53.0,,,86-71,2,T. Hardaway makes 2-pt shot at rim
7:32.0,Z. Randolph makes 2-pt shot from 6 ft (assist by M. Gasol),2,88-71,,
7:19.0,,,88-74,3,T. Waller-Prince makes 3-pt shot from 25 ft (assist by J. Calderon)
6:58.0,Z. Randolph misses 2-pt shot from 1 ft (block by T. Waller-Prince),,88-74,,
6:56.0,Offensive rebound by Z. Randolph,,88-74,,
6:56.0,Z. Randolph misses 2-pt shot from 2 ft,,88-74,,
6:55.0,,,88-74,,Defensive rebound by J. Calderon
6:50.0,Personal foul by M. Conley (drawn by K. Bazemore),,88-74,,
6:50.0,,,88-75,1,K. Bazemore makes free throw 1 of 2
6:50.0,,,88-76,1,K. Bazemore makes free throw 2 of 2
6:50.0,J. Green enters the game for Z. Randolph,,88-75,,
6:37.0,M. Conley misses 2-pt shot from 2 ft,,88-76,,
6:35.0,Offensive rebound by J. Green,,88-76,,
6:34.0,J. Green misses 2-pt shot at rim (block by D. Howard),,88-76,,
6:32.0,,,88-76,,Defensive rebound by D. Howard
6:28.0,Violation by J. Ennis (def goaltending),,88-76,,
6:28.0,,,88-78,2,T. Hardaway makes 2-pt shot from 2 ft
6:28.0,Memphis full timeout,,88-78,,
6:28.0,T. Allen enters the game for T. Daniels,,88-78,,
6:28.0,V. Carter enters the game for J. Ennis,,88-78,,
6:15.0,M. Gasol makes 2-pt shot from 20 ft (assist by M. Conley),2,90-78,,
6:07.0,Personal foul by V. Carter (drawn by T. Hardaway),,90-78,,
6:07.0,,,90-78,,T. Hardaway misses free throw 1 of 2
6:07.0,,,90-78,,Offensive rebound by Team
6:07.0,,,90-79,1,T. Hardaway makes free throw 2 of 2
5:54.0,M. Gasol makes 2-pt shot from 20 ft (assist by M. Conley),2,92-79,,
5:43.0,,,92-79,,Shooting foul by V. Carter (drawn by K. Bazemore)
5:43.0,,,92-80,1,K. Bazemore makes free throw 1 of 2
5:43.0,,,92-80,,K. Bazemore misses free throw 2 of 2
5:41.0,Defensive rebound by J. Green,,92-80,,
5:27.0,M. Conley misses 2-pt shot from 3 ft,,92-80,,
