time,LA Clippers,pts.away,score,pts.home,Atlanta
5:43.0,,,15-12,,Turnover by D. Schroder (bad pass; steal by L. Mbah a Moute)
5:30.0,A. Rivers makes 2-pt shot from 2 ft,2,17-12,,
5:14.0,,,17-14,2,P. Millsap makes 2-pt shot from 2 ft (assist by D. Schroder)
4:52.0,L. Mbah a Moute makes 3-pt shot from 24 ft (assist by J. Redick),3,20-14,,
4:41.0,,,20-14,,K. Humphries misses 3-pt shot from 24 ft
4:40.0,Defensive rebound by D. Jordan,,20-14,,
4:30.0,L. Mbah a Moute misses 2-pt shot from 20 ft,,20-14,,
4:29.0,,,20-14,,Defensive rebound by K. Humphries
4:18.0,Violation by L. Mbah a Moute (kicked ball),,20-14,,
4:18.0,J. Crawford enters the game for A. Rivers,,20-14,,
4:04.0,,,20-14,,Turnover by T. Hardaway (lost ball; steal by J. Redick)
4:02.0,Shooting foul by T. Hardaway (drawn by L. Mbah a Moute),,20-14,,
4:02.0,L. Mbah a Moute misses free throw 1 of 2,,20-14,,
4:02.0,Offensive rebound by Team,,20-14,,
4:02.0,L. Mbah a Moute makes free throw 2 of 2,1,21-14,,
4:02.0,,,20-14,,M. Dunleavy enters the game for T. Sefolosha
3:46.0,,,21-14,,T. Hardaway misses 3-pt shot from 25 ft
3:45.0,,,21-14,,Offensive rebound by K. Humphries
3:29.0,,,21-17,3,M. Dunleavy makes 3-pt shot from 25 ft (assist by T. Hardaway)
3:06.0,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by J. Crawford),2,23-17,,
2:55.0,,,23-17,,Shooting foul by L. Mbah a Moute (drawn by P. Millsap)
2:55.0,LA Clippers full timeout,,23-17,,
2:55.0,,,23-18,1,P. Millsap makes free throw 1 of 2
2:55.0,,,23-19,1,P. Millsap makes free throw 2 of 2
2:55.0,,,23-19,,Personal take foul by M. Dunleavy (drawn by D. Jordan)
2:55.0,D. Jordan misses free throw 1 of 2,,23-19,,
2:55.0,Offensive rebound by Team,,23-19,,
2:55.0,D. Jordan misses free throw 2 of 2,,23-19,,
2:55.0,B. Bass enters the game for L. Mbah a Moute,,23-17,,
2:55.0,,,23-17,,M. Delaney enters the game for D. Schroder
2:55.0,A. Rivers enters the game for J. Redick,,23-19,,
2:54.0,,,23-19,,Defensive rebound by K. Humphries
2:40.0,,,23-21,2,T. Hardaway makes 2-pt shot from 2 ft
2:33.0,,,23-21,,Personal take foul by M. Dunleavy (drawn by D. Jordan)
2:33.0,D. Jordan makes free throw 1 of 2,1,24-21,,
2:33.0,D. Jordan makes free throw 2 of 2,1,25-21,,
2:33.0,W. Johnson enters the game for R. Felton,,24-21,,
2:23.0,Personal foul by J. Crawford (drawn by M. Dunleavy),,25-21,,
2:23.0,M. Speights enters the game for D. Jordan,,25-21,,
2:11.0,,,25-21,,T. Hardaway misses 2-pt shot from 19 ft
2:09.0,Defensive rebound by M. Speights,,25-21,,
2:01.0,J. Crawford misses 2-pt shot from 11 ft,,25-21,,
2:00.0,Offensive rebound by W. Johnson,,25-21,,
2:00.0,W. Johnson makes 2-pt shot at rim,2,27-21,,
1:46.0,,,27-21,,P. Millsap misses 3-pt shot from 25 ft
1:44.0,Defensive rebound by W. Johnson,,27-21,,
1:26.0,A. Rivers makes 3-pt shot from 25 ft,3,30-21,,
1:04.0,,,30-21,,P. Millsap misses 2-pt shot from 7 ft
1:03.0,Defensive rebound by W. Johnson,,30-21,,
0:51.0,A. Rivers misses 3-pt shot from 25 ft,,30-21,,
0:49.0,,,30-21,,Defensive rebound by M. Dunleavy
0:49.0,Personal foul by A. Rivers (drawn by M. Dunleavy),,30-21,,
0:32.0,,,30-21,,M. Delaney misses 2-pt shot from 21 ft
0:29.0,Defensive rebound by J. Crawford,,30-21,,
0:10.0,J. Crawford misses 2-pt shot from 16 ft,,30-21,,
0:09.0,,,30-21,,Defensive rebound by M. Delaney
0:00.0,,,30-21,,P. Millsap misses 3-pt shot from 24 ft
0:00.0,,,30-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
12:00.0,Violation by Team (jump ball),,30-21,,
11:41.0,J. Crawford misses 2-pt shot from 13 ft,,30-21,,
11:39.0,Offensive rebound by B. Bass,,30-21,,
11:32.0,Turnover by B. Bass (traveling),,30-21,,
11:21.0,,,30-21,,Offensive foul by M. Scott
11:21.0,,,30-21,,Turnover by M. Scott (offensive foul)
11:04.0,B. Bass misses 2-pt shot from 16 ft,,30-21,,
11:02.0,Offensive rebound by Team,,30-21,,
10:46.0,Turnover by A. Rivers (bad pass; steal by T. Hardaway),,30-21,,
10:44.0,,,30-21,,Shooting foul by M. Speights (drawn by T. Hardaway)
10:44.0,,,30-21,,T. Hardaway misses free throw 1 of 2
10:44.0,,,30-21,,Offensive rebound by Team
10:44.0,,,30-22,1,T. Hardaway makes free throw 2 of 2
10:32.0,W. Johnson misses 3-pt shot from 25 ft,,30-22,,
10:31.0,,,30-22,,Defensive rebound by D. Howard
10:22.0,,,30-22,,D. Howard misses 2-pt shot from 2 ft
10:20.0,Defensive rebound by W. Johnson,,30-22,,
10:14.0,J. Crawford makes 2-pt shot from 19 ft,2,32-22,,
9:57.0,,,32-22,,T. Hardaway misses 3-pt shot from 24 ft
9:56.0,Defensive rebound by A. Rivers,,32-22,,
9:49.0,W. Johnson misses 2-pt shot from 9 ft,,32-22,,
9:48.0,Offensive rebound by W. Johnson,,32-22,,
9:46.0,W. Johnson makes 2-pt shot from 16 ft,2,34-22,,
9:21.0,,,34-22,,M. Delaney misses 3-pt shot from 24 ft
9:19.0,Defensive rebound by B. Bass,,34-22,,
9:08.0,Shooting foul by M. Scott (drawn by B. Bass),,34-22,,
9:08.0,B. Bass makes free throw 1 of 2,1,35-22,,
9:08.0,B. Bass makes free throw 2 of 2,1,36-22,,
9:08.0,,,35-22,,K. Bazemore enters the game for T. Hardaway
8:58.0,,,36-24,2,D. Howard makes 2-pt shot from 5 ft (assist by M. Delaney)
8:58.0,,,36-24,,Shooting foul by M. Speights (drawn by D. Howard)
8:58.0,Official timeout,,36-24,,
8:58.0,,,36-25,1,D. Howard makes free throw 1 of 1
8:39.0,M. Speights makes 3-pt shot from 25 ft (assist by A. Rivers),3,39-25,,
8:25.0,,,39-25,,M. Scott misses 2-pt shot from 15 ft (block by B. Bass)
8:25.0,,,39-25,,Offensive rebound by Team
8:19.0,,,39-25,,M. Delaney misses 2-pt shot from 22 ft
8:18.0,Defensive rebound by W. Johnson,,39-25,,
8:10.0,J. Crawford misses 2-pt shot from 19 ft,,39-25,,
8:09.0,,,39-25,,Defensive rebound by D. Howard
8:00.0,,,39-25,,Turnover by K. Bazemore (bad pass; steal by W. Johnson)
7:50.0,A. Rivers makes 2-pt shot from 2 ft,2,41-25,,
7:38.0,Personal foul by M. Speights (drawn by D. Howard),,41-25,,
7:38.0,,,41-25,,P. Millsap enters the game for M. Scott
7:38.0,,,41-25,,D. Schroder enters the game for M. Dunleavy
7:38.0,D. Jordan enters the game for M. Speights,,41-25,,
7:31.0,,,41-25,,P. Millsap misses 2-pt shot from 6 ft
7:30.0,Defensive rebound by A. Rivers,,41-25,,
7:22.0,J. Crawford makes 3-pt shot from 24 ft (assist by A. Rivers),3,44-25,,
7:21.0,,,44-25,,Atlanta full timeout
7:21.0,L. Mbah a Moute enters the game for B. Bass,,44-25,,
7:21.0,,,44-25,,T. Sefolosha enters the game for M. Delaney
7:04.0,,,44-25,,Turnover by D. Howard (lost ball)
6:51.0,W. Johnson misses 2-pt shot from 16 ft,,44-25,,
6:48.0,,,44-25,,Defensive rebound by D. Schroder
6:42.0,,,44-25,,Shooting foul by D. Jordan (drawn by D. Howard)
6:42.0,,,44-25,,D. Howard misses free throw 1 of 2
6:42.0,,,44-25,,Offensive rebound by Team
6:42.0,,,44-26,1,D. Howard makes free throw 2 of 2
6:42.0,J. Redick enters the game for W. Johnson,,44-25,,
6:28.0,Shooting foul by P. Millsap (drawn by D. Jordan),,44-26,,
6:28.0,D. Jordan misses free throw 1 of 2,,44-26,,
6:28.0,Offensive rebound by Team,,44-26,,
6:28.0,D. Jordan makes free throw 2 of 2,1,45-26,,
6:28.0,R. Felton enters the game for J. Crawford,,44-26,,
6:15.0,,,45-26,,D. Schroder misses 2-pt shot at rim (block by L. Mbah a Moute)
6:13.0,,,45-26,,Offensive rebound by D. Schroder
6:08.0,,,45-26,,K. Bazemore misses 3-pt shot from 26 ft
6:07.0,Defensive rebound by D. Jordan,,45-26,,
6:00.0,Shooting foul by K. Bazemore (drawn by A. Rivers),,45-26,,
6:00.0,A. Rivers makes free throw 1 of 2,1,46-26,,
6:00.0,A. Rivers makes free throw 2 of 2,1,47-26,,
5:45.0,Personal foul by R. Felton (drawn by P. Millsap),,47-26,,
5:45.0,,,47-27,1,P. Millsap makes free throw 1 of 2
5:45.0,,,47-28,1,P. Millsap makes free throw 2 of 2
5:26.0,A. Rivers misses 3-pt shot from 26 ft,,47-28,,
5:24.0,Offensive rebound by J. Redick,,47-28,,
5:13.0,J. Redick makes 3-pt shot from 27 ft (assist by A. Rivers),3,50-28,,
4:54.0,,,50-31,3,T. Sefolosha makes 3-pt shot from 24 ft (assist by D. Howard)
4:45.0,LA Clippers full timeout,,50-31,,
4:33.0,J. Redick makes 3-pt shot from 24 ft (assist by A. Rivers),3,53-31,,
4:19.0,,,53-31,,Turnover by K. Bazemore (bad pass)
4:03.0,Turnover by A. Rivers (discontinued dribble),,53-31,,
3:56.0,,,53-33,2,P. Millsap makes 2-pt shot from 20 ft (assist by D. Schroder)
3:38.0,R. Felton makes 2-pt shot from 17 ft,2,55-33,,
3:25.0,,,55-33,,K. Bazemore misses 2-pt shot from 1 ft
3:24.0,,,55-33,,Offensive rebound by Team
3:22.0,,,55-33,,Turnover by D. Schroder (offensive foul)
3:22.0,,,55-33,,Offensive foul by D. Schroder
3:09.0,Turnover by R. Felton (bad pass; steal by P. Millsap),,55-33,,
3:04.0,,,55-33,,K. Bazemore misses 3-pt shot from 25 ft
3:01.0,Defensive rebound by A. Rivers,,55-33,,
2:49.0,R. Felton misses 2-pt shot at rim,,55-33,,
2:48.0,,,55-33,,Defensive rebound by D. Howard
2:45.0,,,55-35,2,T. Sefolosha makes 2-pt shot at rim (assist by D. Howard)
2:26.0,J. Redick misses 2-pt shot from 17 ft,,55-35,,
2:25.0,,,55-35,,Defensive rebound by D. Schroder
2:19.0,,,55-35,,D. Schroder misses 3-pt shot from 25 ft
2:17.0,Defensive rebound by A. Rivers,,55-35,,
2:13.0,A. Rivers misses 2-pt shot from 1 ft,,55-35,,
2:11.0,,,55-35,,Defensive rebound by D. Schroder
2:00.0,,,55-38,3,K. Bazemore makes 3-pt shot from 23 ft (assist by P. Millsap)
1:58.0,LA Clippers full timeout,,55-38,,
1:58.0,,,55-38,,T. Hardaway enters the game for K. Bazemore
1:58.0,J. Crawford enters the game for A. Rivers,,55-38,,
1:35.0,J. Crawford misses 2-pt shot from 19 ft,,55-38,,
1:33.0,,,55-38,,Defensive rebound by D. Howard
1:22.0,,,55-38,,T. Sefolosha misses 2-pt shot from 14 ft
1:21.0,Defensive rebound by L. Mbah a Moute,,55-38,,
1:12.0,J. Crawford misses 2-pt shot from 6 ft (block by P. Millsap),,55-38,,
1:10.0,Offensive rebound by L. Mbah a Moute,,55-38,,
1:07.0,J. Redick makes 3-pt shot from 25 ft,3,58-38,,
0:45.0,B. Bass enters the game for L. Mbah a Moute,,58-38,,
0:43.0,Personal foul by B. Bass (drawn by P. Millsap),,58-38,,
0:43.0,,,58-39,1,P. Millsap makes free throw 1 of 2
0:43.0,,,58-40,1,P. Millsap makes free throw 2 of 2
0:28.0,J. Redick misses 2-pt shot from 19 ft,,58-40,,
0:24.0,,,58-40,,Defensive rebound by T. Hardaway
0:06.0,,,58-40,,D. Schroder misses 2-pt shot from 18 ft
0:04.0,Defensive rebound by D. Jordan,,58-40,,
0:00.0,R. Felton misses 3-pt shot from 45 ft,,58-40,,
0:00.0,Offensive rebound by Team,,58-40,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,Turnover by R. Felton (bad pass),,58-40,,
11:31.0,,,58-40,,P. Millsap misses 2-pt shot from 11 ft (block by L. Mbah a Moute)
11:29.0,Defensive rebound by R. Felton,,58-40,,
11:24.0,J. Redick makes 2-pt shot from 1 ft (assist by A. Rivers),2,60-40,,
11:09.0,,,60-40,,K. Bazemore misses 2-pt shot from 20 ft
11:08.0,Defensive rebound by J. Redick,,60-40,,
10:48.0,A. Rivers makes 2-pt shot from 2 ft,2,62-40,,
10:21.0,,,62-42,2,T. Sefolosha makes 2-pt shot from 13 ft (assist by K. Bazemore)
9:59.0,A. Rivers misses 2-pt shot from 2 ft (block by P. Millsap),,62-42,,
9:56.0,,,62-42,,Defensive rebound by T. Sefolosha
9:51.0,,,62-42,,Turnover by D. Howard (bad pass; steal by L. Mbah a Moute)
9:44.0,R. Felton misses 2-pt shot from 1 ft,,62-42,,
9:43.0,Offensive rebound by R. Felton,,62-42,,
9:42.0,R. Felton makes 2-pt shot at rim,2,64-42,,
9:27.0,,,64-42,,Shooting foul by R. Felton (drawn by D. Schroder)
9:27.0,,,64-43,1,D. Schroder makes free throw 1 of 3
9:27.0,,,64-44,1,D. Schroder makes free throw 2 of 3
9:27.0,,,64-45,1,D. Schroder makes free throw 3 of 3
9:18.0,A. Rivers makes 3-pt shot from 24 ft (assist by J. Redick),3,67-45,,
9:03.0,,,67-45,,K. Bazemore misses 2-pt shot from 3 ft
9:00.0,,,67-45,,Offensive rebound by K. Bazemore
8:56.0,,,67-45,,D. Schroder misses 2-pt shot from 7 ft
8:55.0,Defensive rebound by D. Jordan,,67-45,,
8:44.0,Turnover by L. Mbah a Moute (lost ball; steal by K. Bazemore),,67-45,,
8:38.0,,,67-45,,T. Sefolosha misses 2-pt shot from 16 ft
8:37.0,,,67-45,,Offensive rebound by T. Sefolosha
8:35.0,,,67-45,,T. Sefolosha misses 2-pt shot from 1 ft (block by L. Mbah a Moute)
8:34.0,Defensive rebound by D. Jordan,,67-45,,
8:21.0,L. Mbah a Moute makes 2-pt shot from 18 ft (assist by R. Felton),2,69-45,,
8:08.0,,,69-47,2,P. Millsap makes 2-pt shot from 2 ft (assist by D. Howard)
7:49.0,A. Rivers misses 3-pt shot from 25 ft,,69-47,,
7:48.0,,,69-47,,Defensive rebound by D. Howard
7:33.0,,,69-47,,P. Millsap misses 2-pt shot from 5 ft
7:33.0,Defensive rebound by Team,,69-47,,
7:33.0,,,69-47,,Loose ball foul by D. Howard (drawn by D. Jordan)
7:24.0,J. Redick makes 2-pt shot from 1 ft (assist by R. Felton),2,71-47,,
7:12.0,,,71-47,,D. Schroder misses 2-pt shot from 6 ft (block by D. Jordan)
7:09.0,Defensive rebound by D. Jordan,,71-47,,
7:01.0,A. Rivers misses 2-pt shot from 7 ft,,71-47,,
7:00.0,,,71-47,,Defensive rebound by D. Howard
6:56.0,,,71-47,,Shooting foul by J. Redick (drawn by K. Bazemore)
6:56.0,,,71-48,1,K. Bazemore makes free throw 1 of 2
6:56.0,,,71-49,1,K. Bazemore makes free throw 2 of 2
6:45.0,J. Redick misses 2-pt shot from 17 ft,,71-49,,
6:44.0,,,71-49,,Defensive rebound by P. Millsap
6:30.0,,,71-51,2,D. Howard makes 2-pt shot at rim (assist by T. Sefolosha)
6:28.0,LA Clippers full timeout,,71-51,,
6:21.0,,,71-51,,Personal foul by D. Schroder (drawn by R. Felton)
6:12.0,A. Rivers makes 2-pt shot from 11 ft,2,73-51,,
5:57.0,,,73-51,,K. Bazemore misses 2-pt shot from 16 ft
5:54.0,Defensive rebound by D. Jordan,,73-51,,
5:46.0,R. Felton misses 3-pt shot from 24 ft,,73-51,,
5:44.0,,,73-51,,Defensive rebound by P. Millsap
5:35.0,,,73-53,2,D. Howard makes 2-pt shot from 20 ft (assist by T. Sefolosha)
5:17.0,A. Rivers misses 2-pt shot from 12 ft,,73-53,,
5:16.0,,,73-53,,Defensive rebound by P. Millsap
5:12.0,,,73-55,2,K. Bazemore makes 2-pt shot at rim (assist by P. Millsap)
4:54.0,J. Redick misses 2-pt shot from 8 ft,,73-55,,
4:52.0,,,73-55,,Defensive rebound by P. Millsap
4:43.0,,,73-57,2,T. Sefolosha makes 2-pt shot from 18 ft (assist by P. Millsap)
4:25.0,R. Felton makes 2-pt shot from 1 ft (assist by D. Jordan),2,75-57,,
4:09.0,,,75-60,3,P. Millsap makes 3-pt shot from 25 ft (assist by D. Schroder)
3:48.0,R. Felton makes 2-pt shot from 16 ft,2,77-60,,
3:32.0,,,77-60,,P. Millsap misses 3-pt shot from 24 ft (block by L. Mbah a Moute)
3:30.0,,,77-60,,Offensive rebound by P. Millsap
3:27.0,,,77-62,2,D. Schroder makes 2-pt shot at rim (assist by P. Millsap)
3:10.0,Turnover by J. Redick (lost ball; steal by K. Bazemore),,77-62,,
3:07.0,,,77-64,2,K. Bazemore makes 2-pt shot from 1 ft (assist by D. Schroder)
3:07.0,,,77-64,,Shooting foul by R. Felton (drawn by K. Bazemore)
3:07.0,,,77-65,1,K. Bazemore makes free throw 1 of 1
3:07.0,,,77-64,,T. Hardaway enters the game for P. Millsap
3:07.0,J. Crawford enters the game for R. Felton,,77-64,,
2:57.0,J. Crawford makes 2-pt shot from 19 ft,2,79-65,,
2:41.0,,,79-65,,D. Schroder misses 2-pt shot from 12 ft (block by D. Jordan)
2:41.0,,,79-65,,Offensive rebound by D. Schroder
2:41.0,,,79-67,2,D. Howard makes 2-pt shot from 1 ft (assist by D. Schroder)
2:41.0,,,79-67,,Shooting foul by J. Crawford (drawn by D. Howard)
2:41.0,,,79-67,,Atlanta full timeout
2:41.0,,,79-68,1,D. Howard makes free throw 1 of 1
2:23.0,A. Rivers misses 3-pt shot from 25 ft,,79-68,,
2:22.0,,,79-68,,Defensive rebound by T. Sefolosha
2:16.0,,,79-68,,D. Schroder misses 2-pt shot at rim (block by D. Jordan)
2:16.0,,,79-68,,Offensive rebound by Team
2:16.0,W. Johnson enters the game for J. Redick,,79-68,,
2:10.0,,,79-68,,K. Bazemore misses 3-pt shot from 25 ft
2:08.0,Defensive rebound by L. Mbah a Moute,,79-68,,
1:59.0,J. Crawford misses 2-pt shot from 13 ft,,79-68,,
1:57.0,,,79-68,,Defensive rebound by D. Schroder
1:49.0,,,79-70,2,D. Howard makes 2-pt shot from 2 ft (assist by D. Schroder)
1:49.0,,,79-70,,Shooting foul by D. Jordan (drawn by D. Howard)
1:49.0,,,79-71,1,D. Howard makes free throw 1 of 1
1:49.0,,,79-70,,M. Dunleavy enters the game for K. Bazemore
1:49.0,R. Felton enters the game for A. Rivers,,79-70,,
1:25.0,L. Mbah a Moute makes 2-pt shot from 17 ft (assist by J. Crawford),2,81-71,,
1:12.0,,,81-73,2,D. Schroder makes 2-pt shot from 3 ft
0:56.0,J. Crawford makes 2-pt shot from 16 ft,2,83-73,,
0:44.0,,,83-73,,T. Hardaway misses 3-pt shot from 24 ft
0:42.0,Defensive rebound by L. Mbah a Moute,,83-73,,
0:32.0,J. Crawford misses 2-pt shot from 20 ft,,83-73,,
0:31.0,,,83-73,,Defensive rebound by D. Howard
0:12.0,Personal foul by R. Felton (drawn by D. Schroder),,83-73,,
0:12.0,,,83-74,1,D. Schroder makes free throw 1 of 2
0:12.0,,,83-75,1,D. Schroder makes free throw 2 of 2
0:12.0,J. Redick enters the game for L. Mbah a Moute,,83-74,,
0:12.0,,,83-74,,P. Millsap enters the game for M. Dunleavy
0:02.0,J. Crawford makes 2-pt shot from 20 ft,2,85-75,,
0:00.0,,,85-75,,D. Schroder misses 3-pt shot from 67 ft
0:00.0,,,85-75,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,85-75,,K. Bazemore misses 3-pt shot from 25 ft
11:39.0,Defensive rebound by Team,,85-75,,
11:26.0,R. Felton makes 3-pt shot from 23 ft (assist by W. Johnson),3,88-75,,
11:01.0,,,88-75,,K. Bazemore misses 3-pt shot from 24 ft
11:00.0,Defensive rebound by B. Bass,,88-75,,
10:49.0,M. Speights misses 2-pt shot from 2 ft,,88-75,,
10:48.0,,,88-75,,Defensive rebound by P. Millsap
10:40.0,Personal foul by B. Bass (drawn by M. Delaney),,88-75,,
10:26.0,,,88-75,,P. Millsap misses 2-pt shot from 2 ft
10:24.0,,,88-75,,Offensive rebound by P. Millsap
10:13.0,,,88-75,,Shooting foul by R. Felton (drawn by K. Bazemore)
10:13.0,,,88-76,1,K. Bazemore makes free throw 1 of 2
10:13.0,,,88-76,,K. Bazemore misses free throw 2 of 2
10:13.0,A. Rivers enters the game for R. Felton,,88-76,,
10:12.0,Defensive rebound by B. Bass,,88-76,,
10:00.0,W. Johnson makes 3-pt shot from 25 ft (assist by J. Crawford),3,91-76,,
9:41.0,,,91-78,2,M. Dunleavy makes 2-pt shot at rim (assist by K. Bazemore)
9:29.0,J. Crawford misses 2-pt shot from 15 ft,,91-78,,
9:28.0,,,91-78,,Defensive rebound by M. Delaney
9:20.0,,,91-80,2,M. Delaney makes 2-pt shot from 21 ft
9:05.0,Turnover by A. Rivers (bad pass; steal by P. Millsap),,91-80,,
8:58.0,,,91-83,3,K. Bazemore makes 3-pt shot from 24 ft (assist by P. Millsap)
8:58.0,LA Clippers full timeout,,91-83,,
8:58.0,J. Redick enters the game for M. Speights,,91-83,,
8:45.0,B. Bass makes 2-pt shot from 4 ft (assist by W. Johnson),2,93-83,,
8:45.0,Shooting foul by P. Millsap (drawn by B. Bass),,93-83,,
8:45.0,B. Bass makes free throw 1 of 1,1,94-83,,
8:32.0,,,94-85,2,K. Bazemore makes 2-pt shot at rim (assist by P. Millsap)
8:09.0,A. Rivers makes 3-pt shot from 24 ft (assist by J. Crawford),3,97-85,,
7:53.0,,,97-88,3,P. Millsap makes 3-pt shot from 25 ft (assist by M. Delaney)
7:33.0,Shooting foul by K. Bazemore (drawn by B. Bass),,97-88,,
7:33.0,B. Bass makes free throw 1 of 2,1,98-88,,
7:33.0,B. Bass makes free throw 2 of 2,1,99-88,,
7:15.0,,,99-90,2,K. Bazemore makes 2-pt shot at rim (assist by T. Hardaway)
6:50.0,J. Crawford misses 3-pt shot from 27 ft,,99-90,,
6:49.0,,,99-90,,Defensive rebound by P. Millsap
6:36.0,,,99-90,,P. Millsap misses 3-pt shot from 25 ft
6:35.0,Defensive rebound by J. Crawford,,99-90,,
6:18.0,W. Johnson makes 2-pt shot from 20 ft (assist by A. Rivers),2,101-90,,
6:02.0,,,101-93,3,M. Delaney makes 3-pt shot from 25 ft (assist by M. Dunleavy)
5:43.0,A. Rivers misses 2-pt shot from 7 ft,,101-93,,
5:41.0,,,101-93,,Defensive rebound by K. Bazemore
5:37.0,,,101-93,,K. Bazemore misses 3-pt shot from 24 ft
5:35.0,Defensive rebound by W. Johnson,,101-93,,
5:35.0,LA Clippers full timeout,,101-93,,
5:35.0,D. Jordan enters the game for B. Bass,,101-93,,
5:35.0,,,101-93,,D. Schroder enters the game for P. Millsap
5:35.0,,,101-93,,T. Sefolosha enters the game for K. Bazemore
5:35.0,,,101-93,,D. Howard enters the game for M. Dunleavy
5:33.0,,,101-93,,Personal foul by D. Schroder (drawn by A. Rivers)
5:20.0,Turnover by J. Redick (lost ball; steal by M. Delaney),,101-93,,
5:20.0,Jump ball: M. Delaney vs. J. Redick (T. Hardaway gains possession),,,,Jump ball: M. Delaney vs. J. Redick (T. Hardaway gains possession)
5:00.0,,,101-93,,T. Hardaway misses 3-pt shot from 24 ft
4:59.0,Defensive rebound by D. Jordan,,101-93,,
4:42.0,J. Redick misses 2-pt shot from 19 ft,,101-93,,
4:40.0,,,101-93,,Defensive rebound by D. Howard
4:32.0,,,101-93,,D. Schroder misses 2-pt shot from 1 ft
4:28.0,Defensive rebound by W. Johnson,,101-93,,
4:25.0,A. Rivers misses 2-pt shot from 7 ft,,101-93,,
