time,Detroit,pts.away,score,pts.home,Miami
8:38.0,K. Caldwell-Pope makes 2-pt shot from 16 ft (assist by M. Morris),2,37-49,,
8:13.0,,,37-51,2,U. Haslem makes 2-pt shot from 3 ft (assist by T. Johnson)
7:58.0,,,37-51,,Personal foul by L. Babbitt (drawn by M. Morris)
7:58.0,,,37-51,,J. Richardson enters the game for T. Johnson
7:51.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,37-51,,
7:50.0,Offensive rebound by A. Drummond,,37-51,,
7:44.0,T. Harris misses 3-pt shot from 24 ft,,37-51,,
7:43.0,Offensive rebound by A. Drummond,,37-51,,
7:31.0,R. Jackson makes 2-pt shot from 19 ft,2,39-51,,
7:17.0,,,39-51,,Turnover by U. Haslem (lost ball; steal by T. Harris)
7:13.0,Shooting foul by L. Babbitt (drawn by T. Harris),,39-51,,
7:13.0,T. Harris makes free throw 1 of 2,1,40-51,,
7:13.0,T. Harris makes free throw 2 of 2,1,41-51,,
7:13.0,,,40-51,,W. Ellington enters the game for L. Babbitt
7:13.0,,,40-51,,W. Reed enters the game for U. Haslem
7:01.0,,,41-51,,W. Ellington misses 3-pt shot from 23 ft
7:00.0,Defensive rebound by A. Drummond,,41-51,,
6:50.0,T. Harris misses 2-pt shot from 2 ft (block by W. Reed),,41-51,,
6:49.0,,,41-51,,Defensive rebound by J. Johnson
6:45.0,Violation by K. Caldwell-Pope (kicked ball),,41-51,,
6:34.0,,,41-51,,Turnover by R. McGruder (lost ball; steal by A. Drummond)
6:30.0,Shooting foul by R. McGruder (drawn by T. Harris),,41-51,,
6:30.0,T. Harris misses free throw 1 of 2,,41-51,,
6:30.0,Offensive rebound by Team,,41-51,,
6:30.0,T. Harris makes free throw 2 of 2,1,42-51,,
6:07.0,,,42-54,3,J. Johnson makes 3-pt shot from 23 ft (assist by W. Reed)
5:53.0,R. Jackson misses 2-pt shot from 12 ft,,42-54,,
5:52.0,,,42-54,,Defensive rebound by W. Reed
5:48.0,,,42-54,,Shooting foul by M. Morris (drawn by J. Richardson)
