time,Orlando,pts.away,score,pts.home,Miami
0:06.0,E. Fournier misses 2-pt shot from 6 ft,,60-55,,
0:05.0,,,60-55,,Defensive rebound by H. Whiteside
0:00.0,,,60-57,2,G. Dragic makes 2-pt shot from 1 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,N. Vucevic makes 2-pt shot from 11 ft (assist by E. Fournier),2,62-57,,
11:28.0,,,62-57,,Turnover by H. Whiteside (bad pass; steal by N. Vucevic)
11:22.0,A. Gordon misses 2-pt shot from 2 ft,,62-57,,
11:21.0,,,62-57,,Defensive rebound by L. Babbitt
11:11.0,,,62-57,,H. Whiteside misses 2-pt shot from 15 ft
11:10.0,Defensive rebound by N. Vucevic,,62-57,,
11:02.0,S. Ibaka makes 2-pt shot from 17 ft (assist by A. Gordon),2,64-57,,
10:44.0,,,64-57,,Turnover by R. McGruder (bad pass; steal by A. Gordon)
10:41.0,Offensive foul by A. Gordon,,64-57,,
10:41.0,Turnover by A. Gordon (offensive foul),,64-57,,
10:26.0,,,64-59,2,D. Waiters makes 2-pt shot from 16 ft
10:07.0,E. Fournier misses 2-pt shot from 10 ft,,64-59,,
10:06.0,,,64-59,,Defensive rebound by D. Waiters
9:49.0,,,64-59,,G. Dragic misses 2-pt shot from 15 ft
9:48.0,,,64-59,,Offensive rebound by G. Dragic
9:47.0,,,64-61,2,G. Dragic makes 2-pt shot from 3 ft
9:29.0,N. Vucevic makes 2-pt shot from 6 ft,2,66-61,,
9:19.0,,,66-63,2,G. Dragic makes 2-pt shot from 4 ft
9:09.0,Shooting foul by H. Whiteside (drawn by A. Gordon),,66-63,,
9:09.0,A. Gordon misses free throw 1 of 2,,66-63,,
9:09.0,Offensive rebound by Team,,66-63,,
9:09.0,A. Gordon makes free throw 2 of 2,1,67-63,,
8:55.0,Personal foul by S. Ibaka (drawn by L. Babbitt),,67-63,,
8:46.0,,,67-63,,Turnover by D. Waiters (bad pass)
8:35.0,E. Fournier makes 3-pt shot from 25 ft (assist by N. Vucevic),3,70-63,,
8:20.0,,,70-63,,Turnover by H. Whiteside (lost ball; steal by N. Vucevic)
8:14.0,C. Watson misses 3-pt shot from 26 ft,,70-63,,
8:13.0,,,70-63,,Defensive rebound by H. Whiteside
8:01.0,,,70-63,,G. Dragic misses 2-pt shot from 4 ft
8:00.0,Defensive rebound by A. Gordon,,70-63,,
7:50.0,N. Vucevic misses 2-pt shot from 16 ft,,70-63,,
7:49.0,Offensive rebound by S. Ibaka,,70-63,,
7:27.0,N. Vucevic misses 2-pt shot from 20 ft,,70-63,,
7:26.0,,,70-63,,Defensive rebound by G. Dragic
7:12.0,,,70-63,,D. Waiters misses 2-pt shot from 9 ft
7:11.0,Defensive rebound by N. Vucevic,,70-63,,
7:08.0,Shooting foul by G. Dragic (drawn by A. Gordon),,70-63,,
7:08.0,A. Gordon makes free throw 1 of 2,1,71-63,,
7:08.0,A. Gordon misses free throw 2 of 2,,71-63,,
7:08.0,,,71-63,,J. Johnson enters the game for L. Babbitt
7:07.0,,,71-63,,Defensive rebound by R. McGruder
6:55.0,,,71-65,2,R. McGruder makes 2-pt shot from 2 ft (assist by D. Waiters)
6:44.0,Shooting foul by R. McGruder (drawn by E. Fournier),,71-65,,
6:44.0,E. Fournier misses free throw 1 of 2,,71-65,,
6:44.0,Offensive rebound by Team,,71-65,,
6:44.0,E. Fournier misses free throw 2 of 2,,71-65,,
6:43.0,,,71-65,,Defensive rebound by R. McGruder
6:31.0,,,71-67,2,H. Whiteside makes 2-pt shot from 17 ft (assist by J. Johnson)
6:16.0,Turnover by A. Gordon (bad pass; steal by D. Waiters),,71-67,,
6:10.0,,,71-69,2,D. Waiters makes 2-pt shot at rim
6:10.0,Orlando full timeout,,71-69,,
6:10.0,E. Payton enters the game for C. Watson,,71-69,,
6:10.0,,,71-69,,T. Johnson enters the game for G. Dragic
6:00.0,A. Gordon makes 2-pt shot from 2 ft (assist by N. Vucevic),2,73-69,,
5:43.0,,,73-69,,D. Waiters misses 2-pt shot from 2 ft
5:42.0,,,73-69,,Offensive rebound by R. McGruder
5:31.0,,,73-69,,T. Johnson misses 3-pt shot from 25 ft
5:30.0,Defensive rebound by S. Ibaka,,73-69,,
5:19.0,N. Vucevic misses 2-pt shot from 19 ft,,73-69,,
5:18.0,,,73-69,,Defensive rebound by H. Whiteside
5:14.0,,,73-71,2,R. McGruder makes 2-pt shot from 2 ft (assist by J. Johnson)
4:48.0,N. Vucevic misses 2-pt shot from 12 ft,,73-71,,
4:47.0,Offensive rebound by S. Ibaka,,73-71,,
4:44.0,S. Ibaka makes 2-pt shot at rim,2,75-71,,
4:31.0,Personal foul by N. Vucevic (drawn by H. Whiteside),,75-71,,
4:31.0,,,75-71,,W. Ellington enters the game for R. McGruder
4:14.0,,,75-74,3,W. Ellington makes 3-pt shot from 25 ft (assist by D. Waiters)
3:59.0,E. Payton makes 2-pt shot from 8 ft,2,77-74,,
3:38.0,,,77-76,2,D. Waiters makes 2-pt shot from 17 ft
3:19.0,N. Vucevic makes 2-pt shot from 10 ft,2,79-76,,
3:01.0,,,79-78,2,T. Johnson makes 2-pt shot from 6 ft
2:49.0,Turnover by A. Gordon (lost ball; steal by T. Johnson),,79-78,,
2:43.0,,,79-78,,T. Johnson misses 3-pt shot from 23 ft
2:42.0,Defensive rebound by N. Vucevic,,79-78,,
2:32.0,Shooting foul by J. Johnson (drawn by E. Payton),,79-78,,
2:32.0,,,79-78,,Miami full timeout
2:32.0,E. Payton misses free throw 1 of 2,,79-78,,
2:32.0,Offensive rebound by Team,,79-78,,
2:32.0,E. Payton makes free throw 2 of 2,1,80-78,,
2:32.0,,,79-78,,W. Reed enters the game for H. Whiteside
2:32.0,J. Green enters the game for A. Gordon,,79-78,,
2:32.0,M. Hezonja enters the game for S. Ibaka,,79-78,,
2:15.0,,,80-78,,W. Ellington misses 2-pt shot from 20 ft
2:14.0,,,80-78,,Offensive rebound by W. Reed
2:13.0,,,80-78,,Turnover by W. Reed (bad pass; steal by M. Hezonja)
2:00.0,E. Fournier misses 2-pt shot from 10 ft,,80-78,,
1:59.0,,,80-78,,Defensive rebound by D. Waiters
1:47.0,,,80-78,,D. Waiters misses 3-pt shot from 24 ft
1:47.0,Defensive rebound by Team,,80-78,,
1:47.0,,,80-78,,Loose ball foul by W. Reed (drawn by E. Payton)
1:47.0,E. Payton makes free throw 1 of 2,1,81-78,,
1:47.0,E. Payton makes free throw 2 of 2,1,82-78,,
1:47.0,B. Biyombo enters the game for E. Fournier,,81-78,,
1:47.0,D. Augustin enters the game for N. Vucevic,,81-78,,
1:47.0,,,81-78,,G. Dragic enters the game for D. Waiters
1:35.0,,,82-80,2,J. Johnson makes 2-pt shot from 1 ft
1:14.0,J. Green makes 2-pt shot from 20 ft (assist by M. Hezonja),2,84-80,,
1:05.0,,,84-80,,Shooting foul by B. Biyombo (drawn by J. Johnson)
1:05.0,,,84-81,1,J. Johnson makes free throw 1 of 2
1:05.0,,,84-82,1,J. Johnson makes free throw 2 of 2
0:46.0,M. Hezonja makes 3-pt shot from 25 ft,3,87-82,,
0:37.0,,,87-84,2,J. Johnson makes 2-pt shot from 1 ft
0:37.0,,,87-84,,Shooting foul by J. Green (drawn by J. Johnson)
0:37.0,,,87-85,1,J. Johnson makes free throw 1 of 1
0:26.0,E. Payton misses 2-pt shot from 16 ft,,87-85,,
0:25.0,,,87-85,,Defensive rebound by T. Johnson
0:05.0,,,87-87,2,J. Johnson makes 2-pt shot from 19 ft
0:00.0,E. Payton misses 2-pt shot from 3 ft,,87-87,,
0:00.0,Offensive rebound by Team,,87-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,87-87,,W. Ellington misses 3-pt shot from 25 ft
11:40.0,Defensive rebound by M. Hezonja,,87-87,,
11:24.0,D. Augustin misses 2-pt shot from 18 ft,,87-87,,
11:23.0,Offensive rebound by B. Biyombo,,87-87,,
11:20.0,B. Biyombo makes 2-pt shot at rim,2,89-87,,
11:09.0,,,89-87,,G. Dragic misses 2-pt shot from 1 ft
11:08.0,Defensive rebound by J. Green,,89-87,,
10:58.0,Flagrant foul type 1 by D. Augustin (drawn by T. Johnson),,89-87,,
10:58.0,Turnover by D. Augustin (offensive foul),,89-87,,
10:58.0,,,89-88,1,T. Johnson makes flagrant free throw 1 of 2
10:58.0,,,89-89,1,T. Johnson makes flagrant free throw 2 of 2
10:48.0,,,89-91,2,J. Johnson makes 2-pt shot from 16 ft
10:31.0,J. Green misses 2-pt shot from 8 ft (block by J. Johnson),,89-91,,
10:30.0,,,89-91,,Defensive rebound by Team
10:30.0,Loose ball foul by B. Biyombo (drawn by W. Reed),,89-91,,
10:11.0,,,89-91,,W. Ellington misses 3-pt shot from 25 ft
10:10.0,Defensive rebound by B. Biyombo,,89-91,,
10:04.0,,,89-91,,Personal foul by G. Dragic (drawn by B. Biyombo)
10:04.0,,,89-91,,O. White enters the game for J. Johnson
9:57.0,,,89-91,,Personal foul by W. Ellington (drawn by M. Hezonja)
9:46.0,E. Payton misses 2-pt shot from 15 ft,,89-91,,
9:45.0,,,89-91,,Defensive rebound by T. Johnson
9:33.0,,,89-93,2,T. Johnson makes 2-pt shot from 17 ft
9:21.0,M. Hezonja makes 3-pt shot from 25 ft (assist by E. Payton),3,92-93,,
8:56.0,,,92-93,,O. White misses 2-pt shot from 9 ft
8:55.0,Defensive rebound by E. Payton,,92-93,,
8:51.0,E. Payton makes 2-pt shot from 2 ft,2,94-93,,
8:28.0,,,94-93,,W. Reed misses 2-pt shot from 4 ft
8:27.0,Defensive rebound by E. Payton,,94-93,,
8:22.0,E. Payton makes 2-pt shot from 1 ft,2,96-93,,
8:22.0,,,96-93,,Miami full timeout
8:22.0,,,96-93,,H. Whiteside enters the game for W. Reed
8:06.0,,,96-93,,T. Johnson misses 2-pt shot from 8 ft
8:05.0,Defensive rebound by B. Biyombo,,96-93,,
7:44.0,J. Green misses 3-pt shot from 25 ft,,96-93,,
7:43.0,,,96-93,,Defensive rebound by H. Whiteside
7:31.0,Personal foul by J. Green (drawn by H. Whiteside),,96-93,,
7:31.0,,,96-93,,D. Waiters enters the game for G. Dragic
7:31.0,,,96-93,,J. Johnson enters the game for O. White
7:17.0,,,96-93,,Turnover by Team (shot clock)
7:09.0,,,96-93,,Personal foul by D. Waiters (drawn by E. Payton)
7:01.0,E. Payton misses 2-pt shot from 18 ft,,96-93,,
7:00.0,,,96-93,,Defensive rebound by H. Whiteside
6:51.0,,,96-93,,D. Waiters misses 2-pt shot from 2 ft
6:50.0,Defensive rebound by E. Payton,,96-93,,
6:44.0,M. Hezonja makes 2-pt shot from 1 ft (assist by D. Augustin),2,98-93,,
6:22.0,,,98-93,,Shooting foul by J. Green (drawn by J. Johnson)
6:22.0,,,98-93,,J. Johnson misses free throw 1 of 2
6:22.0,,,98-93,,Offensive rebound by Team
6:22.0,,,98-94,1,J. Johnson makes free throw 2 of 2
6:22.0,S. Ibaka enters the game for J. Green,,98-93,,
6:06.0,S. Ibaka misses 2-pt shot from 16 ft,,98-94,,
6:05.0,,,98-94,,Defensive rebound by H. Whiteside
5:57.0,,,98-94,,J. Johnson misses 2-pt shot from 16 ft
5:56.0,,,98-94,,Offensive rebound by J. Johnson
5:50.0,,,98-96,2,H. Whiteside makes 2-pt shot from 4 ft (assist by J. Johnson)
5:40.0,Orlando full timeout,,98-96,,
5:40.0,,,98-96,,G. Dragic enters the game for T. Johnson
5:40.0,E. Fournier enters the game for M. Hezonja,,98-96,,
5:40.0,N. Vucevic enters the game for D. Augustin,,98-96,,
5:40.0,A. Gordon enters the game for B. Biyombo,,98-96,,
5:27.0,S. Ibaka makes 2-pt shot from 17 ft (assist by E. Payton),2,100-96,,
5:08.0,,,100-96,,W. Ellington misses 3-pt shot from 24 ft
