time,Cleveland,pts.away,score,pts.home,Charlotte
9:21.0,I. Shumpert misses 2-pt shot from 2 ft (block by J. Lamb),,44-30,,
9:19.0,Offensive rebound by Team,,44-30,,
9:17.0,Turnover by R. Jefferson (bad pass; steal by J. Lamb),,44-30,,
9:08.0,,,44-30,,Shooting foul by C. Frye (drawn by F. Kaminsky)
9:08.0,,,44-31,1,F. Kaminsky makes free throw 1 of 2
9:08.0,,,44-32,1,F. Kaminsky makes free throw 2 of 2
8:52.0,C. Frye makes 3-pt shot from 25 ft (assist by K. Felder),3,47-32,,
8:35.0,D. Liggins enters the game for K. Felder,,47-32,,
8:35.0,,,47-32,,K. Walker enters the game for J. Lamb
8:35.0,,,47-32,,M. Williams enters the game for R. Hibbert
8:30.0,,,47-32,,N. Batum misses 3-pt shot from 24 ft
8:29.0,Defensive rebound by D. Liggins,,47-32,,
8:23.0,D. Liggins makes 2-pt shot from 1 ft,2,49-32,,
8:10.0,,,49-32,,Turnover by K. Walker (bad pass; steal by D. Liggins)
8:02.0,Shooting foul by K. Walker (drawn by K. Love),,49-32,,
8:02.0,K. Love makes free throw 1 of 2,1,50-32,,
8:02.0,K. Love makes free throw 2 of 2,1,51-32,,
7:45.0,,,51-35,3,M. Williams makes 3-pt shot from 24 ft (assist by K. Walker)
7:32.0,C. Frye misses 3-pt shot from 26 ft,,51-35,,
7:29.0,,,51-35,,Defensive rebound by R. Sessions
7:23.0,,,51-35,,M. Williams misses 3-pt shot from 25 ft
7:21.0,,,51-35,,Offensive rebound by R. Sessions
7:13.0,,,51-35,,M. Williams misses 2-pt shot from 7 ft
7:12.0,,,51-35,,Offensive rebound by R. Sessions
7:05.0,,,51-37,2,K. Walker makes 2-pt shot from 1 ft (assist by N. Batum)
7:04.0,Cleveland full timeout,,51-37,,
7:04.0,T. Thompson enters the game for C. Frye,,51-37,,
7:04.0,L. James enters the game for R. Jefferson,,51-37,,
7:01.0,,,51-37,,M. Kidd-Gilchrist enters the game for R. Sessions
6:48.0,I. Shumpert misses 3-pt shot from 23 ft,,51-37,,
6:48.0,Offensive rebound by Team,,51-37,,
6:38.0,L. James misses 2-pt shot from 8 ft,,51-37,,
6:37.0,,,51-37,,Defensive rebound by M. Williams
6:29.0,,,51-39,2,K. Walker makes 2-pt shot from 1 ft
6:16.0,I. Shumpert misses 2-pt shot from 12 ft,,51-39,,
6:15.0,,,51-39,,Defensive rebound by K. Walker
6:11.0,,,51-39,,Shooting foul by I. Shumpert (drawn by K. Walker)
6:11.0,,,51-40,1,K. Walker makes free throw 1 of 2
6:11.0,,,51-41,1,K. Walker makes free throw 2 of 2
5:56.0,D. Liggins misses 3-pt shot from 23 ft,,51-41,,
5:54.0,,,51-41,,Defensive rebound by F. Kaminsky
5:45.0,,,51-41,,K. Walker misses 2-pt shot from 8 ft
5:43.0,Defensive rebound by T. Thompson,,51-41,,
5:33.0,Shooting foul by M. Williams (drawn by K. Love),,51-41,,
5:33.0,K. Love makes free throw 1 of 2,1,52-41,,
5:33.0,K. Love makes free throw 2 of 2,1,53-41,,
5:33.0,J. McRae enters the game for I. Shumpert,,52-41,,
5:33.0,,,52-41,,C. Zeller enters the game for M. Williams
5:17.0,,,53-43,2,C. Zeller makes 2-pt shot from 4 ft (assist by N. Batum)
4:59.0,K. Love makes 3-pt shot from 25 ft,3,56-43,,
4:37.0,,,56-45,2,K. Walker makes 2-pt shot from 1 ft
4:26.0,L. James misses 2-pt shot at rim,,56-45,,
4:24.0,,,56-45,,Defensive rebound by N. Batum
4:20.0,,,56-47,2,F. Kaminsky makes 2-pt shot at rim (assist by C. Zeller)
3:50.0,J. McRae misses 3-pt shot from 23 ft,,56-47,,
3:46.0,,,56-47,,Defensive rebound by Team
3:31.0,,,56-50,3,N. Batum makes 3-pt shot from 24 ft (assist by C. Zeller)
3:28.0,Cleveland full timeout,,56-50,,
3:18.0,,,56-50,,Violation by F. Kaminsky (kicked ball)
3:10.0,,,56-50,,Personal foul by C. Zeller (drawn by L. James)
3:09.0,,,56-50,,S. Hawes enters the game for C. Zeller
2:56.0,L. James misses 2-pt shot from 16 ft,,56-50,,
2:54.0,,,56-50,,Defensive rebound by K. Walker
2:45.0,,,56-52,2,K. Walker makes 2-pt shot from 1 ft
2:29.0,Shooting foul by S. Hawes (drawn by L. James),,56-52,,
2:29.0,L. James misses free throw 1 of 2,,56-52,,
2:29.0,Offensive rebound by Team,,56-52,,
2:29.0,L. James makes free throw 2 of 2,1,57-52,,
2:08.0,,,57-52,,M. Kidd-Gilchrist misses 2-pt shot from 6 ft
2:05.0,Defensive rebound by L. James,,57-52,,
1:56.0,K. Love makes 3-pt shot from 23 ft (assist by L. James),3,60-52,,
1:52.0,Personal foul by D. Liggins (drawn by K. Walker),,60-52,,
1:47.0,,,60-52,,Offensive foul by S. Hawes
1:47.0,,,60-52,,Turnover by S. Hawes (offensive foul)
1:31.0,K. Love makes 3-pt shot from 26 ft (assist by D. Liggins),3,63-52,,
1:10.0,,,63-52,,N. Batum misses 2-pt shot from 9 ft
1:09.0,Defensive rebound by K. Love,,63-52,,
1:08.0,Turnover by K. Love (bad pass),,63-52,,
1:00.0,,,63-52,,K. Walker misses 3-pt shot from 24 ft
0:59.0,Defensive rebound by L. James,,63-52,,
0:54.0,L. James makes 2-pt shot from 1 ft,2,65-52,,
0:54.0,Personal foul by D. Liggins (drawn by K. Walker),,65-52,,
0:54.0,,,65-53,1,K. Walker makes free throw 1 of 2
0:54.0,,,65-54,1,K. Walker makes free throw 2 of 2
0:54.0,I. Shumpert enters the game for D. Liggins,,65-53,,
0:37.0,L. James makes 3-pt shot from 25 ft,3,68-54,,
0:30.0,,,68-54,,Shooting foul by I. Shumpert (drawn by K. Walker)
0:30.0,,,68-55,1,K. Walker makes free throw 1 of 3
0:30.0,,,68-56,1,K. Walker makes free throw 2 of 3
0:30.0,,,68-57,1,K. Walker makes free throw 3 of 3
0:10.0,J. McRae makes 3-pt shot from 25 ft (assist by L. James),3,71-57,,
0:01.0,,,71-57,,K. Walker misses 3-pt shot from 24 ft
0:01.0,,,71-57,,Offensive rebound by Team
0:01.0,Loose ball foul by I. Shumpert (drawn by S. Hawes),,71-57,,
0:01.0,,,71-58,1,S. Hawes makes free throw 1 of 2
0:01.0,,,71-59,1,S. Hawes makes free throw 2 of 2
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,Personal foul by J. McRae (drawn by C. Zeller),,71-59,,
11:34.0,,,71-59,,Turnover by N. Batum (lost ball; steal by T. Thompson)
11:21.0,D. Liggins misses 3-pt shot from 24 ft,,71-59,,
11:19.0,,,71-59,,Defensive rebound by N. Batum
11:14.0,,,71-61,2,C. Zeller makes 2-pt shot at rim (assist by N. Batum)
10:48.0,T. Thompson makes 2-pt shot from 6 ft,2,73-61,,
10:29.0,,,73-61,,K. Walker misses 2-pt shot from 9 ft
10:27.0,Defensive rebound by T. Thompson,,73-61,,
10:08.0,T. Thompson makes 2-pt shot from 4 ft (assist by D. Liggins),2,75-61,,
9:47.0,,,75-63,2,N. Batum makes 2-pt shot from 7 ft (assist by M. Williams)
9:29.0,J. McRae makes 2-pt shot from 1 ft (assist by L. James),2,77-63,,
9:14.0,,,77-63,,N. Batum misses 2-pt shot from 8 ft
9:13.0,Defensive rebound by K. Love,,77-63,,
9:00.0,J. McRae misses 2-pt shot from 13 ft,,77-63,,
8:59.0,Offensive rebound by T. Thompson,,77-63,,
8:41.0,L. James misses 2-pt shot from 2 ft,,77-63,,
8:39.0,Offensive rebound by D. Liggins,,77-63,,
8:35.0,K. Love misses 3-pt shot from 23 ft,,77-63,,
8:34.0,,,77-63,,Defensive rebound by C. Zeller
8:24.0,,,77-66,3,K. Walker makes 3-pt shot from 25 ft
7:59.0,K. Love misses 2-pt shot from 9 ft,,77-66,,
7:58.0,,,77-66,,Defensive rebound by K. Walker
7:51.0,,,77-68,2,K. Walker makes 2-pt shot from 1 ft
7:30.0,T. Thompson makes 2-pt shot from 9 ft,2,79-68,,
7:17.0,,,79-68,,K. Walker misses 2-pt shot from 1 ft
7:16.0,Defensive rebound by J. McRae,,79-68,,
7:12.0,Shooting foul by C. Zeller (drawn by T. Thompson),,79-68,,
7:12.0,T. Thompson makes free throw 1 of 2,1,80-68,,
7:12.0,T. Thompson makes free throw 2 of 2,1,81-68,,
7:12.0,,,80-68,,R. Hibbert enters the game for C. Zeller
7:02.0,Violation by T. Thompson (def goaltending),,81-68,,
7:02.0,,,81-70,2,N. Batum makes 2-pt shot from 3 ft (assist by K. Walker)
6:46.0,,,81-70,,Personal foul by M. Kidd-Gilchrist (drawn by L. James)
6:26.0,J. McRae makes 2-pt shot from 6 ft,2,83-70,,
6:00.0,,,83-70,,Shooting foul by L. James (drawn by M. Kidd-Gilchrist)
6:00.0,,,83-70,,M. Kidd-Gilchrist misses free throw 1 of 2
6:00.0,,,83-70,,Offensive rebound by Team
6:00.0,,,83-71,1,M. Kidd-Gilchrist makes free throw 2 of 2
5:42.0,J. McRae makes 3-pt shot from 24 ft (assist by L. James),3,86-71,,
5:28.0,,,86-71,,N. Batum misses 2-pt shot from 11 ft
5:26.0,,,86-71,,Offensive rebound by R. Hibbert
5:18.0,,,86-71,,M. Williams misses 2-pt shot from 2 ft
5:17.0,Defensive rebound by K. Love,,86-71,,
5:09.0,J. McRae misses 2-pt shot from 5 ft,,86-71,,
5:08.0,,,86-71,,Defensive rebound by N. Batum
5:08.0,Personal foul by T. Thompson (drawn by N. Batum),,86-71,,
5:08.0,,,86-71,,Charlotte full timeout
5:08.0,,,86-71,,F. Kaminsky enters the game for M. Williams
5:08.0,,,86-71,,J. Lamb enters the game for N. Batum
4:51.0,,,86-73,2,J. Lamb makes 2-pt shot from 8 ft
4:29.0,D. Liggins misses 3-pt shot from 25 ft,,86-73,,
4:27.0,,,86-73,,Defensive rebound by F. Kaminsky
4:04.0,,,86-73,,M. Kidd-Gilchrist misses 2-pt shot from 14 ft
4:03.0,Defensive rebound by J. McRae,,86-73,,
3:49.0,T. Thompson makes 2-pt shot at rim (assist by J. McRae),2,88-73,,
3:49.0,Shooting foul by K. Walker (drawn by T. Thompson),,88-73,,
3:49.0,T. Thompson makes free throw 1 of 1,1,89-73,,
3:37.0,,,89-75,2,K. Walker makes 2-pt shot from 1 ft
3:15.0,L. James misses 3-pt shot from 25 ft,,89-75,,
3:14.0,,,89-75,,Defensive rebound by F. Kaminsky
3:05.0,,,89-78,3,K. Walker makes 3-pt shot from 25 ft
2:39.0,J. McRae makes 2-pt shot from 9 ft,2,91-78,,
2:28.0,,,91-80,2,K. Walker makes 2-pt shot from 16 ft
2:28.0,Cleveland full timeout,,91-80,,
2:28.0,C. Frye enters the game for K. Love,,91-80,,
2:28.0,R. Jefferson enters the game for T. Thompson,,91-80,,
2:28.0,K. Felder enters the game for D. Liggins,,91-80,,
2:28.0,,,91-80,,R. Sessions enters the game for J. Lamb
2:13.0,K. Felder makes 3-pt shot from 24 ft (assist by L. James),3,94-80,,
1:48.0,,,94-80,,R. Hibbert misses 2-pt shot from 17 ft
1:48.0,,,94-80,,Offensive rebound by M. Kidd-Gilchrist
1:48.0,,,94-80,,Turnover by Team (shot clock)
1:35.0,L. James makes 2-pt shot from 1 ft,2,96-80,,
1:35.0,Shooting foul by M. Kidd-Gilchrist (drawn by L. James),,96-80,,
1:35.0,L. James makes free throw 1 of 1,1,97-80,,
1:21.0,,,97-80,,R. Sessions misses 2-pt shot from 6 ft
1:20.0,Defensive rebound by C. Frye,,97-80,,
1:02.0,Shooting foul by F. Kaminsky (drawn by R. Jefferson),,97-80,,
1:02.0,R. Jefferson misses free throw 1 of 2,,97-80,,
1:02.0,Offensive rebound by Team,,97-80,,
1:02.0,R. Jefferson makes free throw 2 of 2,1,98-80,,
