time,Dallas,pts.away,score,pts.home,Houston
7:31.0,,,37-47,2,C. Capela makes 2-pt shot from 1 ft
7:13.0,N. Brussino misses 3-pt shot from 26 ft,,37-47,,
7:12.0,,,37-47,,Defensive rebound by C. Capela
7:04.0,,,37-49,2,S. Dekker makes 2-pt shot from 5 ft (assist by C. Brewer)
7:04.0,Dallas full timeout,,37-49,,
7:04.0,,,37-49,,R. Anderson enters the game for E. Gordon
7:04.0,,,37-49,,T. Ariza enters the game for C. Brewer
7:04.0,W. Matthews enters the game for S. Mejri,,37-49,,
7:04.0,D. Powell enters the game for D. Williams,,37-49,,
7:04.0,D. Finney-Smith enters the game for N. Brussino,,37-49,,
6:45.0,W. Matthews misses 2-pt shot from 9 ft,,37-49,,
6:44.0,Offensive rebound by W. Matthews,,37-49,,
6:34.0,W. Matthews misses 2-pt shot from 2 ft,,37-49,,
6:32.0,Offensive rebound by Team,,37-49,,
6:28.0,H. Barnes misses 2-pt shot from 16 ft,,37-49,,
6:26.0,,,37-49,,Defensive rebound by R. Anderson
6:10.0,,,37-49,,Turnover by T. Ariza (bad pass; steal by S. Curry)
6:04.0,W. Matthews makes 3-pt shot from 25 ft (assist by S. Curry),3,40-49,,
5:46.0,,,40-49,,C. Capela misses 2-pt shot from 1 ft
5:45.0,Defensive rebound by S. Curry,,40-49,,
5:40.0,W. Matthews misses 3-pt shot from 26 ft,,40-49,,
5:38.0,,,40-49,,Defensive rebound by J. Harden
5:25.0,,,40-51,2,S. Dekker makes 2-pt shot at rim (assist by J. Harden)
5:09.0,S. Curry makes 2-pt shot from 1 ft,2,42-51,,
4:47.0,,,42-53,2,R. Anderson makes 2-pt shot from 1 ft (assist by S. Dekker)
4:35.0,,,42-53,,Violation by J. Harden (kicked ball)
4:35.0,J. Anderson enters the game for H. Barnes,,42-53,,
4:23.0,W. Matthews misses 3-pt shot from 25 ft,,42-53,,
4:21.0,,,42-53,,Defensive rebound by T. Ariza
4:13.0,D. Williams enters the game for S. Curry,,42-53,,
4:02.0,,,42-53,,R. Anderson misses 2-pt shot from 22 ft
4:01.0,Defensive rebound by J. Anderson,,42-53,,
3:48.0,W. Matthews misses 3-pt shot from 24 ft,,42-53,,
3:47.0,,,42-53,,Defensive rebound by J. Harden
3:38.0,,,42-55,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
3:38.0,,,42-55,,Shooting foul by D. Williams (drawn by C. Capela)
3:38.0,,,42-56,1,C. Capela makes free throw 1 of 1
3:38.0,,,42-55,,E. Gordon enters the game for S. Dekker
3:15.0,D. Finney-Smith makes 2-pt shot at rim (assist by D. Williams),2,44-56,,
3:04.0,,,44-56,,Turnover by J. Harden (bad pass; steal by D. Powell)
2:58.0,W. Matthews misses 3-pt shot from 25 ft,,44-56,,
2:57.0,,,44-56,,Defensive rebound by R. Anderson
2:46.0,,,44-56,,Houston full timeout
2:46.0,,,44-56,,M. Harrell enters the game for C. Capela
2:35.0,,,44-56,,Shooting foul by J. Anderson (drawn by T. Ariza)
2:35.0,,,44-56,,T. Ariza misses free throw 1 of 2
2:35.0,,,44-56,,Offensive rebound by Team
2:35.0,,,44-57,1,T. Ariza makes free throw 2 of 2
2:22.0,J. Anderson makes 3-pt shot from 24 ft (assist by D. Williams),3,47-57,,
2:00.0,,,47-57,,E. Gordon misses 3-pt shot from 24 ft
1:59.0,Defensive rebound by D. Powell,,47-57,,
1:35.0,J. Anderson misses 3-pt shot from 23 ft,,47-57,,
1:34.0,,,47-57,,Defensive rebound by T. Ariza
1:17.0,,,47-57,,E. Gordon misses 2-pt shot from 2 ft
1:16.0,,,47-57,,Offensive rebound by E. Gordon
1:10.0,,,47-60,3,E. Gordon makes 3-pt shot from 24 ft (assist by J. Harden)
0:56.0,H. Barnes enters the game for J. Anderson,,47-60,,
0:56.0,S. Curry enters the game for D. Powell,,47-60,,
0:47.0,D. Williams misses 2-pt shot from 18 ft,,47-60,,
0:46.0,,,47-60,,Defensive rebound by R. Anderson
0:28.0,,,47-60,,J. Harden misses 3-pt shot from 26 ft
0:26.0,Defensive rebound by D. Williams,,47-60,,
0:04.0,H. Barnes makes 2-pt shot from 15 ft (assist by D. Williams),2,49-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,,,49-60,,J. Harden misses 3-pt shot from 25 ft
11:50.0,Defensive rebound by D. Finney-Smith,,49-60,,
11:29.0,H. Barnes misses 2-pt shot from 10 ft,,49-60,,
11:28.0,,,49-60,,Defensive rebound by Team
11:07.0,,,49-60,,T. Ariza misses 2-pt shot from 5 ft
11:06.0,,,49-60,,Offensive rebound by C. Capela
11:06.0,Jump ball: C. Capela vs. W. Matthews (R. Anderson gains possession),,,,Jump ball: C. Capela vs. W. Matthews (R. Anderson gains possession)
10:59.0,Personal foul by D. Finney-Smith (drawn by J. Harden),,49-60,,
10:54.0,,,49-63,3,J. Harden makes 3-pt shot from 24 ft (assist by C. Capela)
10:36.0,Offensive foul by S. Mejri,,49-63,,
10:36.0,Turnover by S. Mejri (offensive foul),,49-63,,
10:13.0,,,49-63,,C. Capela misses 2-pt shot from 2 ft (block by S. Mejri)
10:12.0,Defensive rebound by D. Williams,,49-63,,
10:06.0,,,49-63,,Personal foul by C. Capela (drawn by S. Mejri)
9:59.0,D. Williams misses 2-pt shot from 20 ft,,49-63,,
9:58.0,,,49-63,,Defensive rebound by P. Beverley
9:45.0,,,49-63,,Shooting foul by S. Mejri (drawn by J. Harden)
9:45.0,,,49-64,1,J. Harden makes free throw 1 of 2
9:45.0,,,49-64,,J. Harden misses free throw 2 of 2
9:45.0,,,49-64,,Offensive rebound by C. Capela
9:45.0,S. Curry enters the game for S. Mejri,,49-64,,
9:44.0,,,49-64,,Shooting foul by W. Matthews (drawn by C. Capela)
9:44.0,,,49-65,1,C. Capela makes free throw 1 of 2
9:44.0,,,49-65,,C. Capela misses free throw 2 of 2
9:44.0,Defensive rebound by D. Finney-Smith,,49-65,,
9:35.0,W. Matthews misses 3-pt shot from 26 ft,,49-65,,
9:33.0,,,49-65,,Defensive rebound by P. Beverley
9:20.0,,,49-65,,T. Ariza misses 3-pt shot from 24 ft
9:18.0,Defensive rebound by W. Matthews,,49-65,,
9:07.0,H. Barnes makes 2-pt shot from 2 ft,2,51-65,,
9:07.0,Shooting foul by C. Capela (drawn by H. Barnes),,51-65,,
9:07.0,H. Barnes makes free throw 1 of 1,1,52-65,,
8:53.0,,,52-65,,Turnover by P. Beverley (traveling)
8:29.0,D. Williams misses 2-pt shot from 2 ft,,52-65,,
8:28.0,,,52-65,,Defensive rebound by T. Ariza
8:18.0,,,52-65,,Turnover by J. Harden (bad pass; steal by H. Barnes)
8:14.0,D. Finney-Smith makes 2-pt shot from 1 ft (assist by H. Barnes),2,54-65,,
7:48.0,,,54-65,,Turnover by T. Ariza (traveling)
7:29.0,H. Barnes misses 2-pt shot from 4 ft,,54-65,,
7:28.0,Offensive rebound by D. Finney-Smith,,54-65,,
7:27.0,D. Finney-Smith misses 2-pt shot from 1 ft,,54-65,,
7:27.0,Offensive rebound by H. Barnes,,54-65,,
7:11.0,W. Matthews misses 2-pt shot from 6 ft,,54-65,,
7:10.0,,,54-65,,Defensive rebound by J. Harden
7:10.0,Technical foul by W. Matthews,,54-65,,
7:10.0,,,54-66,1,J. Harden makes technical free throw
6:57.0,,,54-66,,J. Harden misses 3-pt shot from 26 ft
6:54.0,Defensive rebound by S. Curry,,54-66,,
6:45.0,Shooting foul by C. Capela (drawn by W. Matthews),,54-66,,
6:45.0,W. Matthews misses free throw 1 of 2,,54-66,,
6:45.0,Offensive rebound by Team,,54-66,,
6:45.0,W. Matthews makes free throw 2 of 2,1,55-66,,
6:26.0,,,55-66,,Turnover by R. Anderson (lost ball; steal by D. Finney-Smith)
6:00.0,S. Curry makes 2-pt shot from 1 ft,2,57-66,,
5:47.0,,,57-69,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden)
5:25.0,D. Finney-Smith makes 2-pt shot at rim (assist by S. Curry),2,59-69,,
5:03.0,,,59-72,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
4:48.0,W. Matthews makes 2-pt shot from 13 ft,2,61-72,,
4:33.0,,,61-75,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden)
4:14.0,H. Barnes makes 2-pt shot from 19 ft,2,63-75,,
4:14.0,,,63-75,,Houston full timeout
4:14.0,,,63-75,,M. Harrell enters the game for C. Capela
4:14.0,,,63-75,,E. Gordon enters the game for P. Beverley
4:14.0,D. Powell enters the game for D. Finney-Smith,,63-75,,
4:14.0,J. Gibson enters the game for D. Williams,,63-75,,
4:01.0,,,63-78,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden)
3:41.0,W. Matthews makes 3-pt shot from 25 ft,3,66-78,,
3:28.0,,,66-80,2,M. Harrell makes 2-pt shot from 1 ft (assist by J. Harden)
3:13.0,W. Matthews makes 3-pt shot from 24 ft (assist by D. Powell),3,69-80,,
2:50.0,,,69-80,,E. Gordon misses 2-pt shot from 23 ft
2:49.0,Defensive rebound by W. Matthews,,69-80,,
2:31.0,W. Matthews misses 3-pt shot from 24 ft,,69-80,,
2:30.0,,,69-80,,Defensive rebound by J. Harden
2:19.0,,,69-80,,T. Ariza misses 3-pt shot from 24 ft
2:17.0,,,69-80,,Offensive rebound by M. Harrell
2:12.0,,,69-83,3,E. Gordon makes 3-pt shot from 23 ft (assist by R. Anderson)
1:47.0,Turnover by H. Barnes (lost ball; steal by J. Harden),,69-83,,
1:44.0,Personal foul by S. Curry (drawn by J. Harden),,69-83,,
1:44.0,Dallas full timeout,,69-83,,
1:44.0,,,69-83,,S. Dekker enters the game for M. Harrell
1:44.0,J. Anderson enters the game for H. Barnes,,69-83,,
1:26.0,,,69-83,,J. Harden misses 3-pt shot from 25 ft
1:25.0,,,69-83,,Offensive rebound by S. Dekker
1:18.0,,,69-83,,E. Gordon misses 3-pt shot from 26 ft
1:17.0,Defensive rebound by S. Curry,,69-83,,
0:57.0,W. Matthews misses 2-pt shot from 7 ft,,69-83,,
0:56.0,,,69-83,,Defensive rebound by J. Harden
0:48.0,,,69-83,,R. Anderson misses 3-pt shot from 26 ft
0:47.0,Defensive rebound by D. Powell,,69-83,,
0:36.0,S. Curry misses 2-pt shot from 23 ft,,69-83,,
0:35.0,,,69-83,,Defensive rebound by T. Ariza
0:21.0,,,69-86,3,S. Dekker makes 3-pt shot from 23 ft (assist by J. Harden)
0:02.0,J. Gibson misses 2-pt shot from 7 ft,,69-86,,
0:00.0,,,69-86,,Defensive rebound by R. Anderson
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,Turnover by J. Gibson (step out of bounds),,69-86,,
11:34.0,,,69-86,,Turnover by S. Dekker (bad pass; steal by D. Powell)
11:19.0,Turnover by J. Anderson (offensive foul),,69-86,,
11:19.0,Offensive charge foul by J. Anderson,,69-86,,
10:57.0,,,69-86,,E. Gordon misses 2-pt shot from 1 ft
10:56.0,Defensive rebound by D. Powell,,69-86,,
10:43.0,D. Powell makes 2-pt shot from 1 ft (assist by J. Gibson),2,71-86,,
10:30.0,,,71-86,,Turnover by E. Gordon (bad pass)
10:19.0,J. Anderson misses 3-pt shot from 25 ft,,71-86,,
10:18.0,,,71-86,,Defensive rebound by C. Brewer
10:03.0,,,71-86,,E. Gordon misses 2-pt shot from 23 ft
10:02.0,Defensive rebound by J. Anderson,,71-86,,
9:47.0,Offensive charge foul by J. Anderson,,71-86,,
9:47.0,Turnover by J. Anderson (offensive foul),,71-86,,
9:47.0,H. Barnes enters the game for J. Anderson,,71-86,,
9:27.0,,,71-86,,S. Dekker misses 2-pt shot from 1 ft
9:26.0,Defensive rebound by D. Powell,,71-86,,
9:19.0,D. Powell makes 2-pt shot from 6 ft,2,73-86,,
9:07.0,,,73-89,3,E. Gordon makes 3-pt shot from 26 ft (assist by P. Beverley)
8:51.0,H. Barnes makes 2-pt shot from 19 ft (assist by D. Williams),2,75-89,,
8:35.0,,,75-91,2,M. Harrell makes 2-pt shot at rim (assist by C. Brewer)
8:35.0,,,75-91,,Shooting foul by D. Powell (drawn by M. Harrell)
8:35.0,Official timeout,,75-91,,
8:35.0,,,75-92,1,M. Harrell makes free throw 1 of 1
8:21.0,J. Gibson misses 3-pt shot from 25 ft,,75-92,,
8:19.0,Offensive rebound by H. Barnes,,75-92,,
8:19.0,H. Barnes makes 2-pt shot at rim,2,77-92,,
7:57.0,Personal foul by J. Gibson (drawn by E. Gordon),,77-92,,
7:57.0,,,77-92,,J. Harden enters the game for C. Brewer
7:57.0,W. Matthews enters the game for N. Brussino,,77-92,,
7:49.0,,,77-92,,M. Harrell misses 2-pt shot from 3 ft
7:48.0,Defensive rebound by H. Barnes,,77-92,,
7:33.0,J. Gibson misses 3-pt shot from 25 ft,,77-92,,
7:31.0,,,77-92,,Defensive rebound by J. Harden
7:28.0,,,77-92,,Turnover by S. Dekker (lost ball)
7:08.0,D. Williams misses 3-pt shot from 24 ft,,77-92,,
7:08.0,,,77-92,,Defensive rebound by P. Beverley
6:55.0,,,77-92,,S. Dekker misses 2-pt shot at rim
6:54.0,,,77-92,,Offensive rebound by M. Harrell
6:52.0,S. Curry enters the game for J. Gibson,,77-92,,
6:51.0,Jump ball: M. Harrell vs. W. Matthews (J. Harden gains possession),,,,Jump ball: M. Harrell vs. W. Matthews (J. Harden gains possession)
6:37.0,,,77-92,,P. Beverley misses 3-pt shot from 25 ft
6:35.0,Defensive rebound by D. Powell,,77-92,,
6:20.0,D. Powell makes 2-pt shot at rim,2,79-92,,
6:04.0,,,79-94,2,M. Harrell makes 2-pt shot at rim (assist by E. Gordon)
5:51.0,W. Matthews makes 3-pt shot from 24 ft (assist by D. Williams),3,82-94,,
5:28.0,,,82-97,3,P. Beverley makes 3-pt shot from 23 ft (assist by M. Harrell)
5:07.0,D. Williams misses 2-pt shot from 17 ft,,82-97,,
5:06.0,,,82-97,,Defensive rebound by S. Dekker
4:48.0,,,82-100,3,P. Beverley makes 3-pt shot from 25 ft (assist by E. Gordon)
4:46.0,Dallas full timeout,,82-100,,
4:46.0,,,82-100,,R. Anderson enters the game for E. Gordon
4:46.0,,,82-100,,C. Capela enters the game for S. Dekker
4:46.0,,,82-100,,T. Ariza enters the game for M. Harrell
4:46.0,J. Gibson enters the game for D. Williams,,82-100,,
4:39.0,,,82-100,,Personal foul by P. Beverley (drawn by J. Gibson)
4:32.0,Shooting foul by R. Anderson (drawn by H. Barnes),,82-100,,
4:32.0,H. Barnes makes free throw 1 of 2,1,83-100,,
4:32.0,H. Barnes makes free throw 2 of 2,1,84-100,,
4:18.0,,,84-100,,P. Beverley misses 3-pt shot from 24 ft
4:17.0,Defensive rebound by H. Barnes,,84-100,,
4:03.0,Dallas full timeout,,84-100,,
3:59.0,Turnover by H. Barnes (offensive foul),,84-100,,
3:59.0,Offensive foul by H. Barnes,,84-100,,
3:59.0,N. Brussino enters the game for H. Barnes,,84-100,,
3:59.0,J. Anderson enters the game for W. Matthews,,84-100,,
3:59.0,A. Hammons enters the game for D. Powell,,84-100,,
3:46.0,,,84-100,,J. Harden misses 3-pt shot from 25 ft
3:44.0,,,84-100,,Offensive rebound by P. Beverley
3:32.0,,,84-100,,J. Harden misses 2-pt shot from 15 ft
3:29.0,,,84-100,,Offensive rebound by C. Capela
3:24.0,,,84-102,2,C. Capela makes 2-pt shot at rim
3:18.0,Dallas full timeout,,84-102,,
3:18.0,D. Finney-Smith enters the game for S. Curry,,84-102,,
3:10.0,J. Gibson misses 3-pt shot from 25 ft,,84-102,,
3:09.0,,,84-102,,Defensive rebound by R. Anderson
2:49.0,,,84-102,,R. Anderson misses 3-pt shot from 24 ft
2:47.0,Defensive rebound by A. Hammons,,84-102,,
2:37.0,J. Anderson makes 3-pt shot from 25 ft (assist by J. Gibson),3,87-102,,
2:27.0,,,87-102,,Shooting foul by J. Gibson (drawn by C. Capela)
2:27.0,,,87-102,,C. Capela misses free throw 1 of 2
2:27.0,,,87-102,,Offensive rebound by Team
2:27.0,,,87-103,1,C. Capela makes free throw 2 of 2
2:13.0,J. Anderson misses 3-pt shot from 25 ft,,87-103,,
2:12.0,,,87-103,,Defensive rebound by C. Capela
2:00.0,,,87-103,,T. Ariza misses 3-pt shot from 25 ft
1:59.0,Defensive rebound by Team,,87-103,,
1:59.0,,,87-103,,Loose ball foul by C. Capela (drawn by A. Hammons)
1:48.0,J. Anderson misses 3-pt shot from 25 ft,,87-103,,
1:47.0,,,87-103,,Defensive rebound by J. Harden
1:33.0,,,87-106,3,P. Beverley makes 3-pt shot from 24 ft (assist by T. Ariza)
1:24.0,J. Gibson misses 2-pt shot from 20 ft,,87-106,,
1:23.0,,,87-106,,Defensive rebound by P. Beverley
1:16.0,,,87-106,,J. Harden misses 3-pt shot from 26 ft
1:15.0,Defensive rebound by J. Anderson,,87-106,,
1:05.0,D. Finney-Smith misses 3-pt shot from 23 ft,,87-106,,
1:04.0,Offensive rebound by Team,,87-106,,
1:04.0,,,87-106,,T. Ennis enters the game for T. Ariza
1:04.0,,,87-106,,S. Dekker enters the game for R. Anderson
1:04.0,,,87-106,,K. McDaniels enters the game for J. Harden
0:49.0,N. Brussino misses 2-pt shot from 22 ft,,87-106,,
0:48.0,,,87-106,,Defensive rebound by S. Dekker
0:34.0,,,87-109,3,P. Beverley makes 3-pt shot from 25 ft (assist by C. Capela)
0:34.0,Dallas full timeout,,87-109,,
0:20.0,J. Anderson misses 2-pt shot at rim,,87-109,,
0:19.0,,,87-109,,Defensive rebound by P. Beverley
0:00.0,End of 4th quarter,,,,End of 4th quarter
