time,New Orleans,pts.away,score,pts.home,Sacramento
9:31.0,,,32-25,,Turnover by D. Collison (bad pass; steal by T. Evans)
9:29.0,Shooting foul by D. Collison (drawn by T. Evans),,32-25,,
9:29.0,T. Evans makes free throw 1 of 2,1,33-25,,
9:29.0,T. Evans makes free throw 2 of 2,1,34-25,,
9:09.0,,,34-28,3,A. Tolliver makes 3-pt shot from 24 ft (assist by M. Barnes)
8:57.0,A. Davis makes 2-pt shot from 22 ft (assist by T. Evans),2,36-28,,
8:46.0,,,36-28,,M. Barnes misses 3-pt shot from 26 ft
8:45.0,Defensive rebound by A. Davis,,36-28,,
8:38.0,T. Evans misses 2-pt shot from 22 ft,,36-28,,
8:37.0,Offensive rebound by A. Davis,,36-28,,
8:37.0,A. Davis misses 2-pt shot from 1 ft,,36-28,,
8:36.0,,,36-28,,Defensive rebound by W. Cauley-Stein
8:31.0,,,36-28,,M. Richardson misses 2-pt shot from 12 ft
8:30.0,Defensive rebound by A. Davis,,36-28,,
8:23.0,Turnover by D. Motiejunas (lost ball; steal by M. Richardson),,36-28,,
8:19.0,Violation by S. Hill (kicked ball),,36-28,,
8:19.0,Official timeout,,36-28,,
8:19.0,B. Hield enters the game for D. Motiejunas,,36-28,,
8:19.0,D. Cunningham enters the game for T. Evans,,36-28,,
8:19.0,J. Holiday enters the game for T. Frazier,,36-28,,
8:19.0,,,36-28,,D. Cousins enters the game for A. Tolliver
8:02.0,,,36-28,,D. Collison misses 2-pt shot from 2 ft
8:02.0,Defensive rebound by Team,,36-28,,
7:46.0,S. Hill misses 3-pt shot from 23 ft,,36-28,,
7:45.0,,,36-28,,Defensive rebound by D. Cousins
7:28.0,,,36-30,2,W. Cauley-Stein makes 2-pt shot from 8 ft (assist by D. Collison)
7:16.0,Shooting foul by M. Barnes (drawn by A. Davis),,36-30,,
7:16.0,A. Davis makes free throw 1 of 2,1,37-30,,
7:16.0,A. Davis makes free throw 2 of 2,1,38-30,,
7:16.0,,,37-30,,B. McLemore enters the game for M. Richardson
7:07.0,Personal foul by D. Cunningham (drawn by D. Cousins),,38-30,,
6:58.0,,,38-32,2,M. Barnes makes 2-pt shot from 3 ft
6:43.0,A. Davis makes 2-pt shot from 13 ft,2,40-32,,
6:30.0,,,40-32,,Offensive charge foul by D. Cousins
6:30.0,,,40-32,,Turnover by D. Cousins (offensive foul)
6:11.0,A. Davis misses 2-pt shot from 21 ft,,40-32,,
6:10.0,,,40-32,,Defensive rebound by D. Cousins
6:02.0,Personal foul by B. Hield (drawn by D. Cousins),,40-32,,
6:02.0,,,40-32,,D. Cousins misses free throw 1 of 2
6:02.0,,,40-32,,Offensive rebound by Team
6:02.0,,,40-33,1,D. Cousins makes free throw 2 of 2
5:49.0,S. Hill makes 3-pt shot from 25 ft (assist by B. Hield),3,43-33,,
5:30.0,,,43-33,,M. Barnes misses 3-pt shot from 25 ft
5:29.0,Defensive rebound by A. Davis,,43-33,,
5:23.0,Shooting foul by W. Cauley-Stein (drawn by A. Davis),,43-33,,
5:23.0,,,43-33,,Sacramento full timeout
5:23.0,A. Davis makes free throw 1 of 2,1,44-33,,
5:23.0,A. Davis makes free throw 2 of 2,1,45-33,,
5:05.0,Personal foul by S. Hill (drawn by D. Cousins),,45-33,,
5:05.0,,,45-34,1,D. Cousins makes free throw 1 of 2
5:05.0,,,45-35,1,D. Cousins makes free throw 2 of 2
4:49.0,B. Hield misses 3-pt shot from 23 ft,,45-35,,
4:48.0,,,45-35,,Defensive rebound by D. Cousins
4:27.0,,,45-37,2,D. Collison makes 2-pt shot from 18 ft
4:11.0,D. Cunningham makes 3-pt shot from 24 ft (assist by B. Hield),3,48-37,,
3:50.0,,,48-37,,D. Cousins misses 3-pt shot from 25 ft
3:48.0,Defensive rebound by Team,,48-37,,
3:27.0,A. Davis makes 2-pt shot from 6 ft,2,50-37,,
3:15.0,,,50-39,2,D. Collison makes 2-pt shot from 3 ft (assist by D. Cousins)
3:07.0,J. Holiday misses 2-pt shot from 3 ft,,50-39,,
3:06.0,,,50-39,,Defensive rebound by M. Barnes
2:55.0,Flagrant foul type 1 by B. Hield (drawn by D. Cousins),,50-39,,
2:55.0,New Orleans full timeout,,50-39,,
2:55.0,,,50-40,1,D. Cousins makes flagrant free throw 1 of 2
2:55.0,,,50-41,1,D. Cousins makes flagrant free throw 2 of 2
2:55.0,,,50-41,,A. Afflalo enters the game for W. Cauley-Stein
2:55.0,D. Motiejunas enters the game for D. Cunningham,,50-41,,
2:55.0,L. Galloway enters the game for B. Hield,,50-41,,
2:48.0,Personal foul by L. Galloway (drawn by D. Cousins),,50-41,,
2:48.0,,,50-42,1,D. Cousins makes free throw 1 of 2
2:48.0,,,50-43,1,D. Cousins makes free throw 2 of 2
2:35.0,A. Davis makes 2-pt shot from 21 ft,2,52-43,,
2:15.0,,,52-45,2,M. Barnes makes 2-pt shot from 2 ft (assist by B. McLemore)
1:58.0,D. Motiejunas misses 3-pt shot from 22 ft,,52-45,,
1:57.0,,,52-45,,Defensive rebound by M. Barnes
1:51.0,,,52-45,,A. Afflalo misses 3-pt shot from 25 ft
1:50.0,,,52-45,,Offensive rebound by M. Barnes
1:46.0,,,52-48,3,D. Collison makes 3-pt shot from 25 ft (assist by M. Barnes)
1:38.0,New Orleans full timeout,,52-48,,
1:29.0,J. Holiday misses 2-pt shot from 2 ft,,52-48,,
1:28.0,,,52-48,,Defensive rebound by D. Cousins
1:19.0,,,52-51,3,M. Barnes makes 3-pt shot from 25 ft (assist by D. Collison)
1:15.0,Turnover by A. Davis (bad pass; steal by D. Collison),,52-51,,
1:10.0,,,52-51,,D. Collison misses 2-pt shot from 2 ft
1:08.0,Defensive rebound by J. Holiday,,52-51,,
1:00.0,Turnover by A. Davis (lost ball; steal by D. Collison),,52-51,,
0:53.0,,,52-51,,B. McLemore misses 3-pt shot from 24 ft
0:52.0,,,52-51,,Offensive rebound by B. McLemore
0:48.0,,,52-51,,M. Barnes misses 3-pt shot from 25 ft
0:47.0,Defensive rebound by D. Motiejunas,,52-51,,
0:47.0,,,52-51,,Personal foul by B. McLemore (drawn by D. Motiejunas)
0:47.0,D. Motiejunas makes free throw 1 of 2,1,53-51,,
0:47.0,D. Motiejunas makes free throw 2 of 2,1,54-51,,
0:43.0,,,54-51,,Turnover by D. Collison (lost ball; steal by J. Holiday)
0:39.0,J. Holiday makes 2-pt shot at rim (assist by A. Davis),2,56-51,,
0:29.0,,,56-51,,D. Cousins misses 2-pt shot from 4 ft (block by D. Motiejunas)
0:27.0,Defensive rebound by S. Hill,,56-51,,
0:04.0,Turnover by J. Holiday (lost ball),,56-51,,
0:00.0,,,56-53,2,D. Collison makes 2-pt shot from 17 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,D. Cunningham misses 2-pt shot from 1 ft,,56-53,,
11:45.0,,,56-53,,Defensive rebound by D. Collison
11:26.0,,,56-56,3,A. Afflalo makes 3-pt shot from 25 ft (assist by D. Collison)
11:10.0,J. Holiday misses 3-pt shot from 25 ft,,56-56,,
11:09.0,,,56-56,,Defensive rebound by K. Koufos
11:00.0,,,56-56,,D. Collison misses 2-pt shot from 4 ft (block by A. Davis)
10:57.0,,,56-56,,Offensive rebound by K. Koufos
10:53.0,,,56-59,3,B. McLemore makes 3-pt shot from 26 ft (assist by K. Koufos)
10:38.0,Turnover by J. Holiday (bad pass; steal by A. Afflalo),,56-59,,
10:27.0,,,56-62,3,B. McLemore makes 3-pt shot from 25 ft (assist by D. Cousins)
10:27.0,New Orleans full timeout,,56-62,,
10:22.0,Turnover by T. Frazier (lost ball),,56-62,,
10:08.0,,,56-62,,Turnover by D. Cousins (lost ball)
9:54.0,J. Holiday misses 2-pt shot from 7 ft,,56-62,,
9:54.0,,,56-62,,Defensive rebound by Team
9:54.0,Loose ball foul by A. Davis (drawn by D. Cousins),,56-62,,
9:34.0,,,56-62,,K. Koufos misses 2-pt shot from 8 ft
9:33.0,,,56-62,,Offensive rebound by D. Cousins
9:32.0,,,56-64,2,D. Cousins makes 2-pt shot from 3 ft
9:24.0,T. Frazier misses 2-pt shot from 2 ft,,56-64,,
9:23.0,,,56-64,,Defensive rebound by D. Cousins
9:11.0,,,56-64,,D. Collison misses 3-pt shot from 25 ft
9:10.0,Defensive rebound by J. Holiday,,56-64,,
9:04.0,A. Davis misses 2-pt shot from 19 ft,,56-64,,
9:03.0,,,56-64,,Defensive rebound by A. Afflalo
8:45.0,,,56-66,2,A. Afflalo makes 2-pt shot from 14 ft (assist by D. Cousins)
8:34.0,Shooting foul by K. Koufos (drawn by A. Davis),,56-66,,
8:34.0,A. Davis makes free throw 1 of 2,1,57-66,,
8:34.0,A. Davis makes free throw 2 of 2,1,58-66,,
8:24.0,,,58-66,,Offensive foul by K. Koufos
8:24.0,,,58-66,,Turnover by K. Koufos (offensive foul)
8:14.0,Turnover by A. Davis (lost ball; steal by B. McLemore),,58-66,,
8:01.0,,,58-66,,Turnover by D. Cousins (offensive foul)
8:01.0,,,58-66,,Offensive foul by D. Cousins
7:48.0,Turnover by A. Davis (traveling),,58-66,,
7:35.0,Personal foul by S. Hill (drawn by A. Afflalo),,58-66,,
7:20.0,,,58-66,,B. McLemore misses 3-pt shot from 25 ft
7:19.0,Defensive rebound by A. Davis,,58-66,,
7:07.0,Turnover by A. Davis (lost ball; steal by K. Koufos),,58-66,,
7:05.0,,,58-66,,Turnover by B. McLemore (lost ball; steal by A. Davis)
7:02.0,A. Davis misses 2-pt shot from 2 ft (block by K. Koufos),,58-66,,
7:01.0,Offensive rebound by T. Frazier,,58-66,,
6:59.0,T. Frazier misses 2-pt shot from 2 ft,,58-66,,
6:57.0,,,58-66,,Defensive rebound by D. Cousins
6:55.0,Personal foul by A. Davis (drawn by D. Cousins),,58-66,,
6:43.0,,,58-66,,B. McLemore misses 2-pt shot from 17 ft
6:42.0,Defensive rebound by A. Davis,,58-66,,
6:36.0,J. Holiday makes 2-pt shot from 3 ft,2,60-66,,
6:10.0,,,60-68,2,D. Collison makes 2-pt shot from 16 ft
6:03.0,,,60-68,,Personal foul by D. Collison (drawn by J. Holiday)
6:03.0,L. Galloway enters the game for T. Frazier,,60-68,,
5:55.0,J. Holiday makes 2-pt shot from 2 ft,2,62-68,,
5:37.0,,,62-68,,Turnover by D. Cousins (lost ball; steal by J. Holiday)
5:32.0,Turnover by A. Davis (lost ball; steal by D. Collison),,62-68,,
5:24.0,,,62-68,,D. Cousins misses 3-pt shot from 26 ft
5:22.0,Defensive rebound by J. Holiday,,62-68,,
5:07.0,A. Davis misses 2-pt shot from 8 ft,,62-68,,
5:06.0,,,62-68,,Defensive rebound by K. Koufos
5:00.0,,,62-68,,Sacramento full timeout
5:00.0,,,62-68,,M. Barnes enters the game for D. Collison
4:53.0,Personal foul by S. Hill (drawn by M. Barnes),,62-68,,
4:46.0,,,62-68,,Turnover by M. Barnes (bad pass)
4:32.0,D. Cunningham makes 3-pt shot from 24 ft (assist by J. Holiday),3,65-68,,
4:29.0,,,65-68,,Technical foul by M. Barnes
4:29.0,J. Holiday makes technical free throw,1,66-68,,
4:29.0,D. Motiejunas enters the game for S. Hill,,66-68,,
4:09.0,,,66-68,,D. Cousins misses 2-pt shot from 18 ft
4:08.0,Defensive rebound by D. Cunningham,,66-68,,
4:00.0,J. Holiday misses 2-pt shot from 19 ft,,66-68,,
3:59.0,Offensive rebound by J. Holiday,,66-68,,
3:56.0,A. Davis misses 2-pt shot from 21 ft,,66-68,,
3:54.0,Offensive rebound by D. Motiejunas,,66-68,,
3:53.0,,,66-68,,A. Tolliver enters the game for K. Koufos
3:41.0,A. Davis makes 2-pt shot from 4 ft (assist by J. Holiday),2,68-68,,
3:22.0,,,68-70,2,D. Cousins makes 2-pt shot from 20 ft
3:13.0,Turnover by D. Motiejunas (lost ball),,68-70,,
3:00.0,,,68-70,,A. Tolliver misses 3-pt shot from 24 ft
2:59.0,Defensive rebound by A. Davis,,68-70,,
2:42.0,D. Motiejunas makes 2-pt shot from 8 ft (assist by D. Cunningham),2,70-70,,
2:23.0,,,70-70,,M. Barnes misses 3-pt shot from 25 ft
2:22.0,Defensive rebound by D. Motiejunas,,70-70,,
2:12.0,D. Motiejunas misses 3-pt shot from 24 ft,,70-70,,
2:12.0,,,70-70,,Defensive rebound by D. Cousins
2:02.0,,,70-72,2,D. Cousins makes 2-pt shot from 3 ft
1:48.0,J. Holiday misses 3-pt shot from 25 ft,,70-72,,
1:47.0,,,70-72,,Defensive rebound by M. Barnes
1:41.0,,,70-72,,A. Tolliver misses 3-pt shot from 23 ft
1:40.0,Defensive rebound by A. Davis,,70-72,,
1:17.0,L. Galloway makes 3-pt shot from 25 ft (assist by D. Motiejunas),3,73-72,,
0:53.0,,,73-74,2,B. McLemore makes 2-pt shot from 18 ft (assist by D. Cousins)
0:43.0,,,73-74,,Personal foul by B. McLemore (drawn by J. Holiday)
0:43.0,,,73-74,,W. Cauley-Stein enters the game for A. Afflalo
0:43.0,,,73-74,,M. Richardson enters the game for D. Cousins
0:43.0,,,73-74,,D. Collison enters the game for B. McLemore
0:43.0,T. Evans enters the game for J. Holiday,,73-74,,
0:31.0,A. Davis misses 2-pt shot from 7 ft,,73-74,,
0:30.0,,,73-74,,Defensive rebound by A. Tolliver
0:09.0,,,73-76,2,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by D. Collison)
0:01.0,Turnover by D. Motiejunas (lost ball; steal by A. Tolliver),,73-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,73-76,,Turnover by A. Tolliver (lost ball)
11:35.0,L. Galloway misses 2-pt shot from 21 ft,,73-76,,
11:34.0,,,73-76,,Defensive rebound by W. Cauley-Stein
11:18.0,,,73-76,,W. Cauley-Stein misses 2-pt shot from 4 ft
11:17.0,Defensive rebound by S. Hill,,73-76,,
11:05.0,Turnover by S. Hill (bad pass; steal by A. Tolliver),,73-76,,
10:58.0,,,73-79,3,A. Tolliver makes 3-pt shot from 25 ft (assist by D. Collison)
10:44.0,S. Hill misses 3-pt shot from 25 ft,,73-79,,
10:43.0,,,73-79,,Defensive rebound by W. Cauley-Stein
10:25.0,,,73-79,,M. Richardson misses 3-pt shot from 24 ft
10:23.0,Defensive rebound by D. Motiejunas,,73-79,,
10:14.0,T. Evans makes 2-pt shot from 4 ft,2,75-79,,
9:48.0,,,75-81,2,W. Cauley-Stein makes 2-pt shot from 3 ft (assist by D. Collison)
9:37.0,T. Evans misses 3-pt shot from 25 ft,,75-81,,
9:36.0,,,75-81,,Defensive rebound by W. Cauley-Stein
9:25.0,,,75-81,,W. Cauley-Stein misses 2-pt shot from 4 ft
9:24.0,Defensive rebound by A. Davis,,75-81,,
9:21.0,,,75-81,,Shooting block foul by M. Richardson (drawn by T. Evans)
9:21.0,T. Evans makes free throw 1 of 2,1,76-81,,
9:21.0,T. Evans misses free throw 2 of 2,,76-81,,
9:21.0,D. Cunningham enters the game for A. Davis,,76-81,,
9:21.0,J. Holiday enters the game for S. Hill,,76-81,,
9:19.0,,,76-81,,Defensive rebound by A. Tolliver
9:02.0,,,76-83,2,M. Richardson makes 2-pt shot from 4 ft (assist by D. Collison)
9:02.0,,,76-83,,Shooting foul by L. Galloway (drawn by M. Richardson)
9:02.0,,,76-84,1,M. Richardson makes free throw 1 of 1
8:46.0,L. Galloway makes 3-pt shot from 25 ft (assist by D. Cunningham),3,79-84,,
8:21.0,,,79-84,,D. Collison misses 2-pt shot from 3 ft
8:20.0,Defensive rebound by T. Evans,,79-84,,
8:11.0,T. Evans makes 2-pt shot from 3 ft,2,81-84,,
7:52.0,,,81-84,,Shooting foul by D. Cunningham (drawn by W. Cauley-Stein)
7:52.0,Official timeout,,81-84,,
7:52.0,,,81-85,1,W. Cauley-Stein makes free throw 1 of 2
7:52.0,,,81-86,1,W. Cauley-Stein makes free throw 2 of 2
7:52.0,,,81-84,,A. Afflalo enters the game for M. Richardson
7:37.0,L. Galloway misses 3-pt shot from 24 ft,,81-86,,
7:35.0,,,81-86,,Defensive rebound by Team
7:20.0,,,81-86,,D. Collison misses 2-pt shot from 21 ft
7:19.0,Defensive rebound by T. Evans,,81-86,,
7:13.0,Offensive charge foul by T. Evans,,81-86,,
7:13.0,Turnover by T. Evans (offensive foul),,81-86,,
6:50.0,,,81-89,3,A. Tolliver makes 3-pt shot from 26 ft (assist by A. Afflalo)
6:28.0,T. Evans misses 2-pt shot from 3 ft,,81-89,,
6:27.0,,,81-89,,Defensive rebound by A. Tolliver
6:21.0,,,81-89,,A. Afflalo misses 2-pt shot from 14 ft
6:20.0,Defensive rebound by T. Evans,,81-89,,
6:06.0,D. Cunningham makes 3-pt shot from 24 ft (assist by D. Motiejunas),3,84-89,,
5:46.0,,,84-91,2,A. Afflalo makes 2-pt shot from 11 ft
5:33.0,J. Holiday makes 2-pt shot from 12 ft,2,86-91,,
5:17.0,,,86-91,,Shooting foul by L. Galloway (drawn by A. Afflalo)
5:17.0,,,86-91,,Sacramento full timeout
5:17.0,,,86-92,1,A. Afflalo makes free throw 1 of 2
5:17.0,,,86-93,1,A. Afflalo makes free throw 2 of 2
5:17.0,,,86-91,,D. Cousins enters the game for W. Cauley-Stein
5:17.0,A. Davis enters the game for D. Motiejunas,,86-91,,
5:17.0,S. Hill enters the game for T. Evans,,86-91,,
5:02.0,J. Holiday misses 3-pt shot from 25 ft,,86-93,,
5:00.0,Offensive rebound by Team,,86-93,,
4:50.0,D. Cunningham misses 2-pt shot from 2 ft (block by M. Barnes),,86-93,,
4:48.0,Offensive rebound by D. Cunningham,,86-93,,
4:47.0,D. Cunningham misses 2-pt shot from 1 ft,,86-93,,
4:45.0,,,86-93,,Defensive rebound by D. Collison
4:26.0,,,86-93,,D. Collison misses 2-pt shot from 2 ft
4:25.0,Defensive rebound by A. Davis,,86-93,,
4:18.0,L. Galloway makes 3-pt shot from 24 ft (assist by J. Holiday),3,89-93,,
3:56.0,,,89-95,2,D. Cousins makes 2-pt shot at rim (assist by M. Barnes)
3:42.0,A. Davis misses 2-pt shot from 3 ft,,89-95,,
3:41.0,,,89-95,,Defensive rebound by A. Tolliver
