time,Charlotte,pts.away,score,pts.home,Brooklyn
5:27.0,,,23-14,,Brooklyn full timeout
5:10.0,,,23-14,,J. Harris misses 3-pt shot from 24 ft
5:09.0,Defensive rebound by C. Zeller,,23-14,,
4:57.0,J. Lamb misses 2-pt shot from 20 ft,,23-14,,
4:56.0,,,23-14,,Defensive rebound by J. Harris
4:45.0,,,23-14,,Shooting foul by C. Zeller (drawn by S. Kilpatrick)
4:45.0,,,23-15,1,S. Kilpatrick makes free throw 1 of 2
4:45.0,,,23-15,,S. Kilpatrick misses free throw 2 of 2
4:45.0,,,23-15,,B. Bogdanovic enters the game for J. Harris
4:45.0,F. Kaminsky enters the game for M. Williams,,23-15,,
4:44.0,Defensive rebound by F. Kaminsky,,23-15,,
4:32.0,K. Walker makes 2-pt shot from 2 ft,2,25-15,,
4:11.0,,,25-17,2,J. Lin makes 2-pt shot from 16 ft
3:57.0,F. Kaminsky makes 3-pt shot from 25 ft (assist by K. Walker),3,28-17,,
3:36.0,,,28-17,,T. Booker misses 2-pt shot from 9 ft
3:35.0,Defensive rebound by F. Kaminsky,,28-17,,
3:28.0,C. Zeller misses 2-pt shot from 7 ft,,28-17,,
3:27.0,,,28-17,,Defensive rebound by T. Booker
3:23.0,,,28-17,,I. Whitehead enters the game for J. Lin
3:23.0,,,28-17,,R. Hollis-Jefferson enters the game for T. Booker
3:23.0,R. Sessions enters the game for K. Walker,,28-17,,
3:17.0,,,28-17,,Shooting foul by C. Zeller (drawn by R. Hollis-Jefferson)
3:17.0,,,28-18,1,R. Hollis-Jefferson makes free throw 1 of 2
3:17.0,,,28-18,,R. Hollis-Jefferson misses free throw 2 of 2
3:17.0,R. Hibbert enters the game for C. Zeller,,28-18,,
3:16.0,Defensive rebound by N. Batum,,28-18,,
3:01.0,N. Batum misses 2-pt shot from 11 ft,,28-18,,
3:00.0,Offensive rebound by R. Hibbert,,28-18,,
2:56.0,J. Lamb makes 3-pt shot from 24 ft (assist by R. Hibbert),3,31-18,,
2:38.0,,,31-21,3,I. Whitehead makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson)
2:21.0,,,31-21,,B. Lopez enters the game for J. Hamilton
2:18.0,J. Lamb makes 2-pt shot from 6 ft (assist by R. Sessions),2,33-21,,
2:08.0,,,33-23,2,S. Kilpatrick makes 2-pt shot from 3 ft (assist by B. Lopez)
1:45.0,J. Lamb misses 3-pt shot from 23 ft,,33-23,,
1:43.0,Offensive rebound by F. Kaminsky,,33-23,,
1:41.0,Shooting foul by R. Hollis-Jefferson (drawn by J. Lamb),,33-23,,
1:41.0,J. Lamb misses free throw 1 of 2,,33-23,,
1:41.0,Offensive rebound by Team,,33-23,,
1:41.0,J. Lamb makes free throw 2 of 2,1,34-23,,
1:41.0,,,33-23,,C. LeVert enters the game for S. Kilpatrick
1:33.0,,,34-23,,Shooting foul by F. Kaminsky (drawn by R. Hollis-Jefferson)
1:33.0,,,34-24,1,R. Hollis-Jefferson makes free throw 1 of 2
1:33.0,,,34-25,1,R. Hollis-Jefferson makes free throw 2 of 2
1:21.0,N. Batum makes 2-pt shot from 18 ft,2,36-25,,
1:12.0,,,36-25,,B. Bogdanovic misses 2-pt shot from 1 ft
1:10.0,,,36-25,,Offensive rebound by R. Hollis-Jefferson
1:08.0,,,36-25,,Shooting foul by N. Batum (drawn by R. Hollis-Jefferson)
1:08.0,,,36-26,1,R. Hollis-Jefferson makes free throw 1 of 2
1:08.0,,,36-26,,R. Hollis-Jefferson misses free throw 2 of 2
1:07.0,Defensive rebound by N. Batum,,36-26,,
0:57.0,F. Kaminsky makes 2-pt shot from 5 ft,2,38-26,,
0:43.0,,,38-26,,I. Whitehead misses 2-pt shot from 2 ft (block by J. Lamb)
0:42.0,,,38-26,,Offensive rebound by B. Bogdanovic
0:41.0,,,38-26,,Shooting foul by R. Hibbert (drawn by B. Bogdanovic)
0:41.0,,,38-27,1,B. Bogdanovic makes free throw 1 of 2
0:41.0,,,38-28,1,B. Bogdanovic makes free throw 2 of 2
0:29.0,F. Kaminsky makes 2-pt shot from 7 ft (assist by R. Sessions),2,40-28,,
0:08.0,,,40-31,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by I. Whitehead)
0:01.0,R. Sessions misses 3-pt shot from 27 ft,,40-31,,
0:00.0,Offensive rebound by Team,,40-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,40-31,,Personal foul by B. Lopez (drawn by F. Kaminsky)
11:41.0,J. Lamb makes 2-pt shot from 15 ft,2,42-31,,
11:33.0,,,42-33,2,I. Whitehead makes 2-pt shot from 3 ft (assist by B. Lopez)
11:26.0,Charlotte full timeout,,42-33,,
11:06.0,F. Kaminsky misses 3-pt shot from 26 ft,,42-33,,
11:05.0,,,42-33,,Defensive rebound by B. Bogdanovic
10:49.0,,,42-36,3,C. LeVert makes 3-pt shot from 25 ft (assist by I. Whitehead)
10:26.0,M. Kidd-Gilchrist makes 2-pt shot from 17 ft (assist by R. Sessions),2,44-36,,
10:11.0,,,44-38,2,R. Hollis-Jefferson makes 2-pt shot at rim (assist by C. LeVert)
9:58.0,R. Sessions makes 2-pt shot from 2 ft,2,46-38,,
9:47.0,,,46-38,,Turnover by I. Whitehead (bad pass; steal by R. Hibbert)
9:40.0,R. Sessions misses 2-pt shot from 6 ft,,46-38,,
9:38.0,,,46-38,,Defensive rebound by B. Bogdanovic
9:30.0,,,46-38,,Turnover by C. LeVert (traveling)
9:30.0,,,46-38,,J. Lin enters the game for I. Whitehead
9:05.0,J. Lamb makes 3-pt shot from 24 ft,3,49-38,,
8:55.0,,,49-38,,R. Hollis-Jefferson misses 2-pt shot from 2 ft
8:54.0,Defensive rebound by M. Kidd-Gilchrist,,49-38,,
8:44.0,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by R. Sessions),2,51-38,,
8:43.0,,,51-38,,Brooklyn full timeout
8:43.0,K. Walker enters the game for J. Lamb,,51-38,,
8:43.0,,,51-38,,J. Hamilton enters the game for B. Lopez
8:43.0,,,51-38,,R. Foye enters the game for C. LeVert
8:33.0,,,51-41,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by J. Hamilton)
8:17.0,F. Kaminsky makes 2-pt shot from 5 ft (assist by R. Hibbert),2,53-41,,
8:07.0,,,53-41,,B. Bogdanovic misses 3-pt shot from 26 ft
8:06.0,Defensive rebound by R. Hibbert,,53-41,,
7:57.0,R. Sessions misses 2-pt shot from 2 ft,,53-41,,
7:55.0,,,53-41,,Defensive rebound by R. Foye
7:49.0,,,53-44,3,J. Lin makes 3-pt shot from 27 ft
7:34.0,F. Kaminsky misses 3-pt shot from 26 ft,,53-44,,
7:33.0,,,53-44,,Defensive rebound by J. Hamilton
7:19.0,,,53-44,,R. Hollis-Jefferson misses 2-pt shot from 11 ft
7:18.0,Defensive rebound by F. Kaminsky,,53-44,,
7:05.0,M. Kidd-Gilchrist makes 2-pt shot from 3 ft (assist by K. Walker),2,55-44,,
6:53.0,,,55-46,2,J. Lin makes 2-pt shot from 24 ft
6:34.0,R. Sessions misses 3-pt shot from 24 ft,,55-46,,
6:32.0,Offensive rebound by R. Hibbert,,55-46,,
6:19.0,Offensive charge foul by F. Kaminsky,,55-46,,
6:19.0,Turnover by F. Kaminsky (offensive foul),,55-46,,
6:19.0,,,55-46,,J. Harris enters the game for B. Bogdanovic
6:19.0,M. Williams enters the game for F. Kaminsky,,55-46,,
6:19.0,N. Batum enters the game for R. Sessions,,55-46,,
6:07.0,,,55-46,,Turnover by J. Lin (bad pass; steal by K. Walker)
6:02.0,Turnover by K. Walker (lost ball; steal by J. Lin),,55-46,,
5:58.0,,,55-46,,R. Hollis-Jefferson misses 2-pt shot from 2 ft
5:56.0,Defensive rebound by M. Kidd-Gilchrist,,55-46,,
5:46.0,M. Kidd-Gilchrist misses 2-pt shot from 3 ft (block by J. Hamilton),,55-46,,
5:44.0,,,55-46,,Defensive rebound by J. Hamilton
5:31.0,,,55-46,,J. Hamilton misses 3-pt shot from 25 ft
5:30.0,Defensive rebound by K. Walker,,55-46,,
5:21.0,,,55-46,,Personal foul by J. Lin (drawn by K. Walker)
5:21.0,Official timeout,,55-46,,
5:21.0,,,55-46,,B. Lopez enters the game for J. Hamilton
5:21.0,,,55-46,,T. Booker enters the game for R. Hollis-Jefferson
5:21.0,C. Zeller enters the game for R. Hibbert,,55-46,,
5:12.0,N. Batum misses 3-pt shot from 25 ft,,55-46,,
5:09.0,,,55-46,,Defensive rebound by T. Booker
5:01.0,,,55-46,,Turnover by B. Lopez (bad pass; steal by K. Walker)
4:53.0,K. Walker misses 2-pt shot from 17 ft,,55-46,,
4:52.0,,,55-46,,Defensive rebound by T. Booker
4:39.0,,,55-48,2,B. Lopez makes 2-pt shot from 8 ft
4:14.0,M. Kidd-Gilchrist misses 2-pt shot from 11 ft,,55-48,,
4:13.0,,,55-48,,Defensive rebound by T. Booker
4:01.0,,,55-48,,Shooting foul by K. Walker (drawn by J. Lin)
4:01.0,,,55-49,1,J. Lin makes free throw 1 of 2
4:01.0,,,55-49,,J. Lin misses free throw 2 of 2
4:01.0,,,55-49,,S. Kilpatrick enters the game for J. Harris
3:59.0,Defensive rebound by M. Williams,,55-49,,
3:39.0,M. Williams misses 2-pt shot from 11 ft,,55-49,,
3:38.0,Offensive rebound by M. Kidd-Gilchrist,,55-49,,
3:34.0,M. Williams misses 3-pt shot from 26 ft,,55-49,,
3:32.0,,,55-49,,Defensive rebound by S. Kilpatrick
3:22.0,,,55-49,,B. Lopez misses 2-pt shot from 13 ft
3:21.0,Defensive rebound by C. Zeller,,55-49,,
3:12.0,Shooting foul by R. Foye (drawn by M. Kidd-Gilchrist),,55-49,,
3:12.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,56-49,,
3:12.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,57-49,,
3:00.0,,,57-49,,Turnover by J. Lin (bad pass; steal by N. Batum)
2:55.0,,,57-49,,Personal foul by S. Kilpatrick (drawn by N. Batum)
2:55.0,Charlotte full timeout,,57-49,,
2:48.0,N. Batum misses 2-pt shot from 17 ft,,57-49,,
2:47.0,,,57-49,,Defensive rebound by T. Booker
2:35.0,,,57-52,3,S. Kilpatrick makes 3-pt shot from 26 ft
2:07.0,K. Walker makes 2-pt shot from 19 ft (assist by C. Zeller),2,59-52,,
1:54.0,,,59-52,,B. Lopez misses 2-pt shot from 6 ft
1:53.0,Defensive rebound by M. Williams,,59-52,,
1:45.0,K. Walker makes 2-pt shot from 11 ft (assist by C. Zeller),2,61-52,,
1:33.0,,,61-52,,Brooklyn full timeout
1:33.0,R. Hibbert enters the game for C. Zeller,,61-52,,
1:27.0,,,61-54,2,J. Lin makes 2-pt shot from 19 ft
1:06.0,K. Walker misses 3-pt shot from 24 ft,,61-54,,
1:05.0,,,61-54,,Defensive rebound by T. Booker
0:56.0,,,61-54,,R. Foye misses 3-pt shot from 24 ft
0:55.0,Defensive rebound by Team,,61-54,,
0:55.0,,,61-54,,Loose ball foul by T. Booker (drawn by M. Williams)
0:55.0,M. Williams makes free throw 1 of 2,1,62-54,,
0:55.0,M. Williams makes free throw 2 of 2,1,63-54,,
0:34.0,,,63-54,,B. Lopez misses 3-pt shot from 25 ft
0:33.0,Defensive rebound by M. Kidd-Gilchrist,,63-54,,
0:13.0,K. Walker misses 3-pt shot from 25 ft,,63-54,,
0:12.0,,,63-54,,Defensive rebound by T. Booker
0:00.0,,,63-54,,J. Lin misses 2-pt shot from 12 ft
0:00.0,,,63-54,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,K. Walker makes 2-pt shot from 18 ft,2,65-54,,
11:25.0,,,65-54,,Turnover by J. Lin (lost ball; steal by M. Williams)
11:21.0,K. Walker misses 2-pt shot from 2 ft,,65-54,,
11:20.0,,,65-54,,Defensive rebound by J. Harris
11:15.0,,,65-54,,J. Lin misses 3-pt shot from 25 ft
11:13.0,Defensive rebound by N. Batum,,65-54,,
11:08.0,N. Batum makes 2-pt shot from 2 ft,2,67-54,,
11:08.0,Shooting foul by S. Kilpatrick (drawn by N. Batum),,67-54,,
11:08.0,N. Batum makes free throw 1 of 1,1,68-54,,
10:50.0,,,68-54,,Shooting foul by K. Walker (drawn by J. Lin)
10:50.0,,,68-55,1,J. Lin makes free throw 1 of 2
10:50.0,,,68-56,1,J. Lin makes free throw 2 of 2
10:35.0,K. Walker misses 3-pt shot from 25 ft,,68-56,,
10:34.0,,,68-56,,Defensive rebound by T. Booker
10:14.0,,,68-59,3,S. Kilpatrick makes 3-pt shot from 27 ft (assist by T. Booker)
10:02.0,K. Walker misses 2-pt shot from 1 ft (block by B. Lopez),,68-59,,
10:01.0,,,68-59,,Defensive rebound by B. Lopez
9:49.0,,,68-61,2,B. Lopez makes 2-pt shot at rim (assist by J. Lin)
9:36.0,Offensive foul by M. Williams,,68-61,,
9:36.0,Turnover by M. Williams (offensive foul),,68-61,,
9:36.0,,,68-61,,B. Bogdanovic enters the game for J. Harris
9:28.0,,,68-61,,T. Booker misses 2-pt shot from 3 ft
9:27.0,,,68-61,,Offensive rebound by B. Lopez
9:26.0,,,68-63,2,B. Lopez makes 2-pt shot from 2 ft
9:00.0,K. Walker misses 2-pt shot from 18 ft,,68-63,,
8:59.0,,,68-63,,Defensive rebound by B. Bogdanovic
8:49.0,,,68-66,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by J. Lin)
8:49.0,Charlotte full timeout,,68-66,,
8:32.0,N. Batum misses 3-pt shot from 25 ft,,68-66,,
8:31.0,Offensive rebound by M. Williams,,68-66,,
8:23.0,M. Williams misses 2-pt shot from 14 ft,,68-66,,
8:21.0,,,68-66,,Defensive rebound by B. Lopez
8:02.0,,,68-66,,J. Lin misses 2-pt shot from 2 ft
8:01.0,Defensive rebound by K. Walker,,68-66,,
7:52.0,N. Batum misses 2-pt shot from 2 ft (block by B. Lopez),,68-66,,
7:50.0,,,68-66,,Defensive rebound by B. Lopez
7:47.0,,,68-66,,Brooklyn full timeout
7:47.0,,,68-66,,I. Whitehead enters the game for J. Lin
7:39.0,,,68-68,2,B. Bogdanovic makes 2-pt shot from 3 ft (assist by T. Booker)
7:39.0,,,68-68,,Shooting foul by C. Zeller (drawn by B. Bogdanovic)
7:39.0,,,68-69,1,B. Bogdanovic makes free throw 1 of 1
7:25.0,C. Zeller makes 2-pt shot at rim (assist by K. Walker),2,70-69,,
7:12.0,Personal foul by M. Kidd-Gilchrist (drawn by T. Booker),,70-69,,
7:07.0,,,70-69,,B. Bogdanovic misses 3-pt shot from 25 ft
7:06.0,Defensive rebound by M. Kidd-Gilchrist,,70-69,,
6:56.0,Turnover by N. Batum (bad pass),,70-69,,
6:51.0,,,70-69,,Turnover by I. Whitehead (lost ball; steal by M. Williams)
6:47.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft,2,72-69,,
6:40.0,,,72-69,,S. Kilpatrick misses 2-pt shot from 2 ft (block by M. Kidd-Gilchrist)
6:38.0,Defensive rebound by C. Zeller,,72-69,,
6:29.0,C. Zeller makes 2-pt shot at rim (assist by K. Walker),2,74-69,,
6:08.0,,,74-69,,B. Lopez misses 2-pt shot from 4 ft
6:06.0,Defensive rebound by M. Kidd-Gilchrist,,74-69,,
5:55.0,Shooting foul by I. Whitehead (drawn by C. Zeller),,74-69,,
5:55.0,C. Zeller makes free throw 1 of 2,1,75-69,,
5:55.0,C. Zeller misses free throw 2 of 2,,75-69,,
5:55.0,J. Lamb enters the game for M. Kidd-Gilchrist,,75-69,,
5:54.0,,,75-69,,Defensive rebound by T. Booker
5:38.0,,,75-69,,Turnover by I. Whitehead (bad pass)
5:38.0,,,75-69,,J. Hamilton enters the game for B. Lopez
5:28.0,N. Batum misses 3-pt shot from 25 ft,,75-69,,
5:28.0,,,75-69,,Defensive rebound by S. Kilpatrick
5:14.0,,,75-69,,Turnover by T. Booker (lost ball; steal by M. Williams)
5:08.0,,,75-69,,Personal foul by B. Bogdanovic (drawn by N. Batum)
5:02.0,N. Batum makes 2-pt shot from 10 ft,2,77-69,,
4:45.0,Personal foul by J. Lamb (drawn by S. Kilpatrick),,77-69,,
4:45.0,F. Kaminsky enters the game for M. Williams,,77-69,,
4:32.0,,,77-71,2,I. Whitehead makes 2-pt shot from 19 ft (assist by S. Kilpatrick)
4:21.0,C. Zeller misses 2-pt shot from 10 ft,,77-71,,
4:19.0,,,77-71,,Defensive rebound by I. Whitehead
4:12.0,Personal foul by F. Kaminsky (drawn by T. Booker),,77-71,,
4:12.0,,,77-71,,T. Booker misses free throw 1 of 2
4:12.0,,,77-71,,Offensive rebound by Team
4:12.0,,,77-72,1,T. Booker makes free throw 2 of 2
4:12.0,,,77-71,,C. LeVert enters the game for S. Kilpatrick
3:56.0,N. Batum misses 3-pt shot from 24 ft,,77-72,,
3:55.0,,,77-72,,Defensive rebound by C. LeVert
3:42.0,,,77-72,,Shooting foul by K. Walker (drawn by B. Bogdanovic)
3:42.0,,,77-72,,B. Bogdanovic misses free throw 1 of 2
3:42.0,,,77-72,,Offensive rebound by Team
3:42.0,,,77-73,1,B. Bogdanovic makes free throw 2 of 2
3:42.0,,,77-72,,R. Hollis-Jefferson enters the game for T. Booker
3:42.0,R. Sessions enters the game for K. Walker,,77-72,,
3:28.0,F. Kaminsky misses 2-pt shot from 13 ft,,77-73,,
3:27.0,,,77-73,,Defensive rebound by R. Hollis-Jefferson
3:23.0,,,77-73,,Shooting foul by J. Lamb (drawn by R. Hollis-Jefferson)
3:23.0,,,77-74,1,R. Hollis-Jefferson makes free throw 1 of 2
3:23.0,,,77-75,1,R. Hollis-Jefferson makes free throw 2 of 2
3:04.0,F. Kaminsky misses 2-pt shot from 2 ft,,77-75,,
3:03.0,Offensive rebound by Team,,77-75,,
2:55.0,N. Batum misses 2-pt shot from 17 ft,,77-75,,
2:54.0,,,77-75,,Defensive rebound by R. Hollis-Jefferson
2:50.0,,,77-75,,Offensive charge foul by I. Whitehead
2:50.0,,,77-75,,Turnover by I. Whitehead (offensive foul)
2:50.0,R. Hibbert enters the game for C. Zeller,,77-75,,
2:37.0,Offensive charge foul by R. Sessions,,77-75,,
2:37.0,Turnover by R. Sessions (offensive foul),,77-75,,
2:37.0,,,77-75,,B. Lopez enters the game for J. Hamilton
2:28.0,,,77-75,,I. Whitehead misses 2-pt shot from 18 ft
2:27.0,Defensive rebound by J. Lamb,,77-75,,
2:16.0,F. Kaminsky makes 2-pt shot at rim (assist by N. Batum),2,79-75,,
2:06.0,,,79-77,2,B. Bogdanovic makes 2-pt shot from 2 ft (assist by B. Lopez)
1:51.0,R. Sessions makes 3-pt shot from 26 ft,3,82-77,,
1:49.0,Personal foul by N. Batum (drawn by B. Bogdanovic),,82-77,,
1:49.0,,,82-78,1,B. Bogdanovic makes free throw 1 of 2
1:49.0,,,82-79,1,B. Bogdanovic makes free throw 2 of 2
1:29.0,J. Lamb misses 3-pt shot from 27 ft,,82-79,,
1:28.0,Offensive rebound by F. Kaminsky,,82-79,,
1:27.0,Shooting foul by C. LeVert (drawn by F. Kaminsky),,82-79,,
1:27.0,F. Kaminsky makes free throw 1 of 2,1,83-79,,
1:27.0,F. Kaminsky makes free throw 2 of 2,1,84-79,,
1:15.0,,,84-79,,Shooting foul by J. Lamb (drawn by B. Bogdanovic)
1:15.0,,,84-80,1,B. Bogdanovic makes free throw 1 of 2
1:15.0,,,84-81,1,B. Bogdanovic makes free throw 2 of 2
1:00.0,N. Batum makes 2-pt shot from 16 ft,2,86-81,,
0:43.0,,,86-83,2,B. Lopez makes 2-pt shot from 6 ft
0:31.0,Shooting foul by I. Whitehead (drawn by R. Sessions),,86-83,,
0:31.0,R. Sessions makes free throw 1 of 2,1,87-83,,
0:31.0,R. Sessions makes free throw 2 of 2,1,88-83,,
0:12.0,,,88-83,,I. Whitehead misses 3-pt shot from 22 ft
0:11.0,Defensive rebound by J. Lamb,,88-83,,
0:04.0,J. Lamb misses 2-pt shot from 8 ft (block by I. Whitehead),,88-83,,
0:02.0,,,88-83,,Defensive rebound by I. Whitehead
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,88-83,,C. LeVert misses 3-pt shot from 25 ft
11:47.0,Defensive rebound by M. Kidd-Gilchrist,,88-83,,
11:36.0,Shooting foul by C. LeVert (drawn by J. Lamb),,88-83,,
11:36.0,J. Lamb makes 2-pt shot from 19 ft,2,90-83,,
11:36.0,J. Lamb misses free throw 1 of 1,,90-83,,
11:35.0,,,90-83,,Defensive rebound by J. Hamilton
11:17.0,,,90-83,,R. Hollis-Jefferson misses 2-pt shot from 10 ft
11:16.0,Defensive rebound by R. Hibbert,,90-83,,
10:59.0,Turnover by R. Hibbert (lost ball; steal by R. Hollis-Jefferson),,90-83,,
10:55.0,,,90-85,2,C. LeVert makes 2-pt shot at rim (assist by I. Whitehead)
10:38.0,Turnover by F. Kaminsky (lost ball; steal by I. Whitehead),,90-85,,
10:34.0,,,90-87,2,I. Whitehead makes 2-pt shot from 2 ft
10:14.0,J. Lamb misses 3-pt shot from 25 ft,,90-87,,
10:13.0,Offensive rebound by M. Kidd-Gilchrist,,90-87,,
10:13.0,,,90-87,,Loose ball foul by R. Hollis-Jefferson (drawn by M. Kidd-Gilchrist)
10:02.0,R. Hibbert makes 2-pt shot from 16 ft (assist by J. Lamb),2,92-87,,
9:45.0,,,92-90,3,J. Hamilton makes 3-pt shot from 24 ft (assist by R. Foye)
9:34.0,,,92-90,,Personal block foul by I. Whitehead (drawn by R. Sessions)
9:34.0,R. Sessions makes free throw 1 of 2,1,93-90,,
9:34.0,R. Sessions makes free throw 2 of 2,1,94-90,,
9:34.0,,,93-90,,S. Kilpatrick enters the game for I. Whitehead
9:28.0,,,94-90,,Shooting foul by F. Kaminsky (drawn by R. Hollis-Jefferson)
9:28.0,,,94-91,1,R. Hollis-Jefferson makes free throw 1 of 2
9:28.0,,,94-92,1,R. Hollis-Jefferson makes free throw 2 of 2
9:28.0,K. Walker enters the game for R. Sessions,,94-91,,
9:12.0,J. Lamb misses 2-pt shot from 17 ft,,94-92,,
9:11.0,,,94-92,,Defensive rebound by S. Kilpatrick
9:03.0,,,94-92,,Turnover by S. Kilpatrick (lost ball; steal by R. Hibbert)
8:43.0,J. Lamb makes 2-pt shot from 11 ft,2,96-92,,
8:27.0,,,96-92,,S. Kilpatrick misses 3-pt shot from 26 ft
8:26.0,Defensive rebound by J. Lamb,,96-92,,
8:12.0,R. Hibbert makes 2-pt shot from 12 ft (assist by K. Walker),2,98-92,,
8:04.0,Personal foul by R. Hibbert (drawn by S. Kilpatrick),,98-92,,
8:04.0,Official timeout,,98-92,,
8:04.0,,,98-92,,B. Lopez enters the game for J. Hamilton
7:57.0,,,98-92,,Shooting foul by R. Hibbert (drawn by B. Lopez)
7:57.0,,,98-94,2,B. Lopez makes 2-pt shot from 4 ft (assist by S. Kilpatrick)
7:57.0,,,98-95,1,B. Lopez makes free throw 1 of 1
7:47.0,Offensive foul by R. Hibbert,,98-95,,
7:47.0,Turnover by R. Hibbert (offensive foul),,98-95,,
7:47.0,C. Zeller enters the game for R. Hibbert,,98-95,,
7:40.0,,,98-97,2,B. Lopez makes 2-pt shot from 2 ft (assist by S. Kilpatrick)
7:40.0,,,98-97,,Shooting foul by C. Zeller (drawn by B. Lopez)
7:40.0,,,98-98,1,B. Lopez makes free throw 1 of 1
7:40.0,M. Williams enters the game for F. Kaminsky,,98-97,,
7:16.0,J. Lamb misses 3-pt shot from 25 ft,,98-98,,
7:15.0,,,98-98,,Defensive rebound by R. Hollis-Jefferson
