time,Sacramento,pts.away,score,pts.home,Golden State
7:00.0,W. Cauley-Stein enters the game for G. Papagiannis,,32-40,,
6:59.0,S. Labissiere misses 2-pt shot from 13 ft (block by M. Barnes),,32-40,,
6:59.0,Offensive rebound by Team,,32-40,,
6:50.0,S. Labissiere makes 2-pt shot from 9 ft (assist by G. Temple),2,34-40,,
6:35.0,,,34-42,2,D. West makes 2-pt shot from 19 ft (assist by D. Green)
6:24.0,Turnover by L. Galloway (bad pass; steal by D. Green),,34-42,,
6:19.0,,,34-44,2,D. Green makes 2-pt shot at rim (assist by I. Clark)
6:07.0,Shooting foul by D. West (drawn by T. Lawson),,34-44,,
6:07.0,T. Lawson makes free throw 1 of 2,1,35-44,,
6:07.0,T. Lawson makes free throw 2 of 2,1,36-44,,
5:49.0,,,36-44,,Turnover by K. Thompson (bad pass; steal by G. Temple)
5:49.0,,,36-44,,Personal foul by I. Clark (drawn by G. Temple)
5:49.0,Official timeout,,36-44,,
5:49.0,B. Hield enters the game for L. Galloway,,36-44,,
5:49.0,,,36-44,,S. Curry enters the game for K. Thompson
5:28.0,B. Hield misses 2-pt shot from 17 ft,,36-44,,
5:27.0,,,36-44,,Defensive rebound by M. Barnes
5:03.0,,,36-44,,D. Green misses 3-pt shot from 23 ft
5:03.0,Defensive rebound by B. Hield,,36-44,,
4:57.0,Turnover by S. Labissiere (offensive foul),,36-44,,
4:57.0,Offensive foul by S. Labissiere,,36-44,,
4:41.0,,,36-46,2,I. Clark makes 2-pt shot from 3 ft (assist by D. Green)
4:31.0,Turnover by B. Hield (bad pass; steal by S. Curry),,36-46,,
4:25.0,,,36-48,2,D. Green makes 2-pt shot at rim (assist by M. Barnes)
4:25.0,Sacramento full timeout,,36-48,,
4:25.0,,,36-48,,J. McGee enters the game for D. West
4:25.0,A. Afflalo enters the game for G. Temple,,36-48,,
4:14.0,T. Lawson makes 3-pt shot from 26 ft (assist by S. Labissiere),3,39-48,,
3:59.0,,,39-50,2,J. McGee makes 2-pt shot from 1 ft (assist by S. Curry)
3:59.0,,,39-50,,Shooting foul by B. Hield (drawn by J. McGee)
3:59.0,,,39-51,1,J. McGee makes free throw 1 of 1
3:59.0,,,39-50,,A. Iguodala enters the game for M. Barnes
3:45.0,A. Afflalo misses 2-pt shot from 23 ft,,39-51,,
3:45.0,,,39-51,,Defensive rebound by J. McGee
3:33.0,,,39-51,,S. Curry misses 3-pt shot from 23 ft
3:33.0,,,39-51,,Offensive rebound by J. McGee
3:30.0,,,39-51,,Turnover by J. McGee (bad pass; steal by W. Cauley-Stein)
3:19.0,T. Lawson makes 2-pt shot from 18 ft,2,41-51,,
2:58.0,,,41-51,,S. Curry misses 3-pt shot from 26 ft
2:57.0,Defensive rebound by S. Labissiere,,41-51,,
2:43.0,S. Labissiere misses 2-pt shot from 16 ft,,41-51,,
2:43.0,,,41-51,,Defensive rebound by J. McGee
2:33.0,,,41-53,2,S. Curry makes 2-pt shot from 15 ft (assist by D. Green)
2:18.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by T. Lawson),2,43-53,,
2:18.0,Shooting foul by J. McGee (drawn by W. Cauley-Stein),,43-53,,
2:18.0,W. Cauley-Stein makes free throw 1 of 1,1,44-53,,
2:18.0,,,43-53,,K. Thompson enters the game for I. Clark
1:56.0,,,44-55,2,D. Green makes 2-pt shot from 6 ft
1:40.0,T. Lawson makes 2-pt shot from 2 ft,2,46-55,,
1:30.0,,,46-55,,Turnover by S. Curry (lost ball; steal by T. Lawson)
1:27.0,T. Lawson makes 2-pt shot from 1 ft (assist by S. Labissiere),2,48-55,,
1:27.0,,,48-55,,Golden State full timeout
1:27.0,,,48-55,,M. Barnes enters the game for J. McGee
1:19.0,,,48-55,,K. Thompson misses 3-pt shot from 26 ft
1:19.0,Defensive rebound by A. Afflalo,,48-55,,
1:10.0,Turnover by T. Lawson (lost ball),,48-55,,
0:58.0,,,48-55,,M. Barnes misses 3-pt shot from 26 ft
0:57.0,Defensive rebound by S. Labissiere,,48-55,,
0:35.0,W. Cauley-Stein makes 2-pt shot from 11 ft (assist by A. Afflalo),2,50-55,,
0:30.0,,,50-55,,S. Curry misses 3-pt shot from 30 ft
0:30.0,Defensive rebound by A. Afflalo,,50-55,,
0:09.0,S. Labissiere misses 3-pt shot from 26 ft,,50-55,,
0:08.0,,,50-55,,Defensive rebound by S. Curry
0:04.0,,,50-57,2,M. Barnes makes 2-pt shot from 2 ft (assist by S. Curry)
0:00.0,B. Hield misses 3-pt shot from 33 ft,,50-57,,
0:00.0,Offensive rebound by Team,,50-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,50-57,,K. Thompson misses 2-pt shot from 20 ft
11:42.0,,,50-57,,Offensive rebound by P. McCaw
11:34.0,,,50-57,,Shooting foul by W. Cauley-Stein (drawn by D. Green)
11:34.0,,,50-59,2,D. Green makes 2-pt shot from 3 ft (assist by S. Curry)
11:34.0,,,50-60,1,D. Green makes free throw 1 of 1
11:17.0,K. Koufos misses 2-pt shot from 8 ft,,50-60,,
11:16.0,Offensive rebound by W. Cauley-Stein,,50-60,,
11:10.0,K. Koufos misses 2-pt shot from 6 ft,,50-60,,
11:10.0,,,50-60,,Defensive rebound by S. Curry
11:07.0,,,50-60,,Shooting foul by W. Cauley-Stein (drawn by S. Curry)
11:07.0,,,50-61,1,S. Curry makes free throw 1 of 2
11:07.0,,,50-62,1,S. Curry makes free throw 2 of 2
10:46.0,B. Hield makes 3-pt shot from 25 ft (assist by W. Cauley-Stein),3,53-62,,
10:36.0,,,53-62,,Z. Pachulia misses 2-pt shot from 3 ft (block by K. Koufos)
10:35.0,,,53-62,,Offensive rebound by Z. Pachulia
10:31.0,,,53-62,,Z. Pachulia misses 2-pt shot from 4 ft
10:30.0,Defensive rebound by B. Hield,,53-62,,
10:22.0,B. Hield makes 2-pt shot from 12 ft,2,55-62,,
10:06.0,Personal foul by K. Koufos (drawn by Z. Pachulia),,55-62,,
10:05.0,Violation by W. Cauley-Stein (kicked ball),,55-62,,
9:54.0,,,55-62,,D. Green misses 3-pt shot from 26 ft
9:53.0,,,55-62,,Offensive rebound by S. Curry
9:49.0,,,55-64,2,S. Curry makes 2-pt shot from 3 ft
9:35.0,B. Hield misses 3-pt shot from 24 ft,,55-64,,
9:35.0,Offensive rebound by Team,,55-64,,
9:35.0,,,55-64,,Loose ball foul by K. Thompson (drawn by W. Cauley-Stein)
9:21.0,B. Hield misses 2-pt shot from 2 ft,,55-64,,
9:20.0,,,55-64,,Defensive rebound by Z. Pachulia
9:07.0,,,55-67,3,K. Thompson makes 3-pt shot from 23 ft (assist by S. Curry)
8:56.0,T. Lawson makes 2-pt shot from 18 ft,2,57-67,,
8:53.0,Personal foul by T. Lawson (drawn by D. Green),,57-67,,
8:47.0,,,57-67,,K. Thompson misses 2-pt shot from 23 ft
8:46.0,Defensive rebound by B. Hield,,57-67,,
8:31.0,K. Koufos misses 2-pt shot from 3 ft (block by D. Green),,57-67,,
8:30.0,,,57-67,,Defensive rebound by D. Green
8:29.0,Personal take foul by T. Lawson (drawn by D. Green),,57-67,,
8:29.0,,,57-68,1,D. Green makes free throw 1 of 2
8:29.0,,,57-69,1,D. Green makes free throw 2 of 2
8:10.0,K. Koufos misses 2-pt shot from 10 ft,,57-69,,
8:10.0,,,57-69,,Defensive rebound by K. Thompson
8:01.0,,,57-69,,K. Thompson misses 2-pt shot from 4 ft
8:00.0,Defensive rebound by A. Afflalo,,57-69,,
7:52.0,A. Afflalo makes 3-pt shot from 25 ft (assist by B. Hield),3,60-69,,
7:33.0,,,60-69,,Turnover by S. Curry (back court)
7:27.0,Turnover by A. Afflalo (lost ball; steal by Z. Pachulia),,60-69,,
7:14.0,,,60-71,2,S. Curry makes 2-pt shot from 22 ft (assist by D. Green)
7:02.0,Shooting foul by P. McCaw (drawn by T. Lawson),,60-71,,
7:02.0,T. Lawson misses free throw 1 of 2,,60-71,,
7:02.0,Offensive rebound by Team,,60-71,,
7:02.0,T. Lawson misses free throw 2 of 2,,60-71,,
7:00.0,,,60-71,,Defensive rebound by P. McCaw
6:53.0,,,60-71,,K. Thompson misses 3-pt shot from 25 ft
6:53.0,,,60-71,,Offensive rebound by Z. Pachulia
6:42.0,,,60-74,3,D. Green makes 3-pt shot from 25 ft (assist by Z. Pachulia)
6:34.0,Sacramento full timeout,,60-74,,
6:22.0,K. Koufos misses 2-pt shot from 3 ft (block by Z. Pachulia),,60-74,,
6:21.0,,,60-74,,Defensive rebound by D. Green
6:18.0,,,60-74,,Turnover by D. Green (bad pass; steal by B. Hield)
6:11.0,Turnover by K. Koufos (lost ball),,60-74,,
5:55.0,,,60-77,3,D. Green makes 3-pt shot from 27 ft (assist by Z. Pachulia)
5:44.0,W. Cauley-Stein makes 2-pt shot at rim,2,62-77,,
5:44.0,Shooting foul by Z. Pachulia (drawn by W. Cauley-Stein),,62-77,,
5:44.0,W. Cauley-Stein makes free throw 1 of 1,1,63-77,,
5:44.0,,,62-77,,S. Livingston enters the game for P. McCaw
5:44.0,,,62-77,,A. Iguodala enters the game for D. Green
5:44.0,G. Temple enters the game for B. Hield,,62-77,,
5:44.0,G. Papagiannis enters the game for K. Koufos,,62-77,,
5:32.0,,,63-77,,Z. Pachulia misses 2-pt shot from 14 ft
5:31.0,Defensive rebound by G. Papagiannis,,63-77,,
5:11.0,W. Cauley-Stein makes 2-pt shot from 4 ft (assist by T. Lawson),2,65-77,,
4:53.0,,,65-77,,Turnover by Z. Pachulia (lost ball; steal by G. Temple)
4:47.0,A. Afflalo misses 2-pt shot from 22 ft,,65-77,,
4:47.0,,,65-77,,Defensive rebound by S. Curry
4:43.0,,,65-77,,Golden State full timeout
4:43.0,,,65-77,,J. McGee enters the game for Z. Pachulia
4:43.0,,,65-77,,D. Green enters the game for K. Thompson
4:34.0,,,65-77,,S. Curry misses 2-pt shot from 5 ft
4:33.0,Defensive rebound by W. Cauley-Stein,,65-77,,
4:10.0,G. Papagiannis misses 3-pt shot from 26 ft,,65-77,,
4:10.0,Offensive rebound by Team,,65-77,,
4:10.0,Turnover by Team (shot clock),,65-77,,
3:52.0,,,65-77,,J. McGee misses 2-pt shot from 4 ft
3:51.0,,,65-77,,Offensive rebound by J. McGee
3:51.0,,,65-77,,J. McGee misses 2-pt shot from 1 ft
3:50.0,,,65-77,,Offensive rebound by J. McGee
3:50.0,,,65-79,2,J. McGee makes 2-pt shot from 1 ft
3:32.0,Turnover by T. Lawson (bad pass; steal by S. Curry),,65-79,,
3:28.0,,,65-81,2,A. Iguodala makes 2-pt shot at rim (assist by S. Curry)
3:07.0,Turnover by G. Temple (bad pass; steal by S. Curry),,65-81,,
3:01.0,,,65-83,2,A. Iguodala makes 2-pt shot at rim (assist by S. Curry)
2:52.0,Sacramento full timeout,,65-83,,
2:52.0,L. Galloway enters the game for A. Afflalo,,65-83,,
2:52.0,B. McLemore enters the game for T. Lawson,,65-83,,
2:41.0,Turnover by W. Cauley-Stein (lost ball; steal by D. Green),,65-83,,
2:35.0,,,65-83,,A. Iguodala misses 2-pt shot at rim
2:35.0,Defensive rebound by B. McLemore,,65-83,,
2:29.0,G. Temple makes 3-pt shot from 25 ft (assist by B. McLemore),3,68-83,,
2:06.0,,,68-83,,D. Green misses 3-pt shot from 25 ft
2:06.0,Defensive rebound by W. Cauley-Stein,,68-83,,
1:55.0,Offensive charge foul by G. Papagiannis,,68-83,,
1:55.0,Turnover by G. Papagiannis (offensive foul),,68-83,,
1:55.0,S. Labissiere enters the game for W. Cauley-Stein,,68-83,,
1:40.0,,,68-86,3,D. Green makes 3-pt shot from 26 ft (assist by S. Curry)
1:24.0,L. Galloway makes 2-pt shot from 18 ft (assist by S. Labissiere),2,70-86,,
1:13.0,,,70-88,2,J. McGee makes 2-pt shot at rim (assist by S. Curry)
1:00.0,B. McLemore makes 2-pt shot from 14 ft (assist by G. Temple),2,72-88,,
0:50.0,,,72-88,,S. Curry misses 2-pt shot from 20 ft
0:49.0,Defensive rebound by G. Temple,,72-88,,
0:43.0,Turnover by S. Labissiere (bad pass; steal by S. Curry),,72-88,,
0:38.0,,,72-90,2,A. Iguodala makes 2-pt shot at rim (assist by S. Curry)
0:36.0,Sacramento full timeout,,72-90,,
0:32.0,Turnover by G. Temple (bad pass; steal by J. McGee),,72-90,,
0:25.0,Personal foul by G. Temple (drawn by S. Curry),,72-90,,
0:25.0,,,72-91,1,S. Curry makes free throw 1 of 2
0:25.0,,,72-92,1,S. Curry makes free throw 2 of 2
0:14.0,,,72-92,,Personal foul by D. Green (drawn by L. Galloway)
0:10.0,Turnover by G. Temple (bad pass),,72-92,,
0:07.0,,,72-92,,D. Green misses 3-pt shot from 26 ft
0:05.0,Defensive rebound by G. Papagiannis,,72-92,,
0:02.0,Turnover by G. Papagiannis (lost ball; steal by S. Curry),,72-92,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,B. McLemore makes 2-pt shot from 2 ft (assist by S. Labissiere),2,74-92,,
11:47.0,Shooting foul by M. Barnes (drawn by B. McLemore),,74-92,,
11:47.0,B. McLemore misses free throw 1 of 1,,74-92,,
11:46.0,,,74-92,,Defensive rebound by M. Barnes
11:27.0,,,74-92,,Shooting foul by B. Hield (drawn by A. Iguodala)
11:27.0,,,74-93,1,A. Iguodala makes free throw 1 of 2
11:27.0,,,74-93,,A. Iguodala misses free throw 2 of 2
11:25.0,,,74-93,,Offensive rebound by M. Barnes
11:15.0,,,74-93,,K. Thompson misses 2-pt shot from 13 ft
11:15.0,Defensive rebound by B. Hield,,74-93,,
11:01.0,S. Labissiere makes 2-pt shot from 6 ft (assist by B. Hield),2,76-93,,
10:50.0,,,76-95,2,D. West makes 2-pt shot from 17 ft (assist by I. Clark)
10:31.0,B. McLemore misses 3-pt shot from 24 ft,,76-95,,
10:30.0,,,76-95,,Defensive rebound by M. Barnes
10:22.0,,,76-95,,I. Clark misses 2-pt shot from 12 ft
10:21.0,Defensive rebound by S. Labissiere,,76-95,,
10:05.0,,,76-95,,Personal foul by D. West (drawn by G. Papagiannis)
9:51.0,L. Galloway misses 2-pt shot from 6 ft,,76-95,,
9:50.0,Offensive rebound by G. Papagiannis,,76-95,,
9:50.0,G. Papagiannis misses 2-pt shot from 2 ft,,76-95,,
9:48.0,Offensive rebound by G. Papagiannis,,76-95,,
9:48.0,G. Papagiannis makes 2-pt shot at rim,2,78-95,,
9:32.0,,,78-95,,K. Thompson misses 2-pt shot from 13 ft
9:31.0,Defensive rebound by S. Labissiere,,78-95,,
9:19.0,B. Hield misses 3-pt shot from 26 ft,,78-95,,
9:18.0,Offensive rebound by S. Labissiere,,78-95,,
9:14.0,S. Labissiere misses 2-pt shot from 1 ft (block by D. West),,78-95,,
9:13.0,,,78-95,,Defensive rebound by K. Thompson
9:06.0,,,78-95,,I. Clark misses 2-pt shot from 2 ft (block by S. Labissiere)
9:04.0,Defensive rebound by L. Galloway,,78-95,,
9:01.0,B. McLemore misses 2-pt shot from 1 ft (block by K. Thompson),,78-95,,
9:00.0,Offensive rebound by Team,,78-95,,
8:52.0,L. Galloway makes 3-pt shot from 23 ft (assist by B. Hield),3,81-95,,
8:22.0,,,81-95,,D. West misses 2-pt shot from 13 ft
8:22.0,,,81-95,,Offensive rebound by D. West
8:16.0,,,81-97,2,I. Clark makes 2-pt shot from 2 ft (assist by D. West)
7:55.0,B. McLemore makes 2-pt shot from 1 ft (assist by G. Papagiannis),2,83-97,,
7:55.0,,,83-97,,Golden State full timeout
7:55.0,,,83-97,,S. Livingston enters the game for A. Iguodala
7:55.0,,,83-97,,D. Green enters the game for M. Barnes
7:33.0,,,83-97,,I. Clark misses 2-pt shot from 3 ft (block by G. Papagiannis)
7:26.0,Defensive rebound by B. Hield,,83-97,,
7:19.0,B. Hield misses 3-pt shot from 26 ft,,83-97,,
7:18.0,,,83-97,,Defensive rebound by K. Thompson
7:13.0,,,83-97,,D. Green misses 3-pt shot from 27 ft
7:12.0,Defensive rebound by S. Labissiere,,83-97,,
6:49.0,B. McLemore misses 2-pt shot from 1 ft,,83-97,,
6:48.0,Offensive rebound by B. Hield,,83-97,,
6:48.0,B. Hield makes 2-pt shot at rim,2,85-97,,
6:29.0,,,85-99,2,I. Clark makes 2-pt shot from 2 ft (assist by D. West)
6:08.0,Shooting foul by K. Thompson (drawn by B. McLemore),,85-99,,
6:08.0,B. McLemore makes 2-pt shot from 17 ft (assist by S. Labissiere),2,87-99,,
6:08.0,B. McLemore makes free throw 1 of 1,1,88-99,,
6:08.0,,,87-99,,A. Iguodala enters the game for I. Clark
6:08.0,,,87-99,,S. Curry enters the game for K. Thompson
5:50.0,,,88-99,,D. Green misses 2-pt shot from 2 ft
5:49.0,,,88-99,,Offensive rebound by D. Green
5:48.0,,,88-99,,D. Green misses 2-pt shot from 1 ft
5:47.0,Defensive rebound by S. Labissiere,,88-99,,
5:41.0,L. Galloway misses 3-pt shot from 25 ft,,88-99,,
5:40.0,Offensive rebound by B. Hield,,88-99,,
5:24.0,Turnover by B. Hield (bad pass; steal by S. Curry),,88-99,,
5:23.0,Personal foul by B. Hield (drawn by S. Curry),,88-99,,
5:23.0,Official timeout,,88-99,,
5:23.0,,,88-99,,Z. Pachulia enters the game for D. West
5:04.0,,,88-102,3,S. Curry makes 3-pt shot from 27 ft
4:52.0,Turnover by L. Galloway (bad pass; steal by Z. Pachulia),,88-102,,
4:47.0,,,88-102,,Turnover by S. Curry (bad pass)
4:35.0,,,88-102,,Personal foul by A. Iguodala (drawn by B. McLemore)
4:21.0,S. Labissiere misses 2-pt shot from 19 ft,,88-102,,
4:19.0,,,88-102,,Defensive rebound by Z. Pachulia
4:12.0,,,88-105,3,S. Curry makes 3-pt shot from 26 ft (assist by D. Green)
3:54.0,B. McLemore misses 3-pt shot from 29 ft,,88-105,,
3:54.0,,,88-105,,Defensive rebound by Z. Pachulia
3:45.0,,,88-108,3,S. Curry makes 3-pt shot from 28 ft (assist by D. Green)
3:21.0,G. Papagiannis misses 2-pt shot from 16 ft,,88-108,,
3:20.0,,,88-108,,Defensive rebound by D. Green
3:12.0,,,88-108,,S. Curry misses 3-pt shot from 31 ft
3:10.0,Defensive rebound by B. Hield,,88-108,,
3:04.0,Shooting foul by S. Livingston (drawn by B. Hield),,88-108,,
3:04.0,B. Hield makes free throw 1 of 2,1,89-108,,
3:04.0,B. Hield makes free throw 2 of 2,1,90-108,,
3:04.0,,,89-108,,J. McAdoo enters the game for D. Green
3:04.0,,,89-108,,P. McCaw enters the game for A. Iguodala
2:43.0,,,90-108,,Shooting foul by G. Papagiannis (drawn by J. McAdoo)
