time,Toronto,pts.away,score,pts.home,Boston
6:16.0,Defensive rebound by Team,,14-16,,
5:59.0,,,14-16,,Boston full timeout
5:59.0,,,14-16,,K. Olynyk enters the game for A. Johnson
5:54.0,P. Siakam misses 2-pt shot from 13 ft,,14-16,,
5:53.0,,,14-16,,Defensive rebound by J. Crowder
5:42.0,,,14-16,,Turnover by A. Bradley (bad pass; steal by N. Powell)
5:36.0,D. DeRozan makes 2-pt shot from 2 ft (assist by N. Powell),2,16-16,,
5:29.0,,,16-16,,K. Olynyk misses 3-pt shot from 23 ft
5:28.0,Defensive rebound by K. Lowry,,16-16,,
5:21.0,Turnover by D. DeRozan (bad pass; steal by A. Horford),,16-16,,
5:01.0,,,16-19,3,A. Bradley makes 3-pt shot from 26 ft (assist by K. Olynyk)
4:45.0,D. DeRozan makes 2-pt shot from 10 ft,2,18-19,,
4:30.0,,,18-19,,Turnover by A. Horford (bad pass; steal by K. Lowry)
4:18.0,D. DeRozan misses 2-pt shot from 21 ft,,18-19,,
4:17.0,,,18-19,,Defensive rebound by M. Smart
4:04.0,,,18-19,,K. Olynyk misses 2-pt shot from 5 ft
4:04.0,Defensive rebound by J. Valanciunas,,18-19,,
3:44.0,D. DeRozan makes 2-pt shot from 14 ft,2,20-19,,
3:25.0,,,20-19,,J. Crowder misses 2-pt shot from 18 ft
3:24.0,Defensive rebound by P. Siakam,,20-19,,
3:15.0,Turnover by J. Valanciunas (discontinued dribble),,20-19,,
3:15.0,C. Joseph enters the game for P. Siakam,,20-19,,
3:15.0,P. Patterson enters the game for K. Lowry,,20-19,,
3:15.0,,,20-19,,T. Rozier enters the game for M. Smart
3:05.0,,,20-21,2,T. Rozier makes 2-pt shot from 2 ft
2:51.0,D. DeRozan misses 2-pt shot from 20 ft,,20-21,,
2:50.0,,,20-21,,Defensive rebound by T. Rozier
2:42.0,,,20-21,,A. Bradley misses 3-pt shot from 28 ft
2:40.0,Defensive rebound by J. Valanciunas,,20-21,,
2:37.0,Toronto full timeout,,20-21,,
2:37.0,L. Nogueira enters the game for J. Valanciunas,,20-21,,
2:37.0,,,20-21,,J. Brown enters the game for J. Crowder
2:37.0,,,20-21,,J. Jerebko enters the game for A. Horford
2:17.0,C. Joseph makes 3-pt shot from 25 ft (assist by P. Patterson),3,23-21,,
1:56.0,,,23-24,3,A. Bradley makes 3-pt shot from 25 ft (assist by K. Olynyk)
1:46.0,Turnover by D. DeRozan (bad pass; steal by K. Olynyk),,23-24,,
1:41.0,,,23-24,,K. Olynyk misses 2-pt shot from 2 ft
1:40.0,,,23-24,,Offensive rebound by K. Olynyk
1:33.0,,,23-24,,J. Jerebko misses 3-pt shot from 26 ft
1:32.0,Defensive rebound by L. Nogueira,,23-24,,
1:24.0,D. DeRozan misses 2-pt shot from 2 ft,,23-24,,
1:23.0,,,23-24,,Defensive rebound by K. Olynyk
1:15.0,,,23-24,,T. Rozier misses 3-pt shot from 26 ft
1:14.0,Defensive rebound by P. Patterson,,23-24,,
0:57.0,Turnover by D. DeRozan (bad pass; steal by K. Olynyk),,23-24,,
0:52.0,,,23-24,,T. Rozier misses 2-pt shot from 2 ft
0:52.0,,,23-24,,Offensive rebound by J. Jerebko
0:52.0,,,23-26,2,J. Jerebko makes 2-pt shot from 1 ft
0:44.0,C. Joseph misses 2-pt shot from 2 ft (block by K. Olynyk),,23-26,,
0:42.0,,,23-26,,Defensive rebound by J. Jerebko
0:38.0,,,23-26,,T. Rozier misses 3-pt shot from 26 ft
0:37.0,Defensive rebound by Team,,23-26,,
0:37.0,,,23-26,,Loose ball foul by J. Jerebko (drawn by D. DeRozan)
0:37.0,T. Ross enters the game for N. Powell,,23-26,,
0:29.0,Shooting foul by T. Rozier (drawn by C. Joseph),,23-26,,
0:29.0,C. Joseph makes free throw 1 of 2,1,24-26,,
0:29.0,C. Joseph makes free throw 2 of 2,1,25-26,,
0:09.0,,,25-28,2,J. Brown makes 2-pt shot from 4 ft (assist by T. Rozier)
0:02.0,D. DeRozan misses 2-pt shot from 3 ft,,25-28,,
0:01.0,,,25-28,,Defensive rebound by A. Bradley
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,T. Ross makes 2-pt shot from 20 ft,2,27-28,,
11:21.0,,,27-28,,M. Smart misses 2-pt shot from 12 ft
11:20.0,Defensive rebound by L. Nogueira,,27-28,,
11:03.0,T. Ross makes 2-pt shot from 15 ft,2,29-28,,
10:48.0,,,29-30,2,T. Rozier makes 2-pt shot from 15 ft
10:25.0,P. Patterson misses 2-pt shot from 1 ft (block by J. Brown),,29-30,,
10:24.0,,,29-30,,Defensive rebound by K. Olynyk
10:07.0,,,29-32,2,K. Olynyk makes 2-pt shot from 1 ft (assist by M. Smart)
9:55.0,K. Lowry makes 2-pt shot from 9 ft,2,31-32,,
9:36.0,,,31-35,3,J. Jerebko makes 3-pt shot from 26 ft (assist by K. Olynyk)
9:21.0,T. Ross misses 2-pt shot from 19 ft,,31-35,,
9:20.0,Offensive rebound by L. Nogueira,,31-35,,
9:11.0,K. Lowry misses 2-pt shot from 23 ft,,31-35,,
9:10.0,,,31-35,,Defensive rebound by T. Rozier
9:02.0,,,31-35,,Offensive foul by T. Rozier
9:02.0,,,31-35,,Turnover by T. Rozier (offensive foul)
8:49.0,P. Patterson misses 3-pt shot from 24 ft,,31-35,,
8:48.0,,,31-35,,Defensive rebound by J. Brown
8:28.0,,,31-37,2,J. Brown makes 2-pt shot from 19 ft
8:22.0,Toronto full timeout,,31-37,,
8:12.0,Offensive foul by L. Nogueira,,31-37,,
8:12.0,Turnover by L. Nogueira (offensive foul),,31-37,,
7:56.0,,,31-37,,T. Rozier misses 2-pt shot from 15 ft
7:55.0,Defensive rebound by C. Joseph,,31-37,,
7:46.0,K. Lowry misses 2-pt shot from 12 ft,,31-37,,
7:45.0,,,31-37,,Defensive rebound by K. Olynyk
7:26.0,,,31-40,3,J. Brown makes 3-pt shot from 25 ft (assist by M. Smart)
7:04.0,T. Ross misses 3-pt shot from 26 ft,,31-40,,
7:03.0,,,31-40,,Defensive rebound by J. Brown
7:02.0,Personal take foul by L. Nogueira (drawn by J. Brown),,31-40,,
6:51.0,Personal foul by K. Lowry (drawn by J. Brown),,31-40,,
6:36.0,,,31-40,,Turnover by Team (shot clock)
6:17.0,T. Ross misses 2-pt shot from 19 ft,,31-40,,
6:16.0,,,31-40,,Defensive rebound by K. Olynyk
5:58.0,,,31-42,2,K. Olynyk makes 2-pt shot from 2 ft
5:58.0,,,31-42,,Shooting foul by P. Patterson (drawn by K. Olynyk)
5:58.0,,,31-43,1,K. Olynyk makes free throw 1 of 1
5:58.0,J. Valanciunas enters the game for L. Nogueira,,31-42,,
5:58.0,D. DeRozan enters the game for C. Joseph,,31-42,,
5:39.0,D. DeRozan misses 2-pt shot from 19 ft,,31-43,,
5:38.0,,,31-43,,Defensive rebound by T. Rozier
5:17.0,,,31-43,,J. Brown misses 2-pt shot from 11 ft (block by T. Ross)
5:16.0,Defensive rebound by K. Lowry,,31-43,,
5:15.0,Turnover by K. Lowry (traveling),,31-43,,
5:15.0,Official timeout,,31-43,,
5:15.0,,,31-43,,A. Bradley enters the game for M. Smart
5:15.0,,,31-43,,A. Horford enters the game for J. Brown
5:15.0,,,31-43,,J. Crowder enters the game for J. Jerebko
4:59.0,,,31-43,,Turnover by K. Olynyk (3 sec)
4:42.0,J. Valanciunas misses 2-pt shot from 6 ft,,31-43,,
4:41.0,,,31-43,,Defensive rebound by K. Olynyk
4:28.0,,,31-45,2,A. Horford makes 2-pt shot at rim (assist by A. Bradley)
4:17.0,Shooting foul by A. Bradley (drawn by K. Lowry),,31-45,,
4:17.0,K. Lowry makes free throw 1 of 2,1,32-45,,
4:17.0,K. Lowry misses free throw 2 of 2,,32-45,,
4:17.0,,,32-45,,Defensive rebound by K. Olynyk
4:02.0,,,32-45,,A. Horford misses 3-pt shot from 25 ft
4:01.0,Defensive rebound by J. Valanciunas,,32-45,,
3:46.0,K. Lowry makes 2-pt shot from 10 ft,2,34-45,,
3:31.0,,,34-45,,K. Olynyk misses 2-pt shot from 2 ft
3:30.0,Defensive rebound by T. Ross,,34-45,,
3:26.0,K. Lowry makes 3-pt shot from 25 ft,3,37-45,,
3:17.0,,,37-45,,Turnover by A. Bradley (bad pass; steal by P. Patterson)
3:10.0,K. Lowry misses 3-pt shot from 25 ft,,37-45,,
3:09.0,,,37-45,,Defensive rebound by A. Horford
3:04.0,,,37-45,,Boston full timeout
3:04.0,C. Joseph enters the game for K. Lowry,,37-45,,
3:04.0,N. Powell enters the game for T. Ross,,37-45,,
3:04.0,,,37-45,,J. Jerebko enters the game for K. Olynyk
3:04.0,,,37-45,,M. Smart enters the game for T. Rozier
3:01.0,,,37-48,3,A. Bradley makes 3-pt shot from 25 ft (assist by J. Crowder)
2:36.0,C. Joseph misses 3-pt shot from 25 ft,,37-48,,
2:36.0,,,37-48,,Defensive rebound by A. Horford
2:19.0,,,37-48,,A. Horford misses 3-pt shot from 24 ft
2:17.0,,,37-48,,Offensive rebound by J. Crowder
2:12.0,,,37-48,,J. Crowder misses 3-pt shot from 23 ft
2:11.0,Defensive rebound by P. Patterson,,37-48,,
2:09.0,Shooting foul by A. Bradley (drawn by N. Powell),,37-48,,
2:09.0,N. Powell misses free throw 1 of 2,,37-48,,
2:09.0,Offensive rebound by Team,,37-48,,
2:09.0,N. Powell makes free throw 2 of 2,1,38-48,,
2:09.0,P. Siakam enters the game for P. Patterson,,37-48,,
2:09.0,,,37-48,,A. Johnson enters the game for J. Jerebko
1:58.0,Personal foul by P. Siakam (drawn by A. Horford),,38-48,,
1:51.0,,,38-50,2,A. Bradley makes 2-pt shot from 12 ft (assist by A. Johnson)
1:39.0,J. Valanciunas makes 2-pt shot from 11 ft (assist by D. DeRozan),2,40-50,,
1:33.0,,,40-50,,Turnover by M. Smart (bad pass; steal by N. Powell)
1:31.0,,,40-50,,Personal block foul by A. Bradley (drawn by N. Powell)
1:31.0,,,40-50,,J. Brown enters the game for A. Bradley
1:19.0,D. DeRozan makes 2-pt shot from 14 ft,2,42-50,,
1:00.0,,,42-50,,Turnover by A. Horford (bad pass; steal by N. Powell)
0:50.0,J. Valanciunas misses 2-pt shot from 17 ft,,42-50,,
0:49.0,,,42-50,,Defensive rebound by J. Crowder
0:38.0,,,42-50,,M. Smart misses 3-pt shot from 25 ft
0:36.0,Defensive rebound by P. Siakam,,42-50,,
0:29.0,C. Joseph misses 2-pt shot from 12 ft,,42-50,,
0:27.0,,,42-50,,Defensive rebound by A. Horford
0:04.0,,,42-50,,M. Smart misses 2-pt shot from 12 ft
0:03.0,Defensive rebound by J. Valanciunas,,42-50,,
0:01.0,D. DeRozan misses 3-pt shot from 28 ft,,42-50,,
0:00.0,Offensive rebound by Team,,42-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,D. DeRozan makes 2-pt shot from 9 ft,2,44-50,,
11:28.0,,,44-50,,J. Crowder misses 3-pt shot from 25 ft
11:27.0,Defensive rebound by P. Siakam,,44-50,,
11:12.0,J. Valanciunas misses 2-pt shot from 16 ft,,44-50,,
11:11.0,,,44-50,,Defensive rebound by J. Crowder
10:57.0,,,44-52,2,A. Johnson makes 2-pt shot from 1 ft (assist by A. Horford)
10:39.0,Turnover by D. DeRozan (lost ball; steal by A. Johnson),,44-52,,
10:30.0,,,44-54,2,J. Crowder makes 2-pt shot from 1 ft (assist by A. Horford)
10:18.0,K. Lowry misses 3-pt shot from 26 ft,,44-54,,
10:16.0,Offensive rebound by P. Siakam,,44-54,,
10:14.0,P. Siakam makes 2-pt shot from 1 ft,2,46-54,,
10:02.0,,,46-57,3,M. Smart makes 3-pt shot from 26 ft (assist by A. Horford)
9:41.0,P. Siakam misses 2-pt shot from 4 ft,,46-57,,
9:39.0,,,46-57,,Defensive rebound by A. Johnson
9:26.0,,,46-57,,Turnover by A. Horford (bad pass; steal by K. Lowry)
9:19.0,K. Lowry makes 2-pt shot from 3 ft (assist by P. Siakam),2,48-57,,
9:00.0,,,48-57,,Shooting foul by D. DeRozan (drawn by A. Horford)
9:00.0,,,48-57,,A. Horford misses free throw 1 of 2
9:00.0,,,48-57,,Offensive rebound by Team
9:00.0,,,48-57,,A. Horford misses free throw 2 of 2
9:00.0,Defensive rebound by J. Valanciunas,,48-57,,
8:43.0,K. Lowry misses 2-pt shot from 16 ft,,48-57,,
8:42.0,,,48-57,,Defensive rebound by A. Johnson
8:34.0,,,48-60,3,A. Bradley makes 3-pt shot from 23 ft (assist by M. Smart)
8:34.0,Toronto full timeout,,48-60,,
8:34.0,P. Patterson enters the game for P. Siakam,,48-60,,
8:18.0,P. Patterson misses 3-pt shot from 26 ft,,48-60,,
8:17.0,,,48-60,,Defensive rebound by A. Johnson
8:11.0,,,48-60,,Turnover by A. Horford (bad pass; steal by K. Lowry)
8:05.0,,,48-60,,Personal foul by M. Smart (drawn by K. Lowry)
7:50.0,Shooting foul by A. Horford (drawn by D. DeRozan),,48-60,,
7:50.0,D. DeRozan makes free throw 1 of 2,1,49-60,,
7:50.0,D. DeRozan makes free throw 2 of 2,1,50-60,,
7:38.0,,,50-60,,Turnover by A. Bradley (bad pass; steal by N. Powell)
7:34.0,N. Powell makes 2-pt shot at rim,2,52-60,,
7:34.0,,,52-60,,Boston full timeout
7:34.0,,,52-60,,K. Olynyk enters the game for A. Johnson
7:15.0,,,52-60,,M. Smart misses 3-pt shot from 25 ft
7:14.0,Defensive rebound by D. DeRozan,,52-60,,
7:03.0,N. Powell misses 3-pt shot from 24 ft,,52-60,,
7:01.0,,,52-60,,Defensive rebound by A. Horford
6:50.0,,,52-60,,Turnover by K. Olynyk (traveling)
6:38.0,D. DeRozan misses 2-pt shot from 17 ft,,52-60,,
6:37.0,Offensive rebound by P. Patterson,,52-60,,
6:30.0,P. Patterson misses 2-pt shot from 14 ft,,52-60,,
6:30.0,Offensive rebound by J. Valanciunas,,52-60,,
6:28.0,Turnover by J. Valanciunas (discontinued dribble),,52-60,,
6:15.0,,,52-60,,A. Horford misses 3-pt shot from 25 ft
6:14.0,,,52-60,,Offensive rebound by J. Crowder
6:11.0,,,52-60,,J. Crowder misses 2-pt shot from 1 ft
6:10.0,Defensive rebound by P. Patterson,,52-60,,
6:05.0,N. Powell misses 2-pt shot from 1 ft (block by A. Horford),,52-60,,
6:04.0,,,52-60,,Defensive rebound by M. Smart
5:58.0,,,52-60,,K. Olynyk misses 3-pt shot from 25 ft
5:58.0,Defensive rebound by J. Valanciunas,,52-60,,
5:36.0,K. Lowry misses 3-pt shot from 25 ft,,52-60,,
5:35.0,,,52-60,,Defensive rebound by K. Olynyk
5:32.0,,,52-60,,Shooting foul by P. Patterson (drawn by J. Crowder)
5:32.0,,,52-61,1,J. Crowder makes free throw 1 of 2
5:32.0,,,52-62,1,J. Crowder makes free throw 2 of 2
5:32.0,,,52-61,,T. Rozier enters the game for M. Smart
5:20.0,D. DeRozan misses 2-pt shot from 7 ft (block by T. Rozier),,52-62,,
5:19.0,Offensive rebound by Team,,52-62,,
5:19.0,L. Nogueira enters the game for J. Valanciunas,,52-62,,
5:14.0,K. Lowry makes 3-pt shot from 24 ft,3,55-62,,
5:14.0,Shooting foul by K. Olynyk (drawn by K. Lowry),,55-62,,
5:14.0,K. Lowry makes free throw 1 of 1,1,56-62,,
5:00.0,,,56-62,,Turnover by A. Bradley (bad pass; steal by N. Powell)
4:43.0,K. Lowry misses 2-pt shot from 14 ft,,56-62,,
4:42.0,Offensive rebound by L. Nogueira,,56-62,,
4:35.0,D. DeRozan makes 2-pt shot from 15 ft,2,58-62,,
4:26.0,Personal foul by K. Lowry (drawn by T. Rozier),,58-62,,
4:26.0,Inbound foul by K. Lowry (drawn by T. Rozier),,58-62,,
4:26.0,,,58-62,,K. Olynyk misses free throw 1 of 1
4:22.0,,,58-62,,Offensive rebound by Team
4:22.0,,,58-62,,T. Rozier misses 3-pt shot from 25 ft
4:22.0,Defensive rebound by D. DeRozan,,58-62,,
4:08.0,D. DeRozan misses 2-pt shot from 3 ft,,58-62,,
4:07.0,,,58-62,,Defensive rebound by A. Horford
3:57.0,,,58-62,,A. Horford misses 3-pt shot from 25 ft
3:56.0,Defensive rebound by P. Patterson,,58-62,,
3:46.0,N. Powell makes 2-pt shot from 1 ft (assist by K. Lowry),2,60-62,,
3:30.0,,,60-62,,A. Bradley misses 2-pt shot from 16 ft
3:30.0,Defensive rebound by K. Lowry,,60-62,,
3:14.0,P. Patterson makes 3-pt shot from 23 ft (assist by L. Nogueira),3,63-62,,
2:57.0,,,63-65,3,T. Rozier makes 3-pt shot from 23 ft
2:51.0,,,63-65,,Personal foul by T. Rozier (drawn by K. Lowry)
2:51.0,K. Lowry makes free throw 1 of 3,1,64-65,,
2:51.0,K. Lowry makes free throw 2 of 3,1,65-65,,
2:51.0,K. Lowry makes free throw 3 of 3,1,66-65,,
2:51.0,,,65-65,,J. Brown enters the game for J. Crowder
2:51.0,,,65-65,,J. Jerebko enters the game for A. Horford
2:51.0,T. Ross enters the game for N. Powell,,65-65,,
2:33.0,,,66-65,,T. Rozier misses 2-pt shot from 2 ft
2:31.0,Defensive rebound by P. Patterson,,66-65,,
2:15.0,D. DeRozan makes 2-pt shot from 2 ft (assist by K. Lowry),2,68-65,,
1:58.0,,,68-65,,J. Brown misses 2-pt shot from 21 ft
1:58.0,Defensive rebound by L. Nogueira,,68-65,,
1:48.0,,,68-65,,Personal foul by J. Jerebko (drawn by K. Lowry)
1:48.0,K. Lowry makes free throw 1 of 2,1,69-65,,
1:48.0,K. Lowry makes free throw 2 of 2,1,70-65,,
1:32.0,,,70-65,,A. Bradley misses 2-pt shot from 19 ft
1:31.0,Defensive rebound by P. Patterson,,70-65,,
1:16.0,K. Lowry makes 3-pt shot from 26 ft,3,73-65,,
1:16.0,,,73-65,,Boston full timeout
1:16.0,C. Joseph enters the game for K. Lowry,,73-65,,
1:16.0,,,73-65,,M. Smart enters the game for A. Bradley
1:16.0,,,73-65,,T. Zeller enters the game for K. Olynyk
1:10.0,Personal foul by C. Joseph (drawn by T. Rozier),,73-65,,
1:10.0,,,73-66,1,T. Rozier makes free throw 1 of 2
1:10.0,,,73-67,1,T. Rozier makes free throw 2 of 2
1:00.0,D. DeRozan misses 2-pt shot from 3 ft,,73-67,,
1:00.0,,,73-67,,Defensive rebound by Team
1:00.0,Violation by Team (jump ball),,73-67,,
0:51.0,,,73-67,,T. Zeller misses 2-pt shot from 17 ft
0:50.0,Defensive rebound by P. Patterson,,73-67,,
0:43.0,D. DeRozan makes 2-pt shot from 3 ft,2,75-67,,
0:27.0,,,75-67,,Shooting foul by T. Ross (drawn by M. Smart)
0:27.0,,,75-68,1,M. Smart makes free throw 1 of 3
0:27.0,,,75-68,,M. Smart misses free throw 2 of 3
0:27.0,,,75-68,,Offensive rebound by Team
0:27.0,,,75-68,,M. Smart misses free throw 3 of 3
0:27.0,Defensive rebound by L. Nogueira,,75-68,,
0:03.0,D. DeRozan misses 2-pt shot from 22 ft,,75-68,,
0:02.0,,,75-68,,Defensive rebound by T. Zeller
0:00.0,,,75-68,,M. Smart misses 3-pt shot from 70 ft
0:00.0,,,75-68,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,75-68,,T. Zeller misses 2-pt shot from 16 ft
11:37.0,,,75-68,,Offensive rebound by J. Jerebko
11:31.0,,,75-68,,J. Brown misses 2-pt shot from 6 ft
11:30.0,,,75-68,,Offensive rebound by T. Zeller
11:28.0,,,75-68,,T. Zeller misses 2-pt shot from 2 ft
11:27.0,Defensive rebound by L. Nogueira,,75-68,,
11:09.0,Offensive charge foul by P. Patterson,,75-68,,
11:09.0,Turnover by P. Patterson (offensive foul),,75-68,,
11:01.0,Personal foul by T. Ross (drawn by T. Zeller),,75-68,,
10:52.0,,,75-70,2,T. Rozier makes 2-pt shot from 2 ft (assist by T. Zeller)
10:32.0,N. Powell makes 3-pt shot from 25 ft (assist by P. Patterson),3,78-70,,
10:13.0,,,78-73,3,J. Jerebko makes 3-pt shot from 25 ft (assist by T. Rozier)
9:56.0,P. Patterson misses 3-pt shot from 25 ft,,78-73,,
9:55.0,,,78-73,,Defensive rebound by T. Zeller
9:44.0,,,78-73,,M. Smart misses 2-pt shot from 1 ft
9:44.0,,,78-73,,Offensive rebound by M. Smart
9:44.0,,,78-73,,M. Smart misses 2-pt shot from 1 ft
9:42.0,Defensive rebound by L. Nogueira,,78-73,,
9:32.0,N. Powell makes 2-pt shot from 2 ft,2,80-73,,
9:18.0,,,80-73,,T. Rozier misses 2-pt shot from 2 ft (block by L. Nogueira)
9:17.0,Defensive rebound by T. Ross,,80-73,,
9:11.0,N. Powell makes 3-pt shot from 24 ft (assist by P. Patterson),3,83-73,,
9:11.0,,,83-73,,Boston full timeout
9:11.0,,,83-73,,J. Crowder enters the game for J. Brown
9:02.0,,,83-73,,J. Jerebko misses 3-pt shot from 23 ft
9:02.0,,,83-73,,Offensive rebound by Team
9:02.0,Loose ball foul by N. Powell (drawn by J. Crowder),,83-73,,
8:50.0,,,83-73,,T. Rozier misses 3-pt shot from 25 ft
8:49.0,,,83-73,,Offensive rebound by Team
8:49.0,Loose ball foul by P. Patterson (drawn by J. Jerebko),,83-73,,
8:35.0,,,83-76,3,J. Crowder makes 3-pt shot from 25 ft (assist by T. Rozier)
8:09.0,C. Joseph misses 2-pt shot from 22 ft,,83-76,,
8:08.0,Offensive rebound by P. Patterson,,83-76,,
8:04.0,P. Patterson makes 2-pt shot from 4 ft,2,85-76,,
7:47.0,,,85-76,,A. Horford enters the game for J. Jerebko
7:47.0,,,85-76,,K. Olynyk enters the game for T. Zeller
7:47.0,Jump ball: P. Patterson vs. M. Smart,,,,Jump ball: P. Patterson vs. M. Smart
7:45.0,,,85-76,,A. Bradley enters the game for M. Smart
7:38.0,,,85-76,,A. Horford misses 2-pt shot from 19 ft
7:36.0,,,85-76,,Offensive rebound by A. Horford
7:29.0,,,85-76,,Shooting foul by T. Ross (drawn by A. Horford)
7:29.0,,,85-77,1,A. Horford makes free throw 1 of 2
7:29.0,,,85-78,1,A. Horford makes free throw 2 of 2
7:29.0,D. DeRozan enters the game for T. Ross,,85-77,,
7:29.0,K. Lowry enters the game for C. Joseph,,85-77,,
7:12.0,N. Powell misses 2-pt shot from 17 ft,,85-78,,
7:12.0,Offensive rebound by K. Lowry,,85-78,,
6:58.0,Shooting foul by A. Bradley (drawn by D. DeRozan),,85-78,,
6:58.0,D. DeRozan makes free throw 1 of 2,1,86-78,,
6:58.0,D. DeRozan makes free throw 2 of 2,1,87-78,,
6:34.0,,,87-78,,J. Crowder misses 3-pt shot from 25 ft
6:33.0,Defensive rebound by P. Patterson,,87-78,,
6:09.0,K. Lowry makes 2-pt shot from 21 ft,2,89-78,,
6:00.0,,,89-78,,A. Bradley misses 3-pt shot from 24 ft
5:59.0,Defensive rebound by D. DeRozan,,89-78,,
5:37.0,K. Lowry misses 3-pt shot from 28 ft,,89-78,,
5:36.0,,,89-78,,Defensive rebound by K. Olynyk
5:32.0,Personal foul by K. Lowry (drawn by T. Rozier),,89-78,,
5:32.0,Official timeout,,89-78,,
5:32.0,,,89-79,1,T. Rozier makes free throw 1 of 2
5:32.0,,,89-79,,T. Rozier misses free throw 2 of 2
5:32.0,Defensive rebound by N. Powell,,89-79,,
5:32.0,,,89-78,,J. Brown enters the game for K. Olynyk
5:32.0,C. Joseph enters the game for P. Patterson,,89-79,,
5:19.0,Offensive foul by L. Nogueira,,89-79,,
5:19.0,Turnover by L. Nogueira (offensive foul),,89-79,,
5:19.0,,,89-79,,M. Smart enters the game for T. Rozier
5:05.0,,,89-82,3,A. Horford makes 3-pt shot from 25 ft (assist by J. Crowder)
4:41.0,C. Joseph misses 2-pt shot from 3 ft,,89-82,,
4:40.0,,,89-82,,Defensive rebound by A. Horford
4:34.0,,,89-82,,J. Crowder misses 3-pt shot from 25 ft
4:33.0,Defensive rebound by D. DeRozan,,89-82,,
4:19.0,,,89-82,,Personal foul by J. Brown (drawn by N. Powell)
4:19.0,J. Valanciunas enters the game for L. Nogueira,,89-82,,
4:14.0,D. DeRozan misses 2-pt shot from 18 ft,,89-82,,
4:13.0,,,89-82,,Defensive rebound by J. Brown
4:05.0,,,89-82,,J. Crowder misses 3-pt shot from 26 ft
4:04.0,Defensive rebound by J. Valanciunas,,89-82,,
3:39.0,K. Lowry misses 2-pt shot from 3 ft,,89-82,,
3:38.0,Offensive rebound by J. Valanciunas,,89-82,,
3:38.0,J. Valanciunas makes 2-pt shot from 1 ft,2,91-82,,
3:22.0,,,91-82,,Shooting foul by J. Valanciunas (drawn by A. Horford)
3:22.0,,,91-83,1,A. Horford makes free throw 1 of 2
3:22.0,,,91-84,1,A. Horford makes free throw 2 of 2
3:06.0,C. Joseph misses 2-pt shot from 18 ft,,91-84,,
3:05.0,,,91-84,,Defensive rebound by A. Bradley
2:55.0,,,91-87,3,A. Bradley makes 3-pt shot from 25 ft (assist by A. Horford)
2:53.0,Toronto full timeout,,91-87,,
