time,Denver,pts.away,score,pts.home,Milwaukee
5:13.0,,,51-25,,Shooting foul by D. Gallinari (drawn by G. Antetokounmpo)
5:13.0,,,51-26,1,G. Antetokounmpo makes free throw 1 of 2
5:13.0,,,51-27,1,G. Antetokounmpo makes free throw 2 of 2
5:13.0,G. Harris enters the game for M. Plumlee,,51-26,,
5:13.0,N. Jokic enters the game for W. Barton,,51-26,,
5:13.0,J. Murray enters the game for E. Mudiay,,51-26,,
4:55.0,D. Gallinari makes 3-pt shot from 26 ft (assist by N. Jokic),3,54-27,,
4:34.0,,,54-27,,J. Henson misses 2-pt shot from 8 ft
4:33.0,Defensive rebound by N. Jokic,,54-27,,
4:26.0,Turnover by W. Chandler (3 sec),,54-27,,
4:16.0,,,54-29,2,T. Snell makes 2-pt shot from 2 ft (assist by M. Brogdon)
3:58.0,J. Murray misses 2-pt shot from 4 ft,,54-29,,
3:55.0,Offensive rebound by N. Jokic,,54-29,,
3:54.0,N. Jokic misses 2-pt shot from 2 ft (block by G. Antetokounmpo),,54-29,,
3:50.0,Offensive rebound by N. Jokic,,54-29,,
3:50.0,Shooting foul by A. Toupane (drawn by D. Gallinari),,54-29,,
3:50.0,D. Gallinari makes free throw 1 of 2,1,55-29,,
3:50.0,D. Gallinari makes free throw 2 of 2,1,56-29,,
3:50.0,,,55-29,,K. Middleton enters the game for A. Toupane
3:29.0,,,56-29,,G. Antetokounmpo misses 2-pt shot at rim (block by N. Jokic)
3:26.0,,,56-29,,Offensive rebound by G. Antetokounmpo
3:26.0,,,56-29,,Turnover by Team (shot clock)
3:11.0,J. Murray misses 3-pt shot from 28 ft,,56-29,,
3:09.0,,,56-29,,Defensive rebound by G. Antetokounmpo
2:55.0,,,56-29,,M. Brogdon misses 2-pt shot from 2 ft
2:53.0,Defensive rebound by N. Jokic,,56-29,,
2:45.0,J. Murray misses 3-pt shot from 26 ft,,56-29,,
2:44.0,,,56-29,,Defensive rebound by J. Henson
2:37.0,,,56-31,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by K. Middleton)
2:16.0,Turnover by N. Jokic (lost ball; steal by M. Brogdon),,56-31,,
2:10.0,,,56-33,2,J. Henson makes 2-pt shot at rim (assist by G. Antetokounmpo)
2:10.0,Denver full timeout,,56-33,,
1:52.0,Turnover by N. Jokic (bad pass; steal by K. Middleton),,56-33,,
1:48.0,,,56-33,,Offensive charge foul by G. Antetokounmpo
1:48.0,,,56-33,,Turnover by G. Antetokounmpo (offensive foul)
1:35.0,G. Harris makes 3-pt shot from 26 ft (assist by N. Jokic),3,59-33,,
1:17.0,,,59-33,,K. Middleton misses 2-pt shot from 6 ft (block by D. Gallinari)
1:14.0,Defensive rebound by N. Jokic,,59-33,,
1:09.0,Shooting foul by K. Middleton (drawn by D. Gallinari),,59-33,,
1:09.0,D. Gallinari makes free throw 1 of 2,1,60-33,,
1:09.0,D. Gallinari makes free throw 2 of 2,1,61-33,,
1:00.0,,,61-35,2,M. Brogdon makes 2-pt shot from 16 ft
0:52.0,N. Jokic misses 2-pt shot from 2 ft,,61-35,,
0:52.0,Offensive rebound by N. Jokic,,61-35,,
0:52.0,N. Jokic makes 2-pt shot from 2 ft,2,63-35,,
0:41.0,,,63-35,,Turnover by M. Brogdon (bad pass; steal by D. Gallinari)
0:30.0,Turnover by J. Murray (bad pass; steal by M. Brogdon),,63-35,,
0:28.0,,,63-37,2,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Henson)
0:03.0,J. Murray misses 3-pt shot from 30 ft,,63-37,,
0:02.0,Offensive rebound by N. Jokic,,63-37,,
0:01.0,N. Jokic misses 2-pt shot from 2 ft (block by J. Henson),,63-37,,
0:00.0,,,63-37,,Defensive rebound by K. Middleton
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,Turnover by G. Harris (step out of bounds),,63-37,,
11:39.0,,,63-40,3,M. Brogdon makes 3-pt shot from 27 ft (assist by G. Antetokounmpo)
11:19.0,G. Harris misses 3-pt shot from 27 ft,,63-40,,
11:18.0,,,63-40,,Defensive rebound by G. Antetokounmpo
11:09.0,,,63-40,,Shooting foul by G. Harris (drawn by G. Antetokounmpo)
11:09.0,,,63-40,,G. Antetokounmpo misses free throw 1 of 2
11:09.0,,,63-40,,Offensive rebound by Team
11:09.0,,,63-41,1,G. Antetokounmpo makes free throw 2 of 2
10:58.0,D. Gallinari misses 2-pt shot from 1 ft (block by J. Henson),,63-41,,
10:57.0,,,63-41,,Defensive rebound by Team
10:46.0,,,63-41,,M. Brogdon misses 3-pt shot from 27 ft
10:45.0,Defensive rebound by D. Gallinari,,63-41,,
10:34.0,J. Murray misses 3-pt shot from 30 ft,,63-41,,
10:33.0,,,63-41,,Defensive rebound by J. Henson
10:15.0,,,63-41,,Turnover by G. Antetokounmpo (lost ball; steal by G. Harris)
10:09.0,,,63-41,,Personal block foul by J. Henson (drawn by G. Harris)
9:59.0,Shooting foul by J. Terry (drawn by N. Jokic),,63-41,,
9:59.0,N. Jokic misses free throw 1 of 2,,63-41,,
9:59.0,Offensive rebound by Team,,63-41,,
9:59.0,N. Jokic makes free throw 2 of 2,1,64-41,,
9:34.0,,,64-44,3,J. Terry makes 3-pt shot from 24 ft (assist by G. Antetokounmpo)
9:14.0,D. Gallinari makes 2-pt shot from 14 ft,2,66-44,,
9:03.0,,,66-44,,Turnover by G. Antetokounmpo (bad pass; steal by N. Jokic)
9:02.0,,,66-44,,Personal foul by J. Terry (drawn by J. Murray)
8:51.0,W. Chandler makes 2-pt shot from 1 ft,2,68-44,,
8:32.0,,,68-46,2,M. Brogdon makes 2-pt shot from 16 ft (assist by J. Henson)
8:20.0,Shooting foul by T. Snell (drawn by D. Gallinari),,68-46,,
8:20.0,D. Gallinari makes free throw 1 of 2,1,69-46,,
8:20.0,D. Gallinari makes free throw 2 of 2,1,70-46,,
8:06.0,,,70-46,,G. Antetokounmpo misses 3-pt shot from 26 ft
8:04.0,Defensive rebound by N. Jokic,,70-46,,
7:54.0,Turnover by D. Gallinari (bad pass; steal by J. Henson),,70-46,,
7:46.0,,,70-48,2,G. Antetokounmpo makes 2-pt shot from 1 ft
7:23.0,N. Jokic misses 2-pt shot from 7 ft,,70-48,,
7:22.0,Offensive rebound by J. Murray,,70-48,,
7:17.0,J. Murray makes 2-pt shot from 15 ft,2,72-48,,
