time,Brooklyn,pts.away,score,pts.home,Portland
7:06.0,S. Dinwiddie enters the game for J. Lin,,12-17,,
7:00.0,,,12-17,,D. Lillard misses 3-pt shot from 26 ft
6:59.0,Defensive rebound by Team,,12-17,,
6:49.0,Turnover by B. Lopez (bad pass; steal by N. Vonleh),,12-17,,
6:43.0,,,12-17,,C. McCollum misses 2-pt shot from 15 ft
6:42.0,Defensive rebound by B. Lopez,,12-17,,
6:29.0,C. LeVert makes 2-pt shot from 15 ft,2,14-17,,
6:07.0,,,14-17,,Turnover by D. Lillard (bad pass; steal by C. LeVert)
5:57.0,Turnover by S. Dinwiddie (lost ball),,14-17,,
5:32.0,,,14-17,,N. Vonleh misses 2-pt shot from 11 ft
5:32.0,Defensive rebound by R. Foye,,14-17,,
5:24.0,Turnover by R. Foye (bad pass; steal by M. Harkless),,14-17,,
5:21.0,,,14-17,,Shooting foul by S. Dinwiddie (drawn by M. Harkless)
5:21.0,,,14-17,,M. Harkless misses free throw 1 of 2
5:21.0,,,14-17,,Offensive rebound by Team
5:21.0,,,14-18,1,M. Harkless makes free throw 2 of 2
5:21.0,,,14-17,,A. Crabbe enters the game for C. McCollum
5:21.0,I. Whitehead enters the game for C. LeVert,,14-17,,
5:06.0,T. Booker misses 2-pt shot from 20 ft,,14-18,,
5:05.0,,,14-18,,Defensive rebound by Team
4:54.0,,,14-20,2,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard)
4:32.0,R. Foye misses 3-pt shot from 26 ft,,14-20,,
4:31.0,,,14-20,,Defensive rebound by A. Crabbe
4:22.0,,,14-20,,Turnover by D. Lillard (lost ball; steal by T. Booker)
4:00.0,Turnover by T. Booker (lost ball; steal by J. Nurkic),,14-20,,
3:55.0,,,14-20,,Shooting foul by B. Lopez (drawn by J. Nurkic)
3:55.0,,,14-22,2,J. Nurkic makes 2-pt shot from 4 ft
3:55.0,,,14-23,1,J. Nurkic makes free throw 1 of 1
3:55.0,S. Kilpatrick enters the game for R. Foye,,14-22,,
3:55.0,,,14-22,,S. Napier enters the game for M. Harkless
3:55.0,,,14-22,,A. Aminu enters the game for N. Vonleh
3:55.0,Q. Acy enters the game for B. Lopez,,14-22,,
3:38.0,Turnover by T. Booker (lost ball),,14-23,,
3:38.0,,,14-23,,M. Leonard enters the game for J. Nurkic
3:24.0,,,14-23,,Turnover by D. Lillard (lost ball)
3:16.0,S. Dinwiddie misses 2-pt shot from 15 ft,,14-23,,
3:14.0,Offensive rebound by S. Dinwiddie,,14-23,,
3:10.0,S. Kilpatrick makes 3-pt shot from 24 ft (assist by S. Dinwiddie),3,17-23,,
2:48.0,,,17-26,3,A. Crabbe makes 3-pt shot from 25 ft (assist by A. Aminu)
2:31.0,Q. Acy makes 3-pt shot from 24 ft (assist by S. Kilpatrick),3,20-26,,
2:12.0,,,20-28,2,M. Leonard makes 2-pt shot from 3 ft (assist by A. Crabbe)
1:57.0,,,20-28,,Personal foul by A. Crabbe (drawn by S. Dinwiddie)
1:57.0,,,20-28,,Portland full timeout
1:57.0,,,20-28,,C. McCollum enters the game for D. Lillard
1:47.0,S. Kilpatrick makes 2-pt shot from 23 ft,2,22-28,,
1:46.0,,,22-28,,Portland full timeout
1:46.0,,,22-28,,P. Connaughton enters the game for A. Crabbe
1:26.0,,,22-30,2,M. Leonard makes 2-pt shot from 12 ft (assist by C. McCollum)
1:07.0,I. Whitehead misses 2-pt shot from 20 ft,,22-30,,
1:07.0,,,22-30,,Defensive rebound by Team
0:57.0,,,22-33,3,C. McCollum makes 3-pt shot from 25 ft
0:45.0,S. Kilpatrick makes 3-pt shot from 25 ft (assist by I. Whitehead),3,25-33,,
0:34.0,,,25-35,2,C. McCollum makes 2-pt shot from 2 ft
0:25.0,,,25-35,,Personal foul by C. McCollum (drawn by S. Dinwiddie)
0:25.0,S. Dinwiddie makes free throw 1 of 2,1,26-35,,
0:25.0,S. Dinwiddie makes free throw 2 of 2,1,27-35,,
0:02.0,,,27-37,2,C. McCollum makes 2-pt shot from 3 ft
0:00.0,S. Dinwiddie misses 3-pt shot from 54 ft,,27-37,,
0:00.0,Offensive rebound by Team,,27-37,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Violation by I. Whitehead (kicked ball),,27-37,,
11:42.0,,,27-37,,Turnover by S. Napier (lost ball)
11:29.0,,,27-37,,Personal foul by S. Napier (drawn by R. Hollis-Jefferson)
11:18.0,Turnover by Q. Acy (lost ball; steal by S. Napier),,27-37,,
11:10.0,,,27-40,3,A. Aminu makes 3-pt shot from 23 ft (assist by C. McCollum)
10:57.0,S. Dinwiddie makes 2-pt shot from 22 ft,2,29-40,,
10:34.0,,,29-42,2,A. Aminu makes 2-pt shot at rim (assist by P. Connaughton)
10:33.0,Brooklyn full timeout,,29-42,,
10:16.0,Q. Acy misses 3-pt shot from 23 ft,,29-42,,
10:15.0,,,29-42,,Defensive rebound by A. Aminu
10:05.0,,,29-42,,Turnover by P. Connaughton (bad pass; steal by K. McDaniels)
9:53.0,I. Whitehead misses 3-pt shot from 24 ft,,29-42,,
9:52.0,,,29-42,,Defensive rebound by M. Leonard
9:41.0,,,29-42,,C. McCollum misses 2-pt shot from 19 ft
9:41.0,Defensive rebound by S. Dinwiddie,,29-42,,
9:32.0,S. Dinwiddie misses 3-pt shot from 26 ft,,29-42,,
9:31.0,,,29-42,,Defensive rebound by P. Connaughton
9:22.0,Personal foul by Q. Acy (drawn by C. McCollum),,29-42,,
9:15.0,Personal block foul by I. Whitehead (drawn by S. Napier),,29-42,,
9:03.0,,,29-44,2,A. Aminu makes 2-pt shot from 2 ft
8:48.0,R. Hollis-Jefferson makes 2-pt shot from 21 ft,2,31-44,,
8:33.0,Personal foul by I. Whitehead (drawn by M. Leonard),,31-44,,
8:27.0,,,31-44,,Turnover by A. Aminu (3 sec)
8:16.0,Q. Acy makes 3-pt shot from 25 ft (assist by S. Dinwiddie),3,34-44,,
7:57.0,,,34-44,,A. Crabbe enters the game for P. Connaughton
7:49.0,,,34-46,2,C. McCollum makes 2-pt shot from 7 ft
7:49.0,,,34-46,,Shooting foul by Q. Acy (drawn by C. McCollum)
7:49.0,,,34-47,1,C. McCollum makes free throw 1 of 1
7:32.0,R. Hollis-Jefferson misses 2-pt shot from 20 ft,,34-47,,
7:31.0,,,34-47,,Defensive rebound by C. McCollum
7:26.0,,,34-47,,C. McCollum misses 2-pt shot from 8 ft (block by S. Dinwiddie)
7:25.0,,,34-47,,Offensive rebound by S. Napier
7:24.0,,,34-47,,S. Napier misses 3-pt shot from 22 ft
7:22.0,Defensive rebound by S. Dinwiddie,,34-47,,
7:08.0,Brooklyn full timeout,,34-47,,
7:08.0,S. Kilpatrick enters the game for Q. Acy,,34-47,,
7:08.0,B. Lopez enters the game for K. McDaniels,,34-47,,
7:08.0,,,34-47,,D. Lillard enters the game for C. McCollum
7:08.0,,,34-47,,J. Nurkic enters the game for S. Napier
7:08.0,,,34-47,,M. Harkless enters the game for M. Leonard
6:59.0,S. Kilpatrick makes 3-pt shot from 25 ft,3,37-47,,
6:49.0,Personal foul by I. Whitehead (drawn by A. Crabbe),,37-47,,
6:49.0,,,37-47,,A. Crabbe misses free throw 1 of 2
6:49.0,,,37-47,,Offensive rebound by Team
6:49.0,,,37-48,1,A. Crabbe makes free throw 2 of 2
6:35.0,S. Kilpatrick misses 2-pt shot from 2 ft (block by M. Harkless),,37-48,,
6:35.0,Offensive rebound by R. Hollis-Jefferson,,37-48,,
6:24.0,B. Lopez makes 2-pt shot from 22 ft (assist by R. Hollis-Jefferson),2,39-48,,
6:14.0,,,39-48,,Shooting foul by S. Dinwiddie (drawn by D. Lillard)
6:14.0,,,39-48,,D. Lillard misses free throw 1 of 2
6:14.0,,,39-48,,Offensive rebound by Team
6:14.0,,,39-49,1,D. Lillard makes free throw 2 of 2
6:14.0,C. LeVert enters the game for S. Dinwiddie,,39-48,,
6:02.0,C. LeVert makes 2-pt shot from 7 ft,2,41-49,,
5:42.0,,,41-51,2,A. Crabbe makes 2-pt shot from 14 ft (assist by D. Lillard)
5:29.0,B. Lopez misses 3-pt shot from 27 ft,,41-51,,
5:28.0,,,41-51,,Defensive rebound by A. Crabbe
5:19.0,,,41-51,,D. Lillard misses 2-pt shot from 3 ft
5:19.0,,,41-51,,Offensive rebound by J. Nurkic
5:19.0,,,41-51,,J. Nurkic misses 2-pt shot from 1 ft
5:17.0,Defensive rebound by B. Lopez,,41-51,,
5:11.0,S. Kilpatrick makes 3-pt shot from 24 ft (assist by C. LeVert),3,44-51,,
5:11.0,,,44-51,,Portland full timeout
5:11.0,J. Lin enters the game for I. Whitehead,,44-51,,
4:55.0,,,44-51,,A. Aminu misses 3-pt shot from 23 ft
4:53.0,Defensive rebound by J. Lin,,44-51,,
4:44.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by C. LeVert),2,46-51,,
4:26.0,,,46-51,,Turnover by J. Nurkic (lost ball; steal by R. Hollis-Jefferson)
4:08.0,B. Lopez misses 2-pt shot from 3 ft (block by M. Harkless),,46-51,,
4:08.0,,,46-51,,Defensive rebound by Team
3:49.0,,,46-53,2,M. Harkless makes 2-pt shot from 1 ft
3:39.0,,,46-53,,C. McCollum enters the game for A. Crabbe
3:24.0,Turnover by Team (shot clock),,46-53,,
3:08.0,,,46-53,,D. Lillard misses 2-pt shot from 22 ft
3:07.0,Defensive rebound by J. Lin,,46-53,,
2:57.0,B. Lopez misses 2-pt shot from 14 ft,,46-53,,
2:55.0,Offensive rebound by R. Hollis-Jefferson,,46-53,,
2:49.0,R. Hollis-Jefferson misses 2-pt shot from 2 ft,,46-53,,
2:49.0,,,46-53,,Defensive rebound by C. McCollum
2:42.0,,,46-53,,C. McCollum misses 2-pt shot from 2 ft (block by B. Lopez)
2:40.0,Defensive rebound by B. Lopez,,46-53,,
2:30.0,J. Lin makes 2-pt shot from 11 ft,2,48-53,,
2:11.0,,,48-53,,D. Lillard misses 2-pt shot from 2 ft (block by B. Lopez)
2:10.0,Defensive rebound by R. Hollis-Jefferson,,48-53,,
2:04.0,J. Lin makes 3-pt shot from 25 ft (assist by S. Kilpatrick),3,51-53,,
1:46.0,,,51-53,,M. Harkless misses 2-pt shot from 2 ft (block by R. Hollis-Jefferson)
1:45.0,Defensive rebound by S. Kilpatrick,,51-53,,
1:32.0,S. Kilpatrick misses 2-pt shot from 2 ft (block by M. Harkless),,51-53,,
1:30.0,,,51-53,,Defensive rebound by D. Lillard
1:25.0,,,51-55,2,D. Lillard makes 2-pt shot from 7 ft
1:08.0,B. Lopez makes 2-pt shot from 4 ft,2,53-55,,
0:46.0,,,53-55,,Turnover by A. Aminu (lost ball)
0:46.0,Official timeout,,53-55,,
0:29.0,B. Lopez makes 2-pt shot from 2 ft (assist by J. Lin),2,55-55,,
0:10.0,,,55-58,3,A. Aminu makes 3-pt shot from 23 ft (assist by D. Lillard)
0:04.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by S. Kilpatrick),2,57-58,,
0:00.0,,,57-58,,C. McCollum misses 2-pt shot from 5 ft
0:00.0,,,57-58,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,57-58,,J. Nurkic misses 2-pt shot from 3 ft
11:37.0,,,57-58,,Offensive rebound by Team
11:34.0,,,57-60,2,C. McCollum makes 2-pt shot from 10 ft (assist by M. Harkless)
11:22.0,J. Lin misses 3-pt shot from 23 ft,,57-60,,
11:21.0,,,57-60,,Defensive rebound by N. Vonleh
11:09.0,,,57-62,2,J. Nurkic makes 2-pt shot from 8 ft
11:03.0,Turnover by J. Lin (bad pass),,57-62,,
10:48.0,,,57-62,,C. McCollum misses 2-pt shot from 20 ft
10:47.0,Defensive rebound by C. LeVert,,57-62,,
10:38.0,R. Hollis-Jefferson makes 2-pt shot at rim (assist by C. LeVert),2,59-62,,
10:17.0,,,59-62,,J. Nurkic misses 2-pt shot from 2 ft
10:17.0,Defensive rebound by J. Lin,,59-62,,
10:06.0,J. Lin misses 2-pt shot from 2 ft,,59-62,,
10:05.0,,,59-62,,Defensive rebound by J. Nurkic
9:53.0,,,59-64,2,M. Harkless makes 2-pt shot from 3 ft (assist by D. Lillard)
9:41.0,C. LeVert misses 2-pt shot from 2 ft,,59-64,,
9:41.0,,,59-64,,Defensive rebound by N. Vonleh
9:31.0,,,59-64,,D. Lillard misses 2-pt shot from 2 ft
9:31.0,,,59-64,,Offensive rebound by Team
9:21.0,,,59-64,,J. Nurkic misses 2-pt shot from 2 ft
9:20.0,Defensive rebound by B. Lopez,,59-64,,
9:14.0,J. Lin makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson),3,62-64,,
8:56.0,,,62-66,2,D. Lillard makes 2-pt shot from 20 ft (assist by J. Nurkic)
8:33.0,C. LeVert misses 3-pt shot from 26 ft,,62-66,,
8:32.0,,,62-66,,Defensive rebound by D. Lillard
8:27.0,Personal foul by C. LeVert (drawn by M. Harkless),,62-66,,
8:17.0,,,62-66,,Turnover by D. Lillard (lost ball; steal by J. Lin)
8:12.0,C. LeVert misses 2-pt shot from 2 ft,,62-66,,
8:11.0,,,62-66,,Defensive rebound by J. Nurkic
8:08.0,,,62-66,,Turnover by J. Nurkic (lost ball; steal by C. LeVert)
8:08.0,Shooting foul by J. Nurkic (drawn by C. LeVert),,62-66,,
8:08.0,C. LeVert makes free throw 1 of 2,1,63-66,,
8:08.0,C. LeVert misses free throw 2 of 2,,63-66,,
8:07.0,,,63-66,,Defensive rebound by C. McCollum
7:55.0,,,63-66,,J. Nurkic misses 2-pt shot from 2 ft (block by J. Lin)
7:55.0,,,63-66,,Offensive rebound by Team
7:52.0,,,63-68,2,M. Harkless makes 2-pt shot from 2 ft
7:52.0,,,63-68,,Shooting foul by R. Hollis-Jefferson (drawn by M. Harkless)
7:52.0,,,63-69,1,M. Harkless makes free throw 1 of 1
7:40.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft,2,65-69,,
7:40.0,Shooting foul by M. Harkless (drawn by R. Hollis-Jefferson),,65-69,,
7:40.0,R. Hollis-Jefferson misses free throw 1 of 1,,65-69,,
7:39.0,,,65-69,,Defensive rebound by N. Vonleh
7:23.0,Personal foul by R. Foye (drawn by C. McCollum),,65-69,,
7:19.0,,,65-72,3,D. Lillard makes 3-pt shot from 23 ft (assist by M. Harkless)
7:10.0,J. Lin misses 3-pt shot from 24 ft,,65-72,,
7:10.0,,,65-72,,Defensive rebound by M. Harkless
7:00.0,,,65-72,,Shooting foul by J. Lin (drawn by J. Nurkic)
7:00.0,,,65-72,,J. Nurkic misses free throw 1 of 2
7:00.0,,,65-72,,Offensive rebound by Team
7:00.0,,,65-73,1,J. Nurkic makes free throw 2 of 2
7:00.0,S. Dinwiddie enters the game for J. Lin,,65-72,,
6:43.0,C. LeVert misses 3-pt shot from 25 ft,,65-73,,
6:43.0,,,65-73,,Defensive rebound by J. Nurkic
6:24.0,,,65-73,,Turnover by N. Vonleh (bad pass; steal by B. Lopez)
6:19.0,R. Hollis-Jefferson misses 2-pt shot from 2 ft,,65-73,,
6:19.0,,,65-73,,Defensive rebound by Team
6:01.0,,,65-73,,C. McCollum misses 2-pt shot from 5 ft
6:01.0,,,65-73,,Offensive rebound by N. Vonleh
6:01.0,,,65-73,,N. Vonleh misses 2-pt shot from 1 ft
6:01.0,Defensive rebound by B. Lopez,,65-73,,
5:47.0,B. Lopez makes 2-pt shot at rim (assist by C. LeVert),2,67-73,,
5:27.0,,,67-76,3,M. Harkless makes 3-pt shot from 24 ft (assist by D. Lillard)
5:27.0,Brooklyn full timeout,,67-76,,
5:27.0,,,67-76,,A. Crabbe enters the game for C. McCollum
5:27.0,I. Whitehead enters the game for C. LeVert,,67-76,,
5:07.0,B. Lopez makes 2-pt shot from 14 ft (assist by R. Hollis-Jefferson),2,69-76,,
4:46.0,,,69-76,,N. Vonleh misses 2-pt shot from 4 ft
4:45.0,Defensive rebound by R. Hollis-Jefferson,,69-76,,
4:40.0,B. Lopez misses 3-pt shot from 23 ft,,69-76,,
4:39.0,,,69-76,,Defensive rebound by A. Crabbe
4:30.0,,,69-78,2,J. Nurkic makes 2-pt shot from 3 ft (assist by D. Lillard)
4:18.0,B. Lopez makes 2-pt shot from 5 ft,2,71-78,,
4:18.0,Shooting foul by D. Lillard (drawn by B. Lopez),,71-78,,
4:18.0,B. Lopez misses free throw 1 of 1,,71-78,,
4:18.0,,,71-78,,Defensive rebound by A. Aminu
4:18.0,,,71-78,,M. Leonard enters the game for N. Vonleh
4:18.0,S. Kilpatrick enters the game for R. Foye,,71-78,,
4:18.0,,,71-78,,A. Aminu enters the game for J. Nurkic
4:18.0,T. Booker enters the game for R. Hollis-Jefferson,,71-78,,
4:03.0,,,71-81,3,A. Aminu makes 3-pt shot from 24 ft (assist by D. Lillard)
3:54.0,S. Kilpatrick misses 2-pt shot from 21 ft,,71-81,,
3:53.0,,,71-81,,Defensive rebound by A. Aminu
3:33.0,,,71-81,,A. Aminu misses 2-pt shot from 2 ft (block by T. Booker)
3:33.0,,,71-81,,Offensive rebound by M. Harkless
3:33.0,,,71-81,,Shooting foul by T. Booker (drawn by M. Harkless)
3:33.0,,,71-82,1,M. Harkless makes free throw 1 of 2
3:33.0,,,71-83,1,M. Harkless makes free throw 2 of 2
3:33.0,Q. Acy enters the game for B. Lopez,,71-82,,
3:14.0,T. Booker misses 2-pt shot from 3 ft,,71-83,,
3:13.0,Offensive rebound by Team,,71-83,,
3:13.0,,,71-83,,S. Napier enters the game for M. Harkless
3:03.0,Shooting foul by D. Lillard (drawn by S. Dinwiddie),,71-83,,
3:03.0,,,71-83,,Portland full timeout
3:03.0,S. Dinwiddie makes free throw 1 of 3,1,72-83,,
3:03.0,S. Dinwiddie makes free throw 2 of 3,1,73-83,,
3:03.0,S. Dinwiddie makes free throw 3 of 3,1,74-83,,
2:48.0,,,74-83,,A. Crabbe misses 3-pt shot from 25 ft
2:47.0,,,74-83,,Offensive rebound by M. Leonard
2:33.0,,,74-83,,S. Napier misses 3-pt shot from 25 ft
2:32.0,Defensive rebound by Q. Acy,,74-83,,
2:23.0,S. Dinwiddie makes 2-pt shot from 19 ft,2,76-83,,
1:50.0,,,76-83,,S. Napier misses 2-pt shot from 19 ft
1:50.0,,,76-83,,Offensive rebound by Team
1:50.0,,,76-83,,Turnover by Team (shot clock)
1:50.0,,,76-83,,C. McCollum enters the game for D. Lillard
1:39.0,T. Booker makes 2-pt shot from 2 ft (assist by S. Kilpatrick),2,78-83,,
1:14.0,,,78-85,2,M. Leonard makes 2-pt shot from 16 ft
1:05.0,I. Whitehead makes 2-pt shot from 1 ft,2,80-85,,
0:52.0,,,80-87,2,C. McCollum makes 2-pt shot from 20 ft
0:31.0,I. Whitehead makes 2-pt shot from 17 ft,2,82-87,,
0:20.0,,,82-90,3,C. McCollum makes 3-pt shot from 23 ft (assist by M. Leonard)
0:09.0,Turnover by T. Booker (lost ball; steal by S. Napier),,82-90,,
0:01.0,,,82-90,,A. Aminu misses 2-pt shot from 2 ft
0:01.0,,,82-90,,Offensive rebound by A. Aminu
0:00.0,,,82-90,,A. Aminu misses 2-pt shot from 2 ft
0:00.0,,,82-90,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,82-90,,Personal foul by A. Aminu (drawn by Q. Acy)
11:36.0,S. Kilpatrick misses 2-pt shot from 15 ft (block by C. McCollum),,82-90,,
11:32.0,,,82-90,,Defensive rebound by A. Aminu
11:30.0,,,82-92,2,A. Aminu makes 2-pt shot from 1 ft
11:13.0,S. Dinwiddie makes 2-pt shot from 20 ft,2,84-92,,
10:47.0,,,84-95,3,S. Napier makes 3-pt shot from 23 ft (assist by C. McCollum)
10:35.0,S. Dinwiddie makes 2-pt shot from 16 ft,2,86-95,,
10:35.0,Shooting foul by S. Napier (drawn by S. Dinwiddie),,86-95,,
10:35.0,S. Dinwiddie makes free throw 1 of 1,1,87-95,,
10:16.0,,,87-95,,Shooting foul by Q. Acy (drawn by A. Crabbe)
10:16.0,,,87-96,1,A. Crabbe makes free throw 1 of 2
10:16.0,,,87-97,1,A. Crabbe makes free throw 2 of 2
10:05.0,S. Kilpatrick misses 2-pt shot from 2 ft,,87-97,,
10:04.0,Offensive rebound by T. Booker,,87-97,,
10:04.0,T. Booker makes 2-pt shot from 1 ft,2,89-97,,
9:51.0,,,89-97,,C. McCollum misses 2-pt shot from 17 ft
9:50.0,Defensive rebound by T. Booker,,89-97,,
9:43.0,Turnover by I. Whitehead (lost ball; steal by S. Napier),,89-97,,
9:38.0,,,89-97,,S. Napier misses 2-pt shot from 2 ft
9:38.0,Defensive rebound by T. Booker,,89-97,,
9:33.0,Shooting foul by M. Leonard (drawn by Q. Acy),,89-97,,
9:33.0,Q. Acy misses free throw 1 of 2,,89-97,,
9:33.0,Offensive rebound by Team,,89-97,,
9:33.0,Q. Acy makes free throw 2 of 2,1,90-97,,
9:12.0,,,90-100,3,C. McCollum makes 3-pt shot from 23 ft (assist by S. Napier)
9:00.0,I. Whitehead makes 2-pt shot from 10 ft,2,92-100,,
8:37.0,,,92-103,3,C. McCollum makes 3-pt shot from 26 ft
8:36.0,Brooklyn full timeout,,92-103,,
8:36.0,B. Lopez enters the game for Q. Acy,,92-103,,
8:36.0,,,92-103,,D. Lillard enters the game for S. Napier
8:20.0,B. Lopez makes 2-pt shot from 15 ft,2,94-103,,
8:04.0,,,94-103,,D. Lillard misses 3-pt shot from 23 ft
8:03.0,Defensive rebound by T. Booker,,94-103,,
7:53.0,S. Kilpatrick makes 3-pt shot from 25 ft (assist by S. Dinwiddie),3,97-103,,
7:40.0,,,97-106,3,M. Leonard makes 3-pt shot from 25 ft (assist by D. Lillard)
7:23.0,B. Lopez misses 3-pt shot from 24 ft,,97-106,,
7:23.0,,,97-106,,Defensive rebound by D. Lillard
7:14.0,,,97-109,3,A. Aminu makes 3-pt shot from 23 ft (assist by C. McCollum)
7:00.0,S. Kilpatrick misses 2-pt shot from 7 ft,,97-109,,
7:00.0,Offensive rebound by S. Kilpatrick,,97-109,,
6:56.0,B. Lopez misses 2-pt shot from 16 ft,,97-109,,
6:55.0,,,97-109,,Defensive rebound by M. Leonard
6:44.0,,,97-109,,D. Lillard misses 3-pt shot from 25 ft
6:44.0,Defensive rebound by T. Booker,,97-109,,
6:26.0,,,97-109,,M. Harkless enters the game for A. Crabbe
6:26.0,,,97-109,,J. Nurkic enters the game for M. Leonard
6:26.0,J. Lin enters the game for I. Whitehead,,97-109,,
6:23.0,S. Kilpatrick makes 3-pt shot from 25 ft (assist by J. Lin),3,100-109,,
5:59.0,,,100-111,2,A. Aminu makes 2-pt shot from 2 ft
5:52.0,B. Lopez misses 2-pt shot from 1 ft,,100-111,,
5:52.0,,,100-111,,Defensive rebound by A. Aminu
5:52.0,Personal foul by T. Booker (drawn by A. Aminu),,100-111,,
5:52.0,Official timeout,,100-111,,
5:52.0,R. Hollis-Jefferson enters the game for T. Booker,,100-111,,
5:37.0,,,100-113,2,C. McCollum makes 2-pt shot from 14 ft (assist by D. Lillard)
5:22.0,Shooting foul by M. Harkless (drawn by B. Lopez),,100-113,,
5:22.0,B. Lopez makes free throw 1 of 2,1,101-113,,
5:22.0,B. Lopez misses free throw 2 of 2,,101-113,,
5:21.0,Offensive rebound by R. Hollis-Jefferson,,101-113,,
5:12.0,B. Lopez makes 3-pt shot from 24 ft (assist by R. Hollis-Jefferson),3,104-113,,
4:51.0,,,104-113,,Shooting foul by B. Lopez (drawn by J. Nurkic)
4:51.0,,,104-114,1,J. Nurkic makes free throw 1 of 2
4:51.0,,,104-115,1,J. Nurkic makes free throw 2 of 2
4:51.0,C. LeVert enters the game for S. Dinwiddie,,104-114,,
4:33.0,Turnover by C. LeVert (bad pass),,104-115,,
4:17.0,,,104-117,2,J. Nurkic makes 2-pt shot from 8 ft (assist by D. Lillard)
4:08.0,J. Lin misses 2-pt shot from 4 ft,,104-117,,
4:06.0,Offensive rebound by R. Hollis-Jefferson,,104-117,,
4:06.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft,2,106-117,,
3:47.0,,,106-119,2,C. McCollum makes 2-pt shot from 2 ft (assist by J. Nurkic)
3:25.0,B. Lopez makes 2-pt shot from 5 ft (assist by S. Kilpatrick),2,108-119,,
3:09.0,,,108-119,,C. McCollum misses 3-pt shot from 23 ft
