time,Atlanta,pts.away,score,pts.home,Orlando
8:29.0,,,58-53,,A. Gordon misses 2-pt shot from 21 ft
8:28.0,Defensive rebound by P. Millsap,,58-53,,
8:14.0,Shooting foul by S. Ibaka (drawn by D. Schroder),,58-53,,
8:14.0,D. Schroder makes free throw 1 of 2,1,59-53,,
8:14.0,D. Schroder makes free throw 2 of 2,1,60-53,,
7:56.0,,,60-53,,J. Meeks misses 2-pt shot from 10 ft
7:54.0,,,60-53,,Offensive rebound by S. Ibaka
7:54.0,,,60-55,2,S. Ibaka makes 2-pt shot at rim
7:47.0,,,60-55,,Personal foul by E. Payton (drawn by D. Schroder)
7:44.0,,,60-55,,Personal foul by J. Meeks (drawn by K. Bazemore)
7:38.0,P. Millsap makes 3-pt shot from 26 ft (assist by T. Sefolosha),3,63-55,,
7:24.0,,,63-55,,S. Ibaka misses 3-pt shot from 26 ft
7:23.0,Defensive rebound by T. Sefolosha,,63-55,,
7:12.0,P. Millsap misses 2-pt shot from 15 ft,,63-55,,
7:11.0,,,63-55,,Defensive rebound by B. Biyombo
7:03.0,,,63-57,2,S. Ibaka makes 2-pt shot from 3 ft (assist by E. Payton)
6:41.0,Shooting foul by B. Biyombo (drawn by P. Millsap),,63-57,,
6:41.0,P. Millsap makes free throw 1 of 2,1,64-57,,
6:41.0,P. Millsap makes free throw 2 of 2,1,65-57,,
6:16.0,,,65-57,,A. Gordon misses 3-pt shot from 25 ft
6:15.0,,,65-57,,Offensive rebound by S. Ibaka
6:15.0,,,65-57,,S. Ibaka misses 2-pt shot from 2 ft
6:13.0,Defensive rebound by P. Millsap,,65-57,,
6:00.0,P. Millsap makes 2-pt shot from 6 ft (assist by D. Schroder),2,67-57,,
6:00.0,,,67-57,,Orlando full timeout
6:00.0,,,67-57,,E. Fournier enters the game for B. Biyombo
6:00.0,,,67-57,,N. Vucevic enters the game for J. Meeks
6:00.0,,,67-57,,D. Augustin enters the game for E. Payton
5:38.0,,,67-57,,N. Vucevic misses 2-pt shot from 13 ft
5:37.0,,,67-57,,Offensive rebound by S. Ibaka
5:32.0,,,67-57,,Turnover by S. Ibaka (bad pass; steal by K. Bazemore)
5:29.0,T. Sefolosha misses 2-pt shot from 1 ft (block by N. Vucevic),,67-57,,
5:27.0,,,67-57,,Defensive rebound by A. Gordon
5:23.0,,,67-57,,Turnover by A. Gordon (bad pass; steal by T. Sefolosha)
5:20.0,,,67-57,,Violation by A. Gordon (def goaltending)
5:20.0,K. Bazemore makes 2-pt shot from 1 ft,2,69-57,,
4:57.0,,,69-60,3,D. Augustin makes 3-pt shot from 24 ft (assist by N. Vucevic)
4:30.0,D. Howard misses 2-pt shot from 18 ft,,69-60,,
4:29.0,,,69-60,,Defensive rebound by A. Gordon
4:24.0,Violation by T. Sefolosha (kicked ball),,69-60,,
4:24.0,K. Korver enters the game for K. Bazemore,,69-60,,
4:19.0,,,69-62,2,A. Gordon makes 2-pt shot from 1 ft (assist by N. Vucevic)
4:08.0,D. Howard misses 2-pt shot from 9 ft,,69-62,,
4:07.0,,,69-62,,Defensive rebound by A. Gordon
4:04.0,,,69-64,2,A. Gordon makes 2-pt shot at rim
4:04.0,,,69-64,,Shooting foul by T. Sefolosha (drawn by A. Gordon)
4:04.0,,,69-65,1,A. Gordon makes free throw 1 of 1
4:04.0,M. Muscala enters the game for D. Howard,,69-64,,
3:52.0,D. Schroder makes 2-pt shot from 2 ft,2,71-65,,
3:29.0,,,71-65,,S. Ibaka misses 2-pt shot from 20 ft
3:28.0,Defensive rebound by D. Schroder,,71-65,,
3:13.0,T. Sefolosha misses 3-pt shot from 26 ft,,71-65,,
3:13.0,Offensive rebound by Team,,71-65,,
3:13.0,Atlanta full timeout,,71-65,,
3:13.0,,,71-65,,J. Green enters the game for A. Gordon
3:13.0,T. Hardaway enters the game for T. Sefolosha,,71-65,,
3:08.0,Turnover by P. Millsap (offensive foul),,71-65,,
3:08.0,Offensive foul by P. Millsap,,71-65,,
3:08.0,M. Delaney enters the game for D. Schroder,,71-65,,
2:48.0,,,71-65,,E. Fournier misses 3-pt shot from 25 ft
2:47.0,Defensive rebound by M. Muscala,,71-65,,
2:29.0,M. Delaney makes 3-pt shot from 26 ft (assist by K. Korver),3,74-65,,
2:14.0,,,74-65,,N. Vucevic misses 2-pt shot from 12 ft
2:13.0,Defensive rebound by M. Delaney,,74-65,,
2:01.0,M. Delaney misses 2-pt shot from 1 ft,,74-65,,
1:59.0,,,74-65,,Defensive rebound by S. Ibaka
1:51.0,,,74-65,,Turnover by N. Vucevic (3 sec)
1:51.0,K. Humphries enters the game for P. Millsap,,74-65,,
1:36.0,K. Korver makes 2-pt shot from 1 ft (assist by M. Muscala),2,76-65,,
1:24.0,,,76-65,,Turnover by N. Vucevic (offensive foul)
1:24.0,,,76-65,,Offensive foul by N. Vucevic
1:09.0,T. Hardaway makes 2-pt shot from 17 ft,2,78-65,,
1:07.0,,,78-65,,Orlando full timeout
0:53.0,,,78-65,,E. Fournier misses 2-pt shot from 2 ft (block by K. Humphries)
0:51.0,Defensive rebound by K. Korver,,78-65,,
0:37.0,K. Korver misses 3-pt shot from 28 ft,,78-65,,
0:35.0,,,78-65,,Defensive rebound by D. Augustin
0:26.0,,,78-65,,S. Ibaka misses 2-pt shot from 12 ft
0:25.0,Defensive rebound by M. Delaney,,78-65,,
0:01.0,Turnover by Team (shot clock),,78-65,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,M. Delaney makes 2-pt shot from 17 ft (assist by T. Hardaway),2,80-65,,
11:25.0,,,80-68,3,E. Payton makes 3-pt shot from 24 ft (assist by J. Green)
11:13.0,T. Hardaway makes 3-pt shot from 27 ft (assist by K. Korver),3,83-68,,
11:00.0,,,83-70,2,N. Vucevic makes 2-pt shot at rim (assist by E. Fournier)
10:36.0,T. Hardaway makes 3-pt shot from 27 ft (assist by K. Korver),3,86-70,,
10:22.0,,,86-73,3,J. Green makes 3-pt shot from 27 ft (assist by N. Vucevic)
10:07.0,T. Hardaway misses 2-pt shot from 20 ft,,86-73,,
10:06.0,,,86-73,,Defensive rebound by E. Payton
9:54.0,,,86-75,2,N. Vucevic makes 2-pt shot from 8 ft
9:44.0,,,86-75,,Personal foul by E. Fournier (drawn by K. Humphries)
9:41.0,T. Hardaway makes 2-pt shot at rim (assist by K. Korver),2,88-75,,
9:22.0,,,88-77,2,E. Fournier makes 2-pt shot from 13 ft
9:08.0,Turnover by T. Hardaway (bad pass; steal by E. Payton),,88-77,,
9:04.0,,,88-77,,J. Meeks misses 2-pt shot from 2 ft (block by K. Korver)
9:04.0,,,88-77,,Offensive rebound by Team
9:04.0,K. Bazemore enters the game for K. Korver,,88-77,,
8:57.0,,,88-77,,Shooting foul by M. Muscala (drawn by J. Green)
8:57.0,Official timeout,,88-77,,
8:57.0,,,88-78,1,J. Green makes free throw 1 of 2
8:57.0,,,88-79,1,J. Green makes free throw 2 of 2
8:49.0,,,88-79,,Personal foul by J. Green (drawn by M. Delaney)
8:36.0,Atlanta full timeout,,88-79,,
8:36.0,D. Howard enters the game for K. Humphries,,88-79,,
8:35.0,Turnover by M. Muscala (bad pass; steal by J. Meeks),,88-79,,
8:22.0,,,88-82,3,E. Fournier makes 3-pt shot from 26 ft (assist by N. Vucevic)
8:06.0,K. Bazemore misses 2-pt shot from 20 ft,,88-82,,
8:04.0,,,88-82,,Defensive rebound by J. Meeks
7:56.0,,,88-84,2,E. Payton makes 2-pt shot from 1 ft
7:30.0,M. Delaney makes 2-pt shot from 2 ft,2,90-84,,
7:13.0,,,90-84,,E. Fournier misses 2-pt shot from 8 ft
7:10.0,Defensive rebound by D. Howard,,90-84,,
6:59.0,D. Howard makes 2-pt shot from 1 ft (assist by K. Bazemore),2,92-84,,
6:50.0,,,92-84,,Orlando full timeout
6:50.0,P. Millsap enters the game for T. Hardaway,,92-84,,
6:50.0,D. Schroder enters the game for M. Muscala,,92-84,,
6:50.0,,,92-84,,S. Ibaka enters the game for N. Vucevic
6:39.0,,,92-87,3,E. Fournier makes 3-pt shot from 26 ft (assist by J. Meeks)
6:17.0,K. Bazemore misses 2-pt shot from 15 ft,,92-87,,
6:17.0,Offensive rebound by D. Howard,,92-87,,
6:17.0,Shooting foul by J. Meeks (drawn by D. Howard),,92-87,,
6:17.0,D. Howard makes free throw 1 of 2,1,93-87,,
6:17.0,D. Howard makes free throw 2 of 2,1,94-87,,
5:59.0,,,94-87,,E. Fournier misses 2-pt shot from 13 ft
5:57.0,Defensive rebound by D. Schroder,,94-87,,
5:41.0,D. Schroder misses 2-pt shot from 2 ft,,94-87,,
5:40.0,Offensive rebound by D. Howard,,94-87,,
5:40.0,D. Howard makes 2-pt shot at rim,2,96-87,,
5:23.0,,,96-87,,Turnover by E. Payton (lost ball; steal by M. Delaney)
5:23.0,,,96-87,,Personal foul by S. Ibaka (drawn by M. Delaney)
5:23.0,,,96-87,,N. Vucevic enters the game for J. Green
5:12.0,Shooting foul by N. Vucevic (drawn by D. Schroder),,96-87,,
5:12.0,D. Schroder misses free throw 1 of 2,,96-87,,
5:12.0,Offensive rebound by Team,,96-87,,
5:12.0,D. Schroder makes free throw 2 of 2,1,97-87,,
5:12.0,,,96-87,,A. Gordon enters the game for J. Meeks
5:06.0,Personal foul by D. Schroder (drawn by E. Fournier),,97-87,,
5:06.0,T. Sefolosha enters the game for M. Delaney,,97-87,,
4:55.0,,,97-87,,E. Payton misses 2-pt shot from 6 ft
4:54.0,Defensive rebound by D. Howard,,97-87,,
4:41.0,,,97-87,,Personal foul by E. Fournier (drawn by K. Bazemore)
4:41.0,K. Bazemore makes free throw 1 of 2,1,98-87,,
4:41.0,K. Bazemore makes free throw 2 of 2,1,99-87,,
4:35.0,Personal foul by D. Howard (drawn by N. Vucevic),,99-87,,
4:19.0,,,99-87,,E. Fournier misses 3-pt shot from 25 ft
4:16.0,,,99-87,,Offensive rebound by E. Payton
4:16.0,,,99-87,,Technical foul by S. Ibaka
4:16.0,D. Schroder makes technical free throw,1,100-87,,
4:16.0,Jump ball: P. Millsap vs. E. Payton (K. Bazemore gains possession),,,,Jump ball: P. Millsap vs. E. Payton (K. Bazemore gains possession)
4:16.0,,,100-87,,Turnover by E. Payton (lost ball; steal by P. Millsap)
4:01.0,D. Schroder misses 2-pt shot from 20 ft,,100-87,,
4:00.0,,,100-87,,Defensive rebound by N. Vucevic
3:53.0,,,100-87,,S. Ibaka misses 3-pt shot from 26 ft
3:51.0,,,100-87,,Offensive rebound by A. Gordon
3:48.0,,,100-89,2,E. Fournier makes 2-pt shot from 2 ft (assist by A. Gordon)
3:20.0,K. Bazemore makes 3-pt shot from 27 ft,3,103-89,,
3:05.0,,,103-89,,N. Vucevic misses 2-pt shot from 20 ft
3:04.0,Defensive rebound by D. Howard,,103-89,,
2:47.0,P. Millsap makes 3-pt shot from 28 ft (assist by D. Schroder),3,106-89,,
2:44.0,,,106-89,,Orlando full timeout
2:44.0,T. Hardaway enters the game for D. Howard,,106-89,,
2:44.0,M. Muscala enters the game for K. Bazemore,,106-89,,
2:44.0,,,106-89,,J. Meeks enters the game for A. Gordon
2:33.0,,,106-89,,E. Fournier misses 3-pt shot from 28 ft
2:32.0,Defensive rebound by P. Millsap,,106-89,,
2:15.0,D. Schroder misses 2-pt shot from 2 ft (block by E. Payton),,106-89,,
2:14.0,Offensive rebound by Team,,106-89,,
2:14.0,,,106-89,,Technical foul by S. Ibaka
2:14.0,D. Schroder misses technical free throw,,106-89,,
2:14.0,Offensive rebound by Team,,106-89,,
