time,Indiana,pts.away,score,pts.home,Philadelphia
9:02.0,,,44-25,,T. Luwawu-Cabarrot misses 2-pt shot from 3 ft
9:01.0,Defensive rebound by K. Seraphin,,44-25,,
8:51.0,Turnover by K. Seraphin (3 sec),,44-25,,
8:51.0,Official timeout,,44-25,,
8:34.0,,,44-25,,D. Saric misses 3-pt shot from 26 ft
8:32.0,Defensive rebound by K. Seraphin,,44-25,,
8:17.0,C. Miles misses 3-pt shot from 24 ft,,44-25,,
8:15.0,,,44-25,,Defensive rebound by T. Luwawu-Cabarrot
8:07.0,,,44-27,2,T. McConnell makes 2-pt shot from 3 ft
7:50.0,Turnover by C. Miles (bad pass; steal by T. McConnell),,44-27,,
7:46.0,,,44-29,2,T. Luwawu-Cabarrot makes 2-pt shot from 1 ft (assist by T. McConnell)
7:33.0,Indiana full timeout,,44-29,,
7:33.0,,,44-29,,G. Henderson enters the game for J. Anderson
7:33.0,P. George enters the game for L. Allen,,44-29,,
7:33.0,M. Turner enters the game for A. Brooks,,44-29,,
7:33.0,J. Teague enters the game for K. Seraphin,,44-29,,
7:14.0,J. Teague misses 3-pt shot from 23 ft,,44-29,,
7:14.0,Offensive rebound by Team,,44-29,,
7:14.0,Turnover by Team (shot clock),,44-29,,
6:57.0,,,44-29,,D. Saric misses 2-pt shot from 15 ft
6:55.0,Defensive rebound by M. Turner,,44-29,,
6:49.0,J. Teague makes 2-pt shot from 2 ft,2,46-29,,
6:33.0,,,46-29,,Turnover by T. Luwawu-Cabarrot (bad pass; steal by J. Teague)
6:27.0,J. Teague makes 2-pt shot from 13 ft,2,48-29,,
6:17.0,,,48-29,,R. Holmes misses 2-pt shot from 3 ft (block by M. Turner)
6:14.0,,,48-29,,Offensive rebound by D. Saric
6:13.0,,,48-29,,Shooting foul by C. Miles (drawn by D. Saric)
6:13.0,,,48-30,1,D. Saric makes free throw 1 of 2
6:13.0,,,48-31,1,D. Saric makes free throw 2 of 2
6:13.0,T. Young enters the game for C. Miles,,48-30,,
6:07.0,,,48-31,,Personal foul by G. Henderson (drawn by J. Teague)
5:55.0,M. Turner makes 2-pt shot at rim (assist by T. Young),2,50-31,,
5:34.0,,,50-34,3,T. Luwawu-Cabarrot makes 3-pt shot from 23 ft (assist by T. McConnell)
5:27.0,T. Young makes 2-pt shot from 2 ft (assist by J. Teague),2,52-34,,
5:11.0,Personal foul by L. Stephenson (drawn by T. Luwawu-Cabarrot),,52-34,,
5:11.0,M. Ellis enters the game for L. Stephenson,,52-34,,
4:56.0,,,52-34,,T. Luwawu-Cabarrot misses 3-pt shot from 26 ft
4:54.0,,,52-34,,Offensive rebound by R. Holmes
4:53.0,,,52-36,2,R. Holmes makes 2-pt shot from 1 ft
4:53.0,,,52-36,,Shooting foul by M. Turner (drawn by R. Holmes)
4:53.0,,,52-37,1,R. Holmes makes free throw 1 of 1
4:47.0,Turnover by P. George (lost ball; steal by T. Luwawu-Cabarrot),,52-37,,
4:44.0,,,52-39,2,R. Holmes makes 2-pt shot at rim (assist by T. Luwawu-Cabarrot)
4:44.0,,,52-39,,Shooting foul by M. Turner (drawn by R. Holmes)
4:44.0,,,52-40,1,R. Holmes makes free throw 1 of 1
4:44.0,K. Seraphin enters the game for M. Turner,,52-39,,
4:29.0,Turnover by T. Young (bad pass; steal by G. Henderson),,52-40,,
4:23.0,,,52-42,2,R. Holmes makes 2-pt shot at rim (assist by T. McConnell)
4:08.0,J. Teague misses 2-pt shot from 16 ft,,52-42,,
4:06.0,,,52-42,,Defensive rebound by D. Saric
3:55.0,,,52-45,3,T. Luwawu-Cabarrot makes 3-pt shot from 25 ft (assist by T. McConnell)
3:35.0,P. George makes 2-pt shot from 17 ft (assist by J. Teague),2,54-45,,
3:20.0,,,54-45,,D. Saric misses 3-pt shot from 25 ft
3:19.0,Defensive rebound by P. George,,54-45,,
3:09.0,P. George misses 2-pt shot from 17 ft,,54-45,,
3:07.0,,,54-45,,Defensive rebound by G. Henderson
3:00.0,,,54-45,,Philadelphia full timeout
2:52.0,,,54-45,,Offensive charge foul by D. Saric
2:52.0,,,54-45,,Turnover by D. Saric (offensive foul)
2:52.0,,,54-45,,A. Poythress enters the game for D. Saric
2:41.0,K. Seraphin makes 2-pt shot at rim (assist by P. George),2,56-45,,
2:21.0,,,56-48,3,A. Poythress makes 3-pt shot from 24 ft (assist by T. Luwawu-Cabarrot)
2:00.0,T. Young misses 2-pt shot from 1 ft,,56-48,,
1:59.0,Offensive rebound by K. Seraphin,,56-48,,
1:57.0,K. Seraphin makes 2-pt shot from 4 ft,2,58-48,,
1:51.0,,,58-48,,Turnover by A. Poythress (palming)
1:51.0,,,58-48,,J. Anderson enters the game for G. Henderson
1:51.0,,,58-48,,N. Stauskas enters the game for T. Luwawu-Cabarrot
1:36.0,J. Teague makes 2-pt shot from 2 ft (assist by T. Young),2,60-48,,
1:26.0,,,60-48,,Shooting foul by K. Seraphin (drawn by N. Stauskas)
1:26.0,,,60-49,1,N. Stauskas makes free throw 1 of 2
1:26.0,,,60-50,1,N. Stauskas makes free throw 2 of 2
1:15.0,T. Young makes 2-pt shot from 1 ft (assist by M. Ellis),2,62-50,,
1:04.0,,,62-52,2,T. McConnell makes 2-pt shot from 16 ft
0:56.0,Shooting foul by T. McConnell (drawn by J. Teague),,62-52,,
0:56.0,J. Teague makes free throw 1 of 2,1,63-52,,
0:56.0,J. Teague makes free throw 2 of 2,1,64-52,,
0:41.0,,,64-52,,R. Holmes misses 2-pt shot from 1 ft
0:41.0,,,64-52,,Offensive rebound by R. Holmes
0:41.0,,,64-54,2,R. Holmes makes 2-pt shot from 1 ft
0:25.0,Turnover by J. Teague (lost ball; steal by A. Poythress),,64-54,,
0:19.0,,,64-54,,Philadelphia full timeout
0:19.0,A. Brooks enters the game for J. Teague,,64-54,,
0:19.0,L. Allen enters the game for K. Seraphin,,64-54,,
0:04.0,,,64-54,,T. McConnell misses 2-pt shot at rim (block by L. Allen)
0:02.0,Defensive rebound by T. Young,,64-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,64-57,3,D. Saric makes 3-pt shot from 25 ft (assist by T. McConnell)
11:21.0,,,64-57,,Personal foul by D. Saric (drawn by T. Young)
11:20.0,Turnover by J. Teague (bad pass; steal by T. McConnell),,64-57,,
11:17.0,,,64-57,,Shooting foul by J. Teague (drawn by T. Luwawu-Cabarrot)
11:17.0,,,64-58,1,T. Luwawu-Cabarrot makes free throw 1 of 2
11:17.0,,,64-59,1,T. Luwawu-Cabarrot makes free throw 2 of 2
11:00.0,,,64-59,,Personal foul by T. Luwawu-Cabarrot (drawn by T. Young)
10:55.0,Offensive charge foul by M. Ellis,,64-59,,
10:55.0,Turnover by M. Ellis (offensive foul),,64-59,,
10:46.0,,,64-59,,Turnover by T. McConnell (bad pass; steal by M. Turner)
10:41.0,M. Ellis misses 2-pt shot from 2 ft,,64-59,,
10:38.0,Offensive rebound by P. George,,64-59,,
10:32.0,M. Turner makes 2-pt shot from 1 ft (assist by M. Ellis),2,66-59,,
10:22.0,,,66-59,,T. Luwawu-Cabarrot misses 2-pt shot from 3 ft (block by M. Turner)
10:20.0,Defensive rebound by M. Ellis,,66-59,,
10:15.0,Turnover by M. Ellis (bad pass; steal by D. Saric),,66-59,,
9:52.0,,,66-61,2,T. Luwawu-Cabarrot makes 2-pt shot from 17 ft (assist by N. Stauskas)
9:36.0,P. George misses 3-pt shot from 24 ft,,66-61,,
9:34.0,,,66-61,,Defensive rebound by T. McConnell
9:26.0,,,66-61,,R. Holmes misses 3-pt shot from 25 ft
9:25.0,Defensive rebound by M. Ellis,,66-61,,
9:00.0,T. Young makes 2-pt shot from 2 ft (assist by M. Ellis),2,68-61,,
8:43.0,,,68-61,,D. Saric misses 2-pt shot from 19 ft
8:42.0,Defensive rebound by M. Turner,,68-61,,
8:32.0,M. Turner makes 2-pt shot from 15 ft (assist by P. George),2,70-61,,
8:22.0,Personal foul by M. Ellis (drawn by N. Stauskas),,70-61,,
8:22.0,,,70-61,,J. Anderson enters the game for N. Stauskas
8:07.0,,,70-63,2,D. Saric makes 2-pt shot from 8 ft
7:55.0,T. Young misses 2-pt shot from 8 ft,,70-63,,
7:53.0,,,70-63,,Defensive rebound by T. McConnell
7:43.0,,,70-63,,R. Holmes misses 3-pt shot from 25 ft
7:40.0,,,70-63,,Offensive rebound by D. Saric
7:38.0,,,70-65,2,D. Saric makes 2-pt shot from 1 ft
7:19.0,Shooting foul by D. Saric (drawn by M. Turner),,70-65,,
7:19.0,M. Turner makes free throw 1 of 2,1,71-65,,
7:19.0,M. Turner makes free throw 2 of 2,1,72-65,,
6:59.0,,,72-65,,D. Saric misses 2-pt shot from 2 ft (block by M. Turner)
6:58.0,,,72-65,,Offensive rebound by D. Saric
6:57.0,,,72-65,,Turnover by D. Saric (bad pass; steal by P. George)
6:56.0,,,72-65,,Personal foul by T. Luwawu-Cabarrot (drawn by P. George)
6:39.0,P. George makes 2-pt shot from 16 ft,2,74-65,,
6:17.0,,,74-67,2,T. McConnell makes 2-pt shot from 3 ft
6:02.0,,,74-67,,G. Henderson enters the game for T. Luwawu-Cabarrot
6:02.0,,,74-67,,A. Poythress enters the game for D. Saric
5:49.0,P. George makes 2-pt shot from 19 ft,2,76-67,,
5:48.0,,,76-67,,Philadelphia full timeout
5:28.0,,,76-67,,J. Anderson misses 2-pt shot from 10 ft
5:26.0,Defensive rebound by M. Turner,,76-67,,
5:11.0,Shooting foul by A. Poythress (drawn by J. Teague),,76-67,,
5:11.0,J. Teague makes free throw 1 of 2,1,77-67,,
5:11.0,J. Teague makes free throw 2 of 2,1,78-67,,
4:59.0,,,78-67,,R. Holmes misses 2-pt shot from 10 ft
4:58.0,Defensive rebound by M. Turner,,78-67,,
4:43.0,P. George makes 2-pt shot from 2 ft,2,80-67,,
4:27.0,,,80-67,,Shooting foul by M. Turner (drawn by R. Holmes)
4:27.0,,,80-68,1,R. Holmes makes free throw 1 of 2
4:27.0,,,80-68,,R. Holmes misses free throw 2 of 2
4:27.0,K. Seraphin enters the game for M. Turner,,80-68,,
4:24.0,Defensive rebound by T. Young,,80-68,,
4:17.0,K. Seraphin makes 2-pt shot from 3 ft (assist by J. Teague),2,82-68,,
4:17.0,,,82-68,,Philadelphia full timeout
4:17.0,,,82-68,,T. Splitter enters the game for R. Holmes
4:03.0,,,82-68,,Shooting foul by K. Seraphin (drawn by G. Henderson)
4:03.0,,,82-68,,G. Henderson misses free throw 1 of 2
4:03.0,,,82-68,,Offensive rebound by Team
4:03.0,,,82-69,1,G. Henderson makes free throw 2 of 2
3:51.0,P. George misses 2-pt shot from 15 ft,,82-69,,
3:50.0,,,82-69,,Defensive rebound by T. Splitter
3:42.0,,,82-71,2,T. McConnell makes 2-pt shot from 4 ft
3:23.0,,,82-71,,Personal foul by J. Anderson (drawn by K. Seraphin)
3:23.0,K. Seraphin misses free throw 1 of 2,,82-71,,
3:23.0,Offensive rebound by Team,,82-71,,
3:23.0,K. Seraphin makes free throw 2 of 2,1,83-71,,
3:23.0,,,82-71,,N. Stauskas enters the game for T. McConnell
3:23.0,C. Miles enters the game for T. Young,,82-71,,
3:07.0,Personal foul by M. Ellis (drawn by J. Anderson),,83-71,,
3:07.0,,,83-72,1,J. Anderson makes free throw 1 of 2
3:07.0,,,83-73,1,J. Anderson makes free throw 2 of 2
2:51.0,M. Ellis misses 2-pt shot from 17 ft,,83-73,,
2:49.0,,,83-73,,Defensive rebound by T. Splitter
2:41.0,,,83-75,2,J. Anderson makes 2-pt shot from 16 ft
2:33.0,Indiana full timeout,,83-75,,
2:33.0,A. Brooks enters the game for J. Teague,,83-75,,
2:33.0,L. Stephenson enters the game for M. Ellis,,83-75,,
2:18.0,Turnover by C. Miles (bad pass; steal by J. Anderson),,83-75,,
2:10.0,,,83-77,2,N. Stauskas makes 2-pt shot from 22 ft
1:56.0,K. Seraphin makes 2-pt shot from 4 ft (assist by A. Brooks),2,85-77,,
1:41.0,,,85-77,,N. Stauskas misses 3-pt shot from 25 ft
1:39.0,Defensive rebound by K. Seraphin,,85-77,,
1:29.0,K. Seraphin makes 2-pt shot from 2 ft (assist by L. Stephenson),2,87-77,,
1:08.0,,,87-77,,Turnover by T. Splitter (lost ball; steal by K. Seraphin)
1:00.0,C. Miles makes 3-pt shot from 26 ft (assist by L. Stephenson),3,90-77,,
0:49.0,Personal foul by L. Stephenson (drawn by N. Stauskas),,90-77,,
0:49.0,,,90-78,1,N. Stauskas makes free throw 1 of 2
0:49.0,,,90-79,1,N. Stauskas makes free throw 2 of 2
0:49.0,,,90-78,,T. Luwawu-Cabarrot enters the game for J. Anderson
0:49.0,L. Allen enters the game for P. George,,90-78,,
0:36.0,L. Stephenson misses 2-pt shot from 18 ft,,90-79,,
0:35.0,,,90-79,,Defensive rebound by A. Poythress
0:27.0,,,90-79,,G. Henderson misses 3-pt shot from 25 ft
0:23.0,,,90-79,,Offensive rebound by T. Luwawu-Cabarrot
0:04.0,,,90-79,,T. Splitter misses 3-pt shot from 27 ft
0:03.0,Defensive rebound by L. Stephenson,,90-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,K. Seraphin misses 2-pt shot from 5 ft,,90-79,,
11:42.0,,,90-79,,Defensive rebound by D. Saric
11:31.0,,,90-79,,Shooting foul by A. Brooks (drawn by T. McConnell)
11:31.0,,,90-80,1,T. McConnell makes free throw 1 of 2
11:31.0,,,90-81,1,T. McConnell makes free throw 2 of 2
11:17.0,C. Miles makes 2-pt shot from 15 ft (assist by L. Allen),2,92-81,,
11:06.0,,,92-81,,Shooting foul by L. Allen (drawn by D. Saric)
11:06.0,,,92-82,1,D. Saric makes free throw 1 of 2
11:06.0,,,92-83,1,D. Saric makes free throw 2 of 2
10:44.0,C. Miles misses 3-pt shot from 25 ft,,92-83,,
10:42.0,Offensive rebound by L. Allen,,92-83,,
10:37.0,C. Miles makes 2-pt shot from 1 ft (assist by L. Allen),2,94-83,,
10:22.0,,,94-83,,Shooting foul by K. Seraphin (drawn by R. Holmes)
10:22.0,,,94-84,1,R. Holmes makes free throw 1 of 2
10:22.0,,,94-85,1,R. Holmes makes free throw 2 of 2
10:11.0,L. Stephenson makes 2-pt shot from 3 ft,2,96-85,,
9:53.0,Personal foul by L. Allen (drawn by R. Holmes),,96-85,,
9:53.0,T. Young enters the game for L. Allen,,96-85,,
9:46.0,,,96-88,3,T. Luwawu-Cabarrot makes 3-pt shot from 25 ft (assist by T. McConnell)
9:26.0,T. Young makes 2-pt shot from 1 ft (assist by L. Stephenson),2,98-88,,
9:15.0,,,98-88,,Shooting foul by K. Seraphin (drawn by T. Luwawu-Cabarrot)
9:15.0,,,98-89,1,T. Luwawu-Cabarrot makes free throw 1 of 2
9:15.0,,,98-90,1,T. Luwawu-Cabarrot makes free throw 2 of 2
9:15.0,M. Turner enters the game for K. Seraphin,,98-89,,
9:15.0,P. George enters the game for A. Brooks,,98-89,,
9:00.0,L. Stephenson makes 2-pt shot from 7 ft,2,100-90,,
9:00.0,Shooting foul by T. Luwawu-Cabarrot (drawn by L. Stephenson),,100-90,,
9:00.0,L. Stephenson misses free throw 1 of 1,,100-90,,
9:00.0,,,100-90,,G. Henderson enters the game for N. Stauskas
8:59.0,,,100-90,,Defensive rebound by T. McConnell
8:45.0,,,100-90,,D. Saric misses 2-pt shot from 6 ft
8:43.0,,,100-90,,Offensive rebound by D. Saric
8:42.0,,,100-90,,Turnover by D. Saric (bad pass)
8:42.0,Official timeout,,100-90,,
8:31.0,C. Miles makes 2-pt shot at rim (assist by P. George),2,102-90,,
8:11.0,,,102-90,,R. Holmes misses 3-pt shot from 27 ft
8:10.0,Defensive rebound by C. Miles,,102-90,,
7:54.0,C. Miles misses 2-pt shot from 16 ft,,102-90,,
7:52.0,Offensive rebound by M. Turner,,102-90,,
7:45.0,C. Miles misses 3-pt shot from 24 ft,,102-90,,
7:44.0,,,102-90,,Defensive rebound by R. Holmes
7:40.0,Personal foul by T. Young (drawn by D. Saric),,102-90,,
7:40.0,,,102-90,,D. Saric misses free throw 1 of 2
7:40.0,,,102-90,,Offensive rebound by Team
7:40.0,,,102-91,1,D. Saric makes free throw 2 of 2
7:16.0,T. Young makes 2-pt shot from 16 ft,2,104-91,,
7:04.0,,,104-94,3,G. Henderson makes 3-pt shot from 25 ft (assist by R. Holmes)
6:48.0,Turnover by M. Turner (traveling),,104-94,,
6:48.0,J. Teague enters the game for C. Miles,,104-94,,
6:34.0,,,104-96,2,R. Holmes makes 2-pt shot at rim (assist by D. Saric)
6:18.0,Shooting foul by R. Holmes (drawn by M. Turner),,104-96,,
6:18.0,M. Turner makes free throw 1 of 2,1,105-96,,
6:18.0,M. Turner makes free throw 2 of 2,1,106-96,,
6:18.0,,,105-96,,A. Poythress enters the game for D. Saric
6:08.0,,,106-98,2,R. Holmes makes 2-pt shot from 5 ft (assist by T. McConnell)
6:00.0,Shooting foul by T. McConnell (drawn by J. Teague),,106-98,,
6:00.0,J. Teague makes free throw 1 of 2,1,107-98,,
6:00.0,J. Teague misses free throw 2 of 2,,107-98,,
5:59.0,,,107-98,,Defensive rebound by R. Holmes
5:44.0,,,107-98,,Turnover by T. McConnell (bad pass; steal by M. Turner)
5:28.0,P. George misses 2-pt shot from 11 ft,,107-98,,
5:26.0,Offensive rebound by T. Young,,107-98,,
5:26.0,T. Young makes 2-pt shot at rim,2,109-98,,
5:13.0,,,109-98,,G. Henderson misses 3-pt shot from 26 ft
5:11.0,Defensive rebound by M. Turner,,109-98,,
5:08.0,,,109-98,,Philadelphia full timeout
5:08.0,,,109-98,,Personal foul by G. Henderson (drawn by P. George)
5:08.0,,,109-98,,Technical foul by G. Henderson (drawn by P. George)
5:08.0,Technical foul by P. George,,109-98,,
5:08.0,,,109-98,,N. Stauskas enters the game for T. McConnell
4:55.0,P. George misses 3-pt shot from 25 ft,,109-98,,
4:54.0,,,109-98,,Defensive rebound by R. Holmes
4:34.0,,,109-98,,Turnover by N. Stauskas (bad pass; steal by T. Young)
4:27.0,L. Stephenson misses 2-pt shot from 2 ft,,109-98,,
4:22.0,Offensive rebound by T. Young,,109-98,,
4:22.0,T. Young makes 2-pt shot from 1 ft,2,111-98,,
4:10.0,,,111-101,3,A. Poythress makes 3-pt shot from 27 ft (assist by T. Luwawu-Cabarrot)
3:47.0,P. George misses 2-pt shot from 2 ft,,111-101,,
3:45.0,,,111-101,,Defensive rebound by T. Luwawu-Cabarrot
3:37.0,,,111-104,3,A. Poythress makes 3-pt shot from 26 ft (assist by G. Henderson)
3:36.0,Indiana full timeout,,111-104,,
3:36.0,C. Miles enters the game for L. Stephenson,,111-104,,
3:36.0,,,111-104,,J. Anderson enters the game for T. Luwawu-Cabarrot
3:19.0,P. George makes 2-pt shot from 5 ft,2,113-104,,
