time,Houston,pts.away,score,pts.home,Cleveland
2:08.0,C. Brewer makes 2-pt shot from 1 ft (assist by J. Harden),2,29-27,,
1:46.0,,,29-29,2,K. Love makes 2-pt shot from 6 ft
1:31.0,Turnover by N. Hilario (bad pass),,29-29,,
1:31.0,,,29-29,,M. Dunleavy enters the game for J. Smith
1:10.0,,,29-29,,Turnover by K. Love (lost ball; steal by K. McDaniels)
1:03.0,J. Harden makes 3-pt shot from 27 ft (assist by C. Brewer),3,32-29,,
0:48.0,,,32-29,,I. Shumpert misses 3-pt shot from 25 ft
0:48.0,,,32-29,,Offensive rebound by T. Thompson
0:48.0,Personal foul by J. Harden (drawn by T. Thompson),,32-29,,
0:38.0,,,32-29,,K. Love misses 2-pt shot from 21 ft
0:38.0,Defensive rebound by C. Brewer,,32-29,,
0:32.0,,,32-29,,Personal foul by I. Shumpert (drawn by J. Harden)
0:32.0,J. Harden makes free throw 1 of 3,1,33-29,,
0:32.0,J. Harden makes free throw 2 of 3,1,34-29,,
0:32.0,J. Harden makes free throw 3 of 3,1,35-29,,
0:19.0,,,35-29,,Turnover by K. Love (lost ball; steal by C. Brewer)
0:01.0,J. Harden misses 3-pt shot from 25 ft,,35-29,,
0:00.0,,,35-29,,Defensive rebound by K. Love
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,35-31,2,L. James makes 2-pt shot from 5 ft
11:23.0,C. Brewer makes 2-pt shot from 8 ft,2,37-31,,
11:03.0,,,37-33,2,C. Frye makes 2-pt shot from 1 ft (assist by R. Jefferson)
10:41.0,E. Gordon makes 2-pt shot from 17 ft,2,39-33,,
10:25.0,,,39-33,,C. Frye misses 2-pt shot from 6 ft
10:23.0,Defensive rebound by C. Capela,,39-33,,
10:09.0,C. Brewer misses 2-pt shot from 15 ft,,39-33,,
10:08.0,,,39-33,,Defensive rebound by R. Jefferson
10:07.0,Personal foul by C. Brewer (drawn by R. Jefferson),,39-33,,
10:02.0,,,39-33,,Shooting foul by K. McDaniels (drawn by M. Dunleavy)
10:02.0,,,39-34,1,M. Dunleavy makes free throw 1 of 2
10:02.0,,,39-35,1,M. Dunleavy makes free throw 2 of 2
9:51.0,Turnover by E. Gordon (lost ball),,39-35,,
9:38.0,,,39-38,3,C. Frye makes 3-pt shot from 24 ft (assist by L. James)
9:21.0,K. McDaniels misses 3-pt shot from 24 ft,,39-38,,
9:20.0,,,39-38,,Defensive rebound by C. Frye
9:11.0,,,39-38,,Turnover by I. Shumpert (bad pass; steal by E. Gordon)
9:04.0,C. Brewer makes 2-pt shot from 1 ft (assist by E. Gordon),2,41-38,,
8:56.0,,,41-41,3,M. Dunleavy makes 3-pt shot from 26 ft (assist by R. Jefferson)
8:41.0,T. Ariza misses 3-pt shot from 25 ft,,41-41,,
8:41.0,,,41-41,,Defensive rebound by Team
8:41.0,Loose ball foul by C. Capela (drawn by C. Frye),,41-41,,
8:41.0,,,41-41,,Cleveland full timeout
8:41.0,R. Anderson enters the game for C. Capela,,41-41,,
8:41.0,B. Brown enters the game for K. McDaniels,,41-41,,
8:18.0,,,41-43,2,L. James makes 2-pt shot from 12 ft
8:03.0,E. Gordon misses 3-pt shot from 25 ft,,41-43,,
8:03.0,,,41-43,,Defensive rebound by M. Dunleavy
7:54.0,,,41-43,,C. Frye misses 2-pt shot from 2 ft
7:53.0,,,41-43,,Offensive rebound by C. Frye
7:53.0,,,41-43,,Shooting foul by T. Ariza (drawn by C. Frye)
7:53.0,,,41-44,1,C. Frye makes free throw 1 of 2
7:53.0,,,41-45,1,C. Frye makes free throw 2 of 2
7:53.0,,,41-44,,K. Irving enters the game for I. Shumpert
7:32.0,R. Anderson misses 3-pt shot from 23 ft,,41-45,,
7:31.0,,,41-45,,Defensive rebound by M. Dunleavy
7:21.0,,,41-45,,R. Jefferson misses 3-pt shot from 24 ft
7:21.0,Defensive rebound by C. Brewer,,41-45,,
7:09.0,E. Gordon misses 2-pt shot from 6 ft,,41-45,,
7:07.0,,,41-45,,Defensive rebound by L. James
7:00.0,,,41-45,,M. Dunleavy misses 3-pt shot from 24 ft
6:59.0,,,41-45,,Offensive rebound by L. James
6:57.0,,,41-45,,L. James misses 2-pt shot from 1 ft
6:56.0,,,41-45,,Offensive rebound by L. James
6:56.0,,,41-47,2,L. James makes 2-pt shot at rim
6:35.0,B. Brown misses 2-pt shot at rim,,41-47,,
6:33.0,,,41-47,,Defensive rebound by M. Dunleavy
6:28.0,,,41-50,3,K. Irving makes 3-pt shot from 24 ft (assist by M. Dunleavy)
6:28.0,Houston full timeout,,41-50,,
6:28.0,J. Harden enters the game for C. Brewer,,41-50,,
6:28.0,Violation by Team (delay of game),,41-50,,
6:09.0,R. Anderson misses 2-pt shot from 9 ft,,41-50,,
6:09.0,,,41-50,,Defensive rebound by R. Jefferson
6:02.0,,,41-50,,C. Frye misses 3-pt shot from 24 ft
6:02.0,Defensive rebound by E. Gordon,,41-50,,
5:53.0,J. Harden makes 2-pt shot from 10 ft,2,43-50,,
5:44.0,Personal foul by T. Ariza (drawn by L. James),,43-50,,
5:44.0,,,43-50,,L. James misses free throw 1 of 2
5:44.0,,,43-50,,Offensive rebound by Team
5:44.0,,,43-51,1,L. James makes free throw 2 of 2
5:23.0,B. Brown misses 3-pt shot from 26 ft,,43-51,,
5:22.0,,,43-51,,Defensive rebound by C. Frye
5:12.0,,,43-51,,Turnover by K. Irving (lost ball; steal by J. Harden)
5:08.0,Shooting foul by M. Dunleavy (drawn by J. Harden),,43-51,,
5:08.0,J. Harden makes free throw 1 of 2,1,44-51,,
5:08.0,J. Harden makes free throw 2 of 2,1,45-51,,
5:08.0,S. Dekker enters the game for E. Gordon,,44-51,,
5:08.0,,,44-51,,J. Smith enters the game for M. Dunleavy
5:08.0,,,44-51,,I. Shumpert enters the game for L. James
4:48.0,,,45-51,,K. Irving misses 2-pt shot from 9 ft
4:47.0,,,45-51,,Offensive rebound by K. Irving
4:44.0,,,45-53,2,K. Irving makes 2-pt shot at rim
4:44.0,,,45-53,,Loose ball foul by I. Shumpert (drawn by J. Harden)
4:31.0,J. Harden makes 2-pt shot from 1 ft,2,47-53,,
4:15.0,,,47-53,,C. Frye misses 3-pt shot from 24 ft
4:15.0,Defensive rebound by T. Ariza,,47-53,,
4:01.0,S. Dekker makes 2-pt shot at rim (assist by T. Ariza),2,49-53,,
4:01.0,,,49-53,,Cleveland full timeout
4:01.0,K. McDaniels enters the game for B. Brown,,49-53,,
4:01.0,,,49-53,,K. Love enters the game for R. Jefferson
4:01.0,,,49-53,,T. Thompson enters the game for C. Frye
4:01.0,N. Hilario enters the game for T. Ariza,,49-53,,
3:52.0,Personal foul by K. McDaniels (drawn by K. Irving),,49-53,,
3:52.0,,,49-54,1,K. Irving makes free throw 1 of 2
3:52.0,,,49-55,1,K. Irving makes free throw 2 of 2
3:31.0,J. Harden misses 2-pt shot from 18 ft,,49-55,,
3:30.0,,,49-55,,Defensive rebound by Team
3:13.0,,,49-58,3,K. Irving makes 3-pt shot from 25 ft (assist by T. Thompson)
2:54.0,R. Anderson misses 2-pt shot from 15 ft,,49-58,,
2:53.0,Offensive rebound by S. Dekker,,49-58,,
2:53.0,S. Dekker makes 2-pt shot from 2 ft,2,51-58,,
2:42.0,,,51-58,,K. Love misses 2-pt shot at rim
2:41.0,Defensive rebound by S. Dekker,,51-58,,
2:33.0,N. Hilario makes 2-pt shot at rim (assist by J. Harden),2,53-58,,
2:03.0,,,53-58,,K. Irving misses 2-pt shot from 18 ft
2:03.0,Defensive rebound by J. Harden,,53-58,,
1:38.0,J. Harden misses 2-pt shot from 2 ft,,53-58,,
1:36.0,Offensive rebound by N. Hilario,,53-58,,
1:30.0,J. Harden makes 3-pt shot from 24 ft (assist by N. Hilario),3,56-58,,
1:17.0,,,56-60,2,K. Irving makes 2-pt shot from 1 ft
1:05.0,R. Anderson makes 3-pt shot from 27 ft (assist by J. Harden),3,59-60,,
0:50.0,,,59-60,,J. Smith misses 2-pt shot from 3 ft (block by N. Hilario)
0:49.0,Defensive rebound by S. Dekker,,59-60,,
0:31.0,J. Harden misses 2-pt shot from 19 ft,,59-60,,
0:29.0,,,59-60,,Defensive rebound by T. Thompson
0:13.0,,,59-63,3,K. Irving makes 3-pt shot from 25 ft
0:04.0,,,59-63,,Personal foul by J. Smith (drawn by J. Harden)
0:04.0,Houston full timeout,,59-63,,
0:04.0,,,59-63,,D. Liggins enters the game for J. Smith
0:00.0,S. Dekker misses 3-pt shot from 28 ft,,59-63,,
0:00.0,Offensive rebound by Team,,59-63,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,59-63,,L. James misses 3-pt shot from 23 ft
11:42.0,,,59-63,,Offensive rebound by K. Love
11:42.0,,,59-65,2,K. Love makes 2-pt shot from 2 ft
11:40.0,Houston full timeout,,59-65,,
11:40.0,K. McDaniels enters the game for T. Ariza,,59-65,,
11:26.0,J. Harden makes 2-pt shot from 1 ft,2,61-65,,
11:13.0,,,61-65,,Shooting foul by J. Harden (drawn by L. James)
11:13.0,,,61-66,1,L. James makes free throw 1 of 2
11:13.0,,,61-67,1,L. James makes free throw 2 of 2
11:01.0,J. Harden misses 3-pt shot from 25 ft,,61-67,,
11:01.0,,,61-67,,Defensive rebound by T. Thompson
10:58.0,Personal foul by J. Harden (drawn by K. Love),,61-67,,
10:44.0,,,61-67,,L. James misses 2-pt shot from 10 ft
10:41.0,Defensive rebound by C. Capela,,61-67,,
10:39.0,E. Gordon misses 2-pt shot from 2 ft,,61-67,,
10:36.0,,,61-67,,Defensive rebound by J. Smith
10:30.0,,,61-70,3,J. Smith makes 3-pt shot from 23 ft (assist by L. James)
10:14.0,K. McDaniels misses 3-pt shot from 25 ft,,61-70,,
10:13.0,,,61-70,,Defensive rebound by K. Irving
10:12.0,,,61-70,,Turnover by K. Irving (bad pass)
9:55.0,R. Anderson makes 3-pt shot from 25 ft (assist by J. Harden),3,64-70,,
9:36.0,,,64-70,,J. Smith misses 3-pt shot from 26 ft
9:36.0,,,64-70,,Offensive rebound by T. Thompson
9:32.0,,,64-70,,Turnover by K. Irving (lost ball)
9:24.0,Shooting foul by T. Thompson (drawn by C. Capela),,64-70,,
9:24.0,C. Capela makes free throw 1 of 2,1,65-70,,
9:24.0,C. Capela makes free throw 2 of 2,1,66-70,,
8:57.0,,,66-70,,L. James misses 3-pt shot from 26 ft
8:56.0,,,66-70,,Offensive rebound by T. Thompson
8:47.0,,,66-70,,K. Irving misses 2-pt shot from 4 ft
8:46.0,Defensive rebound by J. Harden,,66-70,,
8:37.0,K. McDaniels makes 2-pt shot at rim (assist by J. Harden),2,68-70,,
8:37.0,,,68-70,,Cleveland full timeout
8:18.0,,,68-70,,K. Love misses 3-pt shot from 23 ft
8:17.0,Defensive rebound by E. Gordon,,68-70,,
8:10.0,J. Harden makes 3-pt shot from 26 ft (assist by E. Gordon),3,71-70,,
7:49.0,,,71-73,3,J. Smith makes 3-pt shot from 23 ft (assist by L. James)
7:36.0,K. McDaniels misses 2-pt shot from 3 ft (block by T. Thompson),,71-73,,
7:36.0,Offensive rebound by Team,,71-73,,
7:36.0,,,71-73,,Personal foul by J. Smith (drawn by R. Anderson)
7:25.0,E. Gordon misses 3-pt shot from 25 ft,,71-73,,
7:25.0,,,71-73,,Defensive rebound by K. Love
7:20.0,,,71-75,2,L. James makes 2-pt shot from 3 ft
7:20.0,Violation by K. McDaniels (def goaltending),,71-75,,
7:06.0,K. McDaniels misses 3-pt shot from 23 ft,,71-75,,
7:06.0,Offensive rebound by C. Capela,,71-75,,
7:03.0,C. Capela misses 2-pt shot from 5 ft,,71-75,,
7:00.0,,,71-75,,Defensive rebound by L. James
6:54.0,,,71-75,,J. Smith misses 3-pt shot from 26 ft
6:51.0,Defensive rebound by R. Anderson,,71-75,,
6:44.0,K. McDaniels makes 2-pt shot at rim (assist by J. Harden),2,73-75,,
6:31.0,,,73-78,3,K. Love makes 3-pt shot from 25 ft (assist by K. Irving)
6:07.0,K. McDaniels misses 2-pt shot from 2 ft (block by K. Love),,73-78,,
6:05.0,,,73-78,,Defensive rebound by L. James
5:57.0,,,73-78,,K. Irving misses 2-pt shot from 2 ft (block by C. Capela)
5:57.0,,,73-78,,Offensive rebound by Team
5:52.0,,,73-78,,J. Smith misses 3-pt shot from 25 ft
5:50.0,,,73-78,,Offensive rebound by T. Thompson
5:43.0,,,73-78,,Turnover by L. James (traveling)
5:30.0,R. Anderson misses 3-pt shot from 26 ft,,73-78,,
5:28.0,,,73-78,,Defensive rebound by K. Love
5:05.0,,,73-78,,K. Love misses 2-pt shot from 6 ft
5:03.0,Defensive rebound by C. Capela,,73-78,,
5:02.0,Shooting foul by T. Thompson (drawn by J. Harden),,73-78,,
5:02.0,J. Harden makes free throw 1 of 2,1,74-78,,
5:02.0,J. Harden misses free throw 2 of 2,,74-78,,
5:02.0,,,74-78,,R. Jefferson enters the game for K. Love
5:02.0,N. Hilario enters the game for C. Capela,,74-78,,
5:02.0,S. Dekker enters the game for K. McDaniels,,74-78,,
5:01.0,,,74-78,,Defensive rebound by J. Smith
4:49.0,Violation by N. Hilario (kicked ball),,74-78,,
4:35.0,,,74-78,,K. Irving misses 2-pt shot from 19 ft
4:35.0,Defensive rebound by Team,,74-78,,
4:30.0,R. Anderson misses 2-pt shot from 5 ft,,74-78,,
4:29.0,,,74-78,,Defensive rebound by L. James
4:21.0,,,74-78,,L. James misses 2-pt shot at rim
4:20.0,,,74-78,,Offensive rebound by T. Thompson
4:20.0,Personal foul by R. Anderson (drawn by T. Thompson),,74-78,,
4:09.0,Personal foul by E. Gordon (drawn by K. Irving),,74-78,,
4:09.0,C. Brewer enters the game for E. Gordon,,74-78,,
3:55.0,,,74-78,,J. Smith misses 3-pt shot from 24 ft
3:55.0,,,74-78,,Offensive rebound by Team
3:55.0,Loose ball foul by S. Dekker (drawn by R. Jefferson),,74-78,,
3:55.0,,,74-79,1,R. Jefferson makes free throw 1 of 2
3:55.0,,,74-80,1,R. Jefferson makes free throw 2 of 2
3:55.0,,,74-79,,C. Frye enters the game for T. Thompson
3:29.0,S. Dekker misses 3-pt shot from 25 ft,,74-80,,
3:29.0,Offensive rebound by J. Harden,,74-80,,
3:29.0,,,74-80,,Personal foul by L. James (drawn by J. Harden)
3:29.0,,,74-80,,I. Shumpert enters the game for K. Irving
3:15.0,C. Brewer makes 2-pt shot from 3 ft (assist by N. Hilario),2,76-80,,
3:00.0,Personal foul by N. Hilario (drawn by L. James),,76-80,,
3:00.0,,,76-80,,L. James misses free throw 1 of 2
3:00.0,,,76-80,,Offensive rebound by Team
3:00.0,,,76-81,1,L. James makes free throw 2 of 2
3:00.0,T. Ariza enters the game for R. Anderson,,76-80,,
2:48.0,S. Dekker makes 2-pt shot from 1 ft (assist by J. Harden),2,78-81,,
2:22.0,,,78-83,2,C. Frye makes 2-pt shot from 11 ft (assist by J. Smith)
1:59.0,S. Dekker misses 2-pt shot from 1 ft,,78-83,,
1:58.0,,,78-83,,Defensive rebound by C. Frye
1:50.0,,,78-83,,C. Frye misses 2-pt shot from 17 ft
1:49.0,,,78-83,,Offensive rebound by L. James
1:35.0,,,78-85,2,C. Frye makes 2-pt shot from 11 ft
1:21.0,N. Hilario makes 3-pt shot from 25 ft (assist by S. Dekker),3,81-85,,
0:58.0,,,81-85,,C. Frye misses 2-pt shot from 2 ft
0:58.0,Defensive rebound by N. Hilario,,81-85,,
0:51.0,T. Ariza misses 3-pt shot from 25 ft,,81-85,,
0:50.0,,,81-85,,Defensive rebound by I. Shumpert
0:27.0,,,81-85,,C. Frye misses 2-pt shot from 18 ft
0:27.0,Defensive rebound by Team,,81-85,,
0:27.0,,,81-85,,K. Irving enters the game for L. James
0:02.0,J. Harden makes 3-pt shot from 24 ft,3,84-85,,
0:00.0,,,84-85,,K. Irving misses 3-pt shot from 40 ft
0:00.0,,,84-85,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,Shooting foul by C. Frye (drawn by N. Hilario),,84-85,,
11:49.0,N. Hilario misses free throw 1 of 2,,84-85,,
11:49.0,Offensive rebound by Team,,84-85,,
11:49.0,N. Hilario makes free throw 2 of 2,1,85-85,,
11:28.0,,,85-87,2,R. Jefferson makes 2-pt shot from 1 ft
11:16.0,Shooting foul by M. Dunleavy (drawn by C. Brewer),,85-87,,
11:16.0,C. Brewer misses free throw 1 of 2,,85-87,,
11:16.0,Offensive rebound by Team,,85-87,,
11:16.0,C. Brewer makes free throw 2 of 2,1,86-87,,
10:57.0,,,86-87,,Turnover by I. Shumpert (lost ball)
10:41.0,C. Brewer misses 3-pt shot from 25 ft,,86-87,,
10:40.0,,,86-87,,Defensive rebound by R. Jefferson
10:34.0,Shooting block foul by T. Ennis (drawn by K. Irving),,86-87,,
10:34.0,,,86-88,1,K. Irving makes free throw 1 of 2
10:34.0,,,86-89,1,K. Irving makes free throw 2 of 2
10:29.0,,,86-89,,Personal foul by C. Frye (drawn by T. Ennis)
10:29.0,C. Capela enters the game for N. Hilario,,86-89,,
10:19.0,T. Ennis misses 2-pt shot from 18 ft,,86-89,,
10:18.0,,,86-89,,Defensive rebound by M. Dunleavy
10:08.0,,,86-89,,Shooting foul by E. Gordon (drawn by M. Dunleavy)
10:08.0,,,86-89,,M. Dunleavy misses free throw 1 of 2
10:08.0,,,86-89,,Offensive rebound by Team
10:08.0,,,86-90,1,M. Dunleavy makes free throw 2 of 2
9:43.0,C. Brewer misses 2-pt shot from 13 ft,,86-90,,
9:42.0,,,86-90,,Defensive rebound by I. Shumpert
9:25.0,,,86-90,,C. Frye misses 2-pt shot from 6 ft
9:25.0,Defensive rebound by T. Ennis,,86-90,,
9:17.0,E. Gordon makes 3-pt shot from 25 ft (assist by T. Ennis),3,89-90,,
9:16.0,,,89-90,,Cleveland full timeout
9:16.0,,,89-90,,L. James enters the game for R. Jefferson
9:16.0,,,89-90,,K. Love enters the game for C. Frye
8:53.0,,,89-92,2,I. Shumpert makes 2-pt shot at rim
8:43.0,E. Gordon misses 3-pt shot from 28 ft,,89-92,,
8:43.0,Offensive rebound by T. Ennis,,89-92,,
8:37.0,T. Ariza misses 3-pt shot from 24 ft,,89-92,,
8:37.0,Offensive rebound by C. Brewer,,89-92,,
8:33.0,T. Ariza makes 3-pt shot from 25 ft (assist by C. Brewer),3,92-92,,
8:16.0,Personal foul by E. Gordon (drawn by K. Love),,92-92,,
8:00.0,,,92-94,2,K. Irving makes 2-pt shot from 11 ft
7:47.0,Turnover by E. Gordon (bad pass; steal by I. Shumpert),,92-94,,
7:42.0,,,92-96,2,M. Dunleavy makes 2-pt shot at rim (assist by I. Shumpert)
7:42.0,Houston full timeout,,92-96,,
7:42.0,J. Harden enters the game for T. Ennis,,92-96,,
7:25.0,E. Gordon makes 3-pt shot from 25 ft (assist by J. Harden),3,95-96,,
7:07.0,,,95-96,,K. Irving misses 3-pt shot from 24 ft
7:07.0,Defensive rebound by J. Harden,,95-96,,
7:01.0,C. Capela misses 2-pt shot from 1 ft,,95-96,,
7:00.0,,,95-96,,Defensive rebound by K. Love
6:55.0,Personal block foul by E. Gordon (drawn by K. Irving),,95-96,,
6:55.0,,,95-96,,J. Smith enters the game for K. Irving
6:45.0,,,95-99,3,I. Shumpert makes 3-pt shot from 24 ft (assist by M. Dunleavy)
6:34.0,Turnover by C. Capela (bad pass; steal by K. Love),,95-99,,
6:27.0,,,95-102,3,M. Dunleavy makes 3-pt shot from 26 ft (assist by L. James)
6:16.0,Turnover by J. Harden (bad pass; steal by K. Love),,95-102,,
6:06.0,,,95-102,,Shooting foul by T. Ariza (drawn by K. Love)
6:06.0,,,95-103,1,K. Love makes free throw 1 of 3
6:06.0,,,95-104,1,K. Love makes free throw 2 of 3
6:06.0,,,95-105,1,K. Love makes free throw 3 of 3
6:06.0,N. Hilario enters the game for C. Capela,,95-104,,
5:51.0,T. Ariza makes 3-pt shot from 24 ft,3,98-105,,
5:32.0,,,98-107,2,K. Love makes 2-pt shot from 1 ft (assist by L. James)
5:22.0,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden),3,101-107,,
4:59.0,Violation by C. Brewer (def goaltending),,101-107,,
4:59.0,,,101-109,2,K. Love makes 2-pt shot from 1 ft
4:49.0,J. Harden makes 2-pt shot from 1 ft,2,103-109,,
4:40.0,Personal foul by N. Hilario (drawn by K. Love),,103-109,,
4:40.0,,,103-110,1,K. Love makes free throw 1 of 2
4:40.0,,,103-111,1,K. Love makes free throw 2 of 2
4:40.0,R. Anderson enters the game for C. Brewer,,103-110,,
4:29.0,,,103-111,,Personal foul by I. Shumpert (drawn by E. Gordon)
4:22.0,J. Harden misses 3-pt shot from 28 ft,,103-111,,
4:21.0,,,103-111,,Defensive rebound by L. James
4:12.0,,,103-113,2,L. James makes 2-pt shot from 1 ft
3:58.0,T. Ariza misses 3-pt shot from 24 ft,,103-113,,
3:57.0,Offensive rebound by N. Hilario,,103-113,,
3:47.0,E. Gordon makes 3-pt shot from 24 ft (assist by R. Anderson),3,106-113,,
3:25.0,,,106-113,,Offensive charge foul by L. James
3:25.0,,,106-113,,Turnover by L. James (offensive foul)
3:25.0,,,106-113,,K. Irving enters the game for I. Shumpert
3:19.0,Shooting foul by K. Love (drawn by J. Harden),,106-113,,
3:19.0,J. Harden misses free throw 1 of 2,,106-113,,
3:19.0,Offensive rebound by Team,,106-113,,
3:19.0,J. Harden misses free throw 2 of 2,,106-113,,
3:18.0,,,106-113,,Defensive rebound by L. James
3:01.0,,,106-113,,Turnover by L. James (lost ball; steal by E. Gordon)
2:47.0,E. Gordon makes 3-pt shot from 26 ft (assist by J. Harden),3,109-113,,
