time,Charlotte,pts.away,score,pts.home,Utah
0:02.0,,,28-23,3,D. Exum makes 3-pt shot from 25 ft (assist by J. Johnson)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,J. Lamb misses 2-pt shot from 15 ft,,28-23,,
11:48.0,,,28-23,,Defensive rebound by J. Johnson
11:26.0,,,28-23,,D. Exum misses 3-pt shot from 23 ft
11:26.0,,,28-23,,Offensive rebound by A. Burks
11:18.0,,,28-23,,A. Burks misses 2-pt shot from 17 ft
11:17.0,Defensive rebound by M. Belinelli,,28-23,,
11:03.0,Turnover by M. Belinelli (bad pass; steal by D. Exum),,28-23,,
10:59.0,,,28-25,2,D. Exum makes 2-pt shot at rim
10:33.0,J. Lamb misses 3-pt shot from 24 ft,,28-25,,
10:33.0,,,28-25,,Defensive rebound by J. Ingles
10:23.0,,,28-28,3,J. Johnson makes 3-pt shot from 27 ft (assist by J. Ingles)
10:05.0,B. Roberts misses 3-pt shot from 24 ft,,28-28,,
10:04.0,Offensive rebound by M. Plumlee,,28-28,,
9:49.0,B. Roberts misses 2-pt shot from 14 ft,,28-28,,
9:49.0,,,28-28,,Defensive rebound by J. Johnson
9:40.0,,,28-28,,J. Ingles misses 3-pt shot from 23 ft
9:40.0,,,28-28,,Offensive rebound by R. Gobert
9:39.0,,,28-28,,Shooting foul by M. Plumlee (drawn by R. Gobert)
9:39.0,,,28-28,,R. Gobert misses free throw 1 of 2
9:39.0,,,28-28,,Offensive rebound by Team
9:39.0,,,28-29,1,R. Gobert makes free throw 2 of 2
9:39.0,N. Batum enters the game for J. Lamb,,28-28,,
9:39.0,F. Kaminsky enters the game for M. Plumlee,,28-28,,
9:39.0,M. Williams enters the game for M. Kidd-Gilchrist,,28-28,,
9:39.0,,,28-28,,G. Hill enters the game for A. Burks
9:27.0,M. Belinelli misses 3-pt shot from 25 ft,,28-29,,
9:27.0,,,28-29,,Defensive rebound by J. Ingles
9:08.0,,,28-31,2,D. Exum makes 2-pt shot from 2 ft
8:43.0,F. Kaminsky makes 2-pt shot from 16 ft (assist by B. Roberts),2,30-31,,
8:30.0,,,30-31,,D. Exum misses 2-pt shot at rim (block by M. Williams)
8:30.0,Defensive rebound by M. Williams,,30-31,,
8:24.0,M. Belinelli makes 3-pt shot from 23 ft (assist by N. Batum),3,33-31,,
8:24.0,,,33-31,,Utah full timeout
8:24.0,,,33-31,,D. Favors enters the game for R. Gobert
8:24.0,,,33-31,,G. Hayward enters the game for D. Exum
8:03.0,,,33-33,2,G. Hayward makes 2-pt shot at rim (assist by J. Johnson)
7:43.0,M. Williams makes 2-pt shot from 3 ft (assist by N. Batum),2,35-33,,
7:24.0,,,35-36,3,J. Johnson makes 3-pt shot from 25 ft (assist by G. Hayward)
7:07.0,,,35-36,,Personal foul by G. Hill (drawn by M. Belinelli)
7:07.0,K. Walker enters the game for B. Roberts,,35-36,,
7:00.0,M. Belinelli misses 3-pt shot from 23 ft,,35-36,,
6:59.0,,,35-36,,Defensive rebound by D. Favors
6:47.0,,,35-36,,G. Hill misses 3-pt shot from 24 ft
6:46.0,Defensive rebound by F. Kaminsky,,35-36,,
6:35.0,N. Batum makes 2-pt shot from 2 ft,2,37-36,,
6:19.0,,,37-36,,G. Hayward misses 2-pt shot from 16 ft
6:19.0,Defensive rebound by M. Williams,,37-36,,
6:05.0,Shooting foul by G. Hayward (drawn by M. Williams),,37-36,,
6:05.0,M. Williams misses free throw 1 of 2,,37-36,,
6:05.0,Offensive rebound by Team,,37-36,,
6:05.0,M. Williams makes free throw 2 of 2,1,38-36,,
6:05.0,,,37-36,,T. Lyles enters the game for J. Johnson
6:05.0,,,37-36,,A. Burks enters the game for J. Ingles
5:54.0,,,38-39,3,G. Hill makes 3-pt shot from 24 ft
5:39.0,Shooting foul by T. Lyles (drawn by M. Belinelli),,38-39,,
5:39.0,Charlotte full timeout,,38-39,,
5:39.0,M. Belinelli makes free throw 1 of 2,1,39-39,,
5:39.0,M. Belinelli makes free throw 2 of 2,1,40-39,,
5:25.0,,,40-41,2,G. Hill makes 2-pt shot from 9 ft
5:12.0,F. Kaminsky misses 2-pt shot from 9 ft,,40-41,,
5:10.0,,,40-41,,Defensive rebound by D. Favors
4:59.0,Personal foul by F. Kaminsky (drawn by G. Hill),,40-41,,
4:59.0,M. Kidd-Gilchrist enters the game for M. Belinelli,,40-41,,
4:59.0,M. Plumlee enters the game for F. Kaminsky,,40-41,,
4:49.0,,,40-41,,T. Lyles misses 3-pt shot from 23 ft
4:49.0,Defensive rebound by M. Kidd-Gilchrist,,40-41,,
4:39.0,K. Walker misses 2-pt shot from 19 ft,,40-41,,
4:38.0,,,40-41,,Defensive rebound by D. Favors
4:31.0,,,40-41,,Shooting foul by M. Williams (drawn by G. Hill)
4:31.0,,,40-42,1,G. Hill makes free throw 1 of 2
4:31.0,,,40-43,1,G. Hill makes free throw 2 of 2
4:31.0,,,40-42,,R. Gobert enters the game for D. Favors
4:31.0,,,40-42,,J. Johnson enters the game for T. Lyles
4:22.0,K. Walker makes 2-pt shot from 3 ft,2,42-43,,
4:01.0,,,42-43,,A. Burks misses 2-pt shot from 15 ft
4:01.0,Defensive rebound by M. Williams,,42-43,,
3:49.0,Turnover by N. Batum (lost ball; steal by A. Burks),,42-43,,
3:31.0,,,42-43,,J. Johnson misses 2-pt shot from 10 ft
3:31.0,,,42-43,,Offensive rebound by Team
3:31.0,Loose ball foul by M. Kidd-Gilchrist (drawn by R. Gobert),,42-43,,
3:31.0,,,42-43,,D. Exum enters the game for G. Hill
3:31.0,,,42-43,,J. Ingles enters the game for A. Burks
3:31.0,M. Belinelli enters the game for M. Kidd-Gilchrist,,42-43,,
3:14.0,,,42-46,3,J. Ingles makes 3-pt shot from 25 ft (assist by D. Exum)
2:59.0,Turnover by K. Walker (lost ball),,42-46,,
2:59.0,Charlotte full timeout,,42-46,,
2:59.0,T. Graham enters the game for M. Williams,,42-46,,
2:45.0,,,42-46,,G. Hayward misses 2-pt shot from 15 ft
2:45.0,Defensive rebound by M. Plumlee,,42-46,,
2:35.0,Turnover by N. Batum (bad pass),,42-46,,
2:09.0,,,42-46,,Turnover by Team (shot clock)
1:53.0,Turnover by N. Batum (bad pass; steal by G. Hayward),,42-46,,
1:43.0,,,42-46,,D. Exum misses 3-pt shot from 23 ft
1:42.0,,,42-46,,Offensive rebound by J. Johnson
1:37.0,,,42-48,2,G. Hayward makes 2-pt shot from 2 ft (assist by D. Exum)
1:29.0,Charlotte full timeout,,42-48,,
1:29.0,,,42-48,,G. Hill enters the game for D. Exum
1:15.0,K. Walker misses 3-pt shot from 27 ft,,42-48,,
1:14.0,,,42-48,,Defensive rebound by G. Hayward
1:00.0,,,42-50,2,G. Hayward makes 2-pt shot from 13 ft
0:43.0,K. Walker misses 2-pt shot from 15 ft,,42-50,,
0:42.0,,,42-50,,Defensive rebound by R. Gobert
0:33.0,,,42-50,,G. Hill misses 3-pt shot from 26 ft
0:33.0,Defensive rebound by N. Batum,,42-50,,
0:13.0,M. Belinelli makes 2-pt shot from 15 ft,2,44-50,,
0:01.0,,,44-50,,J. Johnson misses 2-pt shot from 3 ft
0:01.0,,,44-50,,Offensive rebound by J. Johnson
0:01.0,,,44-52,2,J. Johnson makes 2-pt shot from 3 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,F. Kaminsky misses 2-pt shot from 13 ft,,44-52,,
11:47.0,,,44-52,,Defensive rebound by R. Gobert
11:37.0,,,44-54,2,G. Hayward makes 2-pt shot from 2 ft
11:17.0,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by K. Walker),2,46-54,,
11:05.0,Personal foul by N. Batum (drawn by J. Ingles),,46-54,,
