time,Houston,pts.away,score,pts.home,Indiana
5:16.0,Turnover by J. Harden (bad pass),,34-47,,
5:06.0,,,34-47,,M. Turner misses 2-pt shot from 7 ft
5:06.0,Defensive rebound by T. Ariza,,34-47,,
4:56.0,,,34-47,,Personal foul by T. Young (drawn by J. Harden)
4:56.0,J. Harden makes free throw 1 of 2,1,35-47,,
4:56.0,J. Harden makes free throw 2 of 2,1,36-47,,
4:34.0,,,36-47,,C. Miles misses 3-pt shot from 30 ft
4:34.0,Defensive rebound by Team,,36-47,,
4:18.0,R. Anderson makes 3-pt shot from 30 ft (assist by J. Harden),3,39-47,,
4:07.0,,,39-47,,P. George misses 3-pt shot from 25 ft
4:07.0,Defensive rebound by R. Anderson,,39-47,,
3:44.0,J. Harden misses 2-pt shot from 1 ft (block by M. Turner),,39-47,,
3:43.0,Offensive rebound by J. Harden,,39-47,,
3:41.0,J. Harden misses 2-pt shot from 15 ft,,39-47,,
3:40.0,,,39-47,,Defensive rebound by M. Turner
3:23.0,,,39-47,,P. George misses 3-pt shot from 27 ft
3:21.0,Defensive rebound by T. Ariza,,39-47,,
2:59.0,M. Harrell makes 2-pt shot from 1 ft,2,41-47,,
2:32.0,,,41-47,,J. Teague misses 3-pt shot from 27 ft
2:31.0,Defensive rebound by J. Harden,,41-47,,
2:25.0,Offensive charge foul by J. Harden,,41-47,,
2:25.0,Turnover by J. Harden (offensive foul),,41-47,,
2:25.0,Houston full timeout,,41-47,,
2:25.0,C. Capela enters the game for M. Harrell,,41-47,,
2:25.0,E. Gordon enters the game for P. Beverley,,41-47,,
2:11.0,,,41-47,,P. George misses 2-pt shot from 18 ft
2:10.0,Defensive rebound by J. Harden,,41-47,,
2:03.0,J. Harden misses 3-pt shot from 26 ft,,41-47,,
2:02.0,,,41-47,,Defensive rebound by T. Young
1:58.0,,,41-49,2,P. George makes 2-pt shot at rim (assist by T. Young)
1:50.0,T. Ariza misses 3-pt shot from 27 ft,,41-49,,
1:50.0,,,41-49,,Defensive rebound by P. George
1:42.0,,,41-49,,Turnover by T. Young (lost ball; steal by R. Anderson)
1:34.0,Shooting foul by M. Turner (drawn by T. Ariza),,41-49,,
1:34.0,T. Ariza makes free throw 1 of 2,1,42-49,,
1:34.0,T. Ariza makes free throw 2 of 2,1,43-49,,
1:34.0,,,42-49,,G. Robinson enters the game for C. Miles
1:16.0,,,43-49,,J. Teague misses 2-pt shot from 1 ft (block by C. Capela)
1:16.0,,,43-49,,Offensive rebound by Team
1:13.0,,,43-51,2,T. Young makes 2-pt shot from 3 ft (assist by J. Teague)
1:05.0,R. Anderson misses 3-pt shot from 23 ft,,43-51,,
1:05.0,,,43-51,,Defensive rebound by G. Robinson
0:58.0,,,43-53,2,T. Young makes 2-pt shot from 6 ft (assist by J. Teague)
0:45.0,Turnover by J. Harden (lost ball; steal by J. Teague),,43-53,,
0:41.0,,,43-55,2,G. Robinson makes 2-pt shot at rim (assist by J. Teague)
0:31.0,J. Harden misses 3-pt shot from 24 ft,,43-55,,
0:30.0,,,43-55,,Defensive rebound by M. Turner
0:18.0,,,43-55,,P. George misses 3-pt shot from 27 ft
0:17.0,,,43-55,,Offensive rebound by M. Turner
0:13.0,Personal foul by E. Gordon (drawn by M. Turner),,43-55,,
0:13.0,,,43-55,,Indiana full timeout
0:00.0,,,43-57,2,P. George makes 2-pt shot from 10 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,43-57,,M. Turner misses 2-pt shot from 19 ft
11:40.0,Defensive rebound by T. Ariza,,43-57,,
11:29.0,M. Harrell makes 2-pt shot at rim,2,45-57,,
11:14.0,,,45-57,,C. Miles misses 3-pt shot from 27 ft
11:14.0,Defensive rebound by R. Anderson,,45-57,,
11:03.0,Turnover by J. Harden (bad pass),,45-57,,
10:50.0,,,45-57,,M. Turner misses 2-pt shot from 17 ft
10:50.0,Defensive rebound by T. Ariza,,45-57,,
10:44.0,Turnover by J. Harden (lost ball; steal by T. Young),,45-57,,
10:44.0,Loose ball foul by J. Harden (drawn by T. Young),,45-57,,
10:29.0,,,45-59,2,P. George makes 2-pt shot from 2 ft
10:29.0,,,45-59,,Shooting foul by R. Anderson (drawn by P. George)
10:29.0,,,45-60,1,P. George makes free throw 1 of 1
10:07.0,R. Anderson misses 3-pt shot from 29 ft,,45-60,,
10:06.0,,,45-60,,Defensive rebound by C. Miles
9:54.0,,,45-60,,T. Young misses 2-pt shot from 5 ft (block by M. Harrell)
9:53.0,,,45-60,,Offensive rebound by Team
9:42.0,,,45-60,,C. Miles misses 3-pt shot from 27 ft
9:41.0,,,45-60,,Offensive rebound by M. Turner
9:30.0,,,45-60,,P. George misses 2-pt shot from 15 ft
9:30.0,,,45-60,,Offensive rebound by T. Young
9:30.0,,,45-60,,T. Young misses 2-pt shot from 3 ft
9:29.0,,,45-60,,Offensive rebound by M. Turner
9:29.0,,,45-62,2,M. Turner makes 2-pt shot from 1 ft
9:14.0,Shooting foul by P. George (drawn by J. Harden),,45-62,,
9:14.0,J. Harden makes free throw 1 of 2,1,46-62,,
9:14.0,J. Harden makes free throw 2 of 2,1,47-62,,
9:02.0,,,47-62,,C. Miles misses 3-pt shot from 27 ft
9:01.0,Defensive rebound by R. Anderson,,47-62,,
8:40.0,J. Harden misses 3-pt shot from 27 ft,,47-62,,
8:40.0,Offensive rebound by M. Harrell,,47-62,,
8:33.0,T. Ariza misses 3-pt shot from 24 ft,,47-62,,
8:33.0,,,47-62,,Defensive rebound by J. Teague
8:23.0,,,47-64,2,T. Young makes 2-pt shot from 2 ft (assist by J. Teague)
8:07.0,,,47-64,,Personal foul by C. Miles (drawn by M. Harrell)
7:56.0,,,47-64,,Violation by M. Turner (kicked ball)
7:51.0,J. Harden misses 3-pt shot from 25 ft,,47-64,,
7:50.0,Offensive rebound by R. Anderson,,47-64,,
7:47.0,R. Anderson misses 2-pt shot from 1 ft (block by M. Turner),,47-64,,
7:46.0,,,47-64,,Defensive rebound by M. Turner
7:40.0,,,47-64,,M. Turner misses 2-pt shot from 2 ft (block by P. Beverley)
7:40.0,Defensive rebound by T. Ariza,,47-64,,
7:40.0,,,47-64,,Personal foul by T. Young (drawn by T. Ariza)
7:32.0,P. Beverley misses 3-pt shot from 26 ft,,47-64,,
7:31.0,,,47-64,,Defensive rebound by P. George
7:21.0,,,47-64,,M. Turner misses 2-pt shot from 18 ft
7:21.0,Defensive rebound by Team,,47-64,,
7:21.0,,,47-64,,Loose ball foul by P. George (drawn by P. Beverley)
7:21.0,C. Capela enters the game for M. Harrell,,47-64,,
7:08.0,R. Anderson makes 3-pt shot from 27 ft (assist by J. Harden),3,50-64,,
6:51.0,Personal foul by P. Beverley (drawn by P. George),,50-64,,
6:45.0,Def 3 sec tech foul by J. Harden,,50-64,,
6:45.0,,,50-65,1,P. George makes technical free throw
6:30.0,,,50-65,,J. Teague misses 2-pt shot from 18 ft
6:30.0,Defensive rebound by J. Harden,,50-65,,
6:24.0,J. Harden makes 3-pt shot from 26 ft,3,53-65,,
6:23.0,,,53-65,,Indiana full timeout
6:05.0,,,53-67,2,P. George makes 2-pt shot from 2 ft
5:51.0,R. Anderson misses 3-pt shot from 23 ft,,53-67,,
5:50.0,,,53-67,,Defensive rebound by P. George
5:41.0,,,53-70,3,P. George makes 3-pt shot from 27 ft (assist by J. Teague)
5:27.0,R. Anderson makes 2-pt shot from 1 ft,2,55-70,,
5:13.0,Personal foul by P. Beverley (drawn by M. Turner),,55-70,,
5:13.0,E. Gordon enters the game for P. Beverley,,55-70,,
5:04.0,,,55-70,,Shooting foul by E. Gordon (drawn by J. Teague)
5:04.0,,,55-71,1,J. Teague makes free throw 1 of 2
5:04.0,,,55-72,1,J. Teague makes free throw 2 of 2
4:48.0,R. Anderson makes 2-pt shot from 3 ft (assist by J. Harden),2,57-72,,
4:37.0,,,57-74,2,M. Turner makes 2-pt shot from 3 ft (assist by J. Teague)
4:37.0,,,57-74,,Shooting foul by C. Capela (drawn by M. Turner)
4:37.0,,,57-75,1,M. Turner makes free throw 1 of 1
4:27.0,J. Harden misses 3-pt shot from 27 ft,,57-75,,
4:27.0,,,57-75,,Defensive rebound by Team
4:27.0,Loose ball foul by C. Capela (drawn by M. Turner),,57-75,,
4:27.0,,,57-76,1,M. Turner makes free throw 1 of 2
4:27.0,,,57-76,,M. Turner misses free throw 2 of 2
4:27.0,Defensive rebound by T. Ariza,,57-76,,
4:14.0,E. Gordon makes 2-pt shot from 1 ft,2,59-76,,
4:06.0,,,59-78,2,J. Teague makes 2-pt shot from 2 ft
3:53.0,E. Gordon misses 3-pt shot from 26 ft,,59-78,,
3:52.0,Offensive rebound by C. Capela,,59-78,,
3:49.0,E. Gordon misses 3-pt shot from 23 ft (block by M. Turner),,59-78,,
3:47.0,,,59-78,,Defensive rebound by J. Teague
3:40.0,,,59-78,,Turnover by C. Miles (bad pass; steal by C. Capela)
3:32.0,Shooting foul by J. Teague (drawn by J. Harden),,59-78,,
3:32.0,J. Harden makes free throw 1 of 2,1,60-78,,
3:32.0,J. Harden makes free throw 2 of 2,1,61-78,,
3:32.0,S. Dekker enters the game for T. Ariza,,60-78,,
3:32.0,,,60-78,,G. Robinson enters the game for C. Miles
3:32.0,,,60-78,,L. Allen enters the game for T. Young
3:22.0,,,61-81,3,G. Robinson makes 3-pt shot from 23 ft (assist by J. Teague)
3:10.0,,,61-81,,Personal foul by L. Allen (drawn by R. Anderson)
3:10.0,R. Anderson makes free throw 1 of 2,1,62-81,,
3:10.0,R. Anderson misses free throw 2 of 2,,62-81,,
3:10.0,,,62-81,,Defensive rebound by P. George
2:58.0,Houston full timeout,,62-81,,
2:55.0,,,62-81,,Turnover by P. George (bad pass; steal by J. Harden)
2:45.0,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden),2,64-81,,
2:31.0,,,64-83,2,J. Teague makes 2-pt shot from 6 ft
2:17.0,Turnover by E. Gordon (bad pass; steal by M. Turner),,64-83,,
1:59.0,,,64-83,,Shooting foul by J. Harden (drawn by J. Teague)
1:59.0,,,64-84,1,J. Teague makes free throw 1 of 2
1:59.0,,,64-85,1,J. Teague makes free throw 2 of 2
1:51.0,E. Gordon misses 2-pt shot from 4 ft (block by J. Teague),,64-85,,
1:51.0,Offensive rebound by Team,,64-85,,
1:48.0,J. Harden makes 3-pt shot from 25 ft (assist by S. Dekker),3,67-85,,
1:32.0,Personal foul by J. Harden (drawn by P. George),,67-85,,
1:32.0,,,67-86,1,P. George makes free throw 1 of 2
1:32.0,,,67-87,1,P. George makes free throw 2 of 2
1:14.0,R. Anderson makes 3-pt shot from 28 ft (assist by E. Gordon),3,70-87,,
0:57.0,,,70-89,2,P. George makes 2-pt shot from 20 ft
0:37.0,J. Harden misses 2-pt shot from 12 ft,,70-89,,
0:37.0,,,70-89,,Defensive rebound by Team
0:37.0,Loose ball foul by J. Harden (drawn by M. Turner),,70-89,,
0:37.0,,,70-89,,M. Turner misses free throw 1 of 2
0:37.0,,,70-89,,Offensive rebound by Team
0:37.0,,,70-90,1,M. Turner makes free throw 2 of 2
0:37.0,P. Beverley enters the game for J. Harden,,70-89,,
0:37.0,,,70-89,,M. Ellis enters the game for P. George
0:26.0,P. Beverley misses 3-pt shot from 26 ft,,70-90,,
0:23.0,,,70-90,,Defensive rebound by G. Robinson
0:03.0,,,70-90,,J. Teague misses 3-pt shot from 26 ft
0:01.0,Defensive rebound by R. Anderson,,70-90,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,70-90,,Shooting block foul by A. Jefferson (drawn by E. Gordon)
11:46.0,E. Gordon makes free throw 1 of 2,1,71-90,,
11:46.0,E. Gordon makes free throw 2 of 2,1,72-90,,
11:34.0,,,72-92,2,G. Robinson makes 2-pt shot from 2 ft (assist by M. Ellis)
11:22.0,R. Anderson misses 2-pt shot from 18 ft,,72-92,,
11:21.0,,,72-92,,Defensive rebound by M. Ellis
10:56.0,,,72-92,,A. Brooks misses 3-pt shot from 26 ft
10:54.0,Defensive rebound by C. Capela,,72-92,,
10:43.0,R. Anderson makes 2-pt shot from 3 ft (assist by P. Beverley),2,74-92,,
10:43.0,Shooting foul by A. Brooks (drawn by R. Anderson),,74-92,,
10:43.0,R. Anderson makes free throw 1 of 1,1,75-92,,
10:31.0,Personal foul by R. Anderson (drawn by L. Allen),,75-92,,
10:20.0,,,75-94,2,G. Robinson makes 2-pt shot from 10 ft
10:07.0,E. Gordon makes 2-pt shot from 2 ft (assist by P. Beverley),2,77-94,,
10:07.0,Shooting foul by M. Ellis (drawn by E. Gordon),,77-94,,
10:07.0,E. Gordon makes free throw 1 of 1,1,78-94,,
9:47.0,,,78-96,2,A. Brooks makes 2-pt shot from 2 ft
9:27.0,R. Anderson misses 3-pt shot from 29 ft,,78-96,,
9:26.0,Offensive rebound by S. Dekker,,78-96,,
9:25.0,S. Dekker makes 2-pt shot from 1 ft,2,80-96,,
9:07.0,,,80-98,2,L. Allen makes 2-pt shot from 2 ft (assist by M. Ellis)
8:47.0,R. Anderson makes 3-pt shot from 23 ft (assist by P. Beverley),3,83-98,,
8:22.0,,,83-100,2,A. Jefferson makes 2-pt shot from 2 ft (assist by L. Allen)
8:07.0,E. Gordon misses 3-pt shot from 25 ft,,83-100,,
8:06.0,,,83-100,,Defensive rebound by G. Robinson
7:54.0,,,83-100,,G. Robinson misses 2-pt shot from 10 ft (block by S. Dekker)
7:54.0,,,83-100,,Offensive rebound by Team
7:54.0,Official timeout,,83-100,,
7:54.0,,,83-100,,P. George enters the game for G. Robinson
7:54.0,,,83-100,,T. Young enters the game for L. Allen
7:54.0,,,83-100,,J. Teague enters the game for A. Brooks
7:54.0,J. Harden enters the game for C. Capela,,83-100,,
7:54.0,M. Harrell enters the game for E. Gordon,,83-100,,
7:43.0,,,83-100,,M. Ellis misses 2-pt shot from 18 ft
7:42.0,Defensive rebound by S. Dekker,,83-100,,
7:31.0,Turnover by J. Harden (bad pass; steal by A. Jefferson),,83-100,,
7:25.0,,,83-103,3,P. George makes 3-pt shot from 26 ft
7:10.0,S. Dekker makes 2-pt shot from 3 ft,2,85-103,,
6:56.0,,,85-105,2,A. Jefferson makes 2-pt shot from 1 ft (assist by J. Teague)
6:32.0,Turnover by S. Dekker (lost ball),,85-105,,
6:32.0,,,85-105,,M. Turner enters the game for A. Jefferson
6:21.0,,,85-105,,P. George misses 2-pt shot from 21 ft
6:19.0,Defensive rebound by P. Beverley,,85-105,,
6:14.0,S. Dekker makes 2-pt shot from 2 ft (assist by J. Harden),2,87-105,,
6:03.0,Personal foul by M. Harrell (drawn by T. Young),,87-105,,
5:50.0,,,87-105,,M. Ellis misses 3-pt shot from 23 ft
5:49.0,Defensive rebound by R. Anderson,,87-105,,
5:39.0,J. Harden misses 2-pt shot at rim (block by M. Turner),,87-105,,
5:38.0,,,87-105,,Defensive rebound by T. Young
5:29.0,,,87-105,,M. Turner misses 2-pt shot from 16 ft (block by S. Dekker)
5:28.0,Defensive rebound by M. Harrell,,87-105,,
5:20.0,Turnover by J. Harden (bad pass; steal by P. George),,87-105,,
5:00.0,,,87-107,2,P. George makes 2-pt shot from 19 ft (assist by J. Teague)
5:00.0,Houston full timeout,,87-107,,
5:00.0,E. Gordon enters the game for J. Harden,,87-107,,
4:50.0,P. Beverley makes 2-pt shot from 2 ft,2,89-107,,
4:24.0,,,89-107,,Shooting foul by P. Beverley (drawn by J. Teague)
4:24.0,,,89-108,1,J. Teague makes free throw 1 of 2
4:24.0,,,89-109,1,J. Teague makes free throw 2 of 2
4:10.0,M. Harrell makes 2-pt shot from 19 ft (assist by E. Gordon),2,91-109,,
3:53.0,,,91-109,,P. George misses 2-pt shot from 18 ft
3:53.0,Defensive rebound by E. Gordon,,91-109,,
3:48.0,,,91-109,,Personal block foul by M. Ellis (drawn by E. Gordon)
3:44.0,S. Dekker makes 2-pt shot at rim (assist by P. Beverley),2,93-109,,
