time,Minnesota,pts.away,score,pts.home,Sacramento
1:08.0,,,53-39,,Defensive rebound by B. McLemore
1:00.0,,,53-39,,Shooting foul by N. Bjelica (drawn by W. Cauley-Stein)
1:00.0,,,53-40,1,W. Cauley-Stein makes free throw 1 of 2
1:00.0,,,53-40,,W. Cauley-Stein misses free throw 2 of 2
0:59.0,,,53-40,,Offensive rebound by K. Koufos
0:59.0,,,53-42,2,K. Koufos makes 2-pt shot from 2 ft
0:52.0,N. Bjelica misses 3-pt shot from 26 ft,,53-42,,
0:51.0,Offensive rebound by A. Wiggins,,53-42,,
0:40.0,R. Rubio makes 3-pt shot from 23 ft (assist by T. Jones),3,56-42,,
0:37.0,,,56-42,,Shooting foul by A. Wiggins (drawn by B. McLemore)
0:37.0,,,56-43,1,B. McLemore makes free throw 1 of 2
0:37.0,,,56-44,1,B. McLemore makes free throw 2 of 2
0:27.0,K. Towns misses 2-pt shot from 6 ft,,56-44,,
0:27.0,Offensive rebound by K. Towns,,56-44,,
0:26.0,K. Towns makes 2-pt shot from 4 ft,2,58-44,,
0:25.0,,,58-44,,Turnover by B. McLemore (bad pass; steal by R. Rubio)
0:08.0,R. Rubio makes 2-pt shot from 18 ft,2,60-44,,
0:02.0,,,60-44,,T. Lawson misses 2-pt shot from 18 ft
0:02.0,Defensive rebound by K. Towns,,60-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,K. Towns makes 3-pt shot from 26 ft (assist by A. Wiggins),3,63-44,,
11:21.0,,,63-46,2,T. Lawson makes 2-pt shot from 3 ft (assist by W. Cauley-Stein)
11:21.0,Violation by G. Dieng (def goaltending),,63-46,,
11:05.0,A. Wiggins misses 2-pt shot from 9 ft,,63-46,,
11:05.0,,,63-46,,Defensive rebound by K. Koufos
10:55.0,,,63-46,,T. Lawson misses 2-pt shot from 9 ft
10:54.0,Defensive rebound by G. Dieng,,63-46,,
10:34.0,A. Wiggins misses 2-pt shot from 17 ft,,63-46,,
10:33.0,,,63-46,,Defensive rebound by K. Koufos
10:24.0,,,63-46,,D. Collison misses 2-pt shot from 18 ft
10:24.0,Defensive rebound by R. Rubio,,63-46,,
10:24.0,,,63-46,,Personal foul by K. Koufos (drawn by R. Rubio)
10:09.0,G. Dieng misses 2-pt shot from 17 ft,,63-46,,
10:07.0,,,63-46,,Defensive rebound by T. Lawson
10:02.0,,,63-46,,Offensive charge foul by B. McLemore
10:02.0,,,63-46,,Turnover by B. McLemore (offensive foul)
9:46.0,A. Wiggins misses 3-pt shot from 26 ft,,63-46,,
9:45.0,Offensive rebound by G. Dieng,,63-46,,
9:44.0,G. Dieng misses 2-pt shot from 5 ft,,63-46,,
9:42.0,Offensive rebound by K. Towns,,63-46,,
9:41.0,K. Towns misses 2-pt shot from 1 ft,,63-46,,
9:40.0,,,63-46,,Defensive rebound by W. Cauley-Stein
9:34.0,,,63-49,3,B. McLemore makes 3-pt shot from 23 ft (assist by T. Lawson)
9:34.0,Minnesota full timeout,,63-49,,
9:18.0,G. Dieng misses 2-pt shot from 11 ft,,63-49,,
9:18.0,,,63-49,,Defensive rebound by B. McLemore
9:12.0,,,63-51,2,T. Lawson makes 2-pt shot from 13 ft
9:12.0,,,63-51,,Shooting foul by B. Rush (drawn by T. Lawson)
9:12.0,,,63-52,1,T. Lawson makes free throw 1 of 1
9:01.0,G. Dieng misses 2-pt shot from 17 ft,,63-52,,
9:01.0,,,63-52,,Defensive rebound by W. Cauley-Stein
8:53.0,,,63-52,,T. Lawson misses 3-pt shot from 24 ft
8:52.0,Defensive rebound by B. Rush,,63-52,,
8:44.0,B. Rush misses 2-pt shot from 17 ft,,63-52,,
8:43.0,,,63-52,,Defensive rebound by D. Collison
8:36.0,,,63-54,2,D. Collison makes 2-pt shot from 2 ft (assist by T. Lawson)
8:15.0,Offensive charge foul by K. Towns,,63-54,,
8:15.0,Turnover by K. Towns (offensive foul),,63-54,,
7:56.0,,,63-54,,W. Cauley-Stein misses 2-pt shot from 15 ft
7:55.0,Defensive rebound by G. Dieng,,63-54,,
7:49.0,K. Towns misses 2-pt shot from 19 ft,,63-54,,
7:48.0,,,63-54,,Defensive rebound by K. Koufos
7:40.0,Violation by B. Rush (kicked ball),,63-54,,
7:27.0,,,63-54,,B. McLemore misses 3-pt shot from 25 ft
7:26.0,,,63-54,,Offensive rebound by K. Koufos
7:19.0,,,63-56,2,D. Collison makes 2-pt shot from 3 ft (assist by K. Koufos)
6:59.0,A. Wiggins makes 2-pt shot from 19 ft,2,65-56,,
6:50.0,,,65-56,,W. Cauley-Stein misses 2-pt shot from 1 ft
6:49.0,Defensive rebound by R. Rubio,,65-56,,
6:38.0,,,65-56,,Personal foul by K. Koufos (drawn by K. Towns)
6:38.0,,,65-56,,A. Tolliver enters the game for W. Cauley-Stein
6:38.0,N. Bjelica enters the game for G. Dieng,,65-56,,
6:31.0,N. Bjelica misses 3-pt shot from 25 ft,,65-56,,
6:31.0,,,65-56,,Defensive rebound by K. Koufos
6:25.0,Personal foul by R. Rubio (drawn by D. Collison),,65-56,,
6:10.0,,,65-56,,D. Collison misses 2-pt shot from 13 ft
6:09.0,Defensive rebound by K. Towns,,65-56,,
5:56.0,A. Wiggins makes 2-pt shot from 17 ft,2,67-56,,
5:47.0,,,67-56,,Turnover by T. Lawson (bad pass)
5:30.0,B. Rush makes 2-pt shot from 21 ft (assist by N. Bjelica),2,69-56,,
5:29.0,,,69-56,,Sacramento full timeout
5:29.0,,,69-56,,B. Hield enters the game for B. McLemore
5:29.0,,,69-56,,T. Evans enters the game for T. Lawson
5:10.0,,,69-59,3,T. Evans makes 3-pt shot from 25 ft (assist by D. Collison)
4:52.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,71-59,,
4:36.0,,,71-59,,K. Koufos misses 2-pt shot from 2 ft (block by R. Rubio)
4:35.0,Defensive rebound by N. Bjelica,,71-59,,
4:30.0,R. Rubio misses 2-pt shot from 14 ft,,71-59,,
4:29.0,Offensive rebound by K. Towns,,71-59,,
4:28.0,K. Towns misses 2-pt shot from 3 ft (block by A. Tolliver),,71-59,,
4:27.0,Offensive rebound by K. Towns,,71-59,,
4:25.0,,,71-59,,Personal foul by A. Tolliver (drawn by K. Towns)
4:25.0,K. Towns misses free throw 1 of 2,,71-59,,
4:25.0,Offensive rebound by Team,,71-59,,
4:25.0,K. Towns misses free throw 2 of 2,,71-59,,
4:24.0,,,71-59,,Defensive rebound by T. Evans
4:04.0,,,71-59,,Turnover by B. Hield (bad pass)
4:04.0,G. Dieng enters the game for K. Towns,,71-59,,
3:51.0,Minnesota full timeout,,71-59,,
3:45.0,A. Wiggins misses 2-pt shot from 15 ft,,71-59,,
3:42.0,,,71-59,,Defensive rebound by Team
3:19.0,,,71-59,,D. Collison misses 2-pt shot from 10 ft
3:18.0,Defensive rebound by G. Dieng,,71-59,,
3:14.0,T. Jones enters the game for B. Rush,,71-59,,
3:01.0,A. Wiggins misses 2-pt shot from 3 ft,,71-59,,
2:59.0,,,71-59,,Defensive rebound by T. Evans
2:57.0,,,71-59,,Turnover by T. Evans (bad pass)
2:53.0,N. Bjelica makes 2-pt shot from 2 ft (assist by R. Rubio),2,73-59,,
2:31.0,,,73-59,,T. Evans misses 2-pt shot from 4 ft
2:31.0,Defensive rebound by N. Bjelica,,73-59,,
2:21.0,A. Wiggins makes 2-pt shot from 7 ft (assist by R. Rubio),2,75-59,,
2:05.0,K. Dunn enters the game for R. Rubio,,75-59,,
2:05.0,,,75-59,,W. Cauley-Stein enters the game for K. Koufos
1:56.0,,,75-61,2,W. Cauley-Stein makes 2-pt shot from 4 ft (assist by T. Evans)
1:56.0,,,75-61,,Shooting foul by N. Bjelica (drawn by W. Cauley-Stein)
1:56.0,,,75-61,,W. Cauley-Stein misses free throw 1 of 1
1:55.0,Defensive rebound by G. Dieng,,75-61,,
1:45.0,Turnover by G. Dieng (bad pass; steal by T. Evans),,75-61,,
1:41.0,,,75-61,,T. Evans misses 2-pt shot from 3 ft
1:38.0,Defensive rebound by G. Dieng,,75-61,,
1:22.0,,,75-61,,Def 3 sec tech foul by T. Evans
1:22.0,T. Jones makes technical free throw,1,76-61,,
1:15.0,A. Wiggins misses 2-pt shot from 10 ft,,76-61,,
1:15.0,,,76-61,,Defensive rebound by T. Evans
1:03.0,,,76-63,2,D. Collison makes 2-pt shot from 4 ft
0:41.0,N. Bjelica misses 3-pt shot from 26 ft,,76-63,,
0:41.0,,,76-63,,Defensive rebound by T. Evans
0:33.0,,,76-65,2,T. Evans makes 2-pt shot from 23 ft
0:14.0,Shooting foul by D. Collison (drawn by A. Wiggins),,76-65,,
0:14.0,A. Wiggins misses free throw 1 of 2,,76-65,,
0:14.0,Offensive rebound by Team,,76-65,,
0:14.0,A. Wiggins makes free throw 2 of 2,1,77-65,,
0:00.0,,,77-65,,A. Tolliver misses 3-pt shot from 24 ft
0:00.0,,,77-65,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,,,77-67,2,T. Lawson makes 2-pt shot from 4 ft (assist by A. Tolliver)
11:18.0,S. Muhammad makes 3-pt shot from 23 ft (assist by K. Dunn),3,80-67,,
10:57.0,,,80-67,,Turnover by A. Tolliver (bad pass; steal by T. Jones)
10:53.0,T. Jones makes 2-pt shot at rim,2,82-67,,
10:40.0,,,82-69,2,W. Cauley-Stein makes 2-pt shot at rim (assist by T. Lawson)
10:19.0,S. Muhammad misses 2-pt shot from 6 ft,,82-69,,
10:17.0,Offensive rebound by K. Towns,,82-69,,
10:17.0,K. Towns makes 2-pt shot from 3 ft,2,84-69,,
10:03.0,,,84-69,,Turnover by W. Cauley-Stein (lost ball)
9:44.0,T. Jones misses 2-pt shot from 9 ft,,84-69,,
9:42.0,,,84-69,,Defensive rebound by B. Hield
9:33.0,,,84-69,,W. Cauley-Stein misses 2-pt shot from 10 ft
9:33.0,,,84-69,,Offensive rebound by Team
9:33.0,Loose ball foul by T. Jones (drawn by T. Lawson),,84-69,,
9:18.0,,,84-69,,B. Hield misses 3-pt shot from 25 ft
9:17.0,Defensive rebound by K. Towns,,84-69,,
9:11.0,S. Muhammad makes 2-pt shot from 3 ft (assist by T. Jones),2,86-69,,
8:55.0,,,86-69,,T. Evans misses 2-pt shot from 16 ft
8:55.0,Defensive rebound by K. Towns,,86-69,,
8:47.0,K. Dunn makes 2-pt shot from 18 ft,2,88-69,,
8:46.0,,,88-69,,Sacramento full timeout
8:31.0,,,88-69,,T. Evans misses 2-pt shot from 2 ft
8:30.0,Defensive rebound by N. Bjelica,,88-69,,
8:19.0,S. Muhammad makes 2-pt shot from 11 ft (assist by K. Towns),2,90-69,,
7:52.0,,,90-71,2,T. Lawson makes 2-pt shot from 3 ft
7:35.0,T. Jones misses 3-pt shot from 26 ft,,90-71,,
7:34.0,,,90-71,,Defensive rebound by W. Cauley-Stein
7:30.0,,,90-71,,Turnover by W. Cauley-Stein (bad pass; steal by N. Bjelica)
7:16.0,Shooting foul by W. Cauley-Stein (drawn by K. Towns),,90-71,,
7:16.0,K. Towns makes free throw 1 of 2,1,91-71,,
7:16.0,K. Towns misses free throw 2 of 2,,91-71,,
7:15.0,,,91-71,,Defensive rebound by W. Cauley-Stein
7:03.0,,,91-71,,S. Labissiere enters the game for A. Tolliver
6:54.0,,,91-71,,T. Lawson misses 2-pt shot from 17 ft
6:54.0,,,91-71,,Offensive rebound by Team
6:54.0,,,91-71,,Shooting foul by K. Dunn (drawn by W. Cauley-Stein)
6:54.0,,,91-71,,W. Cauley-Stein misses free throw 1 of 2
6:54.0,,,91-71,,Offensive rebound by Team
6:54.0,,,91-72,1,W. Cauley-Stein makes free throw 2 of 2
6:38.0,Turnover by K. Towns (lost ball; steal by B. Hield),,91-72,,
6:32.0,,,91-74,2,W. Cauley-Stein makes 2-pt shot at rim (assist by T. Lawson)
6:32.0,Minnesota full timeout,,91-74,,
6:32.0,R. Rubio enters the game for S. Muhammad,,91-74,,
6:32.0,A. Wiggins enters the game for K. Dunn,,91-74,,
6:18.0,A. Wiggins makes 2-pt shot from 20 ft,2,93-74,,
6:00.0,,,93-76,2,B. Hield makes 2-pt shot from 3 ft (assist by W. Cauley-Stein)
5:37.0,N. Bjelica misses 2-pt shot from 6 ft,,93-76,,
5:36.0,Offensive rebound by K. Towns,,93-76,,
5:36.0,K. Towns misses 2-pt shot from 2 ft,,93-76,,
5:35.0,Offensive rebound by K. Towns,,93-76,,
5:34.0,K. Towns makes 2-pt shot from 3 ft,2,95-76,,
5:20.0,,,95-79,3,T. Evans makes 3-pt shot from 25 ft (assist by T. Lawson)
5:02.0,A. Wiggins misses 2-pt shot from 21 ft,,95-79,,
5:01.0,,,95-79,,Defensive rebound by B. Hield
4:46.0,,,95-81,2,T. Evans makes 2-pt shot from 4 ft
4:25.0,K. Towns makes 2-pt shot at rim (assist by R. Rubio),2,97-81,,
4:12.0,Personal foul by R. Rubio (drawn by T. Lawson),,97-81,,
4:12.0,,,97-81,,Sacramento full timeout
4:01.0,,,97-84,3,T. Evans makes 3-pt shot from 25 ft (assist by T. Lawson)
3:38.0,T. Jones misses 3-pt shot from 26 ft,,97-84,,
3:38.0,Offensive rebound by N. Bjelica,,97-84,,
3:35.0,,,97-84,,Personal foul by B. Hield (drawn by K. Towns)
