time,Oklahoma City,pts.away,score,pts.home,Golden State
8:17.0,,,15-7,,Golden State full timeout
8:04.0,,,15-7,,K. Thompson misses 2-pt shot from 18 ft
8:03.0,Defensive rebound by R. Westbrook,,15-7,,
7:49.0,Shooting foul by S. Curry (drawn by S. Adams),,15-7,,
7:49.0,S. Adams makes free throw 1 of 2,1,16-7,,
7:49.0,S. Adams misses free throw 2 of 2,,16-7,,
7:49.0,,,16-7,,Defensive rebound by K. Durant
7:38.0,Personal foul by A. Roberson (drawn by K. Durant),,16-7,,
7:32.0,,,16-9,2,Z. Pachulia makes 2-pt shot from 18 ft (assist by S. Curry)
7:16.0,S. Adams makes 2-pt shot from 2 ft (assist by R. Westbrook),2,18-9,,
7:04.0,,,18-9,,K. Durant misses 2-pt shot from 19 ft
7:02.0,Defensive rebound by S. Adams,,18-9,,
6:48.0,S. Adams misses 2-pt shot from 5 ft,,18-9,,
6:44.0,,,18-9,,Defensive rebound by Z. Pachulia
6:38.0,,,18-9,,D. Green misses 2-pt shot from 3 ft
6:38.0,Defensive rebound by Team,,18-9,,
6:16.0,D. Sabonis misses 2-pt shot from 11 ft,,18-9,,
6:15.0,Offensive rebound by A. Roberson,,18-9,,
6:15.0,A. Roberson misses 2-pt shot from 1 ft,,18-9,,
6:13.0,,,18-9,,Defensive rebound by Z. Pachulia
6:03.0,,,18-9,,S. Curry misses 3-pt shot from 26 ft
6:02.0,,,18-9,,Offensive rebound by Z. Pachulia
5:57.0,,,18-12,3,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry)
5:43.0,S. Adams makes 2-pt shot from 10 ft,2,20-12,,
5:28.0,,,20-12,,Turnover by D. Green (traveling)
5:16.0,R. Westbrook misses 3-pt shot from 28 ft,,20-12,,
5:16.0,,,20-12,,Defensive rebound by Team
5:16.0,A. Morrow enters the game for V. Oladipo,,20-12,,
5:16.0,,,20-12,,A. Iguodala enters the game for K. Durant
5:01.0,,,20-12,,S. Curry misses 2-pt shot from 9 ft
5:00.0,,,20-12,,Offensive rebound by D. Green
5:00.0,,,20-14,2,D. Green makes 2-pt shot from 1 ft
4:49.0,Turnover by R. Westbrook (bad pass; steal by D. Green),,20-14,,
4:42.0,,,20-14,,A. Iguodala misses 2-pt shot from 2 ft
4:42.0,,,20-14,,Offensive rebound by D. Green
4:42.0,,,20-16,2,D. Green makes 2-pt shot at rim
4:42.0,Oklahoma City full timeout,,20-16,,
4:34.0,Shooting foul by K. Thompson (drawn by R. Westbrook),,20-16,,
4:34.0,R. Westbrook makes free throw 1 of 2,1,21-16,,
4:34.0,R. Westbrook misses free throw 2 of 2,,21-16,,
4:34.0,J. Grant enters the game for A. Roberson,,21-16,,
4:34.0,,,21-16,,I. Clark enters the game for K. Thompson
4:32.0,,,21-16,,Defensive rebound by I. Clark
4:16.0,,,21-16,,S. Curry misses 2-pt shot from 3 ft (block by R. Westbrook)
4:15.0,Defensive rebound by R. Westbrook,,21-16,,
4:08.0,D. Sabonis makes 3-pt shot from 26 ft (assist by R. Westbrook),3,24-16,,
3:50.0,,,24-18,2,I. Clark makes 2-pt shot from 2 ft (assist by D. Green)
3:50.0,,,24-18,,Shooting foul by D. Sabonis (drawn by I. Clark)
3:50.0,,,24-19,1,I. Clark makes free throw 1 of 1
3:50.0,J. Lauvergne enters the game for D. Sabonis,,24-18,,
3:39.0,J. Grant misses 2-pt shot from 2 ft (block by Z. Pachulia),,24-19,,
3:38.0,,,24-19,,Defensive rebound by I. Clark
3:37.0,Personal foul by S. Adams (drawn by Z. Pachulia),,24-19,,
3:37.0,,,24-19,,K. Durant enters the game for Z. Pachulia
3:29.0,,,24-19,,Turnover by D. Green (bad pass; steal by S. Adams)
3:21.0,J. Lauvergne makes 3-pt shot from 24 ft (assist by R. Westbrook),3,27-19,,
3:09.0,,,27-19,,K. Durant misses 2-pt shot from 13 ft
3:08.0,,,27-19,,Offensive rebound by D. Green
3:08.0,,,27-19,,D. Green misses 2-pt shot from 1 ft
3:07.0,,,27-19,,Offensive rebound by D. Green
3:07.0,,,27-19,,D. Green misses 2-pt shot from 1 ft
3:06.0,Defensive rebound by J. Grant,,27-19,,
3:00.0,J. Grant makes 2-pt shot at rim (assist by R. Westbrook),2,29-19,,
2:51.0,Personal foul by S. Adams (drawn by S. Curry),,29-19,,
2:51.0,S. Christon enters the game for R. Westbrook,,29-19,,
2:51.0,V. Oladipo enters the game for S. Adams,,29-19,,
2:42.0,,,29-21,2,K. Durant makes 2-pt shot from 9 ft
2:23.0,V. Oladipo makes 2-pt shot from 20 ft,2,31-21,,
2:08.0,,,31-23,2,K. Durant makes 2-pt shot from 8 ft
2:06.0,Oklahoma City full timeout,,31-23,,
2:06.0,,,31-23,,D. West enters the game for D. Green
1:56.0,A. Morrow misses 3-pt shot from 26 ft,,31-23,,
1:56.0,Offensive rebound by J. Lauvergne,,31-23,,
1:46.0,S. Christon misses 3-pt shot from 24 ft,,31-23,,
1:46.0,,,31-23,,Defensive rebound by Team
1:33.0,,,31-25,2,K. Durant makes 2-pt shot from 1 ft (assist by S. Curry)
1:33.0,,,31-25,,Shooting foul by J. Grant (drawn by K. Durant)
1:33.0,,,31-26,1,K. Durant makes free throw 1 of 1
1:12.0,V. Oladipo misses 2-pt shot from 7 ft,,31-26,,
1:12.0,,,31-26,,Defensive rebound by D. West
1:04.0,,,31-26,,Turnover by D. West (bad pass)
1:04.0,E. Kanter enters the game for A. Morrow,,31-26,,
0:50.0,E. Kanter misses 2-pt shot from 16 ft,,31-26,,
0:50.0,,,31-26,,Defensive rebound by A. Iguodala
0:41.0,,,31-26,,Turnover by K. Durant (lost ball; steal by J. Lauvergne)
0:37.0,Shooting foul by D. West (drawn by V. Oladipo),,31-26,,
0:37.0,V. Oladipo misses free throw 1 of 2,,31-26,,
0:37.0,Offensive rebound by Team,,31-26,,
0:37.0,V. Oladipo makes free throw 2 of 2,1,32-26,,
0:32.0,Shooting block foul by J. Lauvergne (drawn by S. Curry),,32-26,,
0:32.0,,,32-27,1,S. Curry makes free throw 1 of 2
0:32.0,,,32-28,1,S. Curry makes free throw 2 of 2
0:18.0,Turnover by S. Christon (offensive goaltending),,32-28,,
0:05.0,,,32-31,3,K. Durant makes 3-pt shot from 25 ft (assist by S. Curry)
0:01.0,V. Oladipo misses 3-pt shot from 28 ft,,32-31,,
0:00.0,Offensive rebound by Team,,32-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,32-33,2,D. West makes 2-pt shot from 2 ft (assist by K. Durant)
11:35.0,,,32-33,,Personal foul by K. Durant (drawn by E. Kanter)
11:20.0,J. Grant misses 2-pt shot from 22 ft,,32-33,,
11:20.0,,,32-33,,Defensive rebound by A. Iguodala
11:10.0,,,32-33,,A. Iguodala misses 2-pt shot from 1 ft
11:10.0,,,32-33,,Offensive rebound by K. Durant
11:10.0,,,32-35,2,K. Durant makes 2-pt shot at rim
10:58.0,A. Abrines misses 3-pt shot from 26 ft,,32-35,,
10:58.0,,,32-35,,Defensive rebound by K. Durant
10:51.0,,,32-35,,A. Iguodala misses 2-pt shot from 2 ft
10:51.0,,,32-35,,Offensive rebound by K. Thompson
10:49.0,,,32-38,3,K. Durant makes 3-pt shot from 26 ft (assist by K. Thompson)
10:25.0,A. Abrines misses 3-pt shot from 27 ft,,32-38,,
10:25.0,,,32-38,,Defensive rebound by D. West
10:12.0,,,32-38,,K. Thompson misses 2-pt shot at rim (block by E. Kanter)
10:11.0,,,32-38,,Offensive rebound by K. Thompson
10:07.0,,,32-38,,D. West misses 2-pt shot from 17 ft
10:06.0,,,32-38,,Offensive rebound by S. Livingston
10:06.0,,,32-38,,K. Thompson misses 3-pt shot from 25 ft
10:04.0,Defensive rebound by V. Oladipo,,32-38,,
9:51.0,Turnover by E. Kanter (bad pass),,32-38,,
9:36.0,,,32-38,,Turnover by D. West (traveling)
9:36.0,J. Lauvergne enters the game for E. Kanter,,32-38,,
9:36.0,R. Westbrook enters the game for S. Christon,,32-38,,
9:19.0,J. Lauvergne makes 2-pt shot from 7 ft (assist by R. Westbrook),2,34-38,,
9:05.0,,,34-41,3,K. Thompson makes 3-pt shot from 24 ft (assist by A. Iguodala)
8:52.0,R. Westbrook misses 3-pt shot from 26 ft,,34-41,,
8:52.0,,,34-41,,Defensive rebound by Team
8:51.0,Official timeout,,34-41,,
8:51.0,,,34-41,,I. Clark enters the game for A. Iguodala
8:51.0,A. Roberson enters the game for V. Oladipo,,34-41,,
8:41.0,,,34-43,2,S. Livingston makes 2-pt shot from 2 ft
8:23.0,R. Westbrook misses 2-pt shot from 1 ft,,34-43,,
8:22.0,Offensive rebound by J. Lauvergne,,34-43,,
8:21.0,J. Lauvergne misses 2-pt shot from 2 ft,,34-43,,
8:20.0,,,34-43,,Defensive rebound by K. Durant
8:13.0,,,34-43,,I. Clark misses 3-pt shot from 23 ft
8:13.0,Defensive rebound by J. Grant,,34-43,,
8:07.0,R. Westbrook misses 2-pt shot from 2 ft (block by K. Thompson),,34-43,,
8:06.0,,,34-43,,Defensive rebound by I. Clark
8:04.0,Personal foul by R. Westbrook (drawn by K. Durant),,34-43,,
8:04.0,S. Adams enters the game for J. Grant,,34-43,,
8:04.0,,,34-43,,Z. Pachulia enters the game for K. Durant
8:04.0,,,34-43,,D. Green enters the game for D. West
7:46.0,,,34-43,,K. Thompson misses 2-pt shot from 12 ft
7:45.0,Defensive rebound by A. Abrines,,34-43,,
7:39.0,Shooting foul by Z. Pachulia (drawn by R. Westbrook),,34-43,,
7:39.0,R. Westbrook makes free throw 1 of 2,1,35-43,,
7:39.0,R. Westbrook makes free throw 2 of 2,1,36-43,,
7:39.0,V. Oladipo enters the game for A. Abrines,,35-43,,
7:39.0,,,35-43,,S. Curry enters the game for K. Thompson
7:23.0,,,36-45,2,Z. Pachulia makes 2-pt shot from 2 ft (assist by S. Livingston)
7:05.0,A. Roberson misses 2-pt shot from 6 ft (block by Z. Pachulia),,36-45,,
7:04.0,Offensive rebound by J. Lauvergne,,36-45,,
7:02.0,J. Lauvergne makes 2-pt shot from 6 ft,2,38-45,,
6:48.0,,,38-45,,S. Curry misses 3-pt shot from 26 ft
6:47.0,Defensive rebound by V. Oladipo,,38-45,,
6:39.0,V. Oladipo misses 2-pt shot from 4 ft,,38-45,,
6:38.0,,,38-45,,Defensive rebound by D. Green
6:25.0,,,38-45,,Shooting foul by A. Roberson (drawn by S. Curry)
6:25.0,,,38-46,1,S. Curry makes free throw 1 of 3
6:25.0,,,38-47,1,S. Curry makes free throw 2 of 3
6:25.0,,,38-47,,S. Curry misses free throw 3 of 3
6:23.0,Defensive rebound by J. Lauvergne,,38-47,,
6:06.0,V. Oladipo misses 3-pt shot from 25 ft,,38-47,,
6:06.0,,,38-47,,Defensive rebound by S. Livingston
5:56.0,,,38-49,2,I. Clark makes 2-pt shot from 2 ft (assist by Z. Pachulia)
5:43.0,R. Westbrook misses 2-pt shot from 16 ft,,38-49,,
5:42.0,,,38-49,,Defensive rebound by D. Green
5:25.0,,,38-49,,S. Curry misses 2-pt shot from 3 ft (block by S. Adams)
5:23.0,,,38-49,,Offensive rebound by Z. Pachulia
5:20.0,,,38-49,,Shooting foul by S. Adams (drawn by S. Curry)
5:20.0,,,38-49,,Golden State full timeout
5:20.0,,,38-50,1,S. Curry makes free throw 1 of 3
5:20.0,,,38-51,1,S. Curry makes free throw 2 of 3
5:20.0,,,38-52,1,S. Curry makes free throw 3 of 3
5:20.0,D. Sabonis enters the game for A. Roberson,,38-49,,
5:20.0,A. Morrow enters the game for J. Lauvergne,,38-49,,
4:56.0,R. Westbrook makes 3-pt shot from 26 ft (assist by D. Sabonis),3,41-52,,
4:37.0,Personal foul by V. Oladipo (drawn by S. Curry),,41-52,,
4:37.0,,,41-52,,K. Durant enters the game for S. Livingston
4:37.0,,,41-52,,A. Iguodala enters the game for I. Clark
4:37.0,J. Grant enters the game for S. Adams,,41-52,,
4:26.0,,,41-52,,K. Durant misses 2-pt shot from 11 ft
4:25.0,,,41-52,,Offensive rebound by Z. Pachulia
4:21.0,,,41-55,3,K. Durant makes 3-pt shot from 26 ft (assist by Z. Pachulia)
4:12.0,R. Westbrook misses 2-pt shot from 4 ft (block by Z. Pachulia),,41-55,,
4:11.0,,,41-55,,Defensive rebound by Z. Pachulia
4:06.0,,,41-58,3,K. Durant makes 3-pt shot from 26 ft (assist by S. Curry)
3:37.0,V. Oladipo makes 2-pt shot from 22 ft (assist by D. Sabonis),2,43-58,,
3:29.0,,,43-58,,K. Durant misses 3-pt shot from 31 ft
3:28.0,,,43-58,,Offensive rebound by Z. Pachulia
3:26.0,,,43-58,,Shooting foul by J. Grant (drawn by D. Green)
3:26.0,Oklahoma City full timeout,,43-58,,
3:26.0,,,43-59,1,D. Green makes free throw 1 of 2
3:26.0,,,43-59,,D. Green misses free throw 2 of 2
3:26.0,,,43-58,,K. Thompson enters the game for Z. Pachulia
3:23.0,Defensive rebound by D. Sabonis,,43-59,,
3:09.0,D. Sabonis misses 2-pt shot from 10 ft,,43-59,,
3:09.0,,,43-59,,Defensive rebound by Team
2:55.0,,,43-59,,K. Durant misses 2-pt shot from 7 ft (block by R. Westbrook)
2:55.0,Defensive rebound by R. Westbrook,,43-59,,
2:42.0,J. Grant misses 2-pt shot from 3 ft (block by S. Curry),,43-59,,
2:42.0,,,43-59,,Defensive rebound by Team
2:29.0,,,43-61,2,K. Durant makes 2-pt shot at rim (assist by D. Green)
2:20.0,R. Westbrook misses 2-pt shot from 6 ft,,43-61,,
2:19.0,Offensive rebound by R. Westbrook,,43-61,,
2:19.0,R. Westbrook misses 2-pt shot from 1 ft (block by D. Green),,43-61,,
2:18.0,Offensive rebound by J. Grant,,43-61,,
2:17.0,J. Grant misses 2-pt shot from 1 ft,,43-61,,
2:15.0,Offensive rebound by Team,,43-61,,
2:08.0,,,43-61,,Violation by K. Durant (kicked ball)
2:02.0,R. Westbrook misses 2-pt shot from 5 ft (block by D. Green),,43-61,,
2:02.0,Offensive rebound by Team,,43-61,,
2:02.0,,,43-61,,Technical foul by D. Green
2:02.0,R. Westbrook misses technical free throw,,43-61,,
2:02.0,Offensive rebound by Team,,43-61,,
1:58.0,,,43-61,,Violation by K. Durant (kicked ball)
1:52.0,Turnover by R. Westbrook (bad pass; steal by S. Curry),,43-61,,
1:48.0,,,43-61,,Turnover by K. Thompson (step out of bounds)
1:38.0,A. Morrow misses 3-pt shot from 25 ft,,43-61,,
1:37.0,,,43-61,,Defensive rebound by D. Green
1:29.0,,,43-63,2,S. Curry makes 2-pt shot from 18 ft
1:12.0,Turnover by R. Westbrook (bad pass; steal by S. Curry),,43-63,,
1:07.0,,,43-66,3,K. Durant makes 3-pt shot from 26 ft
0:49.0,Shooting foul by K. Durant (drawn by V. Oladipo),,43-66,,
0:49.0,V. Oladipo misses free throw 1 of 2,,43-66,,
0:49.0,Offensive rebound by Team,,43-66,,
0:49.0,V. Oladipo misses free throw 2 of 2,,43-66,,
0:48.0,,,43-66,,Defensive rebound by S. Curry
0:36.0,,,43-66,,Turnover by K. Durant (lost ball)
0:36.0,,,43-66,,I. Clark enters the game for K. Thompson
0:36.0,,,43-66,,J. McAdoo enters the game for K. Durant
0:36.0,A. Abrines enters the game for J. Grant,,43-66,,
0:29.0,R. Westbrook misses 2-pt shot from 3 ft (block by J. McAdoo),,43-66,,
0:29.0,,,43-66,,Defensive rebound by D. Green
0:29.0,Personal take foul by R. Westbrook (drawn by D. Green),,43-66,,
0:29.0,,,43-67,1,D. Green makes free throw 1 of 2
0:29.0,,,43-68,1,D. Green makes free throw 2 of 2
0:14.0,Turnover by A. Morrow (traveling),,43-68,,
0:14.0,,,43-68,,Golden State full timeout
0:14.0,A. Roberson enters the game for A. Morrow,,43-68,,
0:14.0,,,43-68,,K. Durant enters the game for I. Clark
0:14.0,,,43-68,,K. Thompson enters the game for J. McAdoo
0:03.0,,,43-68,,K. Durant misses 3-pt shot from 26 ft
0:02.0,Defensive rebound by A. Abrines,,43-68,,
0:01.0,A. Abrines misses 3-pt shot from 59 ft,,43-68,,
0:00.0,Offensive rebound by Team,,43-68,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,43-68,,D. Green misses 2-pt shot from 2 ft (block by D. Sabonis)
11:42.0,Defensive rebound by A. Roberson,,43-68,,
11:35.0,A. Roberson makes 2-pt shot from 2 ft (assist by R. Westbrook),2,45-68,,
11:24.0,,,45-68,,Turnover by K. Thompson (bad pass; steal by R. Westbrook)
11:21.0,Turnover by R. Westbrook (bad pass; steal by K. Thompson),,45-68,,
11:17.0,,,45-70,2,K. Durant makes 2-pt shot at rim (assist by K. Thompson)
11:01.0,S. Adams makes 2-pt shot from 9 ft (assist by R. Westbrook),2,47-70,,
10:48.0,,,47-73,3,K. Durant makes 3-pt shot from 26 ft (assist by Z. Pachulia)
10:31.0,V. Oladipo misses 2-pt shot from 17 ft (block by D. Green),,47-73,,
10:29.0,,,47-73,,Defensive rebound by K. Durant
10:17.0,,,47-73,,K. Thompson misses 3-pt shot from 24 ft
10:17.0,Defensive rebound by A. Roberson,,47-73,,
10:01.0,Turnover by A. Roberson (lost ball; steal by Z. Pachulia),,47-73,,
9:54.0,Personal foul by A. Roberson (drawn by Z. Pachulia),,47-73,,
9:54.0,Oklahoma City full timeout,,47-73,,
9:46.0,,,47-73,,K. Thompson misses 3-pt shot from 26 ft
9:45.0,Defensive rebound by D. Sabonis,,47-73,,
9:34.0,V. Oladipo makes 3-pt shot from 27 ft (assist by R. Westbrook),3,50-73,,
9:20.0,,,50-73,,Shooting foul by D. Sabonis (drawn by D. Green)
9:20.0,,,50-74,1,D. Green makes free throw 1 of 2
9:20.0,,,50-75,1,D. Green makes free throw 2 of 2
9:07.0,Turnover by A. Roberson (bad pass),,50-75,,
8:52.0,,,50-75,,Turnover by S. Curry (bad pass; steal by S. Adams)
8:48.0,,,50-75,,Personal foul by D. Green (drawn by R. Westbrook)
8:39.0,V. Oladipo makes 2-pt shot from 19 ft,2,52-75,,
8:26.0,,,52-78,3,K. Thompson makes 3-pt shot from 26 ft (assist by Z. Pachulia)
8:15.0,Shooting foul by Z. Pachulia (drawn by R. Westbrook),,52-78,,
8:15.0,R. Westbrook makes free throw 1 of 2,1,53-78,,
8:15.0,R. Westbrook misses free throw 2 of 2,,53-78,,
8:13.0,Offensive rebound by S. Adams,,53-78,,
7:52.0,A. Roberson misses 3-pt shot from 27 ft,,53-78,,
7:51.0,,,53-78,,Defensive rebound by Z. Pachulia
7:41.0,,,53-81,3,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green)
7:28.0,D. Sabonis misses 2-pt shot from 18 ft,,53-81,,
7:27.0,,,53-81,,Defensive rebound by D. Green
7:14.0,,,53-81,,K. Thompson misses 2-pt shot from 14 ft
7:14.0,Defensive rebound by V. Oladipo,,53-81,,
6:54.0,D. Sabonis makes 2-pt shot from 7 ft,2,55-81,,
6:32.0,Personal foul by V. Oladipo (drawn by Z. Pachulia),,55-81,,
6:32.0,J. Lauvergne enters the game for D. Sabonis,,55-81,,
6:25.0,,,55-81,,Turnover by Z. Pachulia (bad pass; steal by J. Lauvergne)
6:20.0,V. Oladipo makes 2-pt shot at rim (assist by R. Westbrook),2,57-81,,
6:19.0,,,57-81,,Golden State full timeout
6:19.0,,,57-81,,A. Iguodala enters the game for K. Durant
6:01.0,,,57-84,3,S. Curry makes 3-pt shot from 26 ft
5:42.0,R. Westbrook misses 2-pt shot from 10 ft,,57-84,,
5:42.0,,,57-84,,Defensive rebound by Team
5:29.0,,,57-84,,S. Curry misses 2-pt shot from 5 ft
5:28.0,,,57-84,,Offensive rebound by Z. Pachulia
5:28.0,,,57-86,2,Z. Pachulia makes 2-pt shot from 1 ft
5:05.0,J. Lauvergne misses 3-pt shot from 23 ft,,57-86,,
5:05.0,Offensive rebound by Team,,57-86,,
5:05.0,,,57-86,,Loose ball foul by Z. Pachulia (drawn by S. Adams)
5:05.0,K. Singler enters the game for A. Roberson,,57-86,,
4:44.0,R. Westbrook makes 3-pt shot from 25 ft (assist by J. Lauvergne),3,60-86,,
4:26.0,,,60-88,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by S. Curry)
4:12.0,V. Oladipo makes 3-pt shot from 26 ft (assist by S. Adams),3,63-88,,
3:52.0,,,63-88,,K. Thompson misses 3-pt shot from 28 ft
3:52.0,Defensive rebound by R. Westbrook,,63-88,,
3:37.0,S. Adams misses 2-pt shot from 13 ft,,63-88,,
3:36.0,,,63-88,,Defensive rebound by D. Green
3:23.0,,,63-91,3,S. Curry makes 3-pt shot from 23 ft (assist by D. Green)
3:12.0,Shooting foul by K. Thompson (drawn by R. Westbrook),,63-91,,
3:12.0,R. Westbrook makes free throw 1 of 2,1,64-91,,
3:12.0,R. Westbrook makes free throw 2 of 2,1,65-91,,
3:12.0,,,64-91,,I. Clark enters the game for K. Thompson
3:12.0,,,64-91,,K. Looney enters the game for Z. Pachulia
2:58.0,,,65-93,2,S. Curry makes 2-pt shot from 2 ft
2:41.0,V. Oladipo makes 3-pt shot from 25 ft (assist by J. Lauvergne),3,68-93,,
2:27.0,,,68-93,,S. Curry misses 3-pt shot from 31 ft
2:25.0,Defensive rebound by R. Westbrook,,68-93,,
2:23.0,,,68-93,,Shooting block foul by D. Green (drawn by R. Westbrook)
2:23.0,R. Westbrook makes free throw 1 of 2,1,69-93,,
2:23.0,R. Westbrook makes free throw 2 of 2,1,70-93,,
2:23.0,A. Abrines enters the game for V. Oladipo,,69-93,,
2:06.0,,,70-95,2,K. Looney makes 2-pt shot from 2 ft (assist by S. Curry)
1:53.0,Offensive charge foul by R. Westbrook,,70-95,,
1:53.0,Turnover by R. Westbrook (offensive foul),,70-95,,
1:53.0,S. Christon enters the game for R. Westbrook,,70-95,,
1:36.0,,,70-95,,Offensive charge foul by D. Green
1:36.0,,,70-95,,Turnover by D. Green (offensive foul)
1:36.0,,,70-95,,K. Durant enters the game for S. Curry
1:25.0,S. Christon misses 2-pt shot from 18 ft,,70-95,,
1:24.0,,,70-95,,Defensive rebound by A. Iguodala
1:13.0,,,70-95,,I. Clark misses 2-pt shot from 9 ft (block by S. Adams)
1:12.0,,,70-95,,Offensive rebound by K. Looney
1:04.0,,,70-95,,D. Green misses 3-pt shot from 26 ft
1:03.0,Defensive rebound by J. Lauvergne,,70-95,,
0:53.0,Turnover by S. Adams (lost ball; steal by K. Looney),,70-95,,
0:48.0,,,70-95,,Shooting foul by K. Singler (drawn by A. Iguodala)
0:48.0,,,70-96,1,A. Iguodala makes free throw 1 of 2
0:48.0,,,70-96,,A. Iguodala misses free throw 2 of 2
0:48.0,,,70-96,,Z. Pachulia enters the game for D. Green
0:48.0,J. Grant enters the game for S. Adams,,70-96,,
0:46.0,,,70-96,,Offensive rebound by Z. Pachulia
0:35.0,,,70-96,,K. Durant misses 2-pt shot from 11 ft
0:34.0,Defensive rebound by K. Singler,,70-96,,
0:16.0,Turnover by K. Singler (bad pass; steal by Z. Pachulia),,70-96,,
0:01.0,,,70-98,2,K. Durant makes 2-pt shot from 1 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,J. Grant makes 2-pt shot from 2 ft,2,72-98,,
11:19.0,,,72-98,,K. Durant misses 3-pt shot from 26 ft
11:18.0,Defensive rebound by J. Lauvergne,,72-98,,
11:15.0,K. Singler misses 2-pt shot from 2 ft (block by A. Iguodala),,72-98,,
11:14.0,Offensive rebound by Team,,72-98,,
11:03.0,Shooting foul by S. Livingston (drawn by J. Grant),,72-98,,
11:03.0,J. Grant misses free throw 1 of 2,,72-98,,
11:03.0,Offensive rebound by Team,,72-98,,
11:03.0,J. Grant misses free throw 2 of 2,,72-98,,
11:03.0,,,72-98,,Defensive rebound by Team
11:03.0,Loose ball foul by J. Lauvergne (drawn by K. Durant),,72-98,,
10:46.0,,,72-100,2,K. Thompson makes 2-pt shot from 11 ft (assist by K. Looney)
10:35.0,Shooting foul by A. Iguodala (drawn by K. Singler),,72-100,,
10:35.0,K. Singler makes free throw 1 of 2,1,73-100,,
10:35.0,K. Singler misses free throw 2 of 2,,73-100,,
10:32.0,,,73-100,,Defensive rebound by K. Looney
10:13.0,,,73-102,2,A. Iguodala makes 2-pt shot from 20 ft
10:04.0,Shooting foul by K. Durant (drawn by J. Lauvergne),,73-102,,
10:04.0,J. Lauvergne misses free throw 1 of 2,,73-102,,
10:04.0,Offensive rebound by Team,,73-102,,
10:04.0,J. Lauvergne makes free throw 2 of 2,1,74-102,,
9:43.0,,,74-102,,A. Iguodala misses 3-pt shot from 23 ft
9:42.0,Defensive rebound by S. Christon,,74-102,,
9:32.0,A. Abrines misses 3-pt shot from 23 ft,,74-102,,
9:31.0,Offensive rebound by J. Lauvergne,,74-102,,
9:22.0,Turnover by J. Lauvergne (bad pass; steal by K. Thompson),,74-102,,
9:18.0,,,74-102,,Shooting foul by S. Christon (drawn by K. Durant)
9:18.0,,,74-102,,K. Durant misses free throw 1 of 2
9:18.0,,,74-102,,Offensive rebound by Team
9:18.0,Oklahoma City full timeout,,74-102,,
9:18.0,,,74-103,1,K. Durant makes free throw 2 of 2
9:18.0,,,74-102,,A. Varejao enters the game for K. Looney
8:58.0,S. Christon makes 2-pt shot from 17 ft,2,76-103,,
8:33.0,,,76-103,,K. Durant misses 3-pt shot from 25 ft
8:32.0,Defensive rebound by Team,,76-103,,
8:09.0,J. Grant misses 2-pt shot from 19 ft,,76-103,,
