time,Sacramento,pts.away,score,pts.home,Houston
4:13.0,Sacramento full timeout,,21-25,,
4:13.0,W. Cauley-Stein enters the game for K. Koufos,,21-25,,
3:57.0,D. Cousins misses 2-pt shot from 4 ft (block by N. Hilario),,21-25,,
3:55.0,,,21-25,,Defensive rebound by R. Anderson
3:47.0,,,21-25,,E. Gordon misses 3-pt shot from 26 ft
3:46.0,Defensive rebound by D. Cousins,,21-25,,
3:40.0,D. Collison misses 2-pt shot from 14 ft,,21-25,,
3:38.0,,,21-25,,Defensive rebound by T. Ariza
3:26.0,,,21-25,,R. Anderson misses 3-pt shot from 27 ft
3:25.0,Defensive rebound by T. Lawson,,21-25,,
3:04.0,D. Cousins misses 2-pt shot from 4 ft (block by N. Hilario),,21-25,,
3:02.0,Offensive rebound by D. Collison,,21-25,,
2:58.0,D. Collison misses 2-pt shot from 20 ft,,21-25,,
2:57.0,,,21-25,,Defensive rebound by J. Harden
2:53.0,,,21-25,,Turnover by J. Harden (bad pass)
2:53.0,,,21-25,,Loose ball foul by J. Harden (drawn by D. Collison)
2:53.0,A. Tolliver enters the game for D. Collison,,21-25,,
2:53.0,M. Richardson enters the game for D. Cousins,,21-25,,
2:53.0,,,21-25,,S. Dekker enters the game for R. Anderson
2:40.0,Turnover by T. Lawson (bad pass; steal by J. Harden),,21-25,,
2:27.0,,,21-25,,S. Dekker misses 3-pt shot from 25 ft
2:26.0,Defensive rebound by A. Tolliver,,21-25,,
2:18.0,T. Lawson misses 3-pt shot from 25 ft,,21-25,,
2:16.0,,,21-25,,Defensive rebound by J. Harden
2:14.0,,,21-27,2,E. Gordon makes 2-pt shot from 1 ft (assist by J. Harden)
1:58.0,W. Cauley-Stein misses 2-pt shot from 12 ft,,21-27,,
1:56.0,,,21-27,,Defensive rebound by T. Ariza
1:38.0,,,21-27,,N. Hilario misses 2-pt shot from 18 ft
1:37.0,Defensive rebound by W. Cauley-Stein,,21-27,,
1:30.0,G. Temple misses 3-pt shot from 24 ft,,21-27,,
1:28.0,,,21-27,,Defensive rebound by E. Gordon
1:21.0,Shooting block foul by W. Cauley-Stein (drawn by J. Harden),,21-27,,
1:21.0,,,21-28,1,J. Harden makes free throw 1 of 2
1:21.0,,,21-29,1,J. Harden makes free throw 2 of 2
1:21.0,M. Barnes enters the game for G. Temple,,21-28,,
1:21.0,,,21-28,,C. Capela enters the game for N. Hilario
0:57.0,W. Cauley-Stein misses 2-pt shot from 15 ft,,21-29,,
0:56.0,,,21-29,,Defensive rebound by C. Capela
0:43.0,,,21-29,,J. Harden misses 3-pt shot from 26 ft
0:41.0,,,21-29,,Offensive rebound by E. Gordon
0:23.0,,,21-29,,J. Harden misses 3-pt shot from 25 ft
0:21.0,Defensive rebound by M. Barnes,,21-29,,
0:03.0,M. Barnes makes 3-pt shot from 23 ft (assist by T. Lawson),3,24-29,,
0:01.0,,,24-29,,Turnover by S. Dekker (bad pass; steal by A. Tolliver)
0:00.0,W. Cauley-Stein misses 3-pt shot from 33 ft,,24-29,,
0:00.0,Offensive rebound by Team,,24-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,24-29,,E. Gordon misses 3-pt shot from 28 ft
11:42.0,Defensive rebound by W. Cauley-Stein,,24-29,,
11:24.0,Turnover by T. Lawson (step out of bounds),,24-29,,
11:07.0,,,24-29,,P. Beverley misses 2-pt shot from 11 ft
11:05.0,,,24-29,,Offensive rebound by C. Capela
11:04.0,,,24-31,2,C. Capela makes 2-pt shot from 2 ft
11:03.0,,,24-31,,Personal foul by P. Beverley (drawn by T. Lawson)
10:45.0,Turnover by W. Cauley-Stein (bad pass),,24-31,,
10:38.0,,,24-34,3,E. Gordon makes 3-pt shot from 25 ft (assist by P. Beverley)
10:23.0,Offensive charge foul by M. Richardson,,24-34,,
10:23.0,Turnover by M. Richardson (offensive foul),,24-34,,
10:11.0,,,24-34,,C. Capela misses 2-pt shot from 4 ft (block by W. Cauley-Stein)
10:11.0,Defensive rebound by Team,,24-34,,
10:11.0,Sacramento full timeout,,24-34,,
10:11.0,,,24-34,,J. Harden enters the game for C. Brewer
10:11.0,,,24-34,,C. Brewer enters the game for J. Harden
9:53.0,M. Barnes misses 3-pt shot from 30 ft,,24-34,,
9:51.0,,,24-34,,Defensive rebound by P. Beverley
9:46.0,,,24-34,,P. Beverley misses 2-pt shot from 3 ft (block by T. Lawson)
9:46.0,Defensive rebound by Team,,24-34,,
9:30.0,M. Richardson makes 2-pt shot from 22 ft,2,26-34,,
9:14.0,,,26-34,,E. Gordon misses 2-pt shot from 5 ft (block by W. Cauley-Stein)
9:12.0,Defensive rebound by M. Barnes,,26-34,,
9:04.0,T. Lawson misses 2-pt shot from 19 ft,,26-34,,
9:02.0,Offensive rebound by M. Barnes,,26-34,,
8:54.0,T. Lawson misses 2-pt shot from 1 ft (block by P. Beverley),,26-34,,
8:52.0,,,26-34,,Defensive rebound by C. Brewer
8:46.0,,,26-36,2,P. Beverley makes 2-pt shot from 2 ft
8:40.0,Turnover by M. Richardson (offensive foul),,26-36,,
8:40.0,Offensive charge foul by M. Richardson,,26-36,,
8:27.0,,,26-36,,C. Brewer misses 2-pt shot from 4 ft (block by W. Cauley-Stein)
8:26.0,,,26-36,,Offensive rebound by Team
8:26.0,Loose ball foul by M. Barnes (drawn by C. Capela),,26-36,,
8:17.0,,,26-36,,C. Capela misses 2-pt shot from 4 ft (block by A. Tolliver)
8:16.0,,,26-36,,Offensive rebound by C. Capela
8:15.0,,,26-36,,Turnover by C. Capela (traveling)
7:54.0,M. Richardson misses 2-pt shot from 18 ft,,26-36,,
7:53.0,,,26-36,,Defensive rebound by C. Capela
7:50.0,,,26-36,,Turnover by C. Capela (bad pass; steal by T. Lawson)
7:48.0,W. Cauley-Stein misses 2-pt shot from 10 ft,,26-36,,
7:47.0,,,26-36,,Defensive rebound by C. Capela
7:38.0,,,26-39,3,E. Gordon makes 3-pt shot from 26 ft (assist by C. Capela)
7:21.0,Shooting foul by C. Capela (drawn by T. Lawson),,26-39,,
7:21.0,T. Lawson misses free throw 1 of 2,,26-39,,
7:21.0,Offensive rebound by Team,,26-39,,
7:21.0,T. Lawson misses free throw 2 of 2,,26-39,,
7:21.0,A. Afflalo enters the game for M. Richardson,,26-39,,
7:21.0,,,26-39,,N. Hilario enters the game for C. Capela
7:21.0,D. Cousins enters the game for W. Cauley-Stein,,26-39,,
7:20.0,Offensive rebound by D. Cousins,,26-39,,
7:16.0,D. Cousins misses 2-pt shot from 2 ft,,26-39,,
7:14.0,,,26-39,,Defensive rebound by C. Brewer
7:08.0,,,26-39,,N. Hilario misses 2-pt shot from 3 ft (block by A. Afflalo)
7:07.0,Defensive rebound by A. Afflalo,,26-39,,
6:58.0,Turnover by A. Tolliver (back court),,26-39,,
6:44.0,,,26-41,2,E. Gordon makes 2-pt shot from 2 ft
6:24.0,M. Barnes misses 2-pt shot from 3 ft,,26-41,,
6:23.0,,,26-41,,Defensive rebound by S. Dekker
6:12.0,,,26-43,2,N. Hilario makes 2-pt shot from 18 ft
6:11.0,Sacramento full timeout,,26-43,,
6:11.0,,,26-43,,R. Anderson enters the game for E. Gordon
6:11.0,,,26-43,,J. Harden enters the game for S. Dekker
6:00.0,Turnover by A. Afflalo (lost ball),,26-43,,
5:47.0,,,26-43,,Turnover by N. Hilario (lost ball; steal by T. Lawson)
5:24.0,A. Afflalo misses 3-pt shot from 24 ft,,26-43,,
5:22.0,,,26-43,,Defensive rebound by R. Anderson
5:11.0,,,26-43,,Turnover by C. Brewer (lost ball; steal by A. Tolliver)
5:03.0,,,26-43,,Personal foul by N. Hilario (drawn by D. Cousins)
5:03.0,G. Temple enters the game for T. Lawson,,26-43,,
5:03.0,D. Collison enters the game for A. Tolliver,,26-43,,
5:03.0,,,26-43,,T. Ariza enters the game for C. Brewer
4:45.0,A. Afflalo misses 2-pt shot from 19 ft,,26-43,,
4:44.0,,,26-43,,Defensive rebound by P. Beverley
4:41.0,Violation by D. Collison (kicked ball),,26-43,,
4:27.0,,,26-45,2,N. Hilario makes 2-pt shot from 3 ft (assist by J. Harden)
4:06.0,Shooting foul by J. Harden (drawn by A. Afflalo),,26-45,,
4:06.0,A. Afflalo makes free throw 1 of 2,1,27-45,,
4:06.0,A. Afflalo misses free throw 2 of 2,,27-45,,
4:03.0,,,27-45,,Defensive rebound by P. Beverley
3:53.0,,,27-45,,Turnover by J. Harden (bad pass; steal by G. Temple)
3:48.0,G. Temple misses 2-pt shot from 1 ft,,27-45,,
3:47.0,,,27-45,,Defensive rebound by R. Anderson
3:41.0,,,27-45,,T. Ariza misses 3-pt shot from 24 ft
3:39.0,Defensive rebound by G. Temple,,27-45,,
3:32.0,D. Cousins misses 3-pt shot from 25 ft,,27-45,,
3:31.0,,,27-45,,Defensive rebound by R. Anderson
3:20.0,,,27-47,2,N. Hilario makes 2-pt shot at rim (assist by J. Harden)
3:04.0,Shooting foul by R. Anderson (drawn by A. Afflalo),,27-47,,
3:04.0,A. Afflalo makes 2-pt shot from 1 ft (assist by D. Cousins),2,29-47,,
3:04.0,A. Afflalo makes free throw 1 of 1,1,30-47,,
3:04.0,,,29-47,,E. Gordon enters the game for P. Beverley
2:50.0,,,30-47,,E. Gordon misses 3-pt shot from 25 ft
2:48.0,Defensive rebound by G. Temple,,30-47,,
2:40.0,Official timeout,,30-47,,
2:29.0,Shooting foul by N. Hilario (drawn by D. Cousins),,30-47,,
2:29.0,D. Cousins misses free throw 1 of 2,,30-47,,
2:29.0,Offensive rebound by Team,,30-47,,
2:29.0,D. Cousins makes free throw 2 of 2,1,31-47,,
2:06.0,,,31-50,3,E. Gordon makes 3-pt shot from 26 ft (assist by R. Anderson)
1:39.0,M. Barnes makes 2-pt shot from 23 ft (assist by D. Cousins),2,33-50,,
1:17.0,,,33-50,,J. Harden misses 3-pt shot from 28 ft
1:17.0,,,33-50,,Offensive rebound by R. Anderson
1:17.0,,,33-50,,Shooting foul by M. Barnes (drawn by R. Anderson)
1:17.0,,,33-51,1,R. Anderson makes free throw 1 of 2
1:17.0,,,33-52,1,R. Anderson makes free throw 2 of 2
1:03.0,M. Barnes misses 3-pt shot from 25 ft,,33-52,,
1:01.0,,,33-52,,Defensive rebound by T. Ariza
0:58.0,Personal foul by M. Barnes (drawn by R. Anderson),,33-52,,
0:58.0,,,33-52,,R. Anderson misses free throw 1 of 2
0:58.0,,,33-52,,Offensive rebound by Team
0:58.0,,,33-52,,R. Anderson misses free throw 2 of 2
0:58.0,Defensive rebound by M. Barnes,,33-52,,
0:36.0,Shooting foul by N. Hilario (drawn by D. Cousins),,33-52,,
0:36.0,D. Cousins makes free throw 1 of 2,1,34-52,,
0:36.0,D. Cousins makes free throw 2 of 2,1,35-52,,
0:26.0,,,35-54,2,T. Ariza makes 2-pt shot from 19 ft
0:02.0,D. Cousins misses 2-pt shot from 17 ft,,35-54,,
0:00.0,,,35-54,,Defensive rebound by J. Harden
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,35-54,,Turnover by J. Harden (bad pass; steal by K. Koufos)
11:22.0,D. Collison misses 2-pt shot from 18 ft,,35-54,,
11:20.0,,,35-54,,Defensive rebound by T. Ariza
11:09.0,,,35-54,,R. Anderson misses 2-pt shot from 3 ft (block by K. Koufos)
11:08.0,Defensive rebound by D. Cousins,,35-54,,
11:01.0,D. Cousins misses 2-pt shot from 3 ft,,35-54,,
11:00.0,,,35-54,,Defensive rebound by T. Ariza
10:58.0,Violation by D. Collison (kicked ball),,35-54,,
10:55.0,,,35-54,,Turnover by P. Beverley (bad pass)
10:36.0,K. Koufos makes 2-pt shot from 2 ft (assist by G. Temple),2,37-54,,
10:36.0,,,37-54,,Shooting block foul by C. Capela (drawn by K. Koufos)
10:36.0,K. Koufos misses free throw 1 of 1,,37-54,,
10:36.0,,,37-54,,Defensive rebound by R. Anderson
10:22.0,,,37-56,2,C. Capela makes 2-pt shot from 1 ft (assist by R. Anderson)
10:22.0,,,37-56,,Shooting foul by K. Koufos (drawn by C. Capela)
10:22.0,,,37-57,1,C. Capela makes free throw 1 of 1
10:03.0,Turnover by D. Cousins (bad pass),,37-57,,
10:03.0,,,37-57,,M. Harrell enters the game for C. Capela
9:56.0,,,37-57,,Shooting foul by D. Cousins (drawn by R. Anderson)
9:56.0,,,37-58,1,R. Anderson makes free throw 1 of 2
9:56.0,,,37-58,,R. Anderson misses free throw 2 of 2
9:56.0,Defensive rebound by D. Cousins,,37-58,,
9:42.0,Shooting foul by M. Harrell (drawn by D. Cousins),,37-58,,
9:42.0,D. Cousins misses free throw 1 of 2,,37-58,,
9:42.0,Offensive rebound by Team,,37-58,,
9:42.0,D. Cousins makes free throw 2 of 2,1,38-58,,
9:29.0,Sacramento full timeout,,38-58,,
9:29.0,M. Barnes enters the game for G. Temple,,38-58,,
9:19.0,,,38-58,,T. Ariza misses 2-pt shot from 22 ft
9:18.0,,,38-58,,Offensive rebound by R. Anderson
9:15.0,,,38-58,,R. Anderson misses 3-pt shot from 23 ft
9:14.0,Defensive rebound by K. Koufos,,38-58,,
8:51.0,D. Collison misses 3-pt shot from 25 ft,,38-58,,
8:49.0,,,38-58,,Defensive rebound by M. Harrell
8:39.0,,,38-58,,J. Harden misses 2-pt shot from 6 ft
8:38.0,Defensive rebound by D. Cousins,,38-58,,
8:27.0,D. Cousins misses 3-pt shot from 27 ft,,38-58,,
8:25.0,,,38-58,,Defensive rebound by T. Ariza
8:18.0,,,38-58,,Turnover by J. Harden (bad pass; steal by D. Collison)
8:12.0,D. Collison misses 2-pt shot from 3 ft,,38-58,,
8:10.0,,,38-58,,Defensive rebound by T. Ariza
8:04.0,,,38-61,3,T. Ariza makes 3-pt shot from 27 ft (assist by P. Beverley)
7:40.0,K. Koufos makes 2-pt shot from 7 ft (assist by A. Afflalo),2,40-61,,
7:22.0,,,40-64,3,R. Anderson makes 3-pt shot from 27 ft (assist by J. Harden)
7:07.0,K. Koufos makes 2-pt shot from 3 ft (assist by D. Cousins),2,42-64,,
6:43.0,,,42-67,3,R. Anderson makes 3-pt shot from 25 ft (assist by M. Harrell)
6:30.0,D. Cousins makes 2-pt shot from 3 ft (assist by D. Collison),2,44-67,,
6:21.0,,,44-67,,T. Ariza misses 3-pt shot from 25 ft
6:17.0,Defensive rebound by D. Cousins,,44-67,,
6:07.0,D. Cousins makes 2-pt shot from 7 ft,2,46-67,,
6:07.0,Shooting foul by R. Anderson (drawn by D. Cousins),,46-67,,
6:07.0,D. Cousins makes free throw 1 of 1,1,47-67,,
6:07.0,,,46-67,,E. Gordon enters the game for P. Beverley
5:49.0,,,47-69,2,M. Harrell makes 2-pt shot from 7 ft (assist by T. Ariza)
5:24.0,A. Afflalo makes 3-pt shot from 24 ft (assist by D. Cousins),3,50-69,,
5:06.0,,,50-72,3,R. Anderson makes 3-pt shot from 27 ft (assist by E. Gordon)
4:50.0,A. Afflalo misses 2-pt shot from 13 ft,,50-72,,
4:49.0,Offensive rebound by K. Koufos,,50-72,,
4:49.0,K. Koufos misses 2-pt shot from 2 ft,,50-72,,
4:48.0,,,50-72,,Defensive rebound by Team
4:39.0,,,50-72,,J. Harden misses 3-pt shot from 26 ft
4:38.0,Defensive rebound by M. Barnes,,50-72,,
4:24.0,D. Cousins misses 2-pt shot from 6 ft,,50-72,,
4:22.0,,,50-72,,Defensive rebound by J. Harden
4:14.0,,,50-72,,R. Anderson misses 3-pt shot from 26 ft
4:13.0,,,50-72,,Offensive rebound by R. Anderson
4:10.0,,,50-72,,E. Gordon misses 3-pt shot from 26 ft
4:09.0,,,50-72,,Offensive rebound by E. Gordon
4:06.0,,,50-74,2,E. Gordon makes 2-pt shot at rim
3:45.0,Turnover by D. Cousins (bad pass; steal by T. Ariza),,50-74,,
3:40.0,,,50-76,2,M. Harrell makes 2-pt shot from 2 ft (assist by T. Ariza)
3:22.0,D. Collison misses 2-pt shot from 18 ft,,50-76,,
3:21.0,,,50-76,,Defensive rebound by E. Gordon
3:15.0,,,50-76,,Shooting foul by K. Koufos (drawn by J. Harden)
3:15.0,,,50-77,1,J. Harden makes free throw 1 of 2
3:15.0,,,50-78,1,J. Harden makes free throw 2 of 2
3:15.0,A. Tolliver enters the game for D. Cousins,,50-77,,
3:15.0,M. Richardson enters the game for K. Koufos,,50-77,,
3:15.0,W. Cauley-Stein enters the game for A. Afflalo,,50-77,,
3:15.0,,,50-77,,S. Dekker enters the game for R. Anderson
2:53.0,A. Tolliver makes 2-pt shot from 20 ft (assist by M. Barnes),2,52-78,,
2:31.0,,,52-80,2,J. Harden makes 2-pt shot from 20 ft
2:21.0,M. Richardson misses 2-pt shot from 5 ft,,52-80,,
2:19.0,,,52-80,,Defensive rebound by T. Ariza
2:12.0,,,52-80,,E. Gordon misses 3-pt shot from 24 ft
2:11.0,Defensive rebound by M. Barnes,,52-80,,
2:02.0,A. Tolliver misses 3-pt shot from 27 ft,,52-80,,
2:01.0,Offensive rebound by M. Richardson,,52-80,,
1:58.0,M. Richardson misses 2-pt shot from 2 ft,,52-80,,
1:57.0,,,52-80,,Defensive rebound by S. Dekker
1:49.0,,,52-80,,T. Ariza misses 3-pt shot from 28 ft
1:48.0,Defensive rebound by M. Barnes,,52-80,,
1:46.0,Sacramento full timeout,,52-80,,
1:46.0,,,52-80,,Houston full timeout
1:46.0,,,52-80,,C. Brewer enters the game for T. Ariza
1:46.0,,,52-80,,P. Beverley enters the game for J. Harden
1:36.0,A. Tolliver makes 3-pt shot from 26 ft (assist by D. Collison),3,55-80,,
1:09.0,,,55-80,,P. Beverley misses 2-pt shot from 5 ft
1:07.0,Defensive rebound by A. Tolliver,,55-80,,
0:56.0,,,55-80,,Personal foul by E. Gordon (drawn by M. Richardson)
0:40.0,M. Barnes misses 3-pt shot from 27 ft,,55-80,,
0:38.0,,,55-80,,Defensive rebound by S. Dekker
0:31.0,,,55-80,,E. Gordon misses 3-pt shot from 28 ft
0:30.0,Defensive rebound by M. Barnes,,55-80,,
0:20.0,W. Cauley-Stein makes 2-pt shot at rim (assist by M. Barnes),2,57-80,,
0:07.0,Personal foul by D. Collison (drawn by P. Beverley),,57-80,,
0:01.0,,,57-82,2,M. Harrell makes 2-pt shot from 19 ft (assist by C. Brewer)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,M. Barnes misses 2-pt shot from 12 ft,,57-82,,
11:38.0,Offensive rebound by W. Cauley-Stein,,57-82,,
11:37.0,A. Afflalo makes 2-pt shot from 14 ft (assist by W. Cauley-Stein),2,59-82,,
11:16.0,,,59-82,,S. Dekker misses 3-pt shot from 26 ft
11:14.0,Defensive rebound by W. Cauley-Stein,,59-82,,
10:55.0,B. McLemore makes 2-pt shot from 17 ft (assist by M. Barnes),2,61-82,,
10:42.0,,,61-82,,P. Beverley misses 3-pt shot from 26 ft
10:41.0,Defensive rebound by M. Barnes,,61-82,,
10:25.0,W. Cauley-Stein misses 2-pt shot from 18 ft,,61-82,,
10:24.0,,,61-82,,Defensive rebound by S. Dekker
10:10.0,,,61-85,3,C. Brewer makes 3-pt shot from 23 ft (assist by M. Harrell)
9:59.0,,,61-85,,Personal foul by C. Brewer (drawn by M. Barnes)
9:59.0,,,61-85,,C. Capela enters the game for M. Harrell
9:53.0,W. Cauley-Stein makes 2-pt shot from 3 ft (assist by B. McLemore),2,63-85,,
9:42.0,,,63-85,,P. Beverley misses 3-pt shot from 24 ft
9:41.0,Defensive rebound by A. Tolliver,,63-85,,
9:35.0,Turnover by M. Barnes (bad pass; steal by S. Dekker),,63-85,,
9:27.0,,,63-87,2,E. Gordon makes 2-pt shot from 2 ft (assist by P. Beverley)
8:59.0,A. Afflalo misses 3-pt shot from 47 ft,,63-87,,
8:57.0,,,63-87,,Defensive rebound by C. Capela
8:53.0,,,63-87,,S. Dekker misses 2-pt shot from 2 ft
8:50.0,Defensive rebound by M. Barnes,,63-87,,
8:40.0,M. Barnes misses 3-pt shot from 25 ft,,63-87,,
8:39.0,,,63-87,,Defensive rebound by C. Capela
8:30.0,,,63-87,,C. Capela misses 2-pt shot from 3 ft
8:29.0,,,63-87,,Offensive rebound by C. Capela
8:28.0,Official timeout,,63-87,,
8:28.0,S. Labissiere enters the game for A. Afflalo,,63-87,,
8:28.0,M. Richardson enters the game for A. Tolliver,,63-87,,
8:28.0,,,63-87,,R. Anderson enters the game for S. Dekker
8:28.0,,,63-87,,J. Harden enters the game for C. Brewer
8:17.0,,,63-87,,Turnover by J. Harden (bad pass; steal by B. McLemore)
8:10.0,W. Cauley-Stein makes 2-pt shot from 3 ft (assist by B. McLemore),2,65-87,,
7:58.0,,,65-87,,Turnover by E. Gordon (step out of bounds)
7:54.0,B. McLemore misses 3-pt shot from 25 ft,,65-87,,
7:53.0,,,65-87,,Defensive rebound by C. Capela
7:40.0,,,65-87,,P. Beverley misses 3-pt shot from 24 ft
7:39.0,,,65-87,,Offensive rebound by C. Capela
7:39.0,,,65-87,,Shooting foul by B. McLemore (drawn by C. Capela)
7:39.0,,,65-87,,C. Capela misses free throw 1 of 2
7:39.0,,,65-87,,Offensive rebound by Team
7:39.0,,,65-88,1,C. Capela makes free throw 2 of 2
7:23.0,M. Richardson makes 2-pt shot from 20 ft (assist by B. McLemore),2,67-88,,
7:10.0,,,67-91,3,P. Beverley makes 3-pt shot from 24 ft (assist by R. Anderson)
6:59.0,M. Richardson misses 3-pt shot from 26 ft,,67-91,,
6:57.0,,,67-91,,Defensive rebound by E. Gordon
6:48.0,,,67-91,,P. Beverley misses 3-pt shot from 26 ft
6:46.0,Defensive rebound by M. Barnes,,67-91,,
6:41.0,M. Richardson misses 3-pt shot from 24 ft,,67-91,,
6:40.0,Offensive rebound by S. Labissiere,,67-91,,
6:26.0,W. Cauley-Stein misses 2-pt shot from 11 ft,,67-91,,
6:25.0,,,67-91,,Defensive rebound by J. Harden
6:17.0,,,67-94,3,R. Anderson makes 3-pt shot from 27 ft (assist by J. Harden)
5:55.0,W. Cauley-Stein makes 2-pt shot from 4 ft,2,69-94,,
5:37.0,,,69-94,,E. Gordon misses 3-pt shot from 27 ft
5:36.0,Defensive rebound by M. Richardson,,69-94,,
5:25.0,Turnover by M. Barnes (bad pass; steal by R. Anderson),,69-94,,
5:15.0,,,69-94,,P. Beverley misses 3-pt shot from 23 ft
5:14.0,Defensive rebound by M. Richardson,,69-94,,
5:09.0,,,69-94,,Personal foul by P. Beverley (drawn by M. Richardson)
5:09.0,,,69-94,,Houston full timeout
5:09.0,,,69-94,,S. Dekker enters the game for R. Anderson
5:09.0,,,69-94,,C. Brewer enters the game for J. Harden
5:09.0,A. Tolliver enters the game for M. Barnes,,69-94,,
4:54.0,B. McLemore misses 3-pt shot from 25 ft,,69-94,,
4:52.0,,,69-94,,Defensive rebound by C. Capela
4:35.0,,,69-94,,P. Beverley misses 2-pt shot from 20 ft
4:34.0,Defensive rebound by W. Cauley-Stein,,69-94,,
4:25.0,,,69-94,,Shooting block foul by C. Capela (drawn by M. Richardson)
