time,Phoenix,pts.away,score,pts.home,Orlando
11:14.0,,,26-22,,Turnover by D. Augustin (lost ball; steal by T. Ulis)
11:07.0,Turnover by P. Tucker (step out of bounds),,26-22,,
10:57.0,,,26-24,2,A. Gordon makes 2-pt shot from 18 ft
10:36.0,D. Bender makes 3-pt shot from 29 ft (assist by J. Dudley),3,29-24,,
10:15.0,,,29-24,,A. Gordon misses 2-pt shot from 19 ft
10:13.0,Defensive rebound by L. Barbosa,,29-24,,
10:01.0,P. Tucker makes 3-pt shot from 23 ft,3,32-24,,
9:51.0,,,32-24,,Offensive charge foul by D. Augustin
9:51.0,,,32-24,,Turnover by D. Augustin (offensive foul)
9:37.0,J. Dudley misses 3-pt shot from 27 ft,,32-24,,
9:36.0,,,32-24,,Defensive rebound by B. Biyombo
9:26.0,,,32-24,,C. Watson misses 2-pt shot from 11 ft
9:25.0,Defensive rebound by D. Bender,,32-24,,
9:20.0,D. Bender misses 2-pt shot from 2 ft,,32-24,,
9:16.0,,,32-24,,Defensive rebound by D. Rudez
9:09.0,,,32-27,3,D. Augustin makes 3-pt shot from 26 ft
8:52.0,T. Ulis misses 2-pt shot from 14 ft,,32-27,,
8:51.0,,,32-27,,Defensive rebound by D. Augustin
8:40.0,,,32-27,,A. Gordon misses 2-pt shot from 3 ft (block by D. Bender)
8:40.0,,,32-27,,Offensive rebound by Team
8:40.0,Official timeout,,32-27,,
8:40.0,Inbound foul by L. Barbosa,,32-27,,
8:40.0,,,32-27,,C. Watson misses free throw 1 of 1
8:40.0,,,32-27,,Offensive rebound by Team
8:35.0,,,32-30,3,D. Augustin makes 3-pt shot from 25 ft (assist by B. Biyombo)
8:10.0,L. Barbosa makes 2-pt shot from 3 ft (assist by P. Tucker),2,34-30,,
7:57.0,,,34-30,,D. Rudez misses 3-pt shot from 29 ft
7:54.0,Defensive rebound by D. Bender,,34-30,,
7:48.0,D. Bender misses 2-pt shot from 21 ft,,34-30,,
7:47.0,,,34-30,,Defensive rebound by C. Watson
7:43.0,,,34-30,,Offensive foul by B. Biyombo
7:43.0,,,34-30,,Turnover by B. Biyombo (offensive foul)
7:19.0,J. Dudley misses 3-pt shot from 24 ft,,34-30,,
7:18.0,,,34-30,,Defensive rebound by B. Biyombo
7:03.0,,,34-30,,A. Gordon misses 3-pt shot from 26 ft
7:03.0,Defensive rebound by Team,,34-30,,
6:40.0,J. Dudley makes 3-pt shot from 24 ft (assist by T. Ulis),3,37-30,,
6:40.0,,,37-30,,Orlando full timeout
6:40.0,,,37-30,,J. Green enters the game for A. Gordon
6:40.0,,,37-30,,N. Vucevic enters the game for D. Rudez
6:18.0,,,37-30,,B. Biyombo misses 2-pt shot from 3 ft (block by D. Bender)
6:18.0,,,37-30,,Offensive rebound by Team
6:18.0,Inbound foul by T. Ulis,,37-30,,
6:18.0,,,37-30,,D. Augustin misses free throw 1 of 1
6:18.0,,,37-30,,Offensive rebound by Team
6:09.0,,,37-32,2,C. Watson makes 2-pt shot from 11 ft
6:00.0,L. Barbosa misses 2-pt shot from 3 ft (block by B. Biyombo),,37-32,,
5:58.0,,,37-32,,Defensive rebound by N. Vucevic
5:52.0,,,37-32,,D. Augustin misses 2-pt shot from 2 ft
5:52.0,Defensive rebound by Team,,37-32,,
5:36.0,P. Tucker misses 3-pt shot from 23 ft,,37-32,,
5:35.0,,,37-32,,Defensive rebound by C. Watson
5:29.0,,,37-32,,C. Watson misses 3-pt shot from 26 ft
5:28.0,Defensive rebound by Team,,37-32,,
5:28.0,,,37-32,,S. Ibaka enters the game for B. Biyombo
5:14.0,P. Tucker makes 3-pt shot from 24 ft (assist by T. Ulis),3,40-32,,
5:14.0,,,40-32,,Orlando full timeout
5:14.0,A. Len enters the game for D. Bender,,40-32,,
5:14.0,,,40-32,,E. Fournier enters the game for D. Augustin
5:14.0,,,40-32,,E. Payton enters the game for C. Watson
4:53.0,,,40-32,,J. Green misses 3-pt shot from 26 ft
4:52.0,Defensive rebound by J. Dudley,,40-32,,
4:43.0,T. Ulis makes 2-pt shot from 6 ft,2,42-32,,
4:26.0,,,42-32,,Shooting foul by P. Tucker (drawn by E. Payton)
4:26.0,,,42-32,,E. Payton misses free throw 1 of 2
4:26.0,,,42-32,,Offensive rebound by Team
4:26.0,,,42-32,,E. Payton misses free throw 2 of 2
4:24.0,Defensive rebound by P. Tucker,,42-32,,
4:13.0,P. Tucker misses 2-pt shot from 2 ft (block by N. Vucevic),,42-32,,
4:09.0,Offensive rebound by A. Len,,42-32,,
4:02.0,L. Barbosa makes 2-pt shot from 2 ft (assist by J. Dudley),2,44-32,,
3:47.0,,,44-34,2,N. Vucevic makes 2-pt shot from 20 ft (assist by E. Payton)
3:19.0,T. Ulis misses 2-pt shot from 16 ft (block by S. Ibaka),,44-34,,
3:18.0,,,44-34,,Defensive rebound by N. Vucevic
3:08.0,,,44-37,3,E. Fournier makes 3-pt shot from 26 ft (assist by N. Vucevic)
3:08.0,Phoenix full timeout,,44-37,,
3:08.0,D. Booker enters the game for L. Barbosa,,44-37,,
3:08.0,E. Bledsoe enters the game for T. Ulis,,44-37,,
2:53.0,J. Dudley misses 3-pt shot from 23 ft,,44-37,,
2:51.0,,,44-37,,Defensive rebound by J. Green
2:33.0,,,44-37,,J. Green misses 2-pt shot from 9 ft
2:32.0,,,44-37,,Offensive rebound by N. Vucevic
2:20.0,,,44-37,,E. Fournier misses 2-pt shot from 5 ft
2:16.0,,,44-37,,Offensive rebound by N. Vucevic
2:16.0,,,44-39,2,N. Vucevic makes 2-pt shot from 1 ft
2:05.0,D. Booker misses 2-pt shot from 11 ft,,44-39,,
2:04.0,,,44-39,,Defensive rebound by N. Vucevic
1:55.0,,,44-39,,S. Ibaka misses 2-pt shot from 1 ft
1:53.0,Defensive rebound by A. Len,,44-39,,
1:44.0,E. Bledsoe misses 3-pt shot from 26 ft,,44-39,,
1:40.0,,,44-39,,Defensive rebound by E. Payton
1:33.0,,,44-39,,J. Green misses 2-pt shot from 5 ft
1:31.0,,,44-39,,Offensive rebound by J. Green
1:31.0,,,44-39,,Shooting foul by A. Len (drawn by J. Green)
1:31.0,,,44-40,1,J. Green makes free throw 1 of 2
1:31.0,,,44-40,,J. Green misses free throw 2 of 2
1:31.0,B. Knight enters the game for J. Dudley,,44-40,,
1:30.0,Defensive rebound by P. Tucker,,44-40,,
1:09.0,P. Tucker misses 2-pt shot at rim,,44-40,,
1:08.0,,,44-40,,Defensive rebound by N. Vucevic
0:50.0,,,44-42,2,S. Ibaka makes 2-pt shot from 12 ft (assist by E. Payton)
0:34.0,A. Len makes 2-pt shot from 2 ft (assist by E. Bledsoe),2,46-42,,
0:29.0,,,46-42,,E. Payton misses 2-pt shot from 1 ft (block by E. Bledsoe)
0:25.0,,,46-42,,Offensive rebound by E. Payton
0:14.0,,,46-44,2,E. Fournier makes 2-pt shot from 2 ft
0:00.0,P. Tucker misses 3-pt shot from 26 ft,,46-44,,
0:00.0,Offensive rebound by Team,,46-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,B. Knight misses 3-pt shot from 29 ft,,46-44,,
11:37.0,,,46-44,,Defensive rebound by E. Payton
11:30.0,,,46-44,,Offensive foul by J. Green
11:30.0,,,46-44,,Turnover by J. Green (offensive foul)
11:17.0,Turnover by D. Booker (bad pass; steal by E. Fournier),,46-44,,
10:59.0,,,46-44,,E. Payton misses 3-pt shot from 23 ft
10:58.0,Defensive rebound by A. Len,,46-44,,
10:53.0,,,46-44,,Personal block foul by S. Ibaka (drawn by D. Booker)
10:48.0,A. Len misses 2-pt shot from 2 ft (block by S. Ibaka),,46-44,,
10:45.0,,,46-44,,Defensive rebound by N. Vucevic
10:37.0,,,46-44,,S. Ibaka misses 3-pt shot from 27 ft
10:35.0,,,46-44,,Offensive rebound by E. Payton
10:31.0,,,46-46,2,N. Vucevic makes 2-pt shot from 19 ft (assist by E. Payton)
10:20.0,,,46-46,,Personal foul by E. Fournier (drawn by B. Knight)
10:17.0,M. Chriss misses 2-pt shot from 3 ft,,46-46,,
10:15.0,,,46-46,,Defensive rebound by E. Payton
10:10.0,,,46-46,,S. Ibaka misses 2-pt shot from 5 ft (block by M. Chriss)
10:07.0,,,46-46,,Offensive rebound by E. Fournier
10:05.0,,,46-49,3,E. Fournier makes 3-pt shot from 25 ft (assist by N. Vucevic)
10:05.0,Phoenix full timeout,,46-49,,
9:58.0,Offensive foul by A. Len,,46-49,,
9:58.0,Turnover by A. Len (offensive foul),,46-49,,
9:46.0,,,46-49,,S. Ibaka misses 3-pt shot from 29 ft
9:45.0,Defensive rebound by E. Bledsoe,,46-49,,
9:29.0,Turnover by A. Len (bad pass; steal by E. Fournier),,46-49,,
9:24.0,,,46-49,,Turnover by E. Payton (lost ball; steal by M. Chriss)
9:22.0,Shooting foul by J. Green (drawn by M. Chriss),,46-49,,
9:22.0,M. Chriss makes free throw 1 of 2,1,47-49,,
9:22.0,M. Chriss makes free throw 2 of 2,1,48-49,,
9:08.0,,,48-51,2,N. Vucevic makes 2-pt shot from 8 ft (assist by J. Green)
8:53.0,D. Booker misses 3-pt shot from 26 ft,,48-51,,
8:53.0,,,48-51,,Defensive rebound by Team
8:35.0,,,48-51,,J. Green misses 2-pt shot from 2 ft
8:33.0,,,48-51,,Offensive rebound by S. Ibaka
8:33.0,,,48-51,,S. Ibaka misses 2-pt shot from 1 ft
8:32.0,,,48-51,,Offensive rebound by S. Ibaka
8:29.0,,,48-51,,Turnover by S. Ibaka (bad pass; steal by D. Booker)
8:09.0,Turnover by D. Booker (lost ball; steal by E. Fournier),,48-51,,
8:04.0,,,48-51,,E. Fournier misses 2-pt shot from 1 ft (block by D. Booker)
8:01.0,Defensive rebound by E. Bledsoe,,48-51,,
7:56.0,E. Bledsoe makes 2-pt shot from 19 ft,2,50-51,,
7:42.0,,,50-54,3,S. Ibaka makes 3-pt shot from 26 ft (assist by E. Payton)
7:35.0,Turnover by E. Bledsoe (bad pass),,50-54,,
7:25.0,,,50-54,,N. Vucevic misses 2-pt shot from 19 ft
7:24.0,Defensive rebound by M. Chriss,,50-54,,
7:05.0,D. Booker misses 2-pt shot from 20 ft (block by J. Green),,50-54,,
7:02.0,Offensive rebound by A. Len,,50-54,,
7:01.0,A. Len makes 2-pt shot at rim,2,52-54,,
6:47.0,,,52-54,,Shooting foul by D. Booker (drawn by N. Vucevic)
6:47.0,,,52-55,1,N. Vucevic makes free throw 1 of 2
6:47.0,,,52-55,,N. Vucevic misses free throw 2 of 2
6:45.0,Defensive rebound by E. Bledsoe,,52-55,,
6:34.0,B. Knight makes 2-pt shot from 3 ft,2,54-55,,
6:14.0,,,54-57,2,E. Fournier makes 2-pt shot from 12 ft
5:55.0,D. Booker makes 2-pt shot from 15 ft,2,56-57,,
5:37.0,,,56-57,,J. Green misses 2-pt shot from 16 ft
5:37.0,Defensive rebound by Team,,56-57,,
5:37.0,,,56-57,,Personal foul by S. Ibaka (drawn by E. Bledsoe)
5:24.0,B. Knight makes 2-pt shot from 18 ft,2,58-57,,
5:04.0,,,58-57,,E. Payton misses 2-pt shot from 15 ft
5:03.0,Defensive rebound by E. Bledsoe,,58-57,,
4:59.0,E. Bledsoe makes 2-pt shot from 1 ft,2,60-57,,
4:58.0,,,60-57,,Orlando full timeout
4:58.0,,,60-57,,B. Biyombo enters the game for N. Vucevic
4:58.0,,,60-57,,A. Gordon enters the game for J. Green
4:41.0,,,60-57,,E. Fournier misses 3-pt shot from 26 ft
4:39.0,Defensive rebound by A. Len,,60-57,,
4:26.0,E. Bledsoe misses 2-pt shot from 15 ft,,60-57,,
4:24.0,,,60-57,,Defensive rebound by B. Biyombo
4:02.0,,,60-57,,S. Ibaka misses 2-pt shot from 8 ft
4:01.0,Defensive rebound by A. Len,,60-57,,
3:40.0,M. Chriss makes 3-pt shot from 27 ft (assist by B. Knight),3,63-57,,
3:23.0,,,63-59,2,E. Payton makes 2-pt shot from 13 ft
2:57.0,B. Knight misses 3-pt shot from 26 ft,,63-59,,
2:56.0,,,63-59,,Defensive rebound by A. Gordon
2:31.0,,,63-61,2,A. Gordon makes 2-pt shot from 17 ft
2:07.0,A. Len makes 2-pt shot from 10 ft (assist by E. Bledsoe),2,65-61,,
1:54.0,,,65-61,,Turnover by S. Ibaka (lost ball; steal by D. Booker)
1:43.0,B. Knight misses 2-pt shot from 3 ft (block by B. Biyombo),,65-61,,
1:41.0,Offensive rebound by M. Chriss,,65-61,,
1:41.0,,,65-61,,Personal foul by S. Ibaka (drawn by M. Chriss)
1:41.0,M. Chriss makes free throw 1 of 2,1,66-61,,
1:41.0,M. Chriss misses free throw 2 of 2,,66-61,,
1:41.0,,,66-61,,D. Rudez enters the game for S. Ibaka
1:41.0,,,66-61,,D. Augustin enters the game for E. Payton
1:36.0,,,66-61,,Defensive rebound by B. Biyombo
1:26.0,,,66-61,,Shooting foul by D. Booker (drawn by D. Augustin)
1:26.0,,,66-62,1,D. Augustin makes free throw 1 of 2
1:26.0,,,66-63,1,D. Augustin makes free throw 2 of 2
1:15.0,A. Len makes 2-pt shot at rim (assist by B. Knight),2,68-63,,
0:49.0,,,68-66,3,A. Gordon makes 3-pt shot from 27 ft (assist by D. Augustin)
0:39.0,E. Bledsoe misses 2-pt shot from 1 ft,,68-66,,
0:37.0,,,68-66,,Defensive rebound by B. Biyombo
0:28.0,,,68-66,,D. Rudez misses 3-pt shot from 25 ft
0:27.0,,,68-66,,Offensive rebound by Team
0:10.0,,,68-66,,E. Fournier misses 3-pt shot from 26 ft
0:08.0,Defensive rebound by M. Chriss,,68-66,,
0:01.0,Turnover by E. Bledsoe (lost ball; steal by D. Rudez),,68-66,,
0:00.0,,,68-66,,E. Fournier misses 3-pt shot from 40 ft
0:00.0,,,68-66,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,68-66,,D. Augustin misses 2-pt shot from 14 ft
11:45.0,Defensive rebound by J. Dudley,,68-66,,
11:31.0,D. Booker makes 2-pt shot from 21 ft,2,70-66,,
11:16.0,,,70-66,,B. Biyombo misses 2-pt shot from 5 ft
11:15.0,Defensive rebound by L. Barbosa,,70-66,,
10:57.0,D. Booker misses 2-pt shot from 2 ft (block by A. Gordon),,70-66,,
10:54.0,,,70-66,,Defensive rebound by D. Augustin
10:48.0,,,70-68,2,D. Augustin makes 2-pt shot from 19 ft
10:32.0,Shooting foul by B. Biyombo (drawn by A. Len),,70-68,,
10:32.0,A. Len makes free throw 1 of 2,1,71-68,,
10:32.0,A. Len makes free throw 2 of 2,1,72-68,,
10:32.0,P. Tucker enters the game for D. Booker,,71-68,,
10:20.0,,,72-70,2,D. Augustin makes 2-pt shot from 2 ft
10:08.0,Turnover by T. Ulis (traveling),,72-70,,
10:08.0,D. Bender enters the game for A. Len,,72-70,,
9:54.0,,,72-70,,Offensive charge foul by A. Gordon
9:54.0,,,72-70,,Turnover by A. Gordon (offensive foul)
9:39.0,P. Tucker misses 2-pt shot from 3 ft,,72-70,,
9:39.0,Offensive rebound by P. Tucker,,72-70,,
9:30.0,T. Ulis misses 2-pt shot from 22 ft,,72-70,,
9:28.0,,,72-70,,Defensive rebound by B. Biyombo
9:28.0,Personal foul by J. Dudley (drawn by B. Biyombo),,72-70,,
9:11.0,,,72-70,,Turnover by A. Gordon (bad pass; steal by P. Tucker)
8:59.0,Shooting foul by A. Gordon (drawn by J. Dudley),,72-70,,
8:59.0,Official timeout,,72-70,,
8:59.0,J. Dudley makes free throw 1 of 2,1,73-70,,
8:59.0,J. Dudley makes free throw 2 of 2,1,74-70,,
8:36.0,,,74-70,,M. Hezonja misses 3-pt shot from 27 ft
8:33.0,Defensive rebound by P. Tucker,,74-70,,
8:18.0,Turnover by T. Ulis (bad pass; steal by C. Watson),,74-70,,
8:14.0,,,74-70,,Shooting foul by J. Dudley (drawn by M. Hezonja)
8:14.0,,,74-71,1,M. Hezonja makes free throw 1 of 2
8:14.0,,,74-71,,M. Hezonja misses free throw 2 of 2
8:13.0,Defensive rebound by P. Tucker,,74-71,,
7:52.0,Turnover by P. Tucker (traveling),,74-71,,
7:52.0,,,74-71,,N. Vucevic enters the game for M. Hezonja
7:36.0,,,74-71,,D. Augustin misses 2-pt shot from 5 ft
7:36.0,,,74-71,,Offensive rebound by Team
7:36.0,Loose ball foul by J. Dudley (drawn by A. Gordon),,74-71,,
7:33.0,,,74-71,,A. Gordon misses 2-pt shot from 17 ft
7:32.0,Defensive rebound by P. Tucker,,74-71,,
7:20.0,Turnover by D. Bender (traveling),,74-71,,
7:06.0,,,74-73,2,N. Vucevic makes 2-pt shot from 19 ft (assist by D. Augustin)
6:39.0,P. Tucker makes 2-pt shot from 6 ft,2,76-73,,
6:19.0,,,76-73,,D. Augustin misses 3-pt shot from 25 ft
6:18.0,Defensive rebound by D. Bender,,76-73,,
6:08.0,Turnover by T. Ulis (bad pass; steal by C. Watson),,76-73,,
6:06.0,Personal take foul by D. Bender (drawn by C. Watson),,76-73,,
6:06.0,,,76-73,,E. Fournier enters the game for A. Gordon
5:53.0,,,76-73,,N. Vucevic misses 2-pt shot from 6 ft
5:51.0,Defensive rebound by D. Bender,,76-73,,
5:37.0,Turnover by T. Ulis (bad pass; steal by N. Vucevic),,76-73,,
5:31.0,,,76-75,2,N. Vucevic makes 2-pt shot from 2 ft (assist by C. Watson)
5:21.0,Phoenix full timeout,,76-75,,
5:21.0,D. Booker enters the game for D. Bender,,76-75,,
5:21.0,E. Bledsoe enters the game for L. Barbosa,,76-75,,
5:21.0,A. Len enters the game for T. Ulis,,76-75,,
5:21.0,,,76-75,,S. Ibaka enters the game for B. Biyombo
5:08.0,E. Bledsoe makes 3-pt shot from 26 ft,3,79-75,,
4:45.0,,,79-75,,C. Watson misses 3-pt shot from 26 ft
4:43.0,Defensive rebound by E. Bledsoe,,79-75,,
4:30.0,E. Bledsoe makes 2-pt shot from 2 ft,2,81-75,,
4:30.0,Shooting foul by N. Vucevic (drawn by E. Bledsoe),,81-75,,
4:30.0,E. Bledsoe misses free throw 1 of 1,,81-75,,
4:30.0,,,81-75,,E. Payton enters the game for D. Augustin
4:30.0,,,81-75,,J. Green enters the game for C. Watson
4:28.0,,,81-75,,Defensive rebound by N. Vucevic
4:07.0,,,81-75,,E. Fournier misses 3-pt shot from 25 ft
4:06.0,Defensive rebound by E. Bledsoe,,81-75,,
3:48.0,E. Bledsoe misses 3-pt shot from 28 ft,,81-75,,
3:47.0,,,81-75,,Defensive rebound by E. Fournier
3:41.0,,,81-75,,Shooting foul by P. Tucker (drawn by E. Fournier)
3:41.0,,,81-75,,E. Fournier misses free throw 1 of 2
3:41.0,,,81-75,,Offensive rebound by Team
3:41.0,,,81-76,1,E. Fournier makes free throw 2 of 2
3:41.0,B. Knight enters the game for J. Dudley,,81-75,,
3:22.0,D. Booker makes 2-pt shot from 17 ft (assist by E. Bledsoe),2,83-76,,
3:15.0,,,83-76,,Orlando full timeout
3:15.0,,,83-76,,D. Augustin enters the game for J. Green
3:02.0,,,83-76,,E. Fournier misses 2-pt shot from 22 ft
3:01.0,Defensive rebound by A. Len,,83-76,,
2:42.0,,,83-76,,Shooting block foul by D. Augustin (drawn by E. Bledsoe)
2:42.0,E. Bledsoe misses free throw 1 of 2,,83-76,,
2:42.0,Offensive rebound by Team,,83-76,,
2:42.0,E. Bledsoe makes free throw 2 of 2,1,84-76,,
2:27.0,,,84-78,2,N. Vucevic makes 2-pt shot from 17 ft (assist by E. Fournier)
2:12.0,Shooting foul by N. Vucevic (drawn by A. Len),,84-78,,
2:12.0,A. Len makes free throw 1 of 2,1,85-78,,
2:12.0,A. Len misses free throw 2 of 2,,85-78,,
2:11.0,,,85-78,,Defensive rebound by N. Vucevic
1:55.0,,,85-80,2,E. Fournier makes 2-pt shot from 1 ft
