time,Golden State,pts.away,score,pts.home,Portland
0:29.0,S. Curry makes free throw 1 of 2,1,29-35,,
0:29.0,S. Curry makes free throw 2 of 2,1,30-35,,
0:29.0,,,29-35,,C. McCollum enters the game for A. Aminu
0:29.0,K. Thompson enters the game for J. McGee,,29-35,,
0:05.0,,,30-37,2,D. Lillard makes 2-pt shot from 10 ft
0:00.0,A. Iguodala misses 3-pt shot from 27 ft,,30-37,,
0:00.0,Offensive rebound by Team,,30-37,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,Turnover by D. West (bad pass; steal by A. Aminu),,30-37,,
11:36.0,,,30-37,,Shooting foul by I. Clark
11:36.0,,,30-38,1,C. McCollum makes free throw 1 of 2
11:36.0,,,30-39,1,C. McCollum makes free throw 2 of 2
11:36.0,,,30-38,,J. Nurkic enters the game for N. Vonleh
11:22.0,D. West makes 2-pt shot from 2 ft (assist by D. Green),2,32-39,,
10:54.0,,,32-41,2,A. Aminu makes 2-pt shot from 19 ft (assist by E. Turner)
10:44.0,Turnover by D. West (bad pass; steal by C. McCollum),,32-41,,
10:36.0,,,32-43,2,C. McCollum makes 2-pt shot from 3 ft
10:24.0,K. Thompson misses 3-pt shot from 26 ft,,32-43,,
10:24.0,Offensive rebound by D. West,,32-43,,
10:12.0,I. Clark misses 2-pt shot at rim,,32-43,,
10:11.0,,,32-43,,Defensive rebound by J. Nurkic
9:58.0,,,32-43,,C. McCollum misses 2-pt shot from 21 ft (block by D. West)
9:56.0,Defensive rebound by A. Iguodala,,32-43,,
9:50.0,Shooting foul by A. Crabbe (drawn by K. Thompson),,32-43,,
9:50.0,K. Thompson misses free throw 1 of 2,,32-43,,
9:50.0,Offensive rebound by Team,,32-43,,
9:50.0,K. Thompson makes free throw 2 of 2,1,33-43,,
9:37.0,,,33-45,2,A. Aminu makes 2-pt shot at rim
9:26.0,Turnover by D. Green (lost ball; steal by E. Turner),,33-45,,
9:17.0,,,33-48,3,A. Crabbe makes 3-pt shot from 25 ft (assist by A. Aminu)
9:17.0,,,33-48,,Shooting foul by I. Clark (drawn by A. Crabbe)
9:17.0,Golden State full timeout,,33-48,,
9:17.0,,,33-49,1,A. Crabbe makes free throw 1 of 1
9:17.0,,,33-48,,M. Harkless enters the game for A. Aminu
8:57.0,K. Thompson makes 2-pt shot from 14 ft,2,35-49,,
8:33.0,,,35-51,2,E. Turner makes 2-pt shot at rim (assist by J. Nurkic)
8:13.0,K. Thompson makes 2-pt shot from 17 ft,2,37-51,,
7:54.0,,,37-51,,M. Harkless misses 2-pt shot from 1 ft (block by D. Green)
7:52.0,Defensive rebound by D. West,,37-51,,
7:54.0,,,37-51,,A. Aminu enters the game for J. Nurkic
7:54.0,P. McCaw enters the game for D. Green,,37-51,,
7:52.0,Jump ball: M. Harkless vs. D. West (K. Thompson gains possession),,,,Jump ball: M. Harkless vs. D. West (K. Thompson gains possession)
7:38.0,K. Thompson misses 2-pt shot from 2 ft,,37-51,,
7:37.0,,,37-51,,Defensive rebound by A. Aminu
7:30.0,,,37-51,,C. McCollum misses 2-pt shot from 17 ft
7:29.0,Defensive rebound by I. Clark,,37-51,,
7:23.0,K. Thompson misses 2-pt shot from 20 ft,,37-51,,
7:22.0,,,37-51,,Defensive rebound by A. Crabbe
7:10.0,Personal block foul by K. Thompson,,37-51,,
7:10.0,S. Curry enters the game for K. Thompson,,37-51,,
7:02.0,,,37-51,,C. McCollum misses 2-pt shot from 14 ft
7:00.0,Defensive rebound by I. Clark,,37-51,,
6:53.0,I. Clark makes 2-pt shot from 5 ft,2,39-51,,
6:53.0,Shooting foul by E. Turner (drawn by I. Clark),,39-51,,
6:53.0,I. Clark makes free throw 1 of 1,1,40-51,,
6:41.0,Personal foul by S. Curry (drawn by E. Turner),,40-51,,
6:41.0,,,40-51,,D. Lillard enters the game for A. Crabbe
6:31.0,,,40-51,,E. Turner misses 2-pt shot from 20 ft
6:30.0,Defensive rebound by D. West,,40-51,,
6:27.0,S. Curry makes 3-pt shot from 26 ft,3,43-51,,
6:25.0,,,43-51,,Portland full timeout
6:06.0,,,43-53,2,A. Aminu makes 2-pt shot from 1 ft
5:44.0,S. Curry makes 2-pt shot from 4 ft,2,45-53,,
5:33.0,,,45-56,3,D. Lillard makes 3-pt shot from 26 ft
5:15.0,D. West makes 2-pt shot from 3 ft (assist by A. Iguodala),2,47-56,,
4:54.0,K. Thompson enters the game for I. Clark,,47-56,,
4:54.0,D. Green enters the game for A. Iguodala,,47-56,,
4:50.0,,,47-56,,M. Harkless misses 2-pt shot from 2 ft (block by D. Green)
4:48.0,,,47-56,,Offensive rebound by E. Turner
4:45.0,,,47-56,,E. Turner misses 2-pt shot from 13 ft
4:44.0,Defensive rebound by D. West,,47-56,,
4:31.0,D. West misses 2-pt shot from 5 ft (block by E. Turner),,47-56,,
4:31.0,,,47-56,,Defensive rebound by E. Turner
4:31.0,Flagrant foul type 1 by D. West (drawn by E. Turner),,47-56,,
4:31.0,,,47-56,,Technical foul by E. Turner
4:31.0,S. Curry makes technical free throw,1,48-56,,
4:31.0,,,48-57,1,E. Turner makes flagrant free throw 1 of 2
4:31.0,,,48-58,1,E. Turner makes flagrant free throw 2 of 2
4:31.0,A. Iguodala enters the game for D. West,,48-56,,
4:31.0,,,48-56,,N. Vonleh enters the game for M. Harkless
4:13.0,,,48-61,3,C. McCollum makes 3-pt shot from 27 ft (assist by E. Turner)
3:52.0,S. Curry misses 2-pt shot from 20 ft,,48-61,,
3:50.0,,,48-61,,Defensive rebound by E. Turner
3:45.0,,,48-61,,D. Lillard misses 3-pt shot from 29 ft
3:43.0,,,48-61,,Offensive rebound by C. McCollum
3:40.0,,,48-61,,C. McCollum misses 2-pt shot from 5 ft
3:38.0,Defensive rebound by K. Thompson,,48-61,,
3:25.0,K. Thompson misses 2-pt shot from 14 ft,,48-61,,
3:22.0,,,48-61,,Defensive rebound by A. Aminu
3:07.0,Personal foul by P. McCaw (drawn by D. Lillard),,48-61,,
3:07.0,,,48-62,1,D. Lillard makes free throw 1 of 2
3:07.0,,,48-63,1,D. Lillard makes free throw 2 of 2
2:56.0,K. Thompson misses 2-pt shot from 2 ft,,48-63,,
2:55.0,,,48-63,,Defensive rebound by A. Aminu
2:40.0,,,48-63,,Turnover by N. Vonleh (lost ball; steal by P. McCaw)
2:35.0,S. Curry misses 2-pt shot from 2 ft,,48-63,,
2:33.0,,,48-63,,Defensive rebound by A. Aminu
2:23.0,,,48-63,,Shooting foul by P. McCaw
2:23.0,Official timeout,,48-63,,
2:23.0,,,48-64,1,C. McCollum makes free throw 1 of 2
2:23.0,,,48-65,1,C. McCollum makes free throw 2 of 2
2:09.0,S. Curry misses 3-pt shot from 26 ft,,48-65,,
2:08.0,,,48-65,,Defensive rebound by A. Aminu
1:59.0,,,48-65,,D. Lillard misses 3-pt shot from 31 ft
1:59.0,Defensive rebound by Team,,48-65,,
1:59.0,J. McGee enters the game for P. McCaw,,48-65,,
1:45.0,J. McGee makes 2-pt shot at rim (assist by D. Green),2,50-65,,
1:24.0,,,50-65,,Turnover by C. McCollum (lost ball; steal by J. McGee)
1:13.0,Shooting foul by N. Vonleh (drawn by D. Green),,50-65,,
1:13.0,D. Green misses free throw 1 of 2,,50-65,,
1:13.0,Offensive rebound by Team,,50-65,,
1:13.0,D. Green makes free throw 2 of 2,1,51-65,,
0:55.0,,,51-65,,Offensive charge foul by N. Vonleh
