time,San Antonio,pts.away,score,pts.home,Toronto
6:01.0,L. Aldridge makes 2-pt shot from 22 ft (assist by D. Dedmon),2,12-9,,
5:39.0,,,12-9,,D. Carroll misses 2-pt shot from 10 ft
5:38.0,Defensive rebound by K. Anderson,,12-9,,
5:26.0,M. Ginobili misses 3-pt shot from 24 ft,,12-9,,
5:25.0,,,12-9,,Defensive rebound by J. Valanciunas
5:21.0,Personal foul by P. Mills,,12-9,,
5:21.0,,,12-10,1,K. Lowry makes free throw 1 of 3
5:21.0,,,12-11,1,K. Lowry makes free throw 2 of 3
5:21.0,,,12-12,1,K. Lowry makes free throw 3 of 3
5:21.0,,,12-11,,L. Nogueira enters the game for J. Sullinger
5:07.0,L. Aldridge misses 2-pt shot from 10 ft,,12-12,,
5:06.0,,,12-12,,Defensive rebound by K. Lowry
4:51.0,,,12-12,,K. Lowry misses 2-pt shot from 9 ft
4:51.0,Defensive rebound by L. Aldridge,,12-12,,
4:36.0,P. Mills makes 2-pt shot from 14 ft (assist by D. Dedmon),2,14-12,,
4:16.0,D. Bertans enters the game for K. Anderson,,14-12,,
4:16.0,,,14-12,,P. Patterson enters the game for J. Valanciunas
4:12.0,,,14-12,,D. Carroll misses 3-pt shot from 25 ft
4:10.0,Defensive rebound by D. Dedmon,,14-12,,
3:58.0,L. Aldridge makes 2-pt shot from 9 ft,2,16-12,,
3:39.0,,,16-14,2,K. Lowry makes 2-pt shot from 1 ft
3:39.0,,,16-14,,Shooting foul by D. Dedmon (drawn by K. Lowry)
3:39.0,,,16-15,1,K. Lowry makes free throw 1 of 1
3:39.0,D. Green enters the game for L. Aldridge,,16-14,,
3:39.0,,,16-14,,T. Ross enters the game for D. Carroll
3:27.0,M. Ginobili misses 2-pt shot from 3 ft (block by L. Nogueira),,16-15,,
3:25.0,Offensive rebound by Team,,16-15,,
3:18.0,M. Ginobili misses 2-pt shot from 2 ft,,16-15,,
3:16.0,Offensive rebound by D. Dedmon,,16-15,,
3:16.0,D. Dedmon makes 2-pt shot from 2 ft,2,18-15,,
3:00.0,,,18-15,,N. Powell misses 2-pt shot from 1 ft
2:59.0,Defensive rebound by D. Bertans,,18-15,,
2:48.0,P. Mills makes 2-pt shot from 2 ft,2,20-15,,
2:37.0,,,20-17,2,K. Lowry makes 2-pt shot from 7 ft
2:26.0,Shooting foul by L. Nogueira (drawn by D. Dedmon),,20-17,,
2:26.0,San Antonio full timeout,,20-17,,
2:26.0,D. Dedmon makes free throw 1 of 2,1,21-17,,
2:26.0,D. Dedmon makes free throw 2 of 2,1,22-17,,
2:26.0,,,20-17,,C. Joseph enters the game for K. Lowry
2:12.0,,,22-17,,Turnover by T. Ross (lost ball)
2:02.0,Turnover by P. Mills (lost ball; steal by C. Joseph),,22-17,,
1:53.0,,,22-19,2,N. Powell makes 2-pt shot from 2 ft (assist by C. Joseph)
1:41.0,D. Bertans makes 3-pt shot from 25 ft,3,25-19,,
1:37.0,,,25-19,,Turnover by T. Ross (bad pass; steal by P. Mills)
1:32.0,P. Mills makes 2-pt shot at rim,2,27-19,,
1:14.0,,,27-21,2,N. Powell makes 2-pt shot from 1 ft
1:00.0,Turnover by M. Ginobili (lost ball; steal by T. Ross),,27-21,,
0:57.0,,,27-23,2,N. Powell makes 2-pt shot at rim
0:46.0,D. Bertans makes 2-pt shot from 9 ft,2,29-23,,
0:33.0,,,29-25,2,C. Joseph makes 2-pt shot from 22 ft
0:15.0,D. Bertans misses 3-pt shot from 26 ft,,29-25,,
0:15.0,,,29-25,,Defensive rebound by N. Powell
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,D. Dedmon makes 2-pt shot from 4 ft,2,31-25,,
11:29.0,,,31-25,,Turnover by K. Lowry (lost ball; steal by M. Ginobili)
11:21.0,M. Ginobili makes 3-pt shot from 25 ft (assist by D. Green),3,34-25,,
11:05.0,,,34-27,2,T. Ross makes 2-pt shot from 20 ft
10:50.0,M. Ginobili makes 2-pt shot from 21 ft,2,36-27,,
10:35.0,,,36-27,,Turnover by K. Lowry (lost ball)
10:35.0,K. Anderson enters the game for P. Mills,,36-27,,
10:35.0,D. Murray enters the game for M. Ginobili,,36-27,,
10:35.0,B. Forbes enters the game for D. Green,,36-27,,
10:24.0,K. Anderson misses 2-pt shot from 16 ft,,36-27,,
10:20.0,,,36-27,,Defensive rebound by C. Joseph
10:11.0,,,36-29,2,P. Patterson makes 2-pt shot from 16 ft
10:02.0,B. Forbes makes 2-pt shot from 14 ft (assist by D. Murray),2,38-29,,
9:38.0,,,38-32,3,P. Patterson makes 3-pt shot from 25 ft (assist by L. Nogueira)
9:38.0,San Antonio full timeout,,38-32,,
9:38.0,L. Aldridge enters the game for D. Dedmon,,38-32,,
9:38.0,D. Lee enters the game for D. Bertans,,38-32,,
9:17.0,L. Aldridge misses 2-pt shot from 19 ft,,38-32,,
9:14.0,,,38-32,,Defensive rebound by P. Patterson
9:10.0,,,38-32,,Shooting foul by B. Forbes (drawn by K. Lowry)
9:10.0,,,38-32,,K. Lowry misses free throw 1 of 3
9:10.0,,,38-32,,Offensive rebound by Team
9:10.0,,,38-33,1,K. Lowry makes free throw 2 of 3
9:10.0,,,38-34,1,K. Lowry makes free throw 3 of 3
8:47.0,L. Aldridge makes 2-pt shot from 20 ft (assist by K. Anderson),2,40-34,,
8:28.0,,,40-36,2,P. Patterson makes 2-pt shot from 11 ft
8:19.0,Offensive charge foul by D. Murray,,40-36,,
8:19.0,Turnover by D. Murray (offensive foul),,40-36,,
8:09.0,,,40-38,2,L. Nogueira makes 2-pt shot at rim (assist by C. Joseph)
8:09.0,San Antonio full timeout,,40-38,,
7:48.0,Shooting foul by L. Nogueira (drawn by K. Anderson),,40-38,,
7:48.0,K. Anderson makes free throw 1 of 2,1,41-38,,
7:48.0,K. Anderson makes free throw 2 of 2,1,42-38,,
7:35.0,,,42-38,,K. Lowry misses 3-pt shot from 26 ft
7:33.0,,,42-38,,Offensive rebound by L. Nogueira
7:30.0,,,42-38,,L. Nogueira misses 2-pt shot from 2 ft
7:26.0,,,42-38,,Offensive rebound by L. Nogueira
7:26.0,,,42-38,,L. Nogueira misses 2-pt shot from 2 ft
7:26.0,Defensive rebound by D. Lee,,42-38,,
7:17.0,Shooting foul by P. Patterson (drawn by L. Aldridge),,42-38,,
7:17.0,L. Aldridge makes free throw 1 of 2,1,43-38,,
7:17.0,L. Aldridge makes free throw 2 of 2,1,44-38,,
7:17.0,,,43-38,,J. Valanciunas enters the game for L. Nogueira
7:17.0,,,43-38,,J. Sullinger enters the game for P. Patterson
6:56.0,,,44-38,,Shooting foul by D. Lee (drawn by K. Lowry)
6:56.0,,,44-39,1,K. Lowry makes free throw 1 of 2
6:56.0,,,44-40,1,K. Lowry makes free throw 2 of 2
6:56.0,,,44-39,,N. Powell enters the game for T. Ross
6:38.0,Shooting foul by J. Sullinger (drawn by L. Aldridge),,44-40,,
6:38.0,L. Aldridge makes free throw 1 of 2,1,45-40,,
6:38.0,L. Aldridge makes free throw 2 of 2,1,46-40,,
6:38.0,,,45-40,,D. Carroll enters the game for C. Joseph
6:38.0,P. Mills enters the game for D. Murray,,45-40,,
6:38.0,D. Green enters the game for K. Anderson,,45-40,,
6:14.0,,,46-40,,N. Powell misses 3-pt shot from 25 ft
6:13.0,Defensive rebound by B. Forbes,,46-40,,
6:05.0,B. Forbes makes 3-pt shot from 27 ft,3,49-40,,
6:05.0,,,49-40,,Toronto full timeout
6:05.0,D. Dedmon enters the game for L. Aldridge,,49-40,,
5:53.0,,,49-40,,K. Lowry misses 2-pt shot from 6 ft
5:52.0,Defensive rebound by D. Lee,,49-40,,
5:41.0,D. Green misses 3-pt shot from 25 ft,,49-40,,
5:41.0,,,49-40,,Defensive rebound by J. Valanciunas
5:34.0,,,49-40,,D. Carroll misses 3-pt shot from 24 ft
5:33.0,Defensive rebound by D. Lee,,49-40,,
5:28.0,P. Mills makes 2-pt shot from 2 ft,2,51-40,,
5:28.0,Shooting foul by J. Valanciunas,,51-40,,
5:28.0,P. Mills misses free throw 1 of 1,,51-40,,
5:26.0,,,51-40,,Defensive rebound by D. Carroll
5:10.0,,,51-42,2,N. Powell makes 2-pt shot from 2 ft
4:58.0,Turnover by D. Lee (bad pass; steal by N. Powell),,51-42,,
4:42.0,,,51-42,,D. Carroll misses 3-pt shot from 26 ft
4:41.0,Defensive rebound by D. Dedmon,,51-42,,
4:31.0,Shooting foul by J. Sullinger (drawn by D. Lee),,51-42,,
4:31.0,D. Lee makes free throw 1 of 2,1,52-42,,
4:31.0,D. Lee misses free throw 2 of 2,,52-42,,
4:31.0,M. Ginobili enters the game for B. Forbes,,52-42,,
4:31.0,,,52-42,,P. Patterson enters the game for J. Sullinger
4:29.0,,,52-42,,Defensive rebound by J. Valanciunas
4:15.0,,,52-42,,Turnover by J. Valanciunas (lost ball; steal by P. Mills)
4:00.0,M. Ginobili misses 2-pt shot from 9 ft,,52-42,,
4:00.0,Offensive rebound by Team,,52-42,,
4:00.0,,,52-42,,Loose ball foul by K. Lowry (drawn by D. Dedmon)
4:00.0,D. Dedmon misses free throw 1 of 2,,52-42,,
4:00.0,Offensive rebound by Team,,52-42,,
4:00.0,D. Dedmon makes free throw 2 of 2,1,53-42,,
3:39.0,,,53-42,,K. Lowry misses 3-pt shot from 24 ft
3:38.0,,,53-42,,Offensive rebound by D. Carroll
3:33.0,,,53-42,,N. Powell misses 3-pt shot from 23 ft
3:32.0,Defensive rebound by D. Green,,53-42,,
3:15.0,D. Green makes 2-pt shot from 11 ft,2,55-42,,
2:52.0,,,55-45,3,K. Lowry makes 3-pt shot from 24 ft (assist by J. Valanciunas)
2:40.0,D. Lee makes 2-pt shot from 4 ft (assist by P. Mills),2,57-45,,
2:30.0,,,57-45,,Shooting foul by D. Dedmon (drawn by J. Valanciunas)
2:30.0,Official timeout,,57-45,,
2:30.0,,,57-46,1,J. Valanciunas makes free throw 1 of 2
2:30.0,,,57-47,1,J. Valanciunas makes free throw 2 of 2
2:30.0,,,57-45,,C. Joseph enters the game for D. Carroll
2:30.0,K. Anderson enters the game for D. Lee,,57-45,,
2:20.0,,,57-47,,L. Nogueira enters the game for J. Valanciunas
2:20.0,L. Aldridge enters the game for D. Dedmon,,57-47,,
2:13.0,K. Anderson misses 2-pt shot at rim (block by N. Powell),,57-47,,
2:13.0,Offensive rebound by Team,,57-47,,
2:08.0,L. Aldridge makes 2-pt shot from 23 ft (assist by P. Mills),2,59-47,,
1:52.0,,,59-49,2,N. Powell makes 2-pt shot from 19 ft
1:27.0,M. Ginobili misses 2-pt shot from 2 ft,,59-49,,
1:26.0,,,59-49,,Defensive rebound by K. Lowry
1:19.0,,,59-49,,N. Powell misses 2-pt shot from 5 ft
1:18.0,Defensive rebound by D. Green,,59-49,,
1:10.0,P. Mills makes 2-pt shot from 2 ft (assist by D. Green),2,61-49,,
0:51.0,,,61-49,,K. Lowry misses 3-pt shot from 26 ft
0:49.0,Defensive rebound by K. Anderson,,61-49,,
0:39.0,P. Mills misses 3-pt shot from 24 ft,,61-49,,
0:38.0,,,61-49,,Defensive rebound by P. Patterson
0:31.0,,,61-52,3,P. Patterson makes 3-pt shot from 23 ft (assist by K. Lowry)
0:14.0,L. Aldridge misses 2-pt shot from 13 ft,,61-52,,
0:13.0,,,61-52,,Defensive rebound by P. Patterson
0:02.0,,,61-52,,K. Lowry misses 2-pt shot from 3 ft
0:02.0,,,61-52,,Offensive rebound by L. Nogueira
0:02.0,,,61-54,2,L. Nogueira makes 2-pt shot at rim
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,L. Aldridge misses 2-pt shot from 21 ft,,61-54,,
11:43.0,,,61-54,,Defensive rebound by J. Valanciunas
11:31.0,,,61-54,,J. Sullinger misses 3-pt shot from 25 ft
11:31.0,Defensive rebound by Team,,61-54,,
11:12.0,Turnover by D. Green (bad pass; steal by D. Carroll),,61-54,,
11:06.0,,,61-54,,D. Carroll misses 2-pt shot from 2 ft (block by D. Green)
11:04.0,Defensive rebound by L. Aldridge,,61-54,,
10:51.0,D. Murray makes 2-pt shot from 1 ft (assist by D. Lee),2,63-54,,
10:31.0,,,63-54,,K. Lowry misses 3-pt shot from 24 ft
10:31.0,,,63-54,,Offensive rebound by D. Carroll
10:26.0,,,63-54,,D. Carroll misses 2-pt shot from 2 ft (block by K. Anderson)
10:24.0,Defensive rebound by K. Anderson,,63-54,,
10:07.0,Turnover by L. Aldridge (traveling),,63-54,,
9:49.0,,,63-54,,J. Valanciunas misses 2-pt shot from 6 ft
9:48.0,Defensive rebound by Team,,63-54,,
9:48.0,,,63-54,,Loose ball foul by D. Carroll (drawn by K. Anderson)
9:39.0,Turnover by D. Lee (bad pass; steal by J. Sullinger),,63-54,,
9:32.0,,,63-54,,T. Ross enters the game for D. Carroll
9:32.0,,,63-54,,L. Nogueira enters the game for J. Sullinger
9:32.0,,,63-54,,N. Powell misses 2-pt shot from 2 ft (block by D. Green)
9:31.0,Defensive rebound by D. Green,,63-54,,
9:31.0,Jump ball: D. Green vs. N. Powell (K. Anderson gains possession),,,,Jump ball: D. Green vs. N. Powell (K. Anderson gains possession)
9:10.0,,,63-54,,Personal foul by N. Powell (drawn by D. Murray)
9:02.0,D. Lee misses 2-pt shot from 9 ft (block by J. Valanciunas),,63-54,,
9:02.0,Offensive rebound by Team,,63-54,,
9:00.0,Shooting foul by T. Ross (drawn by D. Murray),,63-54,,
9:00.0,D. Murray misses free throw 1 of 2,,63-54,,
9:00.0,Offensive rebound by Team,,63-54,,
9:00.0,D. Murray makes free throw 2 of 2,1,64-54,,
8:47.0,,,64-54,,Turnover by J. Valanciunas (lost ball; steal by L. Aldridge)
8:25.0,D. Green misses 3-pt shot from 22 ft,,64-54,,
8:25.0,,,64-54,,Defensive rebound by J. Valanciunas
8:17.0,,,64-56,2,K. Lowry makes 2-pt shot from 2 ft
7:50.0,K. Anderson misses 2-pt shot from 11 ft,,64-56,,
7:50.0,,,64-56,,Defensive rebound by K. Lowry
7:42.0,,,64-56,,K. Lowry misses 3-pt shot from 26 ft
7:41.0,Defensive rebound by D. Lee,,64-56,,
7:36.0,K. Anderson makes 2-pt shot from 5 ft (assist by D. Lee),2,66-56,,
7:26.0,,,66-56,,Toronto full timeout
7:26.0,M. Ginobili enters the game for D. Green,,66-56,,
7:26.0,P. Mills enters the game for D. Murray,,66-56,,
7:13.0,,,66-56,,Shooting foul by D. Lee (drawn by T. Ross)
7:13.0,,,66-57,1,T. Ross makes free throw 1 of 2
7:13.0,,,66-58,1,T. Ross makes free throw 2 of 2
6:52.0,P. Mills misses 2-pt shot from 20 ft,,66-58,,
6:51.0,,,66-58,,Defensive rebound by N. Powell
6:44.0,,,66-60,2,N. Powell makes 2-pt shot at rim
6:42.0,San Antonio full timeout,,66-60,,
6:35.0,Turnover by M. Ginobili (bad pass; steal by J. Valanciunas),,66-60,,
6:34.0,Personal foul by K. Anderson (drawn by N. Powell),,66-60,,
6:34.0,D. Dedmon enters the game for D. Lee,,66-60,,
6:24.0,,,66-60,,Offensive foul by J. Valanciunas
6:24.0,,,66-60,,Turnover by J. Valanciunas (offensive foul)
6:11.0,Turnover by D. Dedmon (bad pass; steal by L. Nogueira),,66-60,,
6:07.0,,,66-60,,Offensive charge foul by K. Lowry
6:07.0,,,66-60,,Turnover by K. Lowry (offensive foul)
5:54.0,L. Aldridge misses 2-pt shot from 5 ft,,66-60,,
5:54.0,,,66-60,,Defensive rebound by J. Valanciunas
5:34.0,,,66-62,2,K. Lowry makes 2-pt shot from 5 ft
5:25.0,M. Ginobili makes 2-pt shot from 16 ft,2,68-62,,
5:25.0,Shooting foul by T. Ross (drawn by M. Ginobili),,68-62,,
5:25.0,M. Ginobili misses free throw 1 of 1,,68-62,,
5:22.0,,,68-62,,Defensive rebound by J. Valanciunas
5:08.0,,,68-62,,Turnover by K. Lowry (bad pass)
5:08.0,D. Green enters the game for K. Anderson,,68-62,,
4:51.0,L. Aldridge misses 2-pt shot from 15 ft,,68-62,,
4:50.0,,,68-62,,Defensive rebound by L. Nogueira
4:34.0,,,68-62,,Shooting foul by L. Aldridge (drawn by J. Valanciunas)
4:34.0,,,68-62,,J. Valanciunas misses free throw 1 of 2
4:34.0,,,68-62,,Offensive rebound by Team
4:34.0,,,68-63,1,J. Valanciunas makes free throw 2 of 2
4:20.0,P. Mills misses 3-pt shot from 22 ft,,68-63,,
4:20.0,Offensive rebound by Team,,68-63,,
4:20.0,,,68-63,,Loose ball foul by K. Lowry (drawn by L. Aldridge)
4:20.0,L. Aldridge makes free throw 1 of 2,1,69-63,,
4:20.0,L. Aldridge makes free throw 2 of 2,1,70-63,,
4:07.0,,,70-65,2,K. Lowry makes 2-pt shot from 4 ft
3:49.0,D. Bertans enters the game for L. Aldridge,,70-65,,
3:49.0,,,70-65,,C. Joseph enters the game for K. Lowry
3:49.0,,,70-65,,P. Patterson enters the game for J. Valanciunas
3:44.0,P. Mills misses 3-pt shot from 25 ft,,70-65,,
3:44.0,,,70-65,,Defensive rebound by N. Powell
3:34.0,,,70-67,2,T. Ross makes 2-pt shot from 16 ft
3:34.0,,,70-67,,Shooting foul by D. Green (drawn by T. Ross)
3:34.0,,,70-68,1,T. Ross makes free throw 1 of 1
3:19.0,P. Mills misses 2-pt shot from 1 ft (block by L. Nogueira),,70-68,,
3:18.0,Offensive rebound by Team,,70-68,,
3:14.0,M. Ginobili misses 3-pt shot from 25 ft,,70-68,,
3:13.0,,,70-68,,Defensive rebound by L. Nogueira
3:02.0,,,70-70,2,C. Joseph makes 2-pt shot from 3 ft
2:41.0,D. Green makes 2-pt shot from 5 ft,2,72-70,,
2:29.0,,,72-72,2,C. Joseph makes 2-pt shot from 6 ft
2:19.0,P. Mills makes 3-pt shot from 25 ft (assist by M. Ginobili),3,75-72,,
2:07.0,,,75-74,2,C. Joseph makes 2-pt shot from 19 ft
1:58.0,Shooting foul by N. Powell (drawn by M. Ginobili),,75-74,,
1:58.0,M. Ginobili makes free throw 1 of 2,1,76-74,,
1:58.0,M. Ginobili misses free throw 2 of 2,,76-74,,
1:57.0,,,76-74,,Defensive rebound by P. Patterson
1:41.0,,,76-76,2,P. Patterson makes 2-pt shot from 3 ft (assist by N. Powell)
1:26.0,D. Green misses 3-pt shot from 24 ft,,76-76,,
1:26.0,,,76-76,,Defensive rebound by C. Joseph
1:19.0,Personal block foul by P. Mills,,76-76,,
1:19.0,,,76-76,,T. Ross misses free throw 1 of 2
1:19.0,,,76-76,,Offensive rebound by Team
1:19.0,,,76-77,1,T. Ross makes free throw 2 of 2
1:06.0,M. Ginobili misses 3-pt shot from 25 ft,,76-77,,
1:05.0,,,76-77,,Defensive rebound by C. Joseph
0:57.0,,,76-77,,Turnover by C. Joseph (bad pass; steal by P. Mills)
0:51.0,D. Bertans makes 3-pt shot from 26 ft (assist by P. Mills),3,79-77,,
0:33.0,,,79-79,2,C. Joseph makes 2-pt shot from 1 ft
0:12.0,P. Mills misses 2-pt shot from 19 ft,,79-79,,
0:11.0,Offensive rebound by D. Green,,79-79,,
0:07.0,D. Green misses 2-pt shot from 9 ft,,79-79,,
0:06.0,Offensive rebound by D. Dedmon,,79-79,,
0:05.0,D. Dedmon misses 2-pt shot from 3 ft,,79-79,,
0:05.0,Offensive rebound by Team,,79-79,,
0:05.0,,,79-79,,F. VanVleet enters the game for N. Powell
0:00.0,D. Bertans misses 3-pt shot from 24 ft,,79-79,,
0:00.0,,,79-79,,Defensive rebound by T. Ross
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,79-79,,K. Lowry misses 2-pt shot from 1 ft
11:43.0,,,79-79,,Offensive rebound by L. Nogueira
11:40.0,,,79-79,,Turnover by T. Ross (bad pass; steal by D. Bertans)
11:33.0,D. Murray makes 2-pt shot from 2 ft (assist by D. Bertans),2,81-79,,
11:18.0,,,81-82,3,T. Ross makes 3-pt shot from 25 ft
10:54.0,D. Lee misses 2-pt shot from 6 ft,,81-82,,
10:54.0,,,81-82,,Defensive rebound by L. Nogueira
10:45.0,,,81-85,3,T. Ross makes 3-pt shot from 26 ft
10:33.0,Shooting foul by K. Lowry (drawn by D. Bertans),,81-85,,
10:33.0,D. Bertans makes free throw 1 of 2,1,82-85,,
10:33.0,D. Bertans makes free throw 2 of 2,1,83-85,,
10:25.0,,,83-85,,Shooting foul by B. Forbes (drawn by T. Ross)
10:25.0,,,83-86,1,T. Ross makes free throw 1 of 3
10:25.0,,,83-86,,T. Ross misses free throw 2 of 3
10:25.0,,,83-86,,Offensive rebound by Team
10:25.0,,,83-87,1,T. Ross makes free throw 3 of 3
10:05.0,B. Forbes makes 3-pt shot from 25 ft (assist by K. Anderson),3,86-87,,
9:46.0,,,86-87,,L. Nogueira misses 2-pt shot from 6 ft
9:45.0,Defensive rebound by K. Anderson,,86-87,,
9:35.0,Shooting foul by T. Ross (drawn by K. Anderson),,86-87,,
9:35.0,K. Anderson makes free throw 1 of 2,1,87-87,,
9:35.0,K. Anderson makes free throw 2 of 2,1,88-87,,
9:17.0,,,88-89,2,L. Nogueira makes 2-pt shot from 4 ft (assist by P. Patterson)
9:06.0,Shooting foul by L. Nogueira (drawn by D. Murray),,88-89,,
9:06.0,D. Murray makes free throw 1 of 2,1,89-89,,
9:06.0,D. Murray makes free throw 2 of 2,1,90-89,,
9:06.0,L. Aldridge enters the game for D. Lee,,89-89,,
8:55.0,,,90-89,,P. Patterson misses 3-pt shot from 23 ft
8:54.0,Defensive rebound by D. Murray,,90-89,,
8:43.0,B. Forbes misses 3-pt shot from 25 ft,,90-89,,
8:43.0,,,90-89,,Defensive rebound by L. Nogueira
8:26.0,,,90-89,,C. Joseph misses 2-pt shot from 16 ft
8:26.0,Defensive rebound by D. Murray,,90-89,,
8:15.0,D. Bertans makes 2-pt shot at rim,2,92-89,,
8:11.0,,,92-89,,Toronto full timeout
8:11.0,,,92-89,,N. Powell enters the game for L. Nogueira
8:11.0,,,92-89,,J. Valanciunas enters the game for P. Patterson
7:59.0,,,92-91,2,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry)
7:41.0,D. Murray makes 2-pt shot from 2 ft (assist by D. Bertans),2,94-91,,
7:23.0,,,94-91,,T. Ross misses 3-pt shot from 24 ft
7:23.0,,,94-91,,Offensive rebound by Team
7:23.0,Loose ball foul by L. Aldridge (drawn by J. Valanciunas),,94-91,,
7:23.0,D. Green enters the game for B. Forbes,,94-91,,
7:23.0,P. Mills enters the game for D. Bertans,,94-91,,
7:12.0,,,94-91,,Shooting foul by L. Aldridge (drawn by J. Valanciunas)
7:12.0,,,94-92,1,J. Valanciunas makes free throw 1 of 2
7:12.0,,,94-93,1,J. Valanciunas makes free throw 2 of 2
7:02.0,,,94-93,,Personal block foul by J. Valanciunas (drawn by D. Murray)
6:50.0,Offensive foul by D. Murray,,94-93,,
6:50.0,Turnover by D. Murray (offensive foul),,94-93,,
6:34.0,,,94-93,,J. Valanciunas misses 2-pt shot from 4 ft (block by D. Murray)
6:33.0,Defensive rebound by K. Anderson,,94-93,,
6:28.0,D. Green misses 3-pt shot from 24 ft,,94-93,,
6:27.0,,,94-93,,Defensive rebound by K. Lowry
6:14.0,Personal foul by D. Murray (drawn by K. Lowry),,94-93,,
6:04.0,,,94-93,,T. Ross misses 3-pt shot from 24 ft
6:02.0,,,94-93,,Offensive rebound by J. Valanciunas
6:02.0,,,94-93,,J. Valanciunas misses 2-pt shot from 2 ft
6:02.0,Defensive rebound by D. Green,,94-93,,
6:02.0,M. Ginobili enters the game for D. Murray,,94-93,,
6:01.0,Jump ball: D. Green vs. K. Lowry (K. Anderson gains possession),,,,Jump ball: D. Green vs. K. Lowry (K. Anderson gains possession)
5:55.0,P. Mills makes 2-pt shot from 3 ft (assist by K. Anderson),2,96-93,,
